split,graph_id,graph_type,n,m,density,avg_degree,num_communities,modularity,community_strength,seed,graph_path
train,train_000,ws,162,648,0.049689440993788817,8.0,8,0.7073974051211706,none,1908310801,data\ml_attack_dataset\synthetic_graphs\train\train_000_ws.gml
train,train_001,sbm,166,844,0.06162833150784958,10.168674698795181,8,0.2659664821095663,weak,1099917019,data\ml_attack_dataset\synthetic_graphs\train\train_001_sbm.gml
train,train_002,ba,133,390,0.04442925495557074,5.864661654135339,9,0.3591551610782381,none,234067878,data\ml_attack_dataset\synthetic_graphs\train\train_002_ba.gml
train,train_003,ws,137,274,0.029411764705882353,4.0,12,0.6143507911982524,none,318477092,data\ml_attack_dataset\synthetic_graphs\train\train_003_ws.gml
train,train_004,sbm,113,183,0.028919089759797723,3.2389380530973453,10,0.5818925617366897,mixed,1161467010,data\ml_attack_dataset\synthetic_graphs\train\train_004_sbm.gml
train,train_005,er,202,558,0.0274863307226245,5.524752475247524,11,0.3963560334528077,none,453762778,data\ml_attack_dataset\synthetic_graphs\train\train_005_er.gml
train,train_006,er,217,742,0.031660692951015534,6.838709677419355,11,0.3452495985934424,none,1699732485,data\ml_attack_dataset\synthetic_graphs\train\train_006_er.gml
train,train_007,sbm,95,258,0.057782754759238525,5.431578947368421,9,0.370192596598762,weak,1674091145,data\ml_attack_dataset\synthetic_graphs\train\train_007_sbm.gml
train,train_008,sbm,179,775,0.04864729144435378,8.659217877094973,8,0.31219895941727366,weak,16827279,data\ml_attack_dataset\synthetic_graphs\train\train_008_sbm.gml
train,train_009,ba,199,970,0.04923607938683316,9.748743718592964,8,0.27092358380274206,none,644285231,data\ml_attack_dataset\synthetic_graphs\train\train_009_ba.gml
train,train_010,ba,119,570,0.08118501637943312,9.579831932773109,6,0.242590027700831,none,1740425627,data\ml_attack_dataset\synthetic_graphs\train\train_010_ba.gml
train,train_011,sbm,170,818,0.05694396101635921,9.623529411764705,9,0.2801416478858926,weak,1873371439,data\ml_attack_dataset\synthetic_graphs\train\train_011_sbm.gml
train,train_012,ba,139,274,0.02856844958815556,3.9424460431654675,9,0.4705831424156854,none,1314790948,data\ml_attack_dataset\synthetic_graphs\train\train_012_ba.gml
train,train_013,ba,145,426,0.04080459770114943,5.875862068965517,9,0.3623013511428508,none,651969423,data\ml_attack_dataset\synthetic_graphs\train\train_013_ba.gml
