dataset_group,method,removed_ratio,gcc_ratio
realworld_completed,M5,0.0,1.0
realworld_completed,M5,0.01,0.8063591960822484
realworld_completed,M5,0.02,0.7376763643687173
realworld_completed,M5,0.03,0.6949657757412407
realworld_completed,M5,0.04,0.6360822368259493
realworld_completed,M5,0.05,0.6164680891328593
realworld_completed,M5,0.06,0.5999005573538768
realworld_completed,M5,0.07,0.5681548561976875
realworld_completed,M5,0.08,0.5560770667346887
realworld_completed,M5,0.09,0.5412391041381164
realworld_completed,M5,0.1,0.529181676344498
realworld_completed,M5,0.11,0.4824392490690238
realworld_completed,M5,0.12,0.45072801078318114
realworld_completed,M5,0.13,0.43274139343938217
realworld_completed,M5,0.14,0.42591068103486057
realworld_completed,M5,0.15,0.41517687622554644
realworld_completed,M5,0.16,0.397233476102608
realworld_completed,M5,0.17,0.3865293540957345
realworld_completed,M5,0.18,0.37160758131451344
realworld_completed,M5,0.19,0.3546850495019031
realworld_completed,M5,0.2,0.34043533998789255
realworld_completed,M5,0.21,0.32853558050419274
realworld_completed,M5,0.22,0.32219820802694465
realworld_completed,M5,0.23,0.29491485050400285
realworld_completed,M5,0.24,0.2888166664362004
realworld_completed,M5,0.25,0.28005397953504346
realworld_completed,M5,0.26,0.26470446498583905
realworld_completed,M5,0.27,0.26059734084375963
realworld_completed,M5,0.28,0.2525082231884494
realworld_completed,M5,0.29,0.23698367632497166
realworld_completed,M5,0.3,0.22664340280871112
realworld_completed,M5,0.31,0.21956399447924543
realworld_completed,M5,0.32,0.212244804475649
realworld_completed,M5,0.33,0.20716877369446038
realworld_completed,M5,0.34,0.20078466450791463
realworld_completed,M5,0.35000000000000003,0.1963042012101714
realworld_completed,M5,0.36,0.1921223425111576
realworld_completed,M5,0.37,0.18988596745606526
realworld_completed,M5,0.38,0.17797047035467536
realworld_completed,M5,0.39,0.17303961810293667
realworld_completed,M5,0.4,0.16945644003512833
realworld_completed,M5,0.41000000000000003,0.16386170461349836
realworld_completed,M5,0.42,0.16085331002820447
realworld_completed,M5,0.43,0.1582542181782606
realworld_completed,M5,0.44,0.14987626616065225
realworld_completed,M5,0.45,0.14553109587736862
realworld_completed,M5,0.46,0.14139987338171572
realworld_completed,M5,0.47000000000000003,0.1381615915627349
realworld_completed,M5,0.48,0.1355152808638572
realworld_completed,M5,0.49,0.13084380044977945
realworld_completed,M5,0.5,0.1286489111348152
realworld_completed,M5,0.51,0.1263083595016156
realworld_completed,M5,0.52,0.12271678349600582
realworld_completed,M5,0.53,0.11964326311153402
realworld_completed,M5,0.54,0.11640412722544896
realworld_completed,M5,0.55,0.11362546355979458
realworld_completed,M5,0.56,0.10903134013901605
realworld_completed,M5,0.5700000000000001,0.10628123744146067
realworld_completed,M5,0.58,0.10352997034238298
realworld_completed,M5,0.59,0.10136847236954971
realworld_completed,M5,0.6,0.09843879661118413
realworld_completed,M5,0.61,0.09636572726984215
realworld_completed,M5,0.62,0.09429368199246312
realworld_completed,M5,0.63,0.09168907682772741
realworld_completed,M5,0.64,0.090226685437376
realworld_completed,M5,0.65,0.0881047941556314
realworld_completed,M5,0.66,0.08614678107937893
realworld_completed,M5,0.67,0.08370228649212029
realworld_completed,M5,0.68,0.08151212267684908
realworld_completed,M5,0.6900000000000001,0.07950186191886392
realworld_completed,M5,0.7000000000000001,0.0774306591464174
realworld_completed,M5,0.71,0.07565991995186613
realworld_completed,M5,0.72,0.07372497534744209
realworld_completed,M5,0.73,0.07200019900524275
realworld_completed,M5,0.74,0.06993303314246382
realworld_completed,M5,0.75,0.06781164192779122
realworld_completed,M5,0.76,0.06584674512030554
realworld_completed,M5,0.77,0.06370892072847592
realworld_completed,M5,0.78,0.06170048670967562
realworld_completed,M5,0.79,0.05965730859075908
realworld_completed,M5,0.8,0.05835005359014454
realworld_completed,M5,0.81,0.056361233453780225
realworld_completed,M5,0.8200000000000001,0.05449926384843655
realworld_completed,M5,0.8300000000000001,0.05285709868115005
realworld_completed,M5,0.84,0.050693102486422
realworld_completed,M5,0.85,0.04859006229763217
realworld_completed,M5,0.86,0.04650740325347374
realworld_completed,M5,0.87,0.044781471705286485
realworld_completed,M5,0.88,0.04270469104726155
realworld_completed,M5,0.89,0.040796600194963784
realworld_completed,M5,0.9,0.03925335897262113
realworld_completed,M5,0.91,0.03657593414284423
realworld_completed,M5,0.92,0.03472125916360118
realworld_completed,M5,0.93,0.031729593159412026
realworld_completed,M5,0.9400000000000001,0.02916293105041699
realworld_completed,M5,0.9500000000000001,0.02734304971092012
realworld_completed,M5,0.96,0.024370481464600687
realworld_completed,M5,0.97,0.021736755105565563
realworld_completed,M5,0.98,0.01831619470407733
realworld_completed,M5,0.99,0.015393401511919954
realworld_completed,M5,1.0,0.0039801421375867405
realworld_completed,SASB,0.0,1.0
realworld_completed,SASB,0.01,0.842993106048865
realworld_completed,SASB,0.02,0.7633334188771355
realworld_completed,SASB,0.03,0.7107863758060927
realworld_completed,SASB,0.04,0.6896900191270572
realworld_completed,SASB,0.05,0.6779613677657838
realworld_completed,SASB,0.06,0.6300377397038701
realworld_completed,SASB,0.07,0.6076648415249924
realworld_completed,SASB,0.08,0.5969105381598863
realworld_completed,SASB,0.09,0.5770500463255914
realworld_completed,SASB,0.1,0.55766632774384
realworld_completed,SASB,0.11,0.529457532803693
realworld_completed,SASB,0.12,0.5187181770163876
realworld_completed,SASB,0.13,0.5107146522360132
realworld_completed,SASB,0.14,0.4985451777444634
realworld_completed,SASB,0.15,0.48519472106137485
realworld_completed,SASB,0.16,0.4729562172396326
realworld_completed,SASB,0.17,0.44586252853931213
realworld_completed,SASB,0.18,0.4321101183856962
realworld_completed,SASB,0.19,0.40577984374961096
realworld_completed,SASB,0.2,0.3894287978267615
realworld_completed,SASB,0.21,0.38669897489966504
realworld_completed,SASB,0.22,0.37234407854482204
realworld_completed,SASB,0.23,0.34814060557674525
realworld_completed,SASB,0.24,0.3463952986231187
realworld_completed,SASB,0.25,0.33345178075871756
realworld_completed,SASB,0.26,0.31238494913277925
realworld_completed,SASB,0.27,0.3081223834825938
realworld_completed,SASB,0.28,0.29469729869406625
realworld_completed,SASB,0.29,0.28130142999609203
realworld_completed,SASB,0.3,0.2782904553153629
realworld_completed,SASB,0.31,0.24876246177762482
realworld_completed,SASB,0.32,0.24388027595197964
realworld_completed,SASB,0.33,0.2390591018137812
realworld_completed,SASB,0.34,0.23162133285969483
realworld_completed,SASB,0.35000000000000003,0.22478840589308038
realworld_completed,SASB,0.36,0.21353169431447633
realworld_completed,SASB,0.37,0.20642396961926404
