dataset_group,graph_id,graph_type,plot_file,sasb_normalized_auc
realworld_completed,bio_celegansneural,biological,node_sasb_best_gcc_curve_realworld_completed_bio_celegansneural.png,0.2053928737430421
realworld_completed,bio_diseasome,biological,node_sasb_best_gcc_curve_realworld_completed_bio_diseasome.png,0.019770446487590892
realworld_completed,bio_grid_mouse,biological,node_sasb_best_gcc_curve_realworld_completed_bio_grid_mouse.png,0.011795947136000616
realworld_completed,bio_sc_ts,biological,node_sasb_best_gcc_curve_realworld_completed_bio_sc_ts.png,0.5
realworld_completed,ca_csphd,collaboration,node_sasb_best_gcc_curve_realworld_completed_ca_csphd.png,0.006811659726353363
realworld_completed,rt_twitter_copen,social,node_sasb_best_gcc_curve_realworld_completed_rt_twitter_copen.png,0.02596780292892159
realworld_completed,soc_dolphins,social,node_sasb_best_gcc_curve_realworld_completed_soc_dolphins.png,0.1693548387096775
realworld_completed,soc_wiki_vote,social,node_sasb_best_gcc_curve_realworld_completed_soc_wiki_vote.png,0.09166844864301976
realworld_completed,web_polblogs,web,node_sasb_best_gcc_curve_realworld_completed_web_polblogs.png,0.0724357780524321
synthetic45,synthetic_test_009,ba,node_sasb_best_gcc_curve_synthetic45_synthetic_test_009.png,0.102369576446281
synthetic45,synthetic_test_010,sbm,node_sasb_best_gcc_curve_synthetic45_synthetic_test_010.png,0.23812994585589345
synthetic45,synthetic_test_013,ws,node_sasb_best_gcc_curve_synthetic45_synthetic_test_013.png,0.12182423990004165
synthetic45,synthetic_test_025,sbm,node_sasb_best_gcc_curve_synthetic45_synthetic_test_025.png,0.19562130177514792
synthetic45,synthetic_test_029,ba,node_sasb_best_gcc_curve_synthetic45_synthetic_test_029.png,0.2395082371645514
synthetic45,synthetic_test_030,sbm,node_sasb_best_gcc_curve_synthetic45_synthetic_test_030.png,0.32763039856465465
synthetic45,synthetic_test_034,ba,node_sasb_best_gcc_curve_synthetic45_synthetic_test_034.png,0.2476643990929705
synthetic45,synthetic_test_035,ba,node_sasb_best_gcc_curve_synthetic45_synthetic_test_035.png,0.2866575733151467
synthetic45,synthetic_test_043,sbm,node_sasb_best_gcc_curve_synthetic45_synthetic_test_043.png,0.2453032104637337
