method_canon,graph_count,mean_normalized_auc,std_normalized_auc,median_normalized_auc,mean_runtime_seconds,total_runtime_seconds,method_display,evidence_set,rank_by_auc
SASB,45,0.3421667774169432,0.11922440817434156,0.3557475708570084,11.489872639999998,517.0442687999999,SASB,synthetic45_all_methods_45,1.0
M19-original,45,0.3465627993386938,0.12801244261447925,0.3494909502262443,8.959636926666668,403.1836617000001,M19-original,synthetic45_all_methods_45,2.0
M19-no-bridge,45,0.3465908623132451,0.12800226747630444,0.3494909502262443,7.152616160000018,321.8677272000008,M19-no-bridge,synthetic45_all_methods_45,3.0
M5,45,0.3557935703200482,0.13419556175007855,0.3574424962292609,22.2961986,1003.328937,M5 dynamic edge betweenness,synthetic45_all_methods_45,4.0
M7,45,0.367549259149464,0.1325810711122562,0.3904621198670961,6.4544830799999975,290.4517385999999,M7 dynamic community bridge,synthetic45_all_methods_45,5.0
dynamic-community-bridge,45,0.3757190859639958,0.1336020159172947,0.3976674384701141,2.546620617777778,114.59792780000001,dynamic community bridge,synthetic45_all_methods_45,6.0
M12,45,0.38608306078315563,0.14317261228152653,0.3917448363200305,2.4026017111111306,108.11707700000088,M12 stale community,synthetic45_all_methods_45,7.0
static-community-bridge,45,0.4674653095364655,0.1366880268571548,0.4822398190045249,1.5308583777777836,68.88862700000026,static community bridge,synthetic45_all_methods_45,8.0
static-edge-betweenness,45,0.6511710912424742,0.16264573288510967,0.7049230769230769,1.7930206155555526,80.68592769999987,static edge betweenness,synthetic45_all_methods_45,9.0
degree-product,45,0.6960538121079957,0.10276165941375813,0.7246110088673248,2.498223382222225,112.42005220000011,degree product,synthetic45_all_methods_45,10.0
random-edge,45,0.7223559354402468,0.099264528981042,0.7508327376154045,2.031891594814813,274.3053652999997,random edge,synthetic45_all_methods_45,11.0
M5,28,0.20366373178142072,0.16580748564935843,0.19159661828396624,4297.176026982143,120320.9287555,M5 dynamic edge betweenness,realworld_main_28,1.0
SASB,28,0.2240164403574166,0.1894073573962132,0.20903583908776266,288.6833101392857,8083.132683899999,SASB,realworld_main_28,2.0
M19-original,28,0.22940746945160337,0.1902508356013274,0.21548313706289304,234.05234492857147,6553.465658000001,M19-original,realworld_main_28,3.0
M19-no-bridge,28,0.22954399794867458,0.19014777945081476,0.2153942585721384,212.80093610357144,5958.4262109,M19-no-bridge,realworld_main_28,4.0
M7,28,0.23159296351730468,0.18369641241279872,0.21918475923695666,137.2362965107143,3842.616302300001,M7 dynamic community bridge,realworld_main_28,5.0
M12,28,0.3717939486548286,0.27403379964219254,0.38309088981483386,99.45854524642854,2784.839266899999,M12 stale community,realworld_main_28,6.0
M5,13,0.16009021654113256,0.1188755246814194,0.1367966524216523,96.25536305384615,1251.3197197,M5 dynamic edge betweenness,realworld_common_classic_13,1.0
M19-original,13,0.16728870189344086,0.12489525548846463,0.1408030626780626,27.41811540769231,356.4355003,M19-original,realworld_common_classic_13,2.0
M19-no-bridge,13,0.16750659119337094,0.12480846498683239,0.1424056267806267,20.762284069230763,269.9096928999999,M19-no-bridge,realworld_common_classic_13,3.0
SASB,13,0.1683161478319746,0.12449272719188362,0.1367966524216523,32.29521442307693,419.83778750000005,SASB,realworld_common_classic_13,4.0
M7,13,0.1765832626246318,0.12239649130138261,0.1533564814814814,12.476457938461543,162.19395320000007,M7 dynamic community bridge,realworld_common_classic_13,5.0
dynamic-community-bridge,13,0.2028882440898956,0.13874777102644534,0.1669782763532763,8.316361353846162,108.1126976000001,dynamic community bridge,realworld_common_classic_13,6.0
static-community-bridge,13,0.2621789409518724,0.15894096928460627,0.2143429487179487,6.308447269230765,82.00981449999995,static community bridge,realworld_common_classic_13,7.0
M12,13,0.27296053188396824,0.20738834644355716,0.1547947192804294,9.393338907692305,122.11340579999997,M12 stale community,realworld_common_classic_13,8.0
static-edge-betweenness,13,0.3798843536931689,0.19384115922177422,0.3149875681453358,7.637257823076923,99.2843517,static edge betweenness,realworld_common_classic_13,9.0
degree-product,13,0.4760700229269109,0.29135824517502606,0.3643354907247565,9.345293007692309,121.48880910000003,degree product,realworld_common_classic_13,10.0
random-edge,13,0.53283114313362,0.23022224120430584,0.5149198724425482,9.449868220512815,122.8482868666666,random edge,realworld_common_classic_13,11.0
