evidence_set,comparison,n_graphs,mean_auc_diff,median_auc_diff,sasb_wins,sasb_losses,ties
synthetic45_all_methods_45,SASB minus M5,45,-0.013626792903105044,-0.005976393246675704,31,14,0
synthetic45_all_methods_45,SASB minus M7,45,-0.02538248173252084,-0.020453790813503014,39,6,0
synthetic45_all_methods_45,SASB minus M12,45,-0.04391628336621242,-0.03918015482054893,44,1,0
synthetic45_all_methods_45,SASB minus dynamic-community-bridge,45,-0.033552308547052566,-0.03261767545562222,41,4,0
synthetic45_all_methods_45,SASB minus static-community-bridge,45,-0.12529853211952233,-0.12041855203619917,45,0,0
synthetic45_all_methods_45,SASB minus static-edge-betweenness,45,-0.30900431382553095,-0.3157362637362638,45,0,0
synthetic45_all_methods_45,SASB minus degree-product,45,-0.3538870346910524,-0.32216312056737584,45,0,0
synthetic45_all_methods_45,SASB minus random-edge,45,-0.38018915802330366,-0.34828132387706867,45,0,0
synthetic45_all_methods_45,SASB minus M19-original,45,-0.004396021921750642,-0.001226340876486598,24,21,0
synthetic45_all_methods_45,SASB minus M19-no-bridge,45,-0.004424084896301911,-0.001226340876486598,25,20,0
realworld_main_28,SASB minus M5,28,0.02035270857599592,0.001088425845903451,7,19,2
realworld_main_28,SASB minus M7,28,-0.007576523159888049,-0.006607645436278002,23,5,0
realworld_main_28,SASB minus M12,28,-0.14777750829741199,-0.17044119983769523,28,0,0
realworld_main_28,SASB minus M19-original,28,-0.005391029094186757,-0.0003903173278296708,15,13,0
realworld_main_28,SASB minus M19-no-bridge,28,-0.005527557591257936,-0.0007551618531136993,16,12,0
realworld_common_classic_13,SASB minus M5,13,0.008225931290842075,0.0003652296285513029,3,9,1
realworld_common_classic_13,SASB minus M7,13,-0.008267114792657185,-0.006750579723160607,11,2,0
realworld_common_classic_13,SASB minus M12,13,-0.10464438405199364,-0.0874742952938224,13,0,0
realworld_common_classic_13,SASB minus dynamic-community-bridge,13,-0.034572096257920945,-0.03017235264912399,13,0,0
realworld_common_classic_13,SASB minus static-community-bridge,13,-0.09386279311989777,-0.08381130425704068,13,0,0
realworld_common_classic_13,SASB minus static-edge-betweenness,13,-0.21156820586119432,-0.209625205441666,13,0,0
realworld_common_classic_13,SASB minus degree-product,13,-0.3077538750949363,-0.3179332921485194,13,0,0
realworld_common_classic_13,SASB minus random-edge,13,-0.3645149953016454,-0.3996753905457496,13,0,0
realworld_common_classic_13,SASB minus M19-original,13,0.001027445938533764,0.0008256208033348006,4,9,0
realworld_common_classic_13,SASB minus M19-no-bridge,13,0.0008095566386036667,0.0003040011224656018,4,9,0
