network,method,auc,remove_ratio_gcc_le_0_5,remove_ratio_gcc_le_0_2,remove_ratio_gcc_le_0_1,elapsed_seconds,num_steps,auc_rank,remove_ratio_gcc_le_0_5_rank,remove_ratio_gcc_le_0_2_rank,remove_ratio_gcc_le_0_1_rank,method_id
sbm_strong,M7 max C_i*C_j/E_ij with Louvain,0.189036246239636,0.08595641646489104,0.3680387409200969,0.5242130750605327,7.426055669784546,827,1,2,4,2,M7
sbm_strong,M4 max E_i*E_j/E_ij with Louvain,0.1959455328099375,0.08837772397094433,0.3123486682808717,0.5121065375302664,7.421631813049316,827,2,3,1,1,M4
sbm_strong,M5 max edge betweenness,0.19631239758358346,0.09685230024213076,0.3498789346246973,0.6113801452784504,19.427878856658932,827,3,6,3,6,M5
sbm_strong,M8 max (C_i*C_j/E_ij)*(k_i*k_j) with Louvain,0.20092877931860836,0.0847457627118644,0.34019370460048426,0.5363196125907991,7.451032638549805,827,4,1,2,3,M8
sbm_strong,M6 max E_i*E_j with Louvain,0.21428265707926464,0.09322033898305083,0.3983050847457627,0.5508474576271186,7.763746738433838,827,5,5,5,4,M6
sbm_strong,M3 max C_i*C_j with Louvain,0.21457614889818127,0.09079903147699757,0.39951573849878935,0.5508474576271186,7.899343490600586,827,6,4,6,4,M3
sbm_strong,M2 max k_i*k_j,0.7678387996184571,0.761501210653753,0.7711864406779662,0.784503631961259,3.93356728553772,827,7,7,7,7,M2
sbm_strong,M1 Random,0.7697892973316671,0.8232445520581114,0.8571428571428571,0.9079903147699758,3.1106324195861816,827,8,8,8,8,M1
sbm_medium,M4 max E_i*E_j/E_ij with Louvain,0.33907388605431343,0.2710997442455243,0.4718670076726343,0.5920716112531971,11.606088876724243,783,1,1,1,2,M4
sbm_medium,M5 max edge betweenness,0.33949800151653386,0.2953964194373401,0.5421994884910486,0.6675191815856778,42.51630401611328,783,2,2,5,6,M5
sbm_medium,M8 max (C_i*C_j/E_ij)*(k_i*k_j) with Louvain,0.3537058695009586,0.2966751918158568,0.4833759590792839,0.5959079283887468,12.299791812896727,783,3,3,2,3,M8
sbm_medium,M7 max C_i*C_j/E_ij with Louvain,0.36533048876094104,0.329923273657289,0.4936061381074169,0.5818414322250639,13.526803016662598,783,4,5,3,1,M7
sbm_medium,M3 max C_i*C_j with Louvain,0.3715765528409344,0.29923273657289,0.5473145780051151,0.618925831202046,12.816236734390259,783,5,4,6,4,M3
sbm_medium,M6 max E_i*E_j with Louvain,0.3989962600727431,0.35421994884910485,0.5294117647058824,0.6432225063938619,13.21824598312378,783,6,6,4,5,M6
sbm_medium,M2 max k_i*k_j,0.7590060275803596,0.7557544757033248,0.7608695652173914,0.7736572890025576,3.5168297290802,783,7,7,7,7,M2
sbm_medium,M1 Random,0.7791001041010672,0.8324808184143222,0.850383631713555,0.8913043478260869,3.4054861068725586,783,8,8,8,8,M1
sbm_weak,M4 max E_i*E_j/E_ij with Louvain,0.4773575268817197,0.4548387096774194,0.6301075268817204,0.6763440860215054,23.91148042678833,931,1,1,1,1,M4
sbm_weak,M5 max edge betweenness,0.5292661290322643,0.6172043010752688,0.7139784946236559,0.7580645161290323,92.81672430038452,931,2,6,6,6,M5
sbm_weak,M6 max E_i*E_j with Louvain,0.5432446236559174,0.4924731182795699,0.6387096774193548,0.6956989247311828,27.26723027229309,931,3,2,3,2,M6
sbm_weak,M7 max C_i*C_j/E_ij with Louvain,0.5572715053763493,0.5043010752688172,0.6333333333333333,0.7075268817204301,26.72936153411865,931,4,4,2,4,M7
