best_true_delta,candidate_count,chosen_true_delta,graph_id,kendall,mae,rmse,spearman,split,step,top1_hit
0.0,32,0.0,synthetic_test_000,0.0,1.5286502105032674e-05,1.5286502105032674e-05,0.0,synthetic_test,0,1
0.0,26,0.0,synthetic_test_000,0.0,2.1591619148866264e-05,4.0486337904047386e-05,0.0,synthetic_test,1,1
0.005102040816326481,25,0.005102040816326481,synthetic_test_000,1.0,3.921140340379492e-05,0.00012359270127571253,1.0,synthetic_test,2,1
0.0,25,0.0,synthetic_test_000,0.0,1.5286502105032674e-05,1.5286502105032674e-05,0.0,synthetic_test,3,1
0.0,27,0.0,synthetic_test_000,0.0,2.1845023755709634e-05,3.994464200853321e-05,0.0,synthetic_test,4,1
0.005102040816326592,27,0.005102040816326592,synthetic_test_000,1.0,3.7439188492771384e-05,0.00011899988321014592,1.0,synthetic_test,5,1
0.0,32,0.0,synthetic_test_000,0.0,1.5286502105032674e-05,1.5286502105032674e-05,0.0,synthetic_test,6,1
0.0,31,0.0,synthetic_test_000,0.0,1.5286502105032674e-05,1.5286502105032674e-05,0.0,synthetic_test,7,1
0.0,32,0.0,synthetic_test_000,0.0,1.5286502105032674e-05,1.5286502105032674e-05,0.0,synthetic_test,8,1
0.0,31,0.0,synthetic_test_000,0.0,1.5286502105032674e-05,1.5286502105032674e-05,0.0,synthetic_test,9,1
0.0,31,0.0,synthetic_test_000,0.0,1.5286502105032674e-05,1.5286502105032674e-05,0.0,synthetic_test,10,1
0.0,26,0.0,synthetic_test_000,0.0,1.5286502105032674e-05,1.5286502105032674e-05,0.0,synthetic_test,11,1
0.0,26,0.0,synthetic_test_000,0.0,1.5286502105032674e-05,1.5286502105032674e-05,0.0,synthetic_test,12,1
0.0,30,0.0,synthetic_test_000,0.0,1.5286502105032674e-05,1.5286502105032674e-05,0.0,synthetic_test,13,1
0.0,31,0.0,synthetic_test_000,0.0,1.5286502105032674e-05,1.5286502105032674e-05,0.0,synthetic_test,14,1
0.0,30,0.0,synthetic_test_000,0.0,1.5286502105032674e-05,1.5286502105032674e-05,0.0,synthetic_test,15,1
0.0,32,0.0,synthetic_test_000,0.0,1.5286502105032674e-05,1.5286502105032674e-05,0.0,synthetic_test,16,1
0.0,31,0.0,synthetic_test_000,0.0,1.5286502105032674e-05,1.5286502105032674e-05,0.0,synthetic_test,17,1
0.0,32,0.0,synthetic_test_000,0.0,1.5286502105032674e-05,1.5286502105032674e-05,0.0,synthetic_test,18,1
0.0,27,0.0,synthetic_test_000,0.0,1.5286502105032674e-05,1.5286502105032674e-05,0.0,synthetic_test,19,1
0.0,30,0.0,synthetic_test_000,0.0,1.5286502105032674e-05,1.5286502105032674e-05,0.0,synthetic_test,20,1
0.0,32,0.0,synthetic_test_000,0.0,1.5286502105032674e-05,1.5286502105032674e-05,0.0,synthetic_test,21,1
0.0,30,0.0,synthetic_test_000,0.0,1.5286502105032674e-05,1.5286502105032674e-05,0.0,synthetic_test,22,1
0.0,27,0.0,synthetic_test_000,0.0,1.5286502105032674e-05,1.5286502105032674e-05,0.0,synthetic_test,23,1
0.0,31,0.0,synthetic_test_000,0.0,1.5286502105032674e-05,1.5286502105032674e-05,0.0,synthetic_test,24,1
0.0,26,0.0,synthetic_test_000,0.0,1.5286502105032674e-05,1.5286502105032674e-05,0.0,synthetic_test,25,1
0.0,31,0.0,synthetic_test_000,0.0,1.5286502105032674e-05,1.5286502105032674e-05,0.0,synthetic_test,26,1
0.0,29,0.0,synthetic_test_000,0.0,1.5286502105032674e-05,1.5286502105032674e-05,0.0,synthetic_test,27,1
0.0,31,0.0,synthetic_test_000,0.0,1.5286502105032674e-05,1.5286502105032674e-05,0.0,synthetic_test,28,1
0.0,27,0.0,synthetic_test_000,0.0,1.5286502105032674e-05,1.5286502105032674e-05,0.0,synthetic_test,29,1
0.009615384615384581,30,0.009615384615384581,synthetic_test_001,0.9229582069908971,0.0003177805786409566,0.0006277452663159403,0.9476831665475965,synthetic_test,0,1
0.009615384615384581,33,0.009615384615384581,synthetic_test_001,0.9839131599805843,0.00028741747885108854,0.00059825010478973,0.9965217285917831,synthetic_test,1,1
0.009615384615384581,32,0.009615384615384581,synthetic_test_001,0.9832857309700379,0.0002959215718744028,0.0006075198433725191,0.9962709627734356,synthetic_test,2,1
0.009615384615384581,33,0.009615384615384581,synthetic_test_001,0.9839131599805843,0.00028741747885108854,0.00059825010478973,0.9965217285917831,synthetic_test,3,1
0.04807692307692313,28,0.04807692307692313,synthetic_test_001,0.9696480760071398,0.0009590124363826345,0.002710215492119933,0.9935106387915428,synthetic_test,4,1
0.009615384615384581,29,0.009615384615384581,synthetic_test_001,0.9853292781642932,0.00019084211166220388,0.0004788269436121295,0.9979374333489656,synthetic_test,5,1
0.009615384615384581,28,0.009615384615384581,synthetic_test_001,0.984731927834662,0.00019711195486067428,0.00048729385160703237,0.9977753031397176,synthetic_test,6,1
0.009615384615384581,29,0.009615384615384581,synthetic_test_001,0.9853292781642932,0.00019084211166220388,0.0004788269436121295,0.9979374333489656,synthetic_test,7,1
0.009615384615384581,30,0.009615384615384581,synthetic_test_001,0.9858816444292032,0.0001849902580102982,0.00047078713141169854,0.9980824526939038,synthetic_test,8,1
0.009615384615384581,28,0.009615384615384581,synthetic_test_001,0.9749333564428652,0.00017052299224160053,0.0004330099350104415,0.9966685082309639,synthetic_test,9,1
0.009615384615384581,29,0.009615384615384581,synthetic_test_001,0.9759000729485332,0.0001651700098230982,0.00042548822197092993,0.9969109244882152,synthetic_test,10,1
0.028846153846153744,31,0.028846153846153744,synthetic_test_001,0.9751513961425544,0.00025318890201523307,0.0005550148143331758,0.9961758942143404,synthetic_test,11,1
0.009615384615384692,27,0.009615384615384692,synthetic_test_001,0.9863939238321439,0.00015583129810519335,0.0004272313322160499,0.9984603532054124,synthetic_test,12,1
0.009615384615384692,28,0.009615384615384692,synthetic_test_001,0.8798826901281199,0.00019711195486069003,0.0004584670269110347,0.908320450345391,synthetic_test,13,1
0.03846153846153855,29,0.03846153846153855,synthetic_test_001,0.9766049484994053,0.0004442160211311084,0.0011950695059753738,0.9960569397364799,synthetic_test,14,1
0.009615384615384581,26,0.009615384615384581,synthetic_test_001,0.9858148842026544,0.0001612368671821098,0.00043535948125942035,0.998331942124796,synthetic_test,15,1
0.009615384615384581,29,0.009615384615384581,synthetic_test_001,0.9874208829065748,0.00014613855355344665,0.0004122556060731758,0.9986763726826109,synthetic_test,16,1
0.009615384615384581,27,0.009615384615384581,synthetic_test_001,0.9863939238321439,0.00015583129810518102,0.0004272313322160129,0.9984603532054124,synthetic_test,17,1
0.009615384615384581,25,0.009615384615384581,synthetic_test_001,0.9851843661437778,0.0001670748817851929,0.0004439707715081097,0.998186761880863,synthetic_test,18,1
0.009615384615384581,28,0.009615384615384581,synthetic_test_001,0.9869275424396533,0.00015081184110517573,0.00041954278601308845,0.9985744825254632,synthetic_test,19,1
0.009615384615384581,29,0.009615384615384581,synthetic_test_001,0.9874208829065748,0.00014613855355344665,0.00041225560607317585,0.9986763726826109,synthetic_test,20,1
0.009615384615384581,27,0.009615384615384581,synthetic_test_001,0.8615497903412859,0.00015933130045547267,0.00042774334273938756,0.8814637923739053,synthetic_test,21,1
0.009615384615384581,31,0.009615384615384581,synthetic_test_001,0.9883036912035245,0.0001376964857180651,0.0003987542379880887,0.9988499133630073,synthetic_test,22,1
0.009615384615384581,27,0.009615384615384581,synthetic_test_001,0.9863939238321439,0.00015583129810518102,0.0004272313322160129,0.9984603532054124,synthetic_test,23,1
0.009615384615384581,28,0.009615384615384581,synthetic_test_001,0.9869275424396533,0.00015081184110517573,0.00041954278601308845,0.9985744825254632,synthetic_test,24,1
0.009615384615384581,26,0.009615384615384581,synthetic_test_001,0.9858148842026544,0.0001612368671821098,0.00043535948125942035,0.998331942124796,synthetic_test,25,1
0.009615384615384581,26,0.009615384615384581,synthetic_test_001,0.9858148842026544,0.0001612368671821098,0.00043535948125942035,0.998331942124796,synthetic_test,26,1
0.009615384615384581,26,0.009615384615384581,synthetic_test_001,0.9858148842026544,0.0001612368671821098,0.00043535948125942035,0.998331942124796,synthetic_test,27,1
0.028846153846153855,30,0.028846153846153855,synthetic_test_001,0.9907832134966704,0.0003347940792901607,0.0011348428632078963,0.9990435196280983,synthetic_test,28,1
0.009615384615384581,25,0.009615384615384581,synthetic_test_001,0.9851843661437778,0.0001670748817851929,0.0004439707715081097,0.998186761880863,synthetic_test,29,1
0.016260162601625994,27,0.016260162601625994,synthetic_test_002,0.9896370260347829,5.9806254881370976e-05,0.00014366079978685197,0.9988002395200092,synthetic_test,0,1
0.008130081300813052,27,0.008130081300813052,synthetic_test_002,0.9999999999999999,2.7014437305588513e-05,4.948823722656761e-05,1.0,synthetic_test,1,1
0.016260162601625994,29,0.016260162601625994,synthetic_test_002,0.990430401872025,0.0001311329429359374,0.0005254885821511484,0.9989713695203262,synthetic_test,2,1
0.008130081300813052,27,0.008130081300813052,synthetic_test_002,0.9999999999999999,2.7014437305588513e-05,4.948823722656761e-05,1.0,synthetic_test,3,1
0.008130081300813052,27,0.008130081300813052,synthetic_test_002,0.9901475429766742,3.0514439655880122e-05,6.320705874561286e-05,0.999260081289737,synthetic_test,4,1
0.008130081300813052,26,0.008130081300813052,synthetic_test_002,0.9897433186107871,3.110012956168195e-05,6.434130575589699e-05,0.9991996797437437,synthetic_test,5,1
0.008130081300813052,27,0.008130081300813052,synthetic_test_002,0.9901475429766742,3.0514439655880122e-05,6.320705874561286e-05,0.999260081289737,synthetic_test,6,1
0.008130081300813052,33,0.008130081300813052,synthetic_test_002,0.9920317455237933,2.7745723737544222e-05,5.754329972105316e-05,0.9995115994824673,synthetic_test,7,1
0.008130081300813052,28,0.008130081300813052,synthetic_test_002,0.9905211130872973,2.9970584743349857e-05,6.213529264520105e-05,0.9993138935727438,synthetic_test,8,1
0.016260162601626105,29,0.016260162601626105,synthetic_test_002,0.9938079899999066,0.00012241476401644546,0.0005070815632402967,0.9995593742901308,synthetic_test,9,1
0.0325203252032521,29,0.0325203252032521,synthetic_test_002,0.9961464211187492,0.0006038354749997078,0.001956745634259117,0.9997158687256186,synthetic_test,10,1
0.008130081300812941,25,0.008130081300812941,synthetic_test_002,1.0,2.1619587113337267e-05,3.781531071258145e-05,1.0,synthetic_test,11,1
0.008130081300812941,22,0.008130081300812941,synthetic_test_002,1.0,2.248318961446971e-05,3.991406203981785e-05,1.0,synthetic_test,12,1
0.008130081300812941,24,0.008130081300812941,synthetic_test_002,1.0,2.1883465655349956e-05,3.8468745950782214e-05,1.0,synthetic_test,13,1
0.0,23,0.0,synthetic_test_002,0.0,1.9395200516244582e-05,2.734162871922283e-05,0.0,synthetic_test,14,1
0.0,26,0.0,synthetic_test_002,0.0,1.5286502105032674e-05,1.5286502105032674e-05,0.0,synthetic_test,15,1
0.0,27,0.0,synthetic_test_002,0.0,1.5286502105032674e-05,1.5286502105032674e-05,0.0,synthetic_test,16,1
0.0,26,0.0,synthetic_test_002,0.0,1.5286502105032674e-05,1.5286502105032674e-05,0.0,synthetic_test,17,1
0.0,23,0.0,synthetic_test_002,0.0,1.5286502105032674e-05,1.5286502105032674e-05,0.0,synthetic_test,18,1
