auc,graph_id,graph_type,method,remove_ratio_gcc_le_0_1,remove_ratio_gcc_le_0_2,remove_ratio_gcc_le_0_5,split
0.055710306406685235,synthetic_test_000,sbm,Candidate damage predictor,,,,synthetic_test
0.055710306406685235,synthetic_test_000,sbm,M2 dynamic degree product,,,,synthetic_test
0.055710306406685235,synthetic_test_000,sbm,M4 dynamic community internal / pair,,,,synthetic_test
0.0550399825668429,synthetic_test_000,sbm,M5 dynamic edge betweenness,,,,synthetic_test
0.055710306406685235,synthetic_test_000,sbm,M7 dynamic community size / pair,,,,synthetic_test
0.055710306406685235,synthetic_test_000,sbm,M8 dynamic community bridge-degree,,,,synthetic_test
0.14131039415130323,synthetic_test_001,sbm,Candidate damage predictor,,,,synthetic_test
0.15289256198347106,synthetic_test_001,sbm,M2 dynamic degree product,,,,synthetic_test
0.15289256198347106,synthetic_test_001,sbm,M4 dynamic community internal / pair,,,,synthetic_test
0.13860855054036872,synthetic_test_001,sbm,M5 dynamic edge betweenness,,,,synthetic_test
0.15289256198347106,synthetic_test_001,sbm,M7 dynamic community size / pair,,,,synthetic_test
0.15289256198347106,synthetic_test_001,sbm,M8 dynamic community bridge-degree,,,,synthetic_test
