best_true_delta,candidate_count,chosen_true_delta,graph_id,kendall,mae,rmse,spearman,split,step,top1_hit
0.0,32,0.0,synthetic_test_000,0.0,1.3120479461055161e-05,1.323989073986624e-05,0.0,synthetic_test,0,1
0.0,26,0.0,synthetic_test_000,0.0,1.7648956292423522e-05,3.0236951084428824e-05,0.0,synthetic_test,1,1
0.005102040816326481,25,0.005102040816326481,synthetic_test_000,0.5940885257860047,2.385847816560392e-05,5.847854986982171e-05,0.601929265428846,synthetic_test,2,1
0.0,25,0.0,synthetic_test_000,0.0,1.299221367439194e-05,1.314349630676978e-05,0.0,synthetic_test,3,1
0.0,27,0.0,synthetic_test_000,0.0,1.825779893816066e-05,3.0043661781496458e-05,0.0,synthetic_test,4,1
0.005102040816326592,27,0.005102040816326592,synthetic_test_000,1.0,2.363992756665831e-05,5.648760199648522e-05,1.0,synthetic_test,5,1
0.0,32,0.0,synthetic_test_000,0.0,1.3349525508668062e-05,1.3410300375320424e-05,0.0,synthetic_test,6,1
0.0,31,0.0,synthetic_test_000,0.0,1.3578571556280963e-05,1.3578571556280963e-05,0.0,synthetic_test,7,1
0.0,32,0.0,synthetic_test_000,0.0,1.3578571556280961e-05,1.3578571556280961e-05,0.0,synthetic_test,8,1
0.0,31,0.0,synthetic_test_000,0.0,1.3578571556280963e-05,1.3578571556280963e-05,0.0,synthetic_test,9,1
0.0,31,0.0,synthetic_test_000,0.0,1.3578571556280963e-05,1.3578571556280963e-05,0.0,synthetic_test,10,1
0.0,26,0.0,synthetic_test_000,0.0,1.3578571556280963e-05,1.3578571556280963e-05,0.0,synthetic_test,11,1
0.0,26,0.0,synthetic_test_000,0.0,1.3578571556280963e-05,1.3578571556280963e-05,0.0,synthetic_test,12,1
0.0,30,0.0,synthetic_test_000,0.0,1.3578571556280963e-05,1.3578571556280963e-05,0.0,synthetic_test,13,1
0.0,31,0.0,synthetic_test_000,0.0,1.3578571556280963e-05,1.3578571556280963e-05,0.0,synthetic_test,14,1
0.0,30,0.0,synthetic_test_000,0.0,1.3578571556280963e-05,1.3578571556280963e-05,0.0,synthetic_test,15,1
0.0,32,0.0,synthetic_test_000,0.0,1.3349525508668062e-05,1.3410300375320424e-05,0.0,synthetic_test,16,1
0.0,31,0.0,synthetic_test_000,0.0,1.3342136926487002e-05,1.3404837104198704e-05,0.0,synthetic_test,17,1
0.0,32,0.0,synthetic_test_000,0.0,1.3578571556280961e-05,1.3578571556280961e-05,0.0,synthetic_test,18,1
0.0,27,0.0,synthetic_test_000,0.0,1.3578571556280963e-05,1.3578571556280963e-05,0.0,synthetic_test,19,1
0.0,30,0.0,synthetic_test_000,0.0,1.3578571556280963e-05,1.3578571556280963e-05,0.0,synthetic_test,20,1
0.0,32,0.0,synthetic_test_000,0.0,1.3578571556280961e-05,1.3578571556280961e-05,0.0,synthetic_test,21,1
0.0,30,0.0,synthetic_test_000,0.0,1.3578571556280963e-05,1.3578571556280963e-05,0.0,synthetic_test,22,1
0.0,27,0.0,synthetic_test_000,0.0,1.3578571556280963e-05,1.3578571556280963e-05,0.0,synthetic_test,23,1
