auc,graph_id,graph_type,method,remove_ratio_gcc_le_0_1,remove_ratio_gcc_le_0_2,remove_ratio_gcc_le_0_5,split
0.03663805355011085,synthetic_test_000,sbm,Candidate damage predictor,,,,synthetic_test
0.037140204271123495,synthetic_test_000,sbm,M2 dynamic degree product,,,,synthetic_test
0.037140204271123495,synthetic_test_000,sbm,M4 dynamic community internal / pair,,,,synthetic_test
0.03678254031417581,synthetic_test_000,sbm,M5 dynamic edge betweenness,,,,synthetic_test
0.037140204271123495,synthetic_test_000,sbm,M7 dynamic community size / pair,,,,synthetic_test
0.037140204271123495,synthetic_test_000,sbm,M8 dynamic community bridge-degree,,,,synthetic_test
0.09909408773045136,synthetic_test_001,sbm,Candidate damage predictor,,,,synthetic_test
0.10330578512396695,synthetic_test_001,sbm,M2 dynamic degree product,,,,synthetic_test
0.10330578512396695,synthetic_test_001,sbm,M4 dynamic community internal / pair,,,,synthetic_test
0.09595518118245391,synthetic_test_001,sbm,M5 dynamic edge betweenness,,,,synthetic_test
0.10330578512396695,synthetic_test_001,sbm,M7 dynamic community size / pair,,,,synthetic_test
0.10330578512396695,synthetic_test_001,sbm,M8 dynamic community bridge-degree,,,,synthetic_test
