avg_degree,candidate_rank_min,candidate_source_count,clustering_product,clustering_u,clustering_v,community_internal_edges_u,community_internal_edges_v,community_internal_product,community_pair_edges,community_size_product,community_size_u,community_size_v,current_edges,current_gcc_ratio,current_nodes,degree_abs_diff,degree_max,degree_min,degree_product,degree_sum,degree_u,degree_v,density,gcc_delta,graph_id,graph_type,is_inter_community,m4_score,m7_score,m8_score,n,node_betweenness_product,node_betweenness_u,node_betweenness_v,num_communities,pagerank_product,pagerank_u,pagerank_v,remove_ratio,same_community,source_bridge,source_m2,source_m4,source_m5,source_m7,source_m8,source_random,split,step,u,v,damage_rank
8.0,1,1,0.11753086419753087,0.3111111111111111,0.37777777777777777,57,57,3249,0,289,17,17,648,1.0,162,0,10,10,100,20,10,10,0.049689440993788817,0.0,train_000,ws,0,0.0,0.0,0.0,162,0.002191603589377706,0.06173678900581702,0.035499150906134855,9,5.4396305520777526e-05,0.007338604729634681,0.007412349830086215,0.0,1,0,1,0,0,0,0,0,train,0,29,30,1
8.0,2,1,0.11753086419753087,0.3111111111111111,0.37777777777777777,57,64,3648,2,323,17,19,648,1.0,162,0,10,10,100,20,10,10,0.049689440993788817,0.0,train_000,ws,1,1824.0,161.5,16150.0,162,0.002992249603208287,0.06173678900581702,0.04846785282153804,9,5.393538280704678e-05,0.007338604729634681,0.007349541880794513,0.0,0,0,1,0,0,0,0,0,train,0,29,75,1
8.0,3,1,0.09506172839506173,0.3055555555555556,0.3111111111111111,79,57,4503,9,391,23,17,648,1.0,162,1,10,9,90,19,9,10,0.049689440993788817,0.0,train_000,ws,1,500.3333333333333,43.44444444444444,3910.0,162,0.0020841896614381262,0.03375928186420171,0.06173678900581702,9,4.9867566375070204e-05,0.006795238088474161,0.007338604729634681,0.0,0,0,1,0,0,0,0,0,train,0,14,29,1
8.0,4,1,0.12962962962962965,0.4166666666666667,0.3111111111111111,57,57,3249,0,289,17,17,648,1.0,162,1,10,9,90,19,9,10,0.049689440993788817,0.0,train_000,ws,0,0.0,0.0,0.0,162,0.0009003348297465698,0.014583441157941298,0.06173678900581702,9,4.9593294314231756e-05,0.006757864218243641,0.007338604729634681,0.0,1,0,1,0,0,0,0,0,train,0,23,29,1
8.0,5,1,0.09506172839506173,0.3111111111111111,0.3055555555555556,57,64,3648,2,323,17,19,648,1.0,162,1,10,9,90,19,10,9,0.049689440993788817,0.0,train_000,ws,1,1824.0,161.5,14535.0,162,0.0017900689331081657,0.06173678900581702,0.028995173897681983,9,4.9646164305330306e-05,0.007338604729634681,0.006765068583793546,0.0,0,0,1,0,0,0,0,0,train,0,29,71,1
8.0,1,3,0.19047619047619047,0.38095238095238093,0.5,64,67,4288,1,380,19,20,648,1.0,162,1,8,7,56,15,7,8,0.049689440993788817,0.0,train_000,ws,1,4288.0,380.0,21280.0,162,0.0006579877722566335,0.0270324701840714,0.024340645445133827,9,3.4111056381150887e-05,0.0054640497481718685,0.006242815851477849,0.0,0,0,0,1,0,1,1,0,train,0,70,114,1
8.0,1,4,0.10714285714285714,0.42857142857142855,0.25,49,76,3724,1,352,16,22,648,1.0,162,1,9,8,72,17,8,9,0.049689440993788817,0.0,train_000,ws,1,3724.0,352.0,25344.0,162,0.003073731387861275,0.045584213687217934,0.06742973365630668,9,4.352757466234649e-05,0.006288007064968343,0.006922316437086514,0.0,0,0,0,1,1,1,1,0,train,0,52,123,1
8.0,3,3,0.10582010582010581,0.2777777777777778,0.38095238095238093,49,67,3283,1,320,16,20,648,1.0,162,2,9,7,63,16,9,7,0.049689440993788817,0.0,train_000,ws,1,3283.0,320.0,20160.0,162,0.002583521922483268,0.05825048288726972,0.04435194000851588,9,3.824170579946237e-05,0.006862606932431622,0.005572475034048353,0.0,0,0,0,1,0,1,1,0,train,0,44,120,1
8.0,4,2,0.16581632653061226,0.35714285714285715,0.4642857142857143,79,76,6004,2,506,23,22,648,1.0,162,0,8,8,64,16,8,8,0.049689440993788817,0.0,train_000,ws,1,3002.0,253.0,16192.0,162,0.0008481385601053517,0.03169115887299593,0.026762623718000148,9,3.831509953272141e-05,0.006181220467733046,0.00619863014638166,0.0,0,0,0,1,0,1,0,0,train,0,12,132,1
8.0,4,2,0.2222222222222222,0.4444444444444444,0.5,79,76,6004,2,506,23,22,648,1.0,162,1,9,8,72,17,9,8,0.049689440993788817,0.0,train_000,ws,1,3002.0,253.0,18216.0,162,0.0009848188586428625,0.03692412757860854,0.02667141847959065,9,4.189555476143342e-05,0.006793597106287378,0.006166917776542808,0.0,0,0,0,1,0,0,1,0,train,0,15,141,1
8.0,1,1,0.126984126984127,0.35714285714285715,0.35555555555555557,67,50,3350,2,320,20,16,648,1.0,162,2,10,8,80,18,8,10,0.049689440993788817,0.0,train_000,ws,1,1675.0,160.0,12800.0,162,0.0036261738447967043,0.06293591866410911,0.057616920858019144,9,4.596954452236703e-05,0.006109447125404628,0.007524337894866791,0.0,0,0,0,0,1,0,0,0,train,0,110,149,1
8.0,3,2,0.13040123456790123,0.3611111111111111,0.3611111111111111,79,63,4977,2,437,23,19,648,1.0,162,0,9,9,81,18,9,9,0.049689440993788817,0.0,train_000,ws,1,2488.5,218.5,17698.5,162,0.003180717835375916,0.06512150301022328,0.04884281978068876,9,4.5423828013043854e-05,0.0067527605487251625,0.006726704980175746,0.0,0,0,0,0,1,0,1,0,train,0,19,97,1
8.0,4,1,0.20238095238095236,0.4722222222222222,0.42857142857142855,63,67,4221,11,380,19,20,648,1.0,162,1,9,8,72,17,9,8,0.049689440993788817,0.0,train_000,ws,1,383.72727272727275,34.54545454545455,2487.2727272727275,162,0.001576788270865923,0.041538233905611045,0.03795992565425195,9,4.264010298794109e-05,0.006842114338459942,0.006232006786010352,0.0,0,0,0,0,1,0,0,0,train,0,89,121,1
8.0,5,1,0.10493827160493828,0.2777777777777778,0.37777777777777777,49,64,3136,4,304,16,19,648,1.0,162,1,10,9,90,19,9,10,0.049689440993788817,0.0,train_000,ws,1,784.0,76.0,6840.0,162,0.002823275831363709,0.05825048288726972,0.04846785282153804,9,5.043701706133697e-05,0.006862606932431622,0.007349541880794513,0.0,0,0,0,0,1,0,0,0,train,0,44,75,1
8.0,4,1,0.1020408163265306,0.23809523809523808,0.42857142857142855,57,50,2850,1,272,17,16,648,1.0,162,1,8,7,56,15,7,8,0.049689440993788817,0.0,train_000,ws,1,2850.0,272.0,15232.0,162,0.0008112483671191692,0.03253066533553476,0.024937958039026178,9,3.3915606948106645e-05,0.005436722682467516,0.0062382447899133366,0.0,0,0,0,0,0,1,0,0,train,0,22,156,1
8.0,1,1,0.07936507936507936,0.2777777777777778,0.2857142857142857,49,49,2401,0,256,16,16,648,1.0,162,2,9,7,63,16,9,7,0.049689440993788817,0.0,train_000,ws,0,0.0,0.0,0.0,162,0.0015392131509682036,0.05825048288726972,0.02642404104953075,9,3.82600940351358e-05,0.006862606932431622,0.00557515451662028,0.0,1,0,0,0,0,0,0,1,train,0,44,46,1
8.0,2,1,0.19047619047619047,0.3333333333333333,0.5714285714285714,49,49,2401,0,256,16,16,648,1.0,162,1,8,7,56,15,7,8,0.049689440993788817,0.0,train_000,ws,0,0.0,0.0,0.0,162,8.02528695202144e-05,0.012237874060609192,0.006557745987804313,9,3.5390693317990935e-05,0.005583130279478345,0.006338862169861032,0.0,1,0,0,0,0,0,0,1,train,0,47,51,1
8.0,3,1,0.21683673469387754,0.35714285714285715,0.6071428571428571,79,79,6241,0,529,23,23,648,1.0,162,0,8,8,64,16,8,8,0.049689440993788817,0.0,train_000,ws,0,0.0,0.0,0.0,162,0.00010815258735721067,0.018337979596393213,0.00589773735916265,9,3.745602038747774e-05,0.006146848977955052,0.00609353190908209,0.0,1,0,0,0,0,0,0,1,train,0,13,17,1
8.0,4,1,0.3673469387755102,0.6428571428571429,0.5714285714285714,57,57,3249,0,289,17,17,648,1.0,162,0,8,8,64,16,8,8,0.049689440993788817,0.0,train_000,ws,0,0.0,0.0,0.0,162,1.824036897040794e-05,0.0037442463148614114,0.00487157292457216,9,3.704239189918879e-05,0.006076772725886293,0.006095734293532622,0.0,1,0,0,0,0,0,0,1,train,0,27,28,1
8.0,5,1,0.22936507936507933,0.6071428571428571,0.37777777777777777,29,29,841,0,100,10,10,648,1.0,162,2,10,8,80,18,8,10,0.049689440993788817,0.0,train_000,ws,0,0.0,0.0,0.0,162,0.00021250311863173118,0.005371045988563668,0.039564568816615,9,4.636462057301996e-05,0.006167458517696159,0.007517621795101974,0.0,1,0,0,0,0,0,0,1,train,0,63,64,1
8.0,6,1,0.24489795918367344,0.5714285714285714,0.42857142857142855,50,50,2500,0,256,16,16,648,1.0,162,0,8,8,64,16,8,8,0.049689440993788817,0.0,train_000,ws,0,0.0,0.0,0.0,162,9.66659495730684e-05,0.003876257607851969,0.024937958039026178,9,3.8813402897248925e-05,0.006221846722014916,0.0062382447899133366,0.0,1,0,0,0,0,0,0,1,train,0,155,156,1
7.987654320987654,1,1,0.11753086419753087,0.3111111111111111,0.37777777777777777,57,57,3249,0,289,17,17,647,1.0,162,0,10,10,100,20,10,10,0.049612759757687294,0.0,train_000,ws,0,0.0,0.0,0.0,162,0.0022670245537781217,0.06185095245873188,0.03665302576044764,8,5.442354382873145e-05,0.007340437416399647,0.007414209908954611,0.0015432098765432098,1,0,1,0,0,0,0,0,train,1,29,30,1
7.987654320987654,2,1,0.11753086419753087,0.3111111111111111,0.37777777777777777,57,94,5358,3,459,17,27,647,1.0,162,0,10,10,100,20,10,10,0.049612759757687294,0.0,train_000,ws,1,1786.0,153.0,15300.0,162,0.0030356512047609568,0.06185095245873188,0.04908010441369356,8,5.395739694112408e-05,0.007340437416399647,0.007350705943023925,0.0015432098765432098,0,0,1,0,0,0,0,0,train,1,29,75,1
7.987654320987654,3,1,0.09506172839506173,0.3055555555555556,0.3111111111111111,79,57,4503,9,391,23,17,647,1.0,162,1,10,9,90,19,9,10,0.049612759757687294,0.0,train_000,ws,1,500.3333333333333,43.44444444444444,3910.0,162,0.002104713091762561,0.03402879031114137,0.06185095245873188,8,4.990447096206138e-05,0.006798569094883534,0.007340437416399647,0.0015432098765432098,0,0,1,0,0,0,0,0,train,1,14,29,1
7.987654320987654,4,1,0.12962962962962965,0.4166666666666667,0.3111111111111111,57,57,3249,0,289,17,17,647,1.0,162,1,10,9,90,19,9,10,0.049612759757687294,0.0,train_000,ws,0,0.0,0.0,0.0,162,0.0009308360773468833,0.015049664400365616,0.06185095245873188,8,4.962965182350048e-05,0.006761130026477758,0.007340437416399647,0.0015432098765432098,1,0,1,0,0,0,0,0,train,1,23,29,1
7.987654320987654,5,1,0.09506172839506173,0.3111111111111111,0.3055555555555556,57,94,5358,3,459,17,27,647,1.0,162,1,10,9,90,19,10,9,0.049612759757687294,0.0,train_000,ws,1,1786.0,153.0,13770.0,162,0.0017973089052070867,0.06185095245873188,0.02905871023419219,8,4.966757738460514e-05,0.007340437416399647,0.006766296688755939,0.0015432098765432098,0,0,1,0,0,0,0,0,train,1,29,71,1
7.987654320987654,1,3,0.16765873015873017,0.3611111111111111,0.4642857142857143,94,76,7144,1,594,27,22,647,1.0,162,1,9,8,72,17,9,8,0.049612759757687294,0.0,train_000,ws,1,7144.0,594.0,42768.0,162,0.0007456771520830746,0.03753088103127521,0.01986836257485369,8,4.199540059367486e-05,0.0067454494580139746,0.006225737937118772,0.0015432098765432098,0,0,0,1,0,1,1,0,train,1,76,129,1
7.987654320987654,2,3,0.19047619047619047,0.38095238095238093,0.5,94,67,6298,1,540,27,20,647,1.0,162,1,8,7,56,15,7,8,0.049612759757687294,0.0,train_000,ws,1,6298.0,540.0,30240.0,162,0.0007451811092528771,0.028527388372754946,0.026121602844113186,8,3.4235475540335056e-05,0.005466879844226528,0.00626234278342344,0.0015432098765432098,0,0,0,1,0,1,1,0,train,1,70,114,1
