avg_degree,candidate_rank_min,candidate_source_count,clustering_product,clustering_u,clustering_v,community_internal_edges_u,community_internal_edges_v,community_internal_product,community_pair_edges,community_size_product,community_size_u,community_size_v,current_edges,current_gcc_ratio,current_nodes,degree_abs_diff,degree_max,degree_min,degree_product,degree_sum,degree_u,degree_v,density,gcc_delta,graph_id,graph_type,is_inter_community,m4_score,m7_score,m8_score,n,node_betweenness_product,node_betweenness_u,node_betweenness_v,num_communities,pagerank_product,pagerank_u,pagerank_v,remove_ratio,same_community,source_m2,source_m4,source_m5,source_m7,source_m8,split,step,u,v,damage_rank
8.0,1,1,0.11753086419753087,0.3111111111111111,0.37777777777777777,57,57,3249,0,289,17,17,648,1.0,162,0,10,10,100,20,10,10,0.049689440993788817,0.0,train_000,ws,0,0.0,0.0,0.0,162,0.002191603589377706,0.06173678900581702,0.035499150906134855,9,5.4396305520777526e-05,0.007338604729634681,0.007412349830086215,0.0,1,1,0,0,0,0,train,0,29,30,1
8.0,2,1,0.11753086419753087,0.3111111111111111,0.37777777777777777,57,64,3648,2,323,17,19,648,1.0,162,0,10,10,100,20,10,10,0.049689440993788817,0.0,train_000,ws,1,1824.0,161.5,16150.0,162,0.002992249603208287,0.06173678900581702,0.04846785282153804,9,5.393538280704678e-05,0.007338604729634681,0.007349541880794513,0.0,0,1,0,0,0,0,train,0,29,75,1
8.0,3,1,0.09506172839506173,0.3055555555555556,0.3111111111111111,79,57,4503,9,391,23,17,648,1.0,162,1,10,9,90,19,9,10,0.049689440993788817,0.0,train_000,ws,1,500.3333333333333,43.44444444444444,3910.0,162,0.0020841896614381262,0.03375928186420171,0.06173678900581702,9,4.9867566375070204e-05,0.006795238088474161,0.007338604729634681,0.0,0,1,0,0,0,0,train,0,14,29,1
8.0,4,1,0.12962962962962965,0.4166666666666667,0.3111111111111111,57,57,3249,0,289,17,17,648,1.0,162,1,10,9,90,19,9,10,0.049689440993788817,0.0,train_000,ws,0,0.0,0.0,0.0,162,0.0009003348297465698,0.014583441157941298,0.06173678900581702,9,4.9593294314231756e-05,0.006757864218243641,0.007338604729634681,0.0,1,1,0,0,0,0,train,0,23,29,1
8.0,5,1,0.09506172839506173,0.3111111111111111,0.3055555555555556,57,64,3648,2,323,17,19,648,1.0,162,1,10,9,90,19,10,9,0.049689440993788817,0.0,train_000,ws,1,1824.0,161.5,14535.0,162,0.0017900689331081657,0.06173678900581702,0.028995173897681983,9,4.9646164305330306e-05,0.007338604729634681,0.006765068583793546,0.0,0,1,0,0,0,0,train,0,29,71,1
8.0,1,3,0.19047619047619047,0.38095238095238093,0.5,64,67,4288,1,380,19,20,648,1.0,162,1,8,7,56,15,7,8,0.049689440993788817,0.0,train_000,ws,1,4288.0,380.0,21280.0,162,0.0006579877722566335,0.0270324701840714,0.024340645445133827,9,3.4111056381150887e-05,0.0054640497481718685,0.006242815851477849,0.0,0,0,1,0,1,1,train,0,70,114,1
8.0,1,4,0.10714285714285714,0.42857142857142855,0.25,49,76,3724,1,352,16,22,648,1.0,162,1,9,8,72,17,8,9,0.049689440993788817,0.0,train_000,ws,1,3724.0,352.0,25344.0,162,0.003073731387861275,0.045584213687217934,0.06742973365630668,9,4.352757466234649e-05,0.006288007064968343,0.006922316437086514,0.0,0,0,1,1,1,1,train,0,52,123,1
8.0,3,3,0.10582010582010581,0.2777777777777778,0.38095238095238093,49,67,3283,1,320,16,20,648,1.0,162,2,9,7,63,16,9,7,0.049689440993788817,0.0,train_000,ws,1,3283.0,320.0,20160.0,162,0.002583521922483268,0.05825048288726972,0.04435194000851588,9,3.824170579946237e-05,0.006862606932431622,0.005572475034048353,0.0,0,0,1,0,1,1,train,0,44,120,1
8.0,4,2,0.16581632653061226,0.35714285714285715,0.4642857142857143,79,76,6004,2,506,23,22,648,1.0,162,0,8,8,64,16,8,8,0.049689440993788817,0.0,train_000,ws,1,3002.0,253.0,16192.0,162,0.0008481385601053517,0.03169115887299593,0.026762623718000148,9,3.831509953272141e-05,0.006181220467733046,0.00619863014638166,0.0,0,0,1,0,1,0,train,0,12,132,1
8.0,4,2,0.2222222222222222,0.4444444444444444,0.5,79,76,6004,2,506,23,22,648,1.0,162,1,9,8,72,17,9,8,0.049689440993788817,0.0,train_000,ws,1,3002.0,253.0,18216.0,162,0.0009848188586428625,0.03692412757860854,0.02667141847959065,9,4.189555476143342e-05,0.006793597106287378,0.006166917776542808,0.0,0,0,1,0,0,1,train,0,15,141,1
