best_true_delta,candidate_count,chosen_true_delta,graph_id,kendall,mae,rmse,spearman,split,step,top1_hit
0.0,24,0.0,synthetic_test_000,0.0,2.699022518731901e-05,7.329707549976913e-05,0.0,synthetic_test,0,1
0.0,18,0.0,synthetic_test_000,0.0,9.494857322739966e-05,0.0002113975744725603,0.0,synthetic_test,1,1
0.005102040816326481,18,0.005102040816326481,synthetic_test_000,0.38616422286061647,0.0001257610104444719,0.00039969833939736577,0.42526587428312096,synthetic_test,2,1
0.0,17,0.0,synthetic_test_000,0.0,3.5612675430774486e-05,8.480006140560865e-05,0.0,synthetic_test,3,1
0.0,20,0.0,synthetic_test_000,0.0,2.137627601560604e-05,6.607859391307802e-05,0.0,synthetic_test,4,1
0.005102040816326592,19,0.005102040816326592,synthetic_test_000,0.4008918628686366,5.294024983112967e-05,0.0002042569321495704,0.4323022621981515,synthetic_test,5,1
0.0,24,0.0,synthetic_test_000,0.0,7.757391991012128e-06,1.12439832491368e-05,0.0,synthetic_test,6,1
0.0,24,0.0,synthetic_test_000,0.0,1.4598972781912128e-05,2.751160649113922e-05,0.0,synthetic_test,7,1
0.0,23,0.0,synthetic_test_000,0.0,1.7756404084851708e-05,4.896367445165594e-05,0.0,synthetic_test,8,1
0.0,23,0.0,synthetic_test_000,0.0,1.7931663904879482e-05,4.898881977032399e-05,0.0,synthetic_test,9,1
0.0,22,0.0,synthetic_test_000,0.0,1.7193197134013374e-05,4.967537382368675e-05,0.0,synthetic_test,10,1
0.0,23,0.0,synthetic_test_000,0.0,1.6317063708023652e-05,4.853031250835142e-05,0.0,synthetic_test,11,1
0.0,23,0.0,synthetic_test_000,0.0,1.6457285323187645e-05,4.8549533620353314e-05,0.0,synthetic_test,12,1
0.0,23,0.0,synthetic_test_000,0.0,1.6141803887995877e-05,4.850492949666774e-05,0.0,synthetic_test,13,1
0.0,23,0.0,synthetic_test_000,0.0,1.6316414968843248e-05,4.853024521950087e-05,0.0,synthetic_test,14,1
0.0,23,0.0,synthetic_test_000,0.0,1.6631896404035016e-05,4.857482609687857e-05,0.0,synthetic_test,15,1
0.0,23,0.0,synthetic_test_000,0.0,2.2494583191772616e-05,4.3594106029287946e-05,0.0,synthetic_test,16,1
0.0,24,0.0,synthetic_test_000,0.0,5.901223054035715e-06,7.1707593983033415e-06,0.0,synthetic_test,17,1
0.0,23,0.0,synthetic_test_000,0.0,5.764006783441838e-06,7.0777114728954995e-06,0.0,synthetic_test,18,1
0.0,22,0.0,synthetic_test_000,0.0,6.64751061054116e-06,9.6645777682731e-06,0.0,synthetic_test,19,1
0.0,24,0.0,synthetic_test_000,0.0,1.5461604130247828e-05,4.747791939695401e-05,0.0,synthetic_test,20,1
0.0,23,0.0,synthetic_test_000,0.0,1.1735169269264982e-05,2.401342538157101e-05,0.0,synthetic_test,21,1
0.0,23,0.0,synthetic_test_000,0.0,4.959586231309378e-06,5.503915694439425e-06,0.0,synthetic_test,22,1
0.0,24,0.0,synthetic_test_000,0.0,6.512403177750736e-06,9.366196308900154e-06,0.0,synthetic_test,23,1
0.0,19,0.0,synthetic_test_000,0.0,4.775815815953663e-06,5.393816228907533e-06,0.0,synthetic_test,24,1
0.0,19,0.0,synthetic_test_000,0.0,1.565463547863315e-05,4.957391189320713e-05,0.0,synthetic_test,25,1
0.0,23,0.0,synthetic_test_000,0.0,1.953684764922713e-05,5.047624499336718e-05,0.0,synthetic_test,26,1
0.0,18,0.0,synthetic_test_000,0.0,5.955155409865291e-06,8.640758770892196e-06,0.0,synthetic_test,27,1
0.0,23,0.0,synthetic_test_000,0.0,1.7023776124343182e-05,4.8877542094061e-05,0.0,synthetic_test,28,1
0.0,19,0.0,synthetic_test_000,0.0,5.009140816240236e-06,5.5140157035467724e-06,0.0,synthetic_test,29,1
0.0,16,0.0,synthetic_test_001,0.0,1.9525169785964876e-05,3.761843521228636e-05,0.0,synthetic_test,0,1
0.0,18,0.0,synthetic_test_001,0.0,0.00033154855494335747,0.0013334420332259597,0.0,synthetic_test,1,1
0.0,19,0.0,synthetic_test_001,0.0,1.0723785139503373e-05,1.7621696799823193e-05,0.0,synthetic_test,2,1
0.0,18,0.0,synthetic_test_001,0.0,2.3069485706194237e-05,4.25142416233027e-05,0.0,synthetic_test,3,1
0.04807692307692313,16,0.04807692307692313,synthetic_test_001,0.5358439258508836,0.004740263761687119,0.01343564707352543,0.5929270612815711,synthetic_test,4,1
0.0,19,0.0,synthetic_test_001,0.0,1.3960653556392063e-05,2.3802426006074346e-05,0.0,synthetic_test,5,1
0.0,17,0.0,synthetic_test_001,0.0,7.892839410056356e-06,9.911354354328441e-06,0.0,synthetic_test,6,1
0.0,17,0.0,synthetic_test_001,0.0,8.092592904026272e-05,0.0002948273888708226,0.0,synthetic_test,7,1
0.0,19,0.0,synthetic_test_001,0.0,1.7142457832789973e-05,3.716336024107589e-05,0.0,synthetic_test,8,1
0.0,20,0.0,synthetic_test_001,0.0,8.941295309611418e-06,1.8237321992152452e-05,0.0,synthetic_test,9,1
0.0,15,0.0,synthetic_test_001,0.0,0.0007761672152645069,0.0018825121410860905,0.0,synthetic_test,10,1
0.028846153846153744,17,0.0,synthetic_test_001,0.31057477829563984,0.003476344728959077,0.006795045345297675,0.36009719180618427,synthetic_test,11,0
0.0,15,0.0,synthetic_test_001,0.0,0.00095686910770086,0.0026070504851398273,0.0,synthetic_test,12,1
0.0,16,0.0,synthetic_test_001,0.0,0.002081159392672781,0.006769995573742123,0.0,synthetic_test,13,1
0.03846153846153855,15,0.028846153846153855,synthetic_test_001,0.49362406479924364,0.0029878188729310254,0.009146724933142778,0.5924886443782035,synthetic_test,14,0
0.0,15,0.0,synthetic_test_001,0.0,0.0003362514376351635,0.0012615302935470817,0.0,synthetic_test,15,1
0.0,16,0.0,synthetic_test_001,0.0,7.5669213188054495e-06,1.177963546604308e-05,0.0,synthetic_test,16,1
0.0,15,0.0,synthetic_test_001,0.0,1.4738522135100967e-05,2.497751993249431e-05,0.0,synthetic_test,17,1
0.0,20,0.0,synthetic_test_001,0.0,6.351657939888649e-05,0.00025486776154691097,0.0,synthetic_test,18,1
0.0,15,0.0,synthetic_test_001,0.0,8.387911423339053e-05,0.00029978848875079596,0.0,synthetic_test,19,1
0.0,16,0.0,synthetic_test_001,0.0,1.2050958607320118e-05,1.704252691296289e-05,0.0,synthetic_test,20,1
0.0,15,0.0,synthetic_test_001,0.0,1.966752256670222e-05,4.156932545557362e-05,0.0,synthetic_test,21,1
0.0,15,0.0,synthetic_test_001,0.0,1.5105424959590876e-05,2.0884055067832823e-05,0.0,synthetic_test,22,1
0.0,17,0.0,synthetic_test_001,0.0,1.039961021364614e-05,1.5008852254294873e-05,0.0,synthetic_test,23,1
0.0,17,0.0,synthetic_test_001,0.0,0.0003312424621844711,0.0012332600502325394,0.0,synthetic_test,24,1
0.0,17,0.0,synthetic_test_001,0.0,9.285972377281189e-05,0.00033120776408443735,0.0,synthetic_test,25,1
0.0,18,0.0,synthetic_test_001,0.0,6.282070391632239e-05,9.698262506918078e-05,0.0,synthetic_test,26,1
0.0,15,0.0,synthetic_test_001,0.0,6.9087241907412e-05,0.00011198271810518824,0.0,synthetic_test,27,1
0.028846153846153855,19,0.0,synthetic_test_001,-0.16666666666666669,0.0015453693997970065,0.00661771677566193,-0.18296581476717727,synthetic_test,28,0
0.0,16,0.0,synthetic_test_001,0.0,0.00043725318219034736,0.0015823265902403898,0.0,synthetic_test,29,1
