summary_kind,dataset,dataset_label,method,metric,n,mean,std,ci95_low,ci95_high
cost_summary,realworld_completed,realworld24,Random-size-matched-candidate,runtime_seconds,24,141.845929545833,209.09836693180017,58.18915972391389,225.50269936775211
cost_summary,realworld_completed,realworld24,Random-size-matched-candidate,true_source_traversal_count,24,52881.0,40044.69173745537,36859.78659491084,68902.21340508916
cost_summary,realworld_completed,realworld24,Random-size-matched-candidate,candidate_generation_seconds,24,19.868960458336613,28.92846142174231,8.295165435584025,31.4427554810892
cost_summary,realworld_completed,realworld24,Random-size-matched-candidate,sampled_path_scoring_seconds,24,27.253506353937457,43.6420510065193,9.793049492504203,44.71396321537071
cost_summary,realworld_completed,realworld24,Random-size-matched-candidate,model_scoring_seconds,24,0.6060461207671324,0.7532626353911944,0.3046783012617483,0.9074139402725165
cost_summary,realworld_completed,realworld24,Random-size-matched-candidate,louvain_recomputes,24,748.5833333333334,1065.6889960170763,322.2189367590139,1174.947729907653
cost_summary,realworld_completed,realworld24,SASB-candidate,runtime_seconds,24,134.075378995835,196.30515626737557,55.53695942954538,212.6137985621246
cost_summary,realworld_completed,realworld24,SASB-candidate,true_source_traversal_count,24,48089.375,36636.454032434034,33431.740667148886,62747.009332851114
cost_summary,realworld_completed,realworld24,SASB-candidate,candidate_generation_seconds,24,17.011566283695476,24.977861577062146,7.018340381182417,27.004792186208533
cost_summary,realworld_completed,realworld24,SASB-candidate,sampled_path_scoring_seconds,24,25.970149233522534,42.03817645348542,9.151375835595964,42.788922631449104
cost_summary,realworld_completed,realworld24,SASB-candidate,model_scoring_seconds,24,0.5679349293520014,0.6961564398697115,0.289414346409227,0.8464555122947759
cost_summary,realworld_completed,realworld24,SASB-candidate,louvain_recomputes,24,838.5833333333334,1069.6873137863058,410.61927649287503,1266.5473901737917
cost_summary,realworld_completed,realworld24,Structure-matched-candidate,runtime_seconds,24,428.53469467083414,848.1878161942885,89.18889323631049,767.8804961053578
cost_summary,realworld_completed,realworld24,Structure-matched-candidate,true_source_traversal_count,24,49227.291666666664,37461.132175466264,34239.71736058124,64214.865972752086
cost_summary,realworld_completed,realworld24,Structure-matched-candidate,candidate_generation_seconds,24,310.3006075043534,672.1515995035085,41.38396090309209,579.2172541056148
cost_summary,realworld_completed,realworld24,Structure-matched-candidate,sampled_path_scoring_seconds,24,26.513919133537758,44.39615553059129,8.751757626976723,44.2760806400988
cost_summary,realworld_completed,realworld24,Structure-matched-candidate,model_scoring_seconds,24,0.5775425665754786,0.7215909556999485,0.2888460579783633,0.8662390751725939
cost_summary,realworld_completed,realworld24,Structure-matched-candidate,louvain_recomputes,24,832.2916666666666,1069.78740184437,404.28756626317977,1260.2957670701535
cost_summary,synthetic45,synthetic45,Random-size-matched-candidate,runtime_seconds,45,13.813414480002312,13.047055079817046,10.001331810220744,17.62549714978388
cost_summary,synthetic45,synthetic45,Random-size-matched-candidate,true_source_traversal_count,45,14966.066666666668,8884.57263360586,12370.176240989134,17561.9570923442
cost_summary,synthetic45,synthetic45,Random-size-matched-candidate,candidate_generation_seconds,45,1.686455235632214,1.6951997089557196,1.1911525491029353,2.1817579221614927
cost_summary,synthetic45,synthetic45,Random-size-matched-candidate,sampled_path_scoring_seconds,45,2.8247769177322173,2.5536721590504845,2.0786461378538403,3.5709076976105942
cost_summary,synthetic45,synthetic45,Random-size-matched-candidate,model_scoring_seconds,45,0.09399452222601713,0.07762805772773793,0.07131319132472516,0.1166758531273091
cost_summary,synthetic45,synthetic45,Random-size-matched-candidate,louvain_recomputes,45,130.73333333333332,45.2309226485196,117.51778275032237,143.94888391634427
cost_summary,synthetic45,synthetic45,SASB-candidate,runtime_seconds,45,13.572493019996262,12.372103617951584,9.957617363979914,17.18736867601261
cost_summary,synthetic45,synthetic45,SASB-candidate,true_source_traversal_count,45,14185.555555555555,8172.512222398478,11797.714619728053,16573.396491383057
cost_summary,synthetic45,synthetic45,SASB-candidate,candidate_generation_seconds,45,1.5104163043472605,1.4952551637187657,1.0735333248823162,1.9472992838122047
cost_summary,synthetic45,synthetic45,SASB-candidate,sampled_path_scoring_seconds,45,2.861019955552183,2.5333586913708976,2.120824355500272,3.6012155556040937
cost_summary,synthetic45,synthetic45,SASB-candidate,model_scoring_seconds,45,0.09288312225641368,0.07565371505728222,0.07077865390626531,0.11498759060656205
cost_summary,synthetic45,synthetic45,SASB-candidate,louvain_recomputes,45,154.9111111111111,51.60506591685383,139.8331662223146,169.9890559999076
cost_summary,synthetic45,synthetic45,Structure-matched-candidate,runtime_seconds,45,24.537745075555158,26.01472876429481,16.936773356286004,32.13871679482431
cost_summary,synthetic45,synthetic45,Structure-matched-candidate,true_source_traversal_count,45,14435.822222222223,8434.890143944025,11971.319823594251,16900.324620850195
cost_summary,synthetic45,synthetic45,Structure-matched-candidate,candidate_generation_seconds,45,12.503085160005785,15.067700159215331,8.100611322115373,16.905558997896197
cost_summary,synthetic45,synthetic45,Structure-matched-candidate,sampled_path_scoring_seconds,45,2.861357859976124,2.5777205958309533,2.1082006186836324,3.6145151012686156
cost_summary,synthetic45,synthetic45,Structure-matched-candidate,model_scoring_seconds,45,0.09414317336696611,0.07745247677167098,0.07151314363024128,0.11677320310369094
cost_summary,synthetic45,synthetic45,Structure-matched-candidate,louvain_recomputes,45,148.84444444444443,49.88256917071039,134.2697778781934,163.41911101069547
