dataset,graph_id,graph_name,graph_type,community_strength,method,candidate_policy,source_policy,seed,status,auc,normalized_auc,observed_remove_ratio,removed_edges,final_gcc_ratio,runtime_seconds,true_source_traversal_count,louvain_recomputes,max_steps,gcc_at_5pct,gcc_at_10pct,gcc_at_20pct,gcc_at_40pct,first_positive_drop_step,positive_delta_gcc_rate,conditional_mean_delta_gcc,inter_community_ratio,mean_edge_embeddedness,mean_common_neighbors,source_count_min,source_count_max,source_count_mean,source_count_median,candidate_count_mean,candidate_fraction_mean,candidate_match_difference_mean,strict_match_count_total,degree_only_match_count_total,community_only_match_count_total,fallback_count_total,p2_degree_product_fallback_count,initial_source_nodes,initial_source_node_hash,initial_candidate_count,initial_candidate_hash,candidate_generation_seconds,sampled_path_scoring_seconds,model_scoring_seconds,total_selection_seconds
synthetic45,synthetic_test_000,synthetic_test_000,sbm,medium,SASB-candidate,sasb,SASB-structured,20260513,finished,0.6779190945764231,0.6779190945764231,1.0,388,0.007246376811594203,6.4929306999838445,9550,136,388,1.0,1.0,1.0,1.0,198,0.13402061855670103,0.019091415830546268,0.3865979381443299,0.03097079037800687,0.07474226804123711,2.0,32.0,24.61340206185567,32.0,56.824742268041234,0.5553636063573203,0.0,0,0,0,0,0,"[""85"", ""48"", ""38"", ""88"", ""83"", ""87"", ""31"", ""65"", ""69"", ""66"", ""99"", ""103"", ""95"", ""107"", ""3"", ""4"", ""52"", ""59"", ""1"", ""131"", ""137"", ""51"", ""110"", ""121"", ""70"", ""126"", ""30"", ""90"", ""35"", ""71"", ""74"", ""133""]",39e4c861d83d5b3daba316c3c7149425222b0d196a794f7cfdbd5a924cb2e92b,98,b0d5428e5962878bb31ccc5d8f8943ae0f39ad3105fb8b84ce09f96f9720346e,0.602148999896599,1.3720361003652215,0.04706610008724965,3.693193000013707
synthetic45,synthetic_test_000,synthetic_test_000,sbm,medium,Random-size-matched-candidate,random_size_matched,SASB-structured,20260513,finished,0.6708408038248916,0.6708408038248916,1.0,388,0.007246376811594203,6.644338899990544,9913,121,388,0.9927536231884058,0.9782608695652174,0.9710144927536232,0.9637681159420289,12,0.16494845360824742,0.01551177536231884,0.30927835051546393,0.02500613647520864,0.07474226804123711,2.0,32.0,25.548969072164947,32.0,58.69072164948454,0.5376427212362715,0.3013141801068174,0,0,0,0,0,"[""85"", ""48"", ""38"", ""88"", ""83"", ""87"", ""31"", ""65"", ""69"", ""66"", ""99"", ""103"", ""95"", ""107"", ""3"", ""4"", ""52"", ""59"", ""1"", ""131"", ""137"", ""51"", ""110"", ""121"", ""70"", ""126"", ""30"", ""90"", ""35"", ""71"", ""74"", ""133""]",39e4c861d83d5b3daba316c3c7149425222b0d196a794f7cfdbd5a924cb2e92b,98,5125828b6141cbb59cfb00f597a600e537f2ac13faea4911ee09bdb1de8aa880,0.7048797001771163,1.390480899863178,0.04906960000516847,3.824972800066462
synthetic45,synthetic_test_000,synthetic_test_000,sbm,medium,Structure-matched-candidate,structure_matched,SASB-structured,20260513,finished,0.7056159420289855,0.7056159420289855,1.0,388,0.007246376811594203,9.362602799985325,9891,121,388,1.0,1.0,1.0,1.0,217,0.16494845360824742,0.015511775362318842,0.3788659793814433,0.032326951399116344,0.07474226804123711,2.0,32.0,25.492268041237114,32.0,59.2319587628866,0.537051953062804,0.0,22982,0,0,0,0,"[""85"", ""48"", ""38"", ""88"", ""83"", ""87"", ""31"", ""65"", ""69"", ""66"", ""99"", ""103"", ""95"", ""107"", ""3"", ""4"", ""52"", ""59"", ""1"", ""131"", ""137"", ""51"", ""110"", ""121"", ""70"", ""126"", ""30"", ""90"", ""35"", ""71"", ""74"", ""133""]",39e4c861d83d5b3daba316c3c7149425222b0d196a794f7cfdbd5a924cb2e92b,98,f0600faf9d07e69ffe24a899cd2cfea408f387d0efbd64d5744ab51dc323a284,3.3681212002411485,1.4026219999359455,0.04899000030127354,6.555987000407185
synthetic45,synthetic_test_001,synthetic_test_001,ws,none,SASB-candidate,sasb,SASB-structured,20260513,finished,0.6892976178805998,0.6892976178805998,1.0,1010,0.0049504950495049506,28.448667400021804,25085,253,1010,1.0,1.0,1.0,1.0,516,0.04356435643564356,0.022614761476147615,0.2861386138613861,0.2973302687411598,1.204950495049505,2.0,32.0,24.836633663366335,32.0,96.0029702970297,0.454266880085348,0.0,0,0,0,0,0,"[""46"", ""79"", ""63"", ""60"", ""157"", ""58"", ""142"", ""78"", ""100"", ""61"", ""56"", ""17"", ""150"", ""104"", ""112"", ""125"", ""13"", ""130"", ""131"", ""148"", ""152"", ""154"", ""174"", ""33"", ""99"", ""75"", ""48"", ""129"", ""179"", ""189"", ""120"", ""1""]",3f98cd5e46373c465d65e3563bd09c3e616d387b76cb8f9de074f817b8a7e53a,169,97be54dc1b2dadbab17415b62b7f6e839bbff59e268733529754e94fdeae8e17,3.4574295006750617,6.558761300257174,0.2133959003840573,18.56306680018315
synthetic45,synthetic_test_001,synthetic_test_001,ws,none,Random-size-matched-candidate,random_size_matched,SASB-structured,20260513,finished,0.5335481815508283,0.5335481815508283,1.0,1010,0.0049504950495049506,24.42107099998975,24668,243,1010,1.0,1.0,1.0,0.7376237623762376,339,0.04950495049504951,0.0199009900990099,0.27821782178217824,0.2978382838283828,1.204950495049505,2.0,32.0,24.423762376237622,32.0,86.15049504950495,0.5100208050186374,0.41646712616309883,0,0,0,0,0,"[""46"", ""79"", ""63"", ""60"", ""157"", ""58"", ""142"", ""78"", ""100"", ""61"", ""56"", ""17"", ""150"", ""104"", ""112"", ""125"", ""13"", ""130"", ""131"", ""148"", ""152"", ""154"", ""174"", ""33"", ""99"", ""75"", ""48"", ""129"", ""179"", ""189"", ""120"", ""1""]",3f98cd5e46373c465d65e3563bd09c3e616d387b76cb8f9de074f817b8a7e53a,169,205c685f712434e6615d76f5dcbe06ddc605fa7993605fdad43e980f87ad8af5,3.3908674996637274,5.36144459946081,0.1830204996804241,15.979315600008704
synthetic45,synthetic_test_001,synthetic_test_001,ws,none,Structure-matched-candidate,structure_matched,SASB-structured,20260513,finished,0.5937138515831781,0.5937138515831781,1.0,1010,0.0049504950495049506,54.98251739999978,24792,257,1010,1.0,1.0,1.0,1.0,410,0.03762376237623762,0.02618551328817092,0.3217821782178218,0.3032869715542983,1.204950495049505,2.0,32.0,24.546534653465347,32.0,89.4881188118812,0.4816812414363635,0.0,90383,0,0,0,0,"[""46"", ""79"", ""63"", ""60"", ""157"", ""58"", ""142"", ""78"", ""100"", ""61"", ""56"", ""17"", ""150"", ""104"", ""112"", ""125"", ""13"", ""130"", ""131"", ""148"", ""152"", ""154"", ""174"", ""33"", ""99"", ""75"", ""48"", ""129"", ""179"", ""189"", ""120"", ""1""]",3f98cd5e46373c465d65e3563bd09c3e616d387b76cb8f9de074f817b8a7e53a,169,684bd1e5af1290adf7b0b453c00802a1cbf248f87fc3b42d2abcf1c52ff9e0f7,32.75828939981875,5.861896899761632,0.19858550003846176,46.34173550020205
synthetic45,synthetic_test_002,synthetic_test_002,er,none,SASB-candidate,sasb,SASB-structured,20260513,finished,0.41430995475113125,0.41430995475113125,1.0,208,0.011764705882352941,1.4292140000034124,3662,91,208,1.0,1.0,1.0,0.4823529411764706,65,0.09134615384615384,0.052012383900928785,0.4423076923076923,0.05469322344322344,0.09134615384615384,2.0,32.0,17.60576923076923,14.0,31.533653846153847,0.792954220209342,0.0,0,0,0,0,0,"[""48"", ""14"", ""51"", ""24"", ""3"", ""25"", ""28"", ""57"", ""73"", ""17"", ""67"", ""8"", ""54"", ""61"", ""38"", ""40"", ""53"", ""79"", ""84"", ""12"", ""19"", ""32"", ""70"", ""62"", ""74"", ""81"", ""41"", ""42"", ""60"", ""75"", ""46"", ""15""]",dc3f45108aab842625ba407d285965ed6df1f2a497b407cd03471c1e3d8227ea,65,0f19d6606b058884280d35684e7264c9369abdab453793e123a8ade8ab631672,0.12533169984817505,0.27065710007445887,0.013436299923341721,0.8488113000348676
synthetic45,synthetic_test_002,synthetic_test_002,er,none,Random-size-matched-candidate,random_size_matched,SASB-structured,20260513,finished,0.3464366515837104,0.3464366515837104,1.0,208,0.011764705882352941,1.2984152999997605,3725,90,208,1.0,0.9647058823529412,0.9647058823529412,0.3764705882352941,14,0.09615384615384616,0.04941176470588234,0.41346153846153844,0.04988553113553114,0.09134615384615384,2.0,32.0,17.908653846153847,17.0,31.447115384615383,0.8412503131927365,0.11261980707593687,0,0,0,0,0,"[""48"", ""14"", ""51"", ""24"", ""3"", ""25"", ""28"", ""57"", ""73"", ""17"", ""67"", ""8"", ""54"", ""61"", ""38"", ""40"", ""53"", ""79"", ""84"", ""12"", ""19"", ""32"", ""70"", ""62"", ""74"", ""81"", ""41"", ""42"", ""60"", ""75"", ""46"", ""15""]",dc3f45108aab842625ba407d285965ed6df1f2a497b407cd03471c1e3d8227ea,65,e816d1e1f635ca1937fc3d783489a94e733ab97e7e058ad89c5ba09611e4bb8b,0.13275009993230924,0.23126019976916723,0.014629699988290668,0.783813199668657
synthetic45,synthetic_test_002,synthetic_test_002,er,none,Structure-matched-candidate,structure_matched,SASB-structured,20260513,finished,0.4175904977375566,0.4175904977375566,1.0,208,0.011764705882352941,1.7969640999799594,3616,89,208,1.0,1.0,1.0,0.4117647058823529,66,0.09134615384615384,0.052012383900928785,0.40865384615384615,0.05789835164835164,0.09134615384615384,2.0,32.0,17.384615384615383,13.0,31.216346153846153,0.7819764905203308,0.0,6493,0,0,0,0,"[""48"", ""14"", ""51"", ""24"", ""3"", ""25"", ""28"", ""57"", ""73"", ""17"", ""67"", ""8"", ""54"", ""61"", ""38"", ""40"", ""53"", ""79"", ""84"", ""12"", ""19"", ""32"", ""70"", ""62"", ""74"", ""81"", ""41"", ""42"", ""60"", ""75"", ""46"", ""15""]",dc3f45108aab842625ba407d285965ed6df1f2a497b407cd03471c1e3d8227ea,65,613b997e827e86cb6e9cdce39bbbb370526c07f333cf4ac8a00df2879698636d,0.5317453996685799,0.2697042003565002,0.013179499888792634,1.2181600999610964
synthetic45,synthetic_test_003,synthetic_test_003,sbm,mixed,SASB-candidate,sasb,SASB-structured,20260513,finished,0.788564925391766,0.788564925391766,1.0,1123,0.004672897196261682,45.32617720001144,31069,241,1123,1.0,1.0,1.0,1.0,740,0.07212822796081923,0.012287988923502942,0.5556544968833482,0.06640001435192885,0.21104185218165628,2.0,32.0,27.66607301869991,32.0,111.2226179875334,0.3778445531989996,0.0,0,0,0,0,0,"[""70"", ""202"", ""162"", ""59"", ""149"", ""85"", ""12"", ""205"", ""158"", ""209"", ""29"", ""44"", ""148"", ""105"", ""49"", ""57"", ""92"", ""182"", ""186"", ""194"", ""24"", ""37"", ""93"", ""155"", ""62"", ""27"", ""67"", ""157"", ""76"", ""68"", ""40"", ""126""]",297d85e1c620a4a476baeb7147f8e001c3086197bd0577ba0e34c022353cdb79,180,fb2ff80e3577d1e1e1637c4204c297d0d3ec080db36005fc74e6d73e5e05b69a,5.6839158996299375,8.850125499477144,0.2728354003338609,26.546058899984928
