dataset,graph_id,method,candidate_policy,source_policy,seed,step,attack_phase,gcc_before,gcc_after,delta_gcc,num_components_before,num_components_after,is_bridge_before_removal,remove_ratio_before,remove_ratio_after,edge_u,edge_v,selected_edge,degree_u,degree_v,degree_min,degree_max,degree_product,common_neighbors,edge_embeddedness,is_inter_community_edge,community_u,community_v,source_count,source_nodes,source_node_hash,source_strata_counts,source_degree_bins,source_community_counts,adaptive_k,candidate_config,candidate_count,candidate_fraction,candidate_inter_community_ratio,candidate_boundary_ratio,candidate_bridge_ratio,candidate_low_cn_ratio,candidate_degree_product_distribution,candidate_common_neighbor_distribution,candidate_mean_common_neighbors,candidate_mean_degree_product,candidate_backend,candidate_hash,sasb_candidate_count_reference,sasb_candidate_hash_reference,match_mode_counts,strict_match_count,degree_only_match_count,community_only_match_count,fallback_count,fallback_reason,matched_feature_difference,matched_feature_difference_detail,candidate_count_equal_to_sasb,source_budget,true_source_traversal_count,sampled_betweenness_score,p2_degree_product_fallback
realworld_completed,bio_celegans,Random-size-matched-candidate,random_size_matched,SASB-structured,20260513,0,early,1.0,1.0,0.0,1,1,0,0.0,0.0004938271604938272,18,96,18--96,4,237,4,237,948,2,0.6666666666666666,0,0,0,32,"[""96"", ""343"", ""53"", ""51"", ""60"", ""118"", ""142"", ""143"", ""147"", ""62"", ""363"", ""220"", ""144"", ""145"", ""52"", ""364"", ""440"", ""82"", ""83"", ""149"", ""121"", ""109"", ""154"", ""85"", ""398"", ""404"", ""155"", ""18"", ""131"", ""301"", ""0"", ""269""]",fb2b32759565cb7b8ebb0d2ee054acfa8911f622a66b79ecab8fc2127cdc59f2,"{""boundary"": 12, ""community_rep"": 4, ""degree_core"": 10, ""random_fill"": 6}","{""degree_3_4"": 3, ""degree_5_8"": 3, ""degree_9_plus"": 26}","{""0"": 4, ""1"": 8, ""10"": 4, ""2"": 1, ""3"": 1, ""4"": 3, ""5"": 1, ""6"": 7, ""7"": 1, ""8"": 1, ""9"": 1}",276,"{""backend"": ""evaluate_m19_theory_calibrated.candidate_features"", ""delta_mode"": ""none"", ""k_max"": 512, ""k_min"": 64, ""variant"": ""conservative""}",276,0.1362962962962963,0.391304347826087,0.391304347826087,0.007246376811594203,0.42028985507246375,"{""dp_0_4"": 0.007246376811594203, ""dp_17_64"": 0.17028985507246377, ""dp_257_plus"": 0.5797101449275363, ""dp_5_16"": 0.03985507246376811, ""dp_65_256"": 0.2028985507246377}","{""cn_0"": 0.39492753623188404, ""cn_1"": 0.025362318840579712, ""cn_2_3"": 0.2898550724637681, ""cn_4_8"": 0.25, ""cn_9_plus"": 0.03985507246376811}",2.572463768115942,630.4673913043479,uniform_random_edges_size_matched_to_sasb,c8851baf4267cb32f91a1481aeb2c22bdd712127dc79d39b6c961f5f814215ef,276,11ac1ecfc9b0488c3a43741d799a7f0a422dbf0a1f4a2dbd2a938abe610bedb3,"{""random_size_matched"": 276}",0,0,0,0,{},0.7439613526570049,"{""common_neighbor_bin_l1"": 0.7028985507246377, ""degree_product_bin_l1"": 0.8333333333333334, ""is_boundary_edge_l1"": 1.2173913043478262, ""is_bridge_edge_l1"": 0.014492753623188439, ""is_inter_community_edge_l1"": 1.2173913043478262, ""is_low_common_neighbor_edge_l1"": 0.47826086956521746, ""mean_l1"": 0.7439613526570049}",1,32,32,6551.520710279302,0
realworld_completed,bio_celegans,Random-size-matched-candidate,random_size_matched,SASB-structured,20260513,1,early,1.0,1.0,0.0,1,1,0,0.0004938271604938272,0.0009876543209876543,343,398,343--398,109,23,23,109,2507,9,0.4090909090909091,1,3,5,32,"[""96"", ""343"", ""53"", ""51"", ""60"", ""118"", ""142"", ""143"", ""147"", ""62"", ""363"", ""220"", ""144"", ""145"", ""52"", ""364"", ""440"", ""82"", ""83"", ""149"", ""121"", ""109"", ""154"", ""85"", ""398"", ""404"", ""33"", ""292"", ""105"", ""170"", ""214"", ""442""]",8369f4641a70d0b5be316d1486b0bf9d28356e007590a325376cd6e9e4b9b323,"{""boundary"": 12, ""community_rep"": 4, ""degree_core"": 10, ""random_fill"": 6}","{""degree_3_4"": 3, ""degree_5_8"": 4, ""degree_9_plus"": 25}","{""0"": 3, ""1"": 8, ""10"": 5, ""2"": 1, ""3"": 2, ""4"": 3, ""5"": 1, ""6"": 6, ""7"": 1, ""8"": 1, ""9"": 1}",276,"{""backend"": ""evaluate_m19_theory_calibrated.candidate_features"", ""delta_mode"": ""none"", ""k_max"": 512, ""k_min"": 64, ""variant"": ""conservative""}",276,0.13636363636363635,0.40942028985507245,0.40942028985507245,0.014492753623188406,0.4384057971014493,"{""dp_0_4"": 0.0036231884057971015, ""dp_17_64"": 0.15942028985507245, ""dp_257_plus"": 0.5652173913043478, ""dp_5_16"": 0.04710144927536232, ""dp_65_256"": 0.2246376811594203}","{""cn_0"": 0.40217391304347827, ""cn_1"": 0.036231884057971016, ""cn_2_3"": 0.26811594202898553, ""cn_4_8"": 0.25, ""cn_9_plus"": 0.043478260869565216}",2.539855072463768,919.7826086956521,uniform_random_edges_size_matched_to_sasb,b9d98b590fcda498995d437b7a7db35fa5c4da2c7025dd31f0e4ab2976bcec25,276,11ac1ecfc9b0488c3a43741d799a7f0a422dbf0a1f4a2dbd2a938abe610bedb3,"{""random_size_matched"": 276}",0,0,0,0,{},0.7294685990338166,"{""common_neighbor_bin_l1"": 0.6811594202898551, ""degree_product_bin_l1"": 0.8623188405797102, ""is_boundary_edge_l1"": 1.181159420289855, ""is_bridge_edge_l1"": 0.028985507246376767, ""is_inter_community_edge_l1"": 1.181159420289855, ""is_low_common_neighbor_edge_l1"": 0.44202898550724645, ""mean_l1"": 0.7294685990338166}",1,32,32,2035.3489113250932,0
realworld_completed,bio_celegans,Random-size-matched-candidate,random_size_matched,SASB-structured,20260513,2,early,1.0,1.0,0.0,1,1,0,0.0009876543209876543,0.0014814814814814814,241,343,241--343,9,108,9,108,972,5,0.625,0,6,6,32,"[""96"", ""343"", ""53"", ""51"", ""60"", ""118"", ""142"", ""143"", ""147"", ""62"", ""363"", ""220"", ""144"", ""145"", ""52"", ""364"", ""440"", ""82"", ""83"", ""149"", ""121"", ""109"", ""154"", ""85"", ""398"", ""404"", ""146"", ""241"", ""415"", ""223"", ""402"", ""406""]",ac5d91c825d7c15e53c336c32f2f33b5daee89de621ae13a2ea1398fe2f9c0ba,"{""boundary"": 12, ""community_rep"": 4, ""degree_core"": 10, ""random_fill"": 6}","{""degree_3_4"": 2, ""degree_5_8"": 4, ""degree_9_plus"": 26}","{""0"": 1, ""1"": 10, ""10"": 5, ""2"": 1, ""3"": 2, ""4"": 3, ""5"": 2, ""6"": 5, ""7"": 1, ""8"": 1, ""9"": 1}",276,"{""backend"": ""evaluate_m19_theory_calibrated.candidate_features"", ""delta_mode"": ""none"", ""k_max"": 512, ""k_min"": 64, ""variant"": ""conservative""}",276,0.13643104300543746,0.4384057971014493,0.4384057971014493,0.007246376811594203,0.40942028985507245,"{""dp_0_4"": 0.007246376811594203, ""dp_17_64"": 0.14492753623188406, ""dp_257_plus"": 0.5978260869565217, ""dp_5_16"": 0.04710144927536232, ""dp_65_256"": 0.2028985507246377}","{""cn_0"": 0.37681159420289856, ""cn_1"": 0.03260869565217391, ""cn_2_3"": 0.25, ""cn_4_8"": 0.2572463768115942, ""cn_9_plus"": 0.08333333333333333}",3.0833333333333335,885.8659420289855,uniform_random_edges_size_matched_to_sasb,6eaf943f22d8f3e8fbb5f57d30ae36a37a3722e92484e3916eb8761e9b75081c,276,c9ec96a7d22018394ef1c193d762a270407400dcbe9d719c77f91cde5c638b4f,"{""random_size_matched"": 276}",0,0,0,0,{},0.7016908212560388,"{""common_neighbor_bin_l1"": 0.6521739130434783, ""degree_product_bin_l1"": 0.7971014492753623, ""is_boundary_edge_l1"": 1.1231884057971016, ""is_bridge_edge_l1"": 0.014492753623188439, ""is_inter_community_edge_l1"": 1.1231884057971016, ""is_low_common_neighbor_edge_l1"": 0.5, ""mean_l1"": 0.7016908212560388}",1,32,32,2439.620240098827,0
realworld_completed,bio_celegans,Random-size-matched-candidate,random_size_matched,SASB-structured,20260513,3,early,1.0,1.0,0.0,1,1,0,0.0014814814814814814,0.0019753086419753087,60,96,60--96,64,236,64,236,15104,32,0.5079365079365079,1,4,5,32,"[""96"", ""343"", ""53"", ""51"", ""60"", ""118"", ""142"", ""143"", ""147"", ""62"", ""363"", ""220"", ""144"", ""145"", ""52"", ""364"", ""440"", ""82"", ""83"", ""149"", ""121"", ""109"", ""154"", ""85"", ""398"", ""404"", ""87"", ""172"", ""362"", ""202"", ""276"", ""66""]",78f6ec841a13dc83fa2482687ee543be028063c67a27ec18d9f9ab02e452b412,"{""boundary"": 12, ""community_rep"": 4, ""degree_core"": 10, ""random_fill"": 6}","{""degree_3_4"": 3, ""degree_5_8"": 3, ""degree_9_plus"": 26}","{""0"": 2, ""1"": 9, ""10"": 4, ""2"": 1, ""3"": 2, ""4"": 2, ""5"": 2, ""6"": 6, ""7"": 1, ""8"": 2, ""9"": 1}",276,"{""backend"": ""evaluate_m19_theory_calibrated.candidate_features"", ""delta_mode"": ""none"", ""k_max"": 512, ""k_min"": 64, ""variant"": ""conservative""}",276,0.13649851632047477,0.3695652173913043,0.3695652173913043,0.0,0.3695652173913043,"{""dp_17_64"": 0.17391304347826086, ""dp_257_plus"": 0.5688405797101449, ""dp_5_16"": 0.03985507246376811, ""dp_65_256"": 0.21739130434782608}","{""cn_0"": 0.34057971014492755, ""cn_1"": 0.028985507246376812, ""cn_2_3"": 0.32971014492753625, ""cn_4_8"": 0.2536231884057971, ""cn_9_plus"": 0.04710144927536232}",2.7355072463768115,712.8695652173913,uniform_random_edges_size_matched_to_sasb,5646a83bc910c5c79528f9a2599bb3adf1c5d2dfc45720ac47c75cbb5218f1f5,276,952d36e962402db36f21753517c8dccc96df4c9571ee66467965818d7606ebdf,"{""random_size_matched"": 276}",0,0,0,0,{},0.7946859903381643,"{""common_neighbor_bin_l1"": 0.8043478260869565, ""degree_product_bin_l1"": 0.855072463768116, ""is_boundary_edge_l1"": 1.2608695652173914, ""is_bridge_edge_l1"": 0.0, ""is_inter_community_edge_l1"": 1.2608695652173914, ""is_low_common_neighbor_edge_l1"": 0.5869565217391304, ""mean_l1"": 0.7946859903381643}",1,32,32,3011.782336866994,0
realworld_completed,bio_celegans,Random-size-matched-candidate,random_size_matched,SASB-structured,20260513,4,early,1.0,0.9955849889624724,0.004415011037527616,1,2,1,0.0019753086419753087,0.0024691358024691358,132,148,132--148,6,2,2,6,12,0,0.0,0,1,1,32,"[""96"", ""343"", ""53"", ""51"", ""60"", ""118"", ""142"", ""143"", ""147"", ""62"", ""363"", ""220"", ""144"", ""145"", ""52"", ""364"", ""440"", ""82"", ""83"", ""149"", ""121"", ""109"", ""154"", ""85"", ""398"", ""404"", ""27"", ""91"", ""61"", ""148"", ""295"", ""12""]",f7056468fb5e2f8c449316efd01f8093b2f167eac04ff2749c3b53068a7f84c2,"{""boundary"": 12, ""community_rep"": 4, ""degree_core"": 10, ""random_fill"": 6}","{""degree_2"": 1, ""degree_3_4"": 2, ""degree_5_8"": 2, ""degree_9_plus"": 27}","{""0"": 1, ""1"": 10, ""10"": 4, ""2"": 1, ""3"": 2, ""4"": 2, ""5"": 1, ""6"": 7, ""7"": 1, ""8"": 1, ""9"": 2}",275,"{""backend"": ""evaluate_m19_theory_calibrated.candidate_features"", ""delta_mode"": ""none"", ""k_max"": 512, ""k_min"": 64, ""variant"": ""conservative""}",275,0.13607125185551708,0.3890909090909091,0.3890909090909091,0.01090909090909091,0.4727272727272727,"{""dp_0_4"": 0.0036363636363636364, ""dp_17_64"": 0.14909090909090908, ""dp_257_plus"": 0.5745454545454546, ""dp_5_16"": 0.04, ""dp_65_256"": 0.23272727272727273}","{""cn_0"": 0.44, ""cn_1"": 0.03272727272727273, ""cn_2_3"": 0.26181818181818184, ""cn_4_8"": 0.2109090909090909, ""cn_9_plus"": 0.05454545454545454}",2.6,792.7454545454545,uniform_random_edges_size_matched_to_sasb,ef7eed60be021a59cada69e77219853bac9679741eaad169c9fc6cee03c97ec8,275,479e92d63af65303baa5a5a4490705538cf7c8eaa93bf141fbfcb3dba4c3b996,"{""random_size_matched"": 275}",0,0,0,0,{},0.7139393939393939,"{""common_neighbor_bin_l1"": 0.5890909090909091, ""degree_product_bin_l1"": 0.8436363636363635, ""is_boundary_edge_l1"": 1.2218181818181817, ""is_bridge_edge_l1"": 0.021818181818181778, ""is_inter_community_edge_l1"": 1.2218181818181817, ""is_low_common_neighbor_edge_l1"": 0.3854545454545454, ""mean_l1"": 0.7139393939393939}",1,32,32,7262.15625,0
realworld_completed,bio_celegans,Random-size-matched-candidate,random_size_matched,SASB-structured,20260513,5,early,0.9955849889624724,0.9955849889624724,0.0,2,2,0,0.0024691358024691358,0.002962962962962963,131,404,131--404,11,5,5,11,55,1,0.25,0,6,6,32,"[""96"", ""343"", ""53"", ""51"", ""60"", ""118"", ""142"", ""143"", ""147"", ""62"", ""363"", ""220"", ""144"", ""145"", ""52"", ""364"", ""440"", ""82"", ""83"", ""149"", ""121"", ""109"", ""154"", ""85"", ""398"", ""404"", ""356"", ""46"", ""58"", ""217"", ""349"", ""222""]",dd44d46f578d662c2e1816e099abfc3dfe5a218fdb60ade8d9c946405f3e8e73,"{""boundary"": 12, ""community_rep"": 4, ""degree_core"": 10, ""random_fill"": 6}","{""degree_3_4"": 3, ""degree_5_8"": 1, ""degree_9_plus"": 28}","{""0"": 1, ""1"": 10, ""10"": 4, ""2"": 1, ""3"": 2, ""4"": 2, ""5"": 1, ""6"": 6, ""7"": 3, ""8"": 1, ""9"": 1}",275,"{""backend"": ""evaluate_m19_theory_calibrated.candidate_features"", ""delta_mode"": ""none"", ""k_max"": 512, ""k_min"": 64, ""variant"": ""conservative""}",275,0.13620604259534422,0.3563636363636364,0.3563636363636364,0.0,0.4690909090909091,"{""dp_0_4"": 0.007272727272727273, ""dp_17_64"": 0.1781818181818182, ""dp_257_plus"": 0.5490909090909091, ""dp_5_16"": 0.05090909090909091, ""dp_65_256"": 0.21454545454545454}","{""cn_0"": 0.44, ""cn_1"": 0.02909090909090909, ""cn_2_3"": 0.2909090909090909, ""cn_4_8"": 0.1890909090909091, ""cn_9_plus"": 0.05090909090909091}",2.749090909090909,763.8472727272728,uniform_random_edges_size_matched_to_sasb,91d4519f9ebfd25160eee8ec338f0339e31506bb9f82588f1cf1e70e22b17916,275,00dead2dd8145991b59fa729c9dc5469cb556fe1d65dfe3bca4429e008f1d755,"{""random_size_matched"": 275}",0,0,0,0,{},0.743030303030303,"{""common_neighbor_bin_l1"": 0.5963636363636364, ""degree_product_bin_l1"": 0.8945454545454545, ""is_boundary_edge_l1"": 1.2872727272727271, ""is_bridge_edge_l1"": 0.0, ""is_inter_community_edge_l1"": 1.2872727272727271, ""is_low_common_neighbor_edge_l1"": 0.39272727272727265, ""mean_l1"": 0.743030303030303}",1,32,32,2490.748605926437,0
realworld_completed,bio_celegans,Random-size-matched-candidate,random_size_matched,SASB-structured,20260513,6,early,0.9955849889624724,0.9955849889624724,0.0,2,2,0,0.002962962962962963,0.0034567901234567903,55,96,55--96,10,235,10,235,2350,5,0.5555555555555556,1,2,0,32,"[""96"", ""343"", ""53"", ""51"", ""60"", ""118"", ""142"", ""143"", ""147"", ""62"", ""363"", ""220"", ""144"", ""145"", ""52"", ""364"", ""440"", ""82"", ""83"", ""149"", ""121"", ""109"", ""154"", ""85"", ""398"", ""404"", ""90"", ""45"", ""70"", ""278"", ""179"", ""348""]",1da8c1ff8427dbf6b58221912ad71880b59bdfe4e185fc2320b0d469fdfeb810,"{""boundary"": 12, ""community_rep"": 4, ""degree_core"": 10, ""random_fill"": 6}","{""degree_2"": 1, ""degree_3_4"": 2, ""degree_5_8"": 3, ""degree_9_plus"": 26}","{""0"": 2, ""1"": 8, ""10"": 4, ""2"": 2, ""3"": 1, ""4"": 2, ""5"": 2, ""6"": 7, ""7"": 2, ""8"": 1, ""9"": 1}",275,"{""backend"": ""evaluate_m19_theory_calibrated.candidate_features"", ""delta_mode"": ""none"", ""k_max"": 512, ""k_min"": 64, ""variant"": ""conservative""}",275,0.13627353815659068,0.4690909090909091,0.4690909090909091,0.0,0.46545454545454545,"{""dp_17_64"": 0.13090909090909092, ""dp_257_plus"": 0.5709090909090909, ""dp_5_16"": 0.03636363636363636, ""dp_65_256"": 0.26181818181818184}","{""cn_0"": 0.4254545454545455, ""cn_1"": 0.04, ""cn_2_3"": 0.2581818181818182, ""cn_4_8"": 0.23636363636363636, ""cn_9_plus"": 0.04}",2.3527272727272726,737.9890909090909,uniform_random_edges_size_matched_to_sasb,8b74c6f37999c503be78417da5fdc63cd78e76b9f01e9fb10568d71ebe42f0de,275,00dead2dd8145991b59fa729c9dc5469cb556fe1d65dfe3bca4429e008f1d755,"{""random_size_matched"": 275}",0,0,0,0,{},0.6703030303030303,"{""common_neighbor_bin_l1"": 0.6472727272727272, ""degree_product_bin_l1"": 0.8436363636363636, ""is_boundary_edge_l1"": 1.0618181818181818, ""is_bridge_edge_l1"": 0.007272727272727296, ""is_inter_community_edge_l1"": 1.0618181818181818, ""is_low_common_neighbor_edge_l1"": 0.39999999999999997, ""mean_l1"": 0.6703030303030303}",1,32,32,1884.9866374830308,0
realworld_completed,bio_celegans,Random-size-matched-candidate,random_size_matched,SASB-structured,20260513,7,early,0.9955849889624724,0.9955849889624724,0.0,2,2,0,0.0034567901234567903,0.003950617283950617,154,309,154--309,21,3,3,21,63,2,1.0,0,2,2,32,"[""96"", ""343"", ""53"", ""51"", ""60"", ""118"", ""142"", ""143"", ""147"", ""62"", ""363"", ""220"", ""144"", ""145"", ""52"", ""364"", ""440"", ""82"", ""83"", ""149"", ""121"", ""109"", ""154"", ""85"", ""398"", ""404"", ""309"", ""119"", ""123"", ""407"", ""110"", ""81""]",e41856334e94bc2d13f29122d9fb985e3af215d71604d9d9a63d8a6160d7bd1d,"{""boundary"": 12, ""community_rep"": 4, ""degree_core"": 10, ""random_fill"": 6}","{""degree_3_4"": 2, ""degree_5_8"": 5, ""degree_9_plus"": 25}","{""0"": 1, ""1"": 9, ""10"": 5, ""2"": 2, ""3"": 2, ""4"": 2, ""5"": 1, ""6"": 7, ""7"": 1, ""8"": 1, ""9"": 1}",275,"{""backend"": ""evaluate_m19_theory_calibrated.candidate_features"", ""delta_mode"": ""none"", ""k_max"": 512, ""k_min"": 64, ""variant"": ""conservative""}",275,0.13634110064452157,0.4290909090909091,0.4290909090909091,0.0,0.44363636363636366,"{""dp_17_64"": 0.19272727272727272, ""dp_257_plus"": 0.5745454545454546, ""dp_5_16"": 0.03636363636363636, ""dp_65_256"": 0.19636363636363635}","{""cn_0"": 0.4218181818181818, ""cn_1"": 0.02181818181818182, ""cn_2_3"": 0.3018181818181818, ""cn_4_8"": 0.2109090909090909, ""cn_9_plus"": 0.04363636363636364}",2.5309090909090908,833.3272727272728,uniform_random_edges_size_matched_to_sasb,b8857becc1bd94f4042a7ad0e535ad9a39d695c9d9f86e60144bb75136925d4b,275,4537aaeaffd87189d6f33f85cb26284800e03beb6cc775d6c741126d0f252861,"{""random_size_matched"": 275}",0,0,0,0,{},0.7078787878787879,"{""common_neighbor_bin_l1"": 0.6618181818181817, ""degree_product_bin_l1"": 0.8363636363636363, ""is_boundary_edge_l1"": 1.1418181818181818, ""is_bridge_edge_l1"": 0.007272727272727296, ""is_inter_community_edge_l1"": 1.1418181818181818, ""is_low_common_neighbor_edge_l1"": 0.4581818181818182, ""mean_l1"": 0.7078787878787879}",1,32,32,3743.2728593501793,0
realworld_completed,bio_celegans,Random-size-matched-candidate,random_size_matched,SASB-structured,20260513,8,early,0.9955849889624724,0.9955849889624724,0.0,2,2,0,0.003950617283950617,0.0044444444444444444,47,96,47--96,6,234,6,234,1404,4,0.8,0,0,0,32,"[""96"", ""343"", ""53"", ""51"", ""60"", ""118"", ""142"", ""143"", ""147"", ""62"", ""363"", ""220"", ""144"", ""145"", ""52"", ""364"", ""440"", ""82"", ""83"", ""149"", ""121"", ""109"", ""154"", ""85"", ""398"", ""404"", ""75"", ""285"", ""179"", ""268"", ""281"", ""47""]",14ccebb9c6457a2bed77d16048e9cd8bc48c01e12cf2c4a33c623c1bd2a00764,"{""boundary"": 12, ""community_rep"": 4, ""degree_core"": 10, ""random_fill"": 6}","{""degree_2"": 1, ""degree_3_4"": 2, ""degree_5_8"": 2, ""degree_9_plus"": 27}","{""0"": 2, ""1"": 8, ""10"": 4, ""2"": 1, ""3"": 1, ""4"": 3, ""5"": 2, ""6"": 6, ""7"": 3, ""8"": 1, ""9"": 1}",275,"{""backend"": ""evaluate_m19_theory_calibrated.candidate_features"", ""delta_mode"": ""none"", ""k_max"": 512, ""k_min"": 64, ""variant"": ""conservative""}",275,0.13640873015873015,0.3927272727272727,0.3927272727272727,0.0,0.43272727272727274,"{""dp_17_64"": 0.16, ""dp_257_plus"": 0.56, ""dp_5_16"": 0.05454545454545454, ""dp_65_256"": 0.22545454545454546}","{""cn_0"": 0.41818181818181815, ""cn_1"": 0.014545454545454545, ""cn_2_3"": 0.3236363636363636, ""cn_4_8"": 0.20363636363636364, ""cn_9_plus"": 0.04}",2.421818181818182,627.6472727272727,uniform_random_edges_size_matched_to_sasb,84ddc908bd6dcccd242f03ccefebbc5850a5556058f4616907c3b2b91175cb5f,275,4537aaeaffd87189d6f33f85cb26284800e03beb6cc775d6c741126d0f252861,"{""random_size_matched"": 275}",0,0,0,0,{},0.743030303030303,"{""common_neighbor_bin_l1"": 0.6763636363636364, ""degree_product_bin_l1"": 0.8654545454545454, ""is_boundary_edge_l1"": 1.2145454545454546, ""is_bridge_edge_l1"": 0.007272727272727296, ""is_inter_community_edge_l1"": 1.2145454545454546, ""is_low_common_neighbor_edge_l1"": 0.48, ""mean_l1"": 0.743030303030303}",1,32,32,5172.541066294302,0
realworld_completed,bio_celegans,Random-size-matched-candidate,random_size_matched,SASB-structured,20260513,9,early,0.9955849889624724,0.9955849889624724,0.0,2,2,0,0.0044444444444444444,0.0049382716049382715,52,96,52--96,38,233,38,233,8854,26,0.7027027027027027,1,8,0,32,"[""96"", ""343"", ""53"", ""51"", ""60"", ""118"", ""142"", ""143"", ""147"", ""62"", ""363"", ""220"", ""144"", ""145"", ""52"", ""364"", ""440"", ""82"", ""83"", ""149"", ""121"", ""109"", ""154"", ""85"", ""398"", ""404"", ""34"", ""117"", ""159"", ""106"", ""68"", ""341""]",6100e40abb3cbf66d62998a1baddcad3011efb4b521781aa1fbefc89193af4c9,"{""boundary"": 12, ""community_rep"": 4, ""degree_core"": 10, ""random_fill"": 6}","{""degree_0_1"": 1, ""degree_3_4"": 2, ""degree_5_8"": 4, ""degree_9_plus"": 25}","{""0"": 2, ""1"": 8, ""10"": 4, ""2"": 1, ""3"": 1, ""4"": 2, ""5"": 1, ""6"": 8, ""7"": 2, ""8"": 2, ""9"": 1}",275,"{""backend"": ""evaluate_m19_theory_calibrated.candidate_features"", ""delta_mode"": ""none"", ""k_max"": 512, ""k_min"": 64, ""variant"": ""conservative""}",275,0.13647642679900746,0.38181818181818183,0.38181818181818183,0.0036363636363636364,0.4509090909090909,"{""dp_0_4"": 0.0036363636363636364, ""dp_17_64"": 0.18181818181818182, ""dp_257_plus"": 0.5745454545454546, ""dp_5_16"": 0.04727272727272727, ""dp_65_256"": 0.19272727272727272}","{""cn_0"": 0.4072727272727273, ""cn_1"": 0.04363636363636364, ""cn_2_3"": 0.29454545454545455, ""cn_4_8"": 0.20363636363636364, ""cn_9_plus"": 0.05090909090909091}",2.581818181818182,794.68,uniform_random_edges_size_matched_to_sasb,e9334555926f5bb23f456a131c0dac20e75be524cc23333c5f09fab2e7c87c53,275,4537aaeaffd87189d6f33f85cb26284800e03beb6cc775d6c741126d0f252861,"{""random_size_matched"": 275}",0,0,0,0,{},0.7381818181818182,"{""common_neighbor_bin_l1"": 0.6763636363636364, ""degree_product_bin_l1"": 0.8363636363636363, ""is_boundary_edge_l1"": 1.2363636363636363, ""is_bridge_edge_l1"": 0.0, ""is_inter_community_edge_l1"": 1.2363636363636363, ""is_low_common_neighbor_edge_l1"": 0.4436363636363636, ""mean_l1"": 0.7381818181818182}",1,32,32,2242.563603662003,0
