dataset,graph_id,method,candidate_policy,source_policy,seed,step,attack_phase,gcc_before,gcc_after,delta_gcc,num_components_before,num_components_after,is_bridge_before_removal,remove_ratio_before,remove_ratio_after,edge_u,edge_v,selected_edge,degree_u,degree_v,degree_min,degree_max,degree_product,common_neighbors,edge_embeddedness,is_inter_community_edge,community_u,community_v,source_count,source_nodes,source_node_hash,source_strata_counts,source_degree_bins,source_community_counts,adaptive_k,candidate_config,candidate_count,candidate_fraction,candidate_inter_community_ratio,candidate_boundary_ratio,candidate_bridge_ratio,candidate_low_cn_ratio,candidate_degree_product_distribution,candidate_common_neighbor_distribution,candidate_mean_common_neighbors,candidate_mean_degree_product,candidate_backend,candidate_hash,sasb_candidate_count_reference,sasb_candidate_hash_reference,match_mode_counts,strict_match_count,degree_only_match_count,community_only_match_count,fallback_count,fallback_reason,matched_feature_difference,matched_feature_difference_detail,candidate_count_equal_to_sasb,source_budget,true_source_traversal_count,sampled_betweenness_score,p2_degree_product_fallback
realworld_completed,bio_celegans,Structure-matched-candidate,structure_matched,SASB-structured,20260513,0,early,1.0,1.0,0.0,1,1,0,0.0,0.0004938271604938272,83,96,83--96,30,237,30,237,7110,16,0.5517241379310345,1,10,0,32,"[""96"", ""343"", ""53"", ""51"", ""60"", ""118"", ""142"", ""143"", ""147"", ""62"", ""363"", ""220"", ""144"", ""145"", ""52"", ""364"", ""440"", ""82"", ""83"", ""149"", ""121"", ""109"", ""154"", ""85"", ""398"", ""404"", ""155"", ""18"", ""131"", ""301"", ""0"", ""269""]",fb2b32759565cb7b8ebb0d2ee054acfa8911f622a66b79ecab8fc2127cdc59f2,"{""boundary"": 12, ""community_rep"": 4, ""degree_core"": 10, ""random_fill"": 6}","{""degree_3_4"": 3, ""degree_5_8"": 3, ""degree_9_plus"": 26}","{""0"": 4, ""1"": 8, ""10"": 4, ""2"": 1, ""3"": 1, ""4"": 3, ""5"": 1, ""6"": 7, ""7"": 1, ""8"": 1, ""9"": 1}",276,"{""backend"": ""evaluate_m19_theory_calibrated.candidate_features"", ""delta_mode"": ""none"", ""k_max"": 512, ""k_min"": 64, ""variant"": ""conservative""}",276,0.1362962962962963,1.0,1.0,0.0,0.6594202898550725,"{""dp_257_plus"": 0.9963768115942029, ""dp_65_256"": 0.0036231884057971015}","{""cn_0"": 0.6557971014492754, ""cn_1"": 0.0036231884057971015, ""cn_2_3"": 0.07608695652173914, ""cn_4_8"": 0.13405797101449277, ""cn_9_plus"": 0.13043478260869565}",3.1920289855072466,2261.735507246377,random_edges_structure_matched_to_sasb,5adec6df3763c84cd31ded4bf704e0260fa0f615275a5e6ee2cde4b803e124cc,276,11ac1ecfc9b0488c3a43741d799a7f0a422dbf0a1f4a2dbd2a938abe610bedb3,"{""strict"": 276}",276,0,0,0,{},0.0,"{""common_neighbor_bin_l1"": 0.0, ""degree_product_bin_l1"": 0.0, ""is_boundary_edge_l1"": 0.0, ""is_bridge_edge_l1"": 0.0, ""is_inter_community_edge_l1"": 0.0, ""is_low_common_neighbor_edge_l1"": 0.0, ""mean_l1"": 0.0}",1,32,32,3907.9027796056284,0
realworld_completed,bio_celegans,Structure-matched-candidate,structure_matched,SASB-structured,20260513,1,early,1.0,1.0,0.0,1,1,0,0.0004938271604938272,0.0009876543209876543,33,96,33--96,5,236,5,236,1180,3,0.75,1,1,0,32,"[""96"", ""343"", ""53"", ""51"", ""60"", ""118"", ""142"", ""143"", ""147"", ""62"", ""363"", ""220"", ""144"", ""145"", ""52"", ""364"", ""440"", ""82"", ""83"", ""149"", ""121"", ""109"", ""154"", ""85"", ""398"", ""404"", ""33"", ""292"", ""105"", ""170"", ""214"", ""442""]",8369f4641a70d0b5be316d1486b0bf9d28356e007590a325376cd6e9e4b9b323,"{""boundary"": 12, ""community_rep"": 4, ""degree_core"": 10, ""random_fill"": 6}","{""degree_3_4"": 3, ""degree_5_8"": 4, ""degree_9_plus"": 25}","{""0"": 3, ""1"": 8, ""10"": 5, ""2"": 1, ""3"": 2, ""4"": 3, ""5"": 1, ""6"": 6, ""7"": 1, ""8"": 1, ""9"": 1}",276,"{""backend"": ""evaluate_m19_theory_calibrated.candidate_features"", ""delta_mode"": ""none"", ""k_max"": 512, ""k_min"": 64, ""variant"": ""conservative""}",276,0.13636363636363635,1.0,1.0,0.0,0.6630434782608695,"{""dp_257_plus"": 0.9963768115942029, ""dp_65_256"": 0.0036231884057971015}","{""cn_0"": 0.6594202898550725, ""cn_1"": 0.0036231884057971015, ""cn_2_3"": 0.07608695652173914, ""cn_4_8"": 0.13405797101449277, ""cn_9_plus"": 0.12681159420289856}",2.9239130434782608,1993.6630434782608,random_edges_structure_matched_to_sasb,f5063aafca6a9eaa8a4de21ffd674f627e72555940b9aa9f4e051e8cb769bdff,276,cda6e8d0a7fc2c5f6c135bc0f16ca0436fe4843377a14be600e7eb601c0052ce,"{""strict"": 276}",276,0,0,0,{},0.0,"{""common_neighbor_bin_l1"": 0.0, ""degree_product_bin_l1"": 0.0, ""is_boundary_edge_l1"": 0.0, ""is_bridge_edge_l1"": 0.0, ""is_inter_community_edge_l1"": 0.0, ""is_low_common_neighbor_edge_l1"": 0.0, ""mean_l1"": 0.0}",1,32,32,5271.798924564261,0
realworld_completed,bio_celegans,Structure-matched-candidate,structure_matched,SASB-structured,20260513,2,early,1.0,1.0,0.0,1,1,0,0.0009876543209876543,0.0014814814814814814,51,96,51--96,104,235,104,235,24440,45,0.4368932038834951,1,10,0,32,"[""96"", ""343"", ""53"", ""51"", ""60"", ""118"", ""142"", ""143"", ""147"", ""62"", ""363"", ""220"", ""144"", ""145"", ""52"", ""364"", ""440"", ""82"", ""83"", ""149"", ""121"", ""109"", ""154"", ""85"", ""398"", ""404"", ""146"", ""241"", ""415"", ""223"", ""402"", ""406""]",ac5d91c825d7c15e53c336c32f2f33b5daee89de621ae13a2ea1398fe2f9c0ba,"{""boundary"": 12, ""community_rep"": 4, ""degree_core"": 10, ""random_fill"": 6}","{""degree_3_4"": 2, ""degree_5_8"": 4, ""degree_9_plus"": 26}","{""0"": 1, ""1"": 10, ""10"": 5, ""2"": 1, ""3"": 2, ""4"": 3, ""5"": 2, ""6"": 5, ""7"": 1, ""8"": 1, ""9"": 1}",276,"{""backend"": ""evaluate_m19_theory_calibrated.candidate_features"", ""delta_mode"": ""none"", ""k_max"": 512, ""k_min"": 64, ""variant"": ""conservative""}",276,0.13643104300543746,1.0,1.0,0.0,0.6666666666666666,"{""dp_257_plus"": 0.9963768115942029, ""dp_65_256"": 0.0036231884057971015}","{""cn_0"": 0.6630434782608695, ""cn_1"": 0.0036231884057971015, ""cn_2_3"": 0.07608695652173914, ""cn_4_8"": 0.13043478260869565, ""cn_9_plus"": 0.12681159420289856}",3.0181159420289854,2069.3478260869565,random_edges_structure_matched_to_sasb,710439406298584ae02c5b4d2393ac6e163b2b023c26421c21d6f3f5c396c8b4,276,36dbb90986d625d79de8f737d624b6e36aba0933eaee33aa7d1288927ab5d1f7,"{""strict"": 276}",276,0,0,0,{},0.0,"{""common_neighbor_bin_l1"": 0.0, ""degree_product_bin_l1"": 0.0, ""is_boundary_edge_l1"": 0.0, ""is_bridge_edge_l1"": 0.0, ""is_inter_community_edge_l1"": 0.0, ""is_low_common_neighbor_edge_l1"": 0.0, ""mean_l1"": 0.0}",1,32,32,3631.925285917754,0
realworld_completed,bio_celegans,Structure-matched-candidate,structure_matched,SASB-structured,20260513,3,early,1.0,1.0,0.0,1,1,0,0.0014814814814814814,0.0019753086419753087,60,96,60--96,64,234,64,234,14976,30,0.47619047619047616,1,3,0,32,"[""96"", ""343"", ""53"", ""51"", ""60"", ""118"", ""142"", ""143"", ""147"", ""62"", ""363"", ""220"", ""144"", ""145"", ""52"", ""364"", ""440"", ""82"", ""83"", ""149"", ""121"", ""109"", ""154"", ""85"", ""398"", ""404"", ""87"", ""172"", ""362"", ""202"", ""276"", ""66""]",78f6ec841a13dc83fa2482687ee543be028063c67a27ec18d9f9ab02e452b412,"{""boundary"": 12, ""community_rep"": 4, ""degree_core"": 10, ""random_fill"": 6}","{""degree_3_4"": 3, ""degree_5_8"": 3, ""degree_9_plus"": 26}","{""0"": 2, ""1"": 9, ""10"": 4, ""2"": 1, ""3"": 2, ""4"": 2, ""5"": 2, ""6"": 6, ""7"": 1, ""8"": 2, ""9"": 1}",276,"{""backend"": ""evaluate_m19_theory_calibrated.candidate_features"", ""delta_mode"": ""none"", ""k_max"": 512, ""k_min"": 64, ""variant"": ""conservative""}",276,0.13649851632047477,1.0,1.0,0.0,0.6702898550724637,"{""dp_257_plus"": 0.9963768115942029, ""dp_65_256"": 0.0036231884057971015}","{""cn_0"": 0.6666666666666666, ""cn_1"": 0.0036231884057971015, ""cn_2_3"": 0.07608695652173914, ""cn_4_8"": 0.13043478260869565, ""cn_9_plus"": 0.12318840579710146}",2.6159420289855073,1952.9710144927535,random_edges_structure_matched_to_sasb,8d023399cc986c72a6bf93d324a6fc64a7a28a6548fe1d7d5953d7fbd87b9f1c,276,ec4a5f0fcadf8c81139a943e4d79c0fd0a17ca7e1267f1e18938df81968f594e,"{""strict"": 276}",276,0,0,0,{},0.0,"{""common_neighbor_bin_l1"": 0.0, ""degree_product_bin_l1"": 0.0, ""is_boundary_edge_l1"": 0.0, ""is_bridge_edge_l1"": 0.0, ""is_inter_community_edge_l1"": 0.0, ""is_low_common_neighbor_edge_l1"": 0.0, ""mean_l1"": 0.0}",1,32,32,3170.213340340945,0
realworld_completed,bio_celegans,Structure-matched-candidate,structure_matched,SASB-structured,20260513,4,early,1.0,1.0,0.0,1,1,0,0.0019753086419753087,0.0024691358024691358,82,96,82--96,33,233,33,233,7689,16,0.5,1,3,0,32,"[""96"", ""343"", ""53"", ""51"", ""60"", ""118"", ""142"", ""143"", ""147"", ""62"", ""363"", ""220"", ""144"", ""145"", ""52"", ""364"", ""440"", ""82"", ""83"", ""149"", ""121"", ""109"", ""154"", ""85"", ""398"", ""404"", ""27"", ""91"", ""61"", ""148"", ""295"", ""12""]",f7056468fb5e2f8c449316efd01f8093b2f167eac04ff2749c3b53068a7f84c2,"{""boundary"": 12, ""community_rep"": 4, ""degree_core"": 10, ""random_fill"": 6}","{""degree_2"": 1, ""degree_3_4"": 2, ""degree_5_8"": 2, ""degree_9_plus"": 27}","{""0"": 1, ""1"": 10, ""10"": 4, ""2"": 1, ""3"": 2, ""4"": 2, ""5"": 1, ""6"": 7, ""7"": 1, ""8"": 1, ""9"": 2}",275,"{""backend"": ""evaluate_m19_theory_calibrated.candidate_features"", ""delta_mode"": ""none"", ""k_max"": 512, ""k_min"": 64, ""variant"": ""conservative""}",275,0.13607125185551708,1.0,1.0,0.0,0.6727272727272727,"{""dp_257_plus"": 0.9963636363636363, ""dp_65_256"": 0.0036363636363636364}","{""cn_0"": 0.6690909090909091, ""cn_1"": 0.0036363636363636364, ""cn_2_3"": 0.08363636363636363, ""cn_4_8"": 0.12363636363636364, ""cn_9_plus"": 0.12}",2.6436363636363636,1923.418181818182,random_edges_structure_matched_to_sasb,4ba7d77389276c6b185f84a79d61073d1d7cc0eb812a12443e8bc7a7b0dc9b3c,275,8e6d68c3bb7108793a2911b9abba4991156e948f4a4aa492826554bcbb95e35e,"{""strict"": 275}",275,0,0,0,{},0.0,"{""common_neighbor_bin_l1"": 0.0, ""degree_product_bin_l1"": 0.0, ""is_boundary_edge_l1"": 0.0, ""is_bridge_edge_l1"": 0.0, ""is_inter_community_edge_l1"": 0.0, ""is_low_common_neighbor_edge_l1"": 0.0, ""mean_l1"": 0.0}",1,32,32,3026.8927519957997,0
realworld_completed,bio_celegans,Structure-matched-candidate,structure_matched,SASB-structured,20260513,5,early,1.0,1.0,0.0,1,1,0,0.0024691358024691358,0.002962962962962963,53,96,53--96,123,232,123,232,28536,55,0.45081967213114754,1,6,0,32,"[""96"", ""343"", ""53"", ""51"", ""60"", ""118"", ""142"", ""143"", ""147"", ""62"", ""363"", ""220"", ""144"", ""145"", ""52"", ""364"", ""440"", ""82"", ""83"", ""149"", ""121"", ""109"", ""154"", ""85"", ""398"", ""404"", ""370"", ""38"", ""308"", ""88"", ""163"", ""126""]",cfb6e30e6475b1077b2f764661dbd69de9c640adacaf696ae0b0ed8cea8f3be6,"{""boundary"": 12, ""community_rep"": 4, ""degree_core"": 10, ""random_fill"": 6}","{""degree_0_1"": 1, ""degree_3_4"": 2, ""degree_5_8"": 3, ""degree_9_plus"": 26}","{""0"": 1, ""1"": 10, ""10"": 4, ""2"": 2, ""3"": 1, ""4"": 3, ""5"": 1, ""6"": 6, ""7"": 2, ""8"": 1, ""9"": 1}",275,"{""backend"": ""evaluate_m19_theory_calibrated.candidate_features"", ""delta_mode"": ""none"", ""k_max"": 512, ""k_min"": 64, ""variant"": ""conservative""}",275,0.13613861386138615,1.0,1.0,0.0,0.68,"{""dp_257_plus"": 0.9963636363636363, ""dp_65_256"": 0.0036363636363636364}","{""cn_0"": 0.6727272727272727, ""cn_1"": 0.007272727272727273, ""cn_2_3"": 0.08, ""cn_4_8"": 0.12363636363636364, ""cn_9_plus"": 0.11636363636363636}",2.5854545454545454,2049.756363636364,random_edges_structure_matched_to_sasb,dd123d09803d620b100896f745ac9bbe957d90245c8b2913dda1088b7416f36a,275,fda021993d17fd3da264447e6db76122fd999700d6f4cfc4db55156c0343d093,"{""strict"": 275}",275,0,0,0,{},0.0,"{""common_neighbor_bin_l1"": 0.0, ""degree_product_bin_l1"": 0.0, ""is_boundary_edge_l1"": 0.0, ""is_bridge_edge_l1"": 0.0, ""is_inter_community_edge_l1"": 0.0, ""is_low_common_neighbor_edge_l1"": 0.0, ""mean_l1"": 0.0}",1,32,32,3248.2991964542766,0
realworld_completed,bio_celegans,Structure-matched-candidate,structure_matched,SASB-structured,20260513,6,early,1.0,1.0,0.0,1,1,0,0.002962962962962963,0.0034567901234567903,85,96,85--96,24,231,24,231,5544,14,0.6086956521739131,1,9,0,32,"[""96"", ""343"", ""53"", ""51"", ""60"", ""118"", ""142"", ""143"", ""147"", ""62"", ""363"", ""220"", ""144"", ""145"", ""52"", ""364"", ""440"", ""82"", ""83"", ""149"", ""121"", ""109"", ""154"", ""85"", ""398"", ""404"", ""186"", ""100"", ""342"", ""54"", ""13"", ""178""]",00c03c5f07fa03fd712c041bd73fd6193f85521d08aa070e4e472eaa96c73fc3,"{""boundary"": 12, ""community_rep"": 4, ""degree_core"": 10, ""random_fill"": 6}","{""degree_2"": 1, ""degree_3_4"": 3, ""degree_5_8"": 3, ""degree_9_plus"": 25}","{""0"": 3, ""1"": 8, ""10"": 4, ""2"": 2, ""3"": 1, ""4"": 4, ""5"": 1, ""6"": 5, ""7"": 2, ""8"": 1, ""9"": 1}",275,"{""backend"": ""evaluate_m19_theory_calibrated.candidate_features"", ""delta_mode"": ""none"", ""k_max"": 512, ""k_min"": 64, ""variant"": ""conservative""}",275,0.13620604259534422,1.0,1.0,0.0,0.6727272727272727,"{""dp_257_plus"": 0.9963636363636363, ""dp_65_256"": 0.0036363636363636364}","{""cn_0"": 0.6654545454545454, ""cn_1"": 0.007272727272727273, ""cn_2_3"": 0.09090909090909091, ""cn_4_8"": 0.12363636363636364, ""cn_9_plus"": 0.11272727272727273}",2.5927272727272728,1984.8218181818181,random_edges_structure_matched_to_sasb,84295399943743fac2e5e16b1ecd4befbe8ae64c14322928dc7ba317099a6229,275,9feb07a0dc46edaa7d60a47c5a410bba0da4504e02c8a23c3c77dae74a97340a,"{""strict"": 275}",275,0,0,0,{},0.0,"{""common_neighbor_bin_l1"": 0.0, ""degree_product_bin_l1"": 0.0, ""is_boundary_edge_l1"": 0.0, ""is_bridge_edge_l1"": 0.0, ""is_inter_community_edge_l1"": 0.0, ""is_low_common_neighbor_edge_l1"": 0.0, ""mean_l1"": 0.0}",1,32,32,4267.842637803907,0
realworld_completed,bio_celegans,Structure-matched-candidate,structure_matched,SASB-structured,20260513,7,early,1.0,1.0,0.0,1,1,0,0.0034567901234567903,0.003950617283950617,52,96,52--96,38,230,38,230,8740,23,0.6216216216216216,1,5,0,32,"[""96"", ""343"", ""53"", ""51"", ""60"", ""118"", ""142"", ""143"", ""147"", ""62"", ""363"", ""220"", ""144"", ""145"", ""52"", ""364"", ""440"", ""82"", ""83"", ""149"", ""121"", ""109"", ""154"", ""85"", ""398"", ""404"", ""310"", ""119"", ""123"", ""46"", ""25"", ""81""]",d089a4e6cd16cf9c0450589b0fb72836e65fce4a00f5a2d3fecb12297664d66d,"{""boundary"": 12, ""community_rep"": 4, ""degree_core"": 10, ""random_fill"": 6}","{""degree_3_4"": 3, ""degree_5_8"": 4, ""degree_9_plus"": 25}","{""0"": 1, ""1"": 8, ""10"": 5, ""2"": 2, ""3"": 2, ""4"": 2, ""5"": 1, ""6"": 7, ""7"": 2, ""8"": 1, ""9"": 1}",275,"{""backend"": ""evaluate_m19_theory_calibrated.candidate_features"", ""delta_mode"": ""none"", ""k_max"": 512, ""k_min"": 64, ""variant"": ""conservative""}",275,0.13627353815659068,1.0,1.0,0.0,0.68,"{""dp_257_plus"": 0.9963636363636363, ""dp_65_256"": 0.0036363636363636364}","{""cn_0"": 0.6690909090909091, ""cn_1"": 0.01090909090909091, ""cn_2_3"": 0.08727272727272728, ""cn_4_8"": 0.12363636363636364, ""cn_9_plus"": 0.10909090909090909}",2.36,1934.1127272727272,random_edges_structure_matched_to_sasb,f4a68020fb6f13395635ca5ea5c29c8ed9f763d4c650cce8a027018cb8b5a928,275,4a856168a2f4d970925bc2f71deda9243cde427ad2630bbb6cbe883520f098c0,"{""strict"": 275}",275,0,0,0,{},0.0,"{""common_neighbor_bin_l1"": 0.0, ""degree_product_bin_l1"": 0.0, ""is_boundary_edge_l1"": 0.0, ""is_bridge_edge_l1"": 0.0, ""is_inter_community_edge_l1"": 0.0, ""is_low_common_neighbor_edge_l1"": 0.0, ""mean_l1"": 0.0}",1,32,32,2319.129675691511,0
realworld_completed,bio_celegans,Structure-matched-candidate,structure_matched,SASB-structured,20260513,8,early,1.0,1.0,0.0,1,1,0,0.003950617283950617,0.0044444444444444444,62,96,62--96,57,229,57,229,13053,21,0.375,1,3,0,32,"[""96"", ""343"", ""53"", ""51"", ""60"", ""118"", ""142"", ""143"", ""147"", ""62"", ""363"", ""220"", ""144"", ""145"", ""364"", ""52"", ""440"", ""82"", ""83"", ""149"", ""121"", ""109"", ""154"", ""85"", ""398"", ""404"", ""300"", ""25"", ""99"", ""289"", ""98"", ""179""]",a32720cc6d1e52eb6738f2af1f0f8287ff060776bc29d4d4dfe178fceb50de1b,"{""boundary"": 12, ""community_rep"": 4, ""degree_core"": 10, ""random_fill"": 6}","{""degree_3_4"": 3, ""degree_5_8"": 2, ""degree_9_plus"": 27}","{""0"": 1, ""1"": 9, ""10"": 5, ""2"": 1, ""3"": 1, ""4"": 3, ""5"": 2, ""6"": 7, ""7"": 1, ""8"": 1, ""9"": 1}",275,"{""backend"": ""evaluate_m19_theory_calibrated.candidate_features"", ""delta_mode"": ""none"", ""k_max"": 512, ""k_min"": 64, ""variant"": ""conservative""}",275,0.13634110064452157,1.0,1.0,0.0,0.6836363636363636,"{""dp_257_plus"": 0.9963636363636363, ""dp_65_256"": 0.0036363636363636364}","{""cn_0"": 0.6727272727272727, ""cn_1"": 0.01090909090909091, ""cn_2_3"": 0.09090909090909091, ""cn_4_8"": 0.12, ""cn_9_plus"": 0.10545454545454545}",2.2145454545454544,1850.3490909090908,random_edges_structure_matched_to_sasb,41c4f3001c6eb11d5125daf1d4e07578a6d51669517dfe043e260930eee889fe,275,a7680ee2af91f0babdd763ede042c6c78e504f7fe60a259d0afe99ec127e446d,"{""strict"": 275}",275,0,0,0,{},0.0,"{""common_neighbor_bin_l1"": 0.0, ""degree_product_bin_l1"": 0.0, ""is_boundary_edge_l1"": 0.0, ""is_bridge_edge_l1"": 0.0, ""is_inter_community_edge_l1"": 0.0, ""is_low_common_neighbor_edge_l1"": 0.0, ""mean_l1"": 0.0}",1,32,32,2710.151142314798,0
realworld_completed,bio_celegans,Structure-matched-candidate,structure_matched,SASB-structured,20260513,9,early,1.0,1.0,0.0,1,1,0,0.0044444444444444444,0.0049382716049382715,343,398,343--398,109,23,23,109,2507,9,0.4090909090909091,0,8,8,32,"[""96"", ""343"", ""53"", ""51"", ""60"", ""118"", ""142"", ""143"", ""147"", ""62"", ""363"", ""220"", ""144"", ""145"", ""364"", ""52"", ""440"", ""82"", ""83"", ""149"", ""121"", ""109"", ""154"", ""85"", ""398"", ""404"", ""34"", ""282"", ""391"", ""424"", ""285"", ""29""]",8243e52bf1c488838083cd87ab5b55d2379bd7dafb79f1d44fdd5900c56bbb9e,"{""boundary"": 12, ""community_rep"": 4, ""degree_core"": 10, ""random_fill"": 6}","{""degree_3_4"": 1, ""degree_5_8"": 4, ""degree_9_plus"": 27}","{""0"": 1, ""1"": 9, ""10"": 4, ""2"": 1, ""3"": 3, ""4"": 2, ""5"": 1, ""6"": 6, ""7"": 3, ""8"": 1, ""9"": 1}",275,"{""backend"": ""evaluate_m19_theory_calibrated.candidate_features"", ""delta_mode"": ""none"", ""k_max"": 512, ""k_min"": 64, ""variant"": ""conservative""}",275,0.13640873015873015,1.0,1.0,0.0,0.6872727272727273,"{""dp_257_plus"": 0.9963636363636363, ""dp_65_256"": 0.0036363636363636364}","{""cn_0"": 0.6763636363636364, ""cn_1"": 0.01090909090909091, ""cn_2_3"": 0.09090909090909091, ""cn_4_8"": 0.12, ""cn_9_plus"": 0.10181818181818182}",2.170909090909091,1806.509090909091,random_edges_structure_matched_to_sasb,4ec8fa09503b2062411739a7cb7b32dbbe12c0ffc11418062a0d197fb8c00386,275,ed812531ccba7dbebde052e59b9b3c94c157f675f0e744fea53532ce891cf510,"{""strict"": 275}",275,0,0,0,{},0.0,"{""common_neighbor_bin_l1"": 0.0, ""degree_product_bin_l1"": 0.0, ""is_boundary_edge_l1"": 0.0, ""is_bridge_edge_l1"": 0.0, ""is_inter_community_edge_l1"": 0.0, ""is_low_common_neighbor_edge_l1"": 0.0, ""mean_l1"": 0.0}",1,32,32,2098.027211035327,0
