dataset,graph_id,method,candidate_policy,source_policy,seed,step,attack_phase,gcc_before,gcc_after,delta_gcc,num_components_before,num_components_after,is_bridge_before_removal,remove_ratio_before,remove_ratio_after,edge_u,edge_v,selected_edge,degree_u,degree_v,degree_min,degree_max,degree_product,common_neighbors,edge_embeddedness,is_inter_community_edge,community_u,community_v,source_count,source_nodes,source_node_hash,source_strata_counts,source_degree_bins,source_community_counts,adaptive_k,candidate_config,candidate_count,candidate_fraction,candidate_inter_community_ratio,candidate_boundary_ratio,candidate_bridge_ratio,candidate_low_cn_ratio,candidate_degree_product_distribution,candidate_common_neighbor_distribution,candidate_mean_common_neighbors,candidate_mean_degree_product,candidate_backend,candidate_hash,sasb_candidate_count_reference,sasb_candidate_hash_reference,match_mode_counts,strict_match_count,degree_only_match_count,community_only_match_count,fallback_count,fallback_reason,matched_feature_difference,matched_feature_difference_detail,candidate_count_equal_to_sasb,source_budget,true_source_traversal_count,sampled_betweenness_score,p2_degree_product_fallback
realworld_completed,bio_celegans_dir,SASB-candidate,sasb,SASB-structured,20260513,0,early,1.0,1.0,0.0,1,1,0,0.0,0.0004938271604938272,313,404,313--404,5,64,5,64,320,1,0.25,1,5,1,32,"[""46"", ""334"", ""1"", ""449"", ""399"", ""406"", ""404"", ""301"", ""409"", ""431"", ""394"", ""396"", ""13"", ""223"", ""403"", ""24"", ""400"", ""157"", ""179"", ""415"", ""405"", ""36"", ""437"", ""72"", ""43"", ""313"", ""451"", ""296"", ""143"", ""238"", ""7"", ""4""]",6ce4e5f1e84a59e96825f512b0ae67ce5b232e05ffb806d6949660dae7297e29,"{""boundary"": 12, ""community_rep"": 4, ""degree_core"": 10, ""random_fill"": 6}","{""degree_0_1"": 1, ""degree_3_4"": 3, ""degree_5_8"": 2, ""degree_9_plus"": 26}","{""0"": 9, ""1"": 7, ""2"": 2, ""3"": 3, ""4"": 3, ""5"": 1, ""6"": 3, ""7"": 2, ""8"": 1, ""9"": 1}",276,"{""backend"": ""evaluate_m19_theory_calibrated.candidate_features"", ""delta_mode"": ""none"", ""k_max"": 512, ""k_min"": 64, ""variant"": ""conservative""}",276,0.1362962962962963,1.0,1.0,0.0,0.4927536231884058,"{""dp_257_plus"": 0.9891304347826086, ""dp_5_16"": 0.0036231884057971015, ""dp_65_256"": 0.007246376811594203}","{""cn_0"": 0.48188405797101447, ""cn_1"": 0.010869565217391304, ""cn_2_3"": 0.16666666666666666, ""cn_4_8"": 0.17391304347826086, ""cn_9_plus"": 0.16666666666666666}",4.018115942028985,2825.463768115942,sasb_candidate_builder,b3fc0ec3958dfc8f87590a67f1ac85a470d6a6395be9a47d8658ecce91a7c844,276,b3fc0ec3958dfc8f87590a67f1ac85a470d6a6395be9a47d8658ecce91a7c844,"{""sasb_builder"": 276}",0,0,0,0,{},0.0,"{""common_neighbor_bin_l1"": 0.0, ""degree_product_bin_l1"": 0.0, ""is_boundary_edge_l1"": 0.0, ""is_bridge_edge_l1"": 0.0, ""is_inter_community_edge_l1"": 0.0, ""is_low_common_neighbor_edge_l1"": 0.0, ""mean_l1"": 0.0}",1,32,32,6668.078719108977,0
realworld_completed,bio_celegans_dir,SASB-candidate,sasb,SASB-structured,20260513,1,early,1.0,1.0,0.0,1,1,0,0.0004938271604938272,0.0009876543209876543,46,68,46--68,237,5,5,237,1185,3,0.75,1,0,3,32,"[""46"", ""334"", ""1"", ""449"", ""399"", ""406"", ""404"", ""301"", ""409"", ""431"", ""394"", ""396"", ""13"", ""223"", ""403"", ""24"", ""400"", ""157"", ""179"", ""415"", ""405"", ""36"", ""437"", ""72"", ""43"", ""313"", ""215"", ""68"", ""120"", ""210"", ""153"", ""253""]",83eed9866dab4c44073e8e0ffbf0f752e8f1c634e54c36024ed0a43ef3d3f1d3,"{""boundary"": 12, ""community_rep"": 4, ""degree_core"": 10, ""random_fill"": 6}","{""degree_3_4"": 5, ""degree_5_8"": 1, ""degree_9_plus"": 26}","{""0"": 9, ""1"": 9, ""2"": 2, ""3"": 3, ""4"": 1, ""5"": 1, ""6"": 2, ""7"": 2, ""8"": 1, ""9"": 2}",276,"{""backend"": ""evaluate_m19_theory_calibrated.candidate_features"", ""delta_mode"": ""none"", ""k_max"": 512, ""k_min"": 64, ""variant"": ""conservative""}",276,0.13636363636363635,1.0,1.0,0.0,0.4891304347826087,"{""dp_257_plus"": 0.9891304347826086, ""dp_5_16"": 0.0036231884057971015, ""dp_65_256"": 0.007246376811594203}","{""cn_0"": 0.48188405797101447, ""cn_1"": 0.007246376811594203, ""cn_2_3"": 0.16666666666666666, ""cn_4_8"": 0.17753623188405798, ""cn_9_plus"": 0.16666666666666666}",4.036231884057971,2825.6702898550725,sasb_candidate_builder,5d8c925962c8ad434d232408313c2aeba2f737eafe8782d415a96a1bce9ab01a,276,5d8c925962c8ad434d232408313c2aeba2f737eafe8782d415a96a1bce9ab01a,"{""sasb_builder"": 276}",0,0,0,0,{},0.0,"{""common_neighbor_bin_l1"": 0.0, ""degree_product_bin_l1"": 0.0, ""is_boundary_edge_l1"": 0.0, ""is_bridge_edge_l1"": 0.0, ""is_inter_community_edge_l1"": 0.0, ""is_low_common_neighbor_edge_l1"": 0.0, ""mean_l1"": 0.0}",1,32,32,5034.4023074796405,0
realworld_completed,bio_celegans_dir,SASB-candidate,sasb,SASB-structured,20260513,2,early,1.0,1.0,0.0,1,1,0,0.0009876543209876543,0.0014814814814814814,27,46,27--46,11,236,11,236,2596,8,0.8,0,8,8,32,"[""46"", ""334"", ""1"", ""449"", ""399"", ""406"", ""404"", ""301"", ""409"", ""431"", ""394"", ""396"", ""13"", ""223"", ""403"", ""24"", ""400"", ""157"", ""179"", ""415"", ""405"", ""36"", ""437"", ""72"", ""43"", ""313"", ""340"", ""31"", ""375"", ""242"", ""265"", ""105""]",02e7fa3ebb2001524c980ab62fe19f3fa6dc7103a20c3e39cf6d07d34130c104,"{""boundary"": 12, ""community_rep"": 4, ""degree_core"": 10, ""random_fill"": 6}","{""degree_2"": 1, ""degree_3_4"": 4, ""degree_5_8"": 2, ""degree_9_plus"": 25}","{""0"": 9, ""1"": 9, ""2"": 3, ""3"": 4, ""4"": 1, ""5"": 1, ""6"": 2, ""7"": 1, ""8"": 1, ""9"": 1}",276,"{""backend"": ""evaluate_m19_theory_calibrated.candidate_features"", ""delta_mode"": ""none"", ""k_max"": 512, ""k_min"": 64, ""variant"": ""conservative""}",276,0.13643104300543746,1.0,1.0,0.0,0.4891304347826087,"{""dp_257_plus"": 0.9891304347826086, ""dp_5_16"": 0.0036231884057971015, ""dp_65_256"": 0.007246376811594203}","{""cn_0"": 0.48188405797101447, ""cn_1"": 0.007246376811594203, ""cn_2_3"": 0.16304347826086957, ""cn_4_8"": 0.17753623188405798, ""cn_9_plus"": 0.17028985507246377}",4.1231884057971016,2837.307971014493,sasb_candidate_builder,e6469d57db6831ffde6351a78ad356b754cbc83745a9c8c659dc8ca29104761e,276,e6469d57db6831ffde6351a78ad356b754cbc83745a9c8c659dc8ca29104761e,"{""sasb_builder"": 276}",0,0,0,0,{},0.0,"{""common_neighbor_bin_l1"": 0.0, ""degree_product_bin_l1"": 0.0, ""is_boundary_edge_l1"": 0.0, ""is_bridge_edge_l1"": 0.0, ""is_inter_community_edge_l1"": 0.0, ""is_low_common_neighbor_edge_l1"": 0.0, ""mean_l1"": 0.0}",1,32,32,3884.963041948096,0
realworld_completed,bio_celegans_dir,SASB-candidate,sasb,SASB-structured,20260513,3,early,1.0,1.0,0.0,1,1,0,0.0014814814814814814,0.0019753086419753087,25,46,25--46,3,235,3,235,705,2,1.0,1,2,0,32,"[""46"", ""334"", ""1"", ""449"", ""399"", ""406"", ""404"", ""301"", ""409"", ""431"", ""394"", ""396"", ""13"", ""223"", ""403"", ""24"", ""400"", ""157"", ""179"", ""415"", ""405"", ""36"", ""437"", ""72"", ""43"", ""313"", ""387"", ""427"", ""25"", ""439"", ""127"", ""329""]",9ffe3e9e69cb70e2d8a94acc5926a25dc94ec3342e076f65b6c0c60f1f990d11,"{""boundary"": 12, ""community_rep"": 4, ""degree_core"": 10, ""random_fill"": 6}","{""degree_3_4"": 4, ""degree_5_8"": 3, ""degree_9_plus"": 25}","{""0"": 9, ""1"": 10, ""2"": 3, ""3"": 3, ""4"": 1, ""5"": 1, ""6"": 2, ""7"": 1, ""8"": 1, ""9"": 1}",276,"{""backend"": ""evaluate_m19_theory_calibrated.candidate_features"", ""delta_mode"": ""none"", ""k_max"": 512, ""k_min"": 64, ""variant"": ""conservative""}",276,0.13649851632047477,1.0,1.0,0.0,0.4963768115942029,"{""dp_257_plus"": 0.9891304347826086, ""dp_5_16"": 0.0036231884057971015, ""dp_65_256"": 0.007246376811594203}","{""cn_0"": 0.4855072463768116, ""cn_1"": 0.010869565217391304, ""cn_2_3"": 0.15942028985507245, ""cn_4_8"": 0.17753623188405798, ""cn_9_plus"": 0.16666666666666666}",4.076086956521739,2822.7789855072465,sasb_candidate_builder,8d08d458b85bf03c5132448a6ae2f3e47b406546c27bec2d0386465dcad4b1d4,276,8d08d458b85bf03c5132448a6ae2f3e47b406546c27bec2d0386465dcad4b1d4,"{""sasb_builder"": 276}",0,0,0,0,{},0.0,"{""common_neighbor_bin_l1"": 0.0, ""degree_product_bin_l1"": 0.0, ""is_boundary_edge_l1"": 0.0, ""is_bridge_edge_l1"": 0.0, ""is_inter_community_edge_l1"": 0.0, ""is_low_common_neighbor_edge_l1"": 0.0, ""mean_l1"": 0.0}",1,32,32,4261.1936780770375,0
realworld_completed,bio_celegans_dir,SASB-candidate,sasb,SASB-structured,20260513,4,early,1.0,1.0,0.0,1,1,0,0.0019753086419753087,0.0024691358024691358,27,334,27--334,10,109,10,109,1090,5,0.5555555555555556,1,6,0,32,"[""46"", ""334"", ""1"", ""449"", ""399"", ""406"", ""404"", ""301"", ""409"", ""431"", ""394"", ""396"", ""13"", ""223"", ""403"", ""24"", ""400"", ""157"", ""179"", ""415"", ""405"", ""36"", ""437"", ""72"", ""43"", ""313"", ""349"", ""357"", ""91"", ""339"", ""444"", ""258""]",ef0d6f6cc69b9b5707a46cadd8c9a4f3cf4cb594f5d07147e3b53d8194778bec,"{""boundary"": 12, ""community_rep"": 4, ""degree_core"": 10, ""random_fill"": 6}","{""degree_3_4"": 3, ""degree_5_8"": 3, ""degree_9_plus"": 26}","{""0"": 9, ""1"": 9, ""2"": 3, ""3"": 4, ""4"": 1, ""5"": 1, ""6"": 2, ""7"": 1, ""8"": 1, ""9"": 1}",275,"{""backend"": ""evaluate_m19_theory_calibrated.candidate_features"", ""delta_mode"": ""none"", ""k_max"": 512, ""k_min"": 64, ""variant"": ""conservative""}",275,0.13607125185551708,1.0,1.0,0.0,0.49818181818181817,"{""dp_257_plus"": 0.9890909090909091, ""dp_5_16"": 0.0036363636363636364, ""dp_65_256"": 0.007272727272727273}","{""cn_0"": 0.48727272727272725, ""cn_1"": 0.01090909090909091, ""cn_2_3"": 0.15636363636363637, ""cn_4_8"": 0.1781818181818182, ""cn_9_plus"": 0.16727272727272727}",4.08,2822.3418181818183,sasb_candidate_builder,179f2bb05ffcbcde2c0ee4f74f1107c99a97e169ed29efd0a37abb664167c748,275,179f2bb05ffcbcde2c0ee4f74f1107c99a97e169ed29efd0a37abb664167c748,"{""sasb_builder"": 275}",0,0,0,0,{},0.0,"{""common_neighbor_bin_l1"": 0.0, ""degree_product_bin_l1"": 0.0, ""is_boundary_edge_l1"": 0.0, ""is_bridge_edge_l1"": 0.0, ""is_inter_community_edge_l1"": 0.0, ""is_low_common_neighbor_edge_l1"": 0.0, ""mean_l1"": 0.0}",1,32,32,3183.4210233578697,0
realworld_completed,bio_celegans_dir,SASB-candidate,sasb,SASB-structured,20260513,5,early,1.0,1.0,0.0,1,1,0,0.0024691358024691358,0.002962962962962963,24,46,24--46,36,234,36,234,8424,18,0.5142857142857142,1,2,9,32,"[""46"", ""334"", ""1"", ""449"", ""399"", ""406"", ""404"", ""301"", ""409"", ""431"", ""394"", ""396"", ""13"", ""223"", ""403"", ""24"", ""400"", ""157"", ""179"", ""415"", ""405"", ""36"", ""437"", ""72"", ""43"", ""313"", ""61"", ""435"", ""413"", ""103"", ""426"", ""199""]",688ef20aa7dda992cadd0ffeee10a525e1eb40a8fe555766dc7200a0926f944e,"{""boundary"": 12, ""community_rep"": 4, ""degree_core"": 10, ""random_fill"": 6}","{""degree_3_4"": 2, ""degree_5_8"": 1, ""degree_9_plus"": 29}","{""0"": 8, ""1"": 10, ""2"": 2, ""3"": 3, ""4"": 2, ""5"": 1, ""6"": 3, ""7"": 1, ""8"": 1, ""9"": 1}",275,"{""backend"": ""evaluate_m19_theory_calibrated.candidate_features"", ""delta_mode"": ""none"", ""k_max"": 512, ""k_min"": 64, ""variant"": ""conservative""}",275,0.13613861386138615,1.0,1.0,0.0,0.49818181818181817,"{""dp_257_plus"": 0.9854545454545455, ""dp_5_16"": 0.0036363636363636364, ""dp_65_256"": 0.01090909090909091}","{""cn_0"": 0.48727272727272725, ""cn_1"": 0.01090909090909091, ""cn_2_3"": 0.15636363636363637, ""cn_4_8"": 0.18181818181818182, ""cn_9_plus"": 0.16363636363636364}",3.978181818181818,2794.163636363636,sasb_candidate_builder,53f25e9313655545109b0bebb43d37d4cee789d50fe9029abcb627ebc4523b03,275,53f25e9313655545109b0bebb43d37d4cee789d50fe9029abcb627ebc4523b03,"{""sasb_builder"": 275}",0,0,0,0,{},0.0,"{""common_neighbor_bin_l1"": 0.0, ""degree_product_bin_l1"": 0.0, ""is_boundary_edge_l1"": 0.0, ""is_bridge_edge_l1"": 0.0, ""is_inter_community_edge_l1"": 0.0, ""is_low_common_neighbor_edge_l1"": 0.0, ""mean_l1"": 0.0}",1,32,32,3429.226122156244,0
realworld_completed,bio_celegans_dir,SASB-candidate,sasb,SASB-structured,20260513,6,early,1.0,1.0,0.0,1,1,0,0.002962962962962963,0.0034567901234567903,43,46,43--46,21,233,21,233,4893,16,0.8,1,1,2,32,"[""46"", ""334"", ""1"", ""449"", ""399"", ""406"", ""404"", ""301"", ""409"", ""431"", ""394"", ""396"", ""13"", ""223"", ""403"", ""24"", ""400"", ""157"", ""179"", ""415"", ""405"", ""36"", ""437"", ""72"", ""43"", ""313"", ""352"", ""360"", ""48"", ""191"", ""66"", ""408""]",5b3925dcef80f56093f1298460037f988d4d99f33ede862589d2e64627837da7,"{""boundary"": 12, ""community_rep"": 4, ""degree_core"": 10, ""random_fill"": 6}","{""degree_3_4"": 2, ""degree_5_8"": 3, ""degree_9_plus"": 27}","{""0"": 8, ""1"": 8, ""2"": 3, ""3"": 3, ""4"": 3, ""5"": 1, ""6"": 3, ""7"": 1, ""8"": 1, ""9"": 1}",275,"{""backend"": ""evaluate_m19_theory_calibrated.candidate_features"", ""delta_mode"": ""none"", ""k_max"": 512, ""k_min"": 64, ""variant"": ""conservative""}",275,0.13620604259534422,1.0,1.0,0.0,0.49818181818181817,"{""dp_257_plus"": 0.9854545454545455, ""dp_5_16"": 0.0036363636363636364, ""dp_65_256"": 0.01090909090909091}","{""cn_0"": 0.48727272727272725, ""cn_1"": 0.01090909090909091, ""cn_2_3"": 0.15636363636363637, ""cn_4_8"": 0.18545454545454546, ""cn_9_plus"": 0.16}",3.923636363636364,2757.04,sasb_candidate_builder,162dce8259560ba1fad1f6453986df8beaadd45bbb8b16502d39d618452949d7,275,162dce8259560ba1fad1f6453986df8beaadd45bbb8b16502d39d618452949d7,"{""sasb_builder"": 275}",0,0,0,0,{},0.0,"{""common_neighbor_bin_l1"": 0.0, ""degree_product_bin_l1"": 0.0, ""is_boundary_edge_l1"": 0.0, ""is_bridge_edge_l1"": 0.0, ""is_inter_community_edge_l1"": 0.0, ""is_low_common_neighbor_edge_l1"": 0.0, ""mean_l1"": 0.0}",1,32,32,2933.1725695272444,0
realworld_completed,bio_celegans_dir,SASB-candidate,sasb,SASB-structured,20260513,7,early,1.0,1.0,0.0,1,1,0,0.0034567901234567903,0.003950617283950617,1,46,1--46,123,232,123,232,28536,55,0.45081967213114754,1,1,8,32,"[""46"", ""334"", ""1"", ""449"", ""399"", ""406"", ""404"", ""301"", ""409"", ""431"", ""394"", ""396"", ""13"", ""223"", ""403"", ""24"", ""400"", ""157"", ""179"", ""415"", ""405"", ""36"", ""437"", ""72"", ""43"", ""313"", ""222"", ""364"", ""251"", ""316"", ""25"", ""174""]",d1b4b77bfb80822b27ceda6aabbd8edd467066d540eadd2a62353b1f02021e43,"{""boundary"": 12, ""community_rep"": 4, ""degree_core"": 10, ""random_fill"": 6}","{""degree_2"": 1, ""degree_3_4"": 4, ""degree_5_8"": 2, ""degree_9_plus"": 25}","{""0"": 10, ""1"": 7, ""2"": 2, ""3"": 3, ""4"": 2, ""5"": 2, ""6"": 3, ""7"": 1, ""8"": 1, ""9"": 1}",275,"{""backend"": ""evaluate_m19_theory_calibrated.candidate_features"", ""delta_mode"": ""none"", ""k_max"": 512, ""k_min"": 64, ""variant"": ""conservative""}",275,0.13627353815659068,1.0,1.0,0.0,0.5054545454545455,"{""dp_257_plus"": 0.9854545454545455, ""dp_5_16"": 0.0036363636363636364, ""dp_65_256"": 0.01090909090909091}","{""cn_0"": 0.49454545454545457, ""cn_1"": 0.01090909090909091, ""cn_2_3"": 0.15636363636363637, ""cn_4_8"": 0.1890909090909091, ""cn_9_plus"": 0.14909090909090908}",3.810909090909091,2737.152727272727,sasb_candidate_builder,d053cf23501c40ec2c543499b03c24df8952e5e17d0ba012eaa7894b420b44cf,275,d053cf23501c40ec2c543499b03c24df8952e5e17d0ba012eaa7894b420b44cf,"{""sasb_builder"": 275}",0,0,0,0,{},0.0,"{""common_neighbor_bin_l1"": 0.0, ""degree_product_bin_l1"": 0.0, ""is_boundary_edge_l1"": 0.0, ""is_bridge_edge_l1"": 0.0, ""is_inter_community_edge_l1"": 0.0, ""is_low_common_neighbor_edge_l1"": 0.0, ""mean_l1"": 0.0}",1,32,32,3172.011365003285,0
realworld_completed,bio_celegans_dir,SASB-candidate,sasb,SASB-structured,20260513,8,early,1.0,1.0,0.0,1,1,0,0.003950617283950617,0.0044444444444444444,13,46,13--46,57,231,57,231,13167,24,0.42857142857142855,1,3,8,32,"[""46"", ""334"", ""1"", ""449"", ""399"", ""406"", ""404"", ""301"", ""409"", ""431"", ""394"", ""396"", ""13"", ""223"", ""403"", ""24"", ""400"", ""157"", ""179"", ""415"", ""405"", ""36"", ""437"", ""72"", ""43"", ""313"", ""392"", ""386"", ""113"", ""263"", ""216"", ""417""]",f48c4dc4a50b2ee2ff3a6597230f8a4ca4c721db03f8b8466f6476cd7e391a1b,"{""boundary"": 12, ""community_rep"": 4, ""degree_core"": 10, ""random_fill"": 6}","{""degree_2"": 2, ""degree_3_4"": 3, ""degree_5_8"": 2, ""degree_9_plus"": 25}","{""0"": 8, ""1"": 9, ""2"": 3, ""3"": 4, ""4"": 2, ""5"": 1, ""6"": 2, ""7"": 1, ""8"": 1, ""9"": 1}",275,"{""backend"": ""evaluate_m19_theory_calibrated.candidate_features"", ""delta_mode"": ""none"", ""k_max"": 512, ""k_min"": 64, ""variant"": ""conservative""}",275,0.13634110064452157,1.0,1.0,0.0,0.509090909090909,"{""dp_257_plus"": 0.9890909090909091, ""dp_5_16"": 0.0036363636363636364, ""dp_65_256"": 0.007272727272727273}","{""cn_0"": 0.49818181818181817, ""cn_1"": 0.01090909090909091, ""cn_2_3"": 0.16727272727272727, ""cn_4_8"": 0.19272727272727272, ""cn_9_plus"": 0.13090909090909092}",3.5163636363636366,2636.061818181818,sasb_candidate_builder,5ae09ec82787274c6f2b5f2bad3f3581b0c8d6b1feb4342c2b314b3678c691ee,275,5ae09ec82787274c6f2b5f2bad3f3581b0c8d6b1feb4342c2b314b3678c691ee,"{""sasb_builder"": 275}",0,0,0,0,{},0.0,"{""common_neighbor_bin_l1"": 0.0, ""degree_product_bin_l1"": 0.0, ""is_boundary_edge_l1"": 0.0, ""is_bridge_edge_l1"": 0.0, ""is_inter_community_edge_l1"": 0.0, ""is_low_common_neighbor_edge_l1"": 0.0, ""mean_l1"": 0.0}",1,32,32,2800.6656931765965,0
realworld_completed,bio_celegans_dir,SASB-candidate,sasb,SASB-structured,20260513,9,early,1.0,1.0,0.0,1,1,0,0.0044444444444444444,0.0049382716049382715,301,415,301--415,63,28,28,63,1764,3,0.1111111111111111,1,3,7,32,"[""46"", ""334"", ""1"", ""449"", ""399"", ""406"", ""404"", ""301"", ""409"", ""431"", ""394"", ""396"", ""13"", ""223"", ""403"", ""24"", ""400"", ""157"", ""179"", ""415"", ""405"", ""36"", ""437"", ""72"", ""43"", ""313"", ""417"", ""141"", ""435"", ""180"", ""244"", ""155""]",eb6164a6c7379bebdb0a65b4001e1818b953879d894c6d5ede702368e5044b7b,"{""boundary"": 12, ""community_rep"": 4, ""degree_core"": 10, ""random_fill"": 6}","{""degree_2"": 1, ""degree_3_4"": 3, ""degree_5_8"": 1, ""degree_9_plus"": 27}","{""0"": 7, ""1"": 9, ""2"": 2, ""3"": 5, ""4"": 2, ""5"": 1, ""6"": 2, ""7"": 2, ""8"": 1, ""9"": 1}",275,"{""backend"": ""evaluate_m19_theory_calibrated.candidate_features"", ""delta_mode"": ""none"", ""k_max"": 512, ""k_min"": 64, ""variant"": ""conservative""}",275,0.13640873015873015,1.0,1.0,0.0,0.509090909090909,"{""dp_257_plus"": 0.9854545454545455, ""dp_5_16"": 0.0036363636363636364, ""dp_65_256"": 0.01090909090909091}","{""cn_0"": 0.49818181818181817, ""cn_1"": 0.01090909090909091, ""cn_2_3"": 0.16727272727272727, ""cn_4_8"": 0.2, ""cn_9_plus"": 0.12363636363636364}",3.3963636363636365,2560.6872727272726,sasb_candidate_builder,1b9ceb9e6ecee6a84b952c566cc5228c73c2c71515268893555f10f97104f7a2,275,1b9ceb9e6ecee6a84b952c566cc5228c73c2c71515268893555f10f97104f7a2,"{""sasb_builder"": 275}",0,0,0,0,{},0.0,"{""common_neighbor_bin_l1"": 0.0, ""degree_product_bin_l1"": 0.0, ""is_boundary_edge_l1"": 0.0, ""is_bridge_edge_l1"": 0.0, ""is_inter_community_edge_l1"": 0.0, ""is_low_common_neighbor_edge_l1"": 0.0, ""mean_l1"": 0.0}",1,32,32,2055.8285368271304,0
