dataset,graph_id,method,candidate_policy,source_policy,seed,step,attack_phase,gcc_before,gcc_after,delta_gcc,num_components_before,num_components_after,is_bridge_before_removal,remove_ratio_before,remove_ratio_after,edge_u,edge_v,selected_edge,degree_u,degree_v,degree_min,degree_max,degree_product,common_neighbors,edge_embeddedness,is_inter_community_edge,community_u,community_v,source_count,source_nodes,source_node_hash,source_strata_counts,source_degree_bins,source_community_counts,adaptive_k,candidate_config,candidate_count,candidate_fraction,candidate_inter_community_ratio,candidate_boundary_ratio,candidate_bridge_ratio,candidate_low_cn_ratio,candidate_degree_product_distribution,candidate_common_neighbor_distribution,candidate_mean_common_neighbors,candidate_mean_degree_product,candidate_backend,candidate_hash,sasb_candidate_count_reference,sasb_candidate_hash_reference,match_mode_counts,strict_match_count,degree_only_match_count,community_only_match_count,fallback_count,fallback_reason,matched_feature_difference,matched_feature_difference_detail,candidate_count_equal_to_sasb,source_budget,true_source_traversal_count,sampled_betweenness_score,p2_degree_product_fallback
realworld_completed,bio_celegans_dir,Structure-matched-candidate,structure_matched,SASB-structured,20260513,0,early,1.0,1.0,0.0,1,1,0,0.0,0.0004938271604938272,313,404,313--404,5,64,5,64,320,1,0.25,1,5,1,32,"[""46"", ""334"", ""1"", ""449"", ""399"", ""406"", ""404"", ""301"", ""409"", ""431"", ""394"", ""396"", ""13"", ""223"", ""403"", ""24"", ""400"", ""157"", ""179"", ""415"", ""405"", ""36"", ""437"", ""72"", ""43"", ""313"", ""451"", ""296"", ""143"", ""238"", ""7"", ""4""]",6ce4e5f1e84a59e96825f512b0ae67ce5b232e05ffb806d6949660dae7297e29,"{""boundary"": 12, ""community_rep"": 4, ""degree_core"": 10, ""random_fill"": 6}","{""degree_0_1"": 1, ""degree_3_4"": 3, ""degree_5_8"": 2, ""degree_9_plus"": 26}","{""0"": 9, ""1"": 7, ""2"": 2, ""3"": 3, ""4"": 3, ""5"": 1, ""6"": 3, ""7"": 2, ""8"": 1, ""9"": 1}",276,"{""backend"": ""evaluate_m19_theory_calibrated.candidate_features"", ""delta_mode"": ""none"", ""k_max"": 512, ""k_min"": 64, ""variant"": ""conservative""}",276,0.1362962962962963,1.0,1.0,0.0,0.4927536231884058,"{""dp_257_plus"": 0.9891304347826086, ""dp_5_16"": 0.0036231884057971015, ""dp_65_256"": 0.007246376811594203}","{""cn_0"": 0.48188405797101447, ""cn_1"": 0.010869565217391304, ""cn_2_3"": 0.16666666666666666, ""cn_4_8"": 0.17391304347826086, ""cn_9_plus"": 0.16666666666666666}",3.608695652173913,1905.0471014492753,random_edges_structure_matched_to_sasb,07dff8ac9c55db0da79086c0d4b5d6f40dd7dc758acb4c6284bf6b63129f6c2b,276,b3fc0ec3958dfc8f87590a67f1ac85a470d6a6395be9a47d8658ecce91a7c844,"{""strict"": 276}",276,0,0,0,{},0.0,"{""common_neighbor_bin_l1"": 0.0, ""degree_product_bin_l1"": 0.0, ""is_boundary_edge_l1"": 0.0, ""is_bridge_edge_l1"": 0.0, ""is_inter_community_edge_l1"": 0.0, ""is_low_common_neighbor_edge_l1"": 0.0, ""mean_l1"": 0.0}",1,32,32,6668.078719108977,0
realworld_completed,bio_celegans_dir,Structure-matched-candidate,structure_matched,SASB-structured,20260513,1,early,1.0,1.0,0.0,1,1,0,0.0004938271604938272,0.0009876543209876543,1,46,1--46,123,237,123,237,29151,58,0.47540983606557374,1,1,0,32,"[""46"", ""334"", ""1"", ""449"", ""399"", ""406"", ""404"", ""301"", ""409"", ""431"", ""394"", ""396"", ""13"", ""223"", ""403"", ""24"", ""400"", ""157"", ""179"", ""415"", ""405"", ""36"", ""437"", ""72"", ""43"", ""313"", ""215"", ""68"", ""120"", ""210"", ""153"", ""253""]",83eed9866dab4c44073e8e0ffbf0f752e8f1c634e54c36024ed0a43ef3d3f1d3,"{""boundary"": 12, ""community_rep"": 4, ""degree_core"": 10, ""random_fill"": 6}","{""degree_3_4"": 5, ""degree_5_8"": 1, ""degree_9_plus"": 26}","{""0"": 9, ""1"": 9, ""2"": 2, ""3"": 3, ""4"": 1, ""5"": 1, ""6"": 2, ""7"": 2, ""8"": 1, ""9"": 2}",276,"{""backend"": ""evaluate_m19_theory_calibrated.candidate_features"", ""delta_mode"": ""none"", ""k_max"": 512, ""k_min"": 64, ""variant"": ""conservative""}",276,0.13636363636363635,1.0,1.0,0.0,0.4891304347826087,"{""dp_257_plus"": 0.9891304347826086, ""dp_5_16"": 0.0036231884057971015, ""dp_65_256"": 0.007246376811594203}","{""cn_0"": 0.48188405797101447, ""cn_1"": 0.007246376811594203, ""cn_2_3"": 0.16666666666666666, ""cn_4_8"": 0.17753623188405798, ""cn_9_plus"": 0.16666666666666666}",3.9057971014492754,2043.5579710144928,random_edges_structure_matched_to_sasb,d693f1096eea9204a9b916a7c59ab071c3dc59cd962cdd5553d0268954579e68,276,5d8c925962c8ad434d232408313c2aeba2f737eafe8782d415a96a1bce9ab01a,"{""strict"": 276}",276,0,0,0,{},0.0,"{""common_neighbor_bin_l1"": 0.0, ""degree_product_bin_l1"": 0.0, ""is_boundary_edge_l1"": 0.0, ""is_bridge_edge_l1"": 0.0, ""is_inter_community_edge_l1"": 0.0, ""is_low_common_neighbor_edge_l1"": 0.0, ""mean_l1"": 0.0}",1,32,32,4045.2636702828513,0
realworld_completed,bio_celegans_dir,Structure-matched-candidate,structure_matched,SASB-structured,20260513,2,early,1.0,1.0,0.0,1,1,0,0.0009876543209876543,0.0014814814814814814,43,46,43--46,21,236,21,236,4956,15,0.75,1,10,8,32,"[""46"", ""334"", ""1"", ""449"", ""399"", ""406"", ""404"", ""301"", ""409"", ""431"", ""394"", ""396"", ""13"", ""223"", ""403"", ""24"", ""400"", ""157"", ""179"", ""415"", ""405"", ""36"", ""437"", ""72"", ""43"", ""313"", ""340"", ""31"", ""375"", ""242"", ""265"", ""105""]",02e7fa3ebb2001524c980ab62fe19f3fa6dc7103a20c3e39cf6d07d34130c104,"{""boundary"": 12, ""community_rep"": 4, ""degree_core"": 10, ""random_fill"": 6}","{""degree_2"": 1, ""degree_3_4"": 4, ""degree_5_8"": 2, ""degree_9_plus"": 25}","{""0"": 9, ""1"": 9, ""2"": 3, ""3"": 4, ""4"": 1, ""5"": 1, ""6"": 2, ""7"": 1, ""8"": 1, ""9"": 1}",276,"{""backend"": ""evaluate_m19_theory_calibrated.candidate_features"", ""delta_mode"": ""none"", ""k_max"": 512, ""k_min"": 64, ""variant"": ""conservative""}",276,0.13643104300543746,1.0,1.0,0.0,0.4927536231884058,"{""dp_257_plus"": 0.9891304347826086, ""dp_5_16"": 0.0036231884057971015, ""dp_65_256"": 0.007246376811594203}","{""cn_0"": 0.48188405797101447, ""cn_1"": 0.010869565217391304, ""cn_2_3"": 0.17391304347826086, ""cn_4_8"": 0.18478260869565216, ""cn_9_plus"": 0.14855072463768115}",3.601449275362319,2135.021739130435,random_edges_structure_matched_to_sasb,c3b8d7a58530dc8d31190875d52492cd951916e7d8c7a617b751f90adc04dc4d,276,e1714745650d8d9e82556cba8af7326b1bc82d561bbf2efd48ee11cdcf058733,"{""strict"": 276}",276,0,0,0,{},0.0,"{""common_neighbor_bin_l1"": 0.0, ""degree_product_bin_l1"": 0.0, ""is_boundary_edge_l1"": 0.0, ""is_bridge_edge_l1"": 0.0, ""is_inter_community_edge_l1"": 0.0, ""is_low_common_neighbor_edge_l1"": 0.0, ""mean_l1"": 0.0}",1,32,32,2787.539410203527,0
realworld_completed,bio_celegans_dir,Structure-matched-candidate,structure_matched,SASB-structured,20260513,3,early,1.0,1.0,0.0,1,1,0,0.0014814814814814814,0.0019753086419753087,25,46,25--46,3,235,3,235,705,1,0.5,1,6,0,32,"[""46"", ""334"", ""1"", ""449"", ""399"", ""406"", ""404"", ""301"", ""409"", ""431"", ""394"", ""396"", ""13"", ""223"", ""403"", ""24"", ""400"", ""157"", ""179"", ""415"", ""405"", ""36"", ""437"", ""72"", ""43"", ""313"", ""387"", ""427"", ""25"", ""439"", ""127"", ""329""]",9ffe3e9e69cb70e2d8a94acc5926a25dc94ec3342e076f65b6c0c60f1f990d11,"{""boundary"": 12, ""community_rep"": 4, ""degree_core"": 10, ""random_fill"": 6}","{""degree_3_4"": 4, ""degree_5_8"": 3, ""degree_9_plus"": 25}","{""0"": 9, ""1"": 10, ""2"": 3, ""3"": 3, ""4"": 1, ""5"": 1, ""6"": 2, ""7"": 1, ""8"": 1, ""9"": 1}",276,"{""backend"": ""evaluate_m19_theory_calibrated.candidate_features"", ""delta_mode"": ""none"", ""k_max"": 512, ""k_min"": 64, ""variant"": ""conservative""}",276,0.13649851632047477,1.0,1.0,0.0,0.5,"{""dp_257_plus"": 0.9891304347826086, ""dp_5_16"": 0.0036231884057971015, ""dp_65_256"": 0.007246376811594203}","{""cn_0"": 0.4891304347826087, ""cn_1"": 0.010869565217391304, ""cn_2_3"": 0.17028985507246377, ""cn_4_8"": 0.18840579710144928, ""cn_9_plus"": 0.14130434782608695}",3.4746376811594204,2002.7210144927535,random_edges_structure_matched_to_sasb,2faaac4d2111d089d130a9dbbf7ce85bccb4844f419a0237c909527652134359,276,606086bf2a41375b20030d93f24fc71518078ec27b17e2089b73a80b5210b8a2,"{""strict"": 276}",276,0,0,0,{},0.0,"{""common_neighbor_bin_l1"": 0.0, ""degree_product_bin_l1"": 0.0, ""is_boundary_edge_l1"": 0.0, ""is_bridge_edge_l1"": 0.0, ""is_inter_community_edge_l1"": 0.0, ""is_low_common_neighbor_edge_l1"": 0.0, ""mean_l1"": 0.0}",1,32,32,4305.78460690277,0
realworld_completed,bio_celegans_dir,Structure-matched-candidate,structure_matched,SASB-structured,20260513,4,early,1.0,1.0,0.0,1,1,0,0.0019753086419753087,0.0024691358024691358,27,46,27--46,11,234,11,234,2574,8,0.8,1,2,0,32,"[""46"", ""334"", ""1"", ""449"", ""399"", ""406"", ""404"", ""301"", ""409"", ""431"", ""394"", ""396"", ""13"", ""223"", ""403"", ""24"", ""400"", ""157"", ""179"", ""415"", ""405"", ""36"", ""437"", ""72"", ""43"", ""313"", ""349"", ""357"", ""91"", ""339"", ""444"", ""258""]",ef0d6f6cc69b9b5707a46cadd8c9a4f3cf4cb594f5d07147e3b53d8194778bec,"{""boundary"": 12, ""community_rep"": 4, ""degree_core"": 10, ""random_fill"": 6}","{""degree_3_4"": 3, ""degree_5_8"": 3, ""degree_9_plus"": 26}","{""0"": 9, ""1"": 9, ""2"": 3, ""3"": 4, ""4"": 1, ""5"": 1, ""6"": 2, ""7"": 1, ""8"": 1, ""9"": 1}",275,"{""backend"": ""evaluate_m19_theory_calibrated.candidate_features"", ""delta_mode"": ""none"", ""k_max"": 512, ""k_min"": 64, ""variant"": ""conservative""}",275,0.13607125185551708,1.0,1.0,0.0,0.49818181818181817,"{""dp_257_plus"": 0.9890909090909091, ""dp_5_16"": 0.0036363636363636364, ""dp_65_256"": 0.007272727272727273}","{""cn_0"": 0.4909090909090909, ""cn_1"": 0.007272727272727273, ""cn_2_3"": 0.1709090909090909, ""cn_4_8"": 0.1890909090909091, ""cn_9_plus"": 0.14181818181818182}",3.6363636363636362,1959.570909090909,random_edges_structure_matched_to_sasb,37e6a1ec0316b9ec5a951c56f8db5f00cc204054a010831979bcf2559a7eed70,275,a0d3fdf608773ca96f0c8b9ea488f0dae56616689cb9971760ce21f875e96f4f,"{""strict"": 275}",275,0,0,0,{},0.0,"{""common_neighbor_bin_l1"": 0.0, ""degree_product_bin_l1"": 0.0, ""is_boundary_edge_l1"": 0.0, ""is_bridge_edge_l1"": 0.0, ""is_inter_community_edge_l1"": 0.0, ""is_low_common_neighbor_edge_l1"": 0.0, ""mean_l1"": 0.0}",1,32,32,3906.916117345782,0
realworld_completed,bio_celegans_dir,Structure-matched-candidate,structure_matched,SASB-structured,20260513,5,early,1.0,1.0,0.0,1,1,0,0.0024691358024691358,0.002962962962962963,24,46,24--46,36,233,36,233,8388,17,0.4857142857142857,1,3,8,32,"[""46"", ""334"", ""1"", ""449"", ""399"", ""406"", ""404"", ""301"", ""409"", ""431"", ""394"", ""396"", ""13"", ""223"", ""403"", ""24"", ""400"", ""157"", ""179"", ""415"", ""405"", ""36"", ""437"", ""72"", ""43"", ""313"", ""61"", ""435"", ""413"", ""103"", ""426"", ""199""]",688ef20aa7dda992cadd0ffeee10a525e1eb40a8fe555766dc7200a0926f944e,"{""boundary"": 12, ""community_rep"": 4, ""degree_core"": 10, ""random_fill"": 6}","{""degree_3_4"": 2, ""degree_5_8"": 1, ""degree_9_plus"": 29}","{""0"": 8, ""1"": 10, ""2"": 2, ""3"": 3, ""4"": 2, ""5"": 1, ""6"": 3, ""7"": 1, ""8"": 1, ""9"": 1}",275,"{""backend"": ""evaluate_m19_theory_calibrated.candidate_features"", ""delta_mode"": ""none"", ""k_max"": 512, ""k_min"": 64, ""variant"": ""conservative""}",275,0.13613861386138615,1.0,1.0,0.0,0.5018181818181818,"{""dp_257_plus"": 0.9890909090909091, ""dp_5_16"": 0.0036363636363636364, ""dp_65_256"": 0.007272727272727273}","{""cn_0"": 0.4909090909090909, ""cn_1"": 0.01090909090909091, ""cn_2_3"": 0.16727272727272727, ""cn_4_8"": 0.19636363636363635, ""cn_9_plus"": 0.13454545454545455}",3.498181818181818,2092.7090909090907,random_edges_structure_matched_to_sasb,3163df90bc77a7861b7410b01c88c6a83c99f2440933ad993e407c5e87f60d4d,275,dfb6425be2c1ce8e555d98d64c03efcf67340a2d9585639ebf12b8c0af4684e3,"{""strict"": 275}",275,0,0,0,{},0.0,"{""common_neighbor_bin_l1"": 0.0, ""degree_product_bin_l1"": 0.0, ""is_boundary_edge_l1"": 0.0, ""is_bridge_edge_l1"": 0.0, ""is_inter_community_edge_l1"": 0.0, ""is_low_common_neighbor_edge_l1"": 0.0, ""mean_l1"": 0.0}",1,32,32,3405.1745035369745,0
realworld_completed,bio_celegans_dir,Structure-matched-candidate,structure_matched,SASB-structured,20260513,6,early,1.0,1.0,0.0,1,1,0,0.002962962962962963,0.0034567901234567903,1,24,1--24,122,35,35,122,4270,9,0.2647058823529412,1,1,3,32,"[""46"", ""334"", ""1"", ""449"", ""399"", ""406"", ""404"", ""301"", ""409"", ""431"", ""394"", ""396"", ""13"", ""223"", ""403"", ""24"", ""400"", ""157"", ""179"", ""415"", ""405"", ""36"", ""437"", ""72"", ""43"", ""313"", ""352"", ""360"", ""48"", ""191"", ""66"", ""408""]",5b3925dcef80f56093f1298460037f988d4d99f33ede862589d2e64627837da7,"{""boundary"": 12, ""community_rep"": 4, ""degree_core"": 10, ""random_fill"": 6}","{""degree_3_4"": 2, ""degree_5_8"": 3, ""degree_9_plus"": 27}","{""0"": 8, ""1"": 8, ""2"": 3, ""3"": 3, ""4"": 3, ""5"": 1, ""6"": 3, ""7"": 1, ""8"": 1, ""9"": 1}",275,"{""backend"": ""evaluate_m19_theory_calibrated.candidate_features"", ""delta_mode"": ""none"", ""k_max"": 512, ""k_min"": 64, ""variant"": ""conservative""}",275,0.13620604259534422,1.0,1.0,0.0,0.5018181818181818,"{""dp_257_plus"": 0.9890909090909091, ""dp_5_16"": 0.0036363636363636364, ""dp_65_256"": 0.007272727272727273}","{""cn_0"": 0.4909090909090909, ""cn_1"": 0.01090909090909091, ""cn_2_3"": 0.1709090909090909, ""cn_4_8"": 0.19636363636363635, ""cn_9_plus"": 0.13090909090909092}",3.4254545454545453,1834.6654545454546,random_edges_structure_matched_to_sasb,31aeafde0065813019ccae4bb181d40b7231aaf947009d0b11b48122a08a8b4f,275,3a3c23d249ef10eecf502edd5fd7006160af56a8f9ca78a7574c48c3203348f6,"{""strict"": 275}",275,0,0,0,{},0.0,"{""common_neighbor_bin_l1"": 0.0, ""degree_product_bin_l1"": 0.0, ""is_boundary_edge_l1"": 0.0, ""is_bridge_edge_l1"": 0.0, ""is_inter_community_edge_l1"": 0.0, ""is_low_common_neighbor_edge_l1"": 0.0, ""mean_l1"": 0.0}",1,32,32,1520.9897560215259,0
realworld_completed,bio_celegans_dir,Structure-matched-candidate,structure_matched,SASB-structured,20260513,7,early,1.0,1.0,0.0,1,1,0,0.0034567901234567903,0.003950617283950617,24,334,24--334,34,109,34,109,3706,9,0.2727272727272727,1,3,0,32,"[""46"", ""334"", ""1"", ""449"", ""399"", ""406"", ""404"", ""301"", ""409"", ""431"", ""394"", ""396"", ""13"", ""223"", ""403"", ""400"", ""24"", ""157"", ""179"", ""415"", ""405"", ""36"", ""437"", ""72"", ""43"", ""313"", ""222"", ""364"", ""251"", ""316"", ""25"", ""174""]",50f56d69e5f2649a8266a7f9a5fa3949aed17fb57a1f87370e30f5c49723d938,"{""boundary"": 12, ""community_rep"": 4, ""degree_core"": 10, ""random_fill"": 6}","{""degree_2"": 1, ""degree_3_4"": 4, ""degree_5_8"": 2, ""degree_9_plus"": 25}","{""0"": 10, ""1"": 7, ""2"": 2, ""3"": 3, ""4"": 2, ""5"": 2, ""6"": 3, ""7"": 1, ""8"": 1, ""9"": 1}",275,"{""backend"": ""evaluate_m19_theory_calibrated.candidate_features"", ""delta_mode"": ""none"", ""k_max"": 512, ""k_min"": 64, ""variant"": ""conservative""}",275,0.13627353815659068,1.0,1.0,0.0,0.5054545454545455,"{""dp_257_plus"": 0.9890909090909091, ""dp_5_16"": 0.0036363636363636364, ""dp_65_256"": 0.007272727272727273}","{""cn_0"": 0.49454545454545457, ""cn_1"": 0.01090909090909091, ""cn_2_3"": 0.1709090909090909, ""cn_4_8"": 0.19636363636363635, ""cn_9_plus"": 0.12727272727272726}",3.269090909090909,2037.0290909090909,random_edges_structure_matched_to_sasb,d03c17ede5ee3dad3f39867d2117eb7e80e214bd7d3ae5c0bb2133bc6b792153,275,a07a19ff44ec77427cabea19edca36984b10eb50b4087b543037860fe72c9ae0,"{""strict"": 275}",275,0,0,0,{},0.0,"{""common_neighbor_bin_l1"": 0.0, ""degree_product_bin_l1"": 0.0, ""is_boundary_edge_l1"": 0.0, ""is_bridge_edge_l1"": 0.0, ""is_inter_community_edge_l1"": 0.0, ""is_low_common_neighbor_edge_l1"": 0.0, ""mean_l1"": 0.0}",1,32,32,1868.2207929679662,0
realworld_completed,bio_celegans_dir,Structure-matched-candidate,structure_matched,SASB-structured,20260513,8,early,1.0,1.0,0.0,1,1,0,0.003950617283950617,0.0044444444444444444,27,334,27--334,10,108,10,108,1080,5,0.5555555555555556,1,2,0,32,"[""46"", ""334"", ""1"", ""449"", ""399"", ""406"", ""404"", ""301"", ""409"", ""431"", ""394"", ""396"", ""13"", ""223"", ""403"", ""400"", ""157"", ""24"", ""179"", ""415"", ""405"", ""36"", ""437"", ""72"", ""43"", ""313"", ""392"", ""386"", ""113"", ""263"", ""216"", ""417""]",84d246caa8144f6ef0490a164a15677411f81753e183a82bdcdfb0906ec0e697,"{""boundary"": 12, ""community_rep"": 4, ""degree_core"": 10, ""random_fill"": 6}","{""degree_2"": 2, ""degree_3_4"": 3, ""degree_5_8"": 2, ""degree_9_plus"": 25}","{""0"": 8, ""1"": 9, ""2"": 3, ""3"": 4, ""4"": 2, ""5"": 1, ""6"": 2, ""7"": 1, ""8"": 1, ""9"": 1}",275,"{""backend"": ""evaluate_m19_theory_calibrated.candidate_features"", ""delta_mode"": ""none"", ""k_max"": 512, ""k_min"": 64, ""variant"": ""conservative""}",275,0.13634110064452157,1.0,1.0,0.0,0.5018181818181818,"{""dp_257_plus"": 0.9890909090909091, ""dp_5_16"": 0.0036363636363636364, ""dp_65_256"": 0.007272727272727273}","{""cn_0"": 0.4909090909090909, ""cn_1"": 0.01090909090909091, ""cn_2_3"": 0.1709090909090909, ""cn_4_8"": 0.2, ""cn_9_plus"": 0.12727272727272726}",3.4254545454545453,1981.68,random_edges_structure_matched_to_sasb,2d8a8dac7d4e6b89324b8ba3339aa8ff504d81418d64816706a27bdc7c12b99f,275,b95d6f97ff9379acf43962fa6e679963a8c068aafe056a89df1765d6faf33ec7,"{""strict"": 275}",275,0,0,0,{},0.0,"{""common_neighbor_bin_l1"": 0.0, ""degree_product_bin_l1"": 0.0, ""is_boundary_edge_l1"": 0.0, ""is_bridge_edge_l1"": 0.0, ""is_inter_community_edge_l1"": 0.0, ""is_low_common_neighbor_edge_l1"": 0.0, ""mean_l1"": 0.0}",1,32,32,2927.784886483313,0
realworld_completed,bio_celegans_dir,Structure-matched-candidate,structure_matched,SASB-structured,20260513,9,early,1.0,1.0,0.0,1,1,0,0.0044444444444444444,0.0049382716049382715,13,46,13--46,57,232,57,232,13224,24,0.42857142857142855,1,2,6,32,"[""46"", ""334"", ""1"", ""449"", ""399"", ""406"", ""404"", ""301"", ""409"", ""431"", ""394"", ""396"", ""13"", ""223"", ""403"", ""400"", ""157"", ""24"", ""179"", ""415"", ""405"", ""36"", ""437"", ""72"", ""43"", ""313"", ""417"", ""141"", ""435"", ""180"", ""244"", ""155""]",c16fed91aafd13e855a61794fb774801c4a0b42502f814fc7c72ee3955f63bde,"{""boundary"": 12, ""community_rep"": 4, ""degree_core"": 10, ""random_fill"": 6}","{""degree_2"": 1, ""degree_3_4"": 3, ""degree_5_8"": 1, ""degree_9_plus"": 27}","{""0"": 7, ""1"": 9, ""2"": 2, ""3"": 5, ""4"": 2, ""5"": 1, ""6"": 2, ""7"": 2, ""8"": 1, ""9"": 1}",275,"{""backend"": ""evaluate_m19_theory_calibrated.candidate_features"", ""delta_mode"": ""none"", ""k_max"": 512, ""k_min"": 64, ""variant"": ""conservative""}",275,0.13640873015873015,1.0,1.0,0.0,0.5054545454545455,"{""dp_257_plus"": 0.9890909090909091, ""dp_5_16"": 0.0036363636363636364, ""dp_65_256"": 0.007272727272727273}","{""cn_0"": 0.49454545454545457, ""cn_1"": 0.01090909090909091, ""cn_2_3"": 0.1709090909090909, ""cn_4_8"": 0.19636363636363635, ""cn_9_plus"": 0.12727272727272726}",3.3745454545454545,1933.6618181818183,random_edges_structure_matched_to_sasb,18e3e34d151c196b220e5bd1f630cd3f2bdff7f5ab7d8e382cec757ffafde175,275,2c63ed664c69f42b48e2c2f73f4b7dc440235c2fc30af17653b0da840ae55615,"{""strict"": 275}",275,0,0,0,{},0.0,"{""common_neighbor_bin_l1"": 0.0, ""degree_product_bin_l1"": 0.0, ""is_boundary_edge_l1"": 0.0, ""is_bridge_edge_l1"": 0.0, ""is_inter_community_edge_l1"": 0.0, ""is_low_common_neighbor_edge_l1"": 0.0, ""mean_l1"": 0.0}",1,32,32,4101.674674190877,0
