dataset,graph_id,method,candidate_policy,source_policy,seed,step,attack_phase,gcc_before,gcc_after,delta_gcc,num_components_before,num_components_after,is_bridge_before_removal,remove_ratio_before,remove_ratio_after,edge_u,edge_v,selected_edge,degree_u,degree_v,degree_min,degree_max,degree_product,common_neighbors,edge_embeddedness,is_inter_community_edge,community_u,community_v,source_count,source_nodes,source_node_hash,source_strata_counts,source_degree_bins,source_community_counts,adaptive_k,candidate_config,candidate_count,candidate_fraction,candidate_inter_community_ratio,candidate_boundary_ratio,candidate_bridge_ratio,candidate_low_cn_ratio,candidate_degree_product_distribution,candidate_common_neighbor_distribution,candidate_mean_common_neighbors,candidate_mean_degree_product,candidate_backend,candidate_hash,sasb_candidate_count_reference,sasb_candidate_hash_reference,match_mode_counts,strict_match_count,degree_only_match_count,community_only_match_count,fallback_count,fallback_reason,matched_feature_difference,matched_feature_difference_detail,candidate_count_equal_to_sasb,source_budget,true_source_traversal_count,sampled_betweenness_score,p2_degree_product_fallback
realworld_completed,bio_celegansneural,SASB-candidate,sasb,SASB-structured,20260513,0,early,1.0,1.0,0.0,1,1,0,0.0,0.0004655493482309125,187,236,187--236,5,134,5,134,670,2,0.5,1,4,2,32,"[""236"", ""24"", ""112"", ""280"", ""282"", ""231"", ""220"", ""82"", ""43"", ""30"", ""22"", ""21"", ""49"", ""253"", ""18"", ""252"", ""35"", ""102"", ""103"", ""295"", ""1"", ""23"", ""73"", ""66"", ""289"", ""265"", ""242"", ""279"", ""157"", ""187"", ""41"", ""169""]",853dc74a9c0e137219276eda92823b77575c0b8454effe1c559465a725645b61,"{""boundary"": 12, ""degree_core"": 10, ""random_fill"": 10}","{""degree_5_8"": 4, ""degree_9_plus"": 28}","{""0"": 9, ""1"": 9, ""2"": 3, ""3"": 6, ""4"": 5}",264,"{""backend"": ""evaluate_m19_theory_calibrated.candidate_features"", ""delta_mode"": ""none"", ""k_max"": 512, ""k_min"": 64, ""variant"": ""conservative""}",264,0.12290502793296089,1.0,1.0,0.0,0.4810606060606061,"{""dp_257_plus"": 0.928030303030303, ""dp_65_256"": 0.07196969696969698}","{""cn_0"": 0.4128787878787879, ""cn_1"": 0.06818181818181818, ""cn_2_3"": 0.20075757575757575, ""cn_4_8"": 0.2765151515151515, ""cn_9_plus"": 0.041666666666666664}",2.481060606060606,1034.2121212121212,sasb_candidate_builder,ad4a592257bc236fb200a2713c68b5bd87a810d05878a92ed00b495d59064f45,264,ad4a592257bc236fb200a2713c68b5bd87a810d05878a92ed00b495d59064f45,"{""sasb_builder"": 264}",0,0,0,0,{},0.0,"{""common_neighbor_bin_l1"": 0.0, ""degree_product_bin_l1"": 0.0, ""is_boundary_edge_l1"": 0.0, ""is_bridge_edge_l1"": 0.0, ""is_inter_community_edge_l1"": 0.0, ""is_low_common_neighbor_edge_l1"": 0.0, ""mean_l1"": 0.0}",1,32,32,1671.7137172266034,0
realworld_completed,bio_celegansneural,SASB-candidate,sasb,SASB-structured,20260513,1,early,1.0,1.0,0.0,1,1,0,0.0004655493482309125,0.000931098696461825,103,236,103--236,31,133,31,133,4123,8,0.26666666666666666,1,0,2,32,"[""236"", ""24"", ""112"", ""280"", ""282"", ""231"", ""220"", ""82"", ""43"", ""30"", ""22"", ""21"", ""49"", ""253"", ""18"", ""252"", ""35"", ""102"", ""103"", ""295"", ""1"", ""23"", ""57"", ""168"", ""232"", ""171"", ""219"", ""283"", ""81"", ""292"", ""17"", ""107""]",e9cbbd052cf89b20e103b73498ff51b2a8a43c4bc4ddc65b90b48764082460d1,"{""boundary"": 12, ""degree_core"": 10, ""random_fill"": 10}","{""degree_0_1"": 1, ""degree_5_8"": 3, ""degree_9_plus"": 28}","{""0"": 9, ""1"": 9, ""2"": 2, ""3"": 6, ""4"": 6}",264,"{""backend"": ""evaluate_m19_theory_calibrated.candidate_features"", ""delta_mode"": ""none"", ""k_max"": 512, ""k_min"": 64, ""variant"": ""conservative""}",264,0.12296227293898462,1.0,1.0,0.0,0.4810606060606061,"{""dp_257_plus"": 0.928030303030303, ""dp_65_256"": 0.07196969696969698}","{""cn_0"": 0.4128787878787879, ""cn_1"": 0.06818181818181818, ""cn_2_3"": 0.19696969696969696, ""cn_4_8"": 0.2765151515151515, ""cn_9_plus"": 0.045454545454545456}",2.5113636363636362,1033.090909090909,sasb_candidate_builder,90ab6f4d7213f10f0eaa295507a60417d63f17f494da2d9bcf97293c93cd4ed2,264,90ab6f4d7213f10f0eaa295507a60417d63f17f494da2d9bcf97293c93cd4ed2,"{""sasb_builder"": 264}",0,0,0,0,{},0.0,"{""common_neighbor_bin_l1"": 0.0, ""degree_product_bin_l1"": 0.0, ""is_boundary_edge_l1"": 0.0, ""is_bridge_edge_l1"": 0.0, ""is_inter_community_edge_l1"": 0.0, ""is_low_common_neighbor_edge_l1"": 0.0, ""mean_l1"": 0.0}",1,32,32,1646.892556912123,0
realworld_completed,bio_celegansneural,SASB-candidate,sasb,SASB-structured,20260513,2,early,1.0,1.0,0.0,1,1,0,0.000931098696461825,0.0013966480446927375,149,236,149--236,12,132,12,132,1584,7,0.6363636363636364,1,3,0,32,"[""236"", ""24"", ""112"", ""280"", ""282"", ""231"", ""220"", ""82"", ""43"", ""30"", ""22"", ""21"", ""49"", ""253"", ""18"", ""252"", ""35"", ""102"", ""103"", ""295"", ""1"", ""23"", ""199"", ""113"", ""178"", ""188"", ""38"", ""8"", ""149"", ""248"", ""261"", ""257""]",0f704a06de5096354bc76a3c4f57c6f97ad0be8880c8e150fdd719cee908c3ff,"{""boundary"": 12, ""degree_core"": 10, ""random_fill"": 10}","{""degree_5_8"": 3, ""degree_9_plus"": 29}","{""0"": 8, ""1"": 8, ""2"": 3, ""3"": 7, ""4"": 6}",264,"{""backend"": ""evaluate_m19_theory_calibrated.candidate_features"", ""delta_mode"": ""none"", ""k_max"": 512, ""k_min"": 64, ""variant"": ""conservative""}",264,0.12301957129543337,1.0,1.0,0.0,0.48484848484848486,"{""dp_257_plus"": 0.928030303030303, ""dp_65_256"": 0.07196969696969698}","{""cn_0"": 0.4166666666666667, ""cn_1"": 0.06818181818181818, ""cn_2_3"": 0.19696969696969696, ""cn_4_8"": 0.2727272727272727, ""cn_9_plus"": 0.045454545454545456}",2.481060606060606,1016.2575757575758,sasb_candidate_builder,e569c4f8c8517abe96d3e0c643f39fa9127646737851d8a3882195cb9859ed9f,264,e569c4f8c8517abe96d3e0c643f39fa9127646737851d8a3882195cb9859ed9f,"{""sasb_builder"": 264}",0,0,0,0,{},0.0,"{""common_neighbor_bin_l1"": 0.0, ""degree_product_bin_l1"": 0.0, ""is_boundary_edge_l1"": 0.0, ""is_bridge_edge_l1"": 0.0, ""is_inter_community_edge_l1"": 0.0, ""is_low_common_neighbor_edge_l1"": 0.0, ""mean_l1"": 0.0}",1,32,32,1186.1480303620592,0
realworld_completed,bio_celegansneural,SASB-candidate,sasb,SASB-structured,20260513,3,early,1.0,1.0,0.0,1,1,0,0.0013966480446927375,0.00186219739292365,229,236,229--236,9,131,9,131,1179,4,0.5,1,3,0,32,"[""236"", ""24"", ""112"", ""280"", ""282"", ""231"", ""220"", ""82"", ""43"", ""30"", ""22"", ""21"", ""49"", ""253"", ""18"", ""252"", ""35"", ""102"", ""103"", ""295"", ""1"", ""23"", ""229"", ""264"", ""129"", ""76"", ""207"", ""210"", ""240"", ""54"", ""131"", ""68""]",ebe896fba34f1464a9b861ac95f4e14034f6b5e82b30fa0d365173cebb3360f5,"{""boundary"": 12, ""degree_core"": 10, ""random_fill"": 10}","{""degree_0_1"": 2, ""degree_5_8"": 1, ""degree_9_plus"": 29}","{""0"": 9, ""1"": 8, ""2"": 4, ""3"": 7, ""4"": 4}",264,"{""backend"": ""evaluate_m19_theory_calibrated.candidate_features"", ""delta_mode"": ""none"", ""k_max"": 512, ""k_min"": 64, ""variant"": ""conservative""}",264,0.12307692307692308,1.0,1.0,0.0,0.48484848484848486,"{""dp_257_plus"": 0.9242424242424242, ""dp_65_256"": 0.07575757575757576}","{""cn_0"": 0.4166666666666667, ""cn_1"": 0.06818181818181818, ""cn_2_3"": 0.20075757575757575, ""cn_4_8"": 0.2689393939393939, ""cn_9_plus"": 0.045454545454545456}",2.465909090909091,1008.3522727272727,sasb_candidate_builder,11eb5e19a1a8c5a09b985950656a7b8e41020a2c2ab66e17968b4c0c1c94b925,264,11eb5e19a1a8c5a09b985950656a7b8e41020a2c2ab66e17968b4c0c1c94b925,"{""sasb_builder"": 264}",0,0,0,0,{},0.0,"{""common_neighbor_bin_l1"": 0.0, ""degree_product_bin_l1"": 0.0, ""is_boundary_edge_l1"": 0.0, ""is_bridge_edge_l1"": 0.0, ""is_inter_community_edge_l1"": 0.0, ""is_low_common_neighbor_edge_l1"": 0.0, ""mean_l1"": 0.0}",1,32,32,1886.0110909191073,0
realworld_completed,bio_celegansneural,SASB-candidate,sasb,SASB-structured,20260513,4,early,1.0,1.0,0.0,1,1,0,0.00186219739292365,0.0023277467411545625,190,220,190--220,19,52,19,52,988,2,0.1111111111111111,1,1,4,32,"[""236"", ""24"", ""112"", ""280"", ""282"", ""231"", ""220"", ""82"", ""43"", ""30"", ""22"", ""21"", ""49"", ""253"", ""18"", ""252"", ""35"", ""102"", ""103"", ""295"", ""1"", ""23"", ""50"", ""205"", ""190"", ""122"", ""163"", ""97"", ""2"", ""215"", ""36"", ""274""]",b130504e697410defc31887e4e9948b5f02bcf661f33c5e7e0da64c4b062fbcf,"{""boundary"": 12, ""degree_core"": 10, ""random_fill"": 10}","{""degree_0_1"": 1, ""degree_5_8"": 5, ""degree_9_plus"": 26}","{""0"": 10, ""1"": 9, ""2"": 3, ""3"": 6, ""4"": 4}",264,"{""backend"": ""evaluate_m19_theory_calibrated.candidate_features"", ""delta_mode"": ""none"", ""k_max"": 512, ""k_min"": 64, ""variant"": ""conservative""}",264,0.12313432835820895,1.0,1.0,0.0,0.48484848484848486,"{""dp_257_plus"": 0.9242424242424242, ""dp_65_256"": 0.07575757575757576}","{""cn_0"": 0.4166666666666667, ""cn_1"": 0.06818181818181818, ""cn_2_3"": 0.20454545454545456, ""cn_4_8"": 0.2689393939393939, ""cn_9_plus"": 0.041666666666666664}",2.4431818181818183,1004.375,sasb_candidate_builder,32b3ac1988af38ec7469f6e68945ff291438abf9c23444b507c834e1ff7e6030,264,32b3ac1988af38ec7469f6e68945ff291438abf9c23444b507c834e1ff7e6030,"{""sasb_builder"": 264}",0,0,0,0,{},0.0,"{""common_neighbor_bin_l1"": 0.0, ""degree_product_bin_l1"": 0.0, ""is_boundary_edge_l1"": 0.0, ""is_bridge_edge_l1"": 0.0, ""is_inter_community_edge_l1"": 0.0, ""is_low_common_neighbor_edge_l1"": 0.0, ""mean_l1"": 0.0}",1,32,32,823.514712128339,0
realworld_completed,bio_celegansneural,SASB-candidate,sasb,SASB-structured,20260513,5,early,1.0,1.0,0.0,1,1,0,0.0023277467411545625,0.002793296089385475,24,44,24--44,77,12,12,77,924,1,0.09090909090909091,1,4,2,32,"[""236"", ""24"", ""112"", ""280"", ""282"", ""231"", ""82"", ""43"", ""220"", ""30"", ""22"", ""21"", ""49"", ""253"", ""18"", ""252"", ""35"", ""102"", ""103"", ""295"", ""1"", ""23"", ""53"", ""263"", ""137"", ""44"", ""108"", ""138"", ""283"", ""230"", ""189"", ""47""]",9f194287e8985341d01a43ae4539894aba23b8dd5efccd9a410ac85f9ca4def6,"{""boundary"": 12, ""degree_core"": 10, ""random_fill"": 10}","{""degree_3_4"": 1, ""degree_5_8"": 3, ""degree_9_plus"": 28}","{""0"": 12, ""1"": 10, ""2"": 2, ""3"": 4, ""4"": 4}",264,"{""backend"": ""evaluate_m19_theory_calibrated.candidate_features"", ""delta_mode"": ""none"", ""k_max"": 512, ""k_min"": 64, ""variant"": ""conservative""}",264,0.12319178721418572,1.0,1.0,0.0,0.4810606060606061,"{""dp_257_plus"": 0.9204545454545454, ""dp_65_256"": 0.07954545454545454}","{""cn_0"": 0.4128787878787879, ""cn_1"": 0.06818181818181818, ""cn_2_3"": 0.20454545454545456, ""cn_4_8"": 0.2727272727272727, ""cn_9_plus"": 0.041666666666666664}",2.477272727272727,1001.0037878787879,sasb_candidate_builder,148b7dd904d2bf63ae00b18d58891ff757575f02d678535922e58b732af8989f,264,148b7dd904d2bf63ae00b18d58891ff757575f02d678535922e58b732af8989f,"{""sasb_builder"": 264}",0,0,0,0,{},0.0,"{""common_neighbor_bin_l1"": 0.0, ""degree_product_bin_l1"": 0.0, ""is_boundary_edge_l1"": 0.0, ""is_bridge_edge_l1"": 0.0, ""is_inter_community_edge_l1"": 0.0, ""is_low_common_neighbor_edge_l1"": 0.0, ""mean_l1"": 0.0}",1,32,32,1499.4169188266778,0
realworld_completed,bio_celegansneural,SASB-candidate,sasb,SASB-structured,20260513,6,early,1.0,1.0,0.0,1,1,0,0.002793296089385475,0.0032588454376163874,112,127,112--127,74,8,8,74,592,2,0.2857142857142857,1,4,0,32,"[""236"", ""24"", ""112"", ""280"", ""282"", ""231"", ""82"", ""43"", ""220"", ""30"", ""22"", ""21"", ""49"", ""253"", ""18"", ""252"", ""35"", ""102"", ""103"", ""295"", ""1"", ""23"", ""140"", ""127"", ""88"", ""224"", ""109"", ""119"", ""73"", ""176"", ""202"", ""154""]",5abd7da91e5576bfa1742c9ca231c354cfa8795a034f4bc3e24fb8173bce00b4,"{""boundary"": 12, ""degree_core"": 10, ""random_fill"": 10}","{""degree_3_4"": 1, ""degree_5_8"": 2, ""degree_9_plus"": 29}","{""0"": 7, ""1"": 13, ""2"": 3, ""3"": 5, ""4"": 4}",264,"{""backend"": ""evaluate_m19_theory_calibrated.candidate_features"", ""delta_mode"": ""none"", ""k_max"": 512, ""k_min"": 64, ""variant"": ""conservative""}",264,0.12324929971988796,1.0,1.0,0.0,0.4810606060606061,"{""dp_257_plus"": 0.9204545454545454, ""dp_65_256"": 0.07954545454545454}","{""cn_0"": 0.4166666666666667, ""cn_1"": 0.06439393939393939, ""cn_2_3"": 0.20075757575757575, ""cn_4_8"": 0.2765151515151515, ""cn_9_plus"": 0.041666666666666664}",2.481060606060606,1000.4659090909091,sasb_candidate_builder,b0019bd2e0c4dcd5e12f3ae371de842d421099d8d22f8158d4d4c262db0ebe93,264,b0019bd2e0c4dcd5e12f3ae371de842d421099d8d22f8158d4d4c262db0ebe93,"{""sasb_builder"": 264}",0,0,0,0,{},0.0,"{""common_neighbor_bin_l1"": 0.0, ""degree_product_bin_l1"": 0.0, ""is_boundary_edge_l1"": 0.0, ""is_bridge_edge_l1"": 0.0, ""is_inter_community_edge_l1"": 0.0, ""is_low_common_neighbor_edge_l1"": 0.0, ""mean_l1"": 0.0}",1,32,32,906.9104053538202,0
realworld_completed,bio_celegansneural,SASB-candidate,sasb,SASB-structured,20260513,7,early,1.0,1.0,0.0,1,1,0,0.0032588454376163874,0.0037243947858473,235,236,235--236,17,130,17,130,2210,8,0.5,1,0,3,32,"[""236"", ""24"", ""112"", ""280"", ""282"", ""231"", ""82"", ""43"", ""220"", ""30"", ""22"", ""21"", ""49"", ""253"", ""18"", ""252"", ""35"", ""102"", ""103"", ""295"", ""1"", ""23"", ""85"", ""271"", ""181"", ""198"", ""97"", ""66"", ""266"", ""259"", ""51"", ""235""]",7db2ba375711c83498db12d4e994112b28f91fcc8a92f94dc3b7494e9526b173,"{""boundary"": 12, ""degree_core"": 10, ""random_fill"": 10}","{""degree_2"": 1, ""degree_5_8"": 4, ""degree_9_plus"": 27}","{""0"": 9, ""1"": 10, ""2"": 2, ""3"": 6, ""4"": 5}",264,"{""backend"": ""evaluate_m19_theory_calibrated.candidate_features"", ""delta_mode"": ""none"", ""k_max"": 512, ""k_min"": 64, ""variant"": ""conservative""}",264,0.12330686595049042,1.0,1.0,0.0,0.48484848484848486,"{""dp_257_plus"": 0.9204545454545454, ""dp_65_256"": 0.07954545454545454}","{""cn_0"": 0.4166666666666667, ""cn_1"": 0.06818181818181818, ""cn_2_3"": 0.19318181818181818, ""cn_4_8"": 0.2765151515151515, ""cn_9_plus"": 0.045454545454545456}",2.503787878787879,1003.0378787878788,sasb_candidate_builder,82566c57993929e0450b34a0718dc8bcd118630438fb99eda8ebd308148e41e1,264,82566c57993929e0450b34a0718dc8bcd118630438fb99eda8ebd308148e41e1,"{""sasb_builder"": 264}",0,0,0,0,{},0.0,"{""common_neighbor_bin_l1"": 0.0, ""degree_product_bin_l1"": 0.0, ""is_boundary_edge_l1"": 0.0, ""is_bridge_edge_l1"": 0.0, ""is_inter_community_edge_l1"": 0.0, ""is_low_common_neighbor_edge_l1"": 0.0, ""mean_l1"": 0.0}",1,32,32,1556.2982881049911,0
realworld_completed,bio_celegansneural,SASB-candidate,sasb,SASB-structured,20260513,8,early,1.0,1.0,0.0,1,1,0,0.0037243947858473,0.004189944134078212,236,293,236--293,129,7,7,129,903,2,0.3333333333333333,1,2,0,32,"[""236"", ""24"", ""112"", ""280"", ""282"", ""231"", ""82"", ""43"", ""220"", ""30"", ""22"", ""21"", ""49"", ""253"", ""18"", ""252"", ""35"", ""102"", ""103"", ""295"", ""1"", ""23"", ""151"", ""117"", ""259"", ""70"", ""71"", ""9"", ""293"", ""96"", ""36"", ""147""]",f31b93902a5c6a7b24c5c5e4cca97cad26bc0974e29949c62524d9b19592ac21,"{""boundary"": 12, ""degree_core"": 10, ""random_fill"": 10}","{""degree_5_8"": 2, ""degree_9_plus"": 30}","{""0"": 8, ""1"": 12, ""2"": 2, ""3"": 4, ""4"": 6}",264,"{""backend"": ""evaluate_m19_theory_calibrated.candidate_features"", ""delta_mode"": ""none"", ""k_max"": 512, ""k_min"": 64, ""variant"": ""conservative""}",264,0.1233644859813084,1.0,1.0,0.0,0.48484848484848486,"{""dp_257_plus"": 0.9204545454545454, ""dp_65_256"": 0.07954545454545454}","{""cn_0"": 0.4166666666666667, ""cn_1"": 0.06818181818181818, ""cn_2_3"": 0.19318181818181818, ""cn_4_8"": 0.2803030303030303, ""cn_9_plus"": 0.041666666666666664}",2.4734848484848486,1001.7840909090909,sasb_candidate_builder,aa388cc58f24d9c3104be343b5feee53d3faa9688fc8830e078a7a2febca0d5e,264,aa388cc58f24d9c3104be343b5feee53d3faa9688fc8830e078a7a2febca0d5e,"{""sasb_builder"": 264}",0,0,0,0,{},0.0,"{""common_neighbor_bin_l1"": 0.0, ""degree_product_bin_l1"": 0.0, ""is_boundary_edge_l1"": 0.0, ""is_bridge_edge_l1"": 0.0, ""is_inter_community_edge_l1"": 0.0, ""is_low_common_neighbor_edge_l1"": 0.0, ""mean_l1"": 0.0}",1,32,32,1529.7134064055235,0
realworld_completed,bio_celegansneural,SASB-candidate,sasb,SASB-structured,20260513,9,early,1.0,1.0,0.0,1,1,0,0.004189944134078212,0.004655493482309125,257,277,257--277,26,3,3,26,78,0,0.0,1,1,0,32,"[""236"", ""24"", ""112"", ""280"", ""282"", ""231"", ""82"", ""43"", ""220"", ""30"", ""22"", ""21"", ""49"", ""253"", ""18"", ""252"", ""35"", ""102"", ""103"", ""295"", ""1"", ""23"", ""277"", ""283"", ""104"", ""145"", ""217"", ""29"", ""221"", ""207"", ""293"", ""120""]",ad8dd474041e87c9178164b6a89445e4e01399c3efb149c0356e0ee1966c7e53,"{""boundary"": 12, ""degree_core"": 10, ""random_fill"": 10}","{""degree_0_1"": 2, ""degree_3_4"": 1, ""degree_5_8"": 2, ""degree_9_plus"": 27}","{""0"": 8, ""1"": 9, ""2"": 4, ""3"": 4, ""4"": 7}",264,"{""backend"": ""evaluate_m19_theory_calibrated.candidate_features"", ""delta_mode"": ""none"", ""k_max"": 512, ""k_min"": 64, ""variant"": ""conservative""}",264,0.12342215988779803,1.0,1.0,0.0,0.4772727272727273,"{""dp_257_plus"": 0.9204545454545454, ""dp_65_256"": 0.07954545454545454}","{""cn_0"": 0.4090909090909091, ""cn_1"": 0.06818181818181818, ""cn_2_3"": 0.19696969696969696, ""cn_4_8"": 0.2803030303030303, ""cn_9_plus"": 0.045454545454545456}",2.534090909090909,995.1704545454545,sasb_candidate_builder,34ac5b68c80dde19b14c9b7f6c04fb9da9b25a37d69be06fb1c6eabac1984928,264,34ac5b68c80dde19b14c9b7f6c04fb9da9b25a37d69be06fb1c6eabac1984928,"{""sasb_builder"": 264}",0,0,0,0,{},0.0,"{""common_neighbor_bin_l1"": 0.0, ""degree_product_bin_l1"": 0.0, ""is_boundary_edge_l1"": 0.0, ""is_bridge_edge_l1"": 0.0, ""is_inter_community_edge_l1"": 0.0, ""is_low_common_neighbor_edge_l1"": 0.0, ""mean_l1"": 0.0}",1,32,32,1551.254879738451,0
