dataset,graph_id,graph_name,graph_type,community_strength,method,candidate_policy,source_policy,seed,step,removed_edges,remove_ratio,gcc_ratio,gcc_size
realworld_completed,bio_celegansneural,bio-celegansneural,biological,unknown,Structure-matched-candidate,structure_matched,SASB-structured,20260513,0,0,0.0,1.0,297
realworld_completed,bio_celegansneural,bio-celegansneural,biological,unknown,Structure-matched-candidate,structure_matched,SASB-structured,20260513,1,1,0.0004655493482309125,1.0,297
realworld_completed,bio_celegansneural,bio-celegansneural,biological,unknown,Structure-matched-candidate,structure_matched,SASB-structured,20260513,2,2,0.000931098696461825,1.0,297
realworld_completed,bio_celegansneural,bio-celegansneural,biological,unknown,Structure-matched-candidate,structure_matched,SASB-structured,20260513,3,3,0.0013966480446927375,1.0,297
realworld_completed,bio_celegansneural,bio-celegansneural,biological,unknown,Structure-matched-candidate,structure_matched,SASB-structured,20260513,4,4,0.00186219739292365,1.0,297
realworld_completed,bio_celegansneural,bio-celegansneural,biological,unknown,Structure-matched-candidate,structure_matched,SASB-structured,20260513,5,5,0.0023277467411545625,1.0,297
realworld_completed,bio_celegansneural,bio-celegansneural,biological,unknown,Structure-matched-candidate,structure_matched,SASB-structured,20260513,6,6,0.002793296089385475,1.0,297
realworld_completed,bio_celegansneural,bio-celegansneural,biological,unknown,Structure-matched-candidate,structure_matched,SASB-structured,20260513,7,7,0.0032588454376163874,1.0,297
realworld_completed,bio_celegansneural,bio-celegansneural,biological,unknown,Structure-matched-candidate,structure_matched,SASB-structured,20260513,8,8,0.0037243947858473,1.0,297
realworld_completed,bio_celegansneural,bio-celegansneural,biological,unknown,Structure-matched-candidate,structure_matched,SASB-structured,20260513,9,9,0.004189944134078212,1.0,297
realworld_completed,bio_celegansneural,bio-celegansneural,biological,unknown,Structure-matched-candidate,structure_matched,SASB-structured,20260513,10,10,0.004655493482309125,1.0,297
realworld_completed,bio_celegansneural,bio-celegansneural,biological,unknown,Structure-matched-candidate,structure_matched,SASB-structured,20260513,11,11,0.005121042830540037,1.0,297
