dataset,graph_id,method,candidate_policy,source_policy,seed,step,attack_phase,gcc_before,gcc_after,delta_gcc,num_components_before,num_components_after,is_bridge_before_removal,remove_ratio_before,remove_ratio_after,edge_u,edge_v,selected_edge,degree_u,degree_v,degree_min,degree_max,degree_product,common_neighbors,edge_embeddedness,is_inter_community_edge,community_u,community_v,source_count,source_nodes,source_node_hash,source_strata_counts,source_degree_bins,source_community_counts,adaptive_k,candidate_config,candidate_count,candidate_fraction,candidate_inter_community_ratio,candidate_boundary_ratio,candidate_bridge_ratio,candidate_low_cn_ratio,candidate_degree_product_distribution,candidate_common_neighbor_distribution,candidate_mean_common_neighbors,candidate_mean_degree_product,candidate_backend,candidate_hash,sasb_candidate_count_reference,sasb_candidate_hash_reference,match_mode_counts,strict_match_count,degree_only_match_count,community_only_match_count,fallback_count,fallback_reason,matched_feature_difference,matched_feature_difference_detail,candidate_count_equal_to_sasb,source_budget,true_source_traversal_count,sampled_betweenness_score,p2_degree_product_fallback
realworld_completed,bio_grid_mouse,Random-size-matched-candidate,random_size_matched,SASB-structured,20260513,0,early,1.0,1.0,0.0,1,1,0,0.0,0.0009107468123861566,139,546,139--546,28,6,6,28,168,0,0.0,0,6,6,32,"[""261"", ""598"", ""414"", ""0"", ""295"", ""252"", ""139"", ""244"", ""494"", ""359"", ""546"", ""365"", ""329"", ""440"", ""533"", ""585"", ""447"", ""559"", ""741"", ""327"", ""433"", ""442"", ""373"", ""615"", ""574"", ""469"", ""508"", ""576"", ""328"", ""357"", ""454"", ""355""]",3986b6c5450ed798c2539ffc95215b91d67d3dcb04d4cc0469776dc0ad984e74,"{""boundary"": 12, ""community_rep"": 6, ""degree_core"": 10, ""random_fill"": 4}","{""degree_0_1"": 1, ""degree_2"": 3, ""degree_5_8"": 6, ""degree_9_plus"": 22}","{""0"": 6, ""1"": 1, ""10"": 1, ""13"": 1, ""15"": 1, ""16"": 1, ""17"": 1, ""18"": 1, ""19"": 1, ""2"": 1, ""20"": 6, ""21"": 1, ""24"": 1, ""3"": 3, ""4"": 1, ""5"": 2, ""6"": 2, ""8"": 1}",222,"{""backend"": ""evaluate_m19_theory_calibrated.candidate_features"", ""delta_mode"": ""none"", ""k_max"": 512, ""k_min"": 64, ""variant"": ""conservative""}",222,0.20218579234972678,0.12612612612612611,0.12612612612612611,0.46396396396396394,0.954954954954955,"{""dp_0_4"": 0.13063063063063063, ""dp_17_64"": 0.20270270270270271, ""dp_257_plus"": 0.08108108108108109, ""dp_5_16"": 0.21621621621621623, ""dp_65_256"": 0.36936936936936937}","{""cn_0"": 0.9009009009009009, ""cn_1"": 0.05405405405405406, ""cn_2_3"": 0.02702702702702703, ""cn_4_8"": 0.018018018018018018}",0.21621621621621623,94.31981981981981,uniform_random_edges_size_matched_to_sasb,7622610be02572c8d677c35e59361750f7e57ea6778f26080f317eef7d6d3129,222,12024e2dbf7f24f0252992c64c0794892fdbdd14796f0397994d9ef5bd814d9b,"{""random_size_matched"": 222}",0,0,0,0,{},0.608108108108108,"{""common_neighbor_bin_l1"": 0.18018018018018014, ""degree_product_bin_l1"": 0.9099099099099099, ""is_boundary_edge_l1"": 0.8018018018018017, ""is_bridge_edge_l1"": 0.8648648648648649, ""is_inter_community_edge_l1"": 0.8018018018018017, ""is_low_common_neighbor_edge_l1"": 0.09009009009009007, ""mean_l1"": 0.608108108108108}",1,32,32,176043.96121378097,0
realworld_completed,bio_grid_mouse,Random-size-matched-candidate,random_size_matched,SASB-structured,20260513,1,early,1.0,1.0,0.0,1,1,0,0.0009107468123861566,0.0018214936247723133,494,533,494--533,15,13,13,15,195,3,0.25,0,20,20,32,"[""261"", ""598"", ""414"", ""0"", ""295"", ""252"", ""139"", ""244"", ""494"", ""359"", ""546"", ""365"", ""329"", ""440"", ""533"", ""585"", ""447"", ""559"", ""741"", ""327"", ""433"", ""442"", ""373"", ""615"", ""574"", ""469"", ""508"", ""576"", ""556"", ""249"", ""171"", ""616""]",3688f9d3002735105e2ca66db7a8de32dca564a82d887fe5b8a1a3c2dce08f9c,"{""boundary"": 12, ""community_rep"": 6, ""degree_core"": 10, ""random_fill"": 4}","{""degree_0_1"": 3, ""degree_3_4"": 1, ""degree_5_8"": 6, ""degree_9_plus"": 22}","{""0"": 7, ""1"": 2, ""10"": 1, ""13"": 1, ""15"": 1, ""16"": 1, ""17"": 1, ""18"": 1, ""19"": 1, ""2"": 1, ""20"": 6, ""21"": 1, ""24"": 1, ""3"": 2, ""4"": 1, ""5"": 1, ""6"": 3}",222,"{""backend"": ""evaluate_m19_theory_calibrated.candidate_features"", ""delta_mode"": ""none"", ""k_max"": 512, ""k_min"": 64, ""variant"": ""conservative""}",222,0.2023701002734731,0.12162162162162163,0.12162162162162163,0.46846846846846846,0.963963963963964,"{""dp_0_4"": 0.12162162162162163, ""dp_17_64"": 0.18018018018018017, ""dp_257_plus"": 0.09009009009009009, ""dp_5_16"": 0.32432432432432434, ""dp_65_256"": 0.28378378378378377}","{""cn_0"": 0.8783783783783784, ""cn_1"": 0.08558558558558559, ""cn_2_3"": 0.018018018018018018, ""cn_4_8"": 0.018018018018018018}",0.22522522522522523,86.14864864864865,uniform_random_edges_size_matched_to_sasb,83aac0d35a07c53855f7b90879705d580cb1d1916a8dc1f429288e8b6414a129,222,58012135ce88aabbf880ec1fa1ece3349ad8148c7730d6cff4d5f9828fc35092,"{""random_size_matched"": 222}",0,0,0,0,{},0.6426426426426426,"{""common_neighbor_bin_l1"": 0.22522522522522517, ""degree_product_bin_l1"": 1.063063063063063, ""is_boundary_edge_l1"": 0.8108108108108107, ""is_bridge_edge_l1"": 0.8738738738738738, ""is_inter_community_edge_l1"": 0.8108108108108107, ""is_low_common_neighbor_edge_l1"": 0.07207207207207203, ""mean_l1"": 0.6426426426426426}",1,32,32,116956.765625,0
realworld_completed,bio_grid_mouse,Random-size-matched-candidate,random_size_matched,SASB-structured,20260513,2,early,1.0,1.0,0.0,1,1,0,0.0018214936247723133,0.00273224043715847,139,585,139--585,27,13,13,27,351,1,0.08333333333333333,1,2,16,32,"[""261"", ""598"", ""414"", ""0"", ""295"", ""252"", ""139"", ""244"", ""494"", ""359"", ""546"", ""365"", ""329"", ""440"", ""585"", ""447"", ""533"", ""559"", ""741"", ""327"", ""433"", ""442"", ""373"", ""615"", ""574"", ""469"", ""508"", ""576"", ""743"", ""786"", ""649"", ""677""]",ed73a9dda506c07d66ae83d4b45071aa4b26f1170cdb1731c90b987dea78a2a3,"{""boundary"": 12, ""community_rep"": 6, ""degree_core"": 10, ""random_fill"": 4}","{""degree_0_1"": 3, ""degree_5_8"": 7, ""degree_9_plus"": 22}","{""0"": 6, ""1"": 1, ""10"": 1, ""13"": 2, ""15"": 1, ""16"": 1, ""17"": 1, ""18"": 1, ""19"": 1, ""2"": 1, ""20"": 6, ""21"": 1, ""24"": 1, ""3"": 3, ""4"": 1, ""5"": 1, ""6"": 2, ""9"": 1}",221,"{""backend"": ""evaluate_m19_theory_calibrated.candidate_features"", ""delta_mode"": ""none"", ""k_max"": 512, ""k_min"": 64, ""variant"": ""conservative""}",221,0.20164233576642335,0.12217194570135746,0.12217194570135746,0.49321266968325794,0.9819004524886877,"{""dp_0_4"": 0.11312217194570136, ""dp_17_64"": 0.21266968325791855, ""dp_257_plus"": 0.07239819004524888, ""dp_5_16"": 0.28054298642533937, ""dp_65_256"": 0.3212669683257919}","{""cn_0"": 0.9276018099547512, ""cn_1"": 0.05429864253393665, ""cn_2_3"": 0.01809954751131222}",0.09502262443438914,83.46606334841628,uniform_random_edges_size_matched_to_sasb,a142b5a9522fd2e29b615286acda92b1383b8609df2355d8c83adf92317a1350,221,db1ffa97a62033ec13b27266f71c5e47840a710001cb1fb2afd8d70459c71149,"{""random_size_matched"": 221}",0,0,0,0,{},0.6229260935143287,"{""common_neighbor_bin_l1"": 0.12669683257918551, ""degree_product_bin_l1"": 1.0226244343891402, ""is_boundary_edge_l1"": 0.8144796380090498, ""is_bridge_edge_l1"": 0.9230769230769231, ""is_inter_community_edge_l1"": 0.8144796380090498, ""is_low_common_neighbor_edge_l1"": 0.036199095022624486, ""mean_l1"": 0.6229260935143287}",1,32,32,109678.12866635108,0
realworld_completed,bio_grid_mouse,Random-size-matched-candidate,random_size_matched,SASB-structured,20260513,3,early,1.0,1.0,0.0,1,1,0,0.00273224043715847,0.0036429872495446266,373,374,373--374,7,2,2,7,14,0,0.0,0,21,21,32,"[""261"", ""598"", ""414"", ""0"", ""295"", ""252"", ""244"", ""139"", ""494"", ""359"", ""546"", ""365"", ""329"", ""440"", ""447"", ""533"", ""559"", ""585"", ""741"", ""327"", ""433"", ""442"", ""373"", ""615"", ""574"", ""469"", ""508"", ""576"", ""778"", ""487"", ""127"", ""163""]",f0ba29e66ba53a72d26dc6dd8a1b139fa348444b788308697668a06261c0b24e,"{""boundary"": 12, ""community_rep"": 6, ""degree_core"": 10, ""random_fill"": 4}","{""degree_0_1"": 2, ""degree_2"": 1, ""degree_3_4"": 1, ""degree_5_8"": 6, ""degree_9_plus"": 22}","{""0"": 6, ""1"": 1, ""10"": 1, ""12"": 1, ""13"": 1, ""15"": 1, ""16"": 1, ""17"": 2, ""18"": 1, ""19"": 1, ""2"": 1, ""20"": 5, ""21"": 2, ""24"": 1, ""3"": 3, ""4"": 1, ""5"": 1, ""6"": 2}",221,"{""backend"": ""evaluate_m19_theory_calibrated.candidate_features"", ""delta_mode"": ""none"", ""k_max"": 512, ""k_min"": 64, ""variant"": ""conservative""}",221,0.20182648401826483,0.07692307692307693,0.07692307692307693,0.5113122171945701,0.9230769230769231,"{""dp_0_4"": 0.1493212669683258, ""dp_17_64"": 0.23529411764705882, ""dp_257_plus"": 0.07239819004524888, ""dp_5_16"": 0.27601809954751133, ""dp_65_256"": 0.2669683257918552}","{""cn_0"": 0.8868778280542986, ""cn_1"": 0.03619909502262444, ""cn_2_3"": 0.05429864253393665, ""cn_4_8"": 0.02262443438914027}",0.26244343891402716,74.42986425339366,uniform_random_edges_size_matched_to_sasb,281f5d303f178805319d84dfe777d0068cd6ba626dfe7886d6a8b412ae02ff1a,221,e9f28e63114b6c73e8687138fc133fefb77d67b5c630e3d990ad22b6998504da,"{""random_size_matched"": 221}",0,0,0,0,{},0.7104072398190046,"{""common_neighbor_bin_l1"": 0.22624434389140277, ""degree_product_bin_l1"": 1.1312217194570136, ""is_boundary_edge_l1"": 0.8959276018099549, ""is_bridge_edge_l1"": 0.9592760180995474, ""is_inter_community_edge_l1"": 0.8959276018099549, ""is_low_common_neighbor_edge_l1"": 0.1538461538461538, ""mean_l1"": 0.7104072398190046}",1,32,32,47880.456052996924,0
realworld_completed,bio_grid_mouse,Random-size-matched-candidate,random_size_matched,SASB-structured,20260513,4,early,1.0,1.0,0.0,1,1,0,0.0036429872495446266,0.004553734061930784,509,591,509--591,5,7,5,7,35,0,0.0,0,15,15,32,"[""261"", ""598"", ""414"", ""0"", ""295"", ""252"", ""244"", ""139"", ""494"", ""359"", ""546"", ""365"", ""329"", ""440"", ""447"", ""533"", ""559"", ""585"", ""741"", ""327"", ""433"", ""442"", ""373"", ""615"", ""574"", ""469"", ""508"", ""576"", ""584"", ""552"", ""3"", ""358""]",bfbcf770cb07099ca408d78d89d228497d7ccbfa79bef8bbb33d71d585a2fcc1,"{""boundary"": 12, ""community_rep"": 6, ""degree_core"": 10, ""random_fill"": 4}","{""degree_0_1"": 2, ""degree_2"": 1, ""degree_3_4"": 1, ""degree_5_8"": 6, ""degree_9_plus"": 22}","{""0"": 7, ""1"": 1, ""10"": 1, ""13"": 1, ""15"": 1, ""16"": 1, ""17"": 1, ""18"": 1, ""19"": 2, ""2"": 1, ""20"": 6, ""21"": 2, ""24"": 1, ""3"": 2, ""4"": 1, ""5"": 1, ""6"": 2}",221,"{""backend"": ""evaluate_m19_theory_calibrated.candidate_features"", ""delta_mode"": ""none"", ""k_max"": 512, ""k_min"": 64, ""variant"": ""conservative""}",221,0.2020109689213894,0.09502262443438914,0.09502262443438914,0.46153846153846156,0.9411764705882353,"{""dp_0_4"": 0.13122171945701358, ""dp_17_64"": 0.20361990950226244, ""dp_257_plus"": 0.08144796380090498, ""dp_5_16"": 0.2669683257918552, ""dp_65_256"": 0.3167420814479638}","{""cn_0"": 0.8733031674208145, ""cn_1"": 0.06787330316742081, ""cn_2_3"": 0.03619909502262444, ""cn_4_8"": 0.02262443438914027}",0.27601809954751133,87.24886877828054,uniform_random_edges_size_matched_to_sasb,31cb0a1b259ea5799e97f492d8f36cb6a25f502d0efa98eddbbb41a665dce2c1,221,e9f28e63114b6c73e8687138fc133fefb77d67b5c630e3d990ad22b6998504da,"{""random_size_matched"": 221}",0,0,0,0,{},0.6606334841628959,"{""common_neighbor_bin_l1"": 0.25339366515837103, ""degree_product_bin_l1"": 1.0135746606334841, ""is_boundary_edge_l1"": 0.8597285067873304, ""is_bridge_edge_l1"": 0.8597285067873304, ""is_inter_community_edge_l1"": 0.8597285067873304, ""is_low_common_neighbor_edge_l1"": 0.11764705882352942, ""mean_l1"": 0.6606334841628959}",1,32,32,83317.63099057197,0
realworld_completed,bio_grid_mouse,Random-size-matched-candidate,random_size_matched,SASB-structured,20260513,5,early,1.0,1.0,0.0,1,1,0,0.004553734061930784,0.00546448087431694,414,489,414--489,45,2,2,45,90,0,0.0,1,0,8,32,"[""261"", ""598"", ""414"", ""0"", ""295"", ""252"", ""244"", ""139"", ""494"", ""359"", ""546"", ""365"", ""329"", ""440"", ""447"", ""533"", ""559"", ""585"", ""741"", ""327"", ""433"", ""442"", ""373"", ""615"", ""574"", ""469"", ""508"", ""576"", ""405"", ""547"", ""448"", ""595""]",1c8cfda291a09eb63fab04d7d24ff0f4aa569d35ac6fca3375153beb29f85199,"{""boundary"": 12, ""community_rep"": 6, ""degree_core"": 10, ""random_fill"": 4}","{""degree_0_1"": 2, ""degree_2"": 1, ""degree_3_4"": 1, ""degree_5_8"": 6, ""degree_9_plus"": 22}","{""0"": 7, ""1"": 1, ""10"": 1, ""13"": 1, ""15"": 1, ""16"": 1, ""17"": 1, ""18"": 1, ""19"": 2, ""2"": 1, ""20"": 5, ""21"": 1, ""23"": 1, ""24"": 1, ""3"": 2, ""4"": 1, ""5"": 1, ""6"": 2, ""9"": 1}",221,"{""backend"": ""evaluate_m19_theory_calibrated.candidate_features"", ""delta_mode"": ""none"", ""k_max"": 512, ""k_min"": 64, ""variant"": ""conservative""}",221,0.20219579139981703,0.09954751131221719,0.09954751131221719,0.4479638009049774,0.9230769230769231,"{""dp_0_4"": 0.1493212669683258, ""dp_17_64"": 0.23529411764705882, ""dp_257_plus"": 0.07239819004524888, ""dp_5_16"": 0.2850678733031674, ""dp_65_256"": 0.2579185520361991}","{""cn_0"": 0.8552036199095022, ""cn_1"": 0.06787330316742081, ""cn_2_3"": 0.04072398190045249, ""cn_4_8"": 0.03619909502262444}",0.35294117647058826,72.91855203619909,uniform_random_edges_size_matched_to_sasb,8ecc64cef3ae849e739420fd502781ef7b920ec4696a2e6b017168de3f1a8526,221,e9f28e63114b6c73e8687138fc133fefb77d67b5c630e3d990ad22b6998504da,"{""random_size_matched"": 221}",0,0,0,0,{},0.6862745098039215,"{""common_neighbor_bin_l1"": 0.2895927601809955, ""degree_product_bin_l1"": 1.1493212669683257, ""is_boundary_edge_l1"": 0.8506787330316743, ""is_bridge_edge_l1"": 0.8235294117647058, ""is_inter_community_edge_l1"": 0.8506787330316743, ""is_low_common_neighbor_edge_l1"": 0.1538461538461538, ""mean_l1"": 0.6862745098039215}",1,32,32,95577.22298222923,0
realworld_completed,bio_grid_mouse,Random-size-matched-candidate,random_size_matched,SASB-structured,20260513,6,early,1.0,1.0,0.0,1,1,0,0.00546448087431694,0.006375227686703097,161,359,161--359,2,6,2,6,12,0,0.0,0,5,5,32,"[""261"", ""598"", ""414"", ""0"", ""295"", ""252"", ""244"", ""139"", ""494"", ""359"", ""546"", ""365"", ""329"", ""440"", ""447"", ""533"", ""559"", ""585"", ""741"", ""327"", ""433"", ""442"", ""373"", ""615"", ""574"", ""469"", ""508"", ""576"", ""355"", ""562"", ""553"", ""468""]",580de070475238a993a1a02bb242e23fae8b1a8f64e3dee20abc62520c347007,"{""boundary"": 12, ""community_rep"": 6, ""degree_core"": 10, ""random_fill"": 4}","{""degree_0_1"": 3, ""degree_3_4"": 1, ""degree_5_8"": 6, ""degree_9_plus"": 22}","{""0"": 7, ""1"": 1, ""10"": 1, ""13"": 1, ""15"": 3, ""16"": 1, ""17"": 1, ""18"": 1, ""19"": 1, ""2"": 1, ""20"": 5, ""21"": 1, ""24"": 1, ""3"": 2, ""4"": 1, ""5"": 1, ""6"": 2, ""8"": 1}",221,"{""backend"": ""evaluate_m19_theory_calibrated.candidate_features"", ""delta_mode"": ""none"", ""k_max"": 512, ""k_min"": 64, ""variant"": ""conservative""}",221,0.20238095238095238,0.07239819004524888,0.07239819004524888,0.5294117647058824,0.9457013574660633,"{""dp_0_4"": 0.12669683257918551, ""dp_17_64"": 0.21266968325791855, ""dp_257_plus"": 0.05429864253393665, ""dp_5_16"": 0.35294117647058826, ""dp_65_256"": 0.25339366515837103}","{""cn_0"": 0.8823529411764706, ""cn_1"": 0.06334841628959276, ""cn_2_3"": 0.02262443438914027, ""cn_4_8"": 0.03167420814479638}",0.28054298642533937,67.5475113122172,uniform_random_edges_size_matched_to_sasb,4ce401384c71b0151eb84d1b0fb933931f6b6ed23f8fc21153d0a5f0c6be47a9,221,1c4e04ab2490201a0dba192972fb6781cf9a6f36bf1b56b2d11605eac371b7e7,"{""random_size_matched"": 221}",0,0,0,0,{},0.7194570135746606,"{""common_neighbor_bin_l1"": 0.23529411764705885, ""degree_product_bin_l1"": 1.1945701357466063, ""is_boundary_edge_l1"": 0.8959276018099548, ""is_bridge_edge_l1"": 0.9864253393665159, ""is_inter_community_edge_l1"": 0.8959276018099548, ""is_low_common_neighbor_edge_l1"": 0.10859728506787333, ""mean_l1"": 0.7194570135746606}",1,32,32,107161.48930427645,0
realworld_completed,bio_grid_mouse,Random-size-matched-candidate,random_size_matched,SASB-structured,20260513,7,early,1.0,1.0,0.0,1,1,0,0.006375227686703097,0.007285974499089253,507,527,507--527,6,7,6,7,42,0,0.0,1,17,7,32,"[""261"", ""598"", ""414"", ""0"", ""295"", ""252"", ""244"", ""139"", ""494"", ""359"", ""546"", ""365"", ""329"", ""440"", ""447"", ""533"", ""559"", ""585"", ""741"", ""327"", ""433"", ""442"", ""373"", ""615"", ""574"", ""469"", ""508"", ""576"", ""6"", ""93"", ""665"", ""738""]",494ae39c4e04755d1858ea87bea1842e6450597c2e6463bd5c8f33e6fbd38557,"{""boundary"": 12, ""community_rep"": 6, ""degree_core"": 10, ""random_fill"": 4}","{""degree_0_1"": 2, ""degree_2"": 2, ""degree_5_8"": 6, ""degree_9_plus"": 22}","{""0"": 7, ""1"": 3, ""10"": 1, ""13"": 2, ""15"": 1, ""16"": 1, ""17"": 1, ""18"": 1, ""19"": 1, ""2"": 1, ""20"": 5, ""21"": 1, ""24"": 1, ""3"": 2, ""4"": 1, ""5"": 1, ""6"": 2}",221,"{""backend"": ""evaluate_m19_theory_calibrated.candidate_features"", ""delta_mode"": ""none"", ""k_max"": 512, ""k_min"": 64, ""variant"": ""conservative""}",221,0.20256645279560037,0.11764705882352941,0.11764705882352941,0.49321266968325794,0.9366515837104072,"{""dp_0_4"": 0.14027149321266968, ""dp_17_64"": 0.2081447963800905, ""dp_257_plus"": 0.07692307692307693, ""dp_5_16"": 0.33031674208144796, ""dp_65_256"": 0.24434389140271492}","{""cn_0"": 0.8778280542986425, ""cn_1"": 0.058823529411764705, ""cn_2_3"": 0.02262443438914027, ""cn_4_8"": 0.04072398190045249}",0.33031674208144796,77.1447963800905,uniform_random_edges_size_matched_to_sasb,9f721e14642a81586b12b41c9ec2c1cc6ad4fa172e4cfa0749fdf3639f5667ba,221,1c4e04ab2490201a0dba192972fb6781cf9a6f36bf1b56b2d11605eac371b7e7,"{""random_size_matched"": 221}",0,0,0,0,{},0.6757164404223227,"{""common_neighbor_bin_l1"": 0.24434389140271495, ""degree_product_bin_l1"": 1.167420814479638, ""is_boundary_edge_l1"": 0.8054298642533937, ""is_bridge_edge_l1"": 0.904977375565611, ""is_inter_community_edge_l1"": 0.8054298642533937, ""is_low_common_neighbor_edge_l1"": 0.12669683257918551, ""mean_l1"": 0.6757164404223227}",1,32,32,68943.44015151517,0
realworld_completed,bio_grid_mouse,Random-size-matched-candidate,random_size_matched,SASB-structured,20260513,8,early,1.0,1.0,0.0,1,1,0,0.007285974499089253,0.00819672131147541,139,154,139--154,26,4,4,26,104,0,0.0,1,2,13,32,"[""261"", ""598"", ""414"", ""0"", ""295"", ""252"", ""244"", ""139"", ""494"", ""359"", ""546"", ""365"", ""329"", ""440"", ""447"", ""533"", ""559"", ""585"", ""741"", ""327"", ""433"", ""442"", ""373"", ""615"", ""574"", ""469"", ""508"", ""576"", ""54"", ""405"", ""638"", ""670""]",778b0f93e95cc0ea78c8deb037fd04493814fa669f199f6596954d801f86fd57,"{""boundary"": 12, ""community_rep"": 6, ""degree_core"": 10, ""random_fill"": 4}","{""degree_0_1"": 2, ""degree_3_4"": 2, ""degree_5_8"": 6, ""degree_9_plus"": 22}","{""0"": 6, ""1"": 1, ""10"": 1, ""11"": 1, ""13"": 2, ""15"": 1, ""16"": 1, ""17"": 1, ""18"": 1, ""19"": 1, ""2"": 1, ""20"": 5, ""21"": 1, ""23"": 1, ""24"": 1, ""3"": 2, ""4"": 1, ""5"": 1, ""6"": 2, ""7"": 1}",221,"{""backend"": ""evaluate_m19_theory_calibrated.candidate_features"", ""delta_mode"": ""none"", ""k_max"": 512, ""k_min"": 64, ""variant"": ""conservative""}",221,0.20275229357798166,0.09502262443438914,0.09502262443438914,0.4751131221719457,0.918552036199095,"{""dp_0_4"": 0.12669683257918551, ""dp_17_64"": 0.22624434389140272, ""dp_257_plus"": 0.05429864253393665, ""dp_5_16"": 0.3257918552036199, ""dp_65_256"": 0.2669683257918552}","{""cn_0"": 0.8552036199095022, ""cn_1"": 0.06334841628959276, ""cn_2_3"": 0.049773755656108594, ""cn_4_8"": 0.03167420814479638}",0.3167420814479638,76.11764705882354,uniform_random_edges_size_matched_to_sasb,d6977f29426f4708c0c6278637e24e8cfce5364ca9da0ec459e1436b2f830c78,221,c864da8693ef28da8c0102439d7a9529acac7f0991ebc5a43ad0015622793722,"{""random_size_matched"": 221}",0,0,0,0,{},0.6968325791855204,"{""common_neighbor_bin_l1"": 0.2895927601809955, ""degree_product_bin_l1"": 1.1764705882352942, ""is_boundary_edge_l1"": 0.8416289592760182, ""is_bridge_edge_l1"": 0.8687782805429864, ""is_inter_community_edge_l1"": 0.8416289592760182, ""is_low_common_neighbor_edge_l1"": 0.16289592760181, ""mean_l1"": 0.6968325791855204}",1,32,32,220201.73499067835,0
realworld_completed,bio_grid_mouse,Random-size-matched-candidate,random_size_matched,SASB-structured,20260513,9,early,1.0,1.0,0.0,1,1,0,0.00819672131147541,0.009107468123861567,494,495,494--495,14,6,6,14,84,0,0.0,0,7,7,32,"[""261"", ""598"", ""414"", ""0"", ""295"", ""252"", ""244"", ""139"", ""494"", ""359"", ""546"", ""365"", ""329"", ""440"", ""447"", ""533"", ""559"", ""585"", ""741"", ""327"", ""433"", ""442"", ""373"", ""615"", ""574"", ""469"", ""508"", ""576"", ""100"", ""405"", ""444"", ""777""]",286c0654423264aeaff7a847085d572c80d079a37245cbc2ad31813c9259e1a8,"{""boundary"": 12, ""community_rep"": 6, ""degree_core"": 10, ""random_fill"": 4}","{""degree_0_1"": 1, ""degree_3_4"": 3, ""degree_5_8"": 6, ""degree_9_plus"": 22}","{""0"": 6, ""1"": 1, ""10"": 1, ""12"": 1, ""13"": 1, ""15"": 1, ""16"": 1, ""17"": 1, ""18"": 1, ""19"": 1, ""2"": 1, ""20"": 6, ""21"": 1, ""23"": 1, ""24"": 1, ""3"": 2, ""4"": 1, ""5"": 1, ""6"": 3}",221,"{""backend"": ""evaluate_m19_theory_calibrated.candidate_features"", ""delta_mode"": ""none"", ""k_max"": 512, ""k_min"": 64, ""variant"": ""conservative""}",221,0.20293847566574838,0.09502262443438914,0.09502262443438914,0.4660633484162896,0.9276018099547512,"{""dp_0_4"": 0.17647058823529413, ""dp_17_64"": 0.22624434389140272, ""dp_257_plus"": 0.07239819004524888, ""dp_5_16"": 0.2669683257918552, ""dp_65_256"": 0.2579185520361991}","{""cn_0"": 0.8868778280542986, ""cn_1"": 0.04072398190045249, ""cn_2_3"": 0.04524886877828054, ""cn_4_8"": 0.027149321266968326}",0.2986425339366516,74.02714932126698,uniform_random_edges_size_matched_to_sasb,e74d4e16954b039d3b8b6dbd424eb0ed0796bd89b55630a9471b7852227cc57e,221,04acdcc87a02ae8a56ca9ac47f43aa2b27b4d7b5e21d37f083d8316bf0e79c38,"{""random_size_matched"": 221}",0,0,0,0,{},0.6726998491704373,"{""common_neighbor_bin_l1"": 0.22624434389140274, ""degree_product_bin_l1"": 1.158371040723982, ""is_boundary_edge_l1"": 0.8325791855203619, ""is_bridge_edge_l1"": 0.8416289592760182, ""is_inter_community_edge_l1"": 0.8325791855203619, ""is_low_common_neighbor_edge_l1"": 0.14479638009049772, ""mean_l1"": 0.6726998491704373}",1,32,32,80194.04010416668,0
