dataset,graph_id,method,candidate_policy,source_policy,seed,step,attack_phase,gcc_before,gcc_after,delta_gcc,num_components_before,num_components_after,is_bridge_before_removal,remove_ratio_before,remove_ratio_after,edge_u,edge_v,selected_edge,degree_u,degree_v,degree_min,degree_max,degree_product,common_neighbors,edge_embeddedness,is_inter_community_edge,community_u,community_v,source_count,source_nodes,source_node_hash,source_strata_counts,source_degree_bins,source_community_counts,adaptive_k,candidate_config,candidate_count,candidate_fraction,candidate_inter_community_ratio,candidate_boundary_ratio,candidate_bridge_ratio,candidate_low_cn_ratio,candidate_degree_product_distribution,candidate_common_neighbor_distribution,candidate_mean_common_neighbors,candidate_mean_degree_product,candidate_backend,candidate_hash,sasb_candidate_count_reference,sasb_candidate_hash_reference,match_mode_counts,strict_match_count,degree_only_match_count,community_only_match_count,fallback_count,fallback_reason,matched_feature_difference,matched_feature_difference_detail,candidate_count_equal_to_sasb,source_budget,true_source_traversal_count,sampled_betweenness_score,p2_degree_product_fallback
realworld_completed,bio_grid_mouse,SASB-candidate,sasb,SASB-structured,20260513,0,early,1.0,1.0,0.0,1,1,0,0.0,0.0009107468123861566,139,546,139--546,28,6,6,28,168,0,0.0,0,6,6,32,"[""261"", ""598"", ""414"", ""0"", ""295"", ""252"", ""139"", ""244"", ""494"", ""359"", ""546"", ""365"", ""329"", ""440"", ""533"", ""585"", ""447"", ""559"", ""741"", ""327"", ""433"", ""442"", ""373"", ""615"", ""574"", ""469"", ""508"", ""576"", ""328"", ""357"", ""454"", ""355""]",3986b6c5450ed798c2539ffc95215b91d67d3dcb04d4cc0469776dc0ad984e74,"{""boundary"": 12, ""community_rep"": 6, ""degree_core"": 10, ""random_fill"": 4}","{""degree_0_1"": 1, ""degree_2"": 3, ""degree_5_8"": 6, ""degree_9_plus"": 22}","{""0"": 6, ""1"": 1, ""10"": 1, ""13"": 1, ""15"": 1, ""16"": 1, ""17"": 1, ""18"": 1, ""19"": 1, ""2"": 1, ""20"": 6, ""21"": 1, ""24"": 1, ""3"": 3, ""4"": 1, ""5"": 2, ""6"": 2, ""8"": 1}",222,"{""backend"": ""evaluate_m19_theory_calibrated.candidate_features"", ""delta_mode"": ""none"", ""k_max"": 512, ""k_min"": 64, ""variant"": ""conservative""}",222,0.20218579234972678,0.527027027027027,0.527027027027027,0.03153153153153153,1.0,"{""dp_17_64"": 0.07657657657657657, ""dp_257_plus"": 0.36936936936936937, ""dp_5_16"": 0.018018018018018018, ""dp_65_256"": 0.536036036036036}","{""cn_0"": 0.990990990990991, ""cn_1"": 0.009009009009009009}",0.009009009009009009,253.1036036036036,sasb_candidate_builder,12024e2dbf7f24f0252992c64c0794892fdbdd14796f0397994d9ef5bd814d9b,222,12024e2dbf7f24f0252992c64c0794892fdbdd14796f0397994d9ef5bd814d9b,"{""sasb_builder"": 222}",0,0,0,0,{},0.0,"{""common_neighbor_bin_l1"": 0.0, ""degree_product_bin_l1"": 0.0, ""is_boundary_edge_l1"": 0.0, ""is_bridge_edge_l1"": 0.0, ""is_inter_community_edge_l1"": 0.0, ""is_low_common_neighbor_edge_l1"": 0.0, ""mean_l1"": 0.0}",1,32,32,176043.96121378097,0
realworld_completed,bio_grid_mouse,SASB-candidate,sasb,SASB-structured,20260513,1,early,1.0,1.0,0.0,1,1,0,0.0009107468123861566,0.0018214936247723133,139,585,139--585,27,13,13,27,351,1,0.08333333333333333,1,2,16,32,"[""261"", ""598"", ""414"", ""0"", ""295"", ""252"", ""139"", ""244"", ""494"", ""359"", ""546"", ""365"", ""329"", ""440"", ""533"", ""585"", ""447"", ""559"", ""741"", ""327"", ""433"", ""442"", ""373"", ""615"", ""574"", ""469"", ""508"", ""576"", ""556"", ""249"", ""171"", ""616""]",3688f9d3002735105e2ca66db7a8de32dca564a82d887fe5b8a1a3c2dce08f9c,"{""boundary"": 12, ""community_rep"": 6, ""degree_core"": 10, ""random_fill"": 4}","{""degree_0_1"": 3, ""degree_3_4"": 1, ""degree_5_8"": 6, ""degree_9_plus"": 22}","{""0"": 7, ""1"": 2, ""10"": 1, ""13"": 1, ""15"": 1, ""16"": 1, ""17"": 1, ""18"": 1, ""19"": 1, ""2"": 1, ""20"": 6, ""21"": 1, ""24"": 1, ""3"": 2, ""4"": 1, ""5"": 1, ""6"": 3}",222,"{""backend"": ""evaluate_m19_theory_calibrated.candidate_features"", ""delta_mode"": ""none"", ""k_max"": 512, ""k_min"": 64, ""variant"": ""conservative""}",222,0.2023701002734731,0.527027027027027,0.527027027027027,0.03153153153153153,1.0,"{""dp_17_64"": 0.07657657657657657, ""dp_257_plus"": 0.36486486486486486, ""dp_5_16"": 0.018018018018018018, ""dp_65_256"": 0.5405405405405406}","{""cn_0"": 0.990990990990991, ""cn_1"": 0.009009009009009009}",0.009009009009009009,251.49099099099098,sasb_candidate_builder,58012135ce88aabbf880ec1fa1ece3349ad8148c7730d6cff4d5f9828fc35092,222,58012135ce88aabbf880ec1fa1ece3349ad8148c7730d6cff4d5f9828fc35092,"{""sasb_builder"": 222}",0,0,0,0,{},0.0,"{""common_neighbor_bin_l1"": 0.0, ""degree_product_bin_l1"": 0.0, ""is_boundary_edge_l1"": 0.0, ""is_bridge_edge_l1"": 0.0, ""is_inter_community_edge_l1"": 0.0, ""is_low_common_neighbor_edge_l1"": 0.0, ""mean_l1"": 0.0}",1,32,32,107671.70035836262,0
realworld_completed,bio_grid_mouse,SASB-candidate,sasb,SASB-structured,20260513,2,early,1.0,1.0,0.0,1,1,0,0.0018214936247723133,0.00273224043715847,494,495,494--495,15,6,6,15,90,0,0.0,1,22,8,32,"[""261"", ""598"", ""414"", ""0"", ""295"", ""252"", ""244"", ""139"", ""494"", ""359"", ""546"", ""365"", ""329"", ""440"", ""533"", ""447"", ""559"", ""585"", ""741"", ""327"", ""433"", ""442"", ""373"", ""615"", ""574"", ""469"", ""508"", ""576"", ""743"", ""786"", ""649"", ""677""]",3d462c671761f9fe7836e6afc6484fb624e00f6b180b59cf668c7a015850a951,"{""boundary"": 12, ""community_rep"": 6, ""degree_core"": 10, ""random_fill"": 4}","{""degree_0_1"": 3, ""degree_5_8"": 7, ""degree_9_plus"": 22}","{""0"": 6, ""1"": 1, ""10"": 1, ""13"": 2, ""15"": 1, ""16"": 1, ""17"": 1, ""18"": 1, ""19"": 1, ""2"": 1, ""20"": 6, ""21"": 1, ""24"": 1, ""3"": 3, ""4"": 1, ""5"": 1, ""6"": 2, ""9"": 1}",221,"{""backend"": ""evaluate_m19_theory_calibrated.candidate_features"", ""delta_mode"": ""none"", ""k_max"": 512, ""k_min"": 64, ""variant"": ""conservative""}",221,0.20164233576642335,0.5248868778280543,0.5248868778280543,0.03167420814479638,1.0,"{""dp_17_64"": 0.07692307692307693, ""dp_257_plus"": 0.36199095022624433, ""dp_5_16"": 0.01809954751131222, ""dp_65_256"": 0.5429864253393665}","{""cn_0"": 1.0}",0.0,250.89140271493213,sasb_candidate_builder,e9f28e63114b6c73e8687138fc133fefb77d67b5c630e3d990ad22b6998504da,221,e9f28e63114b6c73e8687138fc133fefb77d67b5c630e3d990ad22b6998504da,"{""sasb_builder"": 221}",0,0,0,0,{},0.0,"{""common_neighbor_bin_l1"": 0.0, ""degree_product_bin_l1"": 0.0, ""is_boundary_edge_l1"": 0.0, ""is_bridge_edge_l1"": 0.0, ""is_inter_community_edge_l1"": 0.0, ""is_low_common_neighbor_edge_l1"": 0.0, ""mean_l1"": 0.0}",1,32,32,83268.39491738199,0
realworld_completed,bio_grid_mouse,SASB-candidate,sasb,SASB-structured,20260513,3,early,1.0,1.0,0.0,1,1,0,0.00273224043715847,0.0036429872495446266,139,591,139--591,26,7,7,26,182,0,0.0,1,2,16,32,"[""261"", ""598"", ""414"", ""0"", ""295"", ""252"", ""244"", ""139"", ""359"", ""546"", ""365"", ""494"", ""329"", ""440"", ""533"", ""447"", ""559"", ""585"", ""741"", ""327"", ""433"", ""442"", ""373"", ""615"", ""574"", ""469"", ""508"", ""576"", ""778"", ""487"", ""127"", ""163""]",8d0612ef6f9c75fe9860e353096e82685a31ebae451deb5ac70452a4d95b38bc,"{""boundary"": 12, ""community_rep"": 6, ""degree_core"": 10, ""random_fill"": 4}","{""degree_0_1"": 2, ""degree_2"": 1, ""degree_3_4"": 1, ""degree_5_8"": 6, ""degree_9_plus"": 22}","{""0"": 6, ""1"": 1, ""10"": 1, ""12"": 1, ""13"": 1, ""15"": 1, ""16"": 1, ""17"": 2, ""18"": 1, ""19"": 1, ""2"": 1, ""20"": 5, ""21"": 2, ""24"": 1, ""3"": 3, ""4"": 1, ""5"": 1, ""6"": 2}",221,"{""backend"": ""evaluate_m19_theory_calibrated.candidate_features"", ""delta_mode"": ""none"", ""k_max"": 512, ""k_min"": 64, ""variant"": ""conservative""}",221,0.20182648401826483,0.5203619909502263,0.5203619909502263,0.03167420814479638,1.0,"{""dp_17_64"": 0.07692307692307693, ""dp_257_plus"": 0.36199095022624433, ""dp_5_16"": 0.01809954751131222, ""dp_65_256"": 0.5429864253393665}","{""cn_0"": 1.0}",0.0,251.14027149321268,sasb_candidate_builder,889605023b3b1ceed6b8fec404294613ff2d17a9a0f8656053911a247f001a11,221,889605023b3b1ceed6b8fec404294613ff2d17a9a0f8656053911a247f001a11,"{""sasb_builder"": 221}",0,0,0,0,{},0.0,"{""common_neighbor_bin_l1"": 0.0, ""degree_product_bin_l1"": 0.0, ""is_boundary_edge_l1"": 0.0, ""is_bridge_edge_l1"": 0.0, ""is_inter_community_edge_l1"": 0.0, ""is_low_common_neighbor_edge_l1"": 0.0, ""mean_l1"": 0.0}",1,32,32,81649.60036660275,0
realworld_completed,bio_grid_mouse,SASB-candidate,sasb,SASB-structured,20260513,4,early,1.0,1.0,0.0,1,1,0,0.0036429872495446266,0.004553734061930784,494,498,494--498,14,3,3,14,42,0,0.0,1,22,5,32,"[""261"", ""598"", ""414"", ""0"", ""295"", ""252"", ""244"", ""139"", ""359"", ""546"", ""365"", ""494"", ""329"", ""440"", ""533"", ""447"", ""559"", ""585"", ""741"", ""327"", ""433"", ""442"", ""373"", ""615"", ""574"", ""469"", ""508"", ""576"", ""584"", ""552"", ""3"", ""358""]",d0ca6592906acdc3bdea409513ac4c6a8473ef4ddf8232332b754b97116de668,"{""boundary"": 12, ""community_rep"": 6, ""degree_core"": 10, ""random_fill"": 4}","{""degree_0_1"": 2, ""degree_2"": 1, ""degree_3_4"": 1, ""degree_5_8"": 6, ""degree_9_plus"": 22}","{""0"": 7, ""1"": 1, ""10"": 1, ""13"": 1, ""15"": 1, ""16"": 1, ""17"": 1, ""18"": 1, ""19"": 2, ""2"": 1, ""20"": 6, ""21"": 2, ""24"": 1, ""3"": 2, ""4"": 1, ""5"": 1, ""6"": 2}",221,"{""backend"": ""evaluate_m19_theory_calibrated.candidate_features"", ""delta_mode"": ""none"", ""k_max"": 512, ""k_min"": 64, ""variant"": ""conservative""}",221,0.2020109689213894,0.5158371040723982,0.5158371040723982,0.03167420814479638,1.0,"{""dp_17_64"": 0.07692307692307693, ""dp_257_plus"": 0.36199095022624433, ""dp_5_16"": 0.01809954751131222, ""dp_65_256"": 0.5429864253393665}","{""cn_0"": 1.0}",0.0,250.9185520361991,sasb_candidate_builder,97f196cfafbd50bcf4d7550512fddb9c51044e5267f3a377f8ea06e75e7dad42,221,97f196cfafbd50bcf4d7550512fddb9c51044e5267f3a377f8ea06e75e7dad42,"{""sasb_builder"": 221}",0,0,0,0,{},0.0,"{""common_neighbor_bin_l1"": 0.0, ""degree_product_bin_l1"": 0.0, ""is_boundary_edge_l1"": 0.0, ""is_bridge_edge_l1"": 0.0, ""is_inter_community_edge_l1"": 0.0, ""is_low_common_neighbor_edge_l1"": 0.0, ""mean_l1"": 0.0}",1,32,32,94875.52009104205,0
realworld_completed,bio_grid_mouse,SASB-candidate,sasb,SASB-structured,20260513,5,early,1.0,1.0,0.0,1,1,0,0.004553734061930784,0.00546448087431694,615,616,615--616,9,3,3,9,27,0,0.0,1,21,1,32,"[""261"", ""598"", ""414"", ""0"", ""295"", ""252"", ""244"", ""139"", ""359"", ""546"", ""365"", ""576"", ""329"", ""440"", ""494"", ""533"", ""447"", ""559"", ""585"", ""741"", ""327"", ""433"", ""373"", ""615"", ""574"", ""469"", ""508"", ""354"", ""405"", ""547"", ""448"", ""595""]",b3ad3da4b067cb1e7f0e7bed769f9f391bdef7be64c4d32fab84a6f80b77d3c7,"{""boundary"": 12, ""community_rep"": 6, ""degree_core"": 10, ""random_fill"": 4}","{""degree_0_1"": 2, ""degree_2"": 1, ""degree_3_4"": 1, ""degree_5_8"": 7, ""degree_9_plus"": 21}","{""0"": 7, ""1"": 1, ""10"": 1, ""13"": 1, ""15"": 1, ""16"": 1, ""17"": 1, ""18"": 1, ""19"": 2, ""2"": 1, ""20"": 4, ""21"": 1, ""23"": 1, ""24"": 1, ""3"": 2, ""4"": 1, ""5"": 1, ""6"": 2, ""8"": 1, ""9"": 1}",221,"{""backend"": ""evaluate_m19_theory_calibrated.candidate_features"", ""delta_mode"": ""none"", ""k_max"": 512, ""k_min"": 64, ""variant"": ""conservative""}",221,0.20219579139981703,0.5113122171945701,0.5113122171945701,0.03167420814479638,1.0,"{""dp_17_64"": 0.07239819004524888, ""dp_257_plus"": 0.36199095022624433, ""dp_5_16"": 0.01809954751131222, ""dp_65_256"": 0.5475113122171946}","{""cn_0"": 1.0}",0.0,251.39819004524887,sasb_candidate_builder,26e5c6cbb5860e84c40dfe8224da59ea799973a1a7fbee65de6be35f8c9ce207,221,26e5c6cbb5860e84c40dfe8224da59ea799973a1a7fbee65de6be35f8c9ce207,"{""sasb_builder"": 221}",0,0,0,0,{},0.0,"{""common_neighbor_bin_l1"": 0.0, ""degree_product_bin_l1"": 0.0, ""is_boundary_edge_l1"": 0.0, ""is_bridge_edge_l1"": 0.0, ""is_inter_community_edge_l1"": 0.0, ""is_low_common_neighbor_edge_l1"": 0.0, ""mean_l1"": 0.0}",1,32,32,84810.03125,0
realworld_completed,bio_grid_mouse,SASB-candidate,sasb,SASB-structured,20260513,6,early,1.0,1.0,0.0,1,1,0,0.00546448087431694,0.006375227686703097,295,301,295--301,34,4,4,34,136,0,0.0,1,4,13,32,"[""261"", ""598"", ""414"", ""0"", ""295"", ""252"", ""244"", ""139"", ""359"", ""546"", ""365"", ""576"", ""329"", ""440"", ""494"", ""533"", ""447"", ""559"", ""585"", ""741"", ""327"", ""433"", ""373"", ""615"", ""574"", ""469"", ""508"", ""354"", ""355"", ""562"", ""553"", ""468""]",6a42c6c6e3720e80fc1684d1d3c776bdfc8b4368acac0d0394d15957ff8547e8,"{""boundary"": 12, ""community_rep"": 6, ""degree_core"": 10, ""random_fill"": 4}","{""degree_0_1"": 3, ""degree_3_4"": 1, ""degree_5_8"": 8, ""degree_9_plus"": 20}","{""0"": 7, ""1"": 1, ""10"": 1, ""13"": 1, ""15"": 3, ""16"": 1, ""17"": 1, ""18"": 1, ""19"": 1, ""2"": 1, ""20"": 4, ""21"": 1, ""24"": 1, ""3"": 2, ""4"": 1, ""5"": 1, ""6"": 2, ""8"": 2}",221,"{""backend"": ""evaluate_m19_theory_calibrated.candidate_features"", ""delta_mode"": ""none"", ""k_max"": 512, ""k_min"": 64, ""variant"": ""conservative""}",221,0.20238095238095238,0.5067873303167421,0.5067873303167421,0.03619909502262444,1.0,"{""dp_17_64"": 0.06787330316742081, ""dp_257_plus"": 0.36199095022624433, ""dp_5_16"": 0.01809954751131222, ""dp_65_256"": 0.5520361990950227}","{""cn_0"": 1.0}",0.0,251.98190045248867,sasb_candidate_builder,2542d8cc511f4cc5c90960976c615e6b0d56d1089eaa16333a3577ff594c007e,221,2542d8cc511f4cc5c90960976c615e6b0d56d1089eaa16333a3577ff594c007e,"{""sasb_builder"": 221}",0,0,0,0,{},0.0,"{""common_neighbor_bin_l1"": 0.0, ""degree_product_bin_l1"": 0.0, ""is_boundary_edge_l1"": 0.0, ""is_bridge_edge_l1"": 0.0, ""is_inter_community_edge_l1"": 0.0, ""is_low_common_neighbor_edge_l1"": 0.0, ""mean_l1"": 0.0}",1,32,32,115269.0395983225,0
realworld_completed,bio_grid_mouse,SASB-candidate,sasb,SASB-structured,20260513,7,early,1.0,0.8495575221238938,0.1504424778761062,1,2,1,0.006375227686703097,0.007285974499089253,205,598,205--598,2,111,2,111,222,0,0.0,1,12,0,32,"[""261"", ""598"", ""414"", ""0"", ""252"", ""295"", ""244"", ""139"", ""359"", ""546"", ""365"", ""576"", ""329"", ""440"", ""494"", ""533"", ""447"", ""559"", ""585"", ""741"", ""327"", ""433"", ""373"", ""615"", ""574"", ""469"", ""508"", ""354"", ""6"", ""93"", ""665"", ""738""]",5a3107d5fba53ece3000297066260ce949da001151b799fa8785029528763428,"{""boundary"": 12, ""community_rep"": 6, ""degree_core"": 10, ""random_fill"": 4}","{""degree_0_1"": 2, ""degree_2"": 2, ""degree_5_8"": 8, ""degree_9_plus"": 20}","{""0"": 7, ""1"": 3, ""10"": 1, ""13"": 2, ""15"": 1, ""16"": 1, ""17"": 1, ""18"": 1, ""19"": 1, ""2"": 1, ""20"": 4, ""21"": 1, ""24"": 1, ""3"": 2, ""4"": 1, ""5"": 1, ""6"": 2, ""8"": 1}",221,"{""backend"": ""evaluate_m19_theory_calibrated.candidate_features"", ""delta_mode"": ""none"", ""k_max"": 512, ""k_min"": 64, ""variant"": ""conservative""}",221,0.20256645279560037,0.502262443438914,0.502262443438914,0.04072398190045249,1.0,"{""dp_17_64"": 0.06787330316742081, ""dp_257_plus"": 0.36199095022624433, ""dp_5_16"": 0.01809954751131222, ""dp_65_256"": 0.5520361990950227}","{""cn_0"": 1.0}",0.0,251.84162895927602,sasb_candidate_builder,892789c39232da33a7d9c10f54ae7a72a795aa75ecec674b3a37c43a41408167,221,892789c39232da33a7d9c10f54ae7a72a795aa75ecec674b3a37c43a41408167,"{""sasb_builder"": 221}",0,0,0,0,{},0.0,"{""common_neighbor_bin_l1"": 0.0, ""degree_product_bin_l1"": 0.0, ""is_boundary_edge_l1"": 0.0, ""is_bridge_edge_l1"": 0.0, ""is_inter_community_edge_l1"": 0.0, ""is_low_common_neighbor_edge_l1"": 0.0, ""mean_l1"": 0.0}",1,32,32,135137.40625,0
realworld_completed,bio_grid_mouse,SASB-candidate,sasb,SASB-structured,20260513,8,early,0.8495575221238938,0.8495575221238938,0.0,2,2,0,0.007285974499089253,0.00819672131147541,139,316,139--316,25,8,8,25,200,0,0.0,1,1,13,32,"[""598"", ""261"", ""252"", ""244"", ""414"", ""295"", ""729"", ""159"", ""1"", ""139"", ""303"", ""629"", ""0"", ""329"", ""365"", ""440"", ""494"", ""533"", ""447"", ""559"", ""585"", ""741"", ""373"", ""574"", ""469"", ""508"", ""354"", ""72"", ""434"", ""264"", ""527"", ""2""]",b677d72ee666d6d90345f766228a4dfe8eca6d3d728ee0dd52efd44b1c840a02,"{""boundary"": 12, ""community_rep"": 6, ""degree_core"": 10, ""random_fill"": 4}","{""degree_0_1"": 1, ""degree_3_4"": 1, ""degree_5_8"": 10, ""degree_9_plus"": 20}","{""0"": 8, ""1"": 2, ""13"": 1, ""14"": 1, ""15"": 1, ""16"": 1, ""17"": 5, ""2"": 1, ""20"": 1, ""3"": 1, ""4"": 3, ""5"": 3, ""6"": 1, ""7"": 1, ""8"": 1, ""9"": 1}",202,"{""backend"": ""evaluate_m19_theory_calibrated.candidate_features"", ""delta_mode"": ""none"", ""k_max"": 512, ""k_min"": 64, ""variant"": ""conservative""}",202,0.21041666666666667,0.7475247524752475,0.7475247524752475,0.034653465346534656,1.0,"{""dp_17_64"": 0.04950495049504951, ""dp_257_plus"": 0.39603960396039606, ""dp_5_16"": 0.019801980198019802, ""dp_65_256"": 0.5346534653465347}","{""cn_0"": 1.0}",0.0,263.3217821782178,sasb_candidate_builder,4c5f534857683145e75ce05dcea925d20f9cbfd4035b49468e92b2858d307b5d,202,4c5f534857683145e75ce05dcea925d20f9cbfd4035b49468e92b2858d307b5d,"{""sasb_builder"": 202}",0,0,0,0,{},0.0,"{""common_neighbor_bin_l1"": 0.0, ""degree_product_bin_l1"": 0.0, ""is_boundary_edge_l1"": 0.0, ""is_bridge_edge_l1"": 0.0, ""is_inter_community_edge_l1"": 0.0, ""is_low_common_neighbor_edge_l1"": 0.0, ""mean_l1"": 0.0}",1,32,32,57603.52944051132,0
realworld_completed,bio_grid_mouse,SASB-candidate,sasb,SASB-structured,20260513,9,early,0.8495575221238938,0.8495575221238938,0.0,2,2,0,0.00819672131147541,0.009107468123861567,521,527,521--527,5,7,5,7,35,0,0.0,1,7,17,32,"[""598"", ""261"", ""252"", ""244"", ""414"", ""295"", ""729"", ""159"", ""1"", ""303"", ""629"", ""678"", ""0"", ""139"", ""329"", ""365"", ""440"", ""494"", ""533"", ""447"", ""559"", ""585"", ""373"", ""574"", ""469"", ""508"", ""354"", ""72"", ""189"", ""674"", ""633"", ""395""]",830c3cb487a4e3f1189abf5f046276a74dc43b8a7b93f0998a592caa51d7ad1e,"{""boundary"": 12, ""community_rep"": 6, ""degree_core"": 10, ""random_fill"": 4}","{""degree_0_1"": 2, ""degree_3_4"": 2, ""degree_5_8"": 10, ""degree_9_plus"": 18}","{""0"": 8, ""1"": 3, ""13"": 1, ""14"": 1, ""15"": 1, ""16"": 1, ""17"": 4, ""2"": 1, ""20"": 1, ""3"": 1, ""4"": 4, ""5"": 2, ""6"": 1, ""7"": 1, ""8"": 2}",202,"{""backend"": ""evaluate_m19_theory_calibrated.candidate_features"", ""delta_mode"": ""none"", ""k_max"": 512, ""k_min"": 64, ""variant"": ""conservative""}",202,0.21063607924921793,0.7425742574257426,0.7425742574257426,0.039603960396039604,1.0,"{""dp_17_64"": 0.04950495049504951, ""dp_257_plus"": 0.39603960396039606, ""dp_5_16"": 0.019801980198019802, ""dp_65_256"": 0.5346534653465347}","{""cn_0"": 1.0}",0.0,263.1039603960396,sasb_candidate_builder,544f1b6c0302fb50b7ccc9c741c27ab4963692870b55010d9e19895239e1cd95,202,544f1b6c0302fb50b7ccc9c741c27ab4963692870b55010d9e19895239e1cd95,"{""sasb_builder"": 202}",0,0,0,0,{},0.0,"{""common_neighbor_bin_l1"": 0.0, ""degree_product_bin_l1"": 0.0, ""is_boundary_edge_l1"": 0.0, ""is_bridge_edge_l1"": 0.0, ""is_inter_community_edge_l1"": 0.0, ""is_low_common_neighbor_edge_l1"": 0.0, ""mean_l1"": 0.0}",1,32,32,71036.44979182785,0
