dataset,graph_id,method,candidate_policy,source_policy,seed,step,attack_phase,gcc_before,gcc_after,delta_gcc,num_components_before,num_components_after,is_bridge_before_removal,remove_ratio_before,remove_ratio_after,edge_u,edge_v,selected_edge,degree_u,degree_v,degree_min,degree_max,degree_product,common_neighbors,edge_embeddedness,is_inter_community_edge,community_u,community_v,source_count,source_nodes,source_node_hash,source_strata_counts,source_degree_bins,source_community_counts,adaptive_k,candidate_config,candidate_count,candidate_fraction,candidate_inter_community_ratio,candidate_boundary_ratio,candidate_bridge_ratio,candidate_low_cn_ratio,candidate_degree_product_distribution,candidate_common_neighbor_distribution,candidate_mean_common_neighbors,candidate_mean_degree_product,candidate_backend,candidate_hash,sasb_candidate_count_reference,sasb_candidate_hash_reference,match_mode_counts,strict_match_count,degree_only_match_count,community_only_match_count,fallback_count,fallback_reason,matched_feature_difference,matched_feature_difference_detail,candidate_count_equal_to_sasb,source_budget,true_source_traversal_count,sampled_betweenness_score,p2_degree_product_fallback
realworld_completed,bio_grid_plant,SASB-candidate,sasb,SASB-structured,20260513,0,early,1.0,1.0,0.0,1,1,0,0.0,0.00036683785766691124,50,592,50--592,10,71,10,71,710,6,0.6666666666666666,0,10,10,32,"[""1111"", ""1011"", ""495"", ""3"", ""738"", ""973"", ""679"", ""687"", ""551"", ""595"", ""1038"", ""739"", ""592"", ""1063"", ""999"", ""1177"", ""1012"", ""566"", ""425"", ""1001"", ""1085"", ""1185"", ""615"", ""1061"", ""599"", ""955"", ""940"", ""259"", ""432"", ""681"", ""536"", ""1073""]",2f239a7eb86c452473bef5651e6023307cfdf39566e8372e6ae71656505f9a0c,"{""boundary"": 12, ""community_rep"": 6, ""degree_core"": 10, ""random_fill"": 4}","{""degree_0_1"": 3, ""degree_9_plus"": 29}","{""1"": 4, ""10"": 6, ""12"": 2, ""16"": 1, ""18"": 1, ""2"": 9, ""20"": 1, ""21"": 1, ""22"": 1, ""24"": 1, ""4"": 1, ""5"": 1, ""8"": 3}",374,"{""backend"": ""evaluate_m19_theory_calibrated.candidate_features"", ""delta_mode"": ""none"", ""k_max"": 512, ""k_min"": 64, ""variant"": ""conservative""}",374,0.1371973587674248,0.2967914438502674,0.2967914438502674,0.016042780748663103,0.7887700534759359,"{""dp_17_64"": 0.0962566844919786, ""dp_257_plus"": 0.3582887700534759, ""dp_5_16"": 0.01871657754010695, ""dp_65_256"": 0.5267379679144385}","{""cn_0"": 0.6898395721925134, ""cn_1"": 0.09893048128342247, ""cn_2_3"": 0.13903743315508021, ""cn_4_8"": 0.03208556149732621, ""cn_9_plus"": 0.040106951871657755}",1.3502673796791445,322.6818181818182,sasb_candidate_builder,4bb4d3ca8fb2338571abf28c3dd0dd351ba26fc051c424ed84294a2dfa9f6ce3,374,4bb4d3ca8fb2338571abf28c3dd0dd351ba26fc051c424ed84294a2dfa9f6ce3,"{""sasb_builder"": 374}",0,0,0,0,{},0.0,"{""common_neighbor_bin_l1"": 0.0, ""degree_product_bin_l1"": 0.0, ""is_boundary_edge_l1"": 0.0, ""is_bridge_edge_l1"": 0.0, ""is_inter_community_edge_l1"": 0.0, ""is_low_common_neighbor_edge_l1"": 0.0, ""mean_l1"": 0.0}",1,32,32,207943.4159034471,0
realworld_completed,bio_grid_plant,SASB-candidate,sasb,SASB-structured,20260513,1,early,1.0,1.0,0.0,1,1,0,0.00036683785766691124,0.0007336757153338225,330,599,330--599,12,9,9,12,108,0,0.0,1,23,22,32,"[""1111"", ""1011"", ""495"", ""3"", ""738"", ""973"", ""679"", ""687"", ""551"", ""595"", ""1038"", ""739"", ""592"", ""1063"", ""999"", ""1177"", ""1012"", ""566"", ""425"", ""1001"", ""1085"", ""1185"", ""615"", ""1061"", ""599"", ""955"", ""940"", ""259"", ""400"", ""1157"", ""71"", ""312""]",adf8618a94edece7f550e5761748d08bfcb9a7ceef232843ed6af5f891fd60c1,"{""boundary"": 12, ""community_rep"": 6, ""degree_core"": 10, ""random_fill"": 4}","{""degree_0_1"": 1, ""degree_3_4"": 1, ""degree_5_8"": 2, ""degree_9_plus"": 28}","{""1"": 4, ""10"": 6, ""12"": 1, ""16"": 1, ""18"": 1, ""2"": 9, ""20"": 1, ""22"": 1, ""24"": 3, ""3"": 1, ""4"": 1, ""5"": 1, ""8"": 2}",374,"{""backend"": ""evaluate_m19_theory_calibrated.candidate_features"", ""delta_mode"": ""none"", ""k_max"": 512, ""k_min"": 64, ""variant"": ""conservative""}",374,0.13724770642201836,0.2967914438502674,0.2967914438502674,0.016042780748663103,0.7914438502673797,"{""dp_17_64"": 0.0962566844919786, ""dp_257_plus"": 0.35561497326203206, ""dp_5_16"": 0.01871657754010695, ""dp_65_256"": 0.5294117647058824}","{""cn_0"": 0.6898395721925134, ""cn_1"": 0.10160427807486631, ""cn_2_3"": 0.13636363636363635, ""cn_4_8"": 0.029411764705882353, ""cn_9_plus"": 0.0427807486631016}",1.3475935828877006,321.46256684491976,sasb_candidate_builder,b4084bae75523a98a91adafb31892d6d3c130cd7ea1af01a4cb9dc998c7d341b,374,b4084bae75523a98a91adafb31892d6d3c130cd7ea1af01a4cb9dc998c7d341b,"{""sasb_builder"": 374}",0,0,0,0,{},0.0,"{""common_neighbor_bin_l1"": 0.0, ""degree_product_bin_l1"": 0.0, ""is_boundary_edge_l1"": 0.0, ""is_bridge_edge_l1"": 0.0, ""is_inter_community_edge_l1"": 0.0, ""is_low_common_neighbor_edge_l1"": 0.0, ""mean_l1"": 0.0}",1,32,32,185416.87675628648,0
realworld_completed,bio_grid_plant,SASB-candidate,sasb,SASB-structured,20260513,2,early,1.0,1.0,0.0,1,1,0,0.0007336757153338225,0.0011005135730007337,3,881,3--881,59,2,2,59,118,0,0.0,1,2,7,32,"[""1111"", ""1011"", ""495"", ""3"", ""738"", ""973"", ""679"", ""687"", ""551"", ""595"", ""1038"", ""739"", ""592"", ""1063"", ""999"", ""1177"", ""1012"", ""566"", ""425"", ""1001"", ""1085"", ""1185"", ""615"", ""1061"", ""619"", ""955"", ""940"", ""259"", ""348"", ""1045"", ""150"", ""331""]",b357826802a1fc2a04fd14dd6d296e0822973f0046600a0354f748a09a01abbd,"{""boundary"": 12, ""community_rep"": 6, ""degree_core"": 10, ""random_fill"": 4}","{""degree_0_1"": 2, ""degree_2"": 1, ""degree_3_4"": 1, ""degree_9_plus"": 28}","{""1"": 4, ""10"": 6, ""12"": 1, ""16"": 2, ""17"": 1, ""18"": 1, ""2"": 9, ""20"": 1, ""22"": 2, ""24"": 1, ""4"": 1, ""5"": 1, ""8"": 2}",374,"{""backend"": ""evaluate_m19_theory_calibrated.candidate_features"", ""delta_mode"": ""none"", ""k_max"": 512, ""k_min"": 64, ""variant"": ""conservative""}",374,0.13729809104258445,0.29411764705882354,0.29411764705882354,0.0213903743315508,0.7914438502673797,"{""dp_17_64"": 0.0962566844919786, ""dp_257_plus"": 0.35561497326203206, ""dp_5_16"": 0.01871657754010695, ""dp_65_256"": 0.5294117647058824}","{""cn_0"": 0.6898395721925134, ""cn_1"": 0.10160427807486631, ""cn_2_3"": 0.13636363636363635, ""cn_4_8"": 0.029411764705882353, ""cn_9_plus"": 0.0427807486631016}",1.3475935828877006,321.3663101604278,sasb_candidate_builder,15538405be378f9a3bbf64a65f8313fba8732a6e51eaa4c955f00f3af6a91eb4,374,15538405be378f9a3bbf64a65f8313fba8732a6e51eaa4c955f00f3af6a91eb4,"{""sasb_builder"": 374}",0,0,0,0,{},0.0,"{""common_neighbor_bin_l1"": 0.0, ""degree_product_bin_l1"": 0.0, ""is_boundary_edge_l1"": 0.0, ""is_bridge_edge_l1"": 0.0, ""is_inter_community_edge_l1"": 0.0, ""is_low_common_neighbor_edge_l1"": 0.0, ""mean_l1"": 0.0}",1,32,32,143944.1799697505,0
realworld_completed,bio_grid_plant,SASB-candidate,sasb,SASB-structured,20260513,3,early,1.0,1.0,0.0,1,1,0,0.0011005135730007337,0.001467351430667645,270,679,270--679,6,23,6,23,138,0,0.0,1,8,1,32,"[""1111"", ""1011"", ""495"", ""738"", ""3"", ""973"", ""679"", ""687"", ""551"", ""595"", ""1038"", ""739"", ""592"", ""1063"", ""999"", ""1177"", ""1012"", ""566"", ""425"", ""1001"", ""1085"", ""1185"", ""615"", ""1061"", ""619"", ""955"", ""940"", ""259"", ""1240"", ""673"", ""686"", ""96""]",40a1dc078d3a5f6c8d075218db1e65f7e10fe92a0de6008b40f4ddac0495904c,"{""boundary"": 12, ""community_rep"": 6, ""degree_core"": 10, ""random_fill"": 4}","{""degree_0_1"": 1, ""degree_3_4"": 2, ""degree_5_8"": 1, ""degree_9_plus"": 28}","{""1"": 4, ""10"": 6, ""12"": 2, ""16"": 1, ""18"": 1, ""2"": 8, ""20"": 1, ""22"": 1, ""24"": 1, ""25"": 1, ""3"": 1, ""4"": 1, ""5"": 2, ""8"": 2}",374,"{""backend"": ""evaluate_m19_theory_calibrated.candidate_features"", ""delta_mode"": ""none"", ""k_max"": 512, ""k_min"": 64, ""variant"": ""conservative""}",374,0.13734851266984943,0.2914438502673797,0.2914438502673797,0.0213903743315508,0.7914438502673797,"{""dp_17_64"": 0.0962566844919786, ""dp_257_plus"": 0.3582887700534759, ""dp_5_16"": 0.01871657754010695, ""dp_65_256"": 0.5267379679144385}","{""cn_0"": 0.6898395721925134, ""cn_1"": 0.10160427807486631, ""cn_2_3"": 0.13636363636363635, ""cn_4_8"": 0.029411764705882353, ""cn_9_plus"": 0.0427807486631016}",1.3475935828877006,321.30748663101605,sasb_candidate_builder,601b75b0b4cd796ba798da189cf47fdc150b2ab986b5013ffab983ac890f9800,374,601b75b0b4cd796ba798da189cf47fdc150b2ab986b5013ffab983ac890f9800,"{""sasb_builder"": 374}",0,0,0,0,{},0.0,"{""common_neighbor_bin_l1"": 0.0, ""degree_product_bin_l1"": 0.0, ""is_boundary_edge_l1"": 0.0, ""is_bridge_edge_l1"": 0.0, ""is_inter_community_edge_l1"": 0.0, ""is_low_common_neighbor_edge_l1"": 0.0, ""mean_l1"": 0.0}",1,32,32,184140.801611587,0
realworld_completed,bio_grid_plant,SASB-candidate,sasb,SASB-structured,20260513,4,early,1.0,1.0,0.0,1,1,0,0.001467351430667645,0.001834189288334556,592,981,592--981,70,2,2,70,140,0,0.0,1,9,19,32,"[""1111"", ""1011"", ""495"", ""738"", ""3"", ""973"", ""687"", ""551"", ""595"", ""1038"", ""739"", ""1063"", ""592"", ""999"", ""1177"", ""1012"", ""566"", ""425"", ""1001"", ""1085"", ""1185"", ""979"", ""615"", ""1061"", ""619"", ""955"", ""940"", ""259"", ""788"", ""1140"", ""533"", ""581""]",d59d1b93515b9e0719ab704000a25db10bb94ff583bc5556e98c64da9ad84760,"{""boundary"": 12, ""community_rep"": 6, ""degree_core"": 10, ""random_fill"": 4}","{""degree_0_1"": 1, ""degree_2"": 2, ""degree_3_4"": 1, ""degree_9_plus"": 28}","{""1"": 3, ""10"": 8, ""12"": 1, ""16"": 1, ""18"": 1, ""2"": 8, ""20"": 2, ""22"": 1, ""24"": 1, ""4"": 1, ""5"": 1, ""6"": 1, ""7"": 1, ""8"": 2}",373,"{""backend"": ""evaluate_m19_theory_calibrated.candidate_features"", ""delta_mode"": ""none"", ""k_max"": 512, ""k_min"": 64, ""variant"": ""conservative""}",373,0.13703159441587068,0.289544235924933,0.289544235924933,0.021447721179624665,0.7908847184986595,"{""dp_17_64"": 0.09651474530831099, ""dp_257_plus"": 0.35924932975871315, ""dp_5_16"": 0.01876675603217158, ""dp_65_256"": 0.5254691689008043}","{""cn_0"": 0.6890080428954424, ""cn_1"": 0.10187667560321716, ""cn_2_3"": 0.13672922252010725, ""cn_4_8"": 0.029490616621983913, ""cn_9_plus"": 0.04289544235924933}",1.351206434316354,321.6353887399464,sasb_candidate_builder,4b166f09995c24b748a28f9bd19dfa9f23ba9458b64b03c9e3aff4d46087a9c0,373,4b166f09995c24b748a28f9bd19dfa9f23ba9458b64b03c9e3aff4d46087a9c0,"{""sasb_builder"": 373}",0,0,0,0,{},0.0,"{""common_neighbor_bin_l1"": 0.0, ""degree_product_bin_l1"": 0.0, ""is_boundary_edge_l1"": 0.0, ""is_bridge_edge_l1"": 0.0, ""is_inter_community_edge_l1"": 0.0, ""is_low_common_neighbor_edge_l1"": 0.0, ""mean_l1"": 0.0}",1,32,32,189959.51210307525,0
realworld_completed,bio_grid_plant,SASB-candidate,sasb,SASB-structured,20260513,5,early,1.0,1.0,0.0,1,1,0,0.001834189288334556,0.0022010271460014674,342,926,342--926,12,6,6,12,72,0,0.0,0,21,21,32,"[""1111"", ""1011"", ""495"", ""738"", ""3"", ""973"", ""687"", ""551"", ""595"", ""1038"", ""739"", ""1063"", ""592"", ""999"", ""1177"", ""1012"", ""566"", ""425"", ""1001"", ""1085"", ""1185"", ""979"", ""615"", ""1061"", ""619"", ""955"", ""940"", ""259"", ""793"", ""756"", ""576"", ""1156""]",cb19fc4e2cb30023a5a6ae6dd8cbe9c74664386d01bdf59d796eaabfba79d3a1,"{""boundary"": 12, ""community_rep"": 6, ""degree_core"": 10, ""random_fill"": 4}","{""degree_0_1"": 2, ""degree_5_8"": 2, ""degree_9_plus"": 28}","{""1"": 5, ""10"": 8, ""12"": 1, ""16"": 1, ""18"": 1, ""2"": 8, ""20"": 1, ""22"": 1, ""24"": 2, ""4"": 1, ""5"": 1, ""8"": 2}",373,"{""backend"": ""evaluate_m19_theory_calibrated.candidate_features"", ""delta_mode"": ""none"", ""k_max"": 512, ""k_min"": 64, ""variant"": ""conservative""}",373,0.13708195516354282,0.2868632707774799,0.2868632707774799,0.021447721179624665,0.7935656836461126,"{""dp_17_64"": 0.09651474530831099, ""dp_257_plus"": 0.353887399463807, ""dp_5_16"": 0.01876675603217158, ""dp_65_256"": 0.5308310991957105}","{""cn_0"": 0.6916890080428955, ""cn_1"": 0.10187667560321716, ""cn_2_3"": 0.13672922252010725, ""cn_4_8"": 0.029490616621983913, ""cn_9_plus"": 0.040214477211796246}",1.2707774798927614,309.32975871313675,sasb_candidate_builder,976f005b4feab95608a7032d4af1bcd2d023ad376f0703aedf0ae98038db71db,373,976f005b4feab95608a7032d4af1bcd2d023ad376f0703aedf0ae98038db71db,"{""sasb_builder"": 373}",0,0,0,0,{},0.0,"{""common_neighbor_bin_l1"": 0.0, ""degree_product_bin_l1"": 0.0, ""is_boundary_edge_l1"": 0.0, ""is_bridge_edge_l1"": 0.0, ""is_inter_community_edge_l1"": 0.0, ""is_low_common_neighbor_edge_l1"": 0.0, ""mean_l1"": 0.0}",1,32,32,187640.74024214022,0
realworld_completed,bio_grid_plant,SASB-candidate,sasb,SASB-structured,20260513,6,early,1.0,1.0,0.0,1,1,0,0.0022010271460014674,0.0025678650036683784,714,722,714--722,5,6,5,6,30,0,0.0,1,7,2,32,"[""1111"", ""1011"", ""495"", ""738"", ""3"", ""973"", ""687"", ""551"", ""595"", ""1038"", ""739"", ""1063"", ""592"", ""999"", ""1177"", ""1012"", ""566"", ""425"", ""1001"", ""1085"", ""1185"", ""979"", ""615"", ""1061"", ""619"", ""955"", ""940"", ""259"", ""866"", ""413"", ""470"", ""805""]",cc50ffc32b13f685314d8f4fd3a9d86a19cd4a5b4dea0c71a1d9c5189155a32f,"{""boundary"": 12, ""community_rep"": 6, ""degree_core"": 10, ""random_fill"": 4}","{""degree_0_1"": 1, ""degree_2"": 1, ""degree_3_4"": 1, ""degree_5_8"": 1, ""degree_9_plus"": 28}","{""1"": 3, ""10"": 7, ""12"": 1, ""16"": 1, ""18"": 1, ""2"": 8, ""20"": 2, ""22"": 2, ""24"": 2, ""4"": 1, ""5"": 1, ""7"": 1, ""8"": 2}",373,"{""backend"": ""evaluate_m19_theory_calibrated.candidate_features"", ""delta_mode"": ""none"", ""k_max"": 512, ""k_min"": 64, ""variant"": ""conservative""}",373,0.13713235294117648,0.2868632707774799,0.2868632707774799,0.021447721179624665,0.7908847184986595,"{""dp_17_64"": 0.09651474530831099, ""dp_257_plus"": 0.353887399463807, ""dp_5_16"": 0.01876675603217158, ""dp_65_256"": 0.5308310991957105}","{""cn_0"": 0.6890080428954424, ""cn_1"": 0.10187667560321716, ""cn_2_3"": 0.13941018766756033, ""cn_4_8"": 0.029490616621983913, ""cn_9_plus"": 0.040214477211796246}",1.2761394101876675,309.6407506702413,sasb_candidate_builder,df005ba2f5153709ea035f1da855d22c5a9ac43a9a47c3d9c2add3e23971145e,373,df005ba2f5153709ea035f1da855d22c5a9ac43a9a47c3d9c2add3e23971145e,"{""sasb_builder"": 373}",0,0,0,0,{},0.0,"{""common_neighbor_bin_l1"": 0.0, ""degree_product_bin_l1"": 0.0, ""is_boundary_edge_l1"": 0.0, ""is_bridge_edge_l1"": 0.0, ""is_inter_community_edge_l1"": 0.0, ""is_low_common_neighbor_edge_l1"": 0.0, ""mean_l1"": 0.0}",1,32,32,171814.6845638149,0
realworld_completed,bio_grid_plant,SASB-candidate,sasb,SASB-structured,20260513,7,early,1.0,1.0,0.0,1,1,0,0.0025678650036683784,0.00293470286133529,639,757,639--757,8,5,5,8,40,0,0.0,1,16,28,32,"[""1111"", ""1011"", ""495"", ""738"", ""3"", ""973"", ""687"", ""551"", ""595"", ""1038"", ""739"", ""1063"", ""592"", ""999"", ""1177"", ""1012"", ""566"", ""425"", ""1001"", ""1085"", ""1185"", ""979"", ""615"", ""1061"", ""619"", ""955"", ""940"", ""259"", ""1088"", ""428"", ""813"", ""1255""]",cabf1bcf0643e743918bef72e5b64482c8de3333d8485ab23a5b1c7ce03132b6,"{""boundary"": 12, ""community_rep"": 6, ""degree_core"": 10, ""random_fill"": 4}","{""degree_0_1"": 1, ""degree_3_4"": 2, ""degree_9_plus"": 29}","{""1"": 3, ""10"": 7, ""12"": 2, ""16"": 1, ""17"": 1, ""18"": 1, ""2"": 8, ""20"": 1, ""22"": 1, ""24"": 2, ""4"": 1, ""5"": 1, ""7"": 1, ""8"": 2}",373,"{""backend"": ""evaluate_m19_theory_calibrated.candidate_features"", ""delta_mode"": ""none"", ""k_max"": 512, ""k_min"": 64, ""variant"": ""conservative""}",373,0.13718278778962853,0.28418230563002683,0.28418230563002683,0.021447721179624665,0.7908847184986595,"{""dp_17_64"": 0.0938337801608579, ""dp_257_plus"": 0.353887399463807, ""dp_5_16"": 0.01876675603217158, ""dp_65_256"": 0.5335120643431636}","{""cn_0"": 0.6890080428954424, ""cn_1"": 0.10187667560321716, ""cn_2_3"": 0.13941018766756033, ""cn_4_8"": 0.029490616621983913, ""cn_9_plus"": 0.040214477211796246}",1.2761394101876675,309.73458445040217,sasb_candidate_builder,9b2309e2874b6b7c3421a1934fe7432fe25bdae8b5ed6b82260c7343d14a4d71,373,9b2309e2874b6b7c3421a1934fe7432fe25bdae8b5ed6b82260c7343d14a4d71,"{""sasb_builder"": 373}",0,0,0,0,{},0.0,"{""common_neighbor_bin_l1"": 0.0, ""degree_product_bin_l1"": 0.0, ""is_boundary_edge_l1"": 0.0, ""is_bridge_edge_l1"": 0.0, ""is_inter_community_edge_l1"": 0.0, ""is_low_common_neighbor_edge_l1"": 0.0, ""mean_l1"": 0.0}",1,32,32,167616.77575431115,0
realworld_completed,bio_grid_plant,SASB-candidate,sasb,SASB-structured,20260513,8,early,1.0,1.0,0.0,1,1,0,0.00293470286133529,0.003301540719002201,1111,1138,1111--1138,27,2,2,27,54,0,0.0,1,2,5,32,"[""1111"", ""1011"", ""495"", ""738"", ""3"", ""973"", ""687"", ""551"", ""595"", ""1038"", ""739"", ""1063"", ""592"", ""999"", ""1177"", ""1012"", ""566"", ""425"", ""1001"", ""1085"", ""1185"", ""979"", ""615"", ""1061"", ""619"", ""955"", ""940"", ""259"", ""1023"", ""1135"", ""737"", ""447""]",084a0a8afd2b572c38b09762ab34af979bd1023f29a70c0646ffbb9a8a8d1aa6,"{""boundary"": 12, ""community_rep"": 6, ""degree_core"": 10, ""random_fill"": 4}","{""degree_0_1"": 2, ""degree_2"": 1, ""degree_9_plus"": 29}","{""1"": 5, ""10"": 7, ""12"": 1, ""16"": 2, ""18"": 1, ""2"": 8, ""20"": 1, ""22"": 1, ""24"": 1, ""4"": 1, ""5"": 1, ""8"": 2, ""9"": 1}",373,"{""backend"": ""evaluate_m19_theory_calibrated.candidate_features"", ""delta_mode"": ""none"", ""k_max"": 512, ""k_min"": 64, ""variant"": ""conservative""}",373,0.13723325974981604,0.28150134048257375,0.28150134048257375,0.024128686327077747,0.7908847184986595,"{""dp_17_64"": 0.09115281501340483, ""dp_257_plus"": 0.353887399463807, ""dp_5_16"": 0.01876675603217158, ""dp_65_256"": 0.5361930294906166}","{""cn_0"": 0.6890080428954424, ""cn_1"": 0.10187667560321716, ""cn_2_3"": 0.13941018766756033, ""cn_4_8"": 0.029490616621983913, ""cn_9_plus"": 0.040214477211796246}",1.2761394101876675,309.8203753351206,sasb_candidate_builder,d5c6514a2dee9f5acd5603f983b67b8644e3675b18991486acb6acbcae296899,373,d5c6514a2dee9f5acd5603f983b67b8644e3675b18991486acb6acbcae296899,"{""sasb_builder"": 373}",0,0,0,0,{},0.0,"{""common_neighbor_bin_l1"": 0.0, ""degree_product_bin_l1"": 0.0, ""is_boundary_edge_l1"": 0.0, ""is_bridge_edge_l1"": 0.0, ""is_inter_community_edge_l1"": 0.0, ""is_low_common_neighbor_edge_l1"": 0.0, ""mean_l1"": 0.0}",1,32,32,183829.70161808646,0
realworld_completed,bio_grid_plant,SASB-candidate,sasb,SASB-structured,20260513,9,early,1.0,1.0,0.0,1,1,0,0.003301540719002201,0.003668378576669112,194,679,194--679,5,22,5,22,110,1,0.25,1,7,1,32,"[""1011"", ""1111"", ""495"", ""738"", ""3"", ""973"", ""687"", ""551"", ""595"", ""1038"", ""739"", ""1063"", ""592"", ""999"", ""1177"", ""1012"", ""566"", ""425"", ""1001"", ""1085"", ""1185"", ""979"", ""615"", ""1061"", ""619"", ""955"", ""940"", ""259"", ""8"", ""575"", ""1094"", ""1164""]",dd02b0de4f267cdc7a1698bf2ffea7d080f31bab359a22dcceb8bf5890d1c1f0,"{""boundary"": 12, ""community_rep"": 6, ""degree_core"": 10, ""random_fill"": 4}","{""degree_0_1"": 1, ""degree_2"": 2, ""degree_3_4"": 1, ""degree_9_plus"": 28}","{""1"": 3, ""10"": 8, ""12"": 2, ""16"": 1, ""18"": 1, ""2"": 8, ""20"": 2, ""22"": 1, ""24"": 1, ""3"": 1, ""4"": 1, ""5"": 1, ""8"": 2}",373,"{""backend"": ""evaluate_m19_theory_calibrated.candidate_features"", ""delta_mode"": ""none"", ""k_max"": 512, ""k_min"": 64, ""variant"": ""conservative""}",373,0.13728376886271623,0.27882037533512066,0.27882037533512066,0.024128686327077747,0.7908847184986595,"{""dp_17_64"": 0.08847184986595175, ""dp_257_plus"": 0.35656836461126007, ""dp_5_16"": 0.01876675603217158, ""dp_65_256"": 0.5361930294906166}","{""cn_0"": 0.6890080428954424, ""cn_1"": 0.10187667560321716, ""cn_2_3"": 0.13941018766756033, ""cn_4_8"": 0.029490616621983913, ""cn_9_plus"": 0.040214477211796246}",1.2761394101876675,314.4075067024129,sasb_candidate_builder,640e7a7245306f66aebc3c8f180cda58b965732d2345d1325e457a36db70772d,373,640e7a7245306f66aebc3c8f180cda58b965732d2345d1325e457a36db70772d,"{""sasb_builder"": 373}",0,0,0,0,{},0.0,"{""common_neighbor_bin_l1"": 0.0, ""degree_product_bin_l1"": 0.0, ""is_boundary_edge_l1"": 0.0, ""is_bridge_edge_l1"": 0.0, ""is_inter_community_edge_l1"": 0.0, ""is_low_common_neighbor_edge_l1"": 0.0, ""mean_l1"": 0.0}",1,32,32,180697.53877931394,0
