dataset,graph_id,method,candidate_policy,source_policy,seed,step,attack_phase,gcc_before,gcc_after,delta_gcc,num_components_before,num_components_after,is_bridge_before_removal,remove_ratio_before,remove_ratio_after,edge_u,edge_v,selected_edge,degree_u,degree_v,degree_min,degree_max,degree_product,common_neighbors,edge_embeddedness,is_inter_community_edge,community_u,community_v,source_count,source_nodes,source_node_hash,source_strata_counts,source_degree_bins,source_community_counts,adaptive_k,candidate_config,candidate_count,candidate_fraction,candidate_inter_community_ratio,candidate_boundary_ratio,candidate_bridge_ratio,candidate_low_cn_ratio,candidate_degree_product_distribution,candidate_common_neighbor_distribution,candidate_mean_common_neighbors,candidate_mean_degree_product,candidate_backend,candidate_hash,sasb_candidate_count_reference,sasb_candidate_hash_reference,match_mode_counts,strict_match_count,degree_only_match_count,community_only_match_count,fallback_count,fallback_reason,matched_feature_difference,matched_feature_difference_detail,candidate_count_equal_to_sasb,source_budget,true_source_traversal_count,sampled_betweenness_score,p2_degree_product_fallback
realworld_completed,bio_sc_ts,SASB-candidate,sasb,SASB-structured,20260513,0,early,1.0,1.0,0.0,1,1,0,0.0,0.0004522840343735866,0,1,0--1,66,66,66,66,4356,65,1.0,0,0,0,32,"[""0"", ""1"", ""10"", ""11"", ""12"", ""13"", ""14"", ""15"", ""16"", ""17"", ""18"", ""19"", ""2"", ""20"", ""21"", ""22"", ""23"", ""24"", ""25"", ""26"", ""27"", ""28"", ""9"", ""53"", ""39"", ""59"", ""3"", ""60"", ""38"", ""7"", ""56"", ""36""]",3f0cf116ea6f33eeeb1d3a559852555a49013d44ed296e066c26bac276a0fb23,"{""boundary"": 12, ""community_rep"": 1, ""degree_core"": 10, ""random_fill"": 9}","{""degree_9_plus"": 32}","{""0"": 32}",198,"{""backend"": ""evaluate_m19_theory_calibrated.candidate_features"", ""delta_mode"": ""none"", ""k_max"": 512, ""k_min"": 64, ""variant"": ""conservative""}",198,0.08955223880597014,0.0,0.0,0.0,0.050505050505050504,"{""dp_257_plus"": 1.0}","{""cn_0"": 0.050505050505050504, ""cn_9_plus"": 0.9494949494949495}",61.717171717171716,4356.0,sasb_candidate_builder,eb18b2b110e383e8a1c83fb45776fb6fb6ea37ea806f69e4b68233b7ceb94635,198,eb18b2b110e383e8a1c83fb45776fb6fb6ea37ea806f69e4b68233b7ceb94635,"{""sasb_builder"": 198}",0,0,0,0,{},0.0,"{""common_neighbor_bin_l1"": 0.0, ""degree_product_bin_l1"": 0.0, ""is_boundary_edge_l1"": 0.0, ""is_bridge_edge_l1"": 0.0, ""is_inter_community_edge_l1"": 0.0, ""is_low_common_neighbor_edge_l1"": 0.0, ""mean_l1"": 0.0}",1,32,32,4.1875,0
realworld_completed,bio_sc_ts,SASB-candidate,sasb,SASB-structured,20260513,1,early,1.0,1.0,0.0,1,1,0,0.0004522840343735866,0.0009045680687471732,2,20,2--20,66,66,66,66,4356,65,1.0,0,0,0,32,"[""10"", ""11"", ""12"", ""13"", ""14"", ""15"", ""16"", ""17"", ""18"", ""19"", ""2"", ""20"", ""21"", ""22"", ""23"", ""24"", ""25"", ""26"", ""27"", ""28"", ""29"", ""3"", ""9"", ""58"", ""51"", ""5"", ""45"", ""6"", ""8"", ""53"", ""46"", ""4""]",78e84aab08fe9db8edfb353797d188bfd35004c8745b97887a86d28020e7da4a,"{""boundary"": 12, ""community_rep"": 1, ""degree_core"": 10, ""random_fill"": 9}","{""degree_9_plus"": 32}","{""0"": 32}",198,"{""backend"": ""evaluate_m19_theory_calibrated.candidate_features"", ""delta_mode"": ""none"", ""k_max"": 512, ""k_min"": 64, ""variant"": ""conservative""}",198,0.08959276018099548,0.0,0.0,0.0,0.050505050505050504,"{""dp_257_plus"": 1.0}","{""cn_0"": 0.050505050505050504, ""cn_9_plus"": 0.9494949494949495}",61.06060606060606,4312.666666666667,sasb_candidate_builder,1aa56206e7e5b3dc3a2ae651a431f728630da615041154cd01906a660119f762,198,1aa56206e7e5b3dc3a2ae651a431f728630da615041154cd01906a660119f762,"{""sasb_builder"": 198}",0,0,0,0,{},0.0,"{""common_neighbor_bin_l1"": 0.0, ""degree_product_bin_l1"": 0.0, ""is_boundary_edge_l1"": 0.0, ""is_bridge_edge_l1"": 0.0, ""is_inter_community_edge_l1"": 0.0, ""is_low_common_neighbor_edge_l1"": 0.0, ""mean_l1"": 0.0}",1,32,32,4.1875,0
realworld_completed,bio_sc_ts,SASB-candidate,sasb,SASB-structured,20260513,2,early,1.0,1.0,0.0,1,1,0,0.0009045680687471732,0.0013568521031207597,0,10,0--10,65,66,65,66,4290,64,1.0,0,0,0,32,"[""10"", ""11"", ""12"", ""13"", ""14"", ""15"", ""16"", ""17"", ""18"", ""19"", ""21"", ""22"", ""23"", ""24"", ""25"", ""26"", ""27"", ""28"", ""29"", ""3"", ""30"", ""31"", ""9"", ""64"", ""52"", ""38"", ""66"", ""50"", ""33"", ""41"", ""65"", ""59""]",6a2d0c0bf485d3d98968cf26eb31fcde806b878a8e64b97f9789d9f2de194359,"{""boundary"": 12, ""community_rep"": 1, ""degree_core"": 10, ""random_fill"": 9}","{""degree_9_plus"": 32}","{""0"": 32}",198,"{""backend"": ""evaluate_m19_theory_calibrated.candidate_features"", ""delta_mode"": ""none"", ""k_max"": 512, ""k_min"": 64, ""variant"": ""conservative""}",198,0.08963331824354911,0.0,0.0,0.0,0.050505050505050504,"{""dp_257_plus"": 1.0}","{""cn_0"": 0.050505050505050504, ""cn_9_plus"": 0.9494949494949495}",60.77272727272727,4290.353535353535,sasb_candidate_builder,25f45aea6f7bae6c18ebe33490eb31bacd25b73450688c4971d64ef40f6fd9ed,198,25f45aea6f7bae6c18ebe33490eb31bacd25b73450688c4971d64ef40f6fd9ed,"{""sasb_builder"": 198}",0,0,0,0,{},0.0,"{""common_neighbor_bin_l1"": 0.0, ""degree_product_bin_l1"": 0.0, ""is_boundary_edge_l1"": 0.0, ""is_bridge_edge_l1"": 0.0, ""is_inter_community_edge_l1"": 0.0, ""is_low_common_neighbor_edge_l1"": 0.0, ""mean_l1"": 0.0}",1,32,32,2.09375,0
realworld_completed,bio_sc_ts,SASB-candidate,sasb,SASB-structured,20260513,3,early,1.0,1.0,0.0,1,1,0,0.0013568521031207597,0.0018091361374943465,3,7,3--7,66,66,66,66,4356,65,1.0,0,0,0,32,"[""11"", ""12"", ""13"", ""14"", ""15"", ""16"", ""17"", ""18"", ""19"", ""21"", ""22"", ""23"", ""24"", ""25"", ""26"", ""27"", ""28"", ""29"", ""3"", ""30"", ""31"", ""32"", ""9"", ""7"", ""38"", ""54"", ""66"", ""34"", ""49"", ""41"", ""48"", ""57""]",ae4f67b1faeee5bc062fca8a50ecf10973f88117babcb7b6cb1e7aef721e481c,"{""boundary"": 12, ""community_rep"": 1, ""degree_core"": 10, ""random_fill"": 9}","{""degree_9_plus"": 32}","{""0"": 32}",198,"{""backend"": ""evaluate_m19_theory_calibrated.candidate_features"", ""delta_mode"": ""none"", ""k_max"": 512, ""k_min"": 64, ""variant"": ""conservative""}",198,0.08967391304347826,0.0,0.0,0.0,0.050505050505050504,"{""dp_257_plus"": 1.0}","{""cn_0"": 0.050505050505050504, ""cn_9_plus"": 0.9494949494949495}",60.44949494949495,4268.707070707071,sasb_candidate_builder,9759ee9c192ed2b41335f0645b9cf187854c42f3ccd3c9b37274de13fc5b0f10,198,9759ee9c192ed2b41335f0645b9cf187854c42f3ccd3c9b37274de13fc5b0f10,"{""sasb_builder"": 198}",0,0,0,0,{},0.0,"{""common_neighbor_bin_l1"": 0.0, ""degree_product_bin_l1"": 0.0, ""is_boundary_edge_l1"": 0.0, ""is_bridge_edge_l1"": 0.0, ""is_inter_community_edge_l1"": 0.0, ""is_low_common_neighbor_edge_l1"": 0.0, ""mean_l1"": 0.0}",1,32,32,4.1875,0
realworld_completed,bio_sc_ts,SASB-candidate,sasb,SASB-structured,20260513,4,early,1.0,1.0,0.0,1,1,0,0.0018091361374943465,0.002261420171867933,0,7,0--7,64,65,64,65,4160,62,0.9841269841269841,0,0,0,32,"[""11"", ""12"", ""13"", ""14"", ""15"", ""16"", ""17"", ""18"", ""19"", ""21"", ""22"", ""23"", ""24"", ""25"", ""26"", ""27"", ""28"", ""29"", ""30"", ""31"", ""32"", ""33"", ""9"", ""41"", ""34"", ""63"", ""4"", ""58"", ""7"", ""46"", ""6"", ""45""]",f5fc16949d495ab3b8257ca7e9847ce88b1f7a6e8e1f8e00fe9a8663d792e16b,"{""boundary"": 12, ""community_rep"": 1, ""degree_core"": 10, ""random_fill"": 9}","{""degree_9_plus"": 32}","{""0"": 32}",198,"{""backend"": ""evaluate_m19_theory_calibrated.candidate_features"", ""delta_mode"": ""none"", ""k_max"": 512, ""k_min"": 64, ""variant"": ""conservative""}",198,0.08971454463072044,0.0,0.0,0.0,0.0707070707070707,"{""dp_257_plus"": 1.0}","{""cn_0"": 0.0707070707070707, ""cn_9_plus"": 0.9292929292929293}",59.0959595959596,4263.434343434344,sasb_candidate_builder,a5c029e8a80808be129d4ab970c3011c8ea2a93ed3f4809c56932342cbc2060f,198,a5c029e8a80808be129d4ab970c3011c8ea2a93ed3f4809c56932342cbc2060f,"{""sasb_builder"": 198}",0,0,0,0,{},0.0,"{""common_neighbor_bin_l1"": 0.0, ""degree_product_bin_l1"": 0.0, ""is_boundary_edge_l1"": 0.0, ""is_bridge_edge_l1"": 0.0, ""is_inter_community_edge_l1"": 0.0, ""is_low_common_neighbor_edge_l1"": 0.0, ""mean_l1"": 0.0}",1,32,32,2.1259615384615382,0
realworld_completed,bio_sc_ts,SASB-candidate,sasb,SASB-structured,20260513,5,early,1.0,1.0,0.0,1,1,0,0.002261420171867933,0.0027137042062415195,0,11,0--11,63,66,63,66,4158,62,1.0,0,0,0,32,"[""11"", ""12"", ""13"", ""14"", ""15"", ""16"", ""17"", ""18"", ""19"", ""21"", ""22"", ""23"", ""24"", ""25"", ""26"", ""27"", ""28"", ""29"", ""30"", ""31"", ""32"", ""33"", ""9"", ""47"", ""37"", ""35"", ""6"", ""42"", ""0"", ""52"", ""40"", ""44""]",c5f68b3c73c4e9a640df2fdfe5797d2b8baa3855d72e7387b3e930b4047af30b,"{""boundary"": 12, ""community_rep"": 1, ""degree_core"": 10, ""random_fill"": 9}","{""degree_9_plus"": 32}","{""0"": 32}",198,"{""backend"": ""evaluate_m19_theory_calibrated.candidate_features"", ""delta_mode"": ""none"", ""k_max"": 512, ""k_min"": 64, ""variant"": ""conservative""}",198,0.08975521305530372,0.0,0.0,0.0,0.0707070707070707,"{""dp_257_plus"": 1.0}","{""cn_0"": 0.0707070707070707, ""cn_9_plus"": 0.9292929292929293}",58.803030303030305,4244.090909090909,sasb_candidate_builder,92999af481ffee9d13f211139abba05c5885134affee69bfc45799204f8d6240,198,92999af481ffee9d13f211139abba05c5885134affee69bfc45799204f8d6240,"{""sasb_builder"": 198}",0,0,0,0,{},0.0,"{""common_neighbor_bin_l1"": 0.0, ""degree_product_bin_l1"": 0.0, ""is_boundary_edge_l1"": 0.0, ""is_bridge_edge_l1"": 0.0, ""is_inter_community_edge_l1"": 0.0, ""is_low_common_neighbor_edge_l1"": 0.0, ""mean_l1"": 0.0}",1,32,32,4.287738415258577,0
realworld_completed,bio_sc_ts,SASB-candidate,sasb,SASB-structured,20260513,6,early,1.0,1.0,0.0,1,1,0,0.0027137042062415195,0.003165988240615106,0,12,0--12,62,66,62,66,4092,61,1.0,0,0,0,32,"[""12"", ""13"", ""14"", ""15"", ""16"", ""17"", ""18"", ""19"", ""21"", ""22"", ""23"", ""24"", ""25"", ""26"", ""27"", ""28"", ""29"", ""30"", ""31"", ""32"", ""33"", ""34"", ""9"", ""45"", ""39"", ""8"", ""51"", ""62"", ""10"", ""48"", ""0"", ""43""]",7c368140ec40fa47910d98ffed6dc7b69d26d06d548285c3293d63fa7a562dd0,"{""boundary"": 12, ""community_rep"": 1, ""degree_core"": 10, ""random_fill"": 9}","{""degree_9_plus"": 32}","{""0"": 32}",198,"{""backend"": ""evaluate_m19_theory_calibrated.candidate_features"", ""delta_mode"": ""none"", ""k_max"": 512, ""k_min"": 64, ""variant"": ""conservative""}",198,0.08979591836734693,0.0,0.0,0.0,0.07575757575757576,"{""dp_257_plus"": 1.0}","{""cn_0"": 0.07575757575757576, ""cn_9_plus"": 0.9242424242424242}",58.176767676767675,4223.449494949495,sasb_candidate_builder,601fc8a7340f57d6e1cfc2aa524594f2165fe9c6def8c67261b6cf6e739cf0ec,198,601fc8a7340f57d6e1cfc2aa524594f2165fe9c6def8c67261b6cf6e739cf0ec,"{""sasb_builder"": 198}",0,0,0,0,{},0.0,"{""common_neighbor_bin_l1"": 0.0, ""degree_product_bin_l1"": 0.0, ""is_boundary_edge_l1"": 0.0, ""is_bridge_edge_l1"": 0.0, ""is_inter_community_edge_l1"": 0.0, ""is_low_common_neighbor_edge_l1"": 0.0, ""mean_l1"": 0.0}",1,32,32,4.356904415653093,0
realworld_completed,bio_sc_ts,SASB-candidate,sasb,SASB-structured,20260513,7,early,1.0,1.0,0.0,1,1,0,0.003165988240615106,0.003618272274988693,3,9,3--9,65,66,65,66,4290,64,1.0,0,0,0,32,"[""13"", ""14"", ""15"", ""16"", ""17"", ""18"", ""19"", ""21"", ""22"", ""23"", ""24"", ""25"", ""26"", ""27"", ""28"", ""29"", ""30"", ""31"", ""32"", ""33"", ""34"", ""35"", ""9"", ""55"", ""20"", ""56"", ""3"", ""48"", ""57"", ""53"", ""63"", ""50""]",5c6184ddd3283c8c9bd06028c515831ceabb7a1c1328214ea2db4372a048b7cb,"{""boundary"": 12, ""community_rep"": 1, ""degree_core"": 10, ""random_fill"": 9}","{""degree_9_plus"": 32}","{""0"": 32}",198,"{""backend"": ""evaluate_m19_theory_calibrated.candidate_features"", ""delta_mode"": ""none"", ""k_max"": 512, ""k_min"": 64, ""variant"": ""conservative""}",198,0.08983666061705989,0.0,0.0,0.0,0.08080808080808081,"{""dp_257_plus"": 1.0}","{""cn_0"": 0.08080808080808081, ""cn_9_plus"": 0.9191919191919192}",57.56060606060606,4203.474747474747,sasb_candidate_builder,365a955a0d52edea5bb46a9664ab876079d236b188aea8fe7ee7c5c26f215af9,198,365a955a0d52edea5bb46a9664ab876079d236b188aea8fe7ee7c5c26f215af9,"{""sasb_builder"": 198}",0,0,0,0,{},0.0,"{""common_neighbor_bin_l1"": 0.0, ""degree_product_bin_l1"": 0.0, ""is_boundary_edge_l1"": 0.0, ""is_bridge_edge_l1"": 0.0, ""is_inter_community_edge_l1"": 0.0, ""is_low_common_neighbor_edge_l1"": 0.0, ""mean_l1"": 0.0}",1,32,32,4.22021484375,0
realworld_completed,bio_sc_ts,SASB-candidate,sasb,SASB-structured,20260513,8,early,1.0,1.0,0.0,1,1,0,0.003618272274988693,0.004070556309362279,1,20,1--20,65,65,65,65,4225,63,0.984375,0,0,0,32,"[""13"", ""14"", ""15"", ""16"", ""17"", ""18"", ""19"", ""21"", ""22"", ""23"", ""24"", ""25"", ""26"", ""27"", ""28"", ""29"", ""30"", ""31"", ""32"", ""33"", ""34"", ""35"", ""8"", ""20"", ""53"", ""56"", ""46"", ""59"", ""55"", ""1"", ""41"", ""11""]",c261da79c48cd8afac5870e13b06f1d449ab4812bd6678b2938ab74158ef7567,"{""boundary"": 12, ""community_rep"": 1, ""degree_core"": 10, ""random_fill"": 9}","{""degree_9_plus"": 32}","{""0"": 32}",198,"{""backend"": ""evaluate_m19_theory_calibrated.candidate_features"", ""delta_mode"": ""none"", ""k_max"": 512, ""k_min"": 64, ""variant"": ""conservative""}",198,0.08987743985474353,0.0,0.0,0.0,0.09595959595959595,"{""dp_257_plus"": 1.0}","{""cn_0"": 0.09595959595959595, ""cn_9_plus"": 0.9040404040404041}",56.55555555555556,4198.560606060606,sasb_candidate_builder,1accaee6b2c2d0d8e8c82bfb238a2cb114fd79e296e2433cda2dd4466b956b9a,198,1accaee6b2c2d0d8e8c82bfb238a2cb114fd79e296e2433cda2dd4466b956b9a,"{""sasb_builder"": 198}",0,0,0,0,{},0.0,"{""common_neighbor_bin_l1"": 0.0, ""degree_product_bin_l1"": 0.0, ""is_boundary_edge_l1"": 0.0, ""is_bridge_edge_l1"": 0.0, ""is_inter_community_edge_l1"": 0.0, ""is_low_common_neighbor_edge_l1"": 0.0, ""mean_l1"": 0.0}",1,32,32,4.254035308953341,0
realworld_completed,bio_sc_ts,SASB-candidate,sasb,SASB-structured,20260513,9,early,1.0,1.0,0.0,1,1,0,0.004070556309362279,0.004522840343735866,0,9,0--9,61,65,61,65,3965,59,0.9833333333333333,0,0,0,32,"[""13"", ""14"", ""15"", ""16"", ""17"", ""18"", ""19"", ""21"", ""22"", ""23"", ""24"", ""25"", ""26"", ""27"", ""28"", ""29"", ""30"", ""31"", ""32"", ""33"", ""34"", ""35"", ""8"", ""56"", ""64"", ""39"", ""47"", ""42"", ""66"", ""11"", ""40"", ""9""]",594daae8252ad38c1cc25e28dc9bf6f11d9a81180811f98532e711336999e1fb,"{""boundary"": 12, ""community_rep"": 1, ""degree_core"": 10, ""random_fill"": 9}","{""degree_9_plus"": 32}","{""0"": 32}",198,"{""backend"": ""evaluate_m19_theory_calibrated.candidate_features"", ""delta_mode"": ""none"", ""k_max"": 512, ""k_min"": 64, ""variant"": ""conservative""}",198,0.08991825613079019,0.0,0.0,0.0,0.10101010101010101,"{""dp_257_plus"": 1.0}","{""cn_0"": 0.10101010101010101, ""cn_9_plus"": 0.898989898989899}",55.94444444444444,4178.247474747474,sasb_candidate_builder,9a03df9ce5f4ae676c1815b7e7c8944b1e939f53ea62a451eabd77fce434f328,198,9a03df9ce5f4ae676c1815b7e7c8944b1e939f53ea62a451eabd77fce434f328,"{""sasb_builder"": 198}",0,0,0,0,{},0.0,"{""common_neighbor_bin_l1"": 0.0, ""degree_product_bin_l1"": 0.0, ""is_boundary_edge_l1"": 0.0, ""is_bridge_edge_l1"": 0.0, ""is_inter_community_edge_l1"": 0.0, ""is_low_common_neighbor_edge_l1"": 0.0, ""mean_l1"": 0.0}",1,32,32,2.1607886142418034,0
