dataset,graph_id,graph_name,graph_type,community_strength,method,candidate_policy,source_policy,seed,step,removed_edges,remove_ratio,gcc_ratio,gcc_size
realworld_completed,ca_csphd,ca-CSphd,collaboration,unknown,Random-size-matched-candidate,random_size_matched,SASB-structured,20260513,0,0,0.0,1.0,1025
realworld_completed,ca_csphd,ca-CSphd,collaboration,unknown,Random-size-matched-candidate,random_size_matched,SASB-structured,20260513,1,1,0.0009587727708533077,1.0,1025
realworld_completed,ca_csphd,ca-CSphd,collaboration,unknown,Random-size-matched-candidate,random_size_matched,SASB-structured,20260513,2,2,0.0019175455417066154,1.0,1025
realworld_completed,ca_csphd,ca-CSphd,collaboration,unknown,Random-size-matched-candidate,random_size_matched,SASB-structured,20260513,3,3,0.0028763183125599234,1.0,1025
realworld_completed,ca_csphd,ca-CSphd,collaboration,unknown,Random-size-matched-candidate,random_size_matched,SASB-structured,20260513,4,4,0.003835091083413231,0.8126829268292682,833
realworld_completed,ca_csphd,ca-CSphd,collaboration,unknown,Random-size-matched-candidate,random_size_matched,SASB-structured,20260513,5,5,0.004793863854266539,0.8126829268292682,833
realworld_completed,ca_csphd,ca-CSphd,collaboration,unknown,Random-size-matched-candidate,random_size_matched,SASB-structured,20260513,6,6,0.005752636625119847,0.8126829268292682,833
realworld_completed,ca_csphd,ca-CSphd,collaboration,unknown,Random-size-matched-candidate,random_size_matched,SASB-structured,20260513,7,7,0.006711409395973154,0.6370731707317073,653
realworld_completed,ca_csphd,ca-CSphd,collaboration,unknown,Random-size-matched-candidate,random_size_matched,SASB-structured,20260513,8,8,0.007670182166826462,0.6370731707317073,653
realworld_completed,ca_csphd,ca-CSphd,collaboration,unknown,Random-size-matched-candidate,random_size_matched,SASB-structured,20260513,9,9,0.00862895493767977,0.5317073170731708,545
realworld_completed,ca_csphd,ca-CSphd,collaboration,unknown,Random-size-matched-candidate,random_size_matched,SASB-structured,20260513,10,10,0.009587727708533078,0.5317073170731708,545
realworld_completed,ca_csphd,ca-CSphd,collaboration,unknown,Random-size-matched-candidate,random_size_matched,SASB-structured,20260513,11,11,0.010546500479386385,0.5317073170731708,545
realworld_completed,ca_csphd,ca-CSphd,collaboration,unknown,Random-size-matched-candidate,random_size_matched,SASB-structured,20260513,12,12,0.011505273250239693,0.44,451
realworld_completed,ca_csphd,ca-CSphd,collaboration,unknown,Random-size-matched-candidate,random_size_matched,SASB-structured,20260513,13,13,0.012464046021093002,0.44,451
realworld_completed,ca_csphd,ca-CSphd,collaboration,unknown,Random-size-matched-candidate,random_size_matched,SASB-structured,20260513,14,14,0.013422818791946308,0.3746341463414634,384
realworld_completed,ca_csphd,ca-CSphd,collaboration,unknown,Random-size-matched-candidate,random_size_matched,SASB-structured,20260513,15,15,0.014381591562799617,0.31609756097560976,324
realworld_completed,ca_csphd,ca-CSphd,collaboration,unknown,Random-size-matched-candidate,random_size_matched,SASB-structured,20260513,16,16,0.015340364333652923,0.31609756097560976,324
realworld_completed,ca_csphd,ca-CSphd,collaboration,unknown,Random-size-matched-candidate,random_size_matched,SASB-structured,20260513,17,17,0.016299137104506232,0.2,205
realworld_completed,ca_csphd,ca-CSphd,collaboration,unknown,Random-size-matched-candidate,random_size_matched,SASB-structured,20260513,18,18,0.01725790987535954,0.1873170731707317,192
realworld_completed,ca_csphd,ca-CSphd,collaboration,unknown,Random-size-matched-candidate,random_size_matched,SASB-structured,20260513,19,19,0.01821668264621285,0.17560975609756097,180
