dataset,graph_id,method,candidate_policy,source_policy,seed,step,attack_phase,gcc_before,gcc_after,delta_gcc,num_components_before,num_components_after,is_bridge_before_removal,remove_ratio_before,remove_ratio_after,edge_u,edge_v,selected_edge,degree_u,degree_v,degree_min,degree_max,degree_product,common_neighbors,edge_embeddedness,is_inter_community_edge,community_u,community_v,source_count,source_nodes,source_node_hash,source_strata_counts,source_degree_bins,source_community_counts,adaptive_k,candidate_config,candidate_count,candidate_fraction,candidate_inter_community_ratio,candidate_boundary_ratio,candidate_bridge_ratio,candidate_low_cn_ratio,candidate_degree_product_distribution,candidate_common_neighbor_distribution,candidate_mean_common_neighbors,candidate_mean_degree_product,candidate_backend,candidate_hash,sasb_candidate_count_reference,sasb_candidate_hash_reference,match_mode_counts,strict_match_count,degree_only_match_count,community_only_match_count,fallback_count,fallback_reason,matched_feature_difference,matched_feature_difference_detail,candidate_count_equal_to_sasb,source_budget,true_source_traversal_count,sampled_betweenness_score,p2_degree_product_fallback
realworld_completed,ca_netscience,Random-size-matched-candidate,random_size_matched,SASB-structured,20260513,0,early,1.0,1.0,0.0,1,1,0,0.0,0.0010940919037199124,342,345,342--345,19,18,18,19,342,5,0.29411764705882354,0,15,15,32,"[""313"", ""147"", ""168"", ""325"", ""8"", ""223"", ""46"", ""246"", ""342"", ""326"", ""77"", ""315"", ""57"", ""345"", ""373"", ""16"", ""235"", ""114"", ""113"", ""128"", ""227"", ""346"", ""378"", ""365"", ""56"", ""32"", ""261"", ""322"", ""129"", ""249"", ""55"", ""337""]",a982535c6f0a7764b25bde0f073e4410f897da11bed70e94a4a47a1675e89d93,"{""boundary"": 12, ""community_rep"": 6, ""degree_core"": 10, ""random_fill"": 4}","{""degree_3_4"": 3, ""degree_5_8"": 5, ""degree_9_plus"": 24}","{""0"": 5, ""1"": 1, ""10"": 2, ""11"": 1, ""12"": 2, ""13"": 2, ""14"": 1, ""15"": 5, ""16"": 1, ""17"": 5, ""2"": 1, ""3"": 1, ""4"": 1, ""5"": 1, ""6"": 1, ""7"": 1, ""8"": 1}",180,"{""backend"": ""evaluate_m19_theory_calibrated.candidate_features"", ""delta_mode"": ""none"", ""k_max"": 512, ""k_min"": 64, ""variant"": ""conservative""}",180,0.19693654266958424,0.03333333333333333,0.03333333333333333,0.05,0.36666666666666664,"{""dp_0_4"": 0.03333333333333333, ""dp_17_64"": 0.42777777777777776, ""dp_257_plus"": 0.027777777777777776, ""dp_5_16"": 0.2388888888888889, ""dp_65_256"": 0.2722222222222222}","{""cn_0"": 0.25555555555555554, ""cn_1"": 0.1111111111111111, ""cn_2_3"": 0.3888888888888889, ""cn_4_8"": 0.23333333333333334, ""cn_9_plus"": 0.011111111111111112}",2.3777777777777778,59.705555555555556,uniform_random_edges_size_matched_to_sasb,6ac88a22680c95bf4594fb28361227901ccfe2ce352a322d4e98fec82d1ba3d1,180,15b4dcb2f7181514e3886d4b3a59e4d8c5aa6b2ac0ea455c9029106fae93837d,"{""random_size_matched"": 180}",0,0,0,0,{},0.45740740740740743,"{""common_neighbor_bin_l1"": 0.24444444444444446, ""degree_product_bin_l1"": 0.9111111111111111, ""is_boundary_edge_l1"": 0.6666666666666667, ""is_bridge_edge_l1"": 0.022222222222222296, ""is_inter_community_edge_l1"": 0.6666666666666667, ""is_low_common_neighbor_edge_l1"": 0.23333333333333328, ""mean_l1"": 0.45740740740740743}",1,32,32,25982.2265625,0
realworld_completed,ca_netscience,Random-size-matched-candidate,random_size_matched,SASB-structured,20260513,1,early,1.0,1.0,0.0,1,1,0,0.0010940919037199124,0.002188183807439825,325,373,325--373,15,17,15,17,255,2,0.14285714285714285,1,17,11,32,"[""313"", ""147"", ""168"", ""325"", ""8"", ""223"", ""46"", ""246"", ""342"", ""326"", ""77"", ""315"", ""57"", ""345"", ""373"", ""16"", ""235"", ""114"", ""113"", ""128"", ""227"", ""346"", ""378"", ""365"", ""56"", ""32"", ""261"", ""322"", ""229"", ""150"", ""143"", ""347""]",ac675cb71f508ff874bc23d9909e894f8507f4841fc6bc521afa81fc1e09bdb6,"{""boundary"": 12, ""community_rep"": 6, ""degree_core"": 10, ""random_fill"": 4}","{""degree_2"": 2, ""degree_3_4"": 1, ""degree_5_8"": 5, ""degree_9_plus"": 24}","{""0"": 4, ""1"": 1, ""10"": 1, ""11"": 1, ""12"": 2, ""13"": 1, ""14"": 1, ""15"": 5, ""16"": 2, ""17"": 5, ""2"": 1, ""3"": 2, ""4"": 1, ""5"": 1, ""6"": 1, ""7"": 2, ""8"": 1}",180,"{""backend"": ""evaluate_m19_theory_calibrated.candidate_features"", ""delta_mode"": ""none"", ""k_max"": 512, ""k_min"": 64, ""variant"": ""conservative""}",180,0.19715224534501644,0.07222222222222222,0.07222222222222222,0.022222222222222223,0.3277777777777778,"{""dp_0_4"": 0.027777777777777776, ""dp_17_64"": 0.5055555555555555, ""dp_257_plus"": 0.016666666666666666, ""dp_5_16"": 0.2, ""dp_65_256"": 0.25}","{""cn_0"": 0.18333333333333332, ""cn_1"": 0.14444444444444443, ""cn_2_3"": 0.37222222222222223, ""cn_4_8"": 0.28888888888888886, ""cn_9_plus"": 0.011111111111111112}",2.6666666666666665,58.05,uniform_random_edges_size_matched_to_sasb,f072d53abb835acbf3059e7b035a3f1062d58b1af371d13e274101dd6e03282f,180,5bcd7e1954ae40e5f264e619c95de8394b62b92be3aeac6d9ac861367c9fb771,"{""random_size_matched"": 180}",0,0,0,0,{},0.4685185185185185,"{""common_neighbor_bin_l1"": 0.3111111111111111, ""degree_product_bin_l1"": 0.9888888888888888, ""is_boundary_edge_l1"": 0.5888888888888889, ""is_bridge_edge_l1"": 0.03333333333333327, ""is_inter_community_edge_l1"": 0.5888888888888889, ""is_low_common_neighbor_edge_l1"": 0.30000000000000004, ""mean_l1"": 0.4685185185185185}",1,32,32,33127.76033818611,0
realworld_completed,ca_netscience,Random-size-matched-candidate,random_size_matched,SASB-structured,20260513,2,early,1.0,1.0,0.0,1,1,0,0.002188183807439825,0.0032822757111597373,147,313,147--313,14,27,14,27,378,4,0.3076923076923077,1,4,0,32,"[""313"", ""147"", ""168"", ""8"", ""223"", ""46"", ""325"", ""246"", ""342"", ""326"", ""77"", ""315"", ""57"", ""345"", ""373"", ""16"", ""235"", ""114"", ""113"", ""128"", ""227"", ""346"", ""378"", ""365"", ""56"", ""32"", ""261"", ""322"", ""142"", ""265"", ""225"", ""102""]",ebd3e6def266a6533e0f2bc88249fb1c060c5952d6a78b0d2fdd2dbddbef6214,"{""boundary"": 12, ""community_rep"": 6, ""degree_core"": 10, ""random_fill"": 4}","{""degree_2"": 3, ""degree_3_4"": 1, ""degree_5_8"": 4, ""degree_9_plus"": 24}","{""0"": 4, ""1"": 1, ""10"": 3, ""11"": 2, ""12"": 2, ""13"": 1, ""14"": 1, ""15"": 4, ""16"": 1, ""17"": 5, ""2"": 1, ""3"": 2, ""4"": 1, ""5"": 1, ""6"": 1, ""7"": 1, ""8"": 1}",180,"{""backend"": ""evaluate_m19_theory_calibrated.candidate_features"", ""delta_mode"": ""none"", ""k_max"": 512, ""k_min"": 64, ""variant"": ""conservative""}",180,0.19736842105263158,0.08888888888888889,0.08888888888888889,0.05,0.3388888888888889,"{""dp_0_4"": 0.022222222222222223, ""dp_17_64"": 0.49444444444444446, ""dp_257_plus"": 0.027777777777777776, ""dp_5_16"": 0.19444444444444445, ""dp_65_256"": 0.2611111111111111}","{""cn_0"": 0.22777777777777777, ""cn_1"": 0.1111111111111111, ""cn_2_3"": 0.3888888888888889, ""cn_4_8"": 0.2611111111111111, ""cn_9_plus"": 0.011111111111111112}",2.6,63.327777777777776,uniform_random_edges_size_matched_to_sasb,cd68eb15ce970c43ed867b54b18d1045ca2bcfdeee7640e7bc00e7c97c289e8f,180,41a335d133358539def429768f3a385f24e8e600e700be6de6b21a410a01d8a3,"{""random_size_matched"": 180}",0,0,0,0,{},0.4481481481481482,"{""common_neighbor_bin_l1"": 0.33333333333333337, ""degree_product_bin_l1"": 0.9222222222222222, ""is_boundary_edge_l1"": 0.5444444444444445, ""is_bridge_edge_l1"": 0.022222222222222296, ""is_inter_community_edge_l1"": 0.5444444444444445, ""is_low_common_neighbor_edge_l1"": 0.3222222222222222, ""mean_l1"": 0.4481481481481482}",1,32,32,23962.491195436512,0
realworld_completed,ca_netscience,Random-size-matched-candidate,random_size_matched,SASB-structured,20260513,3,early,1.0,1.0,0.0,1,1,0,0.0032822757111597373,0.00437636761487965,168,346,168--346,27,12,12,27,324,0,0.0,1,7,9,32,"[""313"", ""168"", ""147"", ""8"", ""223"", ""46"", ""325"", ""246"", ""342"", ""326"", ""77"", ""315"", ""57"", ""345"", ""373"", ""16"", ""235"", ""114"", ""113"", ""128"", ""227"", ""346"", ""378"", ""365"", ""56"", ""32"", ""261"", ""322"", ""252"", ""40"", ""49"", ""110""]",94bd3271bb42bc396df07480c1e7ad2ee1f93d5cbf0aa9912417ecb8ef5e3ebc,"{""boundary"": 12, ""community_rep"": 6, ""degree_core"": 10, ""random_fill"": 4}","{""degree_3_4"": 2, ""degree_5_8"": 5, ""degree_9_plus"": 25}","{""0"": 4, ""1"": 2, ""10"": 1, ""11"": 1, ""12"": 2, ""13"": 1, ""14"": 1, ""15"": 4, ""16"": 2, ""17"": 5, ""2"": 1, ""3"": 1, ""4"": 2, ""5"": 2, ""6"": 1, ""7"": 1, ""8"": 1}",180,"{""backend"": ""evaluate_m19_theory_calibrated.candidate_features"", ""delta_mode"": ""none"", ""k_max"": 512, ""k_min"": 64, ""variant"": ""conservative""}",180,0.19758507135016465,0.06111111111111111,0.06111111111111111,0.03888888888888889,0.35,"{""dp_0_4"": 0.027777777777777776, ""dp_17_64"": 0.5055555555555555, ""dp_257_plus"": 0.016666666666666666, ""dp_5_16"": 0.18888888888888888, ""dp_65_256"": 0.2611111111111111}","{""cn_0"": 0.2222222222222222, ""cn_1"": 0.12777777777777777, ""cn_2_3"": 0.3611111111111111, ""cn_4_8"": 0.28888888888888886}",2.438888888888889,55.1,uniform_random_edges_size_matched_to_sasb,0c6779b94fff4dab54133d363116e7de6f80eda222c89eb2d64cae10915680c1,180,cdacbff01b7588abde3a5d9d3f694e31f949c95f9ca061c84bb91a4fdea18ff7,"{""random_size_matched"": 180}",0,0,0,0,{},0.4611111111111111,"{""common_neighbor_bin_l1"": 0.3444444444444445, ""degree_product_bin_l1"": 0.9333333333333333, ""is_boundary_edge_l1"": 0.5888888888888888, ""is_bridge_edge_l1"": 0.0, ""is_inter_community_edge_l1"": 0.5888888888888888, ""is_low_common_neighbor_edge_l1"": 0.3111111111111111, ""mean_l1"": 0.4611111111111111}",1,32,32,14356.013141427826,0
realworld_completed,ca_netscience,Random-size-matched-candidate,random_size_matched,SASB-structured,20260513,4,early,1.0,1.0,0.0,1,1,0,0.00437636761487965,0.005470459518599562,0,16,0--16,10,15,10,15,150,2,0.2222222222222222,1,0,1,32,"[""313"", ""147"", ""8"", ""223"", ""168"", ""46"", ""325"", ""246"", ""342"", ""326"", ""77"", ""315"", ""57"", ""345"", ""373"", ""16"", ""235"", ""114"", ""113"", ""128"", ""227"", ""36"", ""346"", ""378"", ""365"", ""56"", ""32"", ""261"", ""364"", ""125"", ""79"", ""24""]",ac637d73d34fe7d7578157040be505e31377b5f22f73b013a77d388493cb49ff,"{""boundary"": 12, ""community_rep"": 6, ""degree_core"": 10, ""random_fill"": 4}","{""degree_5_8"": 6, ""degree_9_plus"": 26}","{""0"": 5, ""1"": 2, ""10"": 1, ""11"": 1, ""12"": 3, ""13"": 1, ""15"": 5, ""16"": 2, ""17"": 5, ""2"": 1, ""3"": 1, ""4"": 1, ""5"": 1, ""6"": 1, ""7"": 1, ""8"": 1}",180,"{""backend"": ""evaluate_m19_theory_calibrated.candidate_features"", ""delta_mode"": ""none"", ""k_max"": 512, ""k_min"": 64, ""variant"": ""conservative""}",180,0.1978021978021978,0.05555555555555555,0.05555555555555555,0.016666666666666666,0.35,"{""dp_0_4"": 0.016666666666666666, ""dp_17_64"": 0.5666666666666667, ""dp_257_plus"": 0.022222222222222223, ""dp_5_16"": 0.16111111111111112, ""dp_65_256"": 0.23333333333333334}","{""cn_0"": 0.18888888888888888, ""cn_1"": 0.16111111111111112, ""cn_2_3"": 0.37222222222222223, ""cn_4_8"": 0.2722222222222222, ""cn_9_plus"": 0.005555555555555556}",2.5722222222222224,57.666666666666664,uniform_random_edges_size_matched_to_sasb,934da2b4772318fe833a027a5c34482b0294bcc9957e18ce96e6999c14696e33,180,cacc1c511465954c6e244c708e83515e7d536d4868f4c362cc9c7d4ea73e9b7c,"{""random_size_matched"": 180}",0,0,0,0,{},0.47222222222222215,"{""common_neighbor_bin_l1"": 0.32222222222222224, ""degree_product_bin_l1"": 0.9777777777777777, ""is_boundary_edge_l1"": 0.5888888888888888, ""is_bridge_edge_l1"": 0.055555555555555455, ""is_inter_community_edge_l1"": 0.5888888888888888, ""is_low_common_neighbor_edge_l1"": 0.30000000000000004, ""mean_l1"": 0.47222222222222215}",1,32,32,19392.88658088235,0
realworld_completed,ca_netscience,Random-size-matched-candidate,random_size_matched,SASB-structured,20260513,5,early,1.0,1.0,0.0,1,1,0,0.005470459518599562,0.006564551422319475,168,373,168--373,26,16,16,26,416,0,0.0,1,7,11,32,"[""313"", ""147"", ""8"", ""223"", ""168"", ""46"", ""325"", ""246"", ""342"", ""326"", ""77"", ""315"", ""57"", ""345"", ""373"", ""235"", ""114"", ""16"", ""113"", ""128"", ""227"", ""36"", ""346"", ""378"", ""365"", ""56"", ""32"", ""261"", ""89"", ""371"", ""24"", ""44""]",7b697d52343285fa78e6127f34bf27190f6e1708d3a75b0560c464dd3677ed93,"{""boundary"": 12, ""community_rep"": 6, ""degree_core"": 10, ""random_fill"": 4}","{""degree_0_1"": 1, ""degree_2"": 1, ""degree_5_8"": 4, ""degree_9_plus"": 26}","{""0"": 5, ""1"": 2, ""10"": 1, ""11"": 3, ""12"": 2, ""13"": 1, ""15"": 4, ""16"": 1, ""17"": 5, ""2"": 1, ""3"": 2, ""4"": 1, ""5"": 1, ""6"": 1, ""7"": 1, ""8"": 1}",180,"{""backend"": ""evaluate_m19_theory_calibrated.candidate_features"", ""delta_mode"": ""none"", ""k_max"": 512, ""k_min"": 64, ""variant"": ""conservative""}",180,0.19801980198019803,0.07222222222222222,0.07222222222222222,0.027777777777777776,0.3388888888888889,"{""dp_0_4"": 0.016666666666666666, ""dp_17_64"": 0.5444444444444444, ""dp_257_plus"": 0.016666666666666666, ""dp_5_16"": 0.17222222222222222, ""dp_65_256"": 0.25}","{""cn_0"": 0.19444444444444445, ""cn_1"": 0.14444444444444443, ""cn_2_3"": 0.35555555555555557, ""cn_4_8"": 0.3055555555555556}",2.5388888888888888,55.82222222222222,uniform_random_edges_size_matched_to_sasb,dc686a5db976c4702971b1ab3849a0b985aef2fc0bd51e3893102cdfc55ef425,180,0851a3fff5a83bfc476cb2febfb5516935e4143674d6f646885b2a6eb58e3d31,"{""random_size_matched"": 180}",0,0,0,0,{},0.4666666666666666,"{""common_neighbor_bin_l1"": 0.3777777777777778, ""degree_product_bin_l1"": 0.9555555555555555, ""is_boundary_edge_l1"": 0.5444444444444445, ""is_bridge_edge_l1"": 0.03333333333333328, ""is_inter_community_edge_l1"": 0.5444444444444445, ""is_low_common_neighbor_edge_l1"": 0.3444444444444444, ""mean_l1"": 0.4666666666666666}",1,32,32,22860.987081148014,0
realworld_completed,ca_netscience,Random-size-matched-candidate,random_size_matched,SASB-structured,20260513,6,early,1.0,1.0,0.0,1,1,0,0.006564551422319475,0.007658643326039387,317,341,317--341,4,6,4,6,24,0,0.0,1,0,5,32,"[""313"", ""147"", ""8"", ""223"", ""46"", ""325"", ""246"", ""168"", ""342"", ""326"", ""77"", ""315"", ""57"", ""345"", ""235"", ""373"", ""114"", ""16"", ""113"", ""128"", ""227"", ""36"", ""346"", ""378"", ""365"", ""56"", ""32"", ""261"", ""265"", ""163"", ""269"", ""112""]",2ac51f4679996688a9c23e8c63f7fd54befe4e9d66b38339b8fe65fa46c1decf,"{""boundary"": 12, ""community_rep"": 6, ""degree_core"": 10, ""random_fill"": 4}","{""degree_2"": 3, ""degree_5_8"": 4, ""degree_9_plus"": 25}","{""0"": 5, ""1"": 2, ""10"": 1, ""11"": 2, ""12"": 2, ""13"": 1, ""15"": 4, ""16"": 1, ""17"": 5, ""2"": 2, ""3"": 1, ""4"": 2, ""5"": 1, ""6"": 1, ""7"": 1, ""8"": 1}",179,"{""backend"": ""evaluate_m19_theory_calibrated.candidate_features"", ""delta_mode"": ""none"", ""k_max"": 512, ""k_min"": 64, ""variant"": ""conservative""}",179,0.197136563876652,0.07262569832402235,0.07262569832402235,0.027932960893854747,0.36312849162011174,"{""dp_0_4"": 0.0111731843575419, ""dp_17_64"": 0.5642458100558659, ""dp_257_plus"": 0.027932960893854747, ""dp_5_16"": 0.18994413407821228, ""dp_65_256"": 0.20670391061452514}","{""cn_0"": 0.24581005586592178, ""cn_1"": 0.11731843575418995, ""cn_2_3"": 0.37988826815642457, ""cn_4_8"": 0.2569832402234637}",2.2960893854748603,54.910614525139664,uniform_random_edges_size_matched_to_sasb,5439b84fb27aee0c9e091b497e52704c4275a984dc15c0598be42297b4f519b6,179,65ef83062aeed8f2cfb445d065a4e06c60ca77004bf5a89ebe5beb385e174165,"{""random_size_matched"": 179}",0,0,0,0,{},0.4562383612662943,"{""common_neighbor_bin_l1"": 0.32402234636871513, ""degree_product_bin_l1"": 1.016759776536313, ""is_boundary_edge_l1"": 0.5363128491620112, ""is_bridge_edge_l1"": 0.03351955307262563, ""is_inter_community_edge_l1"": 0.5363128491620112, ""is_low_common_neighbor_edge_l1"": 0.29050279329608936, ""mean_l1"": 0.4562383612662943}",1,32,32,43834.369768426026,0
realworld_completed,ca_netscience,Random-size-matched-candidate,random_size_matched,SASB-structured,20260513,7,early,1.0,1.0,0.0,1,1,0,0.007658643326039387,0.0087527352297593,113,135,113--135,12,11,11,12,132,3,0.3,0,8,8,32,"[""313"", ""147"", ""8"", ""223"", ""46"", ""325"", ""246"", ""168"", ""342"", ""326"", ""77"", ""315"", ""57"", ""345"", ""235"", ""373"", ""114"", ""16"", ""113"", ""128"", ""227"", ""36"", ""346"", ""378"", ""365"", ""56"", ""32"", ""261"", ""124"", ""209"", ""297"", ""166""]",3ee8016cbee074279eb876450a1c7d6b6efd939ed712fd5813895ff4b70ebb60,"{""boundary"": 12, ""community_rep"": 6, ""degree_core"": 10, ""random_fill"": 4}","{""degree_2"": 1, ""degree_3_4"": 3, ""degree_5_8"": 3, ""degree_9_plus"": 25}","{""0"": 5, ""1"": 2, ""10"": 1, ""11"": 1, ""12"": 2, ""13"": 1, ""15"": 4, ""16"": 1, ""17"": 5, ""2"": 1, ""3"": 3, ""4"": 1, ""5"": 1, ""6"": 2, ""7"": 1, ""8"": 1}",179,"{""backend"": ""evaluate_m19_theory_calibrated.candidate_features"", ""delta_mode"": ""none"", ""k_max"": 512, ""k_min"": 64, ""variant"": ""conservative""}",179,0.19735391400220506,0.055865921787709494,0.055865921787709494,0.0446927374301676,0.35195530726256985,"{""dp_0_4"": 0.027932960893854747, ""dp_17_64"": 0.5307262569832403, ""dp_257_plus"": 0.027932960893854747, ""dp_5_16"": 0.15083798882681565, ""dp_65_256"": 0.26256983240223464}","{""cn_0"": 0.19553072625698323, ""cn_1"": 0.1564245810055866, ""cn_2_3"": 0.35195530726256985, ""cn_4_8"": 0.2849162011173184, ""cn_9_plus"": 0.0111731843575419}",2.6927374301675977,62.659217877094974,uniform_random_edges_size_matched_to_sasb,0d28f0f3bb19cc495e274af81b0c0db46d03c6945c52999baa30a1a386ffbd87,179,1c783cce2389746a644d2ddd32584124f3a0d31f8893b1f63622f4153743c3f1,"{""random_size_matched"": 179}",0,0,0,0,{},0.4432029795158286,"{""common_neighbor_bin_l1"": 0.32402234636871513, ""degree_product_bin_l1"": 0.9050279329608939, ""is_boundary_edge_l1"": 0.5586592178770948, ""is_bridge_edge_l1"": 0.0, ""is_inter_community_edge_l1"": 0.5586592178770948, ""is_low_common_neighbor_edge_l1"": 0.31284916201117313, ""mean_l1"": 0.4432029795158286}",1,32,32,30632.378906249996,0
realworld_completed,ca_netscience,Random-size-matched-candidate,random_size_matched,SASB-structured,20260513,8,early,1.0,1.0,0.0,1,1,0,0.0087527352297593,0.009846827133479213,135,146,135--146,10,10,10,10,100,2,0.2222222222222222,0,8,8,32,"[""313"", ""147"", ""8"", ""223"", ""46"", ""325"", ""246"", ""168"", ""342"", ""326"", ""77"", ""315"", ""57"", ""345"", ""235"", ""373"", ""114"", ""16"", ""128"", ""227"", ""36"", ""378"", ""113"", ""346"", ""365"", ""56"", ""32"", ""261"", ""301"", ""81"", ""85"", ""82""]",ad4e2f87445aa33fdea30fd8965c83483b9e90e50f5fb1802df26b5c1b40c628,"{""boundary"": 12, ""community_rep"": 6, ""degree_core"": 10, ""random_fill"": 4}","{""degree_3_4"": 2, ""degree_5_8"": 5, ""degree_9_plus"": 25}","{""0"": 5, ""1"": 3, ""10"": 1, ""11"": 1, ""12"": 2, ""13"": 1, ""15"": 4, ""16"": 2, ""17"": 5, ""2"": 1, ""3"": 1, ""4"": 2, ""5"": 1, ""6"": 1, ""7"": 1, ""8"": 1}",179,"{""backend"": ""evaluate_m19_theory_calibrated.candidate_features"", ""delta_mode"": ""none"", ""k_max"": 512, ""k_min"": 64, ""variant"": ""conservative""}",179,0.19757174392935983,0.055865921787709494,0.055865921787709494,0.0446927374301676,0.3407821229050279,"{""dp_0_4"": 0.0223463687150838, ""dp_17_64"": 0.6089385474860335, ""dp_257_plus"": 0.01675977653631285, ""dp_5_16"": 0.13966480446927373, ""dp_65_256"": 0.2122905027932961}","{""cn_0"": 0.2122905027932961, ""cn_1"": 0.12849162011173185, ""cn_2_3"": 0.3407821229050279, ""cn_4_8"": 0.31843575418994413}",2.625698324022346,54.80446927374302,uniform_random_edges_size_matched_to_sasb,ee717c2cb7ce63d908a4a4612647dde90707bed4cbe7993e656a1a80424d0043,179,7074500f1c0cbcf656d9c96a6d58418c12906533c21056f86a7586ba675965bd,"{""random_size_matched"": 179}",0,0,0,0,{},0.4767225325884543,"{""common_neighbor_bin_l1"": 0.37988826815642457, ""degree_product_bin_l1"": 1.0167597765363128, ""is_boundary_edge_l1"": 0.5586592178770948, ""is_bridge_edge_l1"": 0.0, ""is_inter_community_edge_l1"": 0.5586592178770948, ""is_low_common_neighbor_edge_l1"": 0.3463687150837989, ""mean_l1"": 0.4767225325884543}",1,32,32,58948.18864182692,0
realworld_completed,ca_netscience,Random-size-matched-candidate,random_size_matched,SASB-structured,20260513,9,early,1.0,1.0,0.0,1,1,0,0.009846827133479213,0.010940919037199124,0,313,0--313,9,26,9,26,234,4,0.5,0,0,0,32,"[""313"", ""147"", ""8"", ""223"", ""46"", ""325"", ""246"", ""168"", ""342"", ""326"", ""77"", ""315"", ""57"", ""345"", ""235"", ""373"", ""114"", ""16"", ""128"", ""227"", ""36"", ""378"", ""113"", ""346"", ""365"", ""56"", ""32"", ""261"", ""42"", ""13"", ""248"", ""74""]",71db788b6a1c7ba272d789f0ba7e65af6d082171d80f7288a9432670d212671e,"{""boundary"": 12, ""community_rep"": 6, ""degree_core"": 10, ""random_fill"": 4}","{""degree_2"": 1, ""degree_3_4"": 3, ""degree_5_8"": 3, ""degree_9_plus"": 25}","{""0"": 5, ""1"": 2, ""10"": 2, ""11"": 1, ""12"": 2, ""13"": 1, ""15"": 5, ""16"": 1, ""17"": 6, ""2"": 1, ""3"": 1, ""4"": 1, ""5"": 1, ""6"": 1, ""7"": 1, ""8"": 1}",179,"{""backend"": ""evaluate_m19_theory_calibrated.candidate_features"", ""delta_mode"": ""none"", ""k_max"": 512, ""k_min"": 64, ""variant"": ""conservative""}",179,0.19779005524861878,0.055865921787709494,0.055865921787709494,0.01675977653631285,0.3016759776536313,"{""dp_0_4"": 0.01675977653631285, ""dp_17_64"": 0.5195530726256983, ""dp_257_plus"": 0.05027932960893855, ""dp_5_16"": 0.16759776536312848, ""dp_65_256"": 0.24581005586592178}","{""cn_0"": 0.18435754189944134, ""cn_1"": 0.11731843575418995, ""cn_2_3"": 0.39106145251396646, ""cn_4_8"": 0.29608938547486036, ""cn_9_plus"": 0.0111731843575419}",2.804469273743017,70.98882681564245,uniform_random_edges_size_matched_to_sasb,4e78c766daa97f7c5c673f1d9366ce41217cd277e47027fd716f76223106c66c,179,bb35f79bf14000ef7b988e694553fba69425bf4c7b6965f336adc7f68e8b8771,"{""random_size_matched"": 179}",0,0,0,0,{},0.48789571694599615,"{""common_neighbor_bin_l1"": 0.44692737430167595, ""degree_product_bin_l1"": 0.8715083798882681, ""is_boundary_edge_l1"": 0.5586592178770948, ""is_bridge_edge_l1"": 0.05586592178770941, ""is_inter_community_edge_l1"": 0.5586592178770948, ""is_low_common_neighbor_edge_l1"": 0.435754189944134, ""mean_l1"": 0.48789571694599615}",1,32,32,25591.908346861466,0
