dataset,graph_id,graph_name,graph_type,community_strength,method,candidate_policy,source_policy,seed,step,removed_edges,remove_ratio,gcc_ratio,gcc_size
realworld_completed,ca_netscience,ca-netscience,collaboration,unknown,SASB-candidate,sasb,SASB-structured,20260513,0,0,0.0,1.0,379
realworld_completed,ca_netscience,ca-netscience,collaboration,unknown,SASB-candidate,sasb,SASB-structured,20260513,1,1,0.0010940919037199124,1.0,379
realworld_completed,ca_netscience,ca-netscience,collaboration,unknown,SASB-candidate,sasb,SASB-structured,20260513,2,2,0.002188183807439825,1.0,379
realworld_completed,ca_netscience,ca-netscience,collaboration,unknown,SASB-candidate,sasb,SASB-structured,20260513,3,3,0.0032822757111597373,1.0,379
realworld_completed,ca_netscience,ca-netscience,collaboration,unknown,SASB-candidate,sasb,SASB-structured,20260513,4,4,0.00437636761487965,1.0,379
realworld_completed,ca_netscience,ca-netscience,collaboration,unknown,SASB-candidate,sasb,SASB-structured,20260513,5,5,0.005470459518599562,0.5277044854881267,200
realworld_completed,ca_netscience,ca-netscience,collaboration,unknown,SASB-candidate,sasb,SASB-structured,20260513,6,6,0.006564551422319475,0.5277044854881267,200
realworld_completed,ca_netscience,ca-netscience,collaboration,unknown,SASB-candidate,sasb,SASB-structured,20260513,7,7,0.007658643326039387,0.5277044854881267,200
realworld_completed,ca_netscience,ca-netscience,collaboration,unknown,SASB-candidate,sasb,SASB-structured,20260513,8,8,0.0087527352297593,0.5277044854881267,200
realworld_completed,ca_netscience,ca-netscience,collaboration,unknown,SASB-candidate,sasb,SASB-structured,20260513,9,9,0.009846827133479213,0.5277044854881267,200
realworld_completed,ca_netscience,ca-netscience,collaboration,unknown,SASB-candidate,sasb,SASB-structured,20260513,10,10,0.010940919037199124,0.5277044854881267,200
realworld_completed,ca_netscience,ca-netscience,collaboration,unknown,SASB-candidate,sasb,SASB-structured,20260513,11,11,0.012035010940919038,0.5277044854881267,200
realworld_completed,ca_netscience,ca-netscience,collaboration,unknown,SASB-candidate,sasb,SASB-structured,20260513,12,12,0.01312910284463895,0.47229551451187335,179
realworld_completed,ca_netscience,ca-netscience,collaboration,unknown,SASB-candidate,sasb,SASB-structured,20260513,13,13,0.014223194748358862,0.47229551451187335,179
realworld_completed,ca_netscience,ca-netscience,collaboration,unknown,SASB-candidate,sasb,SASB-structured,20260513,14,14,0.015317286652078774,0.47229551451187335,179
realworld_completed,ca_netscience,ca-netscience,collaboration,unknown,SASB-candidate,sasb,SASB-structured,20260513,15,15,0.016411378555798686,0.47229551451187335,179
realworld_completed,ca_netscience,ca-netscience,collaboration,unknown,SASB-candidate,sasb,SASB-structured,20260513,16,16,0.0175054704595186,0.47229551451187335,179
realworld_completed,ca_netscience,ca-netscience,collaboration,unknown,SASB-candidate,sasb,SASB-structured,20260513,17,17,0.018599562363238512,0.47229551451187335,179
realworld_completed,ca_netscience,ca-netscience,collaboration,unknown,SASB-candidate,sasb,SASB-structured,20260513,18,18,0.019693654266958426,0.47229551451187335,179
realworld_completed,ca_netscience,ca-netscience,collaboration,unknown,SASB-candidate,sasb,SASB-structured,20260513,19,19,0.020787746170678335,0.47229551451187335,179
realworld_completed,ca_netscience,ca-netscience,collaboration,unknown,SASB-candidate,sasb,SASB-structured,20260513,20,20,0.02188183807439825,0.47229551451187335,179
realworld_completed,ca_netscience,ca-netscience,collaboration,unknown,SASB-candidate,sasb,SASB-structured,20260513,21,21,0.022975929978118162,0.47229551451187335,179
realworld_completed,ca_netscience,ca-netscience,collaboration,unknown,SASB-candidate,sasb,SASB-structured,20260513,22,22,0.024070021881838075,0.47229551451187335,179
realworld_completed,ca_netscience,ca-netscience,collaboration,unknown,SASB-candidate,sasb,SASB-structured,20260513,23,23,0.02516411378555799,0.47229551451187335,179
realworld_completed,ca_netscience,ca-netscience,collaboration,unknown,SASB-candidate,sasb,SASB-structured,20260513,24,24,0.0262582056892779,0.47229551451187335,179
realworld_completed,ca_netscience,ca-netscience,collaboration,unknown,SASB-candidate,sasb,SASB-structured,20260513,25,25,0.02735229759299781,0.39313984168865435,149
realworld_completed,ca_netscience,ca-netscience,collaboration,unknown,SASB-candidate,sasb,SASB-structured,20260513,26,26,0.028446389496717725,0.39313984168865435,149
realworld_completed,ca_netscience,ca-netscience,collaboration,unknown,SASB-candidate,sasb,SASB-structured,20260513,27,27,0.02954048140043764,0.39313984168865435,149
realworld_completed,ca_netscience,ca-netscience,collaboration,unknown,SASB-candidate,sasb,SASB-structured,20260513,28,28,0.030634573304157548,0.39313984168865435,149
realworld_completed,ca_netscience,ca-netscience,collaboration,unknown,SASB-candidate,sasb,SASB-structured,20260513,29,29,0.03172866520787746,0.37730870712401055,143
realworld_completed,ca_netscience,ca-netscience,collaboration,unknown,SASB-candidate,sasb,SASB-structured,20260513,30,30,0.03282275711159737,0.37730870712401055,143
realworld_completed,ca_netscience,ca-netscience,collaboration,unknown,SASB-candidate,sasb,SASB-structured,20260513,31,31,0.03391684901531729,0.31926121372031663,121
realworld_completed,ca_netscience,ca-netscience,collaboration,unknown,SASB-candidate,sasb,SASB-structured,20260513,32,32,0.0350109409190372,0.31926121372031663,121
realworld_completed,ca_netscience,ca-netscience,collaboration,unknown,SASB-candidate,sasb,SASB-structured,20260513,33,33,0.036105032822757115,0.31926121372031663,121
realworld_completed,ca_netscience,ca-netscience,collaboration,unknown,SASB-candidate,sasb,SASB-structured,20260513,34,34,0.037199124726477024,0.31926121372031663,121
realworld_completed,ca_netscience,ca-netscience,collaboration,unknown,SASB-candidate,sasb,SASB-structured,20260513,35,35,0.038293216630196934,0.31926121372031663,121
realworld_completed,ca_netscience,ca-netscience,collaboration,unknown,SASB-candidate,sasb,SASB-structured,20260513,36,36,0.03938730853391685,0.31926121372031663,121
realworld_completed,ca_netscience,ca-netscience,collaboration,unknown,SASB-candidate,sasb,SASB-structured,20260513,37,37,0.04048140043763676,0.31926121372031663,121
realworld_completed,ca_netscience,ca-netscience,collaboration,unknown,SASB-candidate,sasb,SASB-structured,20260513,38,38,0.04157549234135667,0.2638522427440633,100
realworld_completed,ca_netscience,ca-netscience,collaboration,unknown,SASB-candidate,sasb,SASB-structured,20260513,39,39,0.04266958424507659,0.2638522427440633,100
realworld_completed,ca_netscience,ca-netscience,collaboration,unknown,SASB-candidate,sasb,SASB-structured,20260513,40,40,0.0437636761487965,0.2638522427440633,100
realworld_completed,ca_netscience,ca-netscience,collaboration,unknown,SASB-candidate,sasb,SASB-structured,20260513,41,41,0.044857768052516414,0.24538258575197888,93
realworld_completed,ca_netscience,ca-netscience,collaboration,unknown,SASB-candidate,sasb,SASB-structured,20260513,42,42,0.045951859956236324,0.24538258575197888,93
realworld_completed,ca_netscience,ca-netscience,collaboration,unknown,SASB-candidate,sasb,SASB-structured,20260513,43,43,0.047045951859956234,0.24010554089709762,91
realworld_completed,ca_netscience,ca-netscience,collaboration,unknown,SASB-candidate,sasb,SASB-structured,20260513,44,44,0.04814004376367615,0.24010554089709762,91
realworld_completed,ca_netscience,ca-netscience,collaboration,unknown,SASB-candidate,sasb,SASB-structured,20260513,45,45,0.04923413566739606,0.24010554089709762,91
realworld_completed,ca_netscience,ca-netscience,collaboration,unknown,SASB-candidate,sasb,SASB-structured,20260513,46,46,0.05032822757111598,0.24010554089709762,91
realworld_completed,ca_netscience,ca-netscience,collaboration,unknown,SASB-candidate,sasb,SASB-structured,20260513,47,47,0.05142231947483589,0.24010554089709762,91
realworld_completed,ca_netscience,ca-netscience,collaboration,unknown,SASB-candidate,sasb,SASB-structured,20260513,48,48,0.0525164113785558,0.24010554089709762,91
realworld_completed,ca_netscience,ca-netscience,collaboration,unknown,SASB-candidate,sasb,SASB-structured,20260513,49,49,0.053610503282275714,0.20052770448548812,76
realworld_completed,ca_netscience,ca-netscience,collaboration,unknown,SASB-candidate,sasb,SASB-structured,20260513,50,50,0.05470459518599562,0.20052770448548812,76
realworld_completed,ca_netscience,ca-netscience,collaboration,unknown,SASB-candidate,sasb,SASB-structured,20260513,51,51,0.05579868708971553,0.20052770448548812,76
realworld_completed,ca_netscience,ca-netscience,collaboration,unknown,SASB-candidate,sasb,SASB-structured,20260513,52,52,0.05689277899343545,0.20052770448548812,76
realworld_completed,ca_netscience,ca-netscience,collaboration,unknown,SASB-candidate,sasb,SASB-structured,20260513,53,53,0.05798687089715536,0.20052770448548812,76
realworld_completed,ca_netscience,ca-netscience,collaboration,unknown,SASB-candidate,sasb,SASB-structured,20260513,54,54,0.05908096280087528,0.19525065963060687,74
realworld_completed,ca_netscience,ca-netscience,collaboration,unknown,SASB-candidate,sasb,SASB-structured,20260513,55,55,0.060175054704595186,0.19525065963060687,74
realworld_completed,ca_netscience,ca-netscience,collaboration,unknown,SASB-candidate,sasb,SASB-structured,20260513,56,56,0.061269146608315096,0.19525065963060687,74
realworld_completed,ca_netscience,ca-netscience,collaboration,unknown,SASB-candidate,sasb,SASB-structured,20260513,57,57,0.06236323851203501,0.19525065963060687,74
realworld_completed,ca_netscience,ca-netscience,collaboration,unknown,SASB-candidate,sasb,SASB-structured,20260513,58,58,0.06345733041575492,0.19525065963060687,74
realworld_completed,ca_netscience,ca-netscience,collaboration,unknown,SASB-candidate,sasb,SASB-structured,20260513,59,59,0.06455142231947483,0.19525065963060687,74
realworld_completed,ca_netscience,ca-netscience,collaboration,unknown,SASB-candidate,sasb,SASB-structured,20260513,60,60,0.06564551422319474,0.19525065963060687,74
realworld_completed,ca_netscience,ca-netscience,collaboration,unknown,SASB-candidate,sasb,SASB-structured,20260513,61,61,0.06673960612691467,0.19525065963060687,74
realworld_completed,ca_netscience,ca-netscience,collaboration,unknown,SASB-candidate,sasb,SASB-structured,20260513,62,62,0.06783369803063458,0.19525065963060687,74
realworld_completed,ca_netscience,ca-netscience,collaboration,unknown,SASB-candidate,sasb,SASB-structured,20260513,63,63,0.06892778993435449,0.19525065963060687,74
realworld_completed,ca_netscience,ca-netscience,collaboration,unknown,SASB-candidate,sasb,SASB-structured,20260513,64,64,0.0700218818380744,0.18469656992084432,70
realworld_completed,ca_netscience,ca-netscience,collaboration,unknown,SASB-candidate,sasb,SASB-structured,20260513,65,65,0.0711159737417943,0.18469656992084432,70
realworld_completed,ca_netscience,ca-netscience,collaboration,unknown,SASB-candidate,sasb,SASB-structured,20260513,66,66,0.07221006564551423,0.1662269129287599,63
realworld_completed,ca_netscience,ca-netscience,collaboration,unknown,SASB-candidate,sasb,SASB-structured,20260513,67,67,0.07330415754923414,0.1662269129287599,63
realworld_completed,ca_netscience,ca-netscience,collaboration,unknown,SASB-candidate,sasb,SASB-structured,20260513,68,68,0.07439824945295405,0.1662269129287599,63
realworld_completed,ca_netscience,ca-netscience,collaboration,unknown,SASB-candidate,sasb,SASB-structured,20260513,69,69,0.07549234135667396,0.1662269129287599,63
realworld_completed,ca_netscience,ca-netscience,collaboration,unknown,SASB-candidate,sasb,SASB-structured,20260513,70,70,0.07658643326039387,0.1662269129287599,63
realworld_completed,ca_netscience,ca-netscience,collaboration,unknown,SASB-candidate,sasb,SASB-structured,20260513,71,71,0.07768052516411379,0.1662269129287599,63
realworld_completed,ca_netscience,ca-netscience,collaboration,unknown,SASB-candidate,sasb,SASB-structured,20260513,72,72,0.0787746170678337,0.1662269129287599,63
realworld_completed,ca_netscience,ca-netscience,collaboration,unknown,SASB-candidate,sasb,SASB-structured,20260513,73,73,0.07986870897155361,0.14775725593667546,56
realworld_completed,ca_netscience,ca-netscience,collaboration,unknown,SASB-candidate,sasb,SASB-structured,20260513,74,74,0.08096280087527352,0.14775725593667546,56
realworld_completed,ca_netscience,ca-netscience,collaboration,unknown,SASB-candidate,sasb,SASB-structured,20260513,75,75,0.08205689277899343,0.14775725593667546,56
realworld_completed,ca_netscience,ca-netscience,collaboration,unknown,SASB-candidate,sasb,SASB-structured,20260513,76,76,0.08315098468271334,0.14775725593667546,56
