dataset,graph_id,method,candidate_policy,source_policy,seed,step,attack_phase,gcc_before,gcc_after,delta_gcc,num_components_before,num_components_after,is_bridge_before_removal,remove_ratio_before,remove_ratio_after,edge_u,edge_v,selected_edge,degree_u,degree_v,degree_min,degree_max,degree_product,common_neighbors,edge_embeddedness,is_inter_community_edge,community_u,community_v,source_count,source_nodes,source_node_hash,source_strata_counts,source_degree_bins,source_community_counts,adaptive_k,candidate_config,candidate_count,candidate_fraction,candidate_inter_community_ratio,candidate_boundary_ratio,candidate_bridge_ratio,candidate_low_cn_ratio,candidate_degree_product_distribution,candidate_common_neighbor_distribution,candidate_mean_common_neighbors,candidate_mean_degree_product,candidate_backend,candidate_hash,sasb_candidate_count_reference,sasb_candidate_hash_reference,match_mode_counts,strict_match_count,degree_only_match_count,community_only_match_count,fallback_count,fallback_reason,matched_feature_difference,matched_feature_difference_detail,candidate_count_equal_to_sasb,source_budget,true_source_traversal_count,sampled_betweenness_score,p2_degree_product_fallback
realworld_completed,ca_netscience,SASB-candidate,sasb,SASB-structured,20260513,0,early,1.0,1.0,0.0,1,1,0,0.0,0.0010940919037199124,168,373,168--373,27,17,17,27,459,0,0.0,1,7,11,32,"[""313"", ""147"", ""168"", ""325"", ""8"", ""223"", ""46"", ""246"", ""342"", ""326"", ""77"", ""315"", ""57"", ""345"", ""373"", ""16"", ""235"", ""114"", ""113"", ""128"", ""227"", ""346"", ""378"", ""365"", ""56"", ""32"", ""261"", ""322"", ""129"", ""249"", ""55"", ""337""]",a982535c6f0a7764b25bde0f073e4410f897da11bed70e94a4a47a1675e89d93,"{""boundary"": 12, ""community_rep"": 6, ""degree_core"": 10, ""random_fill"": 4}","{""degree_3_4"": 3, ""degree_5_8"": 5, ""degree_9_plus"": 24}","{""0"": 5, ""1"": 1, ""10"": 2, ""11"": 1, ""12"": 2, ""13"": 2, ""14"": 1, ""15"": 5, ""16"": 1, ""17"": 5, ""2"": 1, ""3"": 1, ""4"": 1, ""5"": 1, ""6"": 1, ""7"": 1, ""8"": 1}",180,"{""backend"": ""evaluate_m19_theory_calibrated.candidate_features"", ""delta_mode"": ""none"", ""k_max"": 512, ""k_min"": 64, ""variant"": ""conservative""}",180,0.19693654266958424,0.36666666666666664,0.36666666666666664,0.03888888888888889,0.48333333333333334,"{""dp_17_64"": 0.24444444444444444, ""dp_257_plus"": 0.13333333333333333, ""dp_65_256"": 0.6222222222222222}","{""cn_0"": 0.3333333333333333, ""cn_1"": 0.15, ""cn_2_3"": 0.3611111111111111, ""cn_4_8"": 0.1388888888888889, ""cn_9_plus"": 0.016666666666666666}",1.9166666666666667,145.45,sasb_candidate_builder,15b4dcb2f7181514e3886d4b3a59e4d8c5aa6b2ac0ea455c9029106fae93837d,180,15b4dcb2f7181514e3886d4b3a59e4d8c5aa6b2ac0ea455c9029106fae93837d,"{""sasb_builder"": 180}",0,0,0,0,{},0.0,"{""common_neighbor_bin_l1"": 0.0, ""degree_product_bin_l1"": 0.0, ""is_boundary_edge_l1"": 0.0, ""is_bridge_edge_l1"": 0.0, ""is_inter_community_edge_l1"": 0.0, ""is_low_common_neighbor_edge_l1"": 0.0, ""mean_l1"": 0.0}",1,32,32,34048.75651301823,0
realworld_completed,ca_netscience,SASB-candidate,sasb,SASB-structured,20260513,1,early,1.0,1.0,0.0,1,1,0,0.0010940919037199124,0.002188183807439825,317,341,317--341,4,6,4,6,24,0,0.0,1,0,5,32,"[""313"", ""147"", ""325"", ""8"", ""223"", ""168"", ""46"", ""246"", ""342"", ""326"", ""77"", ""315"", ""57"", ""345"", ""373"", ""16"", ""235"", ""114"", ""113"", ""128"", ""227"", ""346"", ""378"", ""365"", ""56"", ""32"", ""261"", ""322"", ""229"", ""150"", ""143"", ""347""]",ae00204ae46d29bce53696184605a761fefd3da5677bf4962c124fd68549174c,"{""boundary"": 12, ""community_rep"": 6, ""degree_core"": 10, ""random_fill"": 4}","{""degree_2"": 2, ""degree_3_4"": 1, ""degree_5_8"": 5, ""degree_9_plus"": 24}","{""0"": 4, ""1"": 1, ""10"": 1, ""11"": 1, ""12"": 2, ""13"": 1, ""14"": 1, ""15"": 5, ""16"": 2, ""17"": 5, ""2"": 1, ""3"": 2, ""4"": 1, ""5"": 1, ""6"": 1, ""7"": 2, ""8"": 1}",180,"{""backend"": ""evaluate_m19_theory_calibrated.candidate_features"", ""delta_mode"": ""none"", ""k_max"": 512, ""k_min"": 64, ""variant"": ""conservative""}",180,0.19715224534501644,0.3611111111111111,0.3611111111111111,0.03888888888888889,0.4777777777777778,"{""dp_17_64"": 0.24444444444444444, ""dp_257_plus"": 0.12777777777777777, ""dp_65_256"": 0.6277777777777778}","{""cn_0"": 0.3277777777777778, ""cn_1"": 0.15, ""cn_2_3"": 0.36666666666666664, ""cn_4_8"": 0.1388888888888889, ""cn_9_plus"": 0.016666666666666666}",1.9333333333333333,142.64444444444445,sasb_candidate_builder,5a98b4b4413e93d1617c2b0e0c3796fdeb1dcc6c1ccfc2087ca053e8dc193cfe,180,5a98b4b4413e93d1617c2b0e0c3796fdeb1dcc6c1ccfc2087ca053e8dc193cfe,"{""sasb_builder"": 180}",0,0,0,0,{},0.0,"{""common_neighbor_bin_l1"": 0.0, ""degree_product_bin_l1"": 0.0, ""is_boundary_edge_l1"": 0.0, ""is_bridge_edge_l1"": 0.0, ""is_inter_community_edge_l1"": 0.0, ""is_low_common_neighbor_edge_l1"": 0.0, ""mean_l1"": 0.0}",1,32,32,36028.800297619055,0
realworld_completed,ca_netscience,SASB-candidate,sasb,SASB-structured,20260513,2,early,1.0,1.0,0.0,1,1,0,0.002188183807439825,0.0032822757111597373,147,313,147--313,14,27,14,27,378,4,0.3076923076923077,1,4,0,32,"[""313"", ""147"", ""325"", ""8"", ""223"", ""168"", ""46"", ""246"", ""342"", ""326"", ""77"", ""315"", ""57"", ""345"", ""373"", ""16"", ""235"", ""114"", ""113"", ""128"", ""227"", ""346"", ""378"", ""365"", ""56"", ""32"", ""261"", ""322"", ""142"", ""265"", ""225"", ""102""]",ab08c2ca1e2b85a98a6a396e5c5410d28cb91657d2390a87aa167b3538c59c2f,"{""boundary"": 12, ""community_rep"": 6, ""degree_core"": 10, ""random_fill"": 4}","{""degree_2"": 3, ""degree_3_4"": 1, ""degree_5_8"": 4, ""degree_9_plus"": 24}","{""0"": 4, ""1"": 1, ""10"": 3, ""11"": 2, ""12"": 2, ""13"": 1, ""14"": 1, ""15"": 4, ""16"": 1, ""17"": 5, ""2"": 1, ""3"": 2, ""4"": 1, ""5"": 1, ""6"": 1, ""7"": 1, ""8"": 1}",180,"{""backend"": ""evaluate_m19_theory_calibrated.candidate_features"", ""delta_mode"": ""none"", ""k_max"": 512, ""k_min"": 64, ""variant"": ""conservative""}",180,0.19736842105263158,0.35555555555555557,0.35555555555555557,0.03888888888888889,0.4722222222222222,"{""dp_17_64"": 0.24444444444444444, ""dp_257_plus"": 0.12777777777777777, ""dp_65_256"": 0.6277777777777778}","{""cn_0"": 0.32222222222222224, ""cn_1"": 0.15, ""cn_2_3"": 0.37222222222222223, ""cn_4_8"": 0.1388888888888889, ""cn_9_plus"": 0.016666666666666666}",1.9444444444444444,142.5222222222222,sasb_candidate_builder,d18edb9d3b0e2d09a6557cce2585894ff6b45a0871fff7e2a3da8a80369bcd08,180,d18edb9d3b0e2d09a6557cce2585894ff6b45a0871fff7e2a3da8a80369bcd08,"{""sasb_builder"": 180}",0,0,0,0,{},0.0,"{""common_neighbor_bin_l1"": 0.0, ""degree_product_bin_l1"": 0.0, ""is_boundary_edge_l1"": 0.0, ""is_bridge_edge_l1"": 0.0, ""is_inter_community_edge_l1"": 0.0, ""is_low_common_neighbor_edge_l1"": 0.0, ""mean_l1"": 0.0}",1,32,32,51266.85624999998,0
realworld_completed,ca_netscience,SASB-candidate,sasb,SASB-structured,20260513,3,early,1.0,1.0,0.0,1,1,0,0.0032822757111597373,0.00437636761487965,147,148,147--148,13,5,5,13,65,1,0.25,1,4,8,32,"[""313"", ""325"", ""147"", ""8"", ""223"", ""168"", ""46"", ""246"", ""342"", ""326"", ""77"", ""315"", ""57"", ""345"", ""373"", ""16"", ""235"", ""114"", ""113"", ""128"", ""227"", ""346"", ""378"", ""365"", ""56"", ""32"", ""261"", ""322"", ""252"", ""40"", ""49"", ""110""]",5e6a64b6f581a0801aa346aab111ba742faac4d82bbe99c861937fcc85586861,"{""boundary"": 12, ""community_rep"": 6, ""degree_core"": 10, ""random_fill"": 4}","{""degree_3_4"": 2, ""degree_5_8"": 5, ""degree_9_plus"": 25}","{""0"": 4, ""1"": 2, ""10"": 1, ""11"": 1, ""12"": 2, ""13"": 1, ""14"": 1, ""15"": 4, ""16"": 2, ""17"": 5, ""2"": 1, ""3"": 1, ""4"": 2, ""5"": 2, ""6"": 1, ""7"": 1, ""8"": 1}",180,"{""backend"": ""evaluate_m19_theory_calibrated.candidate_features"", ""delta_mode"": ""none"", ""k_max"": 512, ""k_min"": 64, ""variant"": ""conservative""}",180,0.19758507135016465,0.35,0.35,0.03888888888888889,0.4777777777777778,"{""dp_17_64"": 0.25, ""dp_257_plus"": 0.12222222222222222, ""dp_65_256"": 0.6277777777777778}","{""cn_0"": 0.3333333333333333, ""cn_1"": 0.14444444444444443, ""cn_2_3"": 0.37222222222222223, ""cn_4_8"": 0.13333333333333333, ""cn_9_plus"": 0.016666666666666666}",1.9,139.1611111111111,sasb_candidate_builder,8f1f1e4c2f1359b7817325e02f8fc357b00018e130b753415fbb49123cb9a6cf,180,8f1f1e4c2f1359b7817325e02f8fc357b00018e130b753415fbb49123cb9a6cf,"{""sasb_builder"": 180}",0,0,0,0,{},0.0,"{""common_neighbor_bin_l1"": 0.0, ""degree_product_bin_l1"": 0.0, ""is_boundary_edge_l1"": 0.0, ""is_bridge_edge_l1"": 0.0, ""is_inter_community_edge_l1"": 0.0, ""is_low_common_neighbor_edge_l1"": 0.0, ""mean_l1"": 0.0}",1,32,32,35910.25,0
realworld_completed,ca_netscience,SASB-candidate,sasb,SASB-structured,20260513,4,early,1.0,0.5277044854881267,0.47229551451187335,1,2,1,0.00437636761487965,0.005470459518599562,147,149,147--149,12,5,5,12,60,0,0.0,1,4,8,32,"[""313"", ""325"", ""8"", ""223"", ""168"", ""46"", ""147"", ""246"", ""342"", ""326"", ""77"", ""315"", ""57"", ""345"", ""373"", ""16"", ""235"", ""114"", ""113"", ""128"", ""227"", ""346"", ""378"", ""365"", ""56"", ""32"", ""261"", ""322"", ""364"", ""125"", ""79"", ""24""]",4a4417303de00aa59e4b7597b6307460779f83a86f54df54f57acaf28163b844,"{""boundary"": 12, ""community_rep"": 6, ""degree_core"": 10, ""random_fill"": 4}","{""degree_5_8"": 7, ""degree_9_plus"": 25}","{""0"": 5, ""1"": 1, ""10"": 1, ""11"": 1, ""12"": 3, ""13"": 1, ""14"": 1, ""15"": 5, ""16"": 2, ""17"": 5, ""2"": 1, ""3"": 1, ""4"": 1, ""5"": 1, ""6"": 1, ""7"": 1, ""8"": 1}",180,"{""backend"": ""evaluate_m19_theory_calibrated.candidate_features"", ""delta_mode"": ""none"", ""k_max"": 512, ""k_min"": 64, ""variant"": ""conservative""}",180,0.1978021978021978,0.34444444444444444,0.34444444444444444,0.044444444444444446,0.4722222222222222,"{""dp_17_64"": 0.2611111111111111, ""dp_257_plus"": 0.12222222222222222, ""dp_65_256"": 0.6166666666666667}","{""cn_0"": 0.3388888888888889, ""cn_1"": 0.13333333333333333, ""cn_2_3"": 0.37777777777777777, ""cn_4_8"": 0.13333333333333333, ""cn_9_plus"": 0.016666666666666666}",1.9,138.9388888888889,sasb_candidate_builder,ecfefece2ad538ada82be075707d453dec5429dcb92d3e6f23ab134ac72df0a9,180,ecfefece2ad538ada82be075707d453dec5429dcb92d3e6f23ab134ac72df0a9,"{""sasb_builder"": 180}",0,0,0,0,{},0.0,"{""common_neighbor_bin_l1"": 0.0, ""degree_product_bin_l1"": 0.0, ""is_boundary_edge_l1"": 0.0, ""is_bridge_edge_l1"": 0.0, ""is_inter_community_edge_l1"": 0.0, ""is_low_common_neighbor_edge_l1"": 0.0, ""mean_l1"": 0.0}",1,32,32,71820.5,0
realworld_completed,ca_netscience,SASB-candidate,sasb,SASB-structured,20260513,5,early,0.5277044854881267,0.5277044854881267,0.0,2,2,0,0.005470459518599562,0.006564551422319475,147,168,147--168,11,26,11,26,286,2,0.2,1,8,13,32,"[""313"", ""168"", ""223"", ""36"", ""46"", ""16"", ""346"", ""147"", ""0"", ""162"", ""152"", ""340"", ""57"", ""114"", ""362"", ""363"", ""365"", ""318"", ""24"", ""312"", ""360"", ""40"", ""334"", ""32"", ""261"", ""95"", ""52"", ""304"", ""156"", ""249"", ""173"", ""259""]",dfb75275a6c7200a5546c1e93ddac4e858bd9fa64727b362ad5ed68790e2ee03,"{""boundary"": 12, ""community_rep"": 5, ""degree_core"": 10, ""random_fill"": 5}","{""degree_2"": 1, ""degree_3_4"": 4, ""degree_5_8"": 6, ""degree_9_plus"": 21}","{""0"": 1, ""1"": 9, ""10"": 2, ""11"": 1, ""12"": 4, ""13"": 2, ""2"": 1, ""3"": 1, ""4"": 1, ""5"": 2, ""6"": 1, ""7"": 1, ""8"": 4, ""9"": 2}",118,"{""backend"": ""evaluate_m19_theory_calibrated.candidate_features"", ""delta_mode"": ""none"", ""k_max"": 512, ""k_min"": 64, ""variant"": ""conservative""}",118,0.2383838383838384,0.4322033898305085,0.4322033898305085,0.05084745762711865,0.5423728813559322,"{""dp_17_64"": 0.2627118644067797, ""dp_257_plus"": 0.1694915254237288, ""dp_5_16"": 0.00847457627118644, ""dp_65_256"": 0.559322033898305}","{""cn_0"": 0.3728813559322034, ""cn_1"": 0.1694915254237288, ""cn_2_3"": 0.3050847457627119, ""cn_4_8"": 0.1271186440677966, ""cn_9_plus"": 0.025423728813559324}",1.7627118644067796,148.46610169491527,sasb_candidate_builder,d51326dc64380396ee8a1213269b71596f6ef01f11fdd2b9dbe3df43b7a75fd3,118,d51326dc64380396ee8a1213269b71596f6ef01f11fdd2b9dbe3df43b7a75fd3,"{""sasb_builder"": 118}",0,0,0,0,{},0.0,"{""common_neighbor_bin_l1"": 0.0, ""degree_product_bin_l1"": 0.0, ""is_boundary_edge_l1"": 0.0, ""is_bridge_edge_l1"": 0.0, ""is_inter_community_edge_l1"": 0.0, ""is_low_common_neighbor_edge_l1"": 0.0, ""mean_l1"": 0.0}",1,32,32,10595.45906739889,0
realworld_completed,ca_netscience,SASB-candidate,sasb,SASB-structured,20260513,6,early,0.5277044854881267,0.5277044854881267,0.0,2,2,0,0.006564551422319475,0.007658643326039387,168,346,168--346,25,12,12,25,300,0,0.0,1,8,11,32,"[""313"", ""168"", ""223"", ""36"", ""46"", ""16"", ""346"", ""0"", ""162"", ""147"", ""152"", ""340"", ""57"", ""114"", ""362"", ""363"", ""365"", ""318"", ""24"", ""312"", ""360"", ""40"", ""334"", ""32"", ""261"", ""95"", ""52"", ""282"", ""41"", ""237"", ""97"", ""287""]",50ab98ac5eda4c9e3e4827ee7bf0fb1a3a5208d97e9acf6220749af6e79feff7,"{""boundary"": 12, ""community_rep"": 5, ""degree_core"": 10, ""random_fill"": 5}","{""degree_2"": 2, ""degree_3_4"": 3, ""degree_5_8"": 6, ""degree_9_plus"": 21}","{""0"": 1, ""1"": 7, ""10"": 2, ""11"": 1, ""12"": 4, ""13"": 1, ""2"": 1, ""3"": 2, ""4"": 2, ""5"": 1, ""6"": 1, ""7"": 1, ""8"": 3, ""9"": 5}",118,"{""backend"": ""evaluate_m19_theory_calibrated.candidate_features"", ""delta_mode"": ""none"", ""k_max"": 512, ""k_min"": 64, ""variant"": ""conservative""}",118,0.2388663967611336,0.423728813559322,0.423728813559322,0.0423728813559322,0.5338983050847458,"{""dp_17_64"": 0.2457627118644068, ""dp_257_plus"": 0.16101694915254236, ""dp_5_16"": 0.00847457627118644, ""dp_65_256"": 0.5847457627118644}","{""cn_0"": 0.3898305084745763, ""cn_1"": 0.1440677966101695, ""cn_2_3"": 0.2966101694915254, ""cn_4_8"": 0.1440677966101695, ""cn_9_plus"": 0.025423728813559324}",1.847457627118644,148.96610169491527,sasb_candidate_builder,734ab92e1bf7cbb3c8f7d18ad15ba887a639bf75e46709a4ba5a347cabe746a2,118,734ab92e1bf7cbb3c8f7d18ad15ba887a639bf75e46709a4ba5a347cabe746a2,"{""sasb_builder"": 118}",0,0,0,0,{},0.0,"{""common_neighbor_bin_l1"": 0.0, ""degree_product_bin_l1"": 0.0, ""is_boundary_edge_l1"": 0.0, ""is_bridge_edge_l1"": 0.0, ""is_inter_community_edge_l1"": 0.0, ""is_low_common_neighbor_edge_l1"": 0.0, ""mean_l1"": 0.0}",1,32,32,6553.552092918047,0
realworld_completed,ca_netscience,SASB-candidate,sasb,SASB-structured,20260513,7,early,0.5277044854881267,0.5277044854881267,0.0,2,2,0,0.007658643326039387,0.0087527352297593,0,16,0--16,10,15,10,15,150,2,0.2222222222222222,1,12,9,32,"[""313"", ""223"", ""168"", ""36"", ""46"", ""16"", ""0"", ""162"", ""346"", ""147"", ""152"", ""340"", ""57"", ""114"", ""362"", ""363"", ""365"", ""318"", ""24"", ""312"", ""360"", ""40"", ""334"", ""32"", ""261"", ""95"", ""52"", ""324"", ""53"", ""335"", ""170"", ""283""]",9c4f8ad79a0a5cfb03c56b8567546d4d183f3db4449cf1a82838ebb056217d40,"{""boundary"": 12, ""community_rep"": 5, ""degree_core"": 10, ""random_fill"": 5}","{""degree_2"": 3, ""degree_3_4"": 1, ""degree_5_8"": 7, ""degree_9_plus"": 21}","{""0"": 1, ""1"": 7, ""10"": 3, ""11"": 3, ""12"": 4, ""13"": 1, ""2"": 1, ""3"": 1, ""4"": 1, ""5"": 1, ""6"": 2, ""7"": 1, ""8"": 3, ""9"": 3}",118,"{""backend"": ""evaluate_m19_theory_calibrated.candidate_features"", ""delta_mode"": ""none"", ""k_max"": 512, ""k_min"": 64, ""variant"": ""conservative""}",118,0.23935091277890466,0.4152542372881356,0.4152542372881356,0.0423728813559322,0.5338983050847458,"{""dp_17_64"": 0.2288135593220339, ""dp_257_plus"": 0.15254237288135594, ""dp_5_16"": 0.00847457627118644, ""dp_65_256"": 0.6101694915254238}","{""cn_0"": 0.3983050847457627, ""cn_1"": 0.13559322033898305, ""cn_2_3"": 0.2966101694915254, ""cn_4_8"": 0.1440677966101695, ""cn_9_plus"": 0.025423728813559324}",1.8389830508474576,147.51694915254237,sasb_candidate_builder,f003b9429c6e3afd5e86e3b3c89f4555f14faee4ee914c72dab1945dafaf0a33,118,f003b9429c6e3afd5e86e3b3c89f4555f14faee4ee914c72dab1945dafaf0a33,"{""sasb_builder"": 118}",0,0,0,0,{},0.0,"{""common_neighbor_bin_l1"": 0.0, ""degree_product_bin_l1"": 0.0, ""is_boundary_edge_l1"": 0.0, ""is_bridge_edge_l1"": 0.0, ""is_inter_community_edge_l1"": 0.0, ""is_low_common_neighbor_edge_l1"": 0.0, ""mean_l1"": 0.0}",1,32,32,10533.35374317711,0
realworld_completed,ca_netscience,SASB-candidate,sasb,SASB-structured,20260513,8,early,0.5277044854881267,0.5277044854881267,0.0,2,2,0,0.0087527352297593,0.009846827133479213,0,36,0--36,9,12,9,12,108,1,0.125,1,1,2,32,"[""313"", ""223"", ""168"", ""36"", ""46"", ""162"", ""16"", ""346"", ""147"", ""152"", ""340"", ""0"", ""57"", ""114"", ""362"", ""363"", ""365"", ""318"", ""24"", ""312"", ""360"", ""40"", ""334"", ""32"", ""261"", ""95"", ""52"", ""332"", ""370"", ""163"", ""167"", ""121""]",3a7553eea46efb38d3e94ec2860514042093e9d8fbbf2f6de8bb10a28be0f355,"{""boundary"": 12, ""community_rep"": 5, ""degree_core"": 10, ""random_fill"": 5}","{""degree_0_1"": 1, ""degree_3_4"": 2, ""degree_5_8"": 8, ""degree_9_plus"": 21}","{""0"": 1, ""1"": 9, ""10"": 3, ""11"": 1, ""12"": 4, ""13"": 1, ""2"": 2, ""3"": 1, ""4"": 1, ""5"": 1, ""6"": 1, ""7"": 1, ""8"": 4, ""9"": 2}",118,"{""backend"": ""evaluate_m19_theory_calibrated.candidate_features"", ""delta_mode"": ""none"", ""k_max"": 512, ""k_min"": 64, ""variant"": ""conservative""}",118,0.23983739837398374,0.4067796610169492,0.4067796610169492,0.05084745762711865,0.576271186440678,"{""dp_17_64"": 0.2457627118644068, ""dp_257_plus"": 0.1440677966101695, ""dp_5_16"": 0.00847457627118644, ""dp_65_256"": 0.6016949152542372}","{""cn_0"": 0.4067796610169492, ""cn_1"": 0.1694915254237288, ""cn_2_3"": 0.2542372881355932, ""cn_4_8"": 0.1440677966101695, ""cn_9_plus"": 0.025423728813559324}",1.7796610169491525,145.27966101694915,sasb_candidate_builder,b220af98197cc7aba3bc0b788f6176993f5ee2abe249d173a41c925d2b0bf98a,118,b220af98197cc7aba3bc0b788f6176993f5ee2abe249d173a41c925d2b0bf98a,"{""sasb_builder"": 118}",0,0,0,0,{},0.0,"{""common_neighbor_bin_l1"": 0.0, ""degree_product_bin_l1"": 0.0, ""is_boundary_edge_l1"": 0.0, ""is_bridge_edge_l1"": 0.0, ""is_inter_community_edge_l1"": 0.0, ""is_low_common_neighbor_edge_l1"": 0.0, ""mean_l1"": 0.0}",1,32,32,9129.941722901282,0
realworld_completed,ca_netscience,SASB-candidate,sasb,SASB-structured,20260513,9,early,0.5277044854881267,0.5277044854881267,0.0,2,2,0,0.009846827133479213,0.010940919037199124,0,177,0--177,8,3,3,8,24,0,0.0,1,1,2,32,"[""313"", ""223"", ""168"", ""46"", ""36"", ""162"", ""16"", ""346"", ""147"", ""152"", ""340"", ""24"", ""57"", ""114"", ""362"", ""363"", ""365"", ""318"", ""312"", ""360"", ""40"", ""68"", ""334"", ""32"", ""261"", ""95"", ""52"", ""63"", ""228"", ""109"", ""250"", ""156""]",ebadf860a09f448222111850065416ad936b0aeb6b09b5d593df92a2339052de,"{""boundary"": 12, ""community_rep"": 5, ""degree_core"": 10, ""random_fill"": 5}","{""degree_2"": 2, ""degree_3_4"": 2, ""degree_5_8"": 7, ""degree_9_plus"": 21}","{""0"": 1, ""1"": 7, ""10"": 3, ""11"": 1, ""12"": 4, ""13"": 3, ""2"": 1, ""3"": 1, ""4"": 2, ""5"": 1, ""6"": 1, ""7"": 1, ""8"": 4, ""9"": 2}",118,"{""backend"": ""evaluate_m19_theory_calibrated.candidate_features"", ""delta_mode"": ""none"", ""k_max"": 512, ""k_min"": 64, ""variant"": ""conservative""}",118,0.24032586558044808,0.3983050847457627,0.3983050847457627,0.05084745762711865,0.576271186440678,"{""dp_17_64"": 0.2542372881355932, ""dp_257_plus"": 0.1440677966101695, ""dp_5_16"": 0.00847457627118644, ""dp_65_256"": 0.5932203389830508}","{""cn_0"": 0.4152542372881356, ""cn_1"": 0.16101694915254236, ""cn_2_3"": 0.2542372881355932, ""cn_4_8"": 0.1440677966101695, ""cn_9_plus"": 0.025423728813559324}",1.771186440677966,143.79661016949152,sasb_candidate_builder,2449907841ef69ce605d363c83606e71602487ea977ce50cb1bf1d5861cc0aa3,118,2449907841ef69ce605d363c83606e71602487ea977ce50cb1bf1d5861cc0aa3,"{""sasb_builder"": 118}",0,0,0,0,{},0.0,"{""common_neighbor_bin_l1"": 0.0, ""degree_product_bin_l1"": 0.0, ""is_boundary_edge_l1"": 0.0, ""is_bridge_edge_l1"": 0.0, ""is_inter_community_edge_l1"": 0.0, ""is_low_common_neighbor_edge_l1"": 0.0, ""mean_l1"": 0.0}",1,32,32,10609.985256289601,0
