dataset,graph_id,method,candidate_policy,source_policy,seed,step,attack_phase,gcc_before,gcc_after,delta_gcc,num_components_before,num_components_after,is_bridge_before_removal,remove_ratio_before,remove_ratio_after,edge_u,edge_v,selected_edge,degree_u,degree_v,degree_min,degree_max,degree_product,common_neighbors,edge_embeddedness,is_inter_community_edge,community_u,community_v,source_count,source_nodes,source_node_hash,source_strata_counts,source_degree_bins,source_community_counts,adaptive_k,candidate_config,candidate_count,candidate_fraction,candidate_inter_community_ratio,candidate_boundary_ratio,candidate_bridge_ratio,candidate_low_cn_ratio,candidate_degree_product_distribution,candidate_common_neighbor_distribution,candidate_mean_common_neighbors,candidate_mean_degree_product,candidate_backend,candidate_hash,sasb_candidate_count_reference,sasb_candidate_hash_reference,match_mode_counts,strict_match_count,degree_only_match_count,community_only_match_count,fallback_count,fallback_reason,matched_feature_difference,matched_feature_difference_detail,candidate_count_equal_to_sasb,source_budget,true_source_traversal_count,sampled_betweenness_score,p2_degree_product_fallback
realworld_completed,football,Random-size-matched-candidate,random_size_matched,SASB-structured,20260513,0,early,1.0,1.0,0.0,1,1,0,0.0,0.0016313213703099511,0,44,0--44,12,11,11,12,132,0,0.0,1,4,2,32,"[""94"", ""96"", ""69"", ""81"", ""32"", ""112"", ""45"", ""0"", ""1"", ""102"", ""22"", ""27"", ""38"", ""60"", ""64"", ""7"", ""71"", ""79"", ""82"", ""100"", ""101"", ""103"", ""83"", ""73"", ""78"", ""92"", ""104"", ""35"", ""20"", ""66"", ""12"", ""39""]",0a06e0e5fdb166463dc18fbbb70dd5fb980a3ac74f2a928ef6f8ad90866d114b,"{""boundary"": 12, ""community_rep"": 3, ""degree_core"": 10, ""random_fill"": 7}","{""degree_5_8"": 2, ""degree_9_plus"": 30}","{""0"": 1, ""1"": 3, ""2"": 5, ""3"": 5, ""4"": 5, ""5"": 2, ""6"": 4, ""7"": 2, ""8"": 3, ""9"": 2}",118,"{""backend"": ""evaluate_m19_theory_calibrated.candidate_features"", ""delta_mode"": ""none"", ""k_max"": 512, ""k_min"": 64, ""variant"": ""conservative""}",118,0.19249592169657423,0.3220338983050847,0.3220338983050847,0.0,0.4491525423728814,"{""dp_17_64"": 0.01694915254237288, ""dp_65_256"": 0.9830508474576272}","{""cn_0"": 0.3728813559322034, ""cn_1"": 0.07627118644067797, ""cn_2_3"": 0.09322033898305085, ""cn_4_8"": 0.4576271186440678}",2.7711864406779663,113.00847457627118,uniform_random_edges_size_matched_to_sasb,9d52f7b95232c9947a71e636b4976f7ec312a512c1457b3493812d6edcf28762,118,9c7933bde65b54a308ed6a846a53130d7b85a6a3429fb5052e99b2eddf8f83a0,"{""random_size_matched"": 118}",0,0,0,0,{},0.8079096045197739,"{""common_neighbor_bin_l1"": 1.0677966101694916, ""degree_product_bin_l1"": 0.0, ""is_boundary_edge_l1"": 1.3559322033898304, ""is_bridge_edge_l1"": 0.0, ""is_inter_community_edge_l1"": 1.3559322033898304, ""is_low_common_neighbor_edge_l1"": 1.0677966101694916, ""mean_l1"": 0.8079096045197739}",1,32,32,195.1652778075229,0
realworld_completed,football,Random-size-matched-candidate,random_size_matched,SASB-structured,20260513,1,early,1.0,1.0,0.0,1,1,0,0.0016313213703099511,0.0032626427406199023,0,1,0--1,11,12,11,12,132,1,0.1,1,0,1,32,"[""94"", ""96"", ""69"", ""81"", ""32"", ""112"", ""45"", ""1"", ""102"", ""22"", ""27"", ""38"", ""60"", ""64"", ""7"", ""71"", ""79"", ""82"", ""0"", ""100"", ""101"", ""103"", ""83"", ""73"", ""78"", ""35"", ""90"", ""46"", ""21"", ""58"", ""62"", ""104""]",d1f6eaeb8ea50b1f6abdb6e38505a336196946750baaeef46a3a6e868f64728c,"{""boundary"": 12, ""community_rep"": 3, ""degree_core"": 10, ""random_fill"": 7}","{""degree_5_8"": 2, ""degree_9_plus"": 30}","{""0"": 3, ""1"": 3, ""2"": 2, ""3"": 5, ""4"": 5, ""5"": 3, ""6"": 3, ""7"": 2, ""8"": 3, ""9"": 3}",118,"{""backend"": ""evaluate_m19_theory_calibrated.candidate_features"", ""delta_mode"": ""none"", ""k_max"": 512, ""k_min"": 64, ""variant"": ""conservative""}",118,0.19281045751633988,0.3559322033898305,0.3559322033898305,0.0,0.5,"{""dp_65_256"": 1.0}","{""cn_0"": 0.3813559322033898, ""cn_1"": 0.11864406779661017, ""cn_2_3"": 0.03389830508474576, ""cn_4_8"": 0.4661016949152542}",2.7542372881355934,115.5677966101695,uniform_random_edges_size_matched_to_sasb,057cc1f0b6917501883136d27c6b6ebd746d229efa864f68827998fe95906cef,118,2b336ee5d1f7a24cddf6078c6ed880001c2d44862ae30895975f71fd88e80772,"{""random_size_matched"": 118}",0,0,0,0,{},0.7570621468926554,"{""common_neighbor_bin_l1"": 0.9661016949152542, ""degree_product_bin_l1"": 0.033898305084745714, ""is_boundary_edge_l1"": 1.288135593220339, ""is_bridge_edge_l1"": 0.0, ""is_inter_community_edge_l1"": 1.288135593220339, ""is_low_common_neighbor_edge_l1"": 0.9661016949152543, ""mean_l1"": 0.7570621468926554}",1,32,32,209.91064323693587,0
realworld_completed,football,Random-size-matched-candidate,random_size_matched,SASB-structured,20260513,2,early,1.0,1.0,0.0,1,1,0,0.0032626427406199023,0.004893964110929853,81,83,81--83,11,11,11,11,121,1,0.1,1,4,3,32,"[""94"", ""96"", ""69"", ""81"", ""32"", ""112"", ""45"", ""102"", ""22"", ""27"", ""38"", ""60"", ""64"", ""7"", ""71"", ""79"", ""82"", ""1"", ""100"", ""101"", ""103"", ""104"", ""83"", ""73"", ""55"", ""78"", ""4"", ""93"", ""62"", ""95"", ""65"", ""24""]",9d335c57dd8b22092247d3a1301eb66d13453ab802008c96c3679f24b06d8eca,"{""boundary"": 12, ""community_rep"": 4, ""degree_core"": 10, ""random_fill"": 6}","{""degree_5_8"": 2, ""degree_9_plus"": 30}","{""0"": 3, ""1"": 3, ""2"": 3, ""3"": 5, ""4"": 4, ""5"": 2, ""6"": 3, ""7"": 3, ""8"": 3, ""9"": 3}",118,"{""backend"": ""evaluate_m19_theory_calibrated.candidate_features"", ""delta_mode"": ""none"", ""k_max"": 512, ""k_min"": 64, ""variant"": ""conservative""}",118,0.19312602291325695,0.2288135593220339,0.2288135593220339,0.0,0.4576271186440678,"{""dp_65_256"": 1.0}","{""cn_0"": 0.3474576271186441, ""cn_1"": 0.11016949152542373, ""cn_2_3"": 0.059322033898305086, ""cn_4_8"": 0.4830508474576271}",2.940677966101695,113.83898305084746,uniform_random_edges_size_matched_to_sasb,2c90323d1a15a6b499d7a6fa0dafc56a04c832751bed7347bd4c64bc5a429a78,118,cad6c2ba01c77a1cf4564e632d78824b01239f22523825201e9178e38b391353,"{""random_size_matched"": 118}",0,0,0,0,{},0.8700564971751411,"{""common_neighbor_bin_l1"": 1.0508474576271185, ""degree_product_bin_l1"": 0.033898305084745714, ""is_boundary_edge_l1"": 1.542372881355932, ""is_bridge_edge_l1"": 0.0, ""is_inter_community_edge_l1"": 1.542372881355932, ""is_low_common_neighbor_edge_l1"": 1.0508474576271187, ""mean_l1"": 0.8700564971751411}",1,32,32,201.45439347674133,0
realworld_completed,football,Random-size-matched-candidate,random_size_matched,SASB-structured,20260513,3,early,1.0,1.0,0.0,1,1,0,0.004893964110929853,0.0065252854812398045,28,29,28--29,11,11,11,11,121,0,0.0,1,3,0,32,"[""94"", ""96"", ""69"", ""32"", ""112"", ""45"", ""102"", ""22"", ""27"", ""38"", ""60"", ""64"", ""7"", ""71"", ""79"", ""82"", ""1"", ""100"", ""101"", ""103"", ""104"", ""106"", ""74"", ""73"", ""55"", ""78"", ""50"", ""28"", ""76"", ""20"", ""4"", ""56""]",7ecda352ff8b06bbdeeac33d2978c711eedd34ad2b734023548acab65522aa6a,"{""boundary"": 12, ""community_rep"": 4, ""degree_core"": 10, ""random_fill"": 6}","{""degree_5_8"": 2, ""degree_9_plus"": 30}","{""0"": 1, ""1"": 3, ""2"": 3, ""3"": 5, ""4"": 3, ""5"": 3, ""6"": 5, ""7"": 3, ""8"": 4, ""9"": 2}",118,"{""backend"": ""evaluate_m19_theory_calibrated.candidate_features"", ""delta_mode"": ""none"", ""k_max"": 512, ""k_min"": 64, ""variant"": ""conservative""}",118,0.19344262295081968,0.2796610169491525,0.2796610169491525,0.0,0.4576271186440678,"{""dp_65_256"": 1.0}","{""cn_0"": 0.3983050847457627, ""cn_1"": 0.059322033898305086, ""cn_2_3"": 0.06779661016949153, ""cn_4_8"": 0.4745762711864407}",2.9661016949152543,115.55084745762711,uniform_random_edges_size_matched_to_sasb,bd26e715bd3a3bde7c382e4432182809bddd0600ab59e7ae78a0749be542404b,118,2bac2b317fda7ae03ed48735b3f2cb4f2ecc2cf95b06e864ce9b2a3742df3694,"{""random_size_matched"": 118}",0,0,0,0,{},0.8361581920903954,"{""common_neighbor_bin_l1"": 1.0508474576271187, ""degree_product_bin_l1"": 0.033898305084745714, ""is_boundary_edge_l1"": 1.440677966101695, ""is_bridge_edge_l1"": 0.0, ""is_inter_community_edge_l1"": 1.440677966101695, ""is_low_common_neighbor_edge_l1"": 1.0508474576271187, ""mean_l1"": 0.8361581920903954}",1,32,32,289.33494404193306,0
realworld_completed,football,Random-size-matched-candidate,random_size_matched,SASB-structured,20260513,4,early,1.0,1.0,0.0,1,1,0,0.0065252854812398045,0.008156606851549755,102,103,102--103,12,11,11,12,132,0,0.0,1,4,1,32,"[""94"", ""96"", ""69"", ""32"", ""112"", ""45"", ""102"", ""22"", ""27"", ""38"", ""60"", ""64"", ""7"", ""71"", ""79"", ""82"", ""1"", ""100"", ""101"", ""103"", ""104"", ""106"", ""74"", ""73"", ""55"", ""78"", ""56"", ""76"", ""52"", ""110"", ""23"", ""68""]",0f5007e054af141bbef1dc56338e9ea8e261c842fc4d38e27f308f235ff75e50,"{""boundary"": 12, ""community_rep"": 4, ""degree_core"": 10, ""random_fill"": 6}","{""degree_5_8"": 3, ""degree_9_plus"": 29}","{""0"": 1, ""1"": 3, ""2"": 2, ""3"": 5, ""4"": 4, ""5"": 4, ""6"": 4, ""7"": 2, ""8"": 4, ""9"": 3}",118,"{""backend"": ""evaluate_m19_theory_calibrated.candidate_features"", ""delta_mode"": ""none"", ""k_max"": 512, ""k_min"": 64, ""variant"": ""conservative""}",118,0.19376026272577998,0.3305084745762712,0.3305084745762712,0.0,0.5,"{""dp_17_64"": 0.00847457627118644, ""dp_65_256"": 0.9915254237288136}","{""cn_0"": 0.4152542372881356, ""cn_1"": 0.0847457627118644, ""cn_2_3"": 0.059322033898305086, ""cn_4_8"": 0.4406779661016949}",2.7203389830508473,115.7542372881356,uniform_random_edges_size_matched_to_sasb,c68480eb2faae7959d6b205510738f7fd9aa0dfeff77a8217697b4e42e8895dc,118,d7aa925be208863173d169f122d7b4090bd2eae99630aab322dc8ab91100d49d,"{""random_size_matched"": 118}",0,0,0,0,{},0.7711864406779662,"{""common_neighbor_bin_l1"": 0.9661016949152542, ""degree_product_bin_l1"": 0.016949152542372857, ""is_boundary_edge_l1"": 1.3389830508474576, ""is_bridge_edge_l1"": 0.0, ""is_inter_community_edge_l1"": 1.3389830508474576, ""is_low_common_neighbor_edge_l1"": 0.9661016949152543, ""mean_l1"": 0.7711864406779662}",1,32,32,287.59089195564627,0
realworld_completed,football,Random-size-matched-candidate,random_size_matched,SASB-structured,20260513,5,early,1.0,1.0,0.0,1,1,0,0.008156606851549755,0.009787928221859706,71,82,71--82,12,12,12,12,144,0,0.0,1,8,0,32,"[""94"", ""96"", ""69"", ""32"", ""112"", ""45"", ""22"", ""27"", ""38"", ""60"", ""64"", ""7"", ""71"", ""79"", ""82"", ""1"", ""100"", ""101"", ""102"", ""104"", ""106"", ""107"", ""74"", ""73"", ""55"", ""78"", ""6"", ""26"", ""9"", ""18"", ""109"", ""88""]",263fed65c397bb9628c6fd5e60306bec78fd490e3e350e63dfc9462aa3a63577,"{""boundary"": 12, ""community_rep"": 4, ""degree_core"": 10, ""random_fill"": 6}","{""degree_5_8"": 2, ""degree_9_plus"": 30}","{""0"": 1, ""1"": 3, ""2"": 4, ""3"": 4, ""4"": 3, ""5"": 5, ""6"": 4, ""7"": 2, ""8"": 4, ""9"": 2}",117,"{""backend"": ""evaluate_m19_theory_calibrated.candidate_features"", ""delta_mode"": ""none"", ""k_max"": 512, ""k_min"": 64, ""variant"": ""conservative""}",117,0.1924342105263158,0.2905982905982906,0.2905982905982906,0.0,0.4700854700854701,"{""dp_17_64"": 0.008547008547008548, ""dp_65_256"": 0.9914529914529915}","{""cn_0"": 0.4017094017094017, ""cn_1"": 0.06837606837606838, ""cn_2_3"": 0.08547008547008547, ""cn_4_8"": 0.4444444444444444}",2.8205128205128207,112.87179487179488,uniform_random_edges_size_matched_to_sasb,c9d2d723c2fecab7c10a55240acbba45461aa9f4ac66ff24f916b1d507047ce0,117,ca688b8f41bf02d8084096c1b77c8888018b9e18082f573056f859b5f16eeb16,"{""random_size_matched"": 117}",0,0,0,0,{},0.8176638176638176,"{""common_neighbor_bin_l1"": 1.0256410256410255, ""degree_product_bin_l1"": 0.017094017094017176, ""is_boundary_edge_l1"": 1.4188034188034186, ""is_bridge_edge_l1"": 0.0, ""is_inter_community_edge_l1"": 1.4188034188034186, ""is_low_common_neighbor_edge_l1"": 1.0256410256410255, ""mean_l1"": 0.8176638176638176}",1,32,32,218.0398869920929,0
realworld_completed,football,Random-size-matched-candidate,random_size_matched,SASB-structured,20260513,6,early,1.0,1.0,0.0,1,1,0,0.009787928221859706,0.011419249592169658,34,38,34--38,10,12,10,12,120,0,0.0,1,4,7,32,"[""94"", ""96"", ""69"", ""32"", ""112"", ""45"", ""22"", ""27"", ""38"", ""60"", ""64"", ""7"", ""79"", ""1"", ""100"", ""101"", ""102"", ""104"", ""106"", ""107"", ""113"", ""12"", ""74"", ""73"", ""93"", ""55"", ""78"", ""21"", ""35"", ""99"", ""17"", ""43""]",55062eef4835bb852c88d714f93492f691d83a66ee4a30ad28363be0153f5bc3,"{""boundary"": 12, ""community_rep"": 5, ""degree_core"": 10, ""random_fill"": 5}","{""degree_5_8"": 2, ""degree_9_plus"": 30}","{""0"": 1, ""1"": 3, ""2"": 2, ""3"": 6, ""4"": 3, ""5"": 4, ""6"": 2, ""7"": 3, ""8"": 3, ""9"": 5}",117,"{""backend"": ""evaluate_m19_theory_calibrated.candidate_features"", ""delta_mode"": ""none"", ""k_max"": 512, ""k_min"": 64, ""variant"": ""conservative""}",117,0.1927512355848435,0.29914529914529914,0.29914529914529914,0.0,0.452991452991453,"{""dp_65_256"": 1.0}","{""cn_0"": 0.38461538461538464, ""cn_1"": 0.06837606837606838, ""cn_2_3"": 0.08547008547008547, ""cn_4_8"": 0.46153846153846156}",2.871794871794872,113.11111111111111,uniform_random_edges_size_matched_to_sasb,22c8240e388918091b52a47344f08e45783e806abf8e821ce24366c0785e6267,117,7366847e5e49509d161f95ac11d00c71dfebe40e08fb10876f1ffef41814dbb7,"{""random_size_matched"": 117}",0,0,0,0,{},0.8262108262108261,"{""common_neighbor_bin_l1"": 1.0598290598290598, ""degree_product_bin_l1"": 0.03418803418803424, ""is_boundary_edge_l1"": 1.4017094017094016, ""is_bridge_edge_l1"": 0.0, ""is_inter_community_edge_l1"": 1.4017094017094016, ""is_low_common_neighbor_edge_l1"": 1.0598290598290596, ""mean_l1"": 0.8262108262108261}",1,32,32,260.834736228612,0
realworld_completed,football,Random-size-matched-candidate,random_size_matched,SASB-structured,20260513,7,early,1.0,1.0,0.0,1,1,0,0.011419249592169658,0.013050570962479609,94,96,94--96,11,11,11,11,121,3,0.3,0,2,2,32,"[""94"", ""96"", ""69"", ""32"", ""112"", ""45"", ""22"", ""27"", ""60"", ""64"", ""7"", ""79"", ""1"", ""100"", ""101"", ""102"", ""104"", ""106"", ""107"", ""113"", ""12"", ""14"", ""74"", ""73"", ""93"", ""55"", ""78"", ""84"", ""92"", ""42"", ""82"", ""80""]",f08b276fd52f2df9f613a853e3ba379212305863de168fee4e092a2382b3a62e,"{""boundary"": 12, ""community_rep"": 5, ""degree_core"": 10, ""random_fill"": 5}","{""degree_5_8"": 2, ""degree_9_plus"": 30}","{""0"": 3, ""1"": 4, ""2"": 3, ""3"": 4, ""4"": 3, ""5"": 4, ""6"": 2, ""7"": 2, ""8"": 4, ""9"": 3}",117,"{""backend"": ""evaluate_m19_theory_calibrated.candidate_features"", ""delta_mode"": ""none"", ""k_max"": 512, ""k_min"": 64, ""variant"": ""conservative""}",117,0.19306930693069307,0.23076923076923078,0.23076923076923078,0.0,0.5042735042735043,"{""dp_65_256"": 1.0}","{""cn_0"": 0.4444444444444444, ""cn_1"": 0.05982905982905983, ""cn_2_3"": 0.07692307692307693, ""cn_4_8"": 0.4188034188034188}",2.5555555555555554,111.37606837606837,uniform_random_edges_size_matched_to_sasb,6af8862f37a5d0c2fb79197226a1c3a117b209cbdb8b9a7289940f13664cd2a2,117,a6a35b5aa4cca8d3f311128f344e602c859925acc24aac217662a66536985fb0,"{""random_size_matched"": 117}",0,0,0,0,{},0.8433048433048432,"{""common_neighbor_bin_l1"": 0.9743589743589745, ""degree_product_bin_l1"": 0.03418803418803424, ""is_boundary_edge_l1"": 1.5384615384615383, ""is_bridge_edge_l1"": 0.0, ""is_inter_community_edge_l1"": 1.5384615384615383, ""is_low_common_neighbor_edge_l1"": 0.9743589743589745, ""mean_l1"": 0.8433048433048432}",1,32,32,229.26027033431566,0
realworld_completed,football,Random-size-matched-candidate,random_size_matched,SASB-structured,20260513,8,early,1.0,1.0,0.0,1,1,0,0.013050570962479609,0.01468189233278956,45,69,45--69,8,10,8,10,80,1,0.14285714285714285,1,4,3,32,"[""94"", ""96"", ""69"", ""32"", ""112"", ""45"", ""22"", ""27"", ""60"", ""64"", ""7"", ""79"", ""1"", ""100"", ""101"", ""102"", ""104"", ""106"", ""107"", ""113"", ""12"", ""14"", ""74"", ""73"", ""66"", ""93"", ""55"", ""78"", ""43"", ""20"", ""95"", ""75""]",414dc394739d96cc79781fe12fb2fa244cf4861f170a2f925dfdecbe8c32fbee,"{""boundary"": 12, ""community_rep"": 6, ""degree_core"": 10, ""random_fill"": 4}","{""degree_5_8"": 2, ""degree_9_plus"": 30}","{""0"": 1, ""1"": 3, ""2"": 3, ""3"": 5, ""4"": 3, ""5"": 4, ""6"": 3, ""7"": 3, ""8"": 4, ""9"": 3}",117,"{""backend"": ""evaluate_m19_theory_calibrated.candidate_features"", ""delta_mode"": ""none"", ""k_max"": 512, ""k_min"": 64, ""variant"": ""conservative""}",117,0.1933884297520661,0.24786324786324787,0.24786324786324787,0.0,0.47863247863247865,"{""dp_17_64"": 0.008547008547008548, ""dp_65_256"": 0.9914529914529915}","{""cn_0"": 0.41025641025641024, ""cn_1"": 0.06837606837606838, ""cn_2_3"": 0.042735042735042736, ""cn_4_8"": 0.47863247863247865}",2.8974358974358974,111.17094017094017,uniform_random_edges_size_matched_to_sasb,246725e86094775a183f8ff5fee96cb08aa64d682ecc68d78a5c935084f8149a,117,a6a35b5aa4cca8d3f311128f344e602c859925acc24aac217662a66536985fb0,"{""random_size_matched"": 117}",0,0,0,0,{},0.8461538461538461,"{""common_neighbor_bin_l1"": 1.0256410256410258, ""degree_product_bin_l1"": 0.017094017094017176, ""is_boundary_edge_l1"": 1.5042735042735043, ""is_bridge_edge_l1"": 0.0, ""is_inter_community_edge_l1"": 1.5042735042735043, ""is_low_common_neighbor_edge_l1"": 1.0256410256410255, ""mean_l1"": 0.8461538461538461}",1,32,32,210.4771999331186,0
realworld_completed,football,Random-size-matched-candidate,random_size_matched,SASB-structured,20260513,9,early,1.0,1.0,0.0,1,1,0,0.01468189233278956,0.01631321370309951,95,96,95--96,11,10,10,11,110,0,0.0,1,7,2,32,"[""94"", ""96"", ""32"", ""69"", ""112"", ""22"", ""27"", ""60"", ""64"", ""7"", ""79"", ""100"", ""1"", ""101"", ""102"", ""104"", ""106"", ""107"", ""113"", ""12"", ""14"", ""15"", ""74"", ""73"", ""66"", ""93"", ""55"", ""78"", ""65"", ""95"", ""108"", ""21""]",220ec7ed494dc502372d7f0fc80c2a20b9b59e71cfc9b5474b1ac57f05cb93aa,"{""boundary"": 12, ""community_rep"": 6, ""degree_core"": 10, ""random_fill"": 4}","{""degree_5_8"": 1, ""degree_9_plus"": 31}","{""0"": 2, ""1"": 3, ""2"": 3, ""3"": 4, ""4"": 4, ""5"": 4, ""6"": 2, ""7"": 3, ""8"": 4, ""9"": 3}",117,"{""backend"": ""evaluate_m19_theory_calibrated.candidate_features"", ""delta_mode"": ""none"", ""k_max"": 512, ""k_min"": 64, ""variant"": ""conservative""}",117,0.19370860927152317,0.3247863247863248,0.3247863247863248,0.0,0.5128205128205128,"{""dp_17_64"": 0.017094017094017096, ""dp_65_256"": 0.9829059829059829}","{""cn_0"": 0.41025641025641024, ""cn_1"": 0.10256410256410256, ""cn_2_3"": 0.06837606837606838, ""cn_4_8"": 0.4188034188034188}",2.547008547008547,110.41880341880342,uniform_random_edges_size_matched_to_sasb,557601f35d270f2e6b5fd9003f1334fd92278d47227dbfcb800bd8365c09c311,117,c5e99a4598382224446627ea0f58c15ea5c18e4627a69d119c49a21ce26444f8,"{""random_size_matched"": 117}",0,0,0,0,{},0.7635327635327637,"{""common_neighbor_bin_l1"": 0.9401709401709402, ""degree_product_bin_l1"": 0.0, ""is_boundary_edge_l1"": 1.3504273504273505, ""is_bridge_edge_l1"": 0.0, ""is_inter_community_edge_l1"": 1.3504273504273505, ""is_low_common_neighbor_edge_l1"": 0.9401709401709402, ""mean_l1"": 0.7635327635327637}",1,32,32,180.43872354841898,0
