dataset,graph_id,method,candidate_policy,source_policy,seed,step,attack_phase,gcc_before,gcc_after,delta_gcc,num_components_before,num_components_after,is_bridge_before_removal,remove_ratio_before,remove_ratio_after,edge_u,edge_v,selected_edge,degree_u,degree_v,degree_min,degree_max,degree_product,common_neighbors,edge_embeddedness,is_inter_community_edge,community_u,community_v,source_count,source_nodes,source_node_hash,source_strata_counts,source_degree_bins,source_community_counts,adaptive_k,candidate_config,candidate_count,candidate_fraction,candidate_inter_community_ratio,candidate_boundary_ratio,candidate_bridge_ratio,candidate_low_cn_ratio,candidate_degree_product_distribution,candidate_common_neighbor_distribution,candidate_mean_common_neighbors,candidate_mean_degree_product,candidate_backend,candidate_hash,sasb_candidate_count_reference,sasb_candidate_hash_reference,match_mode_counts,strict_match_count,degree_only_match_count,community_only_match_count,fallback_count,fallback_reason,matched_feature_difference,matched_feature_difference_detail,candidate_count_equal_to_sasb,source_budget,true_source_traversal_count,sampled_betweenness_score,p2_degree_product_fallback
realworld_completed,ia_enron_only,Random-size-matched-candidate,random_size_matched,SASB-structured,20260513,0,early,1.0,1.0,0.0,1,1,0,0.0,0.0016051364365971107,37,85,37--85,19,20,19,20,380,7,0.3888888888888889,0,3,3,32,"[""7"", ""51"", ""85"", ""133"", ""137"", ""80"", ""114"", ""112"", ""28"", ""26"", ""73"", ""68"", ""37"", ""67"", ""41"", ""54"", ""106"", ""108"", ""53"", ""84"", ""87"", ""104"", ""47"", ""44"", ""62"", ""122"", ""35"", ""60"", ""91"", ""2"", ""100"", ""66""]",73079c23534a97c6572ae84f039443079a78d8fbc91dafa6ac6f3d94c8a25308,"{""boundary"": 12, ""community_rep"": 1, ""degree_core"": 10, ""random_fill"": 9}","{""degree_2"": 1, ""degree_3_4"": 1, ""degree_5_8"": 2, ""degree_9_plus"": 28}","{""0"": 4, ""1"": 6, ""2"": 2, ""3"": 11, ""4"": 1, ""5"": 5, ""6"": 3}",124,"{""backend"": ""evaluate_m19_theory_calibrated.candidate_features"", ""delta_mode"": ""none"", ""k_max"": 512, ""k_min"": 64, ""variant"": ""conservative""}",124,0.19903691813804172,0.24193548387096775,0.24193548387096775,0.008064516129032258,0.5161290322580645,"{""dp_17_64"": 0.13709677419354838, ""dp_257_plus"": 0.14516129032258066, ""dp_5_16"": 0.08064516129032258, ""dp_65_256"": 0.6370967741935484}","{""cn_0"": 0.47580645161290325, ""cn_1"": 0.04032258064516129, ""cn_2_3"": 0.14516129032258066, ""cn_4_8"": 0.25806451612903225, ""cn_9_plus"": 0.08064516129032258}",2.6774193548387095,165.0,uniform_random_edges_size_matched_to_sasb,d769961ffa16db78478a8efd31346f08ca69d0c2e73a064dbce58278ad62252e,124,479c947e9cd496a64a9e0018e19d323a86d5bf1fd2493ecc53b630cee0d66dde,"{""random_size_matched"": 124}",0,0,0,0,{},0.717741935483871,"{""common_neighbor_bin_l1"": 0.41935483870967744, ""degree_product_bin_l1"": 0.41935483870967744, ""is_boundary_edge_l1"": 1.5161290322580645, ""is_bridge_edge_l1"": 0.01612903225806451, ""is_inter_community_edge_l1"": 1.5161290322580645, ""is_low_common_neighbor_edge_l1"": 0.4193548387096775, ""mean_l1"": 0.717741935483871}",1,32,32,326.96962130744527,0
realworld_completed,ia_enron_only,Random-size-matched-candidate,random_size_matched,SASB-structured,20260513,1,early,1.0,1.0,0.0,1,1,0,0.0016051364365971107,0.0032102728731942215,23,70,23--70,7,3,3,7,21,1,0.5,0,4,4,32,"[""7"", ""51"", ""85"", ""133"", ""137"", ""80"", ""114"", ""112"", ""28"", ""26"", ""73"", ""68"", ""37"", ""67"", ""41"", ""54"", ""106"", ""108"", ""53"", ""84"", ""87"", ""104"", ""47"", ""117"", ""6"", ""128"", ""100"", ""22"", ""35"", ""111"", ""18"", ""107""]",5db5b168159de99fbdce15619861be43934297f4f501d07f22e89e29a2f980ab,"{""boundary"": 12, ""community_rep"": 1, ""degree_core"": 10, ""random_fill"": 9}","{""degree_3_4"": 1, ""degree_5_8"": 2, ""degree_9_plus"": 29}","{""0"": 5, ""1"": 4, ""2"": 2, ""3"": 10, ""4"": 1, ""5"": 6, ""6"": 4}",124,"{""backend"": ""evaluate_m19_theory_calibrated.candidate_features"", ""delta_mode"": ""none"", ""k_max"": 512, ""k_min"": 64, ""variant"": ""conservative""}",124,0.19935691318327975,0.24193548387096775,0.24193548387096775,0.024193548387096774,0.5080645161290323,"{""dp_0_4"": 0.008064516129032258, ""dp_17_64"": 0.13709677419354838, ""dp_257_plus"": 0.13709677419354838, ""dp_5_16"": 0.056451612903225805, ""dp_65_256"": 0.6612903225806451}","{""cn_0"": 0.4435483870967742, ""cn_1"": 0.06451612903225806, ""cn_2_3"": 0.12096774193548387, ""cn_4_8"": 0.2903225806451613, ""cn_9_plus"": 0.08064516129032258}",2.8225806451612905,162.2741935483871,uniform_random_edges_size_matched_to_sasb,97b7a39d541ce83ab695e014ad389750e32335b551e88a84928670005c383e74,124,479c947e9cd496a64a9e0018e19d323a86d5bf1fd2493ecc53b630cee0d66dde,"{""random_size_matched"": 124}",0,0,0,0,{},0.7338709677419355,"{""common_neighbor_bin_l1"": 0.4516129032258065, ""degree_product_bin_l1"": 0.435483870967742, ""is_boundary_edge_l1"": 1.5161290322580645, ""is_bridge_edge_l1"": 0.048387096774193526, ""is_inter_community_edge_l1"": 1.5161290322580645, ""is_low_common_neighbor_edge_l1"": 0.435483870967742, ""mean_l1"": 0.7338709677419355}",1,32,32,422.296875,0
realworld_completed,ia_enron_only,Random-size-matched-candidate,random_size_matched,SASB-structured,20260513,2,early,1.0,1.0,0.0,1,1,0,0.0032102728731942215,0.004815409309791332,34,89,34--89,9,11,9,11,99,0,0.0,1,6,0,32,"[""7"", ""51"", ""85"", ""133"", ""137"", ""80"", ""114"", ""112"", ""28"", ""26"", ""73"", ""68"", ""37"", ""67"", ""41"", ""54"", ""106"", ""108"", ""53"", ""84"", ""87"", ""104"", ""47"", ""22"", ""129"", ""2"", ""140"", ""60"", ""46"", ""109"", ""111"", ""63""]",eb1b27619bbc201f75b51dd683a5181e72f6ea943a419520f2cff635821731e4,"{""boundary"": 12, ""community_rep"": 1, ""degree_core"": 10, ""random_fill"": 9}","{""degree_0_1"": 2, ""degree_2"": 1, ""degree_3_4"": 1, ""degree_5_8"": 3, ""degree_9_plus"": 25}","{""0"": 5, ""1"": 5, ""2"": 1, ""3"": 11, ""4"": 3, ""5"": 4, ""6"": 3}",124,"{""backend"": ""evaluate_m19_theory_calibrated.candidate_features"", ""delta_mode"": ""none"", ""k_max"": 512, ""k_min"": 64, ""variant"": ""conservative""}",124,0.1996779388083736,0.20161290322580644,0.20161290322580644,0.024193548387096774,0.5806451612903226,"{""dp_0_4"": 0.008064516129032258, ""dp_17_64"": 0.18548387096774194, ""dp_257_plus"": 0.18548387096774194, ""dp_5_16"": 0.024193548387096774, ""dp_65_256"": 0.5967741935483871}","{""cn_0"": 0.5645161290322581, ""cn_1"": 0.016129032258064516, ""cn_2_3"": 0.12096774193548387, ""cn_4_8"": 0.20967741935483872, ""cn_9_plus"": 0.08870967741935484}",2.5483870967741935,167.25,uniform_random_edges_size_matched_to_sasb,4507144502deee555ff69ea4cd14ccdb25ec2a2829eb5bd51c1a9feb7e82d5a2,124,479c947e9cd496a64a9e0018e19d323a86d5bf1fd2493ecc53b630cee0d66dde,"{""random_size_matched"": 124}",0,0,0,0,{},0.696236559139785,"{""common_neighbor_bin_l1"": 0.3064516129032258, ""degree_product_bin_l1"": 0.3387096774193549, ""is_boundary_edge_l1"": 1.596774193548387, ""is_bridge_edge_l1"": 0.048387096774193526, ""is_inter_community_edge_l1"": 1.596774193548387, ""is_low_common_neighbor_edge_l1"": 0.2903225806451613, ""mean_l1"": 0.696236559139785}",1,32,32,825.5014886527871,0
realworld_completed,ia_enron_only,Random-size-matched-candidate,random_size_matched,SASB-structured,20260513,3,early,1.0,1.0,0.0,1,1,0,0.004815409309791332,0.006420545746388443,7,84,7--84,42,16,16,42,672,7,0.4666666666666667,1,1,4,32,"[""7"", ""51"", ""85"", ""133"", ""137"", ""80"", ""114"", ""112"", ""28"", ""26"", ""73"", ""68"", ""37"", ""67"", ""41"", ""54"", ""106"", ""108"", ""53"", ""84"", ""87"", ""104"", ""47"", ""139"", ""82"", ""20"", ""49"", ""36"", ""23"", ""62"", ""102"", ""33""]",5a24a6bf81455b025b066f5b2f41c7719636d8e2da2caceea2e6abd2154ac1da,"{""boundary"": 12, ""community_rep"": 1, ""degree_core"": 10, ""random_fill"": 9}","{""degree_0_1"": 1, ""degree_2"": 1, ""degree_3_4"": 2, ""degree_5_8"": 3, ""degree_9_plus"": 25}","{""0"": 3, ""1"": 6, ""2"": 2, ""3"": 10, ""4"": 2, ""5"": 6, ""6"": 3}",124,"{""backend"": ""evaluate_m19_theory_calibrated.candidate_features"", ""delta_mode"": ""none"", ""k_max"": 512, ""k_min"": 64, ""variant"": ""conservative""}",124,0.2,0.21774193548387097,0.21774193548387097,0.008064516129032258,0.5725806451612904,"{""dp_17_64"": 0.18548387096774194, ""dp_257_plus"": 0.1532258064516129, ""dp_5_16"": 0.056451612903225805, ""dp_65_256"": 0.6048387096774194}","{""cn_0"": 0.49193548387096775, ""cn_1"": 0.08064516129032258, ""cn_2_3"": 0.11290322580645161, ""cn_4_8"": 0.23387096774193547, ""cn_9_plus"": 0.08064516129032258}",2.6129032258064515,156.0241935483871,uniform_random_edges_size_matched_to_sasb,73cbed4c1ab4136cdba7c98a7a90e134dc190d0b4b79f5711a5586fe8f784959,124,0765090d135493e36116d90136dc85a0b78dd3b34483eb09e57a9b2327f335a2,"{""random_size_matched"": 124}",0,0,0,0,{},0.6908602150537634,"{""common_neighbor_bin_l1"": 0.3225806451612903, ""degree_product_bin_l1"": 0.4032258064516129, ""is_boundary_edge_l1"": 1.564516129032258, ""is_bridge_edge_l1"": 0.01612903225806451, ""is_inter_community_edge_l1"": 1.564516129032258, ""is_low_common_neighbor_edge_l1"": 0.27419354838709675, ""mean_l1"": 0.6908602150537634}",1,32,32,462.1126230560768,0
realworld_completed,ia_enron_only,Random-size-matched-candidate,random_size_matched,SASB-structured,20260513,4,early,1.0,1.0,0.0,1,1,0,0.006420545746388443,0.008025682182985553,106,111,106--111,16,11,11,16,176,7,0.7,0,3,3,32,"[""7"", ""51"", ""85"", ""133"", ""137"", ""80"", ""114"", ""112"", ""28"", ""26"", ""73"", ""68"", ""37"", ""67"", ""41"", ""54"", ""106"", ""108"", ""53"", ""87"", ""104"", ""115"", ""47"", ""55"", ""136"", ""46"", ""2"", ""14"", ""111"", ""56"", ""102"", ""33""]",b0fcf4d06f82edc34c29611ce5b4cdc4c79c8bfd1e7274b6ae53350cec16158c,"{""boundary"": 12, ""community_rep"": 1, ""degree_core"": 10, ""random_fill"": 9}","{""degree_0_1"": 2, ""degree_5_8"": 5, ""degree_9_plus"": 25}","{""0"": 4, ""1"": 5, ""2"": 2, ""3"": 11, ""4"": 3, ""5"": 4, ""6"": 3}",124,"{""backend"": ""evaluate_m19_theory_calibrated.candidate_features"", ""delta_mode"": ""none"", ""k_max"": 512, ""k_min"": 64, ""variant"": ""conservative""}",124,0.20032310177705978,0.24193548387096775,0.24193548387096775,0.008064516129032258,0.5241935483870968,"{""dp_17_64"": 0.14516129032258066, ""dp_257_plus"": 0.1532258064516129, ""dp_5_16"": 0.056451612903225805, ""dp_65_256"": 0.6451612903225806}","{""cn_0"": 0.46774193548387094, ""cn_1"": 0.056451612903225805, ""cn_2_3"": 0.12903225806451613, ""cn_4_8"": 0.28225806451612906, ""cn_9_plus"": 0.06451612903225806}",2.6129032258064515,164.03225806451613,uniform_random_edges_size_matched_to_sasb,630e46ffaa355519866f6fdad17158533a3b582d3762c0b647ed2743a0d28982,124,6a85c91e25f7c3c035f0bce0b5d59ba87021e28857d2664bf4ba8ff991cfeedf,"{""random_size_matched"": 124}",0,0,0,0,{},0.7016129032258065,"{""common_neighbor_bin_l1"": 0.403225806451613, ""degree_product_bin_l1"": 0.3870967741935484, ""is_boundary_edge_l1"": 1.5161290322580645, ""is_bridge_edge_l1"": 0.01612903225806451, ""is_inter_community_edge_l1"": 1.5161290322580645, ""is_low_common_neighbor_edge_l1"": 0.37096774193548393, ""mean_l1"": 0.7016129032258065}",1,32,32,205.45217913465765,0
realworld_completed,ia_enron_only,Random-size-matched-candidate,random_size_matched,SASB-structured,20260513,5,early,1.0,1.0,0.0,1,1,0,0.008025682182985553,0.009630818619582664,51,85,51--85,30,19,19,30,570,5,0.2777777777777778,1,4,3,32,"[""7"", ""51"", ""85"", ""133"", ""137"", ""80"", ""114"", ""112"", ""28"", ""26"", ""73"", ""68"", ""37"", ""67"", ""41"", ""54"", ""108"", ""53"", ""87"", ""104"", ""106"", ""115"", ""47"", ""121"", ""64"", ""96"", ""13"", ""15"", ""21"", ""38"", ""131"", ""102""]",154944999b59f61b5bdc6c5743149f584e9f0945fdee6ba1c99e47082ed2f996,"{""boundary"": 12, ""community_rep"": 1, ""degree_core"": 10, ""random_fill"": 9}","{""degree_0_1"": 1, ""degree_2"": 1, ""degree_5_8"": 1, ""degree_9_plus"": 29}","{""0"": 4, ""1"": 6, ""2"": 1, ""3"": 10, ""4"": 2, ""5"": 5, ""6"": 4}",124,"{""backend"": ""evaluate_m19_theory_calibrated.candidate_features"", ""delta_mode"": ""none"", ""k_max"": 512, ""k_min"": 64, ""variant"": ""conservative""}",124,0.20064724919093851,0.25806451612903225,0.25806451612903225,0.03225806451612903,0.5161290322580645,"{""dp_0_4"": 0.008064516129032258, ""dp_17_64"": 0.1774193548387097, ""dp_257_plus"": 0.14516129032258066, ""dp_5_16"": 0.03225806451612903, ""dp_65_256"": 0.6370967741935484}","{""cn_0"": 0.45161290322580644, ""cn_1"": 0.06451612903225806, ""cn_2_3"": 0.10483870967741936, ""cn_4_8"": 0.3225806451612903, ""cn_9_plus"": 0.056451612903225805}",2.814516129032258,156.21774193548387,uniform_random_edges_size_matched_to_sasb,a7f8832fb2ed758f3cbb02a919a5a160868f07332895f99c6d497c273643e166,124,6a85c91e25f7c3c035f0bce0b5d59ba87021e28857d2664bf4ba8ff991cfeedf,"{""random_size_matched"": 124}",0,0,0,0,{},0.7150537634408604,"{""common_neighbor_bin_l1"": 0.467741935483871, ""degree_product_bin_l1"": 0.4032258064516129, ""is_boundary_edge_l1"": 1.4838709677419355, ""is_bridge_edge_l1"": 0.06451612903225803, ""is_inter_community_edge_l1"": 1.4838709677419355, ""is_low_common_neighbor_edge_l1"": 0.38709677419354843, ""mean_l1"": 0.7150537634408604}",1,32,32,534.8400693533109,0
realworld_completed,ia_enron_only,Random-size-matched-candidate,random_size_matched,SASB-structured,20260513,6,early,1.0,1.0,0.0,1,1,0,0.009630818619582664,0.011235955056179775,51,68,51--68,29,17,17,29,493,6,0.375,1,5,1,32,"[""7"", ""51"", ""133"", ""85"", ""137"", ""80"", ""114"", ""112"", ""28"", ""26"", ""73"", ""68"", ""37"", ""67"", ""41"", ""54"", ""108"", ""53"", ""87"", ""104"", ""106"", ""115"", ""47"", ""66"", ""56"", ""25"", ""34"", ""0"", ""9"", ""48"", ""59"", ""19""]",1c7a60f26cce0e8a53eacda45153fc03bb88166f820c4d3abb6168a97cf78936,"{""boundary"": 12, ""community_rep"": 1, ""degree_core"": 10, ""random_fill"": 9}","{""degree_2"": 1, ""degree_3_4"": 1, ""degree_5_8"": 3, ""degree_9_plus"": 27}","{""0"": 6, ""1"": 4, ""2"": 2, ""3"": 10, ""4"": 2, ""5"": 5, ""6"": 3}",124,"{""backend"": ""evaluate_m19_theory_calibrated.candidate_features"", ""delta_mode"": ""none"", ""k_max"": 512, ""k_min"": 64, ""variant"": ""conservative""}",124,0.20097244732576985,0.27419354838709675,0.27419354838709675,0.016129032258064516,0.5080645161290323,"{""dp_0_4"": 0.008064516129032258, ""dp_17_64"": 0.1532258064516129, ""dp_257_plus"": 0.16129032258064516, ""dp_5_16"": 0.016129032258064516, ""dp_65_256"": 0.6612903225806451}","{""cn_0"": 0.4435483870967742, ""cn_1"": 0.06451612903225806, ""cn_2_3"": 0.1532258064516129, ""cn_4_8"": 0.27419354838709675, ""cn_9_plus"": 0.06451612903225806}",2.7903225806451615,169.51612903225808,uniform_random_edges_size_matched_to_sasb,a5f2471867b649eb8cea400403afaa667a799be58f501917e72367b9d920892a,124,228e09c7b9fde972cedefebaa639ca7bd56602e19038e0516cfba6a6e66db313,"{""random_size_matched"": 124}",0,0,0,0,{},0.6827956989247311,"{""common_neighbor_bin_l1"": 0.41935483870967744, ""degree_product_bin_l1"": 0.32258064516129026, ""is_boundary_edge_l1"": 1.4516129032258065, ""is_bridge_edge_l1"": 0.03225806451612902, ""is_inter_community_edge_l1"": 1.4516129032258065, ""is_low_common_neighbor_edge_l1"": 0.41935483870967744, ""mean_l1"": 0.6827956989247311}",1,32,32,505.36348086122194,0
realworld_completed,ia_enron_only,Random-size-matched-candidate,random_size_matched,SASB-structured,20260513,7,early,1.0,1.0,0.0,1,1,0,0.011235955056179775,0.012841091492776886,68,80,68--80,16,19,16,19,304,1,0.06666666666666667,1,1,2,32,"[""7"", ""133"", ""85"", ""51"", ""137"", ""80"", ""114"", ""112"", ""28"", ""26"", ""73"", ""117"", ""37"", ""67"", ""41"", ""54"", ""108"", ""53"", ""68"", ""87"", ""104"", ""106"", ""47"", ""76"", ""31"", ""79"", ""134"", ""119"", ""23"", ""72"", ""126"", ""9""]",a353a476984413e41f38929dd663c1ff13cd581f612b2a930b24f3c786c4792e,"{""boundary"": 12, ""community_rep"": 1, ""degree_core"": 10, ""random_fill"": 9}","{""degree_0_1"": 2, ""degree_3_4"": 2, ""degree_5_8"": 3, ""degree_9_plus"": 25}","{""0"": 5, ""1"": 3, ""2"": 3, ""3"": 9, ""4"": 4, ""5"": 4, ""6"": 4}",124,"{""backend"": ""evaluate_m19_theory_calibrated.candidate_features"", ""delta_mode"": ""none"", ""k_max"": 512, ""k_min"": 64, ""variant"": ""conservative""}",124,0.2012987012987013,0.27419354838709675,0.27419354838709675,0.008064516129032258,0.5564516129032258,"{""dp_17_64"": 0.1774193548387097, ""dp_257_plus"": 0.1935483870967742, ""dp_5_16"": 0.06451612903225806, ""dp_65_256"": 0.5645161290322581}","{""cn_0"": 0.5, ""cn_1"": 0.056451612903225805, ""cn_2_3"": 0.14516129032258066, ""cn_4_8"": 0.22580645161290322, ""cn_9_plus"": 0.07258064516129033}",2.3951612903225805,174.6451612903226,uniform_random_edges_size_matched_to_sasb,c7ae5fbc19f2f5225d91ef0e28e37d16284a641c97abf4195d88033a845265a7,124,e334681f969a18d9f29fc4010cd2c6c4fb4c6db675c42cbda80892faf45f3ddf,"{""random_size_matched"": 124}",0,0,0,0,{},0.6639784946236559,"{""common_neighbor_bin_l1"": 0.3870967741935484, ""degree_product_bin_l1"": 0.29032258064516125, ""is_boundary_edge_l1"": 1.4516129032258065, ""is_bridge_edge_l1"": 0.01612903225806451, ""is_inter_community_edge_l1"": 1.4516129032258065, ""is_low_common_neighbor_edge_l1"": 0.38709677419354843, ""mean_l1"": 0.6639784946236559}",1,32,32,725.9451796516173,0
realworld_completed,ia_enron_only,Random-size-matched-candidate,random_size_matched,SASB-structured,20260513,8,early,1.0,1.0,0.0,1,1,0,0.012841091492776886,0.014446227929373997,101,137,101--137,2,23,2,23,46,1,1.0,0,2,2,32,"[""7"", ""133"", ""85"", ""51"", ""137"", ""114"", ""112"", ""28"", ""26"", ""73"", ""80"", ""117"", ""37"", ""67"", ""41"", ""54"", ""108"", ""53"", ""87"", ""104"", ""106"", ""115"", ""47"", ""141"", ""91"", ""124"", ""40"", ""13"", ""101"", ""128"", ""82"", ""88""]",dfaec602eb006f4a28fc2c9f76007d59ba9de4b39ef28290365e2f537a0ccafa,"{""boundary"": 12, ""community_rep"": 1, ""degree_core"": 10, ""random_fill"": 9}","{""degree_2"": 2, ""degree_3_4"": 2, ""degree_5_8"": 2, ""degree_9_plus"": 26}","{""0"": 4, ""1"": 5, ""2"": 2, ""3"": 9, ""4"": 1, ""5"": 6, ""6"": 5}",124,"{""backend"": ""evaluate_m19_theory_calibrated.candidate_features"", ""delta_mode"": ""none"", ""k_max"": 512, ""k_min"": 64, ""variant"": ""conservative""}",124,0.2016260162601626,0.23387096774193547,0.23387096774193547,0.024193548387096774,0.6048387096774194,"{""dp_17_64"": 0.21774193548387097, ""dp_257_plus"": 0.12096774193548387, ""dp_5_16"": 0.06451612903225806, ""dp_65_256"": 0.5967741935483871}","{""cn_0"": 0.5403225806451613, ""cn_1"": 0.06451612903225806, ""cn_2_3"": 0.18548387096774194, ""cn_4_8"": 0.1693548387096774, ""cn_9_plus"": 0.04032258064516129}",1.9112903225806452,139.61290322580646,uniform_random_edges_size_matched_to_sasb,9070cf7473a2bac65ab09ff3c0a51bda6ecc2ab8874a55995bba93ab9ca277ae,124,3b5240a32eff510fd15ebec23f58b2a346629e9037da2ddf63c5d7a92b5daec2,"{""random_size_matched"": 124}",0,0,0,0,{},0.6693548387096774,"{""common_neighbor_bin_l1"": 0.2741935483870968, ""degree_product_bin_l1"": 0.3548387096774194, ""is_boundary_edge_l1"": 1.532258064516129, ""is_bridge_edge_l1"": 0.048387096774193526, ""is_inter_community_edge_l1"": 1.532258064516129, ""is_low_common_neighbor_edge_l1"": 0.27419354838709675, ""mean_l1"": 0.6693548387096774}",1,32,32,673.1482484422863,0
realworld_completed,ia_enron_only,Random-size-matched-candidate,random_size_matched,SASB-structured,20260513,9,early,1.0,1.0,0.0,1,1,0,0.014446227929373997,0.016051364365971106,129,137,129--137,2,22,2,22,44,1,1.0,0,2,2,32,"[""7"", ""133"", ""85"", ""51"", ""137"", ""114"", ""112"", ""28"", ""26"", ""73"", ""80"", ""117"", ""37"", ""67"", ""41"", ""54"", ""108"", ""53"", ""87"", ""104"", ""106"", ""115"", ""47"", ""128"", ""5"", ""81"", ""77"", ""129"", ""63"", ""131"", ""68"", ""52""]",3a82e6bdd618e831a73fca944a7be38a5e9fbb481e0cc6deaa7e078cd35b4c69,"{""boundary"": 12, ""community_rep"": 1, ""degree_core"": 10, ""random_fill"": 9}","{""degree_2"": 2, ""degree_3_4"": 2, ""degree_5_8"": 1, ""degree_9_plus"": 27}","{""0"": 3, ""1"": 4, ""2"": 3, ""3"": 11, ""4"": 1, ""5"": 4, ""6"": 6}",123,"{""backend"": ""evaluate_m19_theory_calibrated.candidate_features"", ""delta_mode"": ""none"", ""k_max"": 512, ""k_min"": 64, ""variant"": ""conservative""}",123,0.2003257328990228,0.25203252032520324,0.25203252032520324,0.016260162601626018,0.5934959349593496,"{""dp_17_64"": 0.16260162601626016, ""dp_257_plus"": 0.13821138211382114, ""dp_5_16"": 0.04878048780487805, ""dp_65_256"": 0.6504065040650406}","{""cn_0"": 0.5447154471544715, ""cn_1"": 0.04878048780487805, ""cn_2_3"": 0.13008130081300814, ""cn_4_8"": 0.21951219512195122, ""cn_9_plus"": 0.056910569105691054}",2.3008130081300813,153.08943089430895,uniform_random_edges_size_matched_to_sasb,cac5105ffa7bc34b5dad8bd050204806668d0e4a84c6548a5192aaeb7bc4a39a,123,71b2a549b6173efc58c3f0787d56ff456b73d60faf7cc1290eef97779302f665,"{""random_size_matched"": 123}",0,0,0,0,{},0.6558265582655828,"{""common_neighbor_bin_l1"": 0.3089430894308943, ""degree_product_bin_l1"": 0.2926829268292682, ""is_boundary_edge_l1"": 1.4959349593495936, ""is_bridge_edge_l1"": 0.032520325203252015, ""is_inter_community_edge_l1"": 1.4959349593495936, ""is_low_common_neighbor_edge_l1"": 0.30894308943089427, ""mean_l1"": 0.6558265582655828}",1,32,32,668.9029359422865,0
