dataset,graph_id,graph_name,graph_type,community_strength,method,candidate_policy,source_policy,seed,step,removed_edges,remove_ratio,gcc_ratio,gcc_size
realworld_completed,ia_enron_only,ia-enron-only,communication,unknown,SASB-candidate,sasb,SASB-structured,20260513,0,0,0.0,1.0,143
realworld_completed,ia_enron_only,ia-enron-only,communication,unknown,SASB-candidate,sasb,SASB-structured,20260513,1,1,0.0016051364365971107,1.0,143
realworld_completed,ia_enron_only,ia-enron-only,communication,unknown,SASB-candidate,sasb,SASB-structured,20260513,2,2,0.0032102728731942215,1.0,143
realworld_completed,ia_enron_only,ia-enron-only,communication,unknown,SASB-candidate,sasb,SASB-structured,20260513,3,3,0.004815409309791332,1.0,143
realworld_completed,ia_enron_only,ia-enron-only,communication,unknown,SASB-candidate,sasb,SASB-structured,20260513,4,4,0.006420545746388443,1.0,143
realworld_completed,ia_enron_only,ia-enron-only,communication,unknown,SASB-candidate,sasb,SASB-structured,20260513,5,5,0.008025682182985553,1.0,143
realworld_completed,ia_enron_only,ia-enron-only,communication,unknown,SASB-candidate,sasb,SASB-structured,20260513,6,6,0.009630818619582664,1.0,143
realworld_completed,ia_enron_only,ia-enron-only,communication,unknown,SASB-candidate,sasb,SASB-structured,20260513,7,7,0.011235955056179775,1.0,143
realworld_completed,ia_enron_only,ia-enron-only,communication,unknown,SASB-candidate,sasb,SASB-structured,20260513,8,8,0.012841091492776886,1.0,143
realworld_completed,ia_enron_only,ia-enron-only,communication,unknown,SASB-candidate,sasb,SASB-structured,20260513,9,9,0.014446227929373997,1.0,143
realworld_completed,ia_enron_only,ia-enron-only,communication,unknown,SASB-candidate,sasb,SASB-structured,20260513,10,10,0.016051364365971106,1.0,143
realworld_completed,ia_enron_only,ia-enron-only,communication,unknown,SASB-candidate,sasb,SASB-structured,20260513,11,11,0.01765650080256822,1.0,143
realworld_completed,ia_enron_only,ia-enron-only,communication,unknown,SASB-candidate,sasb,SASB-structured,20260513,12,12,0.019261637239165328,1.0,143
realworld_completed,ia_enron_only,ia-enron-only,communication,unknown,SASB-candidate,sasb,SASB-structured,20260513,13,13,0.02086677367576244,1.0,143
realworld_completed,ia_enron_only,ia-enron-only,communication,unknown,SASB-candidate,sasb,SASB-structured,20260513,14,14,0.02247191011235955,1.0,143
realworld_completed,ia_enron_only,ia-enron-only,communication,unknown,SASB-candidate,sasb,SASB-structured,20260513,15,15,0.024077046548956663,1.0,143
realworld_completed,ia_enron_only,ia-enron-only,communication,unknown,SASB-candidate,sasb,SASB-structured,20260513,16,16,0.025682182985553772,1.0,143
realworld_completed,ia_enron_only,ia-enron-only,communication,unknown,SASB-candidate,sasb,SASB-structured,20260513,17,17,0.027287319422150885,1.0,143
realworld_completed,ia_enron_only,ia-enron-only,communication,unknown,SASB-candidate,sasb,SASB-structured,20260513,18,18,0.028892455858747994,1.0,143
realworld_completed,ia_enron_only,ia-enron-only,communication,unknown,SASB-candidate,sasb,SASB-structured,20260513,19,19,0.030497592295345103,1.0,143
realworld_completed,ia_enron_only,ia-enron-only,communication,unknown,SASB-candidate,sasb,SASB-structured,20260513,20,20,0.03210272873194221,1.0,143
realworld_completed,ia_enron_only,ia-enron-only,communication,unknown,SASB-candidate,sasb,SASB-structured,20260513,21,21,0.033707865168539325,1.0,143
realworld_completed,ia_enron_only,ia-enron-only,communication,unknown,SASB-candidate,sasb,SASB-structured,20260513,22,22,0.03531300160513644,1.0,143
realworld_completed,ia_enron_only,ia-enron-only,communication,unknown,SASB-candidate,sasb,SASB-structured,20260513,23,23,0.03691813804173355,1.0,143
realworld_completed,ia_enron_only,ia-enron-only,communication,unknown,SASB-candidate,sasb,SASB-structured,20260513,24,24,0.038523274478330656,1.0,143
realworld_completed,ia_enron_only,ia-enron-only,communication,unknown,SASB-candidate,sasb,SASB-structured,20260513,25,25,0.04012841091492777,1.0,143
realworld_completed,ia_enron_only,ia-enron-only,communication,unknown,SASB-candidate,sasb,SASB-structured,20260513,26,26,0.04173354735152488,1.0,143
realworld_completed,ia_enron_only,ia-enron-only,communication,unknown,SASB-candidate,sasb,SASB-structured,20260513,27,27,0.04333868378812199,1.0,143
realworld_completed,ia_enron_only,ia-enron-only,communication,unknown,SASB-candidate,sasb,SASB-structured,20260513,28,28,0.0449438202247191,1.0,143
realworld_completed,ia_enron_only,ia-enron-only,communication,unknown,SASB-candidate,sasb,SASB-structured,20260513,29,29,0.04654895666131621,1.0,143
realworld_completed,ia_enron_only,ia-enron-only,communication,unknown,SASB-candidate,sasb,SASB-structured,20260513,30,30,0.048154093097913325,1.0,143
realworld_completed,ia_enron_only,ia-enron-only,communication,unknown,SASB-candidate,sasb,SASB-structured,20260513,31,31,0.04975922953451043,1.0,143
realworld_completed,ia_enron_only,ia-enron-only,communication,unknown,SASB-candidate,sasb,SASB-structured,20260513,32,32,0.051364365971107544,1.0,143
realworld_completed,ia_enron_only,ia-enron-only,communication,unknown,SASB-candidate,sasb,SASB-structured,20260513,33,33,0.052969502407704656,1.0,143
realworld_completed,ia_enron_only,ia-enron-only,communication,unknown,SASB-candidate,sasb,SASB-structured,20260513,34,34,0.05457463884430177,1.0,143
realworld_completed,ia_enron_only,ia-enron-only,communication,unknown,SASB-candidate,sasb,SASB-structured,20260513,35,35,0.056179775280898875,1.0,143
realworld_completed,ia_enron_only,ia-enron-only,communication,unknown,SASB-candidate,sasb,SASB-structured,20260513,36,36,0.05778491171749599,1.0,143
realworld_completed,ia_enron_only,ia-enron-only,communication,unknown,SASB-candidate,sasb,SASB-structured,20260513,37,37,0.0593900481540931,1.0,143
realworld_completed,ia_enron_only,ia-enron-only,communication,unknown,SASB-candidate,sasb,SASB-structured,20260513,38,38,0.060995184590690206,1.0,143
realworld_completed,ia_enron_only,ia-enron-only,communication,unknown,SASB-candidate,sasb,SASB-structured,20260513,39,39,0.06260032102728733,1.0,143
realworld_completed,ia_enron_only,ia-enron-only,communication,unknown,SASB-candidate,sasb,SASB-structured,20260513,40,40,0.06420545746388442,1.0,143
realworld_completed,ia_enron_only,ia-enron-only,communication,unknown,SASB-candidate,sasb,SASB-structured,20260513,41,41,0.06581059390048154,1.0,143
realworld_completed,ia_enron_only,ia-enron-only,communication,unknown,SASB-candidate,sasb,SASB-structured,20260513,42,42,0.06741573033707865,1.0,143
realworld_completed,ia_enron_only,ia-enron-only,communication,unknown,SASB-candidate,sasb,SASB-structured,20260513,43,43,0.06902086677367576,1.0,143
realworld_completed,ia_enron_only,ia-enron-only,communication,unknown,SASB-candidate,sasb,SASB-structured,20260513,44,44,0.07062600321027288,1.0,143
realworld_completed,ia_enron_only,ia-enron-only,communication,unknown,SASB-candidate,sasb,SASB-structured,20260513,45,45,0.07223113964686999,1.0,143
