dataset,graph_id,method,candidate_policy,source_policy,seed,step,attack_phase,gcc_before,gcc_after,delta_gcc,num_components_before,num_components_after,is_bridge_before_removal,remove_ratio_before,remove_ratio_after,edge_u,edge_v,selected_edge,degree_u,degree_v,degree_min,degree_max,degree_product,common_neighbors,edge_embeddedness,is_inter_community_edge,community_u,community_v,source_count,source_nodes,source_node_hash,source_strata_counts,source_degree_bins,source_community_counts,adaptive_k,candidate_config,candidate_count,candidate_fraction,candidate_inter_community_ratio,candidate_boundary_ratio,candidate_bridge_ratio,candidate_low_cn_ratio,candidate_degree_product_distribution,candidate_common_neighbor_distribution,candidate_mean_common_neighbors,candidate_mean_degree_product,candidate_backend,candidate_hash,sasb_candidate_count_reference,sasb_candidate_hash_reference,match_mode_counts,strict_match_count,degree_only_match_count,community_only_match_count,fallback_count,fallback_reason,matched_feature_difference,matched_feature_difference_detail,candidate_count_equal_to_sasb,source_budget,true_source_traversal_count,sampled_betweenness_score,p2_degree_product_fallback
realworld_completed,ia_infect_hyper,Random-size-matched-candidate,random_size_matched,SASB-structured,20260513,0,early,1.0,1.0,0.0,1,1,0,0.0,0.0004553734061930783,35,45,35--45,98,31,31,98,3038,25,0.8333333333333334,1,0,3,32,"[""35"", ""44"", ""4"", ""49"", ""39"", ""13"", ""55"", ""40"", ""91"", ""100"", ""8"", ""80"", ""105"", ""16"", ""25"", ""59"", ""0"", ""42"", ""51"", ""74"", ""46"", ""50"", ""45"", ""72"", ""38"", ""99"", ""21"", ""28"", ""1"", ""33"", ""107"", ""85""]",a47f3ae3e5afeabb84fdce4b7aa9d25dc5ea53835c0bc8eecc3fc63c1cd2934f,"{""boundary"": 12, ""degree_core"": 10, ""random_fill"": 10}","{""degree_9_plus"": 32}","{""0"": 7, ""1"": 6, ""2"": 6, ""3"": 7, ""4"": 2, ""5"": 4}",222,"{""backend"": ""evaluate_m19_theory_calibrated.candidate_features"", ""delta_mode"": ""none"", ""k_max"": 512, ""k_min"": 64, ""variant"": ""conservative""}",222,0.10109289617486339,0.6711711711711712,0.6711711711711712,0.0,0.25675675675675674,"{""dp_257_plus"": 1.0}","{""cn_0"": 0.25675675675675674, ""cn_4_8"": 0.04504504504504504, ""cn_9_plus"": 0.6981981981981982}",16.905405405405407,2222.653153153153,uniform_random_edges_size_matched_to_sasb,e8c499b99324500976909259553b723534967ee445442026a80f0b5dfb57f652,222,2f5c51dd9ae772fe9b6e0dc8eef585b6c40eb44c0b601fc351a8edd60aa2279a,"{""random_size_matched"": 222}",0,0,0,0,{},0.2522522522522522,"{""common_neighbor_bin_l1"": 0.09909909909909906, ""degree_product_bin_l1"": 0.0, ""is_boundary_edge_l1"": 0.6576576576576576, ""is_bridge_edge_l1"": 0.0, ""is_inter_community_edge_l1"": 0.6576576576576576, ""is_low_common_neighbor_edge_l1"": 0.09909909909909903, ""mean_l1"": 0.2522522522522522}",1,32,32,42.362823517784236,0
realworld_completed,ia_infect_hyper,Random-size-matched-candidate,random_size_matched,SASB-structured,20260513,1,early,1.0,1.0,0.0,1,1,0,0.0004553734061930783,0.0009107468123861566,16,38,16--38,61,13,13,61,793,8,0.6666666666666666,1,1,5,32,"[""35"", ""44"", ""4"", ""49"", ""39"", ""13"", ""55"", ""40"", ""91"", ""100"", ""8"", ""80"", ""105"", ""16"", ""25"", ""59"", ""0"", ""42"", ""51"", ""74"", ""46"", ""50"", ""67"", ""103"", ""1"", ""38"", ""6"", ""32"", ""93"", ""29"", ""86"", ""107""]",4a412ae5f0264c5099d122becfccf58eb348c5c1e837cbe66cb31d031526293a,"{""boundary"": 12, ""degree_core"": 10, ""random_fill"": 10}","{""degree_9_plus"": 32}","{""0"": 6, ""1"": 7, ""2"": 4, ""3"": 8, ""4"": 2, ""5"": 5}",222,"{""backend"": ""evaluate_m19_theory_calibrated.candidate_features"", ""delta_mode"": ""none"", ""k_max"": 512, ""k_min"": 64, ""variant"": ""conservative""}",222,0.10113895216400912,0.7612612612612613,0.7612612612612613,0.0,0.24324324324324326,"{""dp_257_plus"": 1.0}","{""cn_0"": 0.24324324324324326, ""cn_4_8"": 0.06306306306306306, ""cn_9_plus"": 0.6936936936936937}",17.78828828828829,2280.490990990991,uniform_random_edges_size_matched_to_sasb,be6d76546c79d10d3d736ee3e32d94a36eff3ee8354682e76fecd11edf12cb07,222,95ae80a5951a8fc60ffbe49a936475fab610361c8a0a747b4d645d48b681b4e6,"{""random_size_matched"": 222}",0,0,0,0,{},0.20120120120120122,"{""common_neighbor_bin_l1"": 0.12612612612612611, ""degree_product_bin_l1"": 0.0, ""is_boundary_edge_l1"": 0.4774774774774775, ""is_bridge_edge_l1"": 0.0, ""is_inter_community_edge_l1"": 0.4774774774774775, ""is_low_common_neighbor_edge_l1"": 0.12612612612612611, ""mean_l1"": 0.20120120120120122}",1,32,32,45.61557185307668,0
realworld_completed,ia_infect_hyper,Random-size-matched-candidate,random_size_matched,SASB-structured,20260513,2,early,1.0,1.0,0.0,1,1,0,0.0009107468123861566,0.001366120218579235,47,89,47--89,15,44,15,44,660,8,0.5714285714285714,1,2,1,32,"[""35"", ""44"", ""4"", ""49"", ""39"", ""13"", ""55"", ""40"", ""91"", ""100"", ""8"", ""80"", ""105"", ""25"", ""59"", ""16"", ""0"", ""42"", ""51"", ""74"", ""46"", ""50"", ""71"", ""47"", ""72"", ""43"", ""2"", ""18"", ""12"", ""64"", ""7"", ""70""]",2299c7bd9c43a0116900af8cf3d13aad780cafeea3c2fc6f18fcb20ca7814800,"{""boundary"": 12, ""degree_core"": 10, ""random_fill"": 10}","{""degree_9_plus"": 32}","{""0"": 7, ""1"": 8, ""2"": 6, ""3"": 5, ""4"": 3, ""5"": 3}",222,"{""backend"": ""evaluate_m19_theory_calibrated.candidate_features"", ""delta_mode"": ""none"", ""k_max"": 512, ""k_min"": 64, ""variant"": ""conservative""}",222,0.10118505013673655,0.6936936936936937,0.6936936936936937,0.0,0.25225225225225223,"{""dp_257_plus"": 0.9954954954954955, ""dp_65_256"": 0.0045045045045045045}","{""cn_0"": 0.25225225225225223, ""cn_4_8"": 0.05405405405405406, ""cn_9_plus"": 0.6936936936936937}",17.76126126126126,2241.436936936937,uniform_random_edges_size_matched_to_sasb,bfd2fc9d18ec3851001495ead0414d3f8706820b63c0a6a1a2c9b2f1a13fc5e0,222,5dc2ce3dea3ae02d4ebd51a61b877f65f0b12d8e980a9593860d810a48edc588,"{""random_size_matched"": 222}",0,0,0,0,{},0.2432432432432432,"{""common_neighbor_bin_l1"": 0.11711711711711709, ""degree_product_bin_l1"": 0.009009009009008962, ""is_boundary_edge_l1"": 0.6126126126126126, ""is_bridge_edge_l1"": 0.0, ""is_inter_community_edge_l1"": 0.6126126126126126, ""is_low_common_neighbor_edge_l1"": 0.10810810810810811, ""mean_l1"": 0.2432432432432432}",1,32,32,31.216826927155285,0
realworld_completed,ia_infect_hyper,Random-size-matched-candidate,random_size_matched,SASB-structured,20260513,3,early,1.0,1.0,0.0,1,1,0,0.001366120218579235,0.0018214936247723133,13,38,13--38,69,12,12,69,828,7,0.6363636363636364,1,5,1,32,"[""35"", ""44"", ""4"", ""49"", ""39"", ""13"", ""55"", ""40"", ""91"", ""100"", ""8"", ""80"", ""105"", ""25"", ""59"", ""16"", ""0"", ""42"", ""51"", ""74"", ""46"", ""50"", ""88"", ""112"", ""17"", ""11"", ""23"", ""103"", ""28"", ""22"", ""38"", ""106""]",ad4674e51f3d9296226a8c4bcf84c0c9ec489456f61890ce80c989f3713ba6f5,"{""boundary"": 12, ""degree_core"": 10, ""random_fill"": 10}","{""degree_9_plus"": 32}","{""0"": 7, ""1"": 7, ""2"": 6, ""3"": 7, ""4"": 2, ""5"": 3}",222,"{""backend"": ""evaluate_m19_theory_calibrated.candidate_features"", ""delta_mode"": ""none"", ""k_max"": 512, ""k_min"": 64, ""variant"": ""conservative""}",222,0.1012311901504788,0.7027027027027027,0.7027027027027027,0.0,0.2702702702702703,"{""dp_257_plus"": 0.9954954954954955, ""dp_65_256"": 0.0045045045045045045}","{""cn_0"": 0.2702702702702703, ""cn_4_8"": 0.04954954954954955, ""cn_9_plus"": 0.6801801801801802}",16.87837837837838,2149.6036036036035,uniform_random_edges_size_matched_to_sasb,094d430a3a48ae3dd849424fa4b3819248317b09b266b7b54c4a0f84f8e51bc2,222,e0f349311b1cee56cdfc06060ad070137fec50b85a2ea185ed7ec26866e07127,"{""random_size_matched"": 222}",0,0,0,0,{},0.2282282282282282,"{""common_neighbor_bin_l1"": 0.09009009009009006, ""degree_product_bin_l1"": 0.009009009009008962, ""is_boundary_edge_l1"": 0.5945945945945945, ""is_bridge_edge_l1"": 0.0, ""is_inter_community_edge_l1"": 0.5945945945945945, ""is_low_common_neighbor_edge_l1"": 0.08108108108108109, ""mean_l1"": 0.2282282282282282}",1,32,32,59.20294260044764,0
realworld_completed,ia_infect_hyper,Random-size-matched-candidate,random_size_matched,SASB-structured,20260513,4,early,1.0,1.0,0.0,1,1,0,0.0018214936247723133,0.002276867030965392,39,78,39--78,79,17,17,79,1343,12,0.75,0,5,5,32,"[""35"", ""44"", ""4"", ""49"", ""39"", ""13"", ""55"", ""40"", ""91"", ""100"", ""8"", ""80"", ""105"", ""25"", ""59"", ""16"", ""0"", ""42"", ""51"", ""74"", ""46"", ""50"", ""110"", ""96"", ""17"", ""32"", ""76"", ""83"", ""69"", ""78"", ""47"", ""7""]",c8636505e51a75b6fca5b41544f7cdcca110b951585d9e33114fecbe515b1880,"{""boundary"": 12, ""degree_core"": 10, ""random_fill"": 10}","{""degree_9_plus"": 32}","{""0"": 8, ""1"": 9, ""2"": 5, ""3"": 4, ""4"": 2, ""5"": 4}",222,"{""backend"": ""evaluate_m19_theory_calibrated.candidate_features"", ""delta_mode"": ""none"", ""k_max"": 512, ""k_min"": 64, ""variant"": ""conservative""}",222,0.10127737226277372,0.6441441441441441,0.6441441441441441,0.0,0.22972972972972974,"{""dp_257_plus"": 1.0}","{""cn_0"": 0.22972972972972974, ""cn_4_8"": 0.02702702702702703, ""cn_9_plus"": 0.7432432432432432}",19.01801801801802,2261.1396396396394,uniform_random_edges_size_matched_to_sasb,b84f4cef6de610636cd8009881dd5b6b0c894c6459812aba3144bced8e6bb6c8,222,3def0d2ac7ea7baf21fca86465ecdf6937df3c0527d7cb49206262bef893380e,"{""random_size_matched"": 222}",0,0,0,0,{},0.2942942942942943,"{""common_neighbor_bin_l1"": 0.17117117117117112, ""degree_product_bin_l1"": 0.0, ""is_boundary_edge_l1"": 0.7117117117117118, ""is_bridge_edge_l1"": 0.0, ""is_inter_community_edge_l1"": 0.7117117117117118, ""is_low_common_neighbor_edge_l1"": 0.17117117117117117, ""mean_l1"": 0.2942942942942943}",1,32,32,46.96764479393154,0
realworld_completed,ia_infect_hyper,Random-size-matched-candidate,random_size_matched,SASB-structured,20260513,5,early,1.0,1.0,0.0,1,1,0,0.002276867030965392,0.00273224043715847,35,88,35--88,97,37,37,97,3589,33,0.9166666666666666,1,0,2,32,"[""35"", ""44"", ""4"", ""49"", ""39"", ""13"", ""55"", ""40"", ""91"", ""100"", ""8"", ""80"", ""105"", ""25"", ""59"", ""16"", ""0"", ""42"", ""51"", ""74"", ""46"", ""50"", ""83"", ""86"", ""88"", ""98"", ""26"", ""21"", ""56"", ""72"", ""93"", ""108""]",a58bd340a525253dc9ba0843cd1e0dc6b77b7959010353423634d991746cd153,"{""boundary"": 12, ""degree_core"": 10, ""random_fill"": 10}","{""degree_9_plus"": 32}","{""0"": 7, ""1"": 6, ""2"": 8, ""3"": 6, ""4"": 3, ""5"": 2}",222,"{""backend"": ""evaluate_m19_theory_calibrated.candidate_features"", ""delta_mode"": ""none"", ""k_max"": 512, ""k_min"": 64, ""variant"": ""conservative""}",222,0.10132359653126426,0.7837837837837838,0.7837837837837838,0.0,0.21171171171171171,"{""dp_257_plus"": 1.0}","{""cn_0"": 0.21171171171171171, ""cn_2_3"": 0.0045045045045045045, ""cn_4_8"": 0.05405405405405406, ""cn_9_plus"": 0.7297297297297297}",18.504504504504503,2252.1936936936936,uniform_random_edges_size_matched_to_sasb,faf97db6d1a4b2bfff46832c9986f92681392ce818cabf50bada1f99e6dc1717,222,3def0d2ac7ea7baf21fca86465ecdf6937df3c0527d7cb49206262bef893380e,"{""random_size_matched"": 222}",0,0,0,0,{},0.2132132132132132,"{""common_neighbor_bin_l1"": 0.20720720720720717, ""degree_product_bin_l1"": 0.0, ""is_boundary_edge_l1"": 0.43243243243243246, ""is_bridge_edge_l1"": 0.0, ""is_inter_community_edge_l1"": 0.43243243243243246, ""is_low_common_neighbor_edge_l1"": 0.20720720720720726, ""mean_l1"": 0.2132132132132132}",1,32,32,34.698913458505956,0
realworld_completed,ia_infect_hyper,Random-size-matched-candidate,random_size_matched,SASB-structured,20260513,6,early,1.0,1.0,0.0,1,1,0,0.00273224043715847,0.0031876138433515485,16,35,16--35,60,96,60,96,5760,50,0.847457627118644,1,5,0,32,"[""35"", ""44"", ""4"", ""49"", ""39"", ""13"", ""55"", ""40"", ""91"", ""100"", ""8"", ""80"", ""105"", ""25"", ""59"", ""16"", ""0"", ""42"", ""51"", ""74"", ""46"", ""50"", ""5"", ""7"", ""96"", ""43"", ""77"", ""2"", ""58"", ""112"", ""60"", ""66""]",4c3d4fc0de26e82a997bfa8d67e3507f533d8407b75b6b602292feba0104cd93,"{""boundary"": 12, ""degree_core"": 10, ""random_fill"": 10}","{""degree_9_plus"": 32}","{""0"": 8, ""1"": 7, ""2"": 5, ""3"": 7, ""4"": 2, ""5"": 3}",222,"{""backend"": ""evaluate_m19_theory_calibrated.candidate_features"", ""delta_mode"": ""none"", ""k_max"": 512, ""k_min"": 64, ""variant"": ""conservative""}",222,0.10136986301369863,0.7072072072072072,0.7072072072072072,0.0,0.22522522522522523,"{""dp_257_plus"": 0.9954954954954955, ""dp_65_256"": 0.0045045045045045045}","{""cn_0"": 0.22522522522522523, ""cn_2_3"": 0.0045045045045045045, ""cn_4_8"": 0.05405405405405406, ""cn_9_plus"": 0.7162162162162162}",17.72972972972973,2114.945945945946,uniform_random_edges_size_matched_to_sasb,3cf0210b89cd9e23605153987eb5b6459b54e408530a2e9327cfffa6d31203a8,222,15b90758a46188aa9e9811a84a4b9f3dbe6055ef0386c906f0913b3ffcce160e,"{""random_size_matched"": 222}",0,0,0,0,{},0.25375375375375375,"{""common_neighbor_bin_l1"": 0.1711711711711712, ""degree_product_bin_l1"": 0.009009009009008962, ""is_boundary_edge_l1"": 0.5855855855855856, ""is_bridge_edge_l1"": 0.0, ""is_inter_community_edge_l1"": 0.5855855855855856, ""is_low_common_neighbor_edge_l1"": 0.17117117117117117, ""mean_l1"": 0.25375375375375375}",1,32,32,22.363942290905094,0
realworld_completed,ia_infect_hyper,Random-size-matched-candidate,random_size_matched,SASB-structured,20260513,7,early,1.0,1.0,0.0,1,1,0,0.0031876138433515485,0.0036429872495446266,8,87,8--87,66,13,13,66,858,7,0.5833333333333334,1,2,1,32,"[""35"", ""44"", ""4"", ""49"", ""39"", ""13"", ""55"", ""40"", ""91"", ""100"", ""8"", ""80"", ""105"", ""25"", ""59"", ""0"", ""16"", ""42"", ""51"", ""74"", ""46"", ""50"", ""28"", ""53"", ""107"", ""14"", ""87"", ""17"", ""62"", ""97"", ""9"", ""94""]",2d4dad8ad375d466da4b0ee54e215a6593ce7abf3bd4c40841766aff7424d978,"{""boundary"": 12, ""degree_core"": 10, ""random_fill"": 10}","{""degree_9_plus"": 32}","{""0"": 6, ""1"": 8, ""2"": 9, ""3"": 4, ""4"": 2, ""5"": 3}",222,"{""backend"": ""evaluate_m19_theory_calibrated.candidate_features"", ""delta_mode"": ""none"", ""k_max"": 512, ""k_min"": 64, ""variant"": ""conservative""}",222,0.10141617176793057,0.7117117117117117,0.7117117117117117,0.0,0.2702702702702703,"{""dp_257_plus"": 1.0}","{""cn_0"": 0.2702702702702703, ""cn_2_3"": 0.009009009009009009, ""cn_4_8"": 0.036036036036036036, ""cn_9_plus"": 0.6846846846846847}",17.02252252252252,2217.59009009009,uniform_random_edges_size_matched_to_sasb,b17919211f4f3d7c6c6271ba37475f2b2bcfd53764090774f6936b0164bced3f,222,d34e1fcb2218cf40fb455b400a553e09a3c68f7c615daa25a18d4039a2b18ed2,"{""random_size_matched"": 222}",0,0,0,0,{},0.21921921921921927,"{""common_neighbor_bin_l1"": 0.0810810810810811, ""degree_product_bin_l1"": 0.0, ""is_boundary_edge_l1"": 0.5765765765765767, ""is_bridge_edge_l1"": 0.0, ""is_inter_community_edge_l1"": 0.5765765765765767, ""is_low_common_neighbor_edge_l1"": 0.08108108108108109, ""mean_l1"": 0.21921921921921927}",1,32,32,54.08655912405912,0
realworld_completed,ia_infect_hyper,Random-size-matched-candidate,random_size_matched,SASB-structured,20260513,8,early,1.0,0.9911504424778761,0.008849557522123908,1,2,1,0.0036429872495446266,0.004098360655737705,35,84,35--84,95,1,1,95,95,0,0.0,0,4,4,32,"[""35"", ""44"", ""4"", ""49"", ""39"", ""13"", ""55"", ""40"", ""91"", ""100"", ""8"", ""80"", ""105"", ""25"", ""59"", ""0"", ""16"", ""42"", ""51"", ""74"", ""46"", ""50"", ""92"", ""112"", ""65"", ""96"", ""102"", ""79"", ""9"", ""64"", ""15"", ""24""]",e588709dee3b6f8c0309bf3304d8d6780ab8cc7e514030d12e01c516c5fff7a3,"{""boundary"": 12, ""degree_core"": 10, ""random_fill"": 10}","{""degree_9_plus"": 32}","{""0"": 7, ""1"": 7, ""2"": 6, ""3"": 7, ""4"": 3, ""5"": 2}",222,"{""backend"": ""evaluate_m19_theory_calibrated.candidate_features"", ""delta_mode"": ""none"", ""k_max"": 512, ""k_min"": 64, ""variant"": ""conservative""}",222,0.10146252285191956,0.7162162162162162,0.7162162162162162,0.0045045045045045045,0.1981981981981982,"{""dp_257_plus"": 0.990990990990991, ""dp_65_256"": 0.009009009009009009}","{""cn_0"": 0.1981981981981982, ""cn_2_3"": 0.0045045045045045045, ""cn_4_8"": 0.036036036036036036, ""cn_9_plus"": 0.7612612612612613}",17.96846846846847,2157.3513513513512,uniform_random_edges_size_matched_to_sasb,fb2486853c459ea80e3b75fde4ffa950926afb9ea7c3c9270288b04114fcc5ba,222,465ba48bb0e3a3c33c76270d4dc66b97d738862e7ece75ad4d20ae4833b86223,"{""random_size_matched"": 222}",0,0,0,0,{},0.27177177177177175,"{""common_neighbor_bin_l1"": 0.2342342342342342, ""degree_product_bin_l1"": 0.018018018018018035, ""is_boundary_edge_l1"": 0.5675675675675675, ""is_bridge_edge_l1"": 0.009009009009008962, ""is_inter_community_edge_l1"": 0.5675675675675675, ""is_low_common_neighbor_edge_l1"": 0.23423423423423426, ""mean_l1"": 0.27177177177177175}",1,32,32,113.0,0
realworld_completed,ia_infect_hyper,Random-size-matched-candidate,random_size_matched,SASB-structured,20260513,9,early,0.9911504424778761,0.9911504424778761,0.0,2,2,0,0.004098360655737705,0.004553734061930784,49,95,49--95,82,14,14,82,1148,11,0.8461538461538461,1,0,4,32,"[""35"", ""44"", ""4"", ""49"", ""39"", ""13"", ""55"", ""40"", ""91"", ""100"", ""8"", ""80"", ""105"", ""25"", ""59"", ""0"", ""16"", ""42"", ""51"", ""74"", ""46"", ""50"", ""26"", ""69"", ""2"", ""58"", ""63"", ""14"", ""27"", ""23"", ""87"", ""95""]",35e59cfeb6f3af411d4e7901fc4da8e41cb781da54da26af3ac969b26a6e7f4f,"{""boundary"": 12, ""degree_core"": 10, ""random_fill"": 10}","{""degree_9_plus"": 32}","{""0"": 9, ""1"": 11, ""2"": 5, ""3"": 4, ""4"": 1, ""5"": 2}",221,"{""backend"": ""evaluate_m19_theory_calibrated.candidate_features"", ""delta_mode"": ""none"", ""k_max"": 512, ""k_min"": 64, ""variant"": ""conservative""}",221,0.10105166895290352,0.7104072398190046,0.7104072398190046,0.0,0.2398190045248869,"{""dp_257_plus"": 1.0}","{""cn_0"": 0.2398190045248869, ""cn_4_8"": 0.058823529411764705, ""cn_9_plus"": 0.7013574660633484}",18.085972850678733,2305.031674208145,uniform_random_edges_size_matched_to_sasb,b4300cfab69b8b8db176681c2f5c608d33b9f5a8a068c97d75915e05a4706f85,221,24103b2978df5982e3df4c0f564ec9dfd268ddfdbbe05006c4f38e6ee8808ee8,"{""random_size_matched"": 221}",0,0,0,0,{},0.2609351432880844,"{""common_neighbor_bin_l1"": 0.20814479638009045, ""degree_product_bin_l1"": 0.0, ""is_boundary_edge_l1"": 0.5791855203619909, ""is_bridge_edge_l1"": 0.0, ""is_inter_community_edge_l1"": 0.5791855203619909, ""is_low_common_neighbor_edge_l1"": 0.19909502262443438, ""mean_l1"": 0.2609351432880844}",1,32,32,57.633723843206596,0
