dataset,graph_id,method,candidate_policy,source_policy,seed,step,attack_phase,gcc_before,gcc_after,delta_gcc,num_components_before,num_components_after,is_bridge_before_removal,remove_ratio_before,remove_ratio_after,edge_u,edge_v,selected_edge,degree_u,degree_v,degree_min,degree_max,degree_product,common_neighbors,edge_embeddedness,is_inter_community_edge,community_u,community_v,source_count,source_nodes,source_node_hash,source_strata_counts,source_degree_bins,source_community_counts,adaptive_k,candidate_config,candidate_count,candidate_fraction,candidate_inter_community_ratio,candidate_boundary_ratio,candidate_bridge_ratio,candidate_low_cn_ratio,candidate_degree_product_distribution,candidate_common_neighbor_distribution,candidate_mean_common_neighbors,candidate_mean_degree_product,candidate_backend,candidate_hash,sasb_candidate_count_reference,sasb_candidate_hash_reference,match_mode_counts,strict_match_count,degree_only_match_count,community_only_match_count,fallback_count,fallback_reason,matched_feature_difference,matched_feature_difference_detail,candidate_count_equal_to_sasb,source_budget,true_source_traversal_count,sampled_betweenness_score,p2_degree_product_fallback
realworld_completed,ia_infect_hyper,Structure-matched-candidate,structure_matched,SASB-structured,20260513,0,early,1.0,1.0,0.0,1,1,0,0.0,0.0004553734061930783,38,49,38--49,13,82,13,82,1066,11,0.9166666666666666,1,5,0,32,"[""35"", ""44"", ""4"", ""49"", ""39"", ""13"", ""55"", ""40"", ""91"", ""100"", ""8"", ""80"", ""105"", ""16"", ""25"", ""59"", ""0"", ""42"", ""51"", ""74"", ""46"", ""50"", ""45"", ""72"", ""38"", ""99"", ""21"", ""28"", ""1"", ""33"", ""107"", ""85""]",a47f3ae3e5afeabb84fdce4b7aa9d25dc5ea53835c0bc8eecc3fc63c1cd2934f,"{""boundary"": 12, ""degree_core"": 10, ""random_fill"": 10}","{""degree_9_plus"": 32}","{""0"": 7, ""1"": 6, ""2"": 6, ""3"": 7, ""4"": 2, ""5"": 4}",222,"{""backend"": ""evaluate_m19_theory_calibrated.candidate_features"", ""delta_mode"": ""none"", ""k_max"": 512, ""k_min"": 64, ""variant"": ""conservative""}",222,0.10109289617486339,1.0,1.0,0.0,0.3063063063063063,"{""dp_257_plus"": 1.0}","{""cn_0"": 0.3063063063063063, ""cn_4_8"": 0.03153153153153153, ""cn_9_plus"": 0.6621621621621622}",16.315315315315317,2302.027027027027,random_edges_structure_matched_to_sasb,f6ff36d815dfa204a2a8ec9719cddcd1c0958540b599b25b0a1658f875a12ff4,222,2f5c51dd9ae772fe9b6e0dc8eef585b6c40eb44c0b601fc351a8edd60aa2279a,"{""strict"": 222}",222,0,0,0,{},0.0,"{""common_neighbor_bin_l1"": 0.0, ""degree_product_bin_l1"": 0.0, ""is_boundary_edge_l1"": 0.0, ""is_bridge_edge_l1"": 0.0, ""is_inter_community_edge_l1"": 0.0, ""is_low_common_neighbor_edge_l1"": 0.0, ""mean_l1"": 0.0}",1,32,32,69.19523530654283,0
realworld_completed,ia_infect_hyper,Structure-matched-candidate,structure_matched,SASB-structured,20260513,1,early,1.0,1.0,0.0,1,1,0,0.0004553734061930783,0.0009107468123861566,49,86,49--86,81,15,15,81,1215,14,1.0,1,1,4,32,"[""35"", ""44"", ""4"", ""49"", ""39"", ""13"", ""55"", ""40"", ""91"", ""100"", ""8"", ""80"", ""105"", ""16"", ""25"", ""59"", ""0"", ""42"", ""51"", ""74"", ""46"", ""50"", ""67"", ""103"", ""1"", ""38"", ""6"", ""32"", ""93"", ""29"", ""86"", ""107""]",4a412ae5f0264c5099d122becfccf58eb348c5c1e837cbe66cb31d031526293a,"{""boundary"": 12, ""degree_core"": 10, ""random_fill"": 10}","{""degree_9_plus"": 32}","{""0"": 6, ""1"": 7, ""2"": 4, ""3"": 8, ""4"": 2, ""5"": 5}",222,"{""backend"": ""evaluate_m19_theory_calibrated.candidate_features"", ""delta_mode"": ""none"", ""k_max"": 512, ""k_min"": 64, ""variant"": ""conservative""}",222,0.10113895216400912,1.0,1.0,0.0,0.3063063063063063,"{""dp_257_plus"": 1.0}","{""cn_0"": 0.3063063063063063, ""cn_4_8"": 0.02702702702702703, ""cn_9_plus"": 0.6666666666666666}",16.873873873873872,2369.400900900901,random_edges_structure_matched_to_sasb,7d46654cff2c153facae9ce24a9c9e8cfa3999bf7e526ca3cc33bdfe34cd3e61,222,214f0715facfc301fd31da549d204adf001d466810899298ee20771267d98f39,"{""strict"": 222}",222,0,0,0,{},0.0,"{""common_neighbor_bin_l1"": 0.0, ""degree_product_bin_l1"": 0.0, ""is_boundary_edge_l1"": 0.0, ""is_bridge_edge_l1"": 0.0, ""is_inter_community_edge_l1"": 0.0, ""is_low_common_neighbor_edge_l1"": 0.0, ""mean_l1"": 0.0}",1,32,32,48.03176146769895,0
realworld_completed,ia_infect_hyper,Structure-matched-candidate,structure_matched,SASB-structured,20260513,2,early,1.0,1.0,0.0,1,1,0,0.0009107468123861566,0.001366120218579235,28,47,28--47,42,15,15,42,630,4,0.2857142857142857,1,0,2,32,"[""35"", ""44"", ""4"", ""39"", ""49"", ""13"", ""55"", ""40"", ""91"", ""100"", ""8"", ""80"", ""105"", ""16"", ""25"", ""59"", ""0"", ""42"", ""51"", ""74"", ""46"", ""50"", ""71"", ""47"", ""72"", ""43"", ""2"", ""18"", ""12"", ""64"", ""7"", ""70""]",4d87e6917eace3cb8f53a62a813238c4176aa21c778fe5d0d534b3911df360f3,"{""boundary"": 12, ""degree_core"": 10, ""random_fill"": 10}","{""degree_9_plus"": 32}","{""0"": 7, ""1"": 8, ""2"": 6, ""3"": 5, ""4"": 3, ""5"": 3}",222,"{""backend"": ""evaluate_m19_theory_calibrated.candidate_features"", ""delta_mode"": ""none"", ""k_max"": 512, ""k_min"": 64, ""variant"": ""conservative""}",222,0.10118505013673655,1.0,1.0,0.0,0.3063063063063063,"{""dp_257_plus"": 1.0}","{""cn_0"": 0.3063063063063063, ""cn_4_8"": 0.03153153153153153, ""cn_9_plus"": 0.6621621621621622}",17.675675675675677,2452.9684684684685,random_edges_structure_matched_to_sasb,104c40c7c6e3483a3db27fe7ba3f900bc6b9f45bfd6dff9df3923872f5376403,222,0fd91b27818fff96929ff9a7957227d481d5714cd9eac75eac5108d1a97de3e8,"{""strict"": 222}",222,0,0,0,{},0.0,"{""common_neighbor_bin_l1"": 0.0, ""degree_product_bin_l1"": 0.0, ""is_boundary_edge_l1"": 0.0, ""is_bridge_edge_l1"": 0.0, ""is_inter_community_edge_l1"": 0.0, ""is_low_common_neighbor_edge_l1"": 0.0, ""mean_l1"": 0.0}",1,32,32,34.428348595505156,0
realworld_completed,ia_infect_hyper,Structure-matched-candidate,structure_matched,SASB-structured,20260513,3,early,1.0,1.0,0.0,1,1,0,0.001366120218579235,0.0018214936247723133,100,103,100--103,56,18,18,56,1008,12,0.7058823529411765,1,1,0,32,"[""35"", ""44"", ""4"", ""39"", ""49"", ""13"", ""55"", ""40"", ""91"", ""100"", ""8"", ""80"", ""105"", ""16"", ""25"", ""59"", ""0"", ""42"", ""51"", ""74"", ""46"", ""50"", ""88"", ""112"", ""17"", ""11"", ""23"", ""103"", ""28"", ""22"", ""38"", ""106""]",f1f411e2eb24b3d8eb9f783b8095602f552fc6abf86897df70dde4c9a4af63c9,"{""boundary"": 12, ""degree_core"": 10, ""random_fill"": 10}","{""degree_9_plus"": 32}","{""0"": 7, ""1"": 7, ""2"": 6, ""3"": 7, ""4"": 2, ""5"": 3}",222,"{""backend"": ""evaluate_m19_theory_calibrated.candidate_features"", ""delta_mode"": ""none"", ""k_max"": 512, ""k_min"": 64, ""variant"": ""conservative""}",222,0.1012311901504788,1.0,1.0,0.0,0.3108108108108108,"{""dp_257_plus"": 1.0}","{""cn_0"": 0.3108108108108108, ""cn_4_8"": 0.02702702702702703, ""cn_9_plus"": 0.6621621621621622}",16.84234234234234,2354.5855855855857,random_edges_structure_matched_to_sasb,192e18b14b31a1d1f3798b70b4742fb99eee92af7c0e929f793abf6e31e778d3,222,217117331672997a15b16c0c49d1df7302a646a6f04f638fe0ae754a47b22806,"{""strict"": 222}",222,0,0,0,{},0.0,"{""common_neighbor_bin_l1"": 0.0, ""degree_product_bin_l1"": 0.0, ""is_boundary_edge_l1"": 0.0, ""is_bridge_edge_l1"": 0.0, ""is_inter_community_edge_l1"": 0.0, ""is_low_common_neighbor_edge_l1"": 0.0, ""mean_l1"": 0.0}",1,32,32,34.5423621041268,0
realworld_completed,ia_infect_hyper,Structure-matched-candidate,structure_matched,SASB-structured,20260513,4,early,1.0,1.0,0.0,1,1,0,0.0018214936247723133,0.002276867030965392,6,78,6--78,55,17,17,55,935,10,0.625,1,2,4,32,"[""35"", ""44"", ""4"", ""39"", ""49"", ""13"", ""55"", ""40"", ""91"", ""8"", ""100"", ""80"", ""105"", ""16"", ""25"", ""59"", ""0"", ""42"", ""51"", ""74"", ""46"", ""50"", ""110"", ""96"", ""17"", ""32"", ""76"", ""83"", ""69"", ""78"", ""47"", ""7""]",6fdfc537c9b1988b87a8326433fe4c88a4b57353fb278261e72c3daecc1d2bf2,"{""boundary"": 12, ""degree_core"": 10, ""random_fill"": 10}","{""degree_9_plus"": 32}","{""0"": 8, ""1"": 9, ""2"": 5, ""3"": 4, ""4"": 2, ""5"": 4}",222,"{""backend"": ""evaluate_m19_theory_calibrated.candidate_features"", ""delta_mode"": ""none"", ""k_max"": 512, ""k_min"": 64, ""variant"": ""conservative""}",222,0.10127737226277372,1.0,1.0,0.0,0.3063063063063063,"{""dp_257_plus"": 1.0}","{""cn_0"": 0.3063063063063063, ""cn_4_8"": 0.02702702702702703, ""cn_9_plus"": 0.6666666666666666}",17.38738738738739,2359.774774774775,random_edges_structure_matched_to_sasb,9c82dd79be2aea71ccef37715119780474881c63eef9309ebdfd1c896a8f1f6b,222,bb4038050af995cbc83fed139b54349896df49b79eccfbcca3f95654c3a4e11d,"{""strict"": 222}",222,0,0,0,{},0.0,"{""common_neighbor_bin_l1"": 0.0, ""degree_product_bin_l1"": 0.0, ""is_boundary_edge_l1"": 0.0, ""is_bridge_edge_l1"": 0.0, ""is_inter_community_edge_l1"": 0.0, ""is_low_common_neighbor_edge_l1"": 0.0, ""mean_l1"": 0.0}",1,32,32,32.59473828994739,0
realworld_completed,ia_infect_hyper,Structure-matched-candidate,structure_matched,SASB-structured,20260513,5,early,1.0,1.0,0.0,1,1,0,0.002276867030965392,0.00273224043715847,35,72,35--72,98,28,28,98,2744,23,0.8518518518518519,1,1,0,32,"[""35"", ""44"", ""4"", ""39"", ""49"", ""13"", ""55"", ""40"", ""91"", ""8"", ""100"", ""80"", ""105"", ""16"", ""25"", ""59"", ""0"", ""42"", ""51"", ""74"", ""46"", ""50"", ""83"", ""86"", ""88"", ""98"", ""26"", ""21"", ""56"", ""72"", ""93"", ""108""]",a1fee054b47ee52bdba1347a695b2c29539d9f404ec60d88c07d6ee9d95607f2,"{""boundary"": 12, ""degree_core"": 10, ""random_fill"": 10}","{""degree_9_plus"": 32}","{""0"": 7, ""1"": 6, ""2"": 8, ""3"": 6, ""4"": 3, ""5"": 2}",222,"{""backend"": ""evaluate_m19_theory_calibrated.candidate_features"", ""delta_mode"": ""none"", ""k_max"": 512, ""k_min"": 64, ""variant"": ""conservative""}",222,0.10132359653126426,1.0,1.0,0.0,0.3063063063063063,"{""dp_257_plus"": 1.0}","{""cn_0"": 0.3063063063063063, ""cn_4_8"": 0.03153153153153153, ""cn_9_plus"": 0.6621621621621622}",17.806306306306308,2418.572072072072,random_edges_structure_matched_to_sasb,6b39b4d59d5dffb8f2ffc81ac926b7a6114df85d283183ba20a3b5258db84625,222,4584ee1634c7e7ae0edaea53a86646db477c573f4ff870c38cd9675bfbe25167,"{""strict"": 222}",222,0,0,0,{},0.0,"{""common_neighbor_bin_l1"": 0.0, ""degree_product_bin_l1"": 0.0, ""is_boundary_edge_l1"": 0.0, ""is_bridge_edge_l1"": 0.0, ""is_inter_community_edge_l1"": 0.0, ""is_low_common_neighbor_edge_l1"": 0.0, ""mean_l1"": 0.0}",1,32,32,44.89153968694684,0
realworld_completed,ia_infect_hyper,Structure-matched-candidate,structure_matched,SASB-structured,20260513,6,early,1.0,1.0,0.0,1,1,0,0.00273224043715847,0.0031876138433515485,7,91,7--91,27,67,27,67,1809,18,0.6923076923076923,1,4,3,32,"[""35"", ""44"", ""4"", ""39"", ""49"", ""13"", ""55"", ""40"", ""91"", ""8"", ""100"", ""80"", ""105"", ""16"", ""25"", ""59"", ""0"", ""42"", ""51"", ""74"", ""46"", ""50"", ""5"", ""7"", ""96"", ""43"", ""77"", ""2"", ""58"", ""112"", ""60"", ""66""]",c5d6cbc39bb62f3a4463429f96ea17c2789ac13525e2e9b5379b1dece096a422,"{""boundary"": 12, ""degree_core"": 10, ""random_fill"": 10}","{""degree_9_plus"": 32}","{""0"": 8, ""1"": 7, ""2"": 5, ""3"": 7, ""4"": 2, ""5"": 3}",222,"{""backend"": ""evaluate_m19_theory_calibrated.candidate_features"", ""delta_mode"": ""none"", ""k_max"": 512, ""k_min"": 64, ""variant"": ""conservative""}",222,0.10136986301369863,1.0,1.0,0.0,0.3063063063063063,"{""dp_257_plus"": 1.0}","{""cn_0"": 0.3063063063063063, ""cn_4_8"": 0.03153153153153153, ""cn_9_plus"": 0.6621621621621622}",17.50900900900901,2399.054054054054,random_edges_structure_matched_to_sasb,843e2fb607e3bfbd40a4eb8dcb3e7057e0c161eb26414f7a679678cc09cc7fd9,222,fac8a59fc3ef11e343c15d1a3dd4843dcc7dbe03c8a7e0885dbcd4a6b639b01c,"{""strict"": 222}",222,0,0,0,{},0.0,"{""common_neighbor_bin_l1"": 0.0, ""degree_product_bin_l1"": 0.0, ""is_boundary_edge_l1"": 0.0, ""is_bridge_edge_l1"": 0.0, ""is_inter_community_edge_l1"": 0.0, ""is_low_common_neighbor_edge_l1"": 0.0, ""mean_l1"": 0.0}",1,32,32,29.740368762077022,0
realworld_completed,ia_infect_hyper,Structure-matched-candidate,structure_matched,SASB-structured,20260513,7,early,1.0,1.0,0.0,1,1,0,0.0031876138433515485,0.0036429872495446266,8,87,8--87,66,13,13,66,858,7,0.5833333333333334,1,0,1,32,"[""35"", ""44"", ""4"", ""39"", ""49"", ""13"", ""55"", ""40"", ""91"", ""8"", ""100"", ""80"", ""105"", ""16"", ""25"", ""59"", ""0"", ""42"", ""51"", ""74"", ""46"", ""50"", ""28"", ""53"", ""107"", ""14"", ""87"", ""17"", ""62"", ""97"", ""9"", ""94""]",5fc859894194ecbdb2406d39b71af937160ba97060157a58065531b85259f24a,"{""boundary"": 12, ""degree_core"": 10, ""random_fill"": 10}","{""degree_9_plus"": 32}","{""0"": 6, ""1"": 8, ""2"": 9, ""3"": 4, ""4"": 2, ""5"": 3}",222,"{""backend"": ""evaluate_m19_theory_calibrated.candidate_features"", ""delta_mode"": ""none"", ""k_max"": 512, ""k_min"": 64, ""variant"": ""conservative""}",222,0.10141617176793057,1.0,1.0,0.0,0.3063063063063063,"{""dp_257_plus"": 1.0}","{""cn_0"": 0.3063063063063063, ""cn_4_8"": 0.03153153153153153, ""cn_9_plus"": 0.6621621621621622}",17.00900900900901,2341.1666666666665,random_edges_structure_matched_to_sasb,ad6f7e1e51fc14e38f441080b45c16057b1628b528c06c3c67ab6f032590ba3d,222,e5de82ed9d4e4fbc7a01365472751939de6366fd88555e692eb32762f3309341,"{""strict"": 222}",222,0,0,0,{},0.0,"{""common_neighbor_bin_l1"": 0.0, ""degree_product_bin_l1"": 0.0, ""is_boundary_edge_l1"": 0.0, ""is_bridge_edge_l1"": 0.0, ""is_inter_community_edge_l1"": 0.0, ""is_low_common_neighbor_edge_l1"": 0.0, ""mean_l1"": 0.0}",1,32,32,54.37485924483207,0
realworld_completed,ia_infect_hyper,Structure-matched-candidate,structure_matched,SASB-structured,20260513,8,early,1.0,1.0,0.0,1,1,0,0.0036429872495446266,0.004098360655737705,77,79,77--79,46,11,11,46,506,4,0.4,1,4,3,32,"[""35"", ""44"", ""4"", ""39"", ""49"", ""13"", ""55"", ""40"", ""91"", ""100"", ""8"", ""80"", ""105"", ""16"", ""25"", ""59"", ""0"", ""42"", ""51"", ""74"", ""46"", ""50"", ""92"", ""112"", ""65"", ""96"", ""102"", ""79"", ""9"", ""64"", ""15"", ""24""]",1599071ab8dd5326c7df23dc9da9f8bed09347f8af7078d4a11b04fcff5d96c7,"{""boundary"": 12, ""degree_core"": 10, ""random_fill"": 10}","{""degree_9_plus"": 32}","{""0"": 7, ""1"": 7, ""2"": 6, ""3"": 7, ""4"": 3, ""5"": 2}",222,"{""backend"": ""evaluate_m19_theory_calibrated.candidate_features"", ""delta_mode"": ""none"", ""k_max"": 512, ""k_min"": 64, ""variant"": ""conservative""}",222,0.10146252285191956,1.0,1.0,0.0,0.3063063063063063,"{""dp_257_plus"": 1.0}","{""cn_0"": 0.30180180180180183, ""cn_1"": 0.0045045045045045045, ""cn_4_8"": 0.03153153153153153, ""cn_9_plus"": 0.6621621621621622}",17.54054054054054,2338.837837837838,random_edges_structure_matched_to_sasb,0c74ed27570028e6dae83288345c35051b227d589423f29a88e84184eb2118bb,222,5f50d4b9f93df786ea8261d7222203d68358ea1cdc5ccaa0ab5061a698a94576,"{""strict"": 222}",222,0,0,0,{},0.0,"{""common_neighbor_bin_l1"": 0.0, ""degree_product_bin_l1"": 0.0, ""is_boundary_edge_l1"": 0.0, ""is_bridge_edge_l1"": 0.0, ""is_inter_community_edge_l1"": 0.0, ""is_low_common_neighbor_edge_l1"": 0.0, ""mean_l1"": 0.0}",1,32,32,43.41235664919876,0
realworld_completed,ia_infect_hyper,Structure-matched-candidate,structure_matched,SASB-structured,20260513,9,early,1.0,1.0,0.0,1,1,0,0.004098360655737705,0.004553734061930784,14,35,14--35,23,97,23,97,2231,20,0.9090909090909091,1,1,4,32,"[""35"", ""44"", ""4"", ""39"", ""49"", ""13"", ""55"", ""40"", ""91"", ""100"", ""8"", ""80"", ""105"", ""16"", ""25"", ""59"", ""0"", ""42"", ""51"", ""74"", ""46"", ""50"", ""87"", ""84"", ""14"", ""27"", ""64"", ""72"", ""26"", ""108"", ""21"", ""34""]",021df99bb789d6cb156243a69337d652b717e231b73b20bee637f864bf13e502,"{""boundary"": 12, ""degree_core"": 10, ""random_fill"": 10}","{""degree_0_1"": 1, ""degree_9_plus"": 31}","{""0"": 7, ""1"": 10, ""2"": 7, ""3"": 5, ""4"": 1, ""5"": 2}",222,"{""backend"": ""evaluate_m19_theory_calibrated.candidate_features"", ""delta_mode"": ""none"", ""k_max"": 512, ""k_min"": 64, ""variant"": ""conservative""}",222,0.10150891632373114,1.0,1.0,0.0,0.3063063063063063,"{""dp_257_plus"": 1.0}","{""cn_0"": 0.30180180180180183, ""cn_1"": 0.0045045045045045045, ""cn_4_8"": 0.03153153153153153, ""cn_9_plus"": 0.6621621621621622}",17.10810810810811,2352.0855855855857,random_edges_structure_matched_to_sasb,2ffe00e12b47e0ade0ecf06e56c42a0017c7d70e13863a43c45cf5af80265653,222,5f50d4b9f93df786ea8261d7222203d68358ea1cdc5ccaa0ab5061a698a94576,"{""strict"": 222}",222,0,0,0,{},0.0,"{""common_neighbor_bin_l1"": 0.0, ""degree_product_bin_l1"": 0.0, ""is_boundary_edge_l1"": 0.0, ""is_bridge_edge_l1"": 0.0, ""is_inter_community_edge_l1"": 0.0, ""is_low_common_neighbor_edge_l1"": 0.0, ""mean_l1"": 0.0}",1,32,32,56.28627592804618,0
