dataset,graph_id,method,candidate_policy,source_policy,seed,step,attack_phase,gcc_before,gcc_after,delta_gcc,num_components_before,num_components_after,is_bridge_before_removal,remove_ratio_before,remove_ratio_after,edge_u,edge_v,selected_edge,degree_u,degree_v,degree_min,degree_max,degree_product,common_neighbors,edge_embeddedness,is_inter_community_edge,community_u,community_v,source_count,source_nodes,source_node_hash,source_strata_counts,source_degree_bins,source_community_counts,adaptive_k,candidate_config,candidate_count,candidate_fraction,candidate_inter_community_ratio,candidate_boundary_ratio,candidate_bridge_ratio,candidate_low_cn_ratio,candidate_degree_product_distribution,candidate_common_neighbor_distribution,candidate_mean_common_neighbors,candidate_mean_degree_product,candidate_backend,candidate_hash,sasb_candidate_count_reference,sasb_candidate_hash_reference,match_mode_counts,strict_match_count,degree_only_match_count,community_only_match_count,fallback_count,fallback_reason,matched_feature_difference,matched_feature_difference_detail,candidate_count_equal_to_sasb,source_budget,true_source_traversal_count,sampled_betweenness_score,p2_degree_product_fallback
realworld_completed,inf_euroroad,Random-size-matched-candidate,random_size_matched,SASB-structured,20260513,0,early,1.0,1.0,0.0,1,1,0,0.0,0.0007662835249042146,320,430,320--430,10,2,2,10,20,0,0.0,0,13,13,32,"[""637"", ""448"", ""438"", ""320"", ""270"", ""534"", ""299"", ""274"", ""276"", ""550"", ""415"", ""54"", ""170"", ""174"", ""214"", ""427"", ""177"", ""213"", ""221"", ""237"", ""253"", ""315"", ""50"", ""636"", ""469"", ""312"", ""733"", ""342"", ""309"", ""940"", ""899"", ""78""]",2f375455dab96b0d0686335f1f85ad94fa14e304e1526789723d32757983a2b7,"{""boundary"": 12, ""community_rep"": 6, ""degree_core"": 10, ""random_fill"": 4}","{""degree_2"": 4, ""degree_3_4"": 1, ""degree_5_8"": 26, ""degree_9_plus"": 1}","{""0"": 2, ""1"": 1, ""11"": 1, ""12"": 2, ""13"": 1, ""14"": 1, ""16"": 5, ""2"": 2, ""20"": 2, ""21"": 2, ""22"": 2, ""23"": 1, ""3"": 2, ""4"": 2, ""5"": 2, ""6"": 1, ""7"": 2, ""9"": 1}",251,"{""backend"": ""evaluate_m19_theory_calibrated.candidate_features"", ""delta_mode"": ""none"", ""k_max"": 512, ""k_min"": 64, ""variant"": ""conservative""}",251,0.19233716475095786,0.08366533864541832,0.08366533864541832,0.2788844621513944,0.9920318725099602,"{""dp_0_4"": 0.3386454183266932, ""dp_17_64"": 0.12749003984063745, ""dp_5_16"": 0.5338645418326693}","{""cn_0"": 0.9402390438247012, ""cn_1"": 0.05179282868525897, ""cn_2_3"": 0.00796812749003984}",0.06772908366533864,9.115537848605578,uniform_random_edges_size_matched_to_sasb,4329eb28e5eb75fce8168dc3b643e37a4b231b38302f06e486bfa4288b73b191,251,800977fb2c431f5973b6a9c8768cd89863e828efec88b5c469e4c6231adcfdd9,"{""random_size_matched"": 251}",0,0,0,0,{},0.4940239043824701,"{""common_neighbor_bin_l1"": 0.023904382470119515, ""degree_product_bin_l1"": 0.8047808764940239, ""is_boundary_edge_l1"": 0.796812749003984, ""is_bridge_edge_l1"": 0.5258964143426295, ""is_inter_community_edge_l1"": 0.796812749003984, ""is_low_common_neighbor_edge_l1"": 0.015936254980079674, ""mean_l1"": 0.4940239043824701}",1,32,32,178657.29329442955,0
realworld_completed,inf_euroroad,Random-size-matched-candidate,random_size_matched,SASB-structured,20260513,1,early,1.0,1.0,0.0,1,1,0,0.0007662835249042146,0.0015325670498084292,286,746,286--746,5,6,5,6,30,0,0.0,0,17,17,32,"[""637"", ""448"", ""438"", ""320"", ""270"", ""534"", ""299"", ""274"", ""276"", ""550"", ""415"", ""54"", ""170"", ""174"", ""214"", ""427"", ""177"", ""213"", ""221"", ""237"", ""253"", ""315"", ""50"", ""636"", ""469"", ""312"", ""733"", ""342"", ""228"", ""748"", ""395"", ""528""]",5d42681f021d6ee1011202e086355221191936c029de3e20ee8dfbc9163a8eb5,"{""boundary"": 12, ""community_rep"": 6, ""degree_core"": 10, ""random_fill"": 4}","{""degree_2"": 3, ""degree_3_4"": 2, ""degree_5_8"": 26, ""degree_9_plus"": 1}","{""0"": 2, ""1"": 1, ""11"": 1, ""12"": 1, ""13"": 1, ""14"": 1, ""16"": 6, ""17"": 1, ""2"": 2, ""20"": 2, ""21"": 2, ""22"": 2, ""23"": 1, ""3"": 1, ""4"": 3, ""5"": 1, ""6"": 1, ""7"": 2, ""9"": 1}",251,"{""backend"": ""evaluate_m19_theory_calibrated.candidate_features"", ""delta_mode"": ""none"", ""k_max"": 512, ""k_min"": 64, ""variant"": ""conservative""}",251,0.19248466257668712,0.11155378486055777,0.11155378486055777,0.21912350597609562,1.0,"{""dp_0_4"": 0.2948207171314741, ""dp_17_64"": 0.13545816733067728, ""dp_5_16"": 0.5697211155378487}","{""cn_0"": 0.9641434262948207, ""cn_1"": 0.035856573705179286}",0.035856573705179286,9.629482071713147,uniform_random_edges_size_matched_to_sasb,62e88d6ea7412eee5484d22cbd68459311ca923f2be5e7f56ed7b299ec9011df,251,f93f60c3f6d90cf8d31af7c6b56d474068ee8ffb167c786308894a129a05457b,"{""random_size_matched"": 251}",0,0,0,0,{},0.44887118193891107,"{""common_neighbor_bin_l1"": 0.023904382470119508, ""degree_product_bin_l1"": 0.7808764940239045, ""is_boundary_edge_l1"": 0.7410358565737052, ""is_bridge_edge_l1"": 0.4063745019920319, ""is_inter_community_edge_l1"": 0.7410358565737052, ""is_low_common_neighbor_edge_l1"": 0.0, ""mean_l1"": 0.44887118193891107}",1,32,32,182273.45827140915,0
realworld_completed,inf_euroroad,Random-size-matched-candidate,random_size_matched,SASB-structured,20260513,2,early,1.0,1.0,0.0,1,1,0,0.0015325670498084292,0.0022988505747126436,313,314,313--314,3,3,3,3,9,0,0.0,0,18,18,32,"[""637"", ""448"", ""438"", ""320"", ""270"", ""534"", ""299"", ""274"", ""276"", ""550"", ""415"", ""54"", ""170"", ""174"", ""214"", ""427"", ""177"", ""213"", ""221"", ""237"", ""253"", ""315"", ""50"", ""636"", ""469"", ""312"", ""733"", ""342"", ""741"", ""990"", ""494"", ""991""]",8bd074078038299719a8b7697ca44d0488b142ba9cf1b26e98b9d7539dfa4edc,"{""boundary"": 12, ""community_rep"": 6, ""degree_core"": 10, ""random_fill"": 4}","{""degree_0_1"": 1, ""degree_2"": 1, ""degree_3_4"": 2, ""degree_5_8"": 27, ""degree_9_plus"": 1}","{""0"": 2, ""1"": 1, ""11"": 1, ""12"": 1, ""13"": 1, ""14"": 3, ""16"": 5, ""2"": 2, ""20"": 2, ""21"": 1, ""22"": 3, ""23"": 2, ""3"": 1, ""4"": 2, ""5"": 1, ""6"": 1, ""7"": 2, ""9"": 1}",251,"{""backend"": ""evaluate_m19_theory_calibrated.candidate_features"", ""delta_mode"": ""none"", ""k_max"": 512, ""k_min"": 64, ""variant"": ""conservative""}",251,0.19263238679969302,0.09561752988047809,0.09561752988047809,0.22310756972111553,0.9960159362549801,"{""dp_0_4"": 0.30278884462151395, ""dp_17_64"": 0.1593625498007968, ""dp_5_16"": 0.5378486055776892}","{""cn_0"": 0.9163346613545816, ""cn_1"": 0.0796812749003984, ""cn_2_3"": 0.00398406374501992}",0.08764940239043825,10.055776892430279,uniform_random_edges_size_matched_to_sasb,c14854c46c542ea33668bef3d052a9649a3a1135a3b44001ef19751940a22871,251,fc60167c088ba1221e600d918895fdc38ebd15e1cbcf269d304807d3efc0501b,"{""random_size_matched"": 251}",0,0,0,0,{},0.45949535192563085,"{""common_neighbor_bin_l1"": 0.06374501992031881, ""degree_product_bin_l1"": 0.7250996015936255, ""is_boundary_edge_l1"": 0.7729083665338645, ""is_bridge_edge_l1"": 0.41434262948207173, ""is_inter_community_edge_l1"": 0.7729083665338645, ""is_low_common_neighbor_edge_l1"": 0.007968127490039837, ""mean_l1"": 0.45949535192563085}",1,32,32,216749.8023472516,0
realworld_completed,inf_euroroad,Random-size-matched-candidate,random_size_matched,SASB-structured,20260513,3,early,1.0,1.0,0.0,1,1,0,0.0022988505747126436,0.0030651340996168583,461,497,461--497,4,4,4,4,16,0,0.0,1,18,19,32,"[""637"", ""448"", ""438"", ""320"", ""270"", ""534"", ""299"", ""274"", ""276"", ""550"", ""415"", ""54"", ""170"", ""174"", ""214"", ""427"", ""177"", ""213"", ""221"", ""237"", ""253"", ""315"", ""50"", ""636"", ""469"", ""312"", ""733"", ""342"", ""567"", ""580"", ""1004"", ""989""]",8c96b730900a0e4a8129b162b9ee10615a9939a3dbb264393aa714328372e0bd,"{""boundary"": 12, ""community_rep"": 6, ""degree_core"": 10, ""random_fill"": 4}","{""degree_0_1"": 1, ""degree_2"": 2, ""degree_3_4"": 1, ""degree_5_8"": 27, ""degree_9_plus"": 1}","{""0"": 2, ""1"": 1, ""11"": 1, ""12"": 1, ""13"": 1, ""14"": 3, ""16"": 5, ""17"": 1, ""2"": 3, ""20"": 2, ""21"": 1, ""22"": 2, ""23"": 1, ""3"": 1, ""4"": 2, ""5"": 1, ""6"": 1, ""7"": 2, ""9"": 1}",251,"{""backend"": ""evaluate_m19_theory_calibrated.candidate_features"", ""delta_mode"": ""none"", ""k_max"": 512, ""k_min"": 64, ""variant"": ""conservative""}",251,0.19278033794162827,0.05976095617529881,0.05976095617529881,0.2350597609561753,1.0,"{""dp_0_4"": 0.2868525896414343, ""dp_17_64"": 0.13545816733067728, ""dp_5_16"": 0.5776892430278885}","{""cn_0"": 0.9203187250996016, ""cn_1"": 0.0796812749003984}",0.0796812749003984,9.593625498007968,uniform_random_edges_size_matched_to_sasb,c44a60a726213baa615b6e86d350bb257e3be11709247bea65ef3801a27094b6,251,fc60167c088ba1221e600d918895fdc38ebd15e1cbcf269d304807d3efc0501b,"{""random_size_matched"": 251}",0,0,0,0,{},0.49136786188579024,"{""common_neighbor_bin_l1"": 0.05577689243027897, ""degree_product_bin_l1"": 0.7649402390438248, ""is_boundary_edge_l1"": 0.8446215139442232, ""is_bridge_edge_l1"": 0.4382470119521913, ""is_inter_community_edge_l1"": 0.8446215139442232, ""is_low_common_neighbor_edge_l1"": 0.0, ""mean_l1"": 0.49136786188579024}",1,32,32,191661.5580994873,0
realworld_completed,inf_euroroad,Random-size-matched-candidate,random_size_matched,SASB-structured,20260513,4,early,1.0,1.0,0.0,1,1,0,0.0030651340996168583,0.0038314176245210726,286,427,286--427,4,7,4,7,28,0,0.0,1,15,8,32,"[""637"", ""448"", ""438"", ""320"", ""270"", ""534"", ""299"", ""274"", ""276"", ""550"", ""415"", ""54"", ""170"", ""174"", ""214"", ""427"", ""177"", ""213"", ""221"", ""237"", ""253"", ""315"", ""50"", ""636"", ""469"", ""312"", ""733"", ""342"", ""484"", ""1018"", ""598"", ""426""]",28354eca4fffaf23bfeaeaf06785ee5edbf75b6c86128729c1590048887095c4,"{""boundary"": 12, ""community_rep"": 6, ""degree_core"": 10, ""random_fill"": 4}","{""degree_2"": 3, ""degree_3_4"": 1, ""degree_5_8"": 27, ""degree_9_plus"": 1}","{""0"": 4, ""1"": 1, ""11"": 1, ""12"": 1, ""13"": 1, ""14"": 1, ""16"": 5, ""2"": 2, ""20"": 2, ""21"": 1, ""22"": 2, ""23"": 1, ""3"": 1, ""4"": 2, ""5"": 2, ""6"": 1, ""7"": 2, ""8"": 1, ""9"": 1}",251,"{""backend"": ""evaluate_m19_theory_calibrated.candidate_features"", ""delta_mode"": ""none"", ""k_max"": 512, ""k_min"": 64, ""variant"": ""conservative""}",251,0.1929285165257494,0.10756972111553785,0.10756972111553785,0.2151394422310757,0.9960159362549801,"{""dp_0_4"": 0.250996015936255, ""dp_17_64"": 0.1593625498007968, ""dp_5_16"": 0.5896414342629482}","{""cn_0"": 0.9203187250996016, ""cn_1"": 0.07569721115537849, ""cn_2_3"": 0.00398406374501992}",0.08366533864541832,10.183266932270916,uniform_random_edges_size_matched_to_sasb,6e3a8b00f0df87f15a83b84bc0da9b0c8011cbea0eafbab8683b62b5323c5a7d,251,1b9e785a7c7219b522584dfb79dda6025003d3c37d9f96a6e056c897b73d0872,"{""random_size_matched"": 251}",0,0,0,0,{},0.4462151394422311,"{""common_neighbor_bin_l1"": 0.04780876494023914, ""degree_product_bin_l1"": 0.7250996015936255, ""is_boundary_edge_l1"": 0.749003984063745, ""is_bridge_edge_l1"": 0.39840637450199207, ""is_inter_community_edge_l1"": 0.749003984063745, ""is_low_common_neighbor_edge_l1"": 0.007968127490039837, ""mean_l1"": 0.4462151394422311}",1,32,32,150937.81788098623,0
realworld_completed,inf_euroroad,Random-size-matched-candidate,random_size_matched,SASB-structured,20260513,5,early,1.0,1.0,0.0,1,1,0,0.0038314176245210726,0.004597701149425287,315,329,315--329,6,4,4,6,24,0,0.0,1,20,1,32,"[""637"", ""448"", ""438"", ""320"", ""270"", ""534"", ""299"", ""274"", ""276"", ""550"", ""415"", ""54"", ""170"", ""174"", ""214"", ""177"", ""213"", ""221"", ""237"", ""253"", ""315"", ""427"", ""50"", ""636"", ""469"", ""312"", ""733"", ""342"", ""339"", ""542"", ""114"", ""682""]",d8c80deb3aa392c8d9630e134bf5087119b8adae6805e323f23e132f9136a7c6,"{""boundary"": 12, ""community_rep"": 6, ""degree_core"": 10, ""random_fill"": 4}","{""degree_2"": 2, ""degree_3_4"": 3, ""degree_5_8"": 26, ""degree_9_plus"": 1}","{""0"": 2, ""1"": 1, ""11"": 1, ""12"": 1, ""13"": 1, ""14"": 1, ""16"": 5, ""18"": 1, ""2"": 2, ""20"": 2, ""21"": 1, ""22"": 3, ""23"": 1, ""3"": 1, ""4"": 2, ""5"": 1, ""6"": 1, ""7"": 3, ""9"": 2}",251,"{""backend"": ""evaluate_m19_theory_calibrated.candidate_features"", ""delta_mode"": ""none"", ""k_max"": 512, ""k_min"": 64, ""variant"": ""conservative""}",251,0.1930769230769231,0.09163346613545817,0.09163346613545817,0.2788844621513944,1.0,"{""dp_0_4"": 0.29880478087649404, ""dp_17_64"": 0.11952191235059761, ""dp_5_16"": 0.5816733067729084}","{""cn_0"": 0.9442231075697212, ""cn_1"": 0.055776892430278883}",0.055776892430278883,9.02390438247012,uniform_random_edges_size_matched_to_sasb,58eea28b2f9b4160bc04a97d1ac52ab4f50fd6486b445c16f48fac05c2196451,251,7549a91b7fee0968a0f5207921c1ded7a6c46af133ec9a57c41375c2037203a0,"{""random_size_matched"": 251}",0,0,0,0,{},0.4807436918990704,"{""common_neighbor_bin_l1"": 0.00796812749003984, ""degree_product_bin_l1"": 0.804780876494024, ""is_boundary_edge_l1"": 0.7729083665338645, ""is_bridge_edge_l1"": 0.5258964143426295, ""is_inter_community_edge_l1"": 0.7729083665338645, ""is_low_common_neighbor_edge_l1"": 0.0, ""mean_l1"": 0.4807436918990704}",1,32,32,233415.50681140609,0
realworld_completed,inf_euroroad,Random-size-matched-candidate,random_size_matched,SASB-structured,20260513,6,early,1.0,1.0,0.0,1,1,0,0.004597701149425287,0.0053639846743295016,428,483,428--483,4,2,2,4,8,0,0.0,0,2,2,32,"[""637"", ""448"", ""438"", ""320"", ""270"", ""534"", ""299"", ""274"", ""276"", ""550"", ""415"", ""54"", ""170"", ""174"", ""214"", ""177"", ""213"", ""221"", ""237"", ""253"", ""427"", ""50"", ""636"", ""315"", ""469"", ""312"", ""733"", ""342"", ""897"", ""681"", ""765"", ""930""]",9b79177ab3f9021cf30dfd783687f57d31c36a34d0f0630df2c0b28d50df1c4c,"{""boundary"": 12, ""community_rep"": 6, ""degree_core"": 10, ""random_fill"": 4}","{""degree_2"": 2, ""degree_3_4"": 3, ""degree_5_8"": 26, ""degree_9_plus"": 1}","{""0"": 2, ""1"": 1, ""11"": 1, ""12"": 2, ""13"": 2, ""14"": 1, ""16"": 5, ""2"": 2, ""20"": 2, ""21"": 1, ""22"": 2, ""23"": 1, ""3"": 1, ""4"": 3, ""5"": 1, ""6"": 1, ""7"": 3, ""9"": 1}",251,"{""backend"": ""evaluate_m19_theory_calibrated.candidate_features"", ""delta_mode"": ""none"", ""k_max"": 512, ""k_min"": 64, ""variant"": ""conservative""}",251,0.19322555812163203,0.099601593625498,0.099601593625498,0.19123505976095617,0.9960159362549801,"{""dp_0_4"": 0.23904382470119523, ""dp_17_64"": 0.1752988047808765, ""dp_5_16"": 0.5856573705179283}","{""cn_0"": 0.9203187250996016, ""cn_1"": 0.07569721115537849, ""cn_2_3"": 0.00398406374501992}",0.08366533864541832,10.374501992031872,uniform_random_edges_size_matched_to_sasb,d0afea8088ae7f6c832a124a9659a9c0aaca6150a75c4dabbfbebaa1d3429613,251,661b8dcb1d0659a23644b1246a3d8f3bce50e7e000bee5dbdeb47037f0dc1cce,"{""random_size_matched"": 251}",0,0,0,0,{},0.43160690571049143,"{""common_neighbor_bin_l1"": 0.03984063745019929, ""degree_product_bin_l1"": 0.6772908366533865, ""is_boundary_edge_l1"": 0.7569721115537849, ""is_bridge_edge_l1"": 0.35059760956175307, ""is_inter_community_edge_l1"": 0.7569721115537849, ""is_low_common_neighbor_edge_l1"": 0.007968127490039837, ""mean_l1"": 0.43160690571049143}",1,32,32,226861.055859749,0
realworld_completed,inf_euroroad,Random-size-matched-candidate,random_size_matched,SASB-structured,20260513,7,early,1.0,1.0,0.0,1,1,0,0.0053639846743295016,0.006130268199233717,334,900,334--900,4,2,2,4,8,0,0.0,0,4,4,32,"[""637"", ""448"", ""438"", ""320"", ""270"", ""534"", ""299"", ""274"", ""276"", ""550"", ""415"", ""54"", ""170"", ""174"", ""214"", ""177"", ""213"", ""221"", ""237"", ""253"", ""427"", ""50"", ""636"", ""315"", ""469"", ""312"", ""733"", ""342"", ""64"", ""996"", ""502"", ""196""]",682aa9301d0b2e373565251074a35f640d1bfabbe9aaf6606822deff2f023e1f,"{""boundary"": 12, ""community_rep"": 6, ""degree_core"": 10, ""random_fill"": 4}","{""degree_2"": 1, ""degree_3_4"": 4, ""degree_5_8"": 26, ""degree_9_plus"": 1}","{""0"": 2, ""1"": 1, ""11"": 1, ""12"": 1, ""13"": 1, ""14"": 2, ""16"": 5, ""2"": 2, ""20"": 3, ""21"": 1, ""22"": 2, ""23"": 1, ""3"": 1, ""4"": 3, ""5"": 1, ""6"": 2, ""7"": 2, ""9"": 1}",251,"{""backend"": ""evaluate_m19_theory_calibrated.candidate_features"", ""delta_mode"": ""none"", ""k_max"": 512, ""k_min"": 64, ""variant"": ""conservative""}",251,0.1933744221879815,0.0796812749003984,0.0796812749003984,0.26294820717131473,0.9960159362549801,"{""dp_0_4"": 0.3107569721115538, ""dp_17_64"": 0.13545816733067728, ""dp_5_16"": 0.5537848605577689}","{""cn_0"": 0.9243027888446215, ""cn_1"": 0.07171314741035857, ""cn_2_3"": 0.00398406374501992}",0.0796812749003984,9.219123505976096,uniform_random_edges_size_matched_to_sasb,21c49d3f0dee8eec29b727964cc5126c2e7834d3103481b9036af91a03d88d4f,251,661b8dcb1d0659a23644b1246a3d8f3bce50e7e000bee5dbdeb47037f0dc1cce,"{""random_size_matched"": 251}",0,0,0,0,{},0.4807436918990704,"{""common_neighbor_bin_l1"": 0.03187250996015946, ""degree_product_bin_l1"": 0.7569721115537849, ""is_boundary_edge_l1"": 0.796812749003984, ""is_bridge_edge_l1"": 0.4940239043824701, ""is_inter_community_edge_l1"": 0.796812749003984, ""is_low_common_neighbor_edge_l1"": 0.007968127490039837, ""mean_l1"": 0.4807436918990704}",1,32,32,187259.74386905975,0
realworld_completed,inf_euroroad,Random-size-matched-candidate,random_size_matched,SASB-structured,20260513,8,early,1.0,1.0,0.0,1,1,0,0.006130268199233717,0.006896551724137931,874,875,874--875,2,2,2,2,4,0,0.0,0,12,12,32,"[""637"", ""448"", ""438"", ""320"", ""270"", ""534"", ""299"", ""274"", ""276"", ""550"", ""415"", ""54"", ""170"", ""174"", ""214"", ""177"", ""213"", ""221"", ""237"", ""253"", ""427"", ""50"", ""636"", ""315"", ""469"", ""312"", ""733"", ""342"", ""476"", ""672"", ""554"", ""982""]",30ac6ce6c516c3ce8db83a204b366181ff47e9c9f442ecd6c05429cdfe863e29,"{""boundary"": 12, ""community_rep"": 6, ""degree_core"": 10, ""random_fill"": 4}","{""degree_2"": 3, ""degree_3_4"": 2, ""degree_5_8"": 26, ""degree_9_plus"": 1}","{""0"": 2, ""1"": 1, ""11"": 1, ""12"": 2, ""13"": 1, ""14"": 1, ""16"": 5, ""17"": 1, ""2"": 2, ""20"": 2, ""21"": 1, ""22"": 2, ""23"": 1, ""3"": 1, ""4"": 2, ""5"": 1, ""6"": 1, ""7"": 2, ""8"": 1, ""9"": 2}",251,"{""backend"": ""evaluate_m19_theory_calibrated.candidate_features"", ""delta_mode"": ""none"", ""k_max"": 512, ""k_min"": 64, ""variant"": ""conservative""}",251,0.19352351580570548,0.08764940239043825,0.08764940239043825,0.24701195219123506,1.0,"{""dp_0_4"": 0.33067729083665337, ""dp_17_64"": 0.13147410358565736, ""dp_5_16"": 0.5378486055776892}","{""cn_0"": 0.952191235059761, ""cn_1"": 0.04780876494023904}",0.04780876494023904,9.147410358565738,uniform_random_edges_size_matched_to_sasb,7cff5f1cc2895c6a011e19e172e364e189be252802c54f7bca07c62b3a0288f4,251,661b8dcb1d0659a23644b1246a3d8f3bce50e7e000bee5dbdeb47037f0dc1cce,"{""random_size_matched"": 251}",0,0,0,0,{},0.46879150066401065,"{""common_neighbor_bin_l1"": 0.023904382470119515, ""degree_product_bin_l1"": 0.7649402390438247, ""is_boundary_edge_l1"": 0.7808764940239044, ""is_bridge_edge_l1"": 0.4621513944223108, ""is_inter_community_edge_l1"": 0.7808764940239044, ""is_low_common_neighbor_edge_l1"": 0.0, ""mean_l1"": 0.46879150066401065}",1,32,32,173577.93750000003,0
realworld_completed,inf_euroroad,Random-size-matched-candidate,random_size_matched,SASB-structured,20260513,9,early,1.0,1.0,0.0,1,1,0,0.006896551724137931,0.007662835249042145,276,606,276--606,5,5,5,5,25,0,0.0,0,11,11,32,"[""637"", ""448"", ""438"", ""320"", ""270"", ""534"", ""299"", ""274"", ""276"", ""550"", ""415"", ""54"", ""170"", ""174"", ""214"", ""177"", ""213"", ""221"", ""237"", ""253"", ""427"", ""50"", ""636"", ""315"", ""469"", ""312"", ""733"", ""342"", ""467"", ""29"", ""968"", ""549""]",297201bb8a00e4dcc5cf7298554d740d65b22b89cb7217af83c661697e0e5869,"{""boundary"": 12, ""community_rep"": 6, ""degree_core"": 10, ""random_fill"": 4}","{""degree_0_1"": 2, ""degree_2"": 2, ""degree_3_4"": 1, ""degree_5_8"": 26, ""degree_9_plus"": 1}","{""0"": 3, ""1"": 1, ""11"": 1, ""12"": 1, ""13"": 1, ""14"": 2, ""16"": 5, ""19"": 1, ""2"": 2, ""20"": 2, ""21"": 1, ""22"": 2, ""23"": 1, ""3"": 1, ""4"": 2, ""5"": 1, ""6"": 2, ""7"": 2, ""9"": 1}",251,"{""backend"": ""evaluate_m19_theory_calibrated.candidate_features"", ""delta_mode"": ""none"", ""k_max"": 512, ""k_min"": 64, ""variant"": ""conservative""}",251,0.19367283950617284,0.06374501992031872,0.06374501992031872,0.22709163346613545,0.9960159362549801,"{""dp_0_4"": 0.26294820717131473, ""dp_17_64"": 0.10358565737051793, ""dp_5_16"": 0.6334661354581673}","{""cn_0"": 0.9123505976095617, ""cn_1"": 0.08366533864541832, ""cn_2_3"": 0.00398406374501992}",0.09163346613545817,9.330677290836654,uniform_random_edges_size_matched_to_sasb,5c9fe4c5e5d465c6fc3648967a53927697a2ee8db62e6e9a128e525c0f1525db,251,661b8dcb1d0659a23644b1246a3d8f3bce50e7e000bee5dbdeb47037f0dc1cce,"{""random_size_matched"": 251}",0,0,0,0,{},0.4940239043824701,"{""common_neighbor_bin_l1"": 0.05577689243027896, ""degree_product_bin_l1"": 0.8207171314741035, ""is_boundary_edge_l1"": 0.8286852589641434, ""is_bridge_edge_l1"": 0.42231075697211157, ""is_inter_community_edge_l1"": 0.8286852589641434, ""is_low_common_neighbor_edge_l1"": 0.007968127490039837, ""mean_l1"": 0.4940239043824701}",1,32,32,137092.39947599385,0
