dataset,graph_id,method,candidate_policy,source_policy,seed,step,attack_phase,gcc_before,gcc_after,delta_gcc,num_components_before,num_components_after,is_bridge_before_removal,remove_ratio_before,remove_ratio_after,edge_u,edge_v,selected_edge,degree_u,degree_v,degree_min,degree_max,degree_product,common_neighbors,edge_embeddedness,is_inter_community_edge,community_u,community_v,source_count,source_nodes,source_node_hash,source_strata_counts,source_degree_bins,source_community_counts,adaptive_k,candidate_config,candidate_count,candidate_fraction,candidate_inter_community_ratio,candidate_boundary_ratio,candidate_bridge_ratio,candidate_low_cn_ratio,candidate_degree_product_distribution,candidate_common_neighbor_distribution,candidate_mean_common_neighbors,candidate_mean_degree_product,candidate_backend,candidate_hash,sasb_candidate_count_reference,sasb_candidate_hash_reference,match_mode_counts,strict_match_count,degree_only_match_count,community_only_match_count,fallback_count,fallback_reason,matched_feature_difference,matched_feature_difference_detail,candidate_count_equal_to_sasb,source_budget,true_source_traversal_count,sampled_betweenness_score,p2_degree_product_fallback
realworld_completed,inf_euroroad,SASB-candidate,sasb,SASB-structured,20260513,0,early,1.0,1.0,0.0,1,1,0,0.0,0.0007662835249042146,428,429,428--429,4,4,4,4,16,0,0.0,1,0,13,32,"[""637"", ""448"", ""438"", ""320"", ""270"", ""534"", ""299"", ""274"", ""276"", ""550"", ""415"", ""54"", ""170"", ""174"", ""214"", ""427"", ""177"", ""213"", ""221"", ""237"", ""253"", ""315"", ""50"", ""636"", ""469"", ""312"", ""733"", ""342"", ""309"", ""940"", ""899"", ""78""]",2f375455dab96b0d0686335f1f85ad94fa14e304e1526789723d32757983a2b7,"{""boundary"": 12, ""community_rep"": 6, ""degree_core"": 10, ""random_fill"": 4}","{""degree_2"": 4, ""degree_3_4"": 1, ""degree_5_8"": 26, ""degree_9_plus"": 1}","{""0"": 2, ""1"": 1, ""11"": 1, ""12"": 2, ""13"": 1, ""14"": 1, ""16"": 5, ""2"": 2, ""20"": 2, ""21"": 2, ""22"": 2, ""23"": 1, ""3"": 2, ""4"": 2, ""5"": 2, ""6"": 1, ""7"": 2, ""9"": 1}",251,"{""backend"": ""evaluate_m19_theory_calibrated.candidate_features"", ""delta_mode"": ""none"", ""k_max"": 512, ""k_min"": 64, ""variant"": ""conservative""}",251,0.19233716475095786,0.4820717131474104,0.4820717131474104,0.01593625498007968,1.0,"{""dp_0_4"": 0.01593625498007968, ""dp_17_64"": 0.5298804780876494, ""dp_5_16"": 0.4541832669322709}","{""cn_0"": 0.952191235059761, ""cn_1"": 0.04780876494023904}",0.04780876494023904,19.13545816733068,sasb_candidate_builder,800977fb2c431f5973b6a9c8768cd89863e828efec88b5c469e4c6231adcfdd9,251,800977fb2c431f5973b6a9c8768cd89863e828efec88b5c469e4c6231adcfdd9,"{""sasb_builder"": 251}",0,0,0,0,{},0.0,"{""common_neighbor_bin_l1"": 0.0, ""degree_product_bin_l1"": 0.0, ""is_boundary_edge_l1"": 0.0, ""is_bridge_edge_l1"": 0.0, ""is_inter_community_edge_l1"": 0.0, ""is_low_common_neighbor_edge_l1"": 0.0, ""mean_l1"": 0.0}",1,32,32,201873.99139343784,0
realworld_completed,inf_euroroad,SASB-candidate,sasb,SASB-structured,20260513,1,early,1.0,1.0,0.0,1,1,0,0.0007662835249042146,0.0015325670498084292,286,427,286--427,5,7,5,7,35,0,0.0,1,15,14,32,"[""637"", ""448"", ""438"", ""320"", ""270"", ""534"", ""299"", ""274"", ""276"", ""550"", ""415"", ""54"", ""170"", ""174"", ""214"", ""427"", ""177"", ""213"", ""221"", ""237"", ""253"", ""315"", ""50"", ""636"", ""469"", ""312"", ""733"", ""342"", ""228"", ""748"", ""395"", ""528""]",5d42681f021d6ee1011202e086355221191936c029de3e20ee8dfbc9163a8eb5,"{""boundary"": 12, ""community_rep"": 6, ""degree_core"": 10, ""random_fill"": 4}","{""degree_2"": 3, ""degree_3_4"": 2, ""degree_5_8"": 26, ""degree_9_plus"": 1}","{""0"": 2, ""1"": 1, ""11"": 1, ""12"": 1, ""13"": 1, ""14"": 1, ""16"": 6, ""17"": 1, ""2"": 2, ""20"": 2, ""21"": 2, ""22"": 2, ""23"": 1, ""3"": 1, ""4"": 3, ""5"": 1, ""6"": 1, ""7"": 2, ""9"": 1}",251,"{""backend"": ""evaluate_m19_theory_calibrated.candidate_features"", ""delta_mode"": ""none"", ""k_max"": 512, ""k_min"": 64, ""variant"": ""conservative""}",251,0.19248466257668712,0.47808764940239046,0.47808764940239046,0.01593625498007968,1.0,"{""dp_0_4"": 0.01593625498007968, ""dp_17_64"": 0.5298804780876494, ""dp_5_16"": 0.4541832669322709}","{""cn_0"": 0.9482071713147411, ""cn_1"": 0.05179282868525897}",0.05179282868525897,19.143426294820717,sasb_candidate_builder,a3ab7ef292c102f902d0d650489b75af8259b93415d2cb43ddd8f82bcf9e864e,251,a3ab7ef292c102f902d0d650489b75af8259b93415d2cb43ddd8f82bcf9e864e,"{""sasb_builder"": 251}",0,0,0,0,{},0.0,"{""common_neighbor_bin_l1"": 0.0, ""degree_product_bin_l1"": 0.0, ""is_boundary_edge_l1"": 0.0, ""is_bridge_edge_l1"": 0.0, ""is_inter_community_edge_l1"": 0.0, ""is_low_common_neighbor_edge_l1"": 0.0, ""mean_l1"": 0.0}",1,32,32,239116.5099461946,0
realworld_completed,inf_euroroad,SASB-candidate,sasb,SASB-structured,20260513,2,early,1.0,1.0,0.0,1,1,0,0.0015325670498084292,0.0022988505747126436,461,462,461--462,4,4,4,4,16,0,0.0,0,16,16,32,"[""637"", ""448"", ""438"", ""320"", ""270"", ""534"", ""299"", ""274"", ""276"", ""550"", ""415"", ""54"", ""170"", ""174"", ""214"", ""177"", ""213"", ""221"", ""237"", ""253"", ""315"", ""427"", ""50"", ""636"", ""469"", ""312"", ""733"", ""342"", ""741"", ""990"", ""494"", ""991""]",4d7865fe5d8cb678c17bd2437dc10271182bad76938507670d2348295062093d,"{""boundary"": 12, ""community_rep"": 6, ""degree_core"": 10, ""random_fill"": 4}","{""degree_0_1"": 1, ""degree_2"": 1, ""degree_3_4"": 2, ""degree_5_8"": 27, ""degree_9_plus"": 1}","{""0"": 2, ""1"": 1, ""11"": 1, ""12"": 1, ""13"": 1, ""14"": 3, ""16"": 5, ""2"": 2, ""20"": 2, ""21"": 1, ""22"": 3, ""23"": 2, ""3"": 1, ""4"": 2, ""5"": 1, ""6"": 1, ""7"": 2, ""9"": 1}",251,"{""backend"": ""evaluate_m19_theory_calibrated.candidate_features"", ""delta_mode"": ""none"", ""k_max"": 512, ""k_min"": 64, ""variant"": ""conservative""}",251,0.19263238679969302,0.47410358565737054,0.47410358565737054,0.01593625498007968,1.0,"{""dp_0_4"": 0.01593625498007968, ""dp_17_64"": 0.5258964143426295, ""dp_5_16"": 0.4581673306772908}","{""cn_0"": 0.9482071713147411, ""cn_1"": 0.05179282868525897}",0.05179282868525897,18.97211155378486,sasb_candidate_builder,b71b0a163dd01b9c60d7ef2c1626e0deff5db166315c8e01d70bb0866715538c,251,b71b0a163dd01b9c60d7ef2c1626e0deff5db166315c8e01d70bb0866715538c,"{""sasb_builder"": 251}",0,0,0,0,{},0.0,"{""common_neighbor_bin_l1"": 0.0, ""degree_product_bin_l1"": 0.0, ""is_boundary_edge_l1"": 0.0, ""is_bridge_edge_l1"": 0.0, ""is_inter_community_edge_l1"": 0.0, ""is_low_common_neighbor_edge_l1"": 0.0, ""mean_l1"": 0.0}",1,32,32,302273.069103258,0
realworld_completed,inf_euroroad,SASB-candidate,sasb,SASB-structured,20260513,3,early,1.0,1.0,0.0,1,1,0,0.0022988505747126436,0.0030651340996168583,21,427,21--427,3,6,3,6,18,0,0.0,0,4,4,32,"[""637"", ""448"", ""438"", ""320"", ""270"", ""534"", ""299"", ""274"", ""276"", ""550"", ""415"", ""54"", ""170"", ""174"", ""214"", ""177"", ""213"", ""221"", ""237"", ""253"", ""315"", ""427"", ""50"", ""636"", ""469"", ""312"", ""733"", ""342"", ""567"", ""580"", ""1004"", ""989""]",a2e87ef5fc25f81c97dc629c2d2115a174b18ba8ab00a9c2bda788abf47e7a29,"{""boundary"": 12, ""community_rep"": 6, ""degree_core"": 10, ""random_fill"": 4}","{""degree_0_1"": 1, ""degree_2"": 2, ""degree_3_4"": 1, ""degree_5_8"": 27, ""degree_9_plus"": 1}","{""0"": 2, ""1"": 1, ""11"": 1, ""12"": 1, ""13"": 1, ""14"": 3, ""16"": 5, ""17"": 1, ""2"": 3, ""20"": 2, ""21"": 1, ""22"": 2, ""23"": 1, ""3"": 1, ""4"": 2, ""5"": 1, ""6"": 1, ""7"": 2, ""9"": 1}",251,"{""backend"": ""evaluate_m19_theory_calibrated.candidate_features"", ""delta_mode"": ""none"", ""k_max"": 512, ""k_min"": 64, ""variant"": ""conservative""}",251,0.19278033794162827,0.47410358565737054,0.47410358565737054,0.01593625498007968,1.0,"{""dp_0_4"": 0.01593625498007968, ""dp_17_64"": 0.5298804780876494, ""dp_5_16"": 0.4541832669322709}","{""cn_0"": 0.9442231075697212, ""cn_1"": 0.055776892430278883}",0.055776892430278883,19.00398406374502,sasb_candidate_builder,222030ec0d9da433490c33aa8c35b6cd8c46a244d71d2555039acdb7d042b067,251,222030ec0d9da433490c33aa8c35b6cd8c46a244d71d2555039acdb7d042b067,"{""sasb_builder"": 251}",0,0,0,0,{},0.0,"{""common_neighbor_bin_l1"": 0.0, ""degree_product_bin_l1"": 0.0, ""is_boundary_edge_l1"": 0.0, ""is_bridge_edge_l1"": 0.0, ""is_inter_community_edge_l1"": 0.0, ""is_low_common_neighbor_edge_l1"": 0.0, ""mean_l1"": 0.0}",1,32,32,350331.9287766278,0
realworld_completed,inf_euroroad,SASB-candidate,sasb,SASB-structured,20260513,4,early,1.0,1.0,0.0,1,1,0,0.0030651340996168583,0.0038314176245210726,765,766,765--766,3,2,2,3,6,0,0.0,0,18,18,32,"[""637"", ""448"", ""438"", ""320"", ""270"", ""534"", ""299"", ""274"", ""276"", ""550"", ""415"", ""54"", ""170"", ""174"", ""214"", ""177"", ""213"", ""221"", ""237"", ""253"", ""315"", ""50"", ""636"", ""469"", ""312"", ""733"", ""342"", ""730"", ""484"", ""1018"", ""598"", ""426""]",45db809fd16d3635bf08f5bea1eac0a9fadb7076c196d1a754d7e232f0a329fb,"{""boundary"": 12, ""community_rep"": 6, ""degree_core"": 10, ""random_fill"": 4}","{""degree_2"": 3, ""degree_3_4"": 1, ""degree_5_8"": 27, ""degree_9_plus"": 1}","{""0"": 4, ""1"": 1, ""11"": 2, ""12"": 1, ""13"": 1, ""14"": 1, ""16"": 4, ""2"": 2, ""20"": 2, ""21"": 1, ""22"": 2, ""23"": 1, ""3"": 1, ""4"": 2, ""5"": 2, ""6"": 1, ""7"": 2, ""8"": 1, ""9"": 1}",251,"{""backend"": ""evaluate_m19_theory_calibrated.candidate_features"", ""delta_mode"": ""none"", ""k_max"": 512, ""k_min"": 64, ""variant"": ""conservative""}",251,0.1929285165257494,0.47410358565737054,0.47410358565737054,0.01593625498007968,1.0,"{""dp_0_4"": 0.01593625498007968, ""dp_17_64"": 0.5219123505976095, ""dp_5_16"": 0.46215139442231074}","{""cn_0"": 0.9402390438247012, ""cn_1"": 0.05976095617529881}",0.05976095617529881,18.98406374501992,sasb_candidate_builder,04b161dc3d3b8b9f04fdc39d1fdc505567f8c70c8deecbc3940c2a69229a2386,251,04b161dc3d3b8b9f04fdc39d1fdc505567f8c70c8deecbc3940c2a69229a2386,"{""sasb_builder"": 251}",0,0,0,0,{},0.0,"{""common_neighbor_bin_l1"": 0.0, ""degree_product_bin_l1"": 0.0, ""is_boundary_edge_l1"": 0.0, ""is_bridge_edge_l1"": 0.0, ""is_inter_community_edge_l1"": 0.0, ""is_low_common_neighbor_edge_l1"": 0.0, ""mean_l1"": 0.0}",1,32,32,231801.56079244116,0
realworld_completed,inf_euroroad,SASB-candidate,sasb,SASB-structured,20260513,5,early,1.0,1.0,0.0,1,1,0,0.0038314176245210726,0.004597701149425287,21,461,21--461,2,3,2,3,6,0,0.0,1,17,11,32,"[""637"", ""448"", ""438"", ""320"", ""270"", ""534"", ""299"", ""274"", ""276"", ""550"", ""415"", ""54"", ""170"", ""174"", ""214"", ""177"", ""213"", ""221"", ""237"", ""253"", ""315"", ""50"", ""636"", ""469"", ""312"", ""733"", ""342"", ""730"", ""339"", ""542"", ""114"", ""682""]",2ceea49a1742ee2a6f04b401ca5f2d999231421f4146cba9b5cf11e226ca1f10,"{""boundary"": 12, ""community_rep"": 6, ""degree_core"": 10, ""random_fill"": 4}","{""degree_2"": 2, ""degree_3_4"": 3, ""degree_5_8"": 26, ""degree_9_plus"": 1}","{""0"": 2, ""1"": 1, ""11"": 2, ""12"": 1, ""13"": 1, ""14"": 1, ""16"": 4, ""18"": 1, ""2"": 2, ""20"": 2, ""21"": 1, ""22"": 3, ""23"": 1, ""3"": 1, ""4"": 2, ""5"": 1, ""6"": 1, ""7"": 3, ""9"": 2}",251,"{""backend"": ""evaluate_m19_theory_calibrated.candidate_features"", ""delta_mode"": ""none"", ""k_max"": 512, ""k_min"": 64, ""variant"": ""conservative""}",251,0.1930769230769231,0.4701195219123506,0.4701195219123506,0.01593625498007968,1.0,"{""dp_0_4"": 0.01593625498007968, ""dp_17_64"": 0.5219123505976095, ""dp_5_16"": 0.46215139442231074}","{""cn_0"": 0.9402390438247012, ""cn_1"": 0.05976095617529881}",0.05976095617529881,19.0199203187251,sasb_candidate_builder,4483aef386c22772ec69b23e2e24ba267e9ea2c85cd285bed15ad43074b1443c,251,4483aef386c22772ec69b23e2e24ba267e9ea2c85cd285bed15ad43074b1443c,"{""sasb_builder"": 251}",0,0,0,0,{},0.0,"{""common_neighbor_bin_l1"": 0.0, ""degree_product_bin_l1"": 0.0, ""is_boundary_edge_l1"": 0.0, ""is_bridge_edge_l1"": 0.0, ""is_inter_community_edge_l1"": 0.0, ""is_low_common_neighbor_edge_l1"": 0.0, ""mean_l1"": 0.0}",1,32,32,327507.5533586702,0
realworld_completed,inf_euroroad,SASB-candidate,sasb,SASB-structured,20260513,6,early,1.0,1.0,0.0,1,1,0,0.004597701149425287,0.0053639846743295016,314,315,314--315,3,6,3,6,18,0,0.0,1,19,7,32,"[""637"", ""448"", ""438"", ""320"", ""270"", ""534"", ""299"", ""274"", ""276"", ""550"", ""415"", ""54"", ""170"", ""174"", ""214"", ""177"", ""213"", ""221"", ""237"", ""253"", ""315"", ""50"", ""636"", ""469"", ""312"", ""733"", ""342"", ""730"", ""897"", ""681"", ""765"", ""930""]",8003342ee8197c99f8e8536a12662f2ac737d7d79432ae945a83dd78d9ed14b6,"{""boundary"": 12, ""community_rep"": 6, ""degree_core"": 10, ""random_fill"": 4}","{""degree_2"": 3, ""degree_3_4"": 2, ""degree_5_8"": 26, ""degree_9_plus"": 1}","{""0"": 2, ""1"": 1, ""11"": 2, ""12"": 2, ""13"": 2, ""14"": 1, ""16"": 4, ""2"": 2, ""20"": 2, ""21"": 1, ""22"": 2, ""23"": 1, ""3"": 1, ""4"": 3, ""5"": 1, ""6"": 1, ""7"": 3, ""9"": 1}",251,"{""backend"": ""evaluate_m19_theory_calibrated.candidate_features"", ""delta_mode"": ""none"", ""k_max"": 512, ""k_min"": 64, ""variant"": ""conservative""}",251,0.19322555812163203,0.46613545816733065,0.46613545816733065,0.0199203187250996,1.0,"{""dp_0_4"": 0.01593625498007968, ""dp_17_64"": 0.5219123505976095, ""dp_5_16"": 0.46215139442231074}","{""cn_0"": 0.9402390438247012, ""cn_1"": 0.05976095617529881}",0.05976095617529881,19.05577689243028,sasb_candidate_builder,e22577f4b2470fbec9aefa5c5aa80010109da9d1736ede038dba5350f8fe881c,251,e22577f4b2470fbec9aefa5c5aa80010109da9d1736ede038dba5350f8fe881c,"{""sasb_builder"": 251}",0,0,0,0,{},0.0,"{""common_neighbor_bin_l1"": 0.0, ""degree_product_bin_l1"": 0.0, ""is_boundary_edge_l1"": 0.0, ""is_bridge_edge_l1"": 0.0, ""is_inter_community_edge_l1"": 0.0, ""is_low_common_neighbor_edge_l1"": 0.0, ""mean_l1"": 0.0}",1,32,32,205781.15300983284,0
realworld_completed,inf_euroroad,SASB-candidate,sasb,SASB-structured,20260513,7,early,1.0,1.0,0.0,1,1,0,0.0053639846743295016,0.006130268199233717,315,329,315--329,5,4,4,5,20,0,0.0,0,11,11,32,"[""637"", ""448"", ""438"", ""320"", ""270"", ""534"", ""299"", ""274"", ""276"", ""550"", ""415"", ""54"", ""170"", ""174"", ""214"", ""177"", ""213"", ""221"", ""237"", ""253"", ""50"", ""541"", ""636"", ""315"", ""469"", ""312"", ""733"", ""342"", ""64"", ""996"", ""502"", ""196""]",c333fa635e883ede2a01de052a1f24c4ddc3a03ec43d36d161d3c479d8e701e6,"{""boundary"": 12, ""community_rep"": 6, ""degree_core"": 10, ""random_fill"": 4}","{""degree_2"": 1, ""degree_3_4"": 4, ""degree_5_8"": 26, ""degree_9_plus"": 1}","{""0"": 2, ""1"": 1, ""11"": 1, ""12"": 1, ""13"": 1, ""14"": 2, ""16"": 4, ""2"": 2, ""20"": 3, ""21"": 1, ""22"": 3, ""23"": 1, ""3"": 1, ""4"": 3, ""5"": 1, ""6"": 2, ""7"": 2, ""9"": 1}",251,"{""backend"": ""evaluate_m19_theory_calibrated.candidate_features"", ""delta_mode"": ""none"", ""k_max"": 512, ""k_min"": 64, ""variant"": ""conservative""}",251,0.1933744221879815,0.46215139442231074,0.46215139442231074,0.0199203187250996,1.0,"{""dp_0_4"": 0.01593625498007968, ""dp_17_64"": 0.5139442231075697, ""dp_5_16"": 0.4701195219123506}","{""cn_0"": 0.9402390438247012, ""cn_1"": 0.05976095617529881}",0.05976095617529881,19.0,sasb_candidate_builder,7f2fb5217708c5bf335e6e684f11d453887c2738a9ebd1168a31d1c72d999776,251,7f2fb5217708c5bf335e6e684f11d453887c2738a9ebd1168a31d1c72d999776,"{""sasb_builder"": 251}",0,0,0,0,{},0.0,"{""common_neighbor_bin_l1"": 0.0, ""degree_product_bin_l1"": 0.0, ""is_boundary_edge_l1"": 0.0, ""is_bridge_edge_l1"": 0.0, ""is_inter_community_edge_l1"": 0.0, ""is_low_common_neighbor_edge_l1"": 0.0, ""mean_l1"": 0.0}",1,32,32,286776.0768362669,0
realworld_completed,inf_euroroad,SASB-candidate,sasb,SASB-structured,20260513,8,early,1.0,1.0,0.0,1,1,0,0.006130268199233717,0.006896551724137931,315,323,315--323,4,3,3,4,12,0,0.0,0,0,0,32,"[""637"", ""448"", ""438"", ""320"", ""270"", ""534"", ""299"", ""274"", ""276"", ""550"", ""415"", ""54"", ""170"", ""174"", ""214"", ""177"", ""213"", ""221"", ""237"", ""253"", ""50"", ""541"", ""636"", ""934"", ""469"", ""312"", ""733"", ""342"", ""476"", ""672"", ""554"", ""982""]",3afb509fd8ec57717ef5a877c357371d1955add5abb492d3bfd799e4dd6fda4c,"{""boundary"": 12, ""community_rep"": 6, ""degree_core"": 10, ""random_fill"": 4}","{""degree_2"": 3, ""degree_3_4"": 2, ""degree_5_8"": 26, ""degree_9_plus"": 1}","{""0"": 2, ""1"": 1, ""11"": 1, ""12"": 2, ""13"": 1, ""14"": 1, ""16"": 4, ""17"": 1, ""2"": 2, ""20"": 2, ""21"": 1, ""22"": 3, ""23"": 1, ""3"": 1, ""4"": 2, ""5"": 1, ""6"": 1, ""7"": 2, ""8"": 1, ""9"": 2}",251,"{""backend"": ""evaluate_m19_theory_calibrated.candidate_features"", ""delta_mode"": ""none"", ""k_max"": 512, ""k_min"": 64, ""variant"": ""conservative""}",251,0.19352351580570548,0.46215139442231074,0.46215139442231074,0.0199203187250996,1.0,"{""dp_0_4"": 0.01593625498007968, ""dp_17_64"": 0.5059760956175299, ""dp_5_16"": 0.47808764940239046}","{""cn_0"": 0.9402390438247012, ""cn_1"": 0.05976095617529881}",0.05976095617529881,18.94422310756972,sasb_candidate_builder,52b0ef4e3e0d36e993bd3e496498eb4f0d4739c2b2b300534fcc46dee4804cc5,251,52b0ef4e3e0d36e993bd3e496498eb4f0d4739c2b2b300534fcc46dee4804cc5,"{""sasb_builder"": 251}",0,0,0,0,{},0.0,"{""common_neighbor_bin_l1"": 0.0, ""degree_product_bin_l1"": 0.0, ""is_boundary_edge_l1"": 0.0, ""is_bridge_edge_l1"": 0.0, ""is_inter_community_edge_l1"": 0.0, ""is_low_common_neighbor_edge_l1"": 0.0, ""mean_l1"": 0.0}",1,32,32,278476.99131182337,0
realworld_completed,inf_euroroad,SASB-candidate,sasb,SASB-structured,20260513,9,early,1.0,1.0,0.0,1,1,0,0.006896551724137931,0.007662835249042145,287,288,287--288,5,2,2,5,10,0,0.0,1,17,18,32,"[""637"", ""448"", ""438"", ""320"", ""270"", ""534"", ""299"", ""274"", ""276"", ""550"", ""415"", ""54"", ""170"", ""174"", ""214"", ""177"", ""213"", ""221"", ""237"", ""253"", ""50"", ""541"", ""636"", ""934"", ""469"", ""312"", ""733"", ""342"", ""467"", ""29"", ""968"", ""549""]",47ad6bbb3b9b8e40642187a6b7bc913e418e3a3369da19f892b3d1aafc9a4753,"{""boundary"": 12, ""community_rep"": 6, ""degree_core"": 10, ""random_fill"": 4}","{""degree_0_1"": 2, ""degree_2"": 2, ""degree_3_4"": 1, ""degree_5_8"": 26, ""degree_9_plus"": 1}","{""0"": 3, ""1"": 1, ""11"": 1, ""12"": 1, ""13"": 1, ""14"": 2, ""16"": 4, ""19"": 1, ""2"": 2, ""20"": 2, ""21"": 1, ""22"": 3, ""23"": 1, ""3"": 1, ""4"": 2, ""5"": 1, ""6"": 2, ""7"": 2, ""9"": 1}",251,"{""backend"": ""evaluate_m19_theory_calibrated.candidate_features"", ""delta_mode"": ""none"", ""k_max"": 512, ""k_min"": 64, ""variant"": ""conservative""}",251,0.19367283950617284,0.4581673306772908,0.4581673306772908,0.0199203187250996,1.0,"{""dp_0_4"": 0.01593625498007968, ""dp_17_64"": 0.5059760956175299, ""dp_5_16"": 0.47808764940239046}","{""cn_0"": 0.9402390438247012, ""cn_1"": 0.05976095617529881}",0.05976095617529881,18.95219123505976,sasb_candidate_builder,a0629a4535a484904dc0fad5446d0c7d8cac0ddf99bc0b2e660add695a945c37,251,a0629a4535a484904dc0fad5446d0c7d8cac0ddf99bc0b2e660add695a945c37,"{""sasb_builder"": 251}",0,0,0,0,{},0.0,"{""common_neighbor_bin_l1"": 0.0, ""degree_product_bin_l1"": 0.0, ""is_boundary_edge_l1"": 0.0, ""is_bridge_edge_l1"": 0.0, ""is_inter_community_edge_l1"": 0.0, ""is_low_common_neighbor_edge_l1"": 0.0, ""mean_l1"": 0.0}",1,32,32,209264.2033440255,0
