dataset,graph_id,method,candidate_policy,source_policy,seed,step,attack_phase,gcc_before,gcc_after,delta_gcc,num_components_before,num_components_after,is_bridge_before_removal,remove_ratio_before,remove_ratio_after,edge_u,edge_v,selected_edge,degree_u,degree_v,degree_min,degree_max,degree_product,common_neighbors,edge_embeddedness,is_inter_community_edge,community_u,community_v,source_count,source_nodes,source_node_hash,source_strata_counts,source_degree_bins,source_community_counts,adaptive_k,candidate_config,candidate_count,candidate_fraction,candidate_inter_community_ratio,candidate_boundary_ratio,candidate_bridge_ratio,candidate_low_cn_ratio,candidate_degree_product_distribution,candidate_common_neighbor_distribution,candidate_mean_common_neighbors,candidate_mean_degree_product,candidate_backend,candidate_hash,sasb_candidate_count_reference,sasb_candidate_hash_reference,match_mode_counts,strict_match_count,degree_only_match_count,community_only_match_count,fallback_count,fallback_reason,matched_feature_difference,matched_feature_difference_detail,candidate_count_equal_to_sasb,source_budget,true_source_traversal_count,sampled_betweenness_score,p2_degree_product_fallback
realworld_completed,inf_euroroad,Structure-matched-candidate,structure_matched,SASB-structured,20260513,0,early,1.0,1.0,0.0,1,1,0,0.0,0.0007662835249042146,428,429,428--429,4,4,4,4,16,0,0.0,1,0,13,32,"[""637"", ""448"", ""438"", ""320"", ""270"", ""534"", ""299"", ""274"", ""276"", ""550"", ""415"", ""54"", ""170"", ""174"", ""214"", ""427"", ""177"", ""213"", ""221"", ""237"", ""253"", ""315"", ""50"", ""636"", ""469"", ""312"", ""733"", ""342"", ""309"", ""940"", ""899"", ""78""]",2f375455dab96b0d0686335f1f85ad94fa14e304e1526789723d32757983a2b7,"{""boundary"": 12, ""community_rep"": 6, ""degree_core"": 10, ""random_fill"": 4}","{""degree_2"": 4, ""degree_3_4"": 1, ""degree_5_8"": 26, ""degree_9_plus"": 1}","{""0"": 2, ""1"": 1, ""11"": 1, ""12"": 2, ""13"": 1, ""14"": 1, ""16"": 5, ""2"": 2, ""20"": 2, ""21"": 2, ""22"": 2, ""23"": 1, ""3"": 2, ""4"": 2, ""5"": 2, ""6"": 1, ""7"": 2, ""9"": 1}",251,"{""backend"": ""evaluate_m19_theory_calibrated.candidate_features"", ""delta_mode"": ""none"", ""k_max"": 512, ""k_min"": 64, ""variant"": ""conservative""}",251,0.19233716475095786,0.4820717131474104,0.4820717131474104,0.01593625498007968,1.0,"{""dp_0_4"": 0.01593625498007968, ""dp_17_64"": 0.5298804780876494, ""dp_5_16"": 0.4541832669322709}","{""cn_0"": 0.952191235059761, ""cn_1"": 0.04780876494023904}",0.04780876494023904,17.816733067729082,random_edges_structure_matched_to_sasb,0b63f1c7accc4a9fe3af2ec27a3bf8d4a08ad6d7bf890600b326636ea70bdda3,251,800977fb2c431f5973b6a9c8768cd89863e828efec88b5c469e4c6231adcfdd9,"{""strict"": 251}",251,0,0,0,{},0.0,"{""common_neighbor_bin_l1"": 0.0, ""degree_product_bin_l1"": 0.0, ""is_boundary_edge_l1"": 0.0, ""is_bridge_edge_l1"": 0.0, ""is_inter_community_edge_l1"": 0.0, ""is_low_common_neighbor_edge_l1"": 0.0, ""mean_l1"": 0.0}",1,32,32,201873.99139343784,0
realworld_completed,inf_euroroad,Structure-matched-candidate,structure_matched,SASB-structured,20260513,1,early,1.0,1.0,0.0,1,1,0,0.0007662835249042146,0.0015325670498084292,286,427,286--427,5,7,5,7,35,0,0.0,1,15,14,32,"[""637"", ""448"", ""438"", ""320"", ""270"", ""534"", ""299"", ""274"", ""276"", ""550"", ""415"", ""54"", ""170"", ""174"", ""214"", ""427"", ""177"", ""213"", ""221"", ""237"", ""253"", ""315"", ""50"", ""636"", ""469"", ""312"", ""733"", ""342"", ""228"", ""748"", ""395"", ""528""]",5d42681f021d6ee1011202e086355221191936c029de3e20ee8dfbc9163a8eb5,"{""boundary"": 12, ""community_rep"": 6, ""degree_core"": 10, ""random_fill"": 4}","{""degree_2"": 3, ""degree_3_4"": 2, ""degree_5_8"": 26, ""degree_9_plus"": 1}","{""0"": 2, ""1"": 1, ""11"": 1, ""12"": 1, ""13"": 1, ""14"": 1, ""16"": 6, ""17"": 1, ""2"": 2, ""20"": 2, ""21"": 2, ""22"": 2, ""23"": 1, ""3"": 1, ""4"": 3, ""5"": 1, ""6"": 1, ""7"": 2, ""9"": 1}",251,"{""backend"": ""evaluate_m19_theory_calibrated.candidate_features"", ""delta_mode"": ""none"", ""k_max"": 512, ""k_min"": 64, ""variant"": ""conservative""}",251,0.19248466257668712,0.47808764940239046,0.47808764940239046,0.01593625498007968,1.0,"{""dp_0_4"": 0.01593625498007968, ""dp_17_64"": 0.5298804780876494, ""dp_5_16"": 0.4541832669322709}","{""cn_0"": 0.9482071713147411, ""cn_1"": 0.05179282868525897}",0.05179282868525897,17.932270916334662,random_edges_structure_matched_to_sasb,c820e06a7d799e15aa7f7a94c2db6b7f3062f137a7ea2c6e9a5b65fd923d610f,251,a3ab7ef292c102f902d0d650489b75af8259b93415d2cb43ddd8f82bcf9e864e,"{""strict"": 251}",251,0,0,0,{},0.0,"{""common_neighbor_bin_l1"": 0.0, ""degree_product_bin_l1"": 0.0, ""is_boundary_edge_l1"": 0.0, ""is_bridge_edge_l1"": 0.0, ""is_inter_community_edge_l1"": 0.0, ""is_low_common_neighbor_edge_l1"": 0.0, ""mean_l1"": 0.0}",1,32,32,239116.5099461946,0
realworld_completed,inf_euroroad,Structure-matched-candidate,structure_matched,SASB-structured,20260513,2,early,1.0,1.0,0.0,1,1,0,0.0015325670498084292,0.0022988505747126436,21,427,21--427,3,6,3,6,18,0,0.0,1,16,3,32,"[""637"", ""448"", ""438"", ""320"", ""270"", ""534"", ""299"", ""274"", ""276"", ""550"", ""415"", ""54"", ""170"", ""174"", ""214"", ""177"", ""213"", ""221"", ""237"", ""253"", ""315"", ""427"", ""50"", ""636"", ""469"", ""312"", ""733"", ""342"", ""741"", ""990"", ""494"", ""991""]",4d7865fe5d8cb678c17bd2437dc10271182bad76938507670d2348295062093d,"{""boundary"": 12, ""community_rep"": 6, ""degree_core"": 10, ""random_fill"": 4}","{""degree_0_1"": 1, ""degree_2"": 1, ""degree_3_4"": 2, ""degree_5_8"": 27, ""degree_9_plus"": 1}","{""0"": 2, ""1"": 1, ""11"": 1, ""12"": 1, ""13"": 1, ""14"": 3, ""16"": 5, ""2"": 2, ""20"": 2, ""21"": 1, ""22"": 3, ""23"": 2, ""3"": 1, ""4"": 2, ""5"": 1, ""6"": 1, ""7"": 2, ""9"": 1}",251,"{""backend"": ""evaluate_m19_theory_calibrated.candidate_features"", ""delta_mode"": ""none"", ""k_max"": 512, ""k_min"": 64, ""variant"": ""conservative""}",251,0.19263238679969302,0.47410358565737054,0.47410358565737054,0.01593625498007968,1.0,"{""dp_0_4"": 0.01593625498007968, ""dp_17_64"": 0.5258964143426295, ""dp_5_16"": 0.4581673306772908}","{""cn_0"": 0.9482071713147411, ""cn_1"": 0.05179282868525897}",0.05179282868525897,17.701195219123505,random_edges_structure_matched_to_sasb,a78a0f79ca41d9d39c3b984a9736ef64f27df8b58c2e2c6c3b494b16fd193a0e,251,b71b0a163dd01b9c60d7ef2c1626e0deff5db166315c8e01d70bb0866715538c,"{""strict"": 251}",251,0,0,0,{},0.0,"{""common_neighbor_bin_l1"": 0.0, ""degree_product_bin_l1"": 0.0, ""is_boundary_edge_l1"": 0.0, ""is_bridge_edge_l1"": 0.0, ""is_inter_community_edge_l1"": 0.0, ""is_low_common_neighbor_edge_l1"": 0.0, ""mean_l1"": 0.0}",1,32,32,254695.54310128686,0
realworld_completed,inf_euroroad,Structure-matched-candidate,structure_matched,SASB-structured,20260513,3,early,1.0,1.0,0.0,1,1,0,0.0022988505747126436,0.0030651340996168583,427,428,427--428,5,3,3,5,15,0,0.0,1,17,2,32,"[""637"", ""448"", ""438"", ""320"", ""270"", ""534"", ""299"", ""274"", ""276"", ""550"", ""415"", ""54"", ""170"", ""174"", ""214"", ""177"", ""213"", ""221"", ""237"", ""253"", ""315"", ""50"", ""636"", ""469"", ""312"", ""733"", ""342"", ""730"", ""567"", ""580"", ""1004"", ""989""]",c68f2940c725e359d85e75ddefe8f053b051150f9e2f27cf20478b6cba4e62e8,"{""boundary"": 12, ""community_rep"": 6, ""degree_core"": 10, ""random_fill"": 4}","{""degree_0_1"": 1, ""degree_2"": 2, ""degree_3_4"": 1, ""degree_5_8"": 27, ""degree_9_plus"": 1}","{""0"": 2, ""1"": 1, ""11"": 2, ""12"": 1, ""13"": 1, ""14"": 3, ""16"": 4, ""17"": 1, ""2"": 3, ""20"": 2, ""21"": 1, ""22"": 2, ""23"": 1, ""3"": 1, ""4"": 2, ""5"": 1, ""6"": 1, ""7"": 2, ""9"": 1}",251,"{""backend"": ""evaluate_m19_theory_calibrated.candidate_features"", ""delta_mode"": ""none"", ""k_max"": 512, ""k_min"": 64, ""variant"": ""conservative""}",251,0.19278033794162827,0.47410358565737054,0.47410358565737054,0.01593625498007968,1.0,"{""dp_0_4"": 0.01593625498007968, ""dp_17_64"": 0.5179282868525896, ""dp_5_16"": 0.46613545816733065}","{""cn_0"": 0.9442231075697212, ""cn_1"": 0.055776892430278883}",0.055776892430278883,17.470119521912352,random_edges_structure_matched_to_sasb,361138742220e9dee22481ed0b0d199c88d7f129c75a23f5377350659593b7c1,251,8100236121917b993dfd7cdc3ea0c720168285eaa28161b6f87aa2231675a995,"{""strict"": 251}",251,0,0,0,{},0.0,"{""common_neighbor_bin_l1"": 0.0, ""degree_product_bin_l1"": 0.0, ""is_boundary_edge_l1"": 0.0, ""is_bridge_edge_l1"": 0.0, ""is_inter_community_edge_l1"": 0.0, ""is_low_common_neighbor_edge_l1"": 0.0, ""mean_l1"": 0.0}",1,32,32,199856.39542379393,0
realworld_completed,inf_euroroad,Structure-matched-candidate,structure_matched,SASB-structured,20260513,4,early,1.0,1.0,0.0,1,1,0,0.0030651340996168583,0.0038314176245210726,315,462,315--462,6,4,4,6,24,1,0.3333333333333333,0,16,16,32,"[""637"", ""448"", ""438"", ""320"", ""270"", ""534"", ""299"", ""274"", ""276"", ""550"", ""415"", ""54"", ""170"", ""174"", ""214"", ""177"", ""213"", ""221"", ""237"", ""253"", ""315"", ""50"", ""636"", ""469"", ""312"", ""733"", ""342"", ""730"", ""484"", ""1018"", ""598"", ""426""]",45db809fd16d3635bf08f5bea1eac0a9fadb7076c196d1a754d7e232f0a329fb,"{""boundary"": 12, ""community_rep"": 6, ""degree_core"": 10, ""random_fill"": 4}","{""degree_2"": 3, ""degree_3_4"": 1, ""degree_5_8"": 27, ""degree_9_plus"": 1}","{""0"": 4, ""1"": 1, ""11"": 2, ""12"": 1, ""13"": 1, ""14"": 1, ""16"": 4, ""2"": 2, ""20"": 2, ""21"": 1, ""22"": 2, ""23"": 1, ""3"": 1, ""4"": 2, ""5"": 2, ""6"": 1, ""7"": 2, ""8"": 1, ""9"": 1}",251,"{""backend"": ""evaluate_m19_theory_calibrated.candidate_features"", ""delta_mode"": ""none"", ""k_max"": 512, ""k_min"": 64, ""variant"": ""conservative""}",251,0.1929285165257494,0.4701195219123506,0.4701195219123506,0.01593625498007968,1.0,"{""dp_0_4"": 0.01593625498007968, ""dp_17_64"": 0.5139442231075697, ""dp_5_16"": 0.4701195219123506}","{""cn_0"": 0.9402390438247012, ""cn_1"": 0.05976095617529881}",0.05976095617529881,17.50996015936255,random_edges_structure_matched_to_sasb,ff4aed24a56024ca4923e8ec6fc89ee6cc99edce6b93ff519a2924aa2dc4d545,251,b24d4ef4186d035ac48aeb3a4499e45fbaafe31b85414931ac2e87e2067f3f72,"{""strict"": 251}",251,0,0,0,{},0.0,"{""common_neighbor_bin_l1"": 0.0, ""degree_product_bin_l1"": 0.0, ""is_boundary_edge_l1"": 0.0, ""is_bridge_edge_l1"": 0.0, ""is_inter_community_edge_l1"": 0.0, ""is_low_common_neighbor_edge_l1"": 0.0, ""mean_l1"": 0.0}",1,32,32,255509.65067118715,0
realworld_completed,inf_euroroad,Structure-matched-candidate,structure_matched,SASB-structured,20260513,5,early,1.0,1.0,0.0,1,1,0,0.0038314176245210726,0.004597701149425287,312,313,312--313,5,3,3,5,15,0,0.0,0,15,15,32,"[""637"", ""448"", ""438"", ""320"", ""270"", ""534"", ""299"", ""274"", ""276"", ""550"", ""415"", ""54"", ""170"", ""174"", ""214"", ""177"", ""213"", ""221"", ""237"", ""253"", ""50"", ""541"", ""636"", ""315"", ""469"", ""312"", ""733"", ""342"", ""339"", ""542"", ""114"", ""682""]",c8360606b2723112fec28458ee15d2112d9d9cfe901d14c86729a020786df1f2,"{""boundary"": 12, ""community_rep"": 6, ""degree_core"": 10, ""random_fill"": 4}","{""degree_2"": 2, ""degree_3_4"": 3, ""degree_5_8"": 26, ""degree_9_plus"": 1}","{""0"": 2, ""1"": 1, ""11"": 1, ""12"": 1, ""13"": 1, ""14"": 1, ""16"": 4, ""18"": 1, ""2"": 2, ""20"": 2, ""21"": 1, ""22"": 4, ""23"": 1, ""3"": 1, ""4"": 2, ""5"": 1, ""6"": 1, ""7"": 3, ""9"": 2}",251,"{""backend"": ""evaluate_m19_theory_calibrated.candidate_features"", ""delta_mode"": ""none"", ""k_max"": 512, ""k_min"": 64, ""variant"": ""conservative""}",251,0.1930769230769231,0.4701195219123506,0.4701195219123506,0.01593625498007968,1.0,"{""dp_0_4"": 0.01593625498007968, ""dp_17_64"": 0.5059760956175299, ""dp_5_16"": 0.47808764940239046}","{""cn_0"": 0.9402390438247012, ""cn_1"": 0.05976095617529881}",0.05976095617529881,17.48207171314741,random_edges_structure_matched_to_sasb,29f6fed808ba734018a5a9c9ff62e99dd17e656f8428df6af9eea911182ea376,251,3b5f443e2324d2df240c4c5136bbf7c0f1e46db5a17312a15e57fd4f8edc883e,"{""strict"": 251}",251,0,0,0,{},0.0,"{""common_neighbor_bin_l1"": 0.0, ""degree_product_bin_l1"": 0.0, ""is_boundary_edge_l1"": 0.0, ""is_bridge_edge_l1"": 0.0, ""is_inter_community_edge_l1"": 0.0, ""is_low_common_neighbor_edge_l1"": 0.0, ""mean_l1"": 0.0}",1,32,32,205917.29836197494,0
realworld_completed,inf_euroroad,Structure-matched-candidate,structure_matched,SASB-structured,20260513,6,early,1.0,1.0,0.0,1,1,0,0.004597701149425287,0.0053639846743295016,315,329,315--329,5,4,4,5,20,0,0.0,0,3,3,32,"[""637"", ""448"", ""438"", ""320"", ""270"", ""534"", ""299"", ""274"", ""276"", ""550"", ""415"", ""54"", ""170"", ""174"", ""214"", ""177"", ""213"", ""221"", ""237"", ""253"", ""50"", ""541"", ""636"", ""315"", ""469"", ""413"", ""733"", ""342"", ""897"", ""681"", ""765"", ""930""]",45e3caaf3e2e842c90433f9f419bef864ab4d710a37aa569805a8dc8879ffab4,"{""boundary"": 12, ""community_rep"": 6, ""degree_core"": 10, ""random_fill"": 4}","{""degree_2"": 2, ""degree_3_4"": 4, ""degree_5_8"": 25, ""degree_9_plus"": 1}","{""0"": 2, ""1"": 1, ""11"": 1, ""12"": 2, ""13"": 2, ""14"": 1, ""16"": 4, ""2"": 2, ""20"": 2, ""21"": 1, ""22"": 3, ""23"": 1, ""3"": 1, ""4"": 3, ""5"": 1, ""6"": 1, ""7"": 3, ""9"": 1}",251,"{""backend"": ""evaluate_m19_theory_calibrated.candidate_features"", ""delta_mode"": ""none"", ""k_max"": 512, ""k_min"": 64, ""variant"": ""conservative""}",251,0.19322555812163203,0.46613545816733065,0.46613545816733065,0.01593625498007968,1.0,"{""dp_0_4"": 0.01593625498007968, ""dp_17_64"": 0.50199203187251, ""dp_5_16"": 0.4820717131474104}","{""cn_0"": 0.9402390438247012, ""cn_1"": 0.05976095617529881}",0.05976095617529881,17.338645418326692,random_edges_structure_matched_to_sasb,2c09083194b5e96f01c5f4ce582ffa2c5865ad3ec104ae0f2d44f1ba04199888,251,8ba6aa4e94b38da77339670cea28313fbc390f5e25729192a7d6217ef8250c82,"{""strict"": 251}",251,0,0,0,{},0.0,"{""common_neighbor_bin_l1"": 0.0, ""degree_product_bin_l1"": 0.0, ""is_boundary_edge_l1"": 0.0, ""is_bridge_edge_l1"": 0.0, ""is_inter_community_edge_l1"": 0.0, ""is_low_common_neighbor_edge_l1"": 0.0, ""mean_l1"": 0.0}",1,32,32,194549.22389939424,0
realworld_completed,inf_euroroad,Structure-matched-candidate,structure_matched,SASB-structured,20260513,7,early,1.0,1.0,0.0,1,1,0,0.0053639846743295016,0.006130268199233717,315,323,315--323,4,3,3,4,12,0,0.0,0,21,21,32,"[""637"", ""448"", ""438"", ""320"", ""270"", ""534"", ""299"", ""274"", ""276"", ""550"", ""415"", ""54"", ""170"", ""174"", ""214"", ""177"", ""213"", ""221"", ""237"", ""253"", ""50"", ""541"", ""636"", ""934"", ""469"", ""413"", ""733"", ""342"", ""64"", ""996"", ""502"", ""196""]",e962da28d3af502e373b2801eae5145ee4459148d8e2e5941719c40cdf0d0c73,"{""boundary"": 12, ""community_rep"": 6, ""degree_core"": 10, ""random_fill"": 4}","{""degree_2"": 1, ""degree_3_4"": 5, ""degree_5_8"": 25, ""degree_9_plus"": 1}","{""0"": 2, ""1"": 1, ""11"": 1, ""12"": 1, ""13"": 1, ""14"": 2, ""16"": 4, ""2"": 2, ""20"": 3, ""21"": 1, ""22"": 3, ""23"": 1, ""3"": 1, ""4"": 3, ""5"": 1, ""6"": 2, ""7"": 2, ""9"": 1}",251,"{""backend"": ""evaluate_m19_theory_calibrated.candidate_features"", ""delta_mode"": ""none"", ""k_max"": 512, ""k_min"": 64, ""variant"": ""conservative""}",251,0.1933744221879815,0.46613545816733065,0.46613545816733065,0.01593625498007968,1.0,"{""dp_0_4"": 0.01593625498007968, ""dp_17_64"": 0.4940239043824701, ""dp_5_16"": 0.4900398406374502}","{""cn_0"": 0.9402390438247012, ""cn_1"": 0.05976095617529881}",0.05976095617529881,17.274900398406373,random_edges_structure_matched_to_sasb,78da732c2e746ae9013f549105bf75aa8eb08d48fb8477e412fc2281e5e3c10f,251,5685412e5e0bb6683868a2efd95ed8dc36f56726215c6ad6e2a11edc758c3c4e,"{""strict"": 251}",251,0,0,0,{},0.0,"{""common_neighbor_bin_l1"": 0.0, ""degree_product_bin_l1"": 0.0, ""is_boundary_edge_l1"": 0.0, ""is_bridge_edge_l1"": 0.0, ""is_inter_community_edge_l1"": 0.0, ""is_low_common_neighbor_edge_l1"": 0.0, ""mean_l1"": 0.0}",1,32,32,196382.82978958782,0
realworld_completed,inf_euroroad,Structure-matched-candidate,structure_matched,SASB-structured,20260513,8,early,1.0,1.0,0.0,1,1,0,0.006130268199233717,0.006896551724137931,765,766,765--766,3,2,2,3,6,0,0.0,0,17,17,32,"[""637"", ""448"", ""438"", ""320"", ""270"", ""534"", ""299"", ""274"", ""276"", ""550"", ""415"", ""54"", ""170"", ""174"", ""214"", ""177"", ""213"", ""221"", ""237"", ""253"", ""50"", ""541"", ""636"", ""934"", ""469"", ""413"", ""733"", ""342"", ""476"", ""672"", ""554"", ""982""]",2d0a4936326e25898bcb5ac64ca885715fec036b0b3fbc3234b08114da2d95a2,"{""boundary"": 12, ""community_rep"": 6, ""degree_core"": 10, ""random_fill"": 4}","{""degree_2"": 3, ""degree_3_4"": 3, ""degree_5_8"": 25, ""degree_9_plus"": 1}","{""0"": 2, ""1"": 1, ""11"": 1, ""12"": 2, ""13"": 1, ""14"": 1, ""16"": 4, ""17"": 1, ""2"": 2, ""20"": 2, ""21"": 1, ""22"": 3, ""23"": 1, ""3"": 1, ""4"": 2, ""5"": 1, ""6"": 1, ""7"": 2, ""8"": 1, ""9"": 2}",251,"{""backend"": ""evaluate_m19_theory_calibrated.candidate_features"", ""delta_mode"": ""none"", ""k_max"": 512, ""k_min"": 64, ""variant"": ""conservative""}",251,0.19352351580570548,0.46215139442231074,0.46215139442231074,0.01593625498007968,1.0,"{""dp_0_4"": 0.01593625498007968, ""dp_17_64"": 0.4940239043824701, ""dp_5_16"": 0.4900398406374502}","{""cn_0"": 0.9402390438247012, ""cn_1"": 0.05976095617529881}",0.05976095617529881,17.37051792828685,random_edges_structure_matched_to_sasb,e8ff807859e2a004fa9a6384595ed587b49f1db8efcdda61e91fb42ae8b70abd,251,8c16c1cb7a168b000da719a860d7677b438309d00c28e6f70d9232975fe330ef,"{""strict"": 251}",251,0,0,0,{},0.0,"{""common_neighbor_bin_l1"": 0.0, ""degree_product_bin_l1"": 0.0, ""is_boundary_edge_l1"": 0.0, ""is_bridge_edge_l1"": 0.0, ""is_inter_community_edge_l1"": 0.0, ""is_low_common_neighbor_edge_l1"": 0.0, ""mean_l1"": 0.0}",1,32,32,254240.99825109643,0
realworld_completed,inf_euroroad,Structure-matched-candidate,structure_matched,SASB-structured,20260513,9,early,1.0,1.0,0.0,1,1,0,0.006896551724137931,0.007662835249042145,314,315,314--315,3,3,3,3,9,0,0.0,1,2,23,32,"[""637"", ""448"", ""438"", ""320"", ""270"", ""534"", ""299"", ""274"", ""276"", ""550"", ""415"", ""54"", ""170"", ""174"", ""214"", ""177"", ""213"", ""221"", ""237"", ""253"", ""50"", ""541"", ""636"", ""934"", ""469"", ""413"", ""733"", ""342"", ""467"", ""29"", ""968"", ""549""]",f8f6bca06e8b0c2923e8523924aa8eabb9702817902e5cb7ff62da192b0751ef,"{""boundary"": 12, ""community_rep"": 6, ""degree_core"": 10, ""random_fill"": 4}","{""degree_0_1"": 2, ""degree_2"": 2, ""degree_3_4"": 2, ""degree_5_8"": 25, ""degree_9_plus"": 1}","{""0"": 3, ""1"": 1, ""11"": 1, ""12"": 1, ""13"": 1, ""14"": 2, ""16"": 4, ""19"": 1, ""2"": 2, ""20"": 2, ""21"": 1, ""22"": 3, ""23"": 1, ""3"": 1, ""4"": 2, ""5"": 1, ""6"": 2, ""7"": 2, ""9"": 1}",251,"{""backend"": ""evaluate_m19_theory_calibrated.candidate_features"", ""delta_mode"": ""none"", ""k_max"": 512, ""k_min"": 64, ""variant"": ""conservative""}",251,0.19367283950617284,0.4581673306772908,0.4581673306772908,0.01593625498007968,1.0,"{""dp_0_4"": 0.01593625498007968, ""dp_17_64"": 0.4940239043824701, ""dp_5_16"": 0.4900398406374502}","{""cn_0"": 0.9402390438247012, ""cn_1"": 0.05976095617529881}",0.05976095617529881,17.390438247011954,random_edges_structure_matched_to_sasb,41695baa66d5ca286f879057e24b3df6952d5a6d45bcaa805052fec7c07bfe76,251,994af3cb137cdba24561e433c95c2696b3079c48244c601780b1a378668afa28,"{""strict"": 251}",251,0,0,0,{},0.0,"{""common_neighbor_bin_l1"": 0.0, ""degree_product_bin_l1"": 0.0, ""is_boundary_edge_l1"": 0.0, ""is_bridge_edge_l1"": 0.0, ""is_inter_community_edge_l1"": 0.0, ""is_low_common_neighbor_edge_l1"": 0.0, ""mean_l1"": 0.0}",1,32,32,268372.4806120028,0
