dataset,graph_id,graph_name,graph_type,community_strength,method,candidate_policy,source_policy,seed,step,removed_edges,remove_ratio,gcc_ratio,gcc_size
realworld_completed,inf_power,inf-power,infrastructure,unknown,SASB-candidate,sasb,SASB-structured,20260513,0,0,0.0,1.0,4941
realworld_completed,inf_power,inf-power,infrastructure,unknown,SASB-candidate,sasb,SASB-structured,20260513,1,1,0.00015165301789505612,1.0,4941
realworld_completed,inf_power,inf-power,infrastructure,unknown,SASB-candidate,sasb,SASB-structured,20260513,2,2,0.00030330603579011223,1.0,4941
realworld_completed,inf_power,inf-power,infrastructure,unknown,SASB-candidate,sasb,SASB-structured,20260513,3,3,0.00045495905368516835,1.0,4941
realworld_completed,inf_power,inf-power,infrastructure,unknown,SASB-candidate,sasb,SASB-structured,20260513,4,4,0.0006066120715802245,1.0,4941
realworld_completed,inf_power,inf-power,infrastructure,unknown,SASB-candidate,sasb,SASB-structured,20260513,5,5,0.0007582650894752805,1.0,4941
realworld_completed,inf_power,inf-power,infrastructure,unknown,SASB-candidate,sasb,SASB-structured,20260513,6,6,0.0009099181073703367,1.0,4941
realworld_completed,inf_power,inf-power,infrastructure,unknown,SASB-candidate,sasb,SASB-structured,20260513,7,7,0.0010615711252653928,1.0,4941
realworld_completed,inf_power,inf-power,infrastructure,unknown,SASB-candidate,sasb,SASB-structured,20260513,8,8,0.001213224143160449,1.0,4941
realworld_completed,inf_power,inf-power,infrastructure,unknown,SASB-candidate,sasb,SASB-structured,20260513,9,9,0.001364877161055505,1.0,4941
realworld_completed,inf_power,inf-power,infrastructure,unknown,SASB-candidate,sasb,SASB-structured,20260513,10,10,0.001516530178950561,1.0,4941
realworld_completed,inf_power,inf-power,infrastructure,unknown,SASB-candidate,sasb,SASB-structured,20260513,11,11,0.0016681831968456172,1.0,4941
realworld_completed,inf_power,inf-power,infrastructure,unknown,SASB-candidate,sasb,SASB-structured,20260513,12,12,0.0018198362147406734,1.0,4941
realworld_completed,inf_power,inf-power,infrastructure,unknown,SASB-candidate,sasb,SASB-structured,20260513,13,13,0.0019714892326357296,1.0,4941
realworld_completed,inf_power,inf-power,infrastructure,unknown,SASB-candidate,sasb,SASB-structured,20260513,14,14,0.0021231422505307855,1.0,4941
realworld_completed,inf_power,inf-power,infrastructure,unknown,SASB-candidate,sasb,SASB-structured,20260513,15,15,0.0022747952684258415,1.0,4941
realworld_completed,inf_power,inf-power,infrastructure,unknown,SASB-candidate,sasb,SASB-structured,20260513,16,16,0.002426448286320898,1.0,4941
