dataset,graph_id,method,candidate_policy,source_policy,seed,step,attack_phase,gcc_before,gcc_after,delta_gcc,num_components_before,num_components_after,is_bridge_before_removal,remove_ratio_before,remove_ratio_after,edge_u,edge_v,selected_edge,degree_u,degree_v,degree_min,degree_max,degree_product,common_neighbors,edge_embeddedness,is_inter_community_edge,community_u,community_v,source_count,source_nodes,source_node_hash,source_strata_counts,source_degree_bins,source_community_counts,adaptive_k,candidate_config,candidate_count,candidate_fraction,candidate_inter_community_ratio,candidate_boundary_ratio,candidate_bridge_ratio,candidate_low_cn_ratio,candidate_degree_product_distribution,candidate_common_neighbor_distribution,candidate_mean_common_neighbors,candidate_mean_degree_product,candidate_backend,candidate_hash,sasb_candidate_count_reference,sasb_candidate_hash_reference,match_mode_counts,strict_match_count,degree_only_match_count,community_only_match_count,fallback_count,fallback_reason,matched_feature_difference,matched_feature_difference_detail,candidate_count_equal_to_sasb,source_budget,true_source_traversal_count,sampled_betweenness_score,p2_degree_product_fallback
realworld_completed,inf_usair97,Random-size-matched-candidate,random_size_matched,SASB-structured,20260513,0,early,1.0,1.0,0.0,1,1,0,0.0,0.00047036688617121356,173,202,173--202,101,10,10,101,1010,9,1.0,0,1,1,32,"[""21"", ""180"", ""173"", ""92"", ""59"", ""74"", ""295"", ""215"", ""131"", ""145"", ""15"", ""176"", ""114"", ""53"", ""70"", ""85"", ""165"", ""50"", ""273"", ""221"", ""83"", ""11"", ""299"", ""255"", ""119"", ""214"", ""314"", ""25"", ""286"", ""279"", ""202"", ""63""]",c3e44823514d4dfeac7aab4c3a3b99bde5761c85df970a32e978d102e5ab311f,"{""boundary"": 12, ""community_rep"": 2, ""degree_core"": 10, ""random_fill"": 8}","{""degree_0_1"": 3, ""degree_2"": 1, ""degree_3_4"": 1, ""degree_5_8"": 1, ""degree_9_plus"": 26}","{""0"": 1, ""1"": 6, ""2"": 1, ""3"": 9, ""4"": 9, ""5"": 6}",268,"{""backend"": ""evaluate_m19_theory_calibrated.candidate_features"", ""delta_mode"": ""none"", ""k_max"": 512, ""k_min"": 64, ""variant"": ""conservative""}",268,0.12605832549388524,0.332089552238806,0.332089552238806,0.041044776119402986,0.4216417910447761,"{""dp_0_4"": 0.007462686567164179, ""dp_17_64"": 0.07462686567164178, ""dp_257_plus"": 0.7574626865671642, ""dp_5_16"": 0.029850746268656716, ""dp_65_256"": 0.13059701492537312}","{""cn_0"": 0.40298507462686567, ""cn_1"": 0.018656716417910446, ""cn_2_3"": 0.08955223880597014, ""cn_4_8"": 0.1417910447761194, ""cn_9_plus"": 0.34701492537313433}",9.895522388059701,1638.641791044776,uniform_random_edges_size_matched_to_sasb,1b545d07a644835e8e554dd208eefcc6087f8786f0d8ad4f4943005ab5535365,268,e48b3b06a8fb6a17e97d4da2157076591f2ea25a36d38d41507a9b6643adef1d,"{""random_size_matched"": 268}",0,0,0,0,{},0.582089552238806,"{""common_neighbor_bin_l1"": 0.17910447761194026, ""degree_product_bin_l1"": 0.4626865671641791, ""is_boundary_edge_l1"": 1.335820895522388, ""is_bridge_edge_l1"": 0.07462686567164178, ""is_inter_community_edge_l1"": 1.335820895522388, ""is_low_common_neighbor_edge_l1"": 0.10447761194029842, ""mean_l1"": 0.582089552238806}",1,32,32,842.2308473519682,0
realworld_completed,inf_usair97,Random-size-matched-candidate,random_size_matched,SASB-structured,20260513,1,early,1.0,1.0,0.0,1,1,0,0.00047036688617121356,0.0009407337723424271,24,299,24--299,14,29,14,29,406,2,0.15384615384615385,0,2,2,32,"[""21"", ""180"", ""173"", ""92"", ""59"", ""74"", ""295"", ""215"", ""131"", ""145"", ""15"", ""176"", ""114"", ""53"", ""70"", ""85"", ""165"", ""50"", ""273"", ""221"", ""83"", ""11"", ""299"", ""255"", ""331"", ""69"", ""39"", ""71"", ""226"", ""197"", ""239"", ""274""]",8a3ab6fe83a483f4ac3077ac969cf61e39a9742fe17d5ca6a38c00ba71e7a649,"{""boundary"": 12, ""community_rep"": 2, ""degree_core"": 10, ""random_fill"": 8}","{""degree_0_1"": 1, ""degree_2"": 1, ""degree_3_4"": 5, ""degree_5_8"": 1, ""degree_9_plus"": 24}","{""0"": 1, ""1"": 5, ""2"": 1, ""3"": 9, ""4"": 9, ""5"": 7}",268,"{""backend"": ""evaluate_m19_theory_calibrated.candidate_features"", ""delta_mode"": ""none"", ""k_max"": 512, ""k_min"": 64, ""variant"": ""conservative""}",268,0.12611764705882353,0.3805970149253731,0.3805970149253731,0.026119402985074626,0.4291044776119403,"{""dp_0_4"": 0.011194029850746268, ""dp_17_64"": 0.033582089552238806, ""dp_257_plus"": 0.746268656716418, ""dp_5_16"": 0.041044776119402986, ""dp_65_256"": 0.16791044776119404}","{""cn_0"": 0.3880597014925373, ""cn_1"": 0.041044776119402986, ""cn_2_3"": 0.08955223880597014, ""cn_4_8"": 0.16044776119402984, ""cn_9_plus"": 0.3208955223880597}",9.395522388059701,1589.089552238806,uniform_random_edges_size_matched_to_sasb,fc39c1ffb0589a13772161983714a3446e5727724bda93ea3d1f264d660aac03,268,e48b3b06a8fb6a17e97d4da2157076591f2ea25a36d38d41507a9b6643adef1d,"{""random_size_matched"": 268}",0,0,0,0,{},0.5597014925373135,"{""common_neighbor_bin_l1"": 0.26119402985074625, ""degree_product_bin_l1"": 0.48507462686567165, ""is_boundary_edge_l1"": 1.2388059701492538, ""is_bridge_edge_l1"": 0.044776119402985134, ""is_inter_community_edge_l1"": 1.2388059701492538, ""is_low_common_neighbor_edge_l1"": 0.08955223880597013, ""mean_l1"": 0.5597014925373135}",1,32,32,3984.0,0
realworld_completed,inf_usair97,Random-size-matched-candidate,random_size_matched,SASB-structured,20260513,2,early,1.0,1.0,0.0,1,1,0,0.0009407337723424271,0.0014111006585136407,223,299,223--299,5,28,5,28,140,4,1.0,0,2,2,32,"[""21"", ""180"", ""173"", ""92"", ""59"", ""74"", ""295"", ""215"", ""131"", ""145"", ""15"", ""176"", ""114"", ""53"", ""70"", ""85"", ""165"", ""50"", ""273"", ""221"", ""83"", ""11"", ""299"", ""255"", ""331"", ""311"", ""201"", ""97"", ""272"", ""240"", ""223"", ""275""]",dfad5c5a111333e28f1f2966507908f02bda450bebd95b8348fe4910b7c3bb04,"{""boundary"": 12, ""community_rep"": 2, ""degree_core"": 10, ""random_fill"": 8}","{""degree_0_1"": 1, ""degree_3_4"": 4, ""degree_5_8"": 4, ""degree_9_plus"": 23}","{""0"": 1, ""1"": 4, ""2"": 3, ""3"": 11, ""4"": 8, ""5"": 5}",268,"{""backend"": ""evaluate_m19_theory_calibrated.candidate_features"", ""delta_mode"": ""none"", ""k_max"": 512, ""k_min"": 64, ""variant"": ""conservative""}",268,0.12617702448210924,0.3619402985074627,0.3619402985074627,0.033582089552238806,0.43656716417910446,"{""dp_0_4"": 0.0037313432835820895, ""dp_17_64"": 0.0708955223880597, ""dp_257_plus"": 0.7611940298507462, ""dp_5_16"": 0.022388059701492536, ""dp_65_256"": 0.1417910447761194}","{""cn_0"": 0.376865671641791, ""cn_1"": 0.05970149253731343, ""cn_2_3"": 0.08208955223880597, ""cn_4_8"": 0.14925373134328357, ""cn_9_plus"": 0.332089552238806}",10.276119402985074,1711.3246268656717,uniform_random_edges_size_matched_to_sasb,797a5f3fe9537bc72b8839564ed94d99f7bf79334322a87937bb15e49ac4edeb,268,e48b3b06a8fb6a17e97d4da2157076591f2ea25a36d38d41507a9b6643adef1d,"{""random_size_matched"": 268}",0,0,0,0,{},0.5671641791044776,"{""common_neighbor_bin_l1"": 0.26119402985074625, ""degree_product_bin_l1"": 0.45522388059701496, ""is_boundary_edge_l1"": 1.2761194029850746, ""is_bridge_edge_l1"": 0.05970149253731352, ""is_inter_community_edge_l1"": 1.2761194029850746, ""is_low_common_neighbor_edge_l1"": 0.07462686567164178, ""mean_l1"": 0.5671641791044776}",1,32,32,898.9541634816333,0
realworld_completed,inf_usair97,Random-size-matched-candidate,random_size_matched,SASB-structured,20260513,3,early,1.0,1.0,0.0,1,1,0,0.0014111006585136407,0.0018814675446848542,273,299,273--299,57,27,27,57,1539,9,0.34615384615384615,1,3,2,32,"[""21"", ""180"", ""173"", ""92"", ""59"", ""74"", ""295"", ""215"", ""131"", ""145"", ""15"", ""176"", ""114"", ""53"", ""70"", ""85"", ""165"", ""50"", ""273"", ""221"", ""83"", ""11"", ""299"", ""255"", ""178"", ""240"", ""72"", ""238"", ""151"", ""89"", ""249"", ""268""]",f8af4deb525c2b7e4050fbec661ed912deccaf1c449f703d889fc20c014c3b0b,"{""boundary"": 12, ""community_rep"": 2, ""degree_core"": 10, ""random_fill"": 8}","{""degree_0_1"": 3, ""degree_2"": 1, ""degree_3_4"": 3, ""degree_9_plus"": 25}","{""0"": 1, ""1"": 4, ""2"": 1, ""3"": 10, ""4"": 11, ""5"": 5}",268,"{""backend"": ""evaluate_m19_theory_calibrated.candidate_features"", ""delta_mode"": ""none"", ""k_max"": 512, ""k_min"": 64, ""variant"": ""conservative""}",268,0.12623645784267545,0.39925373134328357,0.39925373134328357,0.026119402985074626,0.43656716417910446,"{""dp_0_4"": 0.0037313432835820895, ""dp_17_64"": 0.041044776119402986, ""dp_257_plus"": 0.7947761194029851, ""dp_5_16"": 0.022388059701492536, ""dp_65_256"": 0.13805970149253732}","{""cn_0"": 0.3917910447761194, ""cn_1"": 0.04477611940298507, ""cn_2_3"": 0.07835820895522388, ""cn_4_8"": 0.13059701492537312, ""cn_9_plus"": 0.35447761194029853}",10.059701492537313,1685.205223880597,uniform_random_edges_size_matched_to_sasb,e747aafc3fc97c659775f0ad555b97c407c86ab4579d416797c4c04ec8ff74c3,268,e48b3b06a8fb6a17e97d4da2157076591f2ea25a36d38d41507a9b6643adef1d,"{""random_size_matched"": 268}",0,0,0,0,{},0.5161691542288557,"{""common_neighbor_bin_l1"": 0.1865671641791044, ""degree_product_bin_l1"": 0.38059701492537307, ""is_boundary_edge_l1"": 1.2014925373134329, ""is_bridge_edge_l1"": 0.044776119402985134, ""is_inter_community_edge_l1"": 1.2014925373134329, ""is_low_common_neighbor_edge_l1"": 0.08208955223880604, ""mean_l1"": 0.5161691542288557}",1,32,32,1382.3044540058734,0
realworld_completed,inf_usair97,Random-size-matched-candidate,random_size_matched,SASB-structured,20260513,4,early,1.0,1.0,0.0,1,1,0,0.0018814675446848542,0.0023518344308560675,24,277,24--277,13,3,3,13,39,1,0.5,0,2,2,32,"[""21"", ""180"", ""173"", ""92"", ""59"", ""74"", ""295"", ""215"", ""131"", ""145"", ""15"", ""176"", ""114"", ""53"", ""70"", ""85"", ""165"", ""50"", ""221"", ""273"", ""83"", ""11"", ""299"", ""255"", ""305"", ""302"", ""12"", ""318"", ""116"", ""238"", ""254"", ""231""]",eb4912c10ac3e45201d03bd46b227e50cf20ad6ac962f7ecd1cf462884cfd36d,"{""boundary"": 12, ""community_rep"": 2, ""degree_core"": 10, ""random_fill"": 8}","{""degree_0_1"": 1, ""degree_2"": 2, ""degree_3_4"": 1, ""degree_5_8"": 2, ""degree_9_plus"": 26}","{""0"": 2, ""1"": 4, ""2"": 1, ""3"": 10, ""4"": 9, ""5"": 6}",268,"{""backend"": ""evaluate_m19_theory_calibrated.candidate_features"", ""delta_mode"": ""none"", ""k_max"": 512, ""k_min"": 64, ""variant"": ""conservative""}",268,0.12629594721960416,0.4141791044776119,0.4141791044776119,0.011194029850746268,0.4291044776119403,"{""dp_0_4"": 0.0037313432835820895, ""dp_17_64"": 0.05970149253731343, ""dp_257_plus"": 0.7798507462686567, ""dp_5_16"": 0.014925373134328358, ""dp_65_256"": 0.1417910447761194}","{""cn_0"": 0.3805970149253731, ""cn_1"": 0.048507462686567165, ""cn_2_3"": 0.10074626865671642, ""cn_4_8"": 0.14925373134328357, ""cn_9_plus"": 0.3208955223880597}",9.373134328358208,1646.8619402985075,uniform_random_edges_size_matched_to_sasb,b08767dbac8e8643d7227419bb685df600d9f7642f071edfde78110e7e019423,268,52e86a08ecec1bba9374f9330a70fa118aa93ec643609df8d31f185e9b80d149,"{""random_size_matched"": 268}",0,0,0,0,{},0.5236318407960198,"{""common_neighbor_bin_l1"": 0.27611940298507465, ""degree_product_bin_l1"": 0.4104477611940298, ""is_boundary_edge_l1"": 1.171641791044776, ""is_bridge_edge_l1"": 0.014925373134328379, ""is_inter_community_edge_l1"": 1.171641791044776, ""is_low_common_neighbor_edge_l1"": 0.09701492537313439, ""mean_l1"": 0.5236318407960198}",1,32,32,1992.0,0
realworld_completed,inf_usair97,Random-size-matched-candidate,random_size_matched,SASB-structured,20260513,5,early,1.0,1.0,0.0,1,1,0,0.0023518344308560675,0.0028222013170272815,273,275,273--275,56,4,4,56,224,3,1.0,0,3,3,32,"[""21"", ""180"", ""173"", ""92"", ""59"", ""74"", ""295"", ""215"", ""131"", ""145"", ""15"", ""176"", ""114"", ""53"", ""70"", ""85"", ""165"", ""50"", ""221"", ""273"", ""83"", ""11"", ""299"", ""255"", ""156"", ""38"", ""60"", ""222"", ""174"", ""101"", ""171"", ""275""]",b6c9bf631b2ec471b5732b64890ca2cadd577636a54c8a6805408e64c9ebbfa7,"{""boundary"": 12, ""community_rep"": 2, ""degree_core"": 10, ""random_fill"": 8}","{""degree_3_4"": 3, ""degree_5_8"": 2, ""degree_9_plus"": 27}","{""0"": 1, ""1"": 6, ""2"": 2, ""3"": 11, ""4"": 9, ""5"": 3}",268,"{""backend"": ""evaluate_m19_theory_calibrated.candidate_features"", ""delta_mode"": ""none"", ""k_max"": 512, ""k_min"": 64, ""variant"": ""conservative""}",268,0.12635549269212634,0.3880597014925373,0.3880597014925373,0.04477611940298507,0.4141791044776119,"{""dp_17_64"": 0.06716417910447761, ""dp_257_plus"": 0.7574626865671642, ""dp_5_16"": 0.029850746268656716, ""dp_65_256"": 0.1455223880597015}","{""cn_0"": 0.3880597014925373, ""cn_1"": 0.026119402985074626, ""cn_2_3"": 0.11567164179104478, ""cn_4_8"": 0.11940298507462686, ""cn_9_plus"": 0.35074626865671643}",10.39179104477612,1702.652985074627,uniform_random_edges_size_matched_to_sasb,3584849f6b5b52b580235a7cfd653373e74f54f7a607c1bcd55346a2de372a01,268,52e86a08ecec1bba9374f9330a70fa118aa93ec643609df8d31f185e9b80d149,"{""random_size_matched"": 268}",0,0,0,0,{},0.5522388059701493,"{""common_neighbor_bin_l1"": 0.20149253731343278, ""degree_product_bin_l1"": 0.45522388059701485, ""is_boundary_edge_l1"": 1.2238805970149254, ""is_bridge_edge_l1"": 0.08208955223880604, ""is_inter_community_edge_l1"": 1.2238805970149254, ""is_low_common_neighbor_edge_l1"": 0.12686567164179108, ""mean_l1"": 0.5522388059701493}",1,32,32,3580.2661858974348,0
realworld_completed,inf_usair97,Random-size-matched-candidate,random_size_matched,SASB-structured,20260513,6,early,1.0,1.0,0.0,1,1,0,0.0028222013170272815,0.003292568203198495,21,299,21--299,139,26,26,139,3614,7,0.28,1,5,2,32,"[""21"", ""180"", ""173"", ""92"", ""59"", ""74"", ""295"", ""215"", ""131"", ""145"", ""15"", ""176"", ""114"", ""53"", ""70"", ""85"", ""165"", ""50"", ""221"", ""273"", ""83"", ""11"", ""299"", ""255"", ""217"", ""97"", ""144"", ""278"", ""100"", ""96"", ""311"", ""132""]",4d6371a3e2e7e4aecde619f6b2fdc3e30697ea33e11ff3fcefd4316f245a5171,"{""boundary"": 12, ""community_rep"": 2, ""degree_core"": 10, ""random_fill"": 8}","{""degree_0_1"": 1, ""degree_2"": 1, ""degree_3_4"": 4, ""degree_5_8"": 2, ""degree_9_plus"": 24}","{""0"": 1, ""1"": 6, ""2"": 1, ""3"": 8, ""4"": 10, ""5"": 6}",268,"{""backend"": ""evaluate_m19_theory_calibrated.candidate_features"", ""delta_mode"": ""none"", ""k_max"": 512, ""k_min"": 64, ""variant"": ""conservative""}",268,0.12641509433962264,0.34701492537313433,0.34701492537313433,0.007462686567164179,0.3917910447761194,"{""dp_0_4"": 0.007462686567164179, ""dp_17_64"": 0.06343283582089553, ""dp_257_plus"": 0.7388059701492538, ""dp_5_16"": 0.041044776119402986, ""dp_65_256"": 0.14925373134328357}","{""cn_0"": 0.3283582089552239, ""cn_1"": 0.06343283582089553, ""cn_2_3"": 0.10074626865671642, ""cn_4_8"": 0.13432835820895522, ""cn_9_plus"": 0.373134328358209}",10.611940298507463,1647.9664179104477,uniform_random_edges_size_matched_to_sasb,11492134aaae72c5c787a75350a9f778b4dfe6e5e6fdb12f873ecb33502d90a0,268,52e86a08ecec1bba9374f9330a70fa118aa93ec643609df8d31f185e9b80d149,"{""random_size_matched"": 268}",0,0,0,0,{},0.595771144278607,"{""common_neighbor_bin_l1"": 0.291044776119403, ""degree_product_bin_l1"": 0.49253731343283574, ""is_boundary_edge_l1"": 1.3059701492537314, ""is_bridge_edge_l1"": 0.007462686567164246, ""is_inter_community_edge_l1"": 1.3059701492537314, ""is_low_common_neighbor_edge_l1"": 0.17164179104477617, ""mean_l1"": 0.595771144278607}",1,32,32,3536.1109084274053,0
realworld_completed,inf_usair97,Random-size-matched-candidate,random_size_matched,SASB-structured,20260513,7,early,1.0,0.9849397590361446,0.015060240963855387,1,2,1,0.003292568203198495,0.0037629350893697085,238,255,238--255,24,4,4,24,96,0,0.0,1,3,1,32,"[""21"", ""180"", ""173"", ""92"", ""59"", ""74"", ""295"", ""215"", ""131"", ""145"", ""15"", ""176"", ""114"", ""53"", ""70"", ""85"", ""165"", ""50"", ""221"", ""273"", ""83"", ""11"", ""299"", ""255"", ""71"", ""86"", ""216"", ""189"", ""246"", ""103"", ""95"", ""177""]",5aec1a413d639c018bd18991f45fc2ddc6aec58f9d5bde259fc9baf5b6c33abd,"{""boundary"": 12, ""community_rep"": 2, ""degree_core"": 10, ""random_fill"": 8}","{""degree_0_1"": 2, ""degree_2"": 1, ""degree_3_4"": 4, ""degree_9_plus"": 25}","{""0"": 1, ""1"": 7, ""2"": 2, ""3"": 8, ""4"": 10, ""5"": 4}",268,"{""backend"": ""evaluate_m19_theory_calibrated.candidate_features"", ""delta_mode"": ""none"", ""k_max"": 512, ""k_min"": 64, ""variant"": ""conservative""}",268,0.1264747522416234,0.4141791044776119,0.4141791044776119,0.029850746268656716,0.43283582089552236,"{""dp_0_4"": 0.007462686567164179, ""dp_17_64"": 0.0708955223880597, ""dp_257_plus"": 0.7798507462686567, ""dp_5_16"": 0.011194029850746268, ""dp_65_256"": 0.13059701492537312}","{""cn_0"": 0.3917910447761194, ""cn_1"": 0.041044776119402986, ""cn_2_3"": 0.08582089552238806, ""cn_4_8"": 0.14925373134328357, ""cn_9_plus"": 0.332089552238806}",9.861940298507463,1733.660447761194,uniform_random_edges_size_matched_to_sasb,0925319236b1314e4e169c46294313936cf0a1b6052be2ba06f5bb5b8832b3b8,268,5d9e28792fda2cc12331e92b4ce815de2cbee597641225ff2971ba07be2039a5,"{""random_size_matched"": 268}",0,0,0,0,{},0.5223880597014925,"{""common_neighbor_bin_l1"": 0.23880597014925367, ""degree_product_bin_l1"": 0.4104477611940298, ""is_boundary_edge_l1"": 1.171641791044776, ""is_bridge_edge_l1"": 0.05223880597014927, ""is_inter_community_edge_l1"": 1.171641791044776, ""is_low_common_neighbor_edge_l1"": 0.08955223880597019, ""mean_l1"": 0.5223880597014925}",1,32,32,5000.75,0
realworld_completed,inf_usair97,Random-size-matched-candidate,random_size_matched,SASB-structured,20260513,8,early,0.9849397590361446,0.9819277108433735,0.003012048192771122,2,3,1,0.0037629350893697085,0.0042333019755409216,180,197,180--197,118,1,1,118,118,0,0.0,0,2,2,32,"[""21"", ""180"", ""173"", ""92"", ""59"", ""74"", ""295"", ""215"", ""131"", ""145"", ""15"", ""176"", ""114"", ""53"", ""70"", ""85"", ""165"", ""50"", ""221"", ""273"", ""83"", ""11"", ""299"", ""197"", ""146"", ""291"", ""240"", ""186"", ""7"", ""232"", ""55"", ""198""]",adbeafd4c3f1f9547654aeea673df4896d04163913b4a66ed08e0892eb60d18a,"{""boundary"": 12, ""community_rep"": 1, ""degree_core"": 10, ""random_fill"": 9}","{""degree_0_1"": 2, ""degree_2"": 1, ""degree_3_4"": 2, ""degree_5_8"": 3, ""degree_9_plus"": 24}","{""1"": 8, ""2"": 2, ""3"": 9, ""4"": 9, ""5"": 4}",267,"{""backend"": ""evaluate_m19_theory_calibrated.candidate_features"", ""delta_mode"": ""none"", ""k_max"": 512, ""k_min"": 64, ""variant"": ""conservative""}",267,0.12642045454545456,0.36329588014981273,0.36329588014981273,0.02247191011235955,0.4232209737827715,"{""dp_0_4"": 0.003745318352059925, ""dp_17_64"": 0.08239700374531835, ""dp_257_plus"": 0.7827715355805244, ""dp_5_16"": 0.02247191011235955, ""dp_65_256"": 0.10861423220973783}","{""cn_0"": 0.3895131086142322, ""cn_1"": 0.033707865168539325, ""cn_2_3"": 0.07116104868913857, ""cn_4_8"": 0.13108614232209737, ""cn_9_plus"": 0.37453183520599254}",10.588014981273409,1762.9588014981273,uniform_random_edges_size_matched_to_sasb,e6f69a55b3021dcd0c736a0c87f6197c87c652aba8ae8cc04dc390c84d7c0873,267,7589ebbc2073dd79ed095f470499feb4c5149acb7123e8ff75baf14597a356f3,"{""random_size_matched"": 267}",0,0,0,0,{},0.5455680399500625,"{""common_neighbor_bin_l1"": 0.16479400749063666, ""degree_product_bin_l1"": 0.4119850187265917, ""is_boundary_edge_l1"": 1.2734082397003745, ""is_bridge_edge_l1"": 0.044943820224719155, ""is_inter_community_edge_l1"": 1.2734082397003745, ""is_low_common_neighbor_edge_l1"": 0.10486891385767794, ""mean_l1"": 0.5455680399500625}",1,32,32,3648.09375,0
realworld_completed,inf_usair97,Random-size-matched-candidate,random_size_matched,SASB-structured,20260513,9,early,0.9819277108433735,0.9819277108433735,0.0,3,3,0,0.0042333019755409216,0.004703668861712135,173,177,173--177,100,4,4,100,400,3,1.0,1,0,3,32,"[""21"", ""180"", ""173"", ""92"", ""59"", ""74"", ""295"", ""215"", ""131"", ""145"", ""15"", ""176"", ""114"", ""53"", ""70"", ""85"", ""165"", ""50"", ""221"", ""273"", ""83"", ""11"", ""299"", ""177"", ""76"", ""126"", ""40"", ""136"", ""301"", ""107"", ""194"", ""324""]",ccd98af915e0b68d8c108e632b6d226e564f6a72638e1c2f9e903bfb5331881c,"{""boundary"": 12, ""community_rep"": 1, ""degree_core"": 10, ""random_fill"": 9}","{""degree_0_1"": 2, ""degree_3_4"": 2, ""degree_5_8"": 2, ""degree_9_plus"": 26}","{""1"": 4, ""2"": 1, ""3"": 9, ""4"": 11, ""5"": 7}",266,"{""backend"": ""evaluate_m19_theory_calibrated.candidate_features"", ""delta_mode"": ""none"", ""k_max"": 512, ""k_min"": 64, ""variant"": ""conservative""}",266,0.12600663192799622,0.40601503759398494,0.40601503759398494,0.02631578947368421,0.39849624060150374,"{""dp_17_64"": 0.06766917293233082, ""dp_257_plus"": 0.8045112781954887, ""dp_5_16"": 0.02631578947368421, ""dp_65_256"": 0.10150375939849623}","{""cn_0"": 0.35714285714285715, ""cn_1"": 0.041353383458646614, ""cn_2_3"": 0.07142857142857142, ""cn_4_8"": 0.15413533834586465, ""cn_9_plus"": 0.37593984962406013}",10.981203007518797,1831.5075187969924,uniform_random_edges_size_matched_to_sasb,a12b17da6ecaef0330b82c907a036f6fb168abad7d2aa1c353e9fa4a79b9176c,266,8d1f56427a4f4ca72623d26ebf9b0856d1d0312758999278ed02d83f6505dc00,"{""random_size_matched"": 266}",0,0,0,0,{},0.5313283208020051,"{""common_neighbor_bin_l1"": 0.23308270676691725, ""degree_product_bin_l1"": 0.368421052631579, ""is_boundary_edge_l1"": 1.1879699248120301, ""is_bridge_edge_l1"": 0.05263157894736839, ""is_inter_community_edge_l1"": 1.1879699248120301, ""is_low_common_neighbor_edge_l1"": 0.1578947368421052, ""mean_l1"": 0.5313283208020051}",1,32,32,1847.0380779430413,0
