dataset,graph_id,method,candidate_policy,source_policy,seed,step,attack_phase,gcc_before,gcc_after,delta_gcc,num_components_before,num_components_after,is_bridge_before_removal,remove_ratio_before,remove_ratio_after,edge_u,edge_v,selected_edge,degree_u,degree_v,degree_min,degree_max,degree_product,common_neighbors,edge_embeddedness,is_inter_community_edge,community_u,community_v,source_count,source_nodes,source_node_hash,source_strata_counts,source_degree_bins,source_community_counts,adaptive_k,candidate_config,candidate_count,candidate_fraction,candidate_inter_community_ratio,candidate_boundary_ratio,candidate_bridge_ratio,candidate_low_cn_ratio,candidate_degree_product_distribution,candidate_common_neighbor_distribution,candidate_mean_common_neighbors,candidate_mean_degree_product,candidate_backend,candidate_hash,sasb_candidate_count_reference,sasb_candidate_hash_reference,match_mode_counts,strict_match_count,degree_only_match_count,community_only_match_count,fallback_count,fallback_reason,matched_feature_difference,matched_feature_difference_detail,candidate_count_equal_to_sasb,source_budget,true_source_traversal_count,sampled_betweenness_score,p2_degree_product_fallback
realworld_completed,rt_retweet,SASB-candidate,sasb,SASB-structured,20260513,0,early,1.0,1.0,0.0,1,1,0,0.0,0.008547008547008548,60,87,60--87,4,9,4,9,36,0,0.0,1,6,2,32,"[""49"", ""69"", ""39"", ""87"", ""67"", ""92"", ""51"", ""45"", ""46"", ""57"", ""21"", ""20"", ""0"", ""34"", ""48"", ""35"", ""6"", ""60"", ""71"", ""72"", ""14"", ""2"", ""22"", ""44"", ""94"", ""5"", ""43"", ""15"", ""17"", ""62"", ""23"", ""7""]",86f974db1223ef053794a0576b6987b0a0b88b47f5f73f565371bf33fca31936,"{""boundary"": 12, ""degree_core"": 10, ""random_fill"": 10}","{""degree_0_1"": 6, ""degree_2"": 2, ""degree_3_4"": 11, ""degree_5_8"": 9, ""degree_9_plus"": 4}","{""0"": 5, ""1"": 3, ""2"": 3, ""3"": 5, ""4"": 5, ""5"": 4, ""6"": 6, ""7"": 1}",64,"{""backend"": ""evaluate_m19_theory_calibrated.candidate_features"", ""delta_mode"": ""none"", ""k_max"": 512, ""k_min"": 64, ""variant"": ""conservative""}",64,0.5470085470085471,0.328125,0.328125,0.328125,0.890625,"{""dp_17_64"": 0.59375, ""dp_5_16"": 0.234375, ""dp_65_256"": 0.171875}","{""cn_0"": 0.640625, ""cn_1"": 0.25, ""cn_2_3"": 0.109375}",0.5,37.453125,sasb_candidate_builder,0a5ac2e45c5ade101a7bccbbda86b38fefebff33f7af1cb9286b60e6b209914f,64,0a5ac2e45c5ade101a7bccbbda86b38fefebff33f7af1cb9286b60e6b209914f,"{""sasb_builder"": 64}",0,0,0,0,{},0.0,"{""common_neighbor_bin_l1"": 0.0, ""degree_product_bin_l1"": 0.0, ""is_boundary_edge_l1"": 0.0, ""is_bridge_edge_l1"": 0.0, ""is_inter_community_edge_l1"": 0.0, ""is_low_common_neighbor_edge_l1"": 0.0, ""mean_l1"": 0.0}",1,32,32,1664.65,0
realworld_completed,rt_retweet,SASB-candidate,sasb,SASB-structured,20260513,1,early,1.0,1.0,0.0,1,1,0,0.008547008547008548,0.017094017094017096,39,45,39--45,11,5,5,11,55,0,0.0,1,1,0,32,"[""49"", ""69"", ""39"", ""67"", ""92"", ""51"", ""87"", ""45"", ""46"", ""57"", ""21"", ""20"", ""0"", ""34"", ""48"", ""35"", ""6"", ""71"", ""72"", ""14"", ""2"", ""24"", ""43"", ""64"", ""40"", ""27"", ""82"", ""65"", ""32"", ""73"", ""16"", ""11""]",5f3c2b5440ab53914e2cb8ebc928655b31bf3a5900f4565c996f0c36458c3121,"{""boundary"": 12, ""degree_core"": 10, ""random_fill"": 10}","{""degree_0_1"": 7, ""degree_2"": 3, ""degree_3_4"": 9, ""degree_5_8"": 10, ""degree_9_plus"": 3}","{""0"": 5, ""1"": 4, ""2"": 4, ""3"": 5, ""4"": 4, ""5"": 4, ""6"": 5, ""7"": 1}",64,"{""backend"": ""evaluate_m19_theory_calibrated.candidate_features"", ""delta_mode"": ""none"", ""k_max"": 512, ""k_min"": 64, ""variant"": ""conservative""}",64,0.5517241379310345,0.3125,0.3125,0.328125,0.890625,"{""dp_17_64"": 0.546875, ""dp_5_16"": 0.28125, ""dp_65_256"": 0.171875}","{""cn_0"": 0.640625, ""cn_1"": 0.25, ""cn_2_3"": 0.109375}",0.5,36.453125,sasb_candidate_builder,183671edd0d8af5e7d3edd4cf79842f1a1e5c05ca2e23366c96d82e0d50a8682,64,183671edd0d8af5e7d3edd4cf79842f1a1e5c05ca2e23366c96d82e0d50a8682,"{""sasb_builder"": 64}",0,0,0,0,{},0.0,"{""common_neighbor_bin_l1"": 0.0, ""degree_product_bin_l1"": 0.0, ""is_boundary_edge_l1"": 0.0, ""is_bridge_edge_l1"": 0.0, ""is_inter_community_edge_l1"": 0.0, ""is_low_common_neighbor_edge_l1"": 0.0, ""mean_l1"": 0.0}",1,32,32,1479.6642857142858,0
realworld_completed,rt_retweet,SASB-candidate,sasb,SASB-structured,20260513,2,early,1.0,1.0,0.0,1,1,0,0.017094017094017096,0.02564102564102564,51,69,51--69,8,9,8,9,72,1,0.14285714285714285,0,5,5,32,"[""49"", ""69"", ""67"", ""92"", ""39"", ""51"", ""87"", ""46"", ""57"", ""21"", ""20"", ""35"", ""0"", ""34"", ""48"", ""45"", ""6"", ""71"", ""72"", ""14"", ""2"", ""24"", ""47"", ""73"", ""94"", ""83"", ""32"", ""3"", ""85"", ""9"", ""86"", ""26""]",5aaf813122b274d90801c0bdc8f83e680cb116c92eca3db497145a6aa44e3cd1,"{""boundary"": 12, ""degree_core"": 10, ""random_fill"": 10}","{""degree_0_1"": 8, ""degree_2"": 1, ""degree_3_4"": 11, ""degree_5_8"": 9, ""degree_9_plus"": 3}","{""0"": 6, ""1"": 4, ""2"": 4, ""3"": 4, ""4"": 4, ""5"": 4, ""6"": 3, ""7"": 3}",64,"{""backend"": ""evaluate_m19_theory_calibrated.candidate_features"", ""delta_mode"": ""none"", ""k_max"": 512, ""k_min"": 64, ""variant"": ""conservative""}",64,0.5565217391304348,0.296875,0.296875,0.34375,0.90625,"{""dp_17_64"": 0.515625, ""dp_5_16"": 0.3125, ""dp_65_256"": 0.171875}","{""cn_0"": 0.640625, ""cn_1"": 0.265625, ""cn_2_3"": 0.09375}",0.484375,34.59375,sasb_candidate_builder,6283dfd8650f0a1c1969097bad8259b474568e647831a6cef5bdf782930e1620,64,6283dfd8650f0a1c1969097bad8259b474568e647831a6cef5bdf782930e1620,"{""sasb_builder"": 64}",0,0,0,0,{},0.0,"{""common_neighbor_bin_l1"": 0.0, ""degree_product_bin_l1"": 0.0, ""is_boundary_edge_l1"": 0.0, ""is_bridge_edge_l1"": 0.0, ""is_inter_community_edge_l1"": 0.0, ""is_low_common_neighbor_edge_l1"": 0.0, ""mean_l1"": 0.0}",1,32,32,1799.5285714285715,0
realworld_completed,rt_retweet,SASB-candidate,sasb,SASB-structured,20260513,3,early,1.0,1.0,0.0,1,1,0,0.02564102564102564,0.03418803418803419,46,49,46--49,5,17,5,17,85,0,0.0,1,7,0,32,"[""49"", ""69"", ""67"", ""92"", ""39"", ""87"", ""51"", ""46"", ""57"", ""21"", ""20"", ""35"", ""0"", ""34"", ""48"", ""45"", ""6"", ""71"", ""72"", ""14"", ""2"", ""24"", ""12"", ""68"", ""7"", ""28"", ""84"", ""70"", ""32"", ""18"", ""86"", ""9""]",99649cee4b00fa3325fb7781a5b2292e3dd82783ef20ff3122a9d90d38e3d056,"{""boundary"": 12, ""degree_core"": 10, ""random_fill"": 10}","{""degree_0_1"": 9, ""degree_2"": 1, ""degree_3_4"": 10, ""degree_5_8"": 10, ""degree_9_plus"": 2}","{""0"": 4, ""1"": 6, ""2"": 5, ""3"": 5, ""4"": 5, ""5"": 3, ""6"": 3, ""7"": 1}",64,"{""backend"": ""evaluate_m19_theory_calibrated.candidate_features"", ""delta_mode"": ""none"", ""k_max"": 512, ""k_min"": 64, ""variant"": ""conservative""}",64,0.5614035087719298,0.296875,0.296875,0.34375,0.90625,"{""dp_17_64"": 0.546875, ""dp_5_16"": 0.328125, ""dp_65_256"": 0.125}","{""cn_0"": 0.6875, ""cn_1"": 0.21875, ""cn_2_3"": 0.09375}",0.4375,32.828125,sasb_candidate_builder,f63cb0a8b1b9461c790ee6681082da8f4698a5eb0e7a5e9e8622647783866d93,64,f63cb0a8b1b9461c790ee6681082da8f4698a5eb0e7a5e9e8622647783866d93,"{""sasb_builder"": 64}",0,0,0,0,{},0.0,"{""common_neighbor_bin_l1"": 0.0, ""degree_product_bin_l1"": 0.0, ""is_boundary_edge_l1"": 0.0, ""is_bridge_edge_l1"": 0.0, ""is_inter_community_edge_l1"": 0.0, ""is_low_common_neighbor_edge_l1"": 0.0, ""mean_l1"": 0.0}",1,32,32,2134.8,0
realworld_completed,rt_retweet,SASB-candidate,sasb,SASB-structured,20260513,4,early,1.0,1.0,0.0,1,1,0,0.03418803418803419,0.042735042735042736,46,69,46--69,4,8,4,8,32,0,0.0,0,7,7,32,"[""49"", ""69"", ""67"", ""92"", ""39"", ""87"", ""51"", ""57"", ""21"", ""20"", ""35"", ""45"", ""0"", ""34"", ""48"", ""46"", ""6"", ""71"", ""72"", ""14"", ""2"", ""24"", ""64"", ""73"", ""91"", ""60"", ""85"", ""27"", ""76"", ""18"", ""26"", ""47""]",e1d1e2f7ca6e378c9bca934ab69454d61229e5b9800ec45aa277ad051baa491d,"{""boundary"": 12, ""degree_core"": 10, ""random_fill"": 10}","{""degree_0_1"": 7, ""degree_2"": 2, ""degree_3_4"": 12, ""degree_5_8"": 9, ""degree_9_plus"": 2}","{""0"": 6, ""1"": 5, ""2"": 3, ""3"": 5, ""4"": 2, ""5"": 4, ""6"": 5, ""7"": 2}",64,"{""backend"": ""evaluate_m19_theory_calibrated.candidate_features"", ""delta_mode"": ""none"", ""k_max"": 512, ""k_min"": 64, ""variant"": ""conservative""}",64,0.5663716814159292,0.28125,0.28125,0.34375,0.90625,"{""dp_17_64"": 0.46875, ""dp_5_16"": 0.453125, ""dp_65_256"": 0.078125}","{""cn_0"": 0.6875, ""cn_1"": 0.21875, ""cn_2_3"": 0.09375}",0.4375,30.5,sasb_candidate_builder,5dbdd37cdc930d2d9b5ece03f1e5e8d06c685da179788040aa2d8728f4574dec,64,5dbdd37cdc930d2d9b5ece03f1e5e8d06c685da179788040aa2d8728f4574dec,"{""sasb_builder"": 64}",0,0,0,0,{},0.0,"{""common_neighbor_bin_l1"": 0.0, ""degree_product_bin_l1"": 0.0, ""is_boundary_edge_l1"": 0.0, ""is_bridge_edge_l1"": 0.0, ""is_inter_community_edge_l1"": 0.0, ""is_low_common_neighbor_edge_l1"": 0.0, ""mean_l1"": 0.0}",1,32,32,3150.0,0
realworld_completed,rt_retweet,SASB-candidate,sasb,SASB-structured,20260513,5,early,1.0,0.7395833333333334,0.26041666666666663,1,2,1,0.042735042735042736,0.05128205128205128,35,62,35--62,4,2,2,4,8,0,0.0,0,1,1,32,"[""49"", ""69"", ""67"", ""92"", ""39"", ""87"", ""51"", ""57"", ""21"", ""20"", ""35"", ""45"", ""0"", ""34"", ""48"", ""6"", ""71"", ""72"", ""14"", ""2"", ""24"", ""33"", ""32"", ""5"", ""22"", ""62"", ""94"", ""90"", ""80"", ""9"", ""30"", ""12""]",2deb223594f59563dd3e277de2777daa3480d35501b37fe3af8a4808975f50d9,"{""boundary"": 12, ""degree_core"": 10, ""random_fill"": 10}","{""degree_0_1"": 6, ""degree_2"": 3, ""degree_3_4"": 12, ""degree_5_8"": 9, ""degree_9_plus"": 2}","{""0"": 5, ""1"": 4, ""2"": 5, ""3"": 4, ""4"": 6, ""5"": 2, ""6"": 5, ""7"": 1}",64,"{""backend"": ""evaluate_m19_theory_calibrated.candidate_features"", ""delta_mode"": ""none"", ""k_max"": 512, ""k_min"": 64, ""variant"": ""conservative""}",64,0.5714285714285714,0.28125,0.28125,0.390625,0.90625,"{""dp_17_64"": 0.453125, ""dp_5_16"": 0.46875, ""dp_65_256"": 0.078125}","{""cn_0"": 0.671875, ""cn_1"": 0.234375, ""cn_2_3"": 0.09375}",0.453125,29.703125,sasb_candidate_builder,8218daac1ee9c0d91093a95eba0e340da77b4530513b074e6f8c456226803140,64,8218daac1ee9c0d91093a95eba0e340da77b4530513b074e6f8c456226803140,"{""sasb_builder"": 64}",0,0,0,0,{},0.0,"{""common_neighbor_bin_l1"": 0.0, ""degree_product_bin_l1"": 0.0, ""is_boundary_edge_l1"": 0.0, ""is_bridge_edge_l1"": 0.0, ""is_inter_community_edge_l1"": 0.0, ""is_low_common_neighbor_edge_l1"": 0.0, ""mean_l1"": 0.0}",1,32,32,3504.0,0
realworld_completed,rt_retweet,SASB-candidate,sasb,SASB-structured,20260513,6,early,0.7395833333333334,0.7395833333333334,0.0,2,2,0,0.05128205128205128,0.05982905982905983,21,64,21--64,3,2,2,3,6,0,0.0,0,0,0,32,"[""49"", ""92"", ""67"", ""87"", ""69"", ""20"", ""57"", ""78"", ""48"", ""45"", ""6"", ""14"", ""0"", ""34"", ""21"", ""33"", ""35"", ""42"", ""44"", ""60"", ""94"", ""10"", ""52"", ""9"", ""84"", ""32"", ""64"", ""83"", ""82"", ""75"", ""8"", ""65""]",7daf8d18dafc4e110d07d5734bf3b6f4a5f9cf694be4adbd77c3d6a1ef732de1,"{""boundary"": 12, ""degree_core"": 10, ""random_fill"": 10}","{""degree_0_1"": 7, ""degree_2"": 4, ""degree_3_4"": 12, ""degree_5_8"": 8, ""degree_9_plus"": 1}","{""0"": 4, ""1"": 6, ""2"": 3, ""3"": 2, ""4"": 5, ""5"": 4, ""6"": 4, ""7"": 1, ""8"": 3}",64,"{""backend"": ""evaluate_m19_theory_calibrated.candidate_features"", ""delta_mode"": ""none"", ""k_max"": 512, ""k_min"": 64, ""variant"": ""conservative""}",64,0.7710843373493976,0.25,0.25,0.4375,0.890625,"{""dp_17_64"": 0.328125, ""dp_5_16"": 0.609375, ""dp_65_256"": 0.0625}","{""cn_0"": 0.765625, ""cn_1"": 0.125, ""cn_2_3"": 0.109375}",0.375,25.5625,sasb_candidate_builder,708c1957687ece8fe00c46cd630c8ccc79c289533da3c9b5fb76a28f434050e4,64,708c1957687ece8fe00c46cd630c8ccc79c289533da3c9b5fb76a28f434050e4,"{""sasb_builder"": 64}",0,0,0,0,{},0.0,"{""common_neighbor_bin_l1"": 0.0, ""degree_product_bin_l1"": 0.0, ""is_boundary_edge_l1"": 0.0, ""is_bridge_edge_l1"": 0.0, ""is_inter_community_edge_l1"": 0.0, ""is_low_common_neighbor_edge_l1"": 0.0, ""mean_l1"": 0.0}",1,32,32,1226.8947916666664,0
realworld_completed,rt_retweet,SASB-candidate,sasb,SASB-structured,20260513,7,early,0.7395833333333334,0.5520833333333334,0.1875,2,3,1,0.05982905982905983,0.06837606837606838,32,67,32--67,2,8,2,8,16,0,0.0,1,3,0,32,"[""49"", ""92"", ""67"", ""87"", ""69"", ""20"", ""57"", ""78"", ""48"", ""45"", ""6"", ""14"", ""0"", ""34"", ""33"", ""35"", ""42"", ""44"", ""60"", ""94"", ""10"", ""13"", ""25"", ""79"", ""3"", ""73"", ""95"", ""86"", ""82"", ""19"", ""41"", ""58""]",70dfa1511c286590b12c831ecffd350b03504bec66e8621eacf59d8c4f0df4ad,"{""boundary"": 12, ""degree_core"": 10, ""random_fill"": 10}","{""degree_0_1"": 8, ""degree_2"": 4, ""degree_3_4"": 11, ""degree_5_8"": 8, ""degree_9_plus"": 1}","{""0"": 2, ""1"": 7, ""2"": 3, ""3"": 2, ""4"": 4, ""5"": 5, ""6"": 2, ""7"": 4, ""8"": 3}",64,"{""backend"": ""evaluate_m19_theory_calibrated.candidate_features"", ""delta_mode"": ""none"", ""k_max"": 512, ""k_min"": 64, ""variant"": ""conservative""}",64,0.7804878048780488,0.25,0.25,0.59375,0.890625,"{""dp_0_4"": 0.015625, ""dp_17_64"": 0.3125, ""dp_5_16"": 0.609375, ""dp_65_256"": 0.0625}","{""cn_0"": 0.765625, ""cn_1"": 0.125, ""cn_2_3"": 0.109375}",0.375,25.140625,sasb_candidate_builder,adf156c87b8e5542d5cc6a2ddd0737f66ff12066562543cd18abf43987b316a8,64,adf156c87b8e5542d5cc6a2ddd0737f66ff12066562543cd18abf43987b316a8,"{""sasb_builder"": 64}",0,0,0,0,{},0.0,"{""common_neighbor_bin_l1"": 0.0, ""degree_product_bin_l1"": 0.0, ""is_boundary_edge_l1"": 0.0, ""is_bridge_edge_l1"": 0.0, ""is_inter_community_edge_l1"": 0.0, ""is_low_common_neighbor_edge_l1"": 0.0, ""mean_l1"": 0.0}",1,32,32,1899.25,0
realworld_completed,rt_retweet,SASB-candidate,sasb,SASB-structured,20260513,8,early,0.5520833333333334,0.5520833333333334,0.0,3,3,0,0.06837606837606838,0.07692307692307693,49,92,49--92,16,8,8,16,128,0,0.0,1,7,2,32,"[""49"", ""92"", ""87"", ""67"", ""69"", ""20"", ""45"", ""57"", ""78"", ""0"", ""6"", ""21"", ""34"", ""33"", ""42"", ""94"", ""10"", ""13"", ""31"", ""82"", ""11"", ""17"", ""26"", ""56"", ""65"", ""40"", ""75"", ""70"", ""59"", ""23"", ""84"", ""54""]",9b9195a514ff7c7ea38e25fbf100c705251a9618d097a8b3b6972d4bb27cbe13,"{""boundary"": 12, ""degree_core"": 10, ""random_fill"": 10}","{""degree_0_1"": 12, ""degree_2"": 5, ""degree_3_4"": 7, ""degree_5_8"": 7, ""degree_9_plus"": 1}","{""0"": 4, ""1"": 3, ""2"": 7, ""3"": 4, ""4"": 3, ""5"": 3, ""6"": 5, ""7"": 3}",64,"{""backend"": ""evaluate_m19_theory_calibrated.candidate_features"", ""delta_mode"": ""none"", ""k_max"": 512, ""k_min"": 64, ""variant"": ""conservative""}",64,1.0,0.265625,0.265625,0.59375,0.890625,"{""dp_0_4"": 0.15625, ""dp_17_64"": 0.3125, ""dp_5_16"": 0.46875, ""dp_65_256"": 0.0625}","{""cn_0"": 0.765625, ""cn_1"": 0.125, ""cn_2_3"": 0.109375}",0.375,23.578125,sasb_candidate_builder,92c257776bb05a5a58ac8a6057f81f15383bf3827ce1af828799a28dcf3f0ce1,64,92c257776bb05a5a58ac8a6057f81f15383bf3827ce1af828799a28dcf3f0ce1,"{""sasb_builder"": 64}",0,0,0,0,{},0.0,"{""common_neighbor_bin_l1"": 0.0, ""degree_product_bin_l1"": 0.0, ""is_boundary_edge_l1"": 0.0, ""is_bridge_edge_l1"": 0.0, ""is_inter_community_edge_l1"": 0.0, ""is_low_common_neighbor_edge_l1"": 0.0, ""mean_l1"": 0.0}",1,32,32,897.0526041666667,0
realworld_completed,rt_retweet,SASB-candidate,sasb,SASB-structured,20260513,9,early,0.5520833333333334,0.5520833333333334,0.0,3,3,0,0.07692307692307693,0.08547008547008547,69,92,69--92,7,7,7,7,49,0,0.0,1,5,2,32,"[""49"", ""87"", ""67"", ""69"", ""92"", ""20"", ""45"", ""57"", ""78"", ""0"", ""6"", ""21"", ""34"", ""33"", ""42"", ""94"", ""10"", ""13"", ""31"", ""82"", ""11"", ""17"", ""29"", ""40"", ""84"", ""41"", ""89"", ""36"", ""7"", ""8"", ""27"", ""95""]",cf08248d6cfac578cb6ef017878331b74fd4ed11da12b7a9fdb0e7ff9682c3da,"{""boundary"": 12, ""degree_core"": 10, ""random_fill"": 10}","{""degree_0_1"": 12, ""degree_2"": 5, ""degree_3_4"": 7, ""degree_5_8"": 7, ""degree_9_plus"": 1}","{""0"": 5, ""1"": 2, ""2"": 8, ""3"": 4, ""4"": 3, ""5"": 2, ""6"": 3, ""7"": 5}",64,"{""backend"": ""evaluate_m19_theory_calibrated.candidate_features"", ""delta_mode"": ""none"", ""k_max"": 512, ""k_min"": 64, ""variant"": ""conservative""}",63,1.0,0.25396825396825395,0.25396825396825395,0.6031746031746031,0.8888888888888888,"{""dp_0_4"": 0.15873015873015872, ""dp_17_64"": 0.31746031746031744, ""dp_5_16"": 0.47619047619047616, ""dp_65_256"": 0.047619047619047616}","{""cn_0"": 0.7619047619047619, ""cn_1"": 0.12698412698412698, ""cn_2_3"": 0.1111111111111111}",0.38095238095238093,20.793650793650794,sasb_candidate_builder,c2d6a5d5a1ab05665cfaea6e7ee593f9ba9f83db5f0f9c6a9c657e1bf39b9978,63,c2d6a5d5a1ab05665cfaea6e7ee593f9ba9f83db5f0f9c6a9c657e1bf39b9978,"{""sasb_builder"": 63}",0,0,0,0,{},0.0,"{""common_neighbor_bin_l1"": 0.0, ""degree_product_bin_l1"": 0.0, ""is_boundary_edge_l1"": 0.0, ""is_bridge_edge_l1"": 0.0, ""is_inter_community_edge_l1"": 0.0, ""is_low_common_neighbor_edge_l1"": 0.0, ""mean_l1"": 0.0}",1,32,32,834.7776041666671,0
