dataset,graph_id,method,candidate_policy,source_policy,seed,step,attack_phase,gcc_before,gcc_after,delta_gcc,num_components_before,num_components_after,is_bridge_before_removal,remove_ratio_before,remove_ratio_after,edge_u,edge_v,selected_edge,degree_u,degree_v,degree_min,degree_max,degree_product,common_neighbors,edge_embeddedness,is_inter_community_edge,community_u,community_v,source_count,source_nodes,source_node_hash,source_strata_counts,source_degree_bins,source_community_counts,adaptive_k,candidate_config,candidate_count,candidate_fraction,candidate_inter_community_ratio,candidate_boundary_ratio,candidate_bridge_ratio,candidate_low_cn_ratio,candidate_degree_product_distribution,candidate_common_neighbor_distribution,candidate_mean_common_neighbors,candidate_mean_degree_product,candidate_backend,candidate_hash,sasb_candidate_count_reference,sasb_candidate_hash_reference,match_mode_counts,strict_match_count,degree_only_match_count,community_only_match_count,fallback_count,fallback_reason,matched_feature_difference,matched_feature_difference_detail,candidate_count_equal_to_sasb,source_budget,true_source_traversal_count,sampled_betweenness_score,p2_degree_product_fallback
realworld_completed,rt_twitter_copen,Random-size-matched-candidate,random_size_matched,SASB-structured,20260513,0,early,1.0,0.9986859395532195,0.0013140604467805073,1,2,1,0.0,0.0009718172983479105,294,541,294--541,1,11,1,11,11,0,0.0,0,2,2,32,"[""42"", ""65"", ""651"", ""659"", ""619"", ""582"", ""469"", ""599"", ""467"", ""330"", ""750"", ""287"", ""437"", ""144"", ""734"", ""143"", ""326"", ""280"", ""344"", ""459"", ""94"", ""309"", ""47"", ""80"", ""44"", ""62"", ""425"", ""675"", ""392"", ""322"", ""240"", ""294""]",530fca2f52bfd43ca6876cfd2b46f6e6866af5c65bbc726b1873b606ce57b36e,"{""boundary"": 12, ""community_rep"": 6, ""degree_core"": 10, ""random_fill"": 4}","{""degree_0_1"": 3, ""degree_3_4"": 1, ""degree_5_8"": 1, ""degree_9_plus"": 27}","{""0"": 2, ""1"": 1, ""10"": 5, ""11"": 1, ""12"": 1, ""13"": 5, ""14"": 1, ""15"": 1, ""16"": 1, ""18"": 1, ""19"": 2, ""2"": 4, ""3"": 1, ""5"": 1, ""6"": 1, ""7"": 3, ""8"": 1}",213,"{""backend"": ""evaluate_m19_theory_calibrated.candidate_features"", ""delta_mode"": ""none"", ""k_max"": 512, ""k_min"": 64, ""variant"": ""conservative""}",213,0.20699708454810495,0.15023474178403756,0.15023474178403756,0.4647887323943662,0.9154929577464789,"{""dp_0_4"": 0.13615023474178403, ""dp_17_64"": 0.29577464788732394, ""dp_257_plus"": 0.056338028169014086, ""dp_5_16"": 0.352112676056338, ""dp_65_256"": 0.1596244131455399}","{""cn_0"": 0.7746478873239436, ""cn_1"": 0.14084507042253522, ""cn_2_3"": 0.07981220657276995, ""cn_4_8"": 0.004694835680751174}",0.3333333333333333,60.455399061032864,uniform_random_edges_size_matched_to_sasb,b5b97b0118716d3fb4c08f6c526b2413c9225b32a9ed932c061a49cf9734420d,213,c627a296af3045ec8d4bcc9ffffabe685a0dab8796c6020dfc8211fa5ec7c271,"{""random_size_matched"": 213}",0,0,0,0,{},0.807511737089202,"{""common_neighbor_bin_l1"": 0.30046948356807507, ""degree_product_bin_l1"": 1.07981220657277, ""is_boundary_edge_l1"": 1.211267605633803, ""is_bridge_edge_l1"": 0.8732394366197184, ""is_inter_community_edge_l1"": 1.211267605633803, ""is_low_common_neighbor_edge_l1"": 0.16901408450704225, ""mean_l1"": 0.807511737089202}",1,32,32,18810.96875,0
realworld_completed,rt_twitter_copen,Random-size-matched-candidate,random_size_matched,SASB-structured,20260513,1,early,0.9986859395532195,0.9986859395532195,0.0,2,2,0,0.0009718172983479105,0.001943634596695821,65,651,65--651,35,21,21,35,735,4,0.2,1,10,2,32,"[""42"", ""65"", ""651"", ""659"", ""619"", ""582"", ""469"", ""599"", ""467"", ""330"", ""750"", ""287"", ""437"", ""144"", ""734"", ""143"", ""326"", ""280"", ""344"", ""459"", ""94"", ""309"", ""47"", ""80"", ""44"", ""62"", ""425"", ""675"", ""419"", ""438"", ""213"", ""456""]",1a390af5073540e84f8b252a2995ddd004665f6740586247074ee9e923b2b88a,"{""boundary"": 12, ""community_rep"": 6, ""degree_core"": 10, ""random_fill"": 4}","{""degree_0_1"": 1, ""degree_3_4"": 2, ""degree_5_8"": 2, ""degree_9_plus"": 27}","{""0"": 2, ""1"": 1, ""10"": 4, ""11"": 1, ""12"": 1, ""13"": 5, ""14"": 1, ""15"": 2, ""16"": 1, ""18"": 2, ""19"": 2, ""2"": 2, ""3"": 1, ""5"": 1, ""6"": 1, ""7"": 3, ""8"": 1, ""9"": 1}",213,"{""backend"": ""evaluate_m19_theory_calibrated.candidate_features"", ""delta_mode"": ""none"", ""k_max"": 512, ""k_min"": 64, ""variant"": ""conservative""}",213,0.20719844357976655,0.11267605633802817,0.11267605633802817,0.47417840375586856,0.9154929577464789,"{""dp_0_4"": 0.13145539906103287, ""dp_17_64"": 0.29107981220657275, ""dp_257_plus"": 0.06572769953051644, ""dp_5_16"": 0.38967136150234744, ""dp_65_256"": 0.12206572769953052}","{""cn_0"": 0.7323943661971831, ""cn_1"": 0.18309859154929578, ""cn_2_3"": 0.07042253521126761, ""cn_4_8"": 0.014084507042253521}",0.39436619718309857,58.375586854460096,uniform_random_edges_size_matched_to_sasb,2551e3a3d4650a51d52b3c3969f929da87c6ccedc7dd037218963e1862be5cba,213,c627a296af3045ec8d4bcc9ffffabe685a0dab8796c6020dfc8211fa5ec7c271,"{""random_size_matched"": 213}",0,0,0,0,{},0.8309859154929579,"{""common_neighbor_bin_l1"": 0.215962441314554, ""degree_product_bin_l1"": 1.136150234741784, ""is_boundary_edge_l1"": 1.2863849765258217, ""is_bridge_edge_l1"": 0.892018779342723, ""is_inter_community_edge_l1"": 1.2863849765258217, ""is_low_common_neighbor_edge_l1"": 0.16901408450704225, ""mean_l1"": 0.8309859154929579}",1,32,32,15952.248907271682,0
realworld_completed,rt_twitter_copen,Random-size-matched-candidate,random_size_matched,SASB-structured,20260513,2,early,0.9986859395532195,0.9986859395532195,0.0,2,2,0,0.001943634596695821,0.0029154518950437317,44,65,44--65,14,34,14,34,476,1,0.07692307692307693,1,1,14,32,"[""42"", ""65"", ""659"", ""651"", ""619"", ""582"", ""469"", ""599"", ""467"", ""330"", ""750"", ""287"", ""437"", ""144"", ""734"", ""143"", ""326"", ""280"", ""344"", ""459"", ""94"", ""309"", ""47"", ""80"", ""44"", ""62"", ""425"", ""675"", ""126"", ""367"", ""572"", ""691""]",d892cecf562af907516ba499379dc6aa936007d5a2648f2d2b0a7542c72ee4a4,"{""boundary"": 12, ""community_rep"": 6, ""degree_core"": 10, ""random_fill"": 4}","{""degree_0_1"": 3, ""degree_2"": 1, ""degree_5_8"": 1, ""degree_9_plus"": 27}","{""0"": 2, ""1"": 1, ""10"": 3, ""11"": 1, ""12"": 1, ""13"": 6, ""14"": 1, ""15"": 2, ""16"": 2, ""18"": 2, ""19"": 2, ""2"": 2, ""3"": 1, ""5"": 1, ""6"": 1, ""7"": 3, ""8"": 1}",213,"{""backend"": ""evaluate_m19_theory_calibrated.candidate_features"", ""delta_mode"": ""none"", ""k_max"": 512, ""k_min"": 64, ""variant"": ""conservative""}",213,0.2074001947419669,0.1596244131455399,0.1596244131455399,0.4507042253521127,0.92018779342723,"{""dp_0_4"": 0.13615023474178403, ""dp_17_64"": 0.3380281690140845, ""dp_257_plus"": 0.07981220657276995, ""dp_5_16"": 0.29577464788732394, ""dp_65_256"": 0.15023474178403756}","{""cn_0"": 0.7793427230046949, ""cn_1"": 0.14084507042253522, ""cn_2_3"": 0.06103286384976526, ""cn_4_8"": 0.018779342723004695}",0.3615023474178404,70.11737089201878,uniform_random_edges_size_matched_to_sasb,ee63f9d4501bd089b47dbce28fdee0f41e3b70b238923f2c512120e843cc622a,213,4e41fa876f994efde4e7b622dd8e4d5c74be4b6c7e05d9bd123ca92f77b17ac7,"{""random_size_matched"": 213}",0,0,0,0,{},0.782472613458529,"{""common_neighbor_bin_l1"": 0.29107981220657275, ""degree_product_bin_l1"": 1.0516431924882628, ""is_boundary_edge_l1"": 1.1830985915492958, ""is_bridge_edge_l1"": 0.8356807511737089, ""is_inter_community_edge_l1"": 1.1830985915492958, ""is_low_common_neighbor_edge_l1"": 0.1502347417840375, ""mean_l1"": 0.782472613458529}",1,32,32,25798.083323335162,0
realworld_completed,rt_twitter_copen,Random-size-matched-candidate,random_size_matched,SASB-structured,20260513,3,early,0.9986859395532195,0.9973718791064389,0.0013140604467806183,2,3,1,0.0029154518950437317,0.003887269193391642,406,502,406--502,1,8,1,8,8,0,0.0,0,6,6,32,"[""42"", ""65"", ""659"", ""651"", ""619"", ""582"", ""469"", ""599"", ""467"", ""330"", ""750"", ""287"", ""437"", ""144"", ""734"", ""143"", ""326"", ""280"", ""344"", ""459"", ""94"", ""309"", ""47"", ""80"", ""44"", ""62"", ""425"", ""675"", ""606"", ""408"", ""59"", ""406""]",8310cc588a742b4c3060f92d343197869f49e4ac713ec50acae4e1f608874b7a,"{""boundary"": 12, ""community_rep"": 6, ""degree_core"": 10, ""random_fill"": 4}","{""degree_0_1"": 4, ""degree_5_8"": 1, ""degree_9_plus"": 27}","{""0"": 2, ""1"": 1, ""10"": 3, ""11"": 1, ""12"": 2, ""13"": 5, ""14"": 1, ""15"": 1, ""16"": 1, ""18"": 1, ""19"": 2, ""2"": 2, ""3"": 2, ""5"": 1, ""6"": 2, ""7"": 4, ""8"": 1}",213,"{""backend"": ""evaluate_m19_theory_calibrated.candidate_features"", ""delta_mode"": ""none"", ""k_max"": 512, ""k_min"": 64, ""variant"": ""conservative""}",213,0.20760233918128654,0.18309859154929578,0.18309859154929578,0.48826291079812206,0.9061032863849765,"{""dp_0_4"": 0.1596244131455399, ""dp_17_64"": 0.27699530516431925, ""dp_257_plus"": 0.051643192488262914, ""dp_5_16"": 0.3286384976525822, ""dp_65_256"": 0.18309859154929578}","{""cn_0"": 0.7793427230046949, ""cn_1"": 0.1267605633802817, ""cn_2_3"": 0.08450704225352113, ""cn_4_8"": 0.009389671361502348}",0.3615023474178404,62.44131455399061,uniform_random_edges_size_matched_to_sasb,73e0d12404acfb07b6c1df7153f459f8fa1dd594d6e10948e7b07a7da0bad641,213,02365cecf68d3612660590afb0a622af6afd6915e76abe0b8366d75ddd398438,"{""random_size_matched"": 213}",0,0,0,0,{},0.7668231611893583,"{""common_neighbor_bin_l1"": 0.2816901408450705, ""degree_product_bin_l1"": 1.0422535211267605, ""is_boundary_edge_l1"": 1.1267605633802817, ""is_bridge_edge_l1"": 0.9014084507042255, ""is_inter_community_edge_l1"": 1.1267605633802817, ""is_low_common_neighbor_edge_l1"": 0.1220657276995305, ""mean_l1"": 0.7668231611893583}",1,32,32,18762.499999999996,0
realworld_completed,rt_twitter_copen,Random-size-matched-candidate,random_size_matched,SASB-structured,20260513,4,early,0.9973718791064389,0.9973718791064389,0.0,3,3,0,0.003887269193391642,0.004859086491739553,143,309,143--309,17,15,15,17,255,0,0.0,1,3,16,32,"[""42"", ""65"", ""659"", ""651"", ""619"", ""582"", ""469"", ""599"", ""467"", ""330"", ""750"", ""287"", ""437"", ""144"", ""734"", ""143"", ""326"", ""280"", ""344"", ""459"", ""94"", ""309"", ""47"", ""80"", ""44"", ""62"", ""425"", ""675"", ""370"", ""678"", ""339"", ""327""]",d1692672d034d99aff9d2e2bda2f5a6e59b1767b07516c283a072990b266a9e3,"{""boundary"": 12, ""community_rep"": 6, ""degree_core"": 10, ""random_fill"": 4}","{""degree_0_1"": 4, ""degree_5_8"": 1, ""degree_9_plus"": 27}","{""0"": 2, ""1"": 1, ""10"": 5, ""11"": 1, ""12"": 1, ""13"": 5, ""14"": 1, ""15"": 1, ""16"": 1, ""18"": 1, ""19"": 4, ""2"": 2, ""3"": 1, ""5"": 1, ""6"": 1, ""7"": 3, ""8"": 1}",213,"{""backend"": ""evaluate_m19_theory_calibrated.candidate_features"", ""delta_mode"": ""none"", ""k_max"": 512, ""k_min"": 64, ""variant"": ""conservative""}",213,0.20780487804878048,0.15492957746478872,0.15492957746478872,0.5211267605633803,0.9389671361502347,"{""dp_0_4"": 0.16901408450704225, ""dp_17_64"": 0.3192488262910798, ""dp_257_plus"": 0.056338028169014086, ""dp_5_16"": 0.3004694835680751, ""dp_65_256"": 0.15492957746478872}","{""cn_0"": 0.7746478873239436, ""cn_1"": 0.1643192488262911, ""cn_2_3"": 0.051643192488262914, ""cn_4_8"": 0.009389671361502348}",0.30985915492957744,62.0,uniform_random_edges_size_matched_to_sasb,00b45e6a6590196fbad59b93ae4cb87b2a34f2ceebaf6b2c15e2ee95a8122187,213,02365cecf68d3612660590afb0a622af6afd6915e76abe0b8366d75ddd398438,"{""random_size_matched"": 213}",0,0,0,0,{},0.81377151799687,"{""common_neighbor_bin_l1"": 0.27230046948356806, ""degree_product_bin_l1"": 1.0892018779342723, ""is_boundary_edge_l1"": 1.1830985915492958, ""is_bridge_edge_l1"": 0.9671361502347418, ""is_inter_community_edge_l1"": 1.1830985915492958, ""is_low_common_neighbor_edge_l1"": 0.18779342723004697, ""mean_l1"": 0.81377151799687}",1,32,32,42475.0591231685,0
realworld_completed,rt_twitter_copen,Random-size-matched-candidate,random_size_matched,SASB-structured,20260513,5,early,0.9973718791064389,0.9973718791064389,0.0,3,3,0,0.004859086491739553,0.0058309037900874635,291,540,291--540,2,5,2,5,10,0,0.0,0,20,20,32,"[""42"", ""65"", ""659"", ""651"", ""619"", ""582"", ""469"", ""599"", ""467"", ""330"", ""750"", ""287"", ""437"", ""144"", ""734"", ""326"", ""143"", ""280"", ""344"", ""459"", ""94"", ""706"", ""47"", ""80"", ""44"", ""62"", ""425"", ""675"", ""499"", ""528"", ""121"", ""187""]",487a65e4771a4a8507981ab25e63f36fd4831d14d18fa1a10bafe6329a03534e,"{""boundary"": 12, ""community_rep"": 6, ""degree_core"": 10, ""random_fill"": 4}","{""degree_0_1"": 2, ""degree_2"": 1, ""degree_3_4"": 1, ""degree_5_8"": 1, ""degree_9_plus"": 27}","{""0"": 1, ""1"": 1, ""10"": 3, ""11"": 1, ""12"": 1, ""13"": 6, ""14"": 3, ""15"": 1, ""16"": 2, ""18"": 1, ""19"": 2, ""2"": 2, ""3"": 1, ""5"": 1, ""6"": 1, ""7"": 4, ""8"": 1}",213,"{""backend"": ""evaluate_m19_theory_calibrated.candidate_features"", ""delta_mode"": ""none"", ""k_max"": 512, ""k_min"": 64, ""variant"": ""conservative""}",213,0.2080078125,0.17370892018779344,0.17370892018779344,0.4835680751173709,0.9483568075117371,"{""dp_0_4"": 0.14553990610328638, ""dp_17_64"": 0.3051643192488263, ""dp_257_plus"": 0.04225352112676056, ""dp_5_16"": 0.352112676056338, ""dp_65_256"": 0.15492957746478872}","{""cn_0"": 0.7887323943661971, ""cn_1"": 0.1596244131455399, ""cn_2_3"": 0.046948356807511735, ""cn_4_8"": 0.004694835680751174}",0.2863849765258216,51.70422535211268,uniform_random_edges_size_matched_to_sasb,d25d228c6317a98865f7644e7e7309fa9e1ba3aac5a96fdcbf2b5db0dedf0050,213,ba3221ba7393696ae0d3e6488082700d14a227b3efcb5cd57bc7d4f5478d5608,"{""random_size_matched"": 213}",0,0,0,0,{},0.7965571205007823,"{""common_neighbor_bin_l1"": 0.30046948356807507, ""degree_product_bin_l1"": 1.1173708920187793, ""is_boundary_edge_l1"": 1.136150234741784, ""is_bridge_edge_l1"": 0.8826291079812205, ""is_inter_community_edge_l1"": 1.136150234741784, ""is_low_common_neighbor_edge_l1"": 0.20657276995305168, ""mean_l1"": 0.7965571205007823}",1,32,32,25582.962057487468,0
realworld_completed,rt_twitter_copen,Random-size-matched-candidate,random_size_matched,SASB-structured,20260513,6,early,0.9973718791064389,0.9973718791064389,0.0,3,3,0,0.0058309037900874635,0.006802721088435374,437,599,437--599,20,15,15,20,300,0,0.0,1,1,10,32,"[""42"", ""65"", ""659"", ""651"", ""619"", ""582"", ""469"", ""599"", ""467"", ""330"", ""750"", ""287"", ""437"", ""144"", ""734"", ""326"", ""143"", ""280"", ""344"", ""459"", ""94"", ""706"", ""47"", ""80"", ""44"", ""62"", ""425"", ""675"", ""541"", ""426"", ""749"", ""266""]",894a522580c8e26a7bca7fb514e64060d9f9ff74f0f5578c55c788954e3fb7c9,"{""boundary"": 12, ""community_rep"": 6, ""degree_core"": 10, ""random_fill"": 4}","{""degree_0_1"": 1, ""degree_3_4"": 1, ""degree_5_8"": 1, ""degree_9_plus"": 29}","{""0"": 1, ""1"": 1, ""10"": 3, ""11"": 1, ""12"": 1, ""13"": 6, ""14"": 1, ""15"": 1, ""16"": 1, ""18"": 1, ""19"": 2, ""2"": 4, ""3"": 2, ""4"": 1, ""5"": 1, ""6"": 1, ""7"": 3, ""8"": 1}",213,"{""backend"": ""evaluate_m19_theory_calibrated.candidate_features"", ""delta_mode"": ""none"", ""k_max"": 512, ""k_min"": 64, ""variant"": ""conservative""}",213,0.20821114369501467,0.1643192488262911,0.1643192488262911,0.539906103286385,0.9107981220657277,"{""dp_0_4"": 0.18309859154929578, ""dp_17_64"": 0.27699530516431925, ""dp_257_plus"": 0.06103286384976526, ""dp_5_16"": 0.3333333333333333, ""dp_65_256"": 0.14553990610328638}","{""cn_0"": 0.8028169014084507, ""cn_1"": 0.107981220657277, ""cn_2_3"": 0.07042253521126761, ""cn_4_8"": 0.018779342723004695}",0.352112676056338,60.629107981220656,uniform_random_edges_size_matched_to_sasb,03e629431b9cbfad1de0bd7a51dffcb39becf2dcddbdace6c2ced0816e272d55,213,ba3221ba7393696ae0d3e6488082700d14a227b3efcb5cd57bc7d4f5478d5608,"{""random_size_matched"": 213}",0,0,0,0,{},0.8075117370892017,"{""common_neighbor_bin_l1"": 0.32863849765258224, ""degree_product_bin_l1"": 1.0985915492957745, ""is_boundary_edge_l1"": 1.1549295774647885, ""is_bridge_edge_l1"": 0.9765258215962442, ""is_inter_community_edge_l1"": 1.1549295774647885, ""is_low_common_neighbor_edge_l1"": 0.13145539906103293, ""mean_l1"": 0.8075117370892017}",1,32,32,20523.744686976996,0
realworld_completed,rt_twitter_copen,Random-size-matched-candidate,random_size_matched,SASB-structured,20260513,7,early,0.9973718791064389,0.9973718791064389,0.0,3,3,0,0.006802721088435374,0.007774538386783284,459,619,459--619,16,18,16,18,288,1,0.06666666666666667,1,7,9,32,"[""42"", ""65"", ""659"", ""651"", ""619"", ""582"", ""469"", ""467"", ""330"", ""750"", ""599"", ""287"", ""437"", ""144"", ""734"", ""326"", ""143"", ""280"", ""344"", ""459"", ""94"", ""706"", ""47"", ""80"", ""44"", ""62"", ""425"", ""675"", ""351"", ""286"", ""642"", ""72""]",5989a1f67407c53d903219768881175f4c10aeb1a41cda765856d42cd7e42de0,"{""boundary"": 12, ""community_rep"": 6, ""degree_core"": 10, ""random_fill"": 4}","{""degree_0_1"": 3, ""degree_2"": 1, ""degree_5_8"": 1, ""degree_9_plus"": 27}","{""0"": 1, ""1"": 1, ""10"": 4, ""11"": 1, ""12"": 1, ""13"": 6, ""14"": 3, ""15"": 1, ""16"": 1, ""18"": 1, ""19"": 3, ""2"": 2, ""3"": 1, ""5"": 1, ""6"": 1, ""7"": 3, ""8"": 1}",213,"{""backend"": ""evaluate_m19_theory_calibrated.candidate_features"", ""delta_mode"": ""none"", ""k_max"": 512, ""k_min"": 64, ""variant"": ""conservative""}",213,0.20841487279843443,0.1643192488262911,0.1643192488262911,0.4647887323943662,0.9107981220657277,"{""dp_0_4"": 0.11267605633802817, ""dp_17_64"": 0.3004694835680751, ""dp_257_plus"": 0.03755868544600939, ""dp_5_16"": 0.3568075117370892, ""dp_65_256"": 0.19248826291079812}","{""cn_0"": 0.7323943661971831, ""cn_1"": 0.1784037558685446, ""cn_2_3"": 0.08450704225352113, ""cn_4_8"": 0.004694835680751174}",0.38967136150234744,54.29577464788732,uniform_random_edges_size_matched_to_sasb,6febae2e0cc171a73f979dd48d4fa9e4b5c68fa9614d792aa880c14e6ea0871a,213,ec026f3bf9f19820f42cf7135ceaaf32f5d94347f1c109909d525d87b6397c00,"{""random_size_matched"": 213}",0,0,0,0,{},0.7480438184663537,"{""common_neighbor_bin_l1"": 0.187793427230047, ""degree_product_bin_l1"": 1.0516431924882628, ""is_boundary_edge_l1"": 1.1455399061032863, ""is_bridge_edge_l1"": 0.8262910798122066, ""is_inter_community_edge_l1"": 1.1455399061032863, ""is_low_common_neighbor_edge_l1"": 0.13145539906103293, ""mean_l1"": 0.7480438184663537}",1,32,32,20120.52700152177,0
realworld_completed,rt_twitter_copen,Random-size-matched-candidate,random_size_matched,SASB-structured,20260513,8,early,0.9973718791064389,0.9921156373193167,0.00525624178712214,3,4,1,0.007774538386783284,0.008746355685131196,524,659,524--659,2,31,2,31,62,0,0.0,0,16,16,32,"[""42"", ""65"", ""659"", ""651"", ""582"", ""469"", ""619"", ""467"", ""330"", ""750"", ""599"", ""287"", ""437"", ""144"", ""734"", ""326"", ""143"", ""280"", ""344"", ""94"", ""459"", ""706"", ""47"", ""80"", ""44"", ""62"", ""425"", ""675"", ""217"", ""90"", ""264"", ""450""]",82f2d81c6a5fd043d22e448c1a8f7fa44c62e23f59313ea32fdb6630330a41e5,"{""boundary"": 12, ""community_rep"": 6, ""degree_core"": 10, ""random_fill"": 4}","{""degree_0_1"": 2, ""degree_2"": 2, ""degree_5_8"": 1, ""degree_9_plus"": 27}","{""0"": 1, ""1"": 2, ""10"": 4, ""11"": 1, ""12"": 1, ""13"": 7, ""14"": 1, ""15"": 1, ""16"": 1, ""18"": 1, ""19"": 2, ""2"": 2, ""3"": 2, ""5"": 1, ""6"": 1, ""7"": 3, ""8"": 1}",212,"{""backend"": ""evaluate_m19_theory_calibrated.candidate_features"", ""delta_mode"": ""none"", ""k_max"": 512, ""k_min"": 64, ""variant"": ""conservative""}",212,0.20763956904995104,0.15566037735849056,0.15566037735849056,0.4386792452830189,0.910377358490566,"{""dp_0_4"": 0.1650943396226415, ""dp_17_64"": 0.32075471698113206, ""dp_257_plus"": 0.0330188679245283, ""dp_5_16"": 0.30660377358490565, ""dp_65_256"": 0.17452830188679244}","{""cn_0"": 0.7028301886792453, ""cn_1"": 0.20754716981132076, ""cn_2_3"": 0.08962264150943396}",0.4056603773584906,55.509433962264154,uniform_random_edges_size_matched_to_sasb,57a67eabd44ff3b30d9240cb87326b679cbf86886e9cf06db28ccbd796e751d0,212,c25b8de05f77a62200e1a5d986f89f3288dc25ff4b014355cbe3e480b0dc37e8,"{""random_size_matched"": 212}",0,0,0,0,{},0.7421383647798742,"{""common_neighbor_bin_l1"": 0.13207547169811326, ""degree_product_bin_l1"": 1.0943396226415094, ""is_boundary_edge_l1"": 1.1603773584905661, ""is_bridge_edge_l1"": 0.7735849056603773, ""is_inter_community_edge_l1"": 1.1603773584905661, ""is_low_common_neighbor_edge_l1"": 0.13207547169811318, ""mean_l1"": 0.7421383647798742}",1,32,32,20848.781249999996,0
realworld_completed,rt_twitter_copen,Random-size-matched-candidate,random_size_matched,SASB-structured,20260513,9,early,0.9921156373193167,0.9921156373193167,0.0,4,4,0,0.008746355685131196,0.009718172983479106,469,679,469--679,18,5,5,18,90,1,0.25,0,18,18,32,"[""42"", ""65"", ""659"", ""651"", ""582"", ""469"", ""619"", ""467"", ""330"", ""750"", ""599"", ""287"", ""437"", ""144"", ""734"", ""326"", ""143"", ""280"", ""344"", ""94"", ""459"", ""706"", ""47"", ""80"", ""44"", ""62"", ""425"", ""675"", ""227"", ""630"", ""278"", ""319""]",18ddf72f4ad41961d30cb0e24d94ceae7083bd8c2a0c43fa26162db2c6f9ea68,"{""boundary"": 12, ""community_rep"": 6, ""degree_core"": 10, ""random_fill"": 4}","{""degree_0_1"": 2, ""degree_2"": 2, ""degree_5_8"": 1, ""degree_9_plus"": 27}","{""0"": 1, ""1"": 1, ""10"": 3, ""11"": 1, ""12"": 1, ""13"": 7, ""14"": 1, ""15"": 2, ""16"": 2, ""18"": 1, ""19"": 2, ""2"": 2, ""3"": 1, ""5"": 1, ""6"": 1, ""7"": 3, ""8"": 2}",212,"{""backend"": ""evaluate_m19_theory_calibrated.candidate_features"", ""delta_mode"": ""none"", ""k_max"": 512, ""k_min"": 64, ""variant"": ""conservative""}",212,0.20845624385447395,0.1509433962264151,0.1509433962264151,0.4811320754716981,0.9198113207547169,"{""dp_0_4"": 0.13679245283018868, ""dp_17_64"": 0.29245283018867924, ""dp_257_plus"": 0.04245283018867924, ""dp_5_16"": 0.3632075471698113, ""dp_65_256"": 0.1650943396226415}","{""cn_0"": 0.7924528301886793, ""cn_1"": 0.12735849056603774, ""cn_2_3"": 0.07547169811320754, ""cn_4_8"": 0.0047169811320754715}",0.32075471698113206,54.9622641509434,uniform_random_edges_size_matched_to_sasb,33329a17c862ec2d2d890c3e36520ca64ee21fe7a47053367a38ec37fa54351d,212,c25b8de05f77a62200e1a5d986f89f3288dc25ff4b014355cbe3e480b0dc37e8,"{""random_size_matched"": 212}",0,0,0,0,{},0.7877358490566038,"{""common_neighbor_bin_l1"": 0.2830188679245284, ""degree_product_bin_l1"": 1.0943396226415094, ""is_boundary_edge_l1"": 1.1698113207547172, ""is_bridge_edge_l1"": 0.8584905660377358, ""is_inter_community_edge_l1"": 1.1698113207547172, ""is_low_common_neighbor_edge_l1"": 0.15094339622641506, ""mean_l1"": 0.7877358490566038}",1,32,32,20110.001108343247,0
