dataset,graph_id,method,candidate_policy,source_policy,seed,step,attack_phase,gcc_before,gcc_after,delta_gcc,num_components_before,num_components_after,is_bridge_before_removal,remove_ratio_before,remove_ratio_after,edge_u,edge_v,selected_edge,degree_u,degree_v,degree_min,degree_max,degree_product,common_neighbors,edge_embeddedness,is_inter_community_edge,community_u,community_v,source_count,source_nodes,source_node_hash,source_strata_counts,source_degree_bins,source_community_counts,adaptive_k,candidate_config,candidate_count,candidate_fraction,candidate_inter_community_ratio,candidate_boundary_ratio,candidate_bridge_ratio,candidate_low_cn_ratio,candidate_degree_product_distribution,candidate_common_neighbor_distribution,candidate_mean_common_neighbors,candidate_mean_degree_product,candidate_backend,candidate_hash,sasb_candidate_count_reference,sasb_candidate_hash_reference,match_mode_counts,strict_match_count,degree_only_match_count,community_only_match_count,fallback_count,fallback_reason,matched_feature_difference,matched_feature_difference_detail,candidate_count_equal_to_sasb,source_budget,true_source_traversal_count,sampled_betweenness_score,p2_degree_product_fallback
realworld_completed,rt_twitter_copen,Structure-matched-candidate,structure_matched,SASB-structured,20260513,0,early,1.0,1.0,0.0,1,1,0,0.0,0.0009718172983479105,143,309,143--309,17,15,15,17,255,0,0.0,1,7,0,32,"[""42"", ""65"", ""651"", ""659"", ""619"", ""582"", ""469"", ""599"", ""467"", ""330"", ""750"", ""287"", ""437"", ""144"", ""734"", ""143"", ""326"", ""280"", ""344"", ""459"", ""94"", ""309"", ""47"", ""80"", ""44"", ""62"", ""425"", ""675"", ""392"", ""322"", ""240"", ""294""]",530fca2f52bfd43ca6876cfd2b46f6e6866af5c65bbc726b1873b606ce57b36e,"{""boundary"": 12, ""community_rep"": 6, ""degree_core"": 10, ""random_fill"": 4}","{""degree_0_1"": 3, ""degree_3_4"": 1, ""degree_5_8"": 1, ""degree_9_plus"": 27}","{""0"": 2, ""1"": 1, ""10"": 5, ""11"": 1, ""12"": 1, ""13"": 5, ""14"": 1, ""15"": 1, ""16"": 1, ""18"": 1, ""19"": 2, ""2"": 4, ""3"": 1, ""5"": 1, ""6"": 1, ""7"": 3, ""8"": 1}",213,"{""backend"": ""evaluate_m19_theory_calibrated.candidate_features"", ""delta_mode"": ""none"", ""k_max"": 512, ""k_min"": 64, ""variant"": ""conservative""}",213,0.20699708454810495,0.755868544600939,0.755868544600939,0.028169014084507043,0.8309859154929577,"{""dp_17_64"": 0.22535211267605634, ""dp_257_plus"": 0.24882629107981222, ""dp_5_16"": 0.018779342723004695, ""dp_65_256"": 0.5070422535211268}","{""cn_0"": 0.6244131455399061, ""cn_1"": 0.20657276995305165, ""cn_2_3"": 0.14084507042253522, ""cn_4_8"": 0.028169014084507043}",0.6619718309859155,190.93896713615024,random_edges_structure_matched_to_sasb,127f5a617081175dc6298902deb21f33d8be1871593ad33e15d484eb264ab120,213,c627a296af3045ec8d4bcc9ffffabe685a0dab8796c6020dfc8211fa5ec7c271,"{""strict"": 213}",213,0,0,0,{},0.0,"{""common_neighbor_bin_l1"": 0.0, ""degree_product_bin_l1"": 0.0, ""is_boundary_edge_l1"": 0.0, ""is_bridge_edge_l1"": 0.0, ""is_inter_community_edge_l1"": 0.0, ""is_low_common_neighbor_edge_l1"": 0.0, ""mean_l1"": 0.0}",1,32,32,43141.36355432762,0
realworld_completed,rt_twitter_copen,Structure-matched-candidate,structure_matched,SASB-structured,20260513,1,early,1.0,1.0,0.0,1,1,0,0.0009718172983479105,0.001943634596695821,44,65,44--65,14,35,14,35,490,1,0.07692307692307693,1,0,9,32,"[""42"", ""65"", ""651"", ""659"", ""619"", ""582"", ""469"", ""599"", ""467"", ""330"", ""750"", ""287"", ""437"", ""144"", ""734"", ""326"", ""143"", ""280"", ""344"", ""459"", ""94"", ""706"", ""47"", ""80"", ""44"", ""62"", ""425"", ""675"", ""419"", ""438"", ""213"", ""358""]",de8b1d2aa8491a56ca7b79eecd1a6c52342bf94a78d861721ef320778526803b,"{""boundary"": 12, ""community_rep"": 6, ""degree_core"": 10, ""random_fill"": 4}","{""degree_2"": 1, ""degree_3_4"": 2, ""degree_5_8"": 2, ""degree_9_plus"": 27}","{""0"": 1, ""1"": 1, ""10"": 3, ""11"": 1, ""12"": 1, ""13"": 6, ""14"": 1, ""15"": 2, ""16"": 1, ""18"": 2, ""19"": 3, ""2"": 2, ""3"": 1, ""5"": 1, ""6"": 1, ""7"": 3, ""8"": 1, ""9"": 1}",213,"{""backend"": ""evaluate_m19_theory_calibrated.candidate_features"", ""delta_mode"": ""none"", ""k_max"": 512, ""k_min"": 64, ""variant"": ""conservative""}",213,0.20719844357976655,0.7511737089201878,0.7511737089201878,0.03286384976525822,0.8309859154929577,"{""dp_17_64"": 0.22535211267605634, ""dp_257_plus"": 0.24413145539906103, ""dp_5_16"": 0.018779342723004695, ""dp_65_256"": 0.5117370892018779}","{""cn_0"": 0.6244131455399061, ""cn_1"": 0.20657276995305165, ""cn_2_3"": 0.14084507042253522, ""cn_4_8"": 0.028169014084507043}",0.6572769953051644,188.65727699530515,random_edges_structure_matched_to_sasb,161c64abf013ed68eef1319de1dd2f400be80dbefff6237e9975ea5d7ed064c2,213,3991d1b05a5f910d3223ecbe57a0344918c0db79825a057c7fbd1d62c5b8716a,"{""strict"": 213}",213,0,0,0,{},0.0,"{""common_neighbor_bin_l1"": 0.0, ""degree_product_bin_l1"": 0.0, ""is_boundary_edge_l1"": 0.0, ""is_bridge_edge_l1"": 0.0, ""is_inter_community_edge_l1"": 0.0, ""is_low_common_neighbor_edge_l1"": 0.0, ""mean_l1"": 0.0}",1,32,32,25483.999550901997,0
realworld_completed,rt_twitter_copen,Structure-matched-candidate,structure_matched,SASB-structured,20260513,2,early,1.0,1.0,0.0,1,1,0,0.001943634596695821,0.0029154518950437317,291,344,291--344,2,16,2,16,32,0,0.0,1,9,17,32,"[""42"", ""65"", ""651"", ""659"", ""619"", ""582"", ""469"", ""599"", ""467"", ""330"", ""750"", ""287"", ""437"", ""144"", ""734"", ""326"", ""143"", ""280"", ""344"", ""459"", ""94"", ""706"", ""47"", ""80"", ""44"", ""62"", ""425"", ""675"", ""532"", ""305"", ""98"", ""733""]",81b8c1594c59f0a2ea901dc4fb23ba885dd91faacccbfe42b6b68eea9fdfa6d6,"{""boundary"": 12, ""community_rep"": 6, ""degree_core"": 10, ""random_fill"": 4}","{""degree_0_1"": 4, ""degree_5_8"": 1, ""degree_9_plus"": 27}","{""0"": 1, ""1"": 1, ""10"": 6, ""11"": 1, ""12"": 1, ""13"": 6, ""14"": 1, ""15"": 1, ""16"": 1, ""18"": 1, ""19"": 2, ""2"": 2, ""3"": 1, ""5"": 1, ""6"": 1, ""7"": 4, ""8"": 1}",213,"{""backend"": ""evaluate_m19_theory_calibrated.candidate_features"", ""delta_mode"": ""none"", ""k_max"": 512, ""k_min"": 64, ""variant"": ""conservative""}",213,0.2074001947419669,0.7464788732394366,0.7464788732394366,0.03755868544600939,0.8309859154929577,"{""dp_17_64"": 0.22535211267605634, ""dp_257_plus"": 0.23943661971830985, ""dp_5_16"": 0.018779342723004695, ""dp_65_256"": 0.5164319248826291}","{""cn_0"": 0.6291079812206573, ""cn_1"": 0.20187793427230047, ""cn_2_3"": 0.14084507042253522, ""cn_4_8"": 0.028169014084507043}",0.6572769953051644,185.42253521126761,random_edges_structure_matched_to_sasb,39ba5867a113e387c641afb676c2db328e5514ced48e76d43adabf12038d1489,213,57074fd50e87d0fd42ad7c8dae5e2d4f187a020bd5d58fa3a6cdd97392efdc29,"{""strict"": 213}",213,0,0,0,{},0.0,"{""common_neighbor_bin_l1"": 0.0, ""degree_product_bin_l1"": 0.0, ""is_boundary_edge_l1"": 0.0, ""is_bridge_edge_l1"": 0.0, ""is_inter_community_edge_l1"": 0.0, ""is_low_common_neighbor_edge_l1"": 0.0, ""mean_l1"": 0.0}",1,32,32,24820.28003080618,0
realworld_completed,rt_twitter_copen,Structure-matched-candidate,structure_matched,SASB-structured,20260513,3,early,1.0,1.0,0.0,1,1,0,0.0029154518950437317,0.003887269193391642,437,599,437--599,20,15,15,20,300,0,0.0,1,13,2,32,"[""42"", ""65"", ""651"", ""659"", ""619"", ""582"", ""469"", ""599"", ""467"", ""330"", ""750"", ""287"", ""437"", ""144"", ""734"", ""326"", ""143"", ""280"", ""459"", ""94"", ""344"", ""706"", ""47"", ""80"", ""44"", ""62"", ""425"", ""675"", ""606"", ""84"", ""59"", ""189""]",e74fe9d76f07fdfe798368bb2886af215068ebca328fd6e24126a8d72b5c8f61,"{""boundary"": 12, ""community_rep"": 6, ""degree_core"": 10, ""random_fill"": 4}","{""degree_0_1"": 3, ""degree_2"": 1, ""degree_5_8"": 1, ""degree_9_plus"": 27}","{""0"": 1, ""1"": 1, ""10"": 3, ""11"": 1, ""12"": 2, ""13"": 6, ""14"": 1, ""15"": 1, ""16"": 1, ""18"": 1, ""19"": 2, ""2"": 2, ""3"": 2, ""5"": 1, ""6"": 2, ""7"": 4, ""8"": 1}",213,"{""backend"": ""evaluate_m19_theory_calibrated.candidate_features"", ""delta_mode"": ""none"", ""k_max"": 512, ""k_min"": 64, ""variant"": ""conservative""}",213,0.20760233918128654,0.7417840375586855,0.7417840375586855,0.046948356807511735,0.8309859154929577,"{""dp_17_64"": 0.22065727699530516, ""dp_257_plus"": 0.23943661971830985, ""dp_5_16"": 0.018779342723004695, ""dp_65_256"": 0.5211267605633803}","{""cn_0"": 0.6291079812206573, ""cn_1"": 0.20187793427230047, ""cn_2_3"": 0.14084507042253522, ""cn_4_8"": 0.028169014084507043}",0.6572769953051644,186.69483568075117,random_edges_structure_matched_to_sasb,4d3a17226ece755ad5f5e26c933dfc20f20a92df92352f3619a971f009d7c6cd,213,ea904dd78f708d4d485e7b3cb20bff78cd13e360d8f963d9f76b4fef14e161e6,"{""strict"": 213}",213,0,0,0,{},0.0,"{""common_neighbor_bin_l1"": 0.0, ""degree_product_bin_l1"": 0.0, ""is_boundary_edge_l1"": 0.0, ""is_bridge_edge_l1"": 0.0, ""is_inter_community_edge_l1"": 0.0, ""is_low_common_neighbor_edge_l1"": 0.0, ""mean_l1"": 0.0}",1,32,32,19943.091441941648,0
realworld_completed,rt_twitter_copen,Structure-matched-candidate,structure_matched,SASB-structured,20260513,4,early,1.0,1.0,0.0,1,1,0,0.003887269193391642,0.004859086491739553,459,619,459--619,16,18,16,18,288,1,0.06666666666666667,1,3,8,32,"[""42"", ""65"", ""651"", ""659"", ""619"", ""582"", ""469"", ""467"", ""330"", ""750"", ""599"", ""287"", ""437"", ""144"", ""734"", ""326"", ""143"", ""280"", ""459"", ""94"", ""344"", ""706"", ""47"", ""80"", ""44"", ""62"", ""425"", ""675"", ""235"", ""359"", ""554"", ""403""]",110421c06de4943f156e221b7673d5baad2553cccb24466943137876c7c2657a,"{""boundary"": 12, ""community_rep"": 6, ""degree_core"": 10, ""random_fill"": 4}","{""degree_0_1"": 3, ""degree_3_4"": 1, ""degree_5_8"": 1, ""degree_9_plus"": 27}","{""0"": 2, ""1"": 1, ""10"": 4, ""11"": 2, ""12"": 1, ""13"": 6, ""14"": 1, ""15"": 1, ""16"": 1, ""18"": 1, ""19"": 2, ""2"": 3, ""3"": 1, ""5"": 1, ""6"": 1, ""7"": 3, ""8"": 1}",213,"{""backend"": ""evaluate_m19_theory_calibrated.candidate_features"", ""delta_mode"": ""none"", ""k_max"": 512, ""k_min"": 64, ""variant"": ""conservative""}",213,0.20780487804878048,0.7370892018779343,0.7370892018779343,0.046948356807511735,0.8309859154929577,"{""dp_17_64"": 0.22065727699530516, ""dp_257_plus"": 0.22535211267605634, ""dp_5_16"": 0.018779342723004695, ""dp_65_256"": 0.5352112676056338}","{""cn_0"": 0.6291079812206573, ""cn_1"": 0.20187793427230047, ""cn_2_3"": 0.14084507042253522, ""cn_4_8"": 0.028169014084507043}",0.6525821596244131,184.7793427230047,random_edges_structure_matched_to_sasb,2b99d14eaa377107c2055ee2d84b2a5fda9c4733e9cefce20b1ebdf346c45aa7,213,651a028b136d355b514d21dbd1cfcf64b0fd032e7f95be0671e525ea60fceb90,"{""strict"": 213}",213,0,0,0,{},0.0,"{""common_neighbor_bin_l1"": 0.0, ""degree_product_bin_l1"": 0.0, ""is_boundary_edge_l1"": 0.0, ""is_bridge_edge_l1"": 0.0, ""is_inter_community_edge_l1"": 0.0, ""is_low_common_neighbor_edge_l1"": 0.0, ""mean_l1"": 0.0}",1,32,32,20022.62302989596,0
realworld_completed,rt_twitter_copen,Structure-matched-candidate,structure_matched,SASB-structured,20260513,5,early,1.0,1.0,0.0,1,1,0,0.004859086491739553,0.0058309037900874635,326,437,326--437,17,19,17,19,323,1,0.0625,0,7,7,32,"[""42"", ""65"", ""651"", ""659"", ""582"", ""469"", ""619"", ""467"", ""330"", ""750"", ""599"", ""287"", ""437"", ""144"", ""734"", ""326"", ""143"", ""280"", ""94"", ""344"", ""459"", ""706"", ""47"", ""80"", ""44"", ""62"", ""425"", ""675"", ""449"", ""141"", ""308"", ""200""]",905c74628e99f29c5e0f627d45efe1353319264d553b2f21ad853a46f981ee2c,"{""boundary"": 12, ""community_rep"": 6, ""degree_core"": 10, ""random_fill"": 4}","{""degree_0_1"": 1, ""degree_2"": 1, ""degree_3_4"": 1, ""degree_5_8"": 2, ""degree_9_plus"": 27}","{""0"": 1, ""1"": 1, ""10"": 5, ""11"": 1, ""12"": 1, ""13"": 6, ""14"": 1, ""15"": 1, ""16"": 1, ""18"": 1, ""19"": 3, ""2"": 2, ""3"": 1, ""5"": 1, ""6"": 1, ""7"": 3, ""8"": 2}",213,"{""backend"": ""evaluate_m19_theory_calibrated.candidate_features"", ""delta_mode"": ""none"", ""k_max"": 512, ""k_min"": 64, ""variant"": ""conservative""}",213,0.2080078125,0.7323943661971831,0.7323943661971831,0.046948356807511735,0.8309859154929577,"{""dp_17_64"": 0.22065727699530516, ""dp_257_plus"": 0.215962441314554, ""dp_5_16"": 0.018779342723004695, ""dp_65_256"": 0.5446009389671361}","{""cn_0"": 0.6384976525821596, ""cn_1"": 0.19248826291079812, ""cn_2_3"": 0.14084507042253522, ""cn_4_8"": 0.028169014084507043}",0.6431924882629108,180.7793427230047,random_edges_structure_matched_to_sasb,0513ebf9e4ec748d8e315919091afec0562416b743a4d6b0724740041bd2aebd,213,c9e56d523bf893a6137c7f1ac4f8a7f0f970363a5d4bfcd7e9698641656af27a,"{""strict"": 213}",213,0,0,0,{},0.0,"{""common_neighbor_bin_l1"": 0.0, ""degree_product_bin_l1"": 0.0, ""is_boundary_edge_l1"": 0.0, ""is_bridge_edge_l1"": 0.0, ""is_inter_community_edge_l1"": 0.0, ""is_low_common_neighbor_edge_l1"": 0.0, ""mean_l1"": 0.0}",1,32,32,17031.394713385063,0
realworld_completed,rt_twitter_copen,Structure-matched-candidate,structure_matched,SASB-structured,20260513,6,early,1.0,1.0,0.0,1,1,0,0.0058309037900874635,0.006802721088435374,224,330,224--330,4,25,4,25,100,0,0.0,1,11,2,32,"[""42"", ""65"", ""651"", ""659"", ""582"", ""469"", ""619"", ""467"", ""330"", ""750"", ""599"", ""287"", ""144"", ""437"", ""734"", ""143"", ""280"", ""326"", ""94"", ""344"", ""459"", ""706"", ""47"", ""80"", ""44"", ""62"", ""425"", ""675"", ""538"", ""426"", ""541"", ""81""]",0dfd91db64e37f988e1be7e8de371440c44aedbf5ce6e89a75291fa77180bf75,"{""boundary"": 12, ""community_rep"": 6, ""degree_core"": 10, ""random_fill"": 4}","{""degree_0_1"": 1, ""degree_3_4"": 2, ""degree_5_8"": 1, ""degree_9_plus"": 28}","{""0"": 1, ""1"": 1, ""10"": 4, ""11"": 1, ""12"": 1, ""13"": 6, ""14"": 1, ""15"": 1, ""16"": 1, ""18"": 1, ""19"": 2, ""2"": 4, ""3"": 1, ""4"": 1, ""5"": 1, ""6"": 1, ""7"": 3, ""8"": 1}",213,"{""backend"": ""evaluate_m19_theory_calibrated.candidate_features"", ""delta_mode"": ""none"", ""k_max"": 512, ""k_min"": 64, ""variant"": ""conservative""}",213,0.20821114369501467,0.7323943661971831,0.7323943661971831,0.046948356807511735,0.8309859154929577,"{""dp_17_64"": 0.22065727699530516, ""dp_257_plus"": 0.20657276995305165, ""dp_5_16"": 0.018779342723004695, ""dp_65_256"": 0.5539906103286385}","{""cn_0"": 0.6431924882629108, ""cn_1"": 0.18779342723004694, ""cn_2_3"": 0.14084507042253522, ""cn_4_8"": 0.028169014084507043}",0.6431924882629108,180.73708920187792,random_edges_structure_matched_to_sasb,490bda9da0f36a49d041e0db22980a63b0f4a3c0523fccf8516fabb899182d5e,213,d9abfe802e9d0aaca5cd7db62870d7256498cb5fceccc8a689b8321df2b45bd8,"{""strict"": 213}",213,0,0,0,{},0.0,"{""common_neighbor_bin_l1"": 0.0, ""degree_product_bin_l1"": 0.0, ""is_boundary_edge_l1"": 0.0, ""is_bridge_edge_l1"": 0.0, ""is_inter_community_edge_l1"": 0.0, ""is_low_common_neighbor_edge_l1"": 0.0, ""mean_l1"": 0.0}",1,32,32,23394.14598290237,0
realworld_completed,rt_twitter_copen,Structure-matched-candidate,structure_matched,SASB-structured,20260513,7,early,1.0,0.9908015768725361,0.009198423127463884,1,2,1,0.006802721088435374,0.007774538386783284,42,462,42--462,37,2,2,37,74,0,0.0,0,8,8,32,"[""42"", ""65"", ""651"", ""659"", ""582"", ""469"", ""619"", ""467"", ""750"", ""599"", ""287"", ""330"", ""144"", ""437"", ""734"", ""143"", ""280"", ""326"", ""94"", ""344"", ""459"", ""706"", ""47"", ""80"", ""44"", ""62"", ""425"", ""675"", ""633"", ""286"", ""566"", ""509""]",7ffa368b545a6c3bf95afc483d5023b5ba49d12c5888f5137e4be68396db82b2,"{""boundary"": 12, ""community_rep"": 6, ""degree_core"": 10, ""random_fill"": 4}","{""degree_0_1"": 1, ""degree_2"": 2, ""degree_5_8"": 2, ""degree_9_plus"": 27}","{""0"": 1, ""1"": 1, ""10"": 5, ""11"": 1, ""12"": 1, ""13"": 6, ""14"": 3, ""15"": 1, ""16"": 1, ""18"": 1, ""19"": 2, ""2"": 2, ""3"": 1, ""5"": 1, ""6"": 1, ""7"": 3, ""8"": 1}",213,"{""backend"": ""evaluate_m19_theory_calibrated.candidate_features"", ""delta_mode"": ""none"", ""k_max"": 512, ""k_min"": 64, ""variant"": ""conservative""}",213,0.20841487279843443,0.7276995305164319,0.7276995305164319,0.051643192488262914,0.8309859154929577,"{""dp_17_64"": 0.22065727699530516, ""dp_257_plus"": 0.20657276995305165, ""dp_5_16"": 0.018779342723004695, ""dp_65_256"": 0.5539906103286385}","{""cn_0"": 0.6384976525821596, ""cn_1"": 0.19248826291079812, ""cn_2_3"": 0.14084507042253522, ""cn_4_8"": 0.028169014084507043}",0.647887323943662,180.07981220657277,random_edges_structure_matched_to_sasb,8187d0d853fe696726df06c9f8594ff1f23b3d73f821853230c33e6a5f5c7ea8,213,ea41bfe9aaacdf32ec8c59aa9aaa28bec1ab2fdab0a6a5b27f11000a883394b0,"{""strict"": 213}",213,0,0,0,{},0.0,"{""common_neighbor_bin_l1"": 0.0, ""degree_product_bin_l1"": 0.0, ""is_boundary_edge_l1"": 0.0, ""is_bridge_edge_l1"": 0.0, ""is_inter_community_edge_l1"": 0.0, ""is_low_common_neighbor_edge_l1"": 0.0, ""mean_l1"": 0.0}",1,32,32,40856.1875,0
realworld_completed,rt_twitter_copen,Structure-matched-candidate,structure_matched,SASB-structured,20260513,8,early,0.9908015768725361,0.9750328515111695,0.015768725361366642,2,3,1,0.007774538386783284,0.008746355685131196,144,465,144--465,18,2,2,18,36,0,0.0,1,16,11,32,"[""42"", ""65"", ""651"", ""659"", ""582"", ""469"", ""619"", ""467"", ""750"", ""599"", ""287"", ""330"", ""144"", ""437"", ""734"", ""143"", ""280"", ""326"", ""94"", ""344"", ""459"", ""706"", ""47"", ""80"", ""44"", ""62"", ""425"", ""675"", ""607"", ""421"", ""483"", ""37""]",863c22c39dd57f3da232673558460be9542ffa8c9e0b5fe4468f20c6be0bb7eb,"{""boundary"": 12, ""community_rep"": 6, ""degree_core"": 10, ""random_fill"": 4}","{""degree_0_1"": 2, ""degree_2"": 1, ""degree_3_4"": 1, ""degree_5_8"": 1, ""degree_9_plus"": 27}","{""0"": 1, ""1"": 1, ""10"": 4, ""11"": 1, ""12"": 1, ""13"": 7, ""14"": 1, ""15"": 1, ""16"": 1, ""18"": 1, ""19"": 2, ""2"": 2, ""3"": 1, ""4"": 1, ""5"": 1, ""6"": 2, ""7"": 3, ""8"": 1}",212,"{""backend"": ""evaluate_m19_theory_calibrated.candidate_features"", ""delta_mode"": ""none"", ""k_max"": 512, ""k_min"": 64, ""variant"": ""conservative""}",212,0.20886699507389161,0.7311320754716981,0.7311320754716981,0.04716981132075472,0.8301886792452831,"{""dp_17_64"": 0.22169811320754718, ""dp_257_plus"": 0.20754716981132076, ""dp_5_16"": 0.018867924528301886, ""dp_65_256"": 0.5518867924528302}","{""cn_0"": 0.6367924528301887, ""cn_1"": 0.19339622641509435, ""cn_2_3"": 0.14150943396226415, ""cn_4_8"": 0.02830188679245283}",0.6462264150943396,178.53773584905662,random_edges_structure_matched_to_sasb,fe6293b9fdee1c74b08665b4c1f56419fafbbd91e83ed1ce577aaf71a5aed6a0,212,07de4183b49cc0fb3fdbdfc15b0b97b091eba0e2858d4fb83d70b37ab0b2404b,"{""strict"": 212}",212,0,0,0,{},0.0,"{""common_neighbor_bin_l1"": 0.0, ""degree_product_bin_l1"": 0.0, ""is_boundary_edge_l1"": 0.0, ""is_bridge_edge_l1"": 0.0, ""is_inter_community_edge_l1"": 0.0, ""is_low_common_neighbor_edge_l1"": 0.0, ""mean_l1"": 0.0}",1,32,32,26248.625,0
realworld_completed,rt_twitter_copen,Structure-matched-candidate,structure_matched,SASB-structured,20260513,9,early,0.9750328515111695,0.9750328515111695,0.0,3,3,0,0.008746355685131196,0.009718172983479106,398,722,398--722,8,9,8,9,72,0,0.0,1,17,1,32,"[""42"", ""65"", ""651"", ""659"", ""582"", ""469"", ""619"", ""467"", ""750"", ""599"", ""287"", ""330"", ""437"", ""734"", ""144"", ""143"", ""280"", ""326"", ""94"", ""344"", ""459"", ""706"", ""47"", ""80"", ""44"", ""62"", ""425"", ""675"", ""540"", ""171"", ""596"", ""53""]",45d8d9b3cb3d5d4fe44a356065ecad89035dfcc08fb3cb6fd869c249153aaadd,"{""boundary"": 12, ""community_rep"": 6, ""degree_core"": 10, ""random_fill"": 4}","{""degree_0_1"": 3, ""degree_5_8"": 2, ""degree_9_plus"": 27}","{""0"": 1, ""1"": 1, ""10"": 3, ""11"": 1, ""12"": 1, ""13"": 7, ""14"": 2, ""15"": 2, ""16"": 1, ""18"": 1, ""19"": 2, ""2"": 3, ""3"": 1, ""5"": 1, ""6"": 1, ""7"": 3, ""8"": 1}",210,"{""backend"": ""evaluate_m19_theory_calibrated.candidate_features"", ""delta_mode"": ""none"", ""k_max"": 512, ""k_min"": 64, ""variant"": ""conservative""}",210,0.20958083832335328,0.7333333333333333,0.7333333333333333,0.04285714285714286,0.8285714285714286,"{""dp_17_64"": 0.21904761904761905, ""dp_257_plus"": 0.20952380952380953, ""dp_5_16"": 0.01904761904761905, ""dp_65_256"": 0.5523809523809524}","{""cn_0"": 0.638095238095238, ""cn_1"": 0.19047619047619047, ""cn_2_3"": 0.14285714285714285, ""cn_4_8"": 0.02857142857142857}",0.6476190476190476,180.60476190476192,random_edges_structure_matched_to_sasb,e6c7bc957be461f49a98d31fd8811fdb3cb7477b8f2d46a48e678ea0d508d381,210,931dea280961e4b8e9a69b0f4ddce46aea9082e78f829dd2a5ae685837e1c2c2,"{""strict"": 210}",210,0,0,0,{},0.0,"{""common_neighbor_bin_l1"": 0.0, ""degree_product_bin_l1"": 0.0, ""is_boundary_edge_l1"": 0.0, ""is_bridge_edge_l1"": 0.0, ""is_inter_community_edge_l1"": 0.0, ""is_low_common_neighbor_edge_l1"": 0.0, ""mean_l1"": 0.0}",1,32,32,19300.02785790598,0
