dataset,graph_id,method,candidate_policy,source_policy,seed,step,attack_phase,gcc_before,gcc_after,delta_gcc,num_components_before,num_components_after,is_bridge_before_removal,remove_ratio_before,remove_ratio_after,edge_u,edge_v,selected_edge,degree_u,degree_v,degree_min,degree_max,degree_product,common_neighbors,edge_embeddedness,is_inter_community_edge,community_u,community_v,source_count,source_nodes,source_node_hash,source_strata_counts,source_degree_bins,source_community_counts,adaptive_k,candidate_config,candidate_count,candidate_fraction,candidate_inter_community_ratio,candidate_boundary_ratio,candidate_bridge_ratio,candidate_low_cn_ratio,candidate_degree_product_distribution,candidate_common_neighbor_distribution,candidate_mean_common_neighbors,candidate_mean_degree_product,candidate_backend,candidate_hash,sasb_candidate_count_reference,sasb_candidate_hash_reference,match_mode_counts,strict_match_count,degree_only_match_count,community_only_match_count,fallback_count,fallback_reason,matched_feature_difference,matched_feature_difference_detail,candidate_count_equal_to_sasb,source_budget,true_source_traversal_count,sampled_betweenness_score,p2_degree_product_fallback
realworld_completed,soc_dolphins,Random-size-matched-candidate,random_size_matched,SASB-structured,20260513,0,early,1.0,1.0,0.0,1,1,0,0.0,0.006289308176100629,1,30,1--30,8,7,7,8,56,0,0.0,1,5,3,32,"[""31"", ""13"", ""30"", ""40"", ""1"", ""35"", ""60"", ""6"", ""22"", ""9"", ""46"", ""50"", ""27"", ""47"", ""53"", ""32"", ""5"", ""10"", ""38"", ""61"", ""7"", ""0"", ""42"", ""44"", ""39"", ""14"", ""41"", ""49"", ""36"", ""3"", ""58"", ""57""]",d389243c900c391b360c6d569d699ff0bb2ae0791285008b7e0088adf625bdb6,"{""boundary"": 12, ""community_rep"": 1, ""degree_core"": 10, ""random_fill"": 9}","{""degree_0_1"": 2, ""degree_2"": 3, ""degree_3_4"": 2, ""degree_5_8"": 16, ""degree_9_plus"": 9}","{""0"": 4, ""1"": 7, ""2"": 11, ""3"": 2, ""4"": 7, ""5"": 1}",64,"{""backend"": ""evaluate_m19_theory_calibrated.candidate_features"", ""delta_mode"": ""none"", ""k_max"": 512, ""k_min"": 64, ""variant"": ""conservative""}",64,0.4025157232704403,0.265625,0.265625,0.0625,0.65625,"{""dp_0_4"": 0.015625, ""dp_17_64"": 0.578125, ""dp_5_16"": 0.171875, ""dp_65_256"": 0.234375}","{""cn_0"": 0.46875, ""cn_1"": 0.1875, ""cn_2_3"": 0.25, ""cn_4_8"": 0.09375}",1.203125,46.90625,uniform_random_edges_size_matched_to_sasb,2c9c293bb538f76f68b4f1e00abaa82ab9fe23f548cb8b6b708cbb66f0991837,64,479f0682428f5c0dca0ad143569aead2b55041c99ee1acdc9d22c65165d1b5a8,"{""random_size_matched"": 64}",0,0,0,0,{},0.40625,"{""common_neighbor_bin_l1"": 0.15625, ""degree_product_bin_l1"": 0.3125, ""is_boundary_edge_l1"": 0.84375, ""is_bridge_edge_l1"": 0.125, ""is_inter_community_edge_l1"": 0.84375, ""is_low_common_neighbor_edge_l1"": 0.15625, ""mean_l1"": 0.40625}",1,32,32,614.8488209474797,0
realworld_completed,soc_dolphins,Random-size-matched-candidate,random_size_matched,SASB-structured,20260513,1,early,1.0,1.0,0.0,1,1,0,0.006289308176100629,0.012578616352201259,35,59,35--59,8,5,5,8,40,0,0.0,1,2,0,32,"[""31"", ""13"", ""40"", ""35"", ""30"", ""60"", ""6"", ""22"", ""9"", ""1"", ""46"", ""50"", ""27"", ""47"", ""53"", ""32"", ""5"", ""10"", ""38"", ""61"", ""7"", ""0"", ""42"", ""19"", ""43"", ""2"", ""18"", ""17"", ""33"", ""54"", ""25"", ""58""]",412e78ac36cbd3b6c3cffc148b9046442e3b714e2312a52f5c35185c0bd57c07,"{""boundary"": 12, ""community_rep"": 1, ""degree_core"": 10, ""random_fill"": 9}","{""degree_0_1"": 3, ""degree_2"": 1, ""degree_3_4"": 3, ""degree_5_8"": 16, ""degree_9_plus"": 9}","{""0"": 4, ""1"": 6, ""2"": 9, ""3"": 3, ""4"": 7, ""5"": 3}",64,"{""backend"": ""evaluate_m19_theory_calibrated.candidate_features"", ""delta_mode"": ""none"", ""k_max"": 512, ""k_min"": 64, ""variant"": ""conservative""}",64,0.4050632911392405,0.28125,0.28125,0.03125,0.609375,"{""dp_0_4"": 0.015625, ""dp_17_64"": 0.671875, ""dp_5_16"": 0.109375, ""dp_65_256"": 0.203125}","{""cn_0"": 0.40625, ""cn_1"": 0.203125, ""cn_2_3"": 0.265625, ""cn_4_8"": 0.125}",1.453125,44.5625,uniform_random_edges_size_matched_to_sasb,0b39ef611f3d253416f5d21cd351182ca223836d5ccea91ee4eeb504d5123938,64,b50834394bb85b0e57f739f30dbefd727bf38c9f51e113ec0e83333f935d4682,"{""random_size_matched"": 64}",0,0,0,0,{},0.40625,"{""common_neighbor_bin_l1"": 0.25, ""degree_product_bin_l1"": 0.3125, ""is_boundary_edge_l1"": 0.78125, ""is_bridge_edge_l1"": 0.0625, ""is_inter_community_edge_l1"": 0.78125, ""is_low_common_neighbor_edge_l1"": 0.25, ""mean_l1"": 0.40625}",1,32,32,578.8603570445889,0
realworld_completed,soc_dolphins,Random-size-matched-candidate,random_size_matched,SASB-structured,20260513,2,early,1.0,1.0,0.0,1,1,0,0.012578616352201259,0.018867924528301886,13,21,13--21,9,5,5,9,45,2,0.5,1,2,4,32,"[""31"", ""13"", ""40"", ""30"", ""60"", ""6"", ""22"", ""9"", ""1"", ""35"", ""46"", ""50"", ""27"", ""47"", ""53"", ""32"", ""5"", ""10"", ""38"", ""61"", ""7"", ""0"", ""42"", ""20"", ""21"", ""39"", ""34"", ""8"", ""44"", ""3"", ""41"", ""28""]",3d998b8619c1660c9e857e158ee669e0453f8dfcf8fd492b01bacfc7f0357810,"{""boundary"": 12, ""community_rep"": 1, ""degree_core"": 10, ""random_fill"": 9}","{""degree_0_1"": 2, ""degree_2"": 2, ""degree_3_4"": 1, ""degree_5_8"": 18, ""degree_9_plus"": 9}","{""0"": 2, ""1"": 7, ""2"": 13, ""3"": 2, ""4"": 5, ""5"": 3}",64,"{""backend"": ""evaluate_m19_theory_calibrated.candidate_features"", ""delta_mode"": ""none"", ""k_max"": 512, ""k_min"": 64, ""variant"": ""conservative""}",64,0.40764331210191085,0.25,0.25,0.0625,0.578125,"{""dp_0_4"": 0.015625, ""dp_17_64"": 0.546875, ""dp_5_16"": 0.15625, ""dp_65_256"": 0.28125}","{""cn_0"": 0.4375, ""cn_1"": 0.140625, ""cn_2_3"": 0.34375, ""cn_4_8"": 0.078125}",1.265625,46.984375,uniform_random_edges_size_matched_to_sasb,d7941b98d848f9036d286b9acba05cab5e5d0eb71958b9f1f5a7e2378ebbce74,64,ed02eb55c075122b26b710a55ffe436e0f247ed20294b21216811780d37bf0cf,"{""random_size_matched"": 64}",0,0,0,0,{},0.4322916666666667,"{""common_neighbor_bin_l1"": 0.28125, ""degree_product_bin_l1"": 0.28125, ""is_boundary_edge_l1"": 0.8125, ""is_bridge_edge_l1"": 0.125, ""is_inter_community_edge_l1"": 0.8125, ""is_low_common_neighbor_edge_l1"": 0.28125, ""mean_l1"": 0.4322916666666667}",1,32,32,451.70498121292945,0
realworld_completed,soc_dolphins,Random-size-matched-candidate,random_size_matched,SASB-structured,20260513,3,early,1.0,1.0,0.0,1,1,0,0.018867924528301886,0.025157232704402517,13,30,13--30,8,6,6,8,48,0,0.0,0,2,2,32,"[""31"", ""40"", ""13"", ""30"", ""60"", ""6"", ""22"", ""9"", ""1"", ""35"", ""46"", ""50"", ""27"", ""47"", ""53"", ""32"", ""5"", ""10"", ""38"", ""61"", ""7"", ""0"", ""42"", ""55"", ""11"", ""16"", ""15"", ""21"", ""43"", ""18"", ""14"", ""26""]",520e68a5e3b2d6b37718f8e02d6331d9496fd501928420201db81368f995400d,"{""boundary"": 12, ""community_rep"": 1, ""degree_core"": 10, ""random_fill"": 9}","{""degree_0_1"": 2, ""degree_3_4"": 5, ""degree_5_8"": 17, ""degree_9_plus"": 8}","{""0"": 2, ""1"": 7, ""2"": 8, ""3"": 3, ""4"": 8, ""5"": 4}",64,"{""backend"": ""evaluate_m19_theory_calibrated.candidate_features"", ""delta_mode"": ""none"", ""k_max"": 512, ""k_min"": 64, ""variant"": ""conservative""}",64,0.41025641025641024,0.28125,0.28125,0.03125,0.625,"{""dp_0_4"": 0.03125, ""dp_17_64"": 0.59375, ""dp_5_16"": 0.125, ""dp_65_256"": 0.25}","{""cn_0"": 0.421875, ""cn_1"": 0.203125, ""cn_2_3"": 0.296875, ""cn_4_8"": 0.078125}",1.296875,45.828125,uniform_random_edges_size_matched_to_sasb,b522f6c771d1a40392fc0eac66e12367b826f2de7984c6b6b59dccad53e0381e,64,27365dde860587c1bcbe6f1bfed5cc1f7e0e6f58b06d755147e8a0c9666fb3c1,"{""random_size_matched"": 64}",0,0,0,0,{},0.3645833333333333,"{""common_neighbor_bin_l1"": 0.21875, ""degree_product_bin_l1"": 0.25, ""is_boundary_edge_l1"": 0.71875, ""is_bridge_edge_l1"": 0.0625, ""is_inter_community_edge_l1"": 0.71875, ""is_low_common_neighbor_edge_l1"": 0.21875, ""mean_l1"": 0.3645833333333333}",1,32,32,233.75039327111517,0
realworld_completed,soc_dolphins,Random-size-matched-candidate,random_size_matched,SASB-structured,20260513,4,early,1.0,1.0,0.0,1,1,0,0.025157232704402517,0.031446540880503145,30,33,30--33,5,2,2,5,10,0,0.0,0,3,3,32,"[""31"", ""40"", ""60"", ""6"", ""22"", ""9"", ""1"", ""13"", ""35"", ""46"", ""50"", ""7"", ""27"", ""47"", ""53"", ""32"", ""5"", ""10"", ""38"", ""61"", ""0"", ""14"", ""42"", ""59"", ""8"", ""45"", ""23"", ""12"", ""57"", ""11"", ""54"", ""58""]",551560a8d62c085d3558674c7fa5ccfd1fdf8c50a02f7ebacb4b1390b9713a00,"{""boundary"": 12, ""community_rep"": 1, ""degree_core"": 10, ""random_fill"": 9}","{""degree_0_1"": 2, ""degree_3_4"": 6, ""degree_5_8"": 16, ""degree_9_plus"": 8}","{""0"": 4, ""1"": 6, ""2"": 10, ""3"": 2, ""4"": 7, ""5"": 3}",64,"{""backend"": ""evaluate_m19_theory_calibrated.candidate_features"", ""delta_mode"": ""none"", ""k_max"": 512, ""k_min"": 64, ""variant"": ""conservative""}",64,0.4129032258064516,0.265625,0.265625,0.078125,0.671875,"{""dp_0_4"": 0.015625, ""dp_17_64"": 0.59375, ""dp_5_16"": 0.1875, ""dp_65_256"": 0.203125}","{""cn_0"": 0.484375, ""cn_1"": 0.1875, ""cn_2_3"": 0.234375, ""cn_4_8"": 0.09375}",1.203125,43.421875,uniform_random_edges_size_matched_to_sasb,91f7e1bd17d76bc25fad1f08bba0b065f095f5e58b5952bf12fc43fe8a96484f,64,c907e2c127629f6d29f6bf71ff0b30a400778f90bc43c740c34b4447fe1bfb1a,"{""random_size_matched"": 64}",0,0,0,0,{},0.359375,"{""common_neighbor_bin_l1"": 0.15625, ""degree_product_bin_l1"": 0.3125, ""is_boundary_edge_l1"": 0.71875, ""is_bridge_edge_l1"": 0.15625, ""is_inter_community_edge_l1"": 0.71875, ""is_low_common_neighbor_edge_l1"": 0.09375, ""mean_l1"": 0.359375}",1,32,32,693.5026124823598,0
realworld_completed,soc_dolphins,Random-size-matched-candidate,random_size_matched,SASB-structured,20260513,5,early,1.0,1.0,0.0,1,1,0,0.031446540880503145,0.03773584905660377,21,60,21--60,4,6,4,6,24,0,0.0,1,3,1,32,"[""31"", ""40"", ""60"", ""6"", ""22"", ""9"", ""1"", ""13"", ""35"", ""46"", ""50"", ""7"", ""27"", ""47"", ""53"", ""32"", ""5"", ""10"", ""38"", ""61"", ""0"", ""14"", ""42"", ""48"", ""36"", ""54"", ""20"", ""12"", ""26"", ""45"", ""49"", ""44""]",9a9f03728d70576e9e9a9867f977d11adc4ffe89ef4e582edbb8601aa92607c1,"{""boundary"": 12, ""community_rep"": 1, ""degree_core"": 10, ""random_fill"": 9}","{""degree_0_1"": 1, ""degree_2"": 2, ""degree_3_4"": 4, ""degree_5_8"": 17, ""degree_9_plus"": 8}","{""0"": 4, ""1"": 6, ""2"": 11, ""3"": 1, ""4"": 8, ""5"": 2}",64,"{""backend"": ""evaluate_m19_theory_calibrated.candidate_features"", ""delta_mode"": ""none"", ""k_max"": 512, ""k_min"": 64, ""variant"": ""conservative""}",64,0.4155844155844156,0.234375,0.234375,0.03125,0.546875,"{""dp_0_4"": 0.015625, ""dp_17_64"": 0.609375, ""dp_5_16"": 0.125, ""dp_65_256"": 0.25}","{""cn_0"": 0.34375, ""cn_1"": 0.203125, ""cn_2_3"": 0.328125, ""cn_4_8"": 0.125}",1.53125,46.484375,uniform_random_edges_size_matched_to_sasb,c4c6248412af214dcf8eee5cde484637dd4bcc70a9ee7eb9f258dc2a7852037f,64,c907e2c127629f6d29f6bf71ff0b30a400778f90bc43c740c34b4447fe1bfb1a,"{""random_size_matched"": 64}",0,0,0,0,{},0.4114583333333333,"{""common_neighbor_bin_l1"": 0.34375, ""degree_product_bin_l1"": 0.1875, ""is_boundary_edge_l1"": 0.78125, ""is_bridge_edge_l1"": 0.03125, ""is_inter_community_edge_l1"": 0.78125, ""is_low_common_neighbor_edge_l1"": 0.34375, ""mean_l1"": 0.4114583333333333}",1,32,32,980.9986088532002,0
realworld_completed,soc_dolphins,Random-size-matched-candidate,random_size_matched,SASB-structured,20260513,6,early,1.0,1.0,0.0,1,1,0,0.03773584905660377,0.0440251572327044,1,21,1--21,7,3,3,7,21,0,0.0,1,3,0,32,"[""31"", ""40"", ""6"", ""22"", ""9"", ""1"", ""13"", ""35"", ""46"", ""50"", ""7"", ""0"", ""27"", ""47"", ""53"", ""32"", ""5"", ""10"", ""38"", ""61"", ""14"", ""17"", ""42"", ""60"", ""59"", ""34"", ""26"", ""16"", ""24"", ""8"", ""21"", ""49""]",22b2c7b9d0144be4cddba1a6b1e4109574e8f29b8b30ef020e437862d4665995,"{""boundary"": 12, ""community_rep"": 2, ""degree_core"": 10, ""random_fill"": 8}","{""degree_0_1"": 1, ""degree_2"": 1, ""degree_3_4"": 4, ""degree_5_8"": 18, ""degree_9_plus"": 8}","{""0"": 3, ""1"": 9, ""2"": 9, ""3"": 1, ""4"": 6, ""5"": 4}",64,"{""backend"": ""evaluate_m19_theory_calibrated.candidate_features"", ""delta_mode"": ""none"", ""k_max"": 512, ""k_min"": 64, ""variant"": ""conservative""}",64,0.41830065359477125,0.25,0.25,0.046875,0.5625,"{""dp_17_64"": 0.578125, ""dp_5_16"": 0.21875, ""dp_65_256"": 0.203125}","{""cn_0"": 0.421875, ""cn_1"": 0.140625, ""cn_2_3"": 0.34375, ""cn_4_8"": 0.09375}",1.421875,44.65625,uniform_random_edges_size_matched_to_sasb,ba72440207dff310c60bf4c01aa52f74f5ba60e5e33085cfeec774d403377c67,64,7d5ca46881b04333c66b78ebcbdd365bdf32ac1102650fc59d3b5a962db8760a,"{""random_size_matched"": 64}",0,0,0,0,{},0.3958333333333333,"{""common_neighbor_bin_l1"": 0.28125, ""degree_product_bin_l1"": 0.3125, ""is_boundary_edge_l1"": 0.71875, ""is_bridge_edge_l1"": 0.0625, ""is_inter_community_edge_l1"": 0.71875, ""is_low_common_neighbor_edge_l1"": 0.28125, ""mean_l1"": 0.3958333333333333}",1,32,32,776.903372066825,0
realworld_completed,soc_dolphins,Random-size-matched-candidate,random_size_matched,SASB-structured,20260513,7,early,1.0,1.0,0.0,1,1,0,0.0440251572327044,0.050314465408805034,24,42,24--42,5,6,5,6,30,2,0.5,0,0,0,32,"[""31"", ""40"", ""6"", ""22"", ""9"", ""13"", ""35"", ""46"", ""50"", ""7"", ""0"", ""1"", ""27"", ""47"", ""53"", ""32"", ""5"", ""10"", ""38"", ""61"", ""14"", ""17"", ""42"", ""60"", ""41"", ""58"", ""2"", ""11"", ""51"", ""26"", ""25"", ""16""]",feb98b089f403082d47e9ee49b63f39c5e3633364550eaa93a55c668ea35340e,"{""boundary"": 12, ""community_rep"": 2, ""degree_core"": 10, ""random_fill"": 8}","{""degree_0_1"": 1, ""degree_2"": 2, ""degree_3_4"": 4, ""degree_5_8"": 17, ""degree_9_plus"": 8}","{""0"": 4, ""1"": 9, ""2"": 9, ""3"": 1, ""4"": 7, ""5"": 2}",64,"{""backend"": ""evaluate_m19_theory_calibrated.candidate_features"", ""delta_mode"": ""none"", ""k_max"": 512, ""k_min"": 64, ""variant"": ""conservative""}",64,0.42105263157894735,0.296875,0.296875,0.0625,0.609375,"{""dp_0_4"": 0.03125, ""dp_17_64"": 0.625, ""dp_5_16"": 0.140625, ""dp_65_256"": 0.203125}","{""cn_0"": 0.453125, ""cn_1"": 0.15625, ""cn_2_3"": 0.265625, ""cn_4_8"": 0.125}",1.390625,46.234375,uniform_random_edges_size_matched_to_sasb,4e37694f9cd0a018bc2f0d05bc0c51ce8ba3f5fecd113db76d471fe0dff53756,64,1ef59e4477758f459ebc989a2b2ae837d3b80c477face8d873e430cae823944b,"{""random_size_matched"": 64}",0,0,0,0,{},0.328125,"{""common_neighbor_bin_l1"": 0.1875, ""degree_product_bin_l1"": 0.28125, ""is_boundary_edge_l1"": 0.625, ""is_bridge_edge_l1"": 0.09375, ""is_inter_community_edge_l1"": 0.625, ""is_low_common_neighbor_edge_l1"": 0.15625, ""mean_l1"": 0.328125}",1,32,32,697.973051948052,0
realworld_completed,soc_dolphins,Random-size-matched-candidate,random_size_matched,SASB-structured,20260513,8,early,1.0,1.0,0.0,1,1,0,0.050314465408805034,0.05660377358490566,24,37,24--37,4,6,4,6,24,0,0.0,0,0,0,32,"[""31"", ""40"", ""6"", ""22"", ""9"", ""13"", ""35"", ""46"", ""50"", ""7"", ""0"", ""1"", ""27"", ""47"", ""53"", ""32"", ""5"", ""10"", ""38"", ""61"", ""14"", ""17"", ""60"", ""49"", ""36"", ""15"", ""4"", ""48"", ""8"", ""45"", ""20"", ""3""]",446f762d81911fdfe117f2e9f76ada339d6fdff807efb9e50ddf81681ea9ce36,"{""boundary"": 12, ""community_rep"": 1, ""degree_core"": 10, ""random_fill"": 9}","{""degree_0_1"": 3, ""degree_2"": 1, ""degree_3_4"": 2, ""degree_5_8"": 18, ""degree_9_plus"": 8}","{""0"": 2, ""1"": 8, ""2"": 11, ""3"": 1, ""4"": 8, ""5"": 2}",64,"{""backend"": ""evaluate_m19_theory_calibrated.candidate_features"", ""delta_mode"": ""none"", ""k_max"": 512, ""k_min"": 64, ""variant"": ""conservative""}",64,0.423841059602649,0.296875,0.296875,0.046875,0.625,"{""dp_17_64"": 0.5625, ""dp_5_16"": 0.203125, ""dp_65_256"": 0.234375}","{""cn_0"": 0.453125, ""cn_1"": 0.171875, ""cn_2_3"": 0.296875, ""cn_4_8"": 0.078125}",1.25,45.578125,uniform_random_edges_size_matched_to_sasb,4a93ae53229927b536855fd94451f40c439a51df6ae374833d4ca8e6f0f1fb7b,64,3117610bbc14d289f23cda680fa06ebaa516121262710640a0675dcf92d7ed24,"{""random_size_matched"": 64}",0,0,0,0,{},0.3020833333333333,"{""common_neighbor_bin_l1"": 0.15625, ""degree_product_bin_l1"": 0.25, ""is_boundary_edge_l1"": 0.59375, ""is_bridge_edge_l1"": 0.0625, ""is_inter_community_edge_l1"": 0.59375, ""is_low_common_neighbor_edge_l1"": 0.15625, ""mean_l1"": 0.3020833333333333}",1,32,32,1631.0659226190476,0
realworld_completed,soc_dolphins,Random-size-matched-candidate,random_size_matched,SASB-structured,20260513,9,early,1.0,0.6290322580645161,0.3709677419354839,1,2,1,0.05660377358490566,0.06289308176100629,21,42,21--42,2,5,2,5,10,0,0.0,1,3,0,32,"[""31"", ""40"", ""6"", ""22"", ""9"", ""13"", ""35"", ""46"", ""50"", ""7"", ""0"", ""1"", ""27"", ""47"", ""53"", ""32"", ""5"", ""10"", ""38"", ""61"", ""14"", ""17"", ""60"", ""25"", ""4"", ""21"", ""37"", ""28"", ""51"", ""12"", ""15"", ""42""]",72b7f50cd0dee2a46ad3c98b87fe3a2353d7d7e16e6c39531123369fb3133d66,"{""boundary"": 12, ""community_rep"": 1, ""degree_core"": 10, ""random_fill"": 9}","{""degree_0_1"": 3, ""degree_2"": 2, ""degree_3_4"": 1, ""degree_5_8"": 18, ""degree_9_plus"": 8}","{""0"": 4, ""1"": 8, ""2"": 10, ""3"": 1, ""4"": 7, ""5"": 2}",64,"{""backend"": ""evaluate_m19_theory_calibrated.candidate_features"", ""delta_mode"": ""none"", ""k_max"": 512, ""k_min"": 64, ""variant"": ""conservative""}",64,0.4266666666666667,0.265625,0.265625,0.046875,0.546875,"{""dp_0_4"": 0.015625, ""dp_17_64"": 0.609375, ""dp_5_16"": 0.171875, ""dp_65_256"": 0.203125}","{""cn_0"": 0.40625, ""cn_1"": 0.140625, ""cn_2_3"": 0.296875, ""cn_4_8"": 0.15625}",1.546875,44.578125,uniform_random_edges_size_matched_to_sasb,c6a91389be7cc80269d78b3357a81cef11755fd0407670769d18aacd98c67066,64,1bb58b355125de2e3dab482e0b8eca8d0e6453ad9c1704e3f04e58548759b78b,"{""random_size_matched"": 64}",0,0,0,0,{},0.359375,"{""common_neighbor_bin_l1"": 0.28125, ""degree_product_bin_l1"": 0.3125, ""is_boundary_edge_l1"": 0.625, ""is_bridge_edge_l1"": 0.03125, ""is_inter_community_edge_l1"": 0.625, ""is_low_common_neighbor_edge_l1"": 0.28125, ""mean_l1"": 0.359375}",1,32,32,1705.0,0
