dataset,graph_id,method,candidate_policy,source_policy,seed,step,attack_phase,gcc_before,gcc_after,delta_gcc,num_components_before,num_components_after,is_bridge_before_removal,remove_ratio_before,remove_ratio_after,edge_u,edge_v,selected_edge,degree_u,degree_v,degree_min,degree_max,degree_product,common_neighbors,edge_embeddedness,is_inter_community_edge,community_u,community_v,source_count,source_nodes,source_node_hash,source_strata_counts,source_degree_bins,source_community_counts,adaptive_k,candidate_config,candidate_count,candidate_fraction,candidate_inter_community_ratio,candidate_boundary_ratio,candidate_bridge_ratio,candidate_low_cn_ratio,candidate_degree_product_distribution,candidate_common_neighbor_distribution,candidate_mean_common_neighbors,candidate_mean_degree_product,candidate_backend,candidate_hash,sasb_candidate_count_reference,sasb_candidate_hash_reference,match_mode_counts,strict_match_count,degree_only_match_count,community_only_match_count,fallback_count,fallback_reason,matched_feature_difference,matched_feature_difference_detail,candidate_count_equal_to_sasb,source_budget,true_source_traversal_count,sampled_betweenness_score,p2_degree_product_fallback
realworld_completed,soc_dolphins,SASB-candidate,sasb,SASB-structured,20260513,0,early,1.0,1.0,0.0,1,1,0,0.0,0.006289308176100629,1,30,1--30,8,7,7,8,56,0,0.0,1,5,3,32,"[""31"", ""13"", ""30"", ""40"", ""1"", ""35"", ""60"", ""6"", ""22"", ""9"", ""46"", ""50"", ""27"", ""47"", ""53"", ""32"", ""5"", ""10"", ""38"", ""61"", ""7"", ""0"", ""42"", ""44"", ""39"", ""14"", ""41"", ""49"", ""36"", ""3"", ""58"", ""57""]",d389243c900c391b360c6d569d699ff0bb2ae0791285008b7e0088adf625bdb6,"{""boundary"": 12, ""community_rep"": 1, ""degree_core"": 10, ""random_fill"": 9}","{""degree_0_1"": 2, ""degree_2"": 3, ""degree_3_4"": 2, ""degree_5_8"": 16, ""degree_9_plus"": 9}","{""0"": 4, ""1"": 7, ""2"": 11, ""3"": 2, ""4"": 7, ""5"": 1}",64,"{""backend"": ""evaluate_m19_theory_calibrated.candidate_features"", ""delta_mode"": ""none"", ""k_max"": 512, ""k_min"": 64, ""variant"": ""conservative""}",64,0.4025157232704403,0.6875,0.6875,0.0,0.734375,"{""dp_17_64"": 0.609375, ""dp_5_16"": 0.03125, ""dp_65_256"": 0.359375}","{""cn_0"": 0.484375, ""cn_1"": 0.25, ""cn_2_3"": 0.25, ""cn_4_8"": 0.015625}",0.84375,54.90625,sasb_candidate_builder,479f0682428f5c0dca0ad143569aead2b55041c99ee1acdc9d22c65165d1b5a8,64,479f0682428f5c0dca0ad143569aead2b55041c99ee1acdc9d22c65165d1b5a8,"{""sasb_builder"": 64}",0,0,0,0,{},0.0,"{""common_neighbor_bin_l1"": 0.0, ""degree_product_bin_l1"": 0.0, ""is_boundary_edge_l1"": 0.0, ""is_bridge_edge_l1"": 0.0, ""is_inter_community_edge_l1"": 0.0, ""is_low_common_neighbor_edge_l1"": 0.0, ""mean_l1"": 0.0}",1,32,32,614.8488209474797,0
realworld_completed,soc_dolphins,SASB-candidate,sasb,SASB-structured,20260513,1,early,1.0,1.0,0.0,1,1,0,0.006289308176100629,0.012578616352201259,35,59,35--59,8,5,5,8,40,0,0.0,1,2,0,32,"[""31"", ""13"", ""40"", ""35"", ""30"", ""60"", ""6"", ""22"", ""9"", ""1"", ""46"", ""50"", ""27"", ""47"", ""53"", ""32"", ""5"", ""10"", ""38"", ""61"", ""7"", ""0"", ""42"", ""19"", ""43"", ""2"", ""18"", ""17"", ""33"", ""54"", ""25"", ""58""]",412e78ac36cbd3b6c3cffc148b9046442e3b714e2312a52f5c35185c0bd57c07,"{""boundary"": 12, ""community_rep"": 1, ""degree_core"": 10, ""random_fill"": 9}","{""degree_0_1"": 3, ""degree_2"": 1, ""degree_3_4"": 3, ""degree_5_8"": 16, ""degree_9_plus"": 9}","{""0"": 4, ""1"": 6, ""2"": 9, ""3"": 3, ""4"": 7, ""5"": 3}",64,"{""backend"": ""evaluate_m19_theory_calibrated.candidate_features"", ""delta_mode"": ""none"", ""k_max"": 512, ""k_min"": 64, ""variant"": ""conservative""}",64,0.4050632911392405,0.671875,0.671875,0.0,0.734375,"{""dp_17_64"": 0.609375, ""dp_5_16"": 0.03125, ""dp_65_256"": 0.359375}","{""cn_0"": 0.484375, ""cn_1"": 0.25, ""cn_2_3"": 0.25, ""cn_4_8"": 0.015625}",0.84375,54.5625,sasb_candidate_builder,b50834394bb85b0e57f739f30dbefd727bf38c9f51e113ec0e83333f935d4682,64,b50834394bb85b0e57f739f30dbefd727bf38c9f51e113ec0e83333f935d4682,"{""sasb_builder"": 64}",0,0,0,0,{},0.0,"{""common_neighbor_bin_l1"": 0.0, ""degree_product_bin_l1"": 0.0, ""is_boundary_edge_l1"": 0.0, ""is_bridge_edge_l1"": 0.0, ""is_inter_community_edge_l1"": 0.0, ""is_low_common_neighbor_edge_l1"": 0.0, ""mean_l1"": 0.0}",1,32,32,578.8603570445889,0
realworld_completed,soc_dolphins,SASB-candidate,sasb,SASB-structured,20260513,2,early,1.0,1.0,0.0,1,1,0,0.012578616352201259,0.018867924528301886,1,21,1--21,7,5,5,7,35,0,0.0,0,4,4,32,"[""31"", ""13"", ""40"", ""30"", ""60"", ""6"", ""22"", ""9"", ""1"", ""35"", ""46"", ""50"", ""27"", ""47"", ""53"", ""32"", ""5"", ""10"", ""38"", ""61"", ""7"", ""0"", ""42"", ""20"", ""21"", ""39"", ""34"", ""8"", ""44"", ""3"", ""41"", ""28""]",3d998b8619c1660c9e857e158ee669e0453f8dfcf8fd492b01bacfc7f0357810,"{""boundary"": 12, ""community_rep"": 1, ""degree_core"": 10, ""random_fill"": 9}","{""degree_0_1"": 2, ""degree_2"": 2, ""degree_3_4"": 1, ""degree_5_8"": 18, ""degree_9_plus"": 9}","{""0"": 2, ""1"": 7, ""2"": 13, ""3"": 2, ""4"": 5, ""5"": 3}",64,"{""backend"": ""evaluate_m19_theory_calibrated.candidate_features"", ""delta_mode"": ""none"", ""k_max"": 512, ""k_min"": 64, ""variant"": ""conservative""}",64,0.40764331210191085,0.65625,0.65625,0.0,0.71875,"{""dp_17_64"": 0.609375, ""dp_5_16"": 0.03125, ""dp_65_256"": 0.359375}","{""cn_0"": 0.46875, ""cn_1"": 0.25, ""cn_2_3"": 0.265625, ""cn_4_8"": 0.015625}",0.875,54.0,sasb_candidate_builder,ed02eb55c075122b26b710a55ffe436e0f247ed20294b21216811780d37bf0cf,64,ed02eb55c075122b26b710a55ffe436e0f247ed20294b21216811780d37bf0cf,"{""sasb_builder"": 64}",0,0,0,0,{},0.0,"{""common_neighbor_bin_l1"": 0.0, ""degree_product_bin_l1"": 0.0, ""is_boundary_edge_l1"": 0.0, ""is_bridge_edge_l1"": 0.0, ""is_inter_community_edge_l1"": 0.0, ""is_low_common_neighbor_edge_l1"": 0.0, ""mean_l1"": 0.0}",1,32,32,751.6825260601415,0
realworld_completed,soc_dolphins,SASB-candidate,sasb,SASB-structured,20260513,3,early,1.0,1.0,0.0,1,1,0,0.018867924528301886,0.025157232704402517,33,53,33--53,2,9,2,9,18,0,0.0,0,3,3,32,"[""31"", ""13"", ""40"", ""30"", ""60"", ""6"", ""22"", ""9"", ""35"", ""46"", ""50"", ""7"", ""27"", ""47"", ""53"", ""32"", ""5"", ""10"", ""38"", ""61"", ""0"", ""1"", ""42"", ""55"", ""11"", ""16"", ""15"", ""21"", ""43"", ""18"", ""14"", ""26""]",653ed55e7ba6859d2ba83f1c4d7c7930fe69d14faadca428d36037b95a8983f8,"{""boundary"": 12, ""community_rep"": 1, ""degree_core"": 10, ""random_fill"": 9}","{""degree_0_1"": 2, ""degree_3_4"": 5, ""degree_5_8"": 16, ""degree_9_plus"": 9}","{""0"": 2, ""1"": 7, ""2"": 8, ""3"": 3, ""4"": 8, ""5"": 4}",64,"{""backend"": ""evaluate_m19_theory_calibrated.candidate_features"", ""delta_mode"": ""none"", ""k_max"": 512, ""k_min"": 64, ""variant"": ""conservative""}",64,0.41025641025641024,0.65625,0.65625,0.0,0.703125,"{""dp_17_64"": 0.609375, ""dp_5_16"": 0.03125, ""dp_65_256"": 0.359375}","{""cn_0"": 0.453125, ""cn_1"": 0.25, ""cn_2_3"": 0.28125, ""cn_4_8"": 0.015625}",0.90625,53.65625,sasb_candidate_builder,12ae14489bc4607cb6f06a22ef4222f16e8fb3872ea1d248c799d63701aa7515,64,12ae14489bc4607cb6f06a22ef4222f16e8fb3872ea1d248c799d63701aa7515,"{""sasb_builder"": 64}",0,0,0,0,{},0.0,"{""common_neighbor_bin_l1"": 0.0, ""degree_product_bin_l1"": 0.0, ""is_boundary_edge_l1"": 0.0, ""is_bridge_edge_l1"": 0.0, ""is_inter_community_edge_l1"": 0.0, ""is_low_common_neighbor_edge_l1"": 0.0, ""mean_l1"": 0.0}",1,32,32,1079.5758939128502,0
realworld_completed,soc_dolphins,SASB-candidate,sasb,SASB-structured,20260513,4,early,1.0,1.0,0.0,1,1,0,0.025157232704402517,0.031446540880503145,24,37,24--37,5,6,5,6,30,1,0.25,0,0,0,32,"[""31"", ""13"", ""40"", ""30"", ""60"", ""6"", ""22"", ""9"", ""35"", ""46"", ""50"", ""7"", ""27"", ""47"", ""32"", ""5"", ""53"", ""10"", ""38"", ""61"", ""0"", ""1"", ""42"", ""59"", ""8"", ""45"", ""23"", ""12"", ""57"", ""11"", ""54"", ""58""]",c84bc698075a36955ff479cd9e22fc98e4d64f07dcddc1e0b605842ec249c4b1,"{""boundary"": 12, ""community_rep"": 1, ""degree_core"": 10, ""random_fill"": 9}","{""degree_0_1"": 2, ""degree_3_4"": 6, ""degree_5_8"": 16, ""degree_9_plus"": 8}","{""0"": 4, ""1"": 5, ""2"": 10, ""3"": 3, ""4"": 7, ""5"": 3}",64,"{""backend"": ""evaluate_m19_theory_calibrated.candidate_features"", ""delta_mode"": ""none"", ""k_max"": 512, ""k_min"": 64, ""variant"": ""conservative""}",64,0.4129032258064516,0.640625,0.640625,0.0,0.6875,"{""dp_17_64"": 0.609375, ""dp_5_16"": 0.03125, ""dp_65_256"": 0.359375}","{""cn_0"": 0.4375, ""cn_1"": 0.25, ""cn_2_3"": 0.296875, ""cn_4_8"": 0.015625}",0.953125,54.078125,sasb_candidate_builder,788c6fe2042f531d7d7ceeb663421607ed02b3c88b516b794327a1ca7cbff9f2,64,788c6fe2042f531d7d7ceeb663421607ed02b3c88b516b794327a1ca7cbff9f2,"{""sasb_builder"": 64}",0,0,0,0,{},0.0,"{""common_neighbor_bin_l1"": 0.0, ""degree_product_bin_l1"": 0.0, ""is_boundary_edge_l1"": 0.0, ""is_bridge_edge_l1"": 0.0, ""is_inter_community_edge_l1"": 0.0, ""is_low_common_neighbor_edge_l1"": 0.0, ""mean_l1"": 0.0}",1,32,32,736.3684027777779,0
realworld_completed,soc_dolphins,SASB-candidate,sasb,SASB-structured,20260513,5,early,1.0,1.0,0.0,1,1,0,0.031446540880503145,0.03773584905660377,24,42,24--42,4,6,4,6,24,1,0.3333333333333333,0,3,3,32,"[""31"", ""13"", ""40"", ""30"", ""60"", ""6"", ""22"", ""9"", ""35"", ""46"", ""50"", ""7"", ""27"", ""47"", ""32"", ""5"", ""53"", ""10"", ""38"", ""61"", ""0"", ""1"", ""42"", ""48"", ""36"", ""54"", ""20"", ""12"", ""26"", ""45"", ""49"", ""44""]",4609c021b544a49b0d36ffbbdb7f1fbc34b6c4849f4dd7bc92183a3fbbb58dcd,"{""boundary"": 12, ""community_rep"": 1, ""degree_core"": 10, ""random_fill"": 9}","{""degree_0_1"": 1, ""degree_2"": 2, ""degree_3_4"": 4, ""degree_5_8"": 17, ""degree_9_plus"": 8}","{""0"": 4, ""1"": 5, ""2"": 11, ""3"": 2, ""4"": 8, ""5"": 2}",64,"{""backend"": ""evaluate_m19_theory_calibrated.candidate_features"", ""delta_mode"": ""none"", ""k_max"": 512, ""k_min"": 64, ""variant"": ""conservative""}",64,0.4155844155844156,0.625,0.625,0.0,0.703125,"{""dp_17_64"": 0.59375, ""dp_5_16"": 0.03125, ""dp_65_256"": 0.375}","{""cn_0"": 0.453125, ""cn_1"": 0.25, ""cn_2_3"": 0.28125, ""cn_4_8"": 0.015625}",0.921875,54.53125,sasb_candidate_builder,766b096dee602f2ff3480814514ab7a028e48c7fa8864380610dddce555a04d0,64,766b096dee602f2ff3480814514ab7a028e48c7fa8864380610dddce555a04d0,"{""sasb_builder"": 64}",0,0,0,0,{},0.0,"{""common_neighbor_bin_l1"": 0.0, ""degree_product_bin_l1"": 0.0, ""is_boundary_edge_l1"": 0.0, ""is_bridge_edge_l1"": 0.0, ""is_inter_community_edge_l1"": 0.0, ""is_low_common_neighbor_edge_l1"": 0.0, ""mean_l1"": 0.0}",1,32,32,1034.3366815476193,0
realworld_completed,soc_dolphins,SASB-candidate,sasb,SASB-structured,20260513,6,early,1.0,1.0,0.0,1,1,0,0.03773584905660377,0.0440251572327044,13,21,13--21,9,4,4,9,36,2,0.6666666666666666,1,2,3,32,"[""31"", ""13"", ""40"", ""30"", ""60"", ""6"", ""22"", ""9"", ""35"", ""46"", ""50"", ""7"", ""27"", ""47"", ""32"", ""5"", ""53"", ""10"", ""38"", ""61"", ""0"", ""1"", ""59"", ""34"", ""26"", ""14"", ""16"", ""24"", ""8"", ""17"", ""42"", ""21""]",d83ffba457a9f1b4868499a259a7d9d0d12aabd56d7496690df363954a13ac10,"{""boundary"": 12, ""degree_core"": 10, ""random_fill"": 10}","{""degree_0_1"": 1, ""degree_3_4"": 5, ""degree_5_8"": 18, ""degree_9_plus"": 8}","{""0"": 2, ""1"": 9, ""2"": 9, ""3"": 2, ""4"": 6, ""5"": 4}",64,"{""backend"": ""evaluate_m19_theory_calibrated.candidate_features"", ""delta_mode"": ""none"", ""k_max"": 512, ""k_min"": 64, ""variant"": ""conservative""}",64,0.41830065359477125,0.609375,0.609375,0.0,0.71875,"{""dp_17_64"": 0.59375, ""dp_5_16"": 0.03125, ""dp_65_256"": 0.375}","{""cn_0"": 0.453125, ""cn_1"": 0.265625, ""cn_2_3"": 0.265625, ""cn_4_8"": 0.015625}",0.90625,54.515625,sasb_candidate_builder,5d5eaa27289f0ef7222dc6cf4690f01bb5a9756720b67b973e4c44b5ccc37b00,64,5d5eaa27289f0ef7222dc6cf4690f01bb5a9756720b67b973e4c44b5ccc37b00,"{""sasb_builder"": 64}",0,0,0,0,{},0.0,"{""common_neighbor_bin_l1"": 0.0, ""degree_product_bin_l1"": 0.0, ""is_boundary_edge_l1"": 0.0, ""is_bridge_edge_l1"": 0.0, ""is_inter_community_edge_l1"": 0.0, ""is_low_common_neighbor_edge_l1"": 0.0, ""mean_l1"": 0.0}",1,32,32,864.3556547619049,0
realworld_completed,soc_dolphins,SASB-candidate,sasb,SASB-structured,20260513,7,early,1.0,1.0,0.0,1,1,0,0.0440251572327044,0.050314465408805034,21,60,21--60,3,6,3,6,18,0,0.0,0,4,4,32,"[""31"", ""40"", ""13"", ""30"", ""60"", ""6"", ""22"", ""9"", ""35"", ""46"", ""50"", ""7"", ""27"", ""47"", ""32"", ""5"", ""53"", ""10"", ""38"", ""61"", ""0"", ""1"", ""17"", ""41"", ""58"", ""2"", ""11"", ""51"", ""26"", ""25"", ""14"", ""16""]",a7ef60339685d405fe764ea73b5547604c60593d213dc583ecb926dbb66ffbd6,"{""boundary"": 12, ""degree_core"": 10, ""random_fill"": 10}","{""degree_0_1"": 1, ""degree_2"": 2, ""degree_3_4"": 4, ""degree_5_8"": 18, ""degree_9_plus"": 7}","{""0"": 3, ""1"": 9, ""2"": 9, ""3"": 2, ""4"": 7, ""5"": 2}",64,"{""backend"": ""evaluate_m19_theory_calibrated.candidate_features"", ""delta_mode"": ""none"", ""k_max"": 512, ""k_min"": 64, ""variant"": ""conservative""}",64,0.42105263157894735,0.59375,0.59375,0.0,0.703125,"{""dp_17_64"": 0.546875, ""dp_5_16"": 0.046875, ""dp_65_256"": 0.40625}","{""cn_0"": 0.515625, ""cn_1"": 0.1875, ""cn_2_3"": 0.265625, ""cn_4_8"": 0.03125}",0.90625,55.578125,sasb_candidate_builder,4697750d45e869b5c7f1a0ca489f2cce8c9ebc3c96032ad505bc8c7838698483,64,4697750d45e869b5c7f1a0ca489f2cce8c9ebc3c96032ad505bc8c7838698483,"{""sasb_builder"": 64}",0,0,0,0,{},0.0,"{""common_neighbor_bin_l1"": 0.0, ""degree_product_bin_l1"": 0.0, ""is_boundary_edge_l1"": 0.0, ""is_bridge_edge_l1"": 0.0, ""is_inter_community_edge_l1"": 0.0, ""is_low_common_neighbor_edge_l1"": 0.0, ""mean_l1"": 0.0}",1,32,32,1225.0074404761904,0
realworld_completed,soc_dolphins,SASB-candidate,sasb,SASB-structured,20260513,8,early,1.0,0.6451612903225806,0.3548387096774194,1,2,1,0.050314465408805034,0.05660377358490566,21,42,21--42,2,5,2,5,10,0,0.0,1,2,0,32,"[""31"", ""40"", ""13"", ""30"", ""6"", ""22"", ""9"", ""35"", ""46"", ""50"", ""7"", ""0"", ""27"", ""47"", ""32"", ""5"", ""53"", ""10"", ""38"", ""61"", ""1"", ""14"", ""49"", ""36"", ""15"", ""4"", ""60"", ""48"", ""8"", ""45"", ""20"", ""3""]",9f9d655f25dd8e3863cea81070b1e9273b7c3b4f9f323dcf508e763971127c7d,"{""boundary"": 12, ""degree_core"": 10, ""random_fill"": 10}","{""degree_0_1"": 3, ""degree_2"": 1, ""degree_3_4"": 2, ""degree_5_8"": 19, ""degree_9_plus"": 7}","{""0"": 2, ""1"": 7, ""2"": 11, ""3"": 2, ""4"": 8, ""5"": 2}",64,"{""backend"": ""evaluate_m19_theory_calibrated.candidate_features"", ""delta_mode"": ""none"", ""k_max"": 512, ""k_min"": 64, ""variant"": ""conservative""}",64,0.423841059602649,0.578125,0.578125,0.015625,0.6875,"{""dp_17_64"": 0.578125, ""dp_5_16"": 0.046875, ""dp_65_256"": 0.375}","{""cn_0"": 0.5, ""cn_1"": 0.1875, ""cn_2_3"": 0.28125, ""cn_4_8"": 0.03125}",0.9375,55.53125,sasb_candidate_builder,1448191ae2dcddaaa406d373208fe977bcd62615529965a351584db0cbc2da28,64,1448191ae2dcddaaa406d373208fe977bcd62615529965a351584db0cbc2da28,"{""sasb_builder"": 64}",0,0,0,0,{},0.0,"{""common_neighbor_bin_l1"": 0.0, ""degree_product_bin_l1"": 0.0, ""is_boundary_edge_l1"": 0.0, ""is_bridge_edge_l1"": 0.0, ""is_inter_community_edge_l1"": 0.0, ""is_low_common_neighbor_edge_l1"": 0.0, ""mean_l1"": 0.0}",1,32,32,1712.75,0
realworld_completed,soc_dolphins,SASB-candidate,sasb,SASB-structured,20260513,9,early,0.6451612903225806,0.6451612903225806,0.0,2,2,0,0.05660377358490566,0.06289308176100629,31,58,31--58,11,3,3,11,33,0,0.0,0,3,3,32,"[""31"", ""6"", ""40"", ""13"", ""35"", ""38"", ""27"", ""22"", ""46"", ""7"", ""0"", ""30"", ""47"", ""32"", ""10"", ""14"", ""17"", ""8"", ""2"", ""28"", ""37"", ""55"", ""12"", ""41"", ""23"", ""16"", ""3"", ""44"", ""48"", ""42"", ""58"", ""4""]",5f9fa0ae32d80d4d2b3be5abea5907708b8e819a2633377e1e1cd80398b0901f,"{""boundary"": 12, ""degree_core"": 10, ""random_fill"": 10}","{""degree_0_1"": 2, ""degree_2"": 2, ""degree_3_4"": 6, ""degree_5_8"": 16, ""degree_9_plus"": 6}","{""0"": 5, ""1"": 8, ""2"": 10, ""3"": 5, ""4"": 4}",64,"{""backend"": ""evaluate_m19_theory_calibrated.candidate_features"", ""delta_mode"": ""none"", ""k_max"": 512, ""k_min"": 64, ""variant"": ""conservative""}",64,0.6153846153846154,0.59375,0.59375,0.0,0.703125,"{""dp_17_64"": 0.578125, ""dp_5_16"": 0.046875, ""dp_65_256"": 0.375}","{""cn_0"": 0.484375, ""cn_1"": 0.21875, ""cn_2_3"": 0.234375, ""cn_4_8"": 0.0625}",1.046875,57.03125,sasb_candidate_builder,218967fac465a6e1d19495f9d8835907b45779c9b12869537042bc4efadfbd8f,64,218967fac465a6e1d19495f9d8835907b45779c9b12869537042bc4efadfbd8f,"{""sasb_builder"": 64}",0,0,0,0,{},0.0,"{""common_neighbor_bin_l1"": 0.0, ""degree_product_bin_l1"": 0.0, ""is_boundary_edge_l1"": 0.0, ""is_bridge_edge_l1"": 0.0, ""is_inter_community_edge_l1"": 0.0, ""is_low_common_neighbor_edge_l1"": 0.0, ""mean_l1"": 0.0}",1,32,32,85.62161796536796,0
