dataset,graph_id,graph_name,graph_type,community_strength,method,candidate_policy,source_policy,seed,step,removed_edges,remove_ratio,gcc_ratio,gcc_size
realworld_completed,soc_dolphins,soc-dolphins,social,unknown,Structure-matched-candidate,structure_matched,SASB-structured,20260513,0,0,0.0,1.0,62
realworld_completed,soc_dolphins,soc-dolphins,social,unknown,Structure-matched-candidate,structure_matched,SASB-structured,20260513,1,1,0.006289308176100629,1.0,62
realworld_completed,soc_dolphins,soc-dolphins,social,unknown,Structure-matched-candidate,structure_matched,SASB-structured,20260513,2,2,0.012578616352201259,1.0,62
realworld_completed,soc_dolphins,soc-dolphins,social,unknown,Structure-matched-candidate,structure_matched,SASB-structured,20260513,3,3,0.018867924528301886,1.0,62
realworld_completed,soc_dolphins,soc-dolphins,social,unknown,Structure-matched-candidate,structure_matched,SASB-structured,20260513,4,4,0.025157232704402517,1.0,62
realworld_completed,soc_dolphins,soc-dolphins,social,unknown,Structure-matched-candidate,structure_matched,SASB-structured,20260513,5,5,0.031446540880503145,1.0,62
realworld_completed,soc_dolphins,soc-dolphins,social,unknown,Structure-matched-candidate,structure_matched,SASB-structured,20260513,6,6,0.03773584905660377,1.0,62
realworld_completed,soc_dolphins,soc-dolphins,social,unknown,Structure-matched-candidate,structure_matched,SASB-structured,20260513,7,7,0.0440251572327044,1.0,62
realworld_completed,soc_dolphins,soc-dolphins,social,unknown,Structure-matched-candidate,structure_matched,SASB-structured,20260513,8,8,0.050314465408805034,1.0,62
realworld_completed,soc_dolphins,soc-dolphins,social,unknown,Structure-matched-candidate,structure_matched,SASB-structured,20260513,9,9,0.05660377358490566,0.6451612903225806,40
realworld_completed,soc_dolphins,soc-dolphins,social,unknown,Structure-matched-candidate,structure_matched,SASB-structured,20260513,10,10,0.06289308176100629,0.6451612903225806,40
realworld_completed,soc_dolphins,soc-dolphins,social,unknown,Structure-matched-candidate,structure_matched,SASB-structured,20260513,11,11,0.06918238993710692,0.6451612903225806,40
realworld_completed,soc_dolphins,soc-dolphins,social,unknown,Structure-matched-candidate,structure_matched,SASB-structured,20260513,12,12,0.07547169811320754,0.6451612903225806,40
realworld_completed,soc_dolphins,soc-dolphins,social,unknown,Structure-matched-candidate,structure_matched,SASB-structured,20260513,13,13,0.08176100628930817,0.6451612903225806,40
realworld_completed,soc_dolphins,soc-dolphins,social,unknown,Structure-matched-candidate,structure_matched,SASB-structured,20260513,14,14,0.0880503144654088,0.6451612903225806,40
realworld_completed,soc_dolphins,soc-dolphins,social,unknown,Structure-matched-candidate,structure_matched,SASB-structured,20260513,15,15,0.09433962264150944,0.6129032258064516,38
realworld_completed,soc_dolphins,soc-dolphins,social,unknown,Structure-matched-candidate,structure_matched,SASB-structured,20260513,16,16,0.10062893081761007,0.6129032258064516,38
realworld_completed,soc_dolphins,soc-dolphins,social,unknown,Structure-matched-candidate,structure_matched,SASB-structured,20260513,17,17,0.1069182389937107,0.6129032258064516,38
realworld_completed,soc_dolphins,soc-dolphins,social,unknown,Structure-matched-candidate,structure_matched,SASB-structured,20260513,18,18,0.11320754716981132,0.6129032258064516,38
realworld_completed,soc_dolphins,soc-dolphins,social,unknown,Structure-matched-candidate,structure_matched,SASB-structured,20260513,19,19,0.11949685534591195,0.6129032258064516,38
realworld_completed,soc_dolphins,soc-dolphins,social,unknown,Structure-matched-candidate,structure_matched,SASB-structured,20260513,20,20,0.12578616352201258,0.5806451612903226,36
realworld_completed,soc_dolphins,soc-dolphins,social,unknown,Structure-matched-candidate,structure_matched,SASB-structured,20260513,21,21,0.1320754716981132,0.5806451612903226,36
