dataset,graph_id,method,candidate_policy,source_policy,seed,step,attack_phase,gcc_before,gcc_after,delta_gcc,num_components_before,num_components_after,is_bridge_before_removal,remove_ratio_before,remove_ratio_after,edge_u,edge_v,selected_edge,degree_u,degree_v,degree_min,degree_max,degree_product,common_neighbors,edge_embeddedness,is_inter_community_edge,community_u,community_v,source_count,source_nodes,source_node_hash,source_strata_counts,source_degree_bins,source_community_counts,adaptive_k,candidate_config,candidate_count,candidate_fraction,candidate_inter_community_ratio,candidate_boundary_ratio,candidate_bridge_ratio,candidate_low_cn_ratio,candidate_degree_product_distribution,candidate_common_neighbor_distribution,candidate_mean_common_neighbors,candidate_mean_degree_product,candidate_backend,candidate_hash,sasb_candidate_count_reference,sasb_candidate_hash_reference,match_mode_counts,strict_match_count,degree_only_match_count,community_only_match_count,fallback_count,fallback_reason,matched_feature_difference,matched_feature_difference_detail,candidate_count_equal_to_sasb,source_budget,true_source_traversal_count,sampled_betweenness_score,p2_degree_product_fallback
realworld_completed,soc_dolphins,Structure-matched-candidate,structure_matched,SASB-structured,20260513,0,early,1.0,1.0,0.0,1,1,0,0.0,0.006289308176100629,1,30,1--30,8,7,7,8,56,0,0.0,1,5,3,32,"[""31"", ""13"", ""30"", ""40"", ""1"", ""35"", ""60"", ""6"", ""22"", ""9"", ""46"", ""50"", ""27"", ""47"", ""53"", ""32"", ""5"", ""10"", ""38"", ""61"", ""7"", ""0"", ""42"", ""44"", ""39"", ""14"", ""41"", ""49"", ""36"", ""3"", ""58"", ""57""]",d389243c900c391b360c6d569d699ff0bb2ae0791285008b7e0088adf625bdb6,"{""boundary"": 12, ""community_rep"": 1, ""degree_core"": 10, ""random_fill"": 9}","{""degree_0_1"": 2, ""degree_2"": 3, ""degree_3_4"": 2, ""degree_5_8"": 16, ""degree_9_plus"": 9}","{""0"": 4, ""1"": 7, ""2"": 11, ""3"": 2, ""4"": 7, ""5"": 1}",64,"{""backend"": ""evaluate_m19_theory_calibrated.candidate_features"", ""delta_mode"": ""none"", ""k_max"": 512, ""k_min"": 64, ""variant"": ""conservative""}",64,0.4025157232704403,0.6875,0.6875,0.0,0.734375,"{""dp_17_64"": 0.609375, ""dp_5_16"": 0.03125, ""dp_65_256"": 0.359375}","{""cn_0"": 0.484375, ""cn_1"": 0.25, ""cn_2_3"": 0.25, ""cn_4_8"": 0.015625}",0.890625,56.125,random_edges_structure_matched_to_sasb,8d8951eaac6a453101c6c79023dc20df1ae66b266b700d5f957ebba3aa49ce3f,64,479f0682428f5c0dca0ad143569aead2b55041c99ee1acdc9d22c65165d1b5a8,"{""strict"": 64}",64,0,0,0,{},0.0,"{""common_neighbor_bin_l1"": 0.0, ""degree_product_bin_l1"": 0.0, ""is_boundary_edge_l1"": 0.0, ""is_bridge_edge_l1"": 0.0, ""is_inter_community_edge_l1"": 0.0, ""is_low_common_neighbor_edge_l1"": 0.0, ""mean_l1"": 0.0}",1,32,32,614.8488209474797,0
realworld_completed,soc_dolphins,Structure-matched-candidate,structure_matched,SASB-structured,20260513,1,early,1.0,1.0,0.0,1,1,0,0.006289308176100629,0.012578616352201259,35,59,35--59,8,5,5,8,40,0,0.0,1,2,0,32,"[""31"", ""13"", ""40"", ""35"", ""30"", ""60"", ""6"", ""22"", ""9"", ""1"", ""46"", ""50"", ""27"", ""47"", ""53"", ""32"", ""5"", ""10"", ""38"", ""61"", ""7"", ""0"", ""42"", ""19"", ""43"", ""2"", ""18"", ""17"", ""33"", ""54"", ""25"", ""58""]",412e78ac36cbd3b6c3cffc148b9046442e3b714e2312a52f5c35185c0bd57c07,"{""boundary"": 12, ""community_rep"": 1, ""degree_core"": 10, ""random_fill"": 9}","{""degree_0_1"": 3, ""degree_2"": 1, ""degree_3_4"": 3, ""degree_5_8"": 16, ""degree_9_plus"": 9}","{""0"": 4, ""1"": 6, ""2"": 9, ""3"": 3, ""4"": 7, ""5"": 3}",64,"{""backend"": ""evaluate_m19_theory_calibrated.candidate_features"", ""delta_mode"": ""none"", ""k_max"": 512, ""k_min"": 64, ""variant"": ""conservative""}",64,0.4050632911392405,0.671875,0.671875,0.0,0.734375,"{""dp_17_64"": 0.609375, ""dp_5_16"": 0.03125, ""dp_65_256"": 0.359375}","{""cn_0"": 0.484375, ""cn_1"": 0.25, ""cn_2_3"": 0.25, ""cn_4_8"": 0.015625}",0.84375,54.1875,random_edges_structure_matched_to_sasb,0444d21f53dc5b89c851650f004843e3fef0484e4166a98214c2500ba5e61b67,64,b50834394bb85b0e57f739f30dbefd727bf38c9f51e113ec0e83333f935d4682,"{""strict"": 64}",64,0,0,0,{},0.0,"{""common_neighbor_bin_l1"": 0.0, ""degree_product_bin_l1"": 0.0, ""is_boundary_edge_l1"": 0.0, ""is_bridge_edge_l1"": 0.0, ""is_inter_community_edge_l1"": 0.0, ""is_low_common_neighbor_edge_l1"": 0.0, ""mean_l1"": 0.0}",1,32,32,578.8603570445889,0
realworld_completed,soc_dolphins,Structure-matched-candidate,structure_matched,SASB-structured,20260513,2,early,1.0,1.0,0.0,1,1,0,0.012578616352201259,0.018867924528301886,33,53,33--53,2,9,2,9,18,0,0.0,0,1,1,32,"[""31"", ""13"", ""40"", ""30"", ""60"", ""6"", ""22"", ""9"", ""1"", ""35"", ""46"", ""50"", ""27"", ""47"", ""53"", ""32"", ""5"", ""10"", ""38"", ""61"", ""7"", ""0"", ""42"", ""20"", ""21"", ""39"", ""34"", ""8"", ""44"", ""3"", ""41"", ""28""]",3d998b8619c1660c9e857e158ee669e0453f8dfcf8fd492b01bacfc7f0357810,"{""boundary"": 12, ""community_rep"": 1, ""degree_core"": 10, ""random_fill"": 9}","{""degree_0_1"": 2, ""degree_2"": 2, ""degree_3_4"": 1, ""degree_5_8"": 18, ""degree_9_plus"": 9}","{""0"": 2, ""1"": 7, ""2"": 13, ""3"": 2, ""4"": 5, ""5"": 3}",64,"{""backend"": ""evaluate_m19_theory_calibrated.candidate_features"", ""delta_mode"": ""none"", ""k_max"": 512, ""k_min"": 64, ""variant"": ""conservative""}",64,0.40764331210191085,0.65625,0.65625,0.0,0.71875,"{""dp_17_64"": 0.609375, ""dp_5_16"": 0.03125, ""dp_65_256"": 0.359375}","{""cn_0"": 0.46875, ""cn_1"": 0.25, ""cn_2_3"": 0.265625, ""cn_4_8"": 0.015625}",0.890625,53.453125,random_edges_structure_matched_to_sasb,4ee67e191c16d3a75bf886bcb3c38aefe8b03ade90cec86ceaf19fe0913ecd80,64,ed02eb55c075122b26b710a55ffe436e0f247ed20294b21216811780d37bf0cf,"{""strict"": 64}",64,0,0,0,{},0.0,"{""common_neighbor_bin_l1"": 0.0, ""degree_product_bin_l1"": 0.0, ""is_boundary_edge_l1"": 0.0, ""is_bridge_edge_l1"": 0.0, ""is_inter_community_edge_l1"": 0.0, ""is_low_common_neighbor_edge_l1"": 0.0, ""mean_l1"": 0.0}",1,32,32,600.506490509038,0
realworld_completed,soc_dolphins,Structure-matched-candidate,structure_matched,SASB-structured,20260513,3,early,1.0,1.0,0.0,1,1,0,0.018867924528301886,0.025157232704402517,13,21,13--21,9,5,5,9,45,2,0.5,1,1,4,32,"[""31"", ""13"", ""40"", ""30"", ""60"", ""6"", ""22"", ""9"", ""1"", ""35"", ""46"", ""50"", ""27"", ""47"", ""32"", ""5"", ""53"", ""10"", ""38"", ""61"", ""7"", ""0"", ""42"", ""55"", ""11"", ""16"", ""15"", ""21"", ""43"", ""18"", ""14"", ""26""]",92a3dfa82eb11ea9a51c4f55a4dcddc6625051f56b472da6a6a7d9049bb7b713,"{""boundary"": 12, ""community_rep"": 1, ""degree_core"": 10, ""random_fill"": 9}","{""degree_0_1"": 2, ""degree_3_4"": 4, ""degree_5_8"": 18, ""degree_9_plus"": 8}","{""0"": 2, ""1"": 7, ""2"": 8, ""3"": 3, ""4"": 8, ""5"": 4}",64,"{""backend"": ""evaluate_m19_theory_calibrated.candidate_features"", ""delta_mode"": ""none"", ""k_max"": 512, ""k_min"": 64, ""variant"": ""conservative""}",64,0.41025641025641024,0.640625,0.640625,0.0,0.6875,"{""dp_17_64"": 0.609375, ""dp_5_16"": 0.03125, ""dp_65_256"": 0.359375}","{""cn_0"": 0.4375, ""cn_1"": 0.25, ""cn_2_3"": 0.296875, ""cn_4_8"": 0.015625}",0.96875,54.671875,random_edges_structure_matched_to_sasb,81a37b7f4aa6a9882bb23bcc68750099f0b6eb309d301080536de50a88147be7,64,6bee478f2c3bc4e81392b4edfe0c77c5b8072b923b913155be6a65128b3a3d6b,"{""strict"": 64}",64,0,0,0,{},0.0,"{""common_neighbor_bin_l1"": 0.0, ""degree_product_bin_l1"": 0.0, ""is_boundary_edge_l1"": 0.0, ""is_bridge_edge_l1"": 0.0, ""is_inter_community_edge_l1"": 0.0, ""is_low_common_neighbor_edge_l1"": 0.0, ""mean_l1"": 0.0}",1,32,32,737.336939311022,0
realworld_completed,soc_dolphins,Structure-matched-candidate,structure_matched,SASB-structured,20260513,4,early,1.0,1.0,0.0,1,1,0,0.025157232704402517,0.031446540880503145,21,60,21--60,4,6,4,6,24,0,0.0,1,1,3,32,"[""31"", ""40"", ""13"", ""30"", ""60"", ""6"", ""22"", ""9"", ""1"", ""35"", ""46"", ""50"", ""27"", ""47"", ""32"", ""5"", ""53"", ""10"", ""38"", ""61"", ""7"", ""0"", ""42"", ""59"", ""8"", ""45"", ""23"", ""12"", ""57"", ""11"", ""54"", ""58""]",5b3688618c8cdb7fd09d7b8903033417bbbef12a6b036b736152718658c74e99,"{""boundary"": 12, ""community_rep"": 1, ""degree_core"": 10, ""random_fill"": 9}","{""degree_0_1"": 2, ""degree_3_4"": 6, ""degree_5_8"": 17, ""degree_9_plus"": 7}","{""0"": 4, ""1"": 5, ""2"": 10, ""3"": 3, ""4"": 7, ""5"": 3}",64,"{""backend"": ""evaluate_m19_theory_calibrated.candidate_features"", ""delta_mode"": ""none"", ""k_max"": 512, ""k_min"": 64, ""variant"": ""conservative""}",64,0.4129032258064516,0.625,0.625,0.0,0.71875,"{""dp_17_64"": 0.609375, ""dp_5_16"": 0.03125, ""dp_65_256"": 0.359375}","{""cn_0"": 0.5, ""cn_1"": 0.21875, ""cn_2_3"": 0.265625, ""cn_4_8"": 0.015625}",0.90625,52.8125,random_edges_structure_matched_to_sasb,fe28b34ad54ccaf43e1003d1da423eaa7094c7ade924bf0067a8557ee1e0dbd1,64,af249c0cbf6fc6f69f5254e535c00739f7a3f1e9f5c68112e70683754ac3408f,"{""strict"": 64}",64,0,0,0,{},0.0,"{""common_neighbor_bin_l1"": 0.0, ""degree_product_bin_l1"": 0.0, ""is_boundary_edge_l1"": 0.0, ""is_bridge_edge_l1"": 0.0, ""is_inter_community_edge_l1"": 0.0, ""is_low_common_neighbor_edge_l1"": 0.0, ""mean_l1"": 0.0}",1,32,32,885.8922922483008,0
realworld_completed,soc_dolphins,Structure-matched-candidate,structure_matched,SASB-structured,20260513,5,early,1.0,1.0,0.0,1,1,0,0.031446540880503145,0.03773584905660377,1,21,1--21,7,3,3,7,21,0,0.0,1,3,0,32,"[""31"", ""40"", ""13"", ""30"", ""6"", ""22"", ""9"", ""1"", ""35"", ""46"", ""50"", ""7"", ""27"", ""47"", ""32"", ""5"", ""53"", ""10"", ""38"", ""61"", ""0"", ""14"", ""42"", ""48"", ""36"", ""54"", ""20"", ""12"", ""26"", ""60"", ""45"", ""49""]",f7e79412694d34c672ebd68c6c7c8ba3ef15c19b4f1eb08d902169c58756c7af,"{""boundary"": 12, ""community_rep"": 1, ""degree_core"": 10, ""random_fill"": 9}","{""degree_0_1"": 1, ""degree_2"": 1, ""degree_3_4"": 4, ""degree_5_8"": 19, ""degree_9_plus"": 7}","{""0"": 4, ""1"": 6, ""2"": 10, ""3"": 2, ""4"": 8, ""5"": 2}",64,"{""backend"": ""evaluate_m19_theory_calibrated.candidate_features"", ""delta_mode"": ""none"", ""k_max"": 512, ""k_min"": 64, ""variant"": ""conservative""}",64,0.4155844155844156,0.609375,0.609375,0.0,0.703125,"{""dp_17_64"": 0.625, ""dp_5_16"": 0.03125, ""dp_65_256"": 0.34375}","{""cn_0"": 0.484375, ""cn_1"": 0.21875, ""cn_2_3"": 0.265625, ""cn_4_8"": 0.03125}",0.953125,53.890625,random_edges_structure_matched_to_sasb,5a38f44680077a66c55e6421ec940036a8ff4a1696947bf483a04945489471ea,64,4ebf2965e62a036d6fab55e2df83734b8104c5f860958ae8ac221e971f35c0f8,"{""strict"": 64}",64,0,0,0,{},0.0,"{""common_neighbor_bin_l1"": 0.0, ""degree_product_bin_l1"": 0.0, ""is_boundary_edge_l1"": 0.0, ""is_bridge_edge_l1"": 0.0, ""is_inter_community_edge_l1"": 0.0, ""is_low_common_neighbor_edge_l1"": 0.0, ""mean_l1"": 0.0}",1,32,32,881.6820111119555,0
realworld_completed,soc_dolphins,Structure-matched-candidate,structure_matched,SASB-structured,20260513,6,early,1.0,1.0,0.0,1,1,0,0.03773584905660377,0.0440251572327044,24,37,24--37,5,6,5,6,30,1,0.25,0,1,1,32,"[""31"", ""40"", ""13"", ""30"", ""6"", ""22"", ""9"", ""35"", ""46"", ""50"", ""7"", ""0"", ""27"", ""47"", ""32"", ""5"", ""53"", ""10"", ""38"", ""61"", ""1"", ""14"", ""42"", ""59"", ""34"", ""26"", ""16"", ""24"", ""8"", ""17"", ""21"", ""49""]",50ec3bb1609532ab3b2caca81c7d85731403284cf522c86a3c33073f8dc5f0e0,"{""boundary"": 12, ""community_rep"": 1, ""degree_core"": 10, ""random_fill"": 9}","{""degree_0_1"": 1, ""degree_2"": 2, ""degree_3_4"": 3, ""degree_5_8"": 19, ""degree_9_plus"": 7}","{""0"": 3, ""1"": 9, ""2"": 9, ""3"": 1, ""4"": 6, ""5"": 4}",64,"{""backend"": ""evaluate_m19_theory_calibrated.candidate_features"", ""delta_mode"": ""none"", ""k_max"": 512, ""k_min"": 64, ""variant"": ""conservative""}",64,0.41830065359477125,0.609375,0.609375,0.0,0.6875,"{""dp_17_64"": 0.59375, ""dp_5_16"": 0.046875, ""dp_65_256"": 0.359375}","{""cn_0"": 0.46875, ""cn_1"": 0.21875, ""cn_2_3"": 0.28125, ""cn_4_8"": 0.03125}",1.0,53.15625,random_edges_structure_matched_to_sasb,5aac94c40e87ec6e0fdd3c5b6d81bbc9095dc20c972df3c27f1784344c218eee,64,ef29bd4461a3fec3c9cab843b441544f29e8cf8b562571dfdb9b718bb890617e,"{""strict"": 64}",64,0,0,0,{},0.0,"{""common_neighbor_bin_l1"": 0.0, ""degree_product_bin_l1"": 0.0, ""is_boundary_edge_l1"": 0.0, ""is_bridge_edge_l1"": 0.0, ""is_inter_community_edge_l1"": 0.0, ""is_low_common_neighbor_edge_l1"": 0.0, ""mean_l1"": 0.0}",1,32,32,902.4229166666668,0
realworld_completed,soc_dolphins,Structure-matched-candidate,structure_matched,SASB-structured,20260513,7,early,1.0,1.0,0.0,1,1,0,0.0440251572327044,0.050314465408805034,24,42,24--42,4,6,4,6,24,1,0.3333333333333333,0,2,2,32,"[""31"", ""40"", ""13"", ""30"", ""6"", ""22"", ""9"", ""35"", ""46"", ""50"", ""7"", ""0"", ""27"", ""47"", ""32"", ""5"", ""53"", ""10"", ""38"", ""61"", ""1"", ""14"", ""42"", ""17"", ""41"", ""58"", ""2"", ""11"", ""51"", ""26"", ""25"", ""60""]",8801ef6ed6d54d4e0229d7fddf9ec467f1a4fe55900e8ab166d69e21b59e324c,"{""boundary"": 12, ""community_rep"": 1, ""degree_core"": 10, ""random_fill"": 9}","{""degree_0_1"": 1, ""degree_2"": 2, ""degree_3_4"": 3, ""degree_5_8"": 19, ""degree_9_plus"": 7}","{""0"": 4, ""1"": 8, ""2"": 9, ""3"": 2, ""4"": 7, ""5"": 2}",64,"{""backend"": ""evaluate_m19_theory_calibrated.candidate_features"", ""delta_mode"": ""none"", ""k_max"": 512, ""k_min"": 64, ""variant"": ""conservative""}",64,0.42105263157894735,0.59375,0.59375,0.0,0.703125,"{""dp_17_64"": 0.578125, ""dp_5_16"": 0.046875, ""dp_65_256"": 0.375}","{""cn_0"": 0.484375, ""cn_1"": 0.21875, ""cn_2_3"": 0.265625, ""cn_4_8"": 0.03125}",0.953125,54.734375,random_edges_structure_matched_to_sasb,b924c21acc60fd7f50542023a59beaf67eded1ef1d4bfd727beb007a650ad3f2,64,cab36700809607d20abace7af94a9c62c8317f5225546a356294a511a83463e1,"{""strict"": 64}",64,0,0,0,{},0.0,"{""common_neighbor_bin_l1"": 0.0, ""degree_product_bin_l1"": 0.0, ""is_boundary_edge_l1"": 0.0, ""is_bridge_edge_l1"": 0.0, ""is_inter_community_edge_l1"": 0.0, ""is_low_common_neighbor_edge_l1"": 0.0, ""mean_l1"": 0.0}",1,32,32,1633.3125,0
realworld_completed,soc_dolphins,Structure-matched-candidate,structure_matched,SASB-structured,20260513,8,early,1.0,0.6451612903225806,0.3548387096774194,1,2,1,0.050314465408805034,0.05660377358490566,21,42,21--42,2,5,2,5,10,0,0.0,1,2,0,32,"[""31"", ""40"", ""13"", ""30"", ""6"", ""22"", ""9"", ""35"", ""46"", ""50"", ""7"", ""0"", ""27"", ""47"", ""32"", ""5"", ""53"", ""10"", ""38"", ""61"", ""1"", ""14"", ""49"", ""36"", ""15"", ""4"", ""60"", ""48"", ""8"", ""45"", ""20"", ""3""]",9f9d655f25dd8e3863cea81070b1e9273b7c3b4f9f323dcf508e763971127c7d,"{""boundary"": 12, ""degree_core"": 10, ""random_fill"": 10}","{""degree_0_1"": 3, ""degree_2"": 1, ""degree_3_4"": 2, ""degree_5_8"": 19, ""degree_9_plus"": 7}","{""0"": 2, ""1"": 7, ""2"": 11, ""3"": 2, ""4"": 8, ""5"": 2}",64,"{""backend"": ""evaluate_m19_theory_calibrated.candidate_features"", ""delta_mode"": ""none"", ""k_max"": 512, ""k_min"": 64, ""variant"": ""conservative""}",64,0.423841059602649,0.578125,0.578125,0.015625,0.6875,"{""dp_17_64"": 0.578125, ""dp_5_16"": 0.046875, ""dp_65_256"": 0.375}","{""cn_0"": 0.5, ""cn_1"": 0.1875, ""cn_2_3"": 0.28125, ""cn_4_8"": 0.03125}",1.015625,55.890625,random_edges_structure_matched_to_sasb,1047b89cdaf108d6a55324ca1dc8029b8ff9ef6f791062d6c3cf96921f223fd0,64,1448191ae2dcddaaa406d373208fe977bcd62615529965a351584db0cbc2da28,"{""strict"": 64}",64,0,0,0,{},0.0,"{""common_neighbor_bin_l1"": 0.0, ""degree_product_bin_l1"": 0.0, ""is_boundary_edge_l1"": 0.0, ""is_bridge_edge_l1"": 0.0, ""is_inter_community_edge_l1"": 0.0, ""is_low_common_neighbor_edge_l1"": 0.0, ""mean_l1"": 0.0}",1,32,32,1712.75,0
realworld_completed,soc_dolphins,Structure-matched-candidate,structure_matched,SASB-structured,20260513,9,early,0.6451612903225806,0.6451612903225806,0.0,2,2,0,0.05660377358490566,0.06289308176100629,31,58,31--58,11,3,3,11,33,0,0.0,0,3,3,32,"[""31"", ""6"", ""40"", ""13"", ""35"", ""38"", ""27"", ""22"", ""46"", ""7"", ""0"", ""30"", ""47"", ""32"", ""10"", ""14"", ""17"", ""8"", ""2"", ""28"", ""37"", ""55"", ""12"", ""41"", ""23"", ""16"", ""3"", ""44"", ""48"", ""42"", ""58"", ""4""]",5f9fa0ae32d80d4d2b3be5abea5907708b8e819a2633377e1e1cd80398b0901f,"{""boundary"": 12, ""degree_core"": 10, ""random_fill"": 10}","{""degree_0_1"": 2, ""degree_2"": 2, ""degree_3_4"": 6, ""degree_5_8"": 16, ""degree_9_plus"": 6}","{""0"": 5, ""1"": 8, ""2"": 10, ""3"": 5, ""4"": 4}",64,"{""backend"": ""evaluate_m19_theory_calibrated.candidate_features"", ""delta_mode"": ""none"", ""k_max"": 512, ""k_min"": 64, ""variant"": ""conservative""}",64,0.6153846153846154,0.59375,0.59375,0.0,0.703125,"{""dp_17_64"": 0.578125, ""dp_5_16"": 0.046875, ""dp_65_256"": 0.375}","{""cn_0"": 0.484375, ""cn_1"": 0.21875, ""cn_2_3"": 0.234375, ""cn_4_8"": 0.0625}",1.03125,55.34375,random_edges_structure_matched_to_sasb,62a1addb1cff5feb0fade0553d159dfd75cf5dd9a3f705fdb11698900b8c3ba6,64,218967fac465a6e1d19495f9d8835907b45779c9b12869537042bc4efadfbd8f,"{""strict"": 64}",64,0,0,0,{},0.0,"{""common_neighbor_bin_l1"": 0.0, ""degree_product_bin_l1"": 0.0, ""is_boundary_edge_l1"": 0.0, ""is_bridge_edge_l1"": 0.0, ""is_inter_community_edge_l1"": 0.0, ""is_low_common_neighbor_edge_l1"": 0.0, ""mean_l1"": 0.0}",1,32,32,85.62161796536796,0
