dataset,graph_id,method,candidate_policy,seed,removed_edges,source_count_min,source_count_max,source_count_mean,source_count_median,true_source_traversal_count
realworld_completed,bio_celegans,Random-size-matched-candidate,random_size_matched,20260513,2025,2.0,32.0,30.98123456790124,32.0,62737
realworld_completed,bio_celegans,SASB-candidate,sasb,20260513,2025,2.0,32.0,25.730864197530863,32.0,52105
realworld_completed,bio_celegans,Structure-matched-candidate,structure_matched,20260513,2025,2.0,32.0,26.447407407407407,32.0,53556
realworld_completed,bio_celegansneural,Random-size-matched-candidate,random_size_matched,20260513,2148,2.0,32.0,31.261173184357546,32.0,67149
realworld_completed,bio_celegansneural,SASB-candidate,sasb,20260513,2148,2.0,32.0,27.48510242085661,32.0,59038
realworld_completed,bio_celegansneural,Structure-matched-candidate,structure_matched,20260513,2148,2.0,32.0,28.178770949720672,32.0,60528
realworld_completed,bio_celegans_dir,Random-size-matched-candidate,random_size_matched,20260513,2025,2.0,32.0,30.185185185185187,32.0,61125
realworld_completed,bio_celegans_dir,SASB-candidate,sasb,20260513,2025,2.0,32.0,25.53382716049383,32.0,51706
realworld_completed,bio_celegans_dir,Structure-matched-candidate,structure_matched,20260513,2025,2.0,32.0,26.015802469135803,32.0,52682
realworld_completed,bio_diseasome,Random-size-matched-candidate,random_size_matched,20260513,1188,2.0,32.0,19.02861952861953,21.0,22606
realworld_completed,bio_diseasome,SASB-candidate,sasb,20260513,1188,2.0,32.0,17.25925925925926,12.0,20504
realworld_completed,bio_diseasome,Structure-matched-candidate,structure_matched,20260513,1188,2.0,32.0,17.755892255892256,14.0,21094
realworld_completed,bio_grid_mouse,Random-size-matched-candidate,random_size_matched,20260513,1098,2.0,32.0,16.764116575591984,12.0,18407
realworld_completed,bio_grid_mouse,SASB-candidate,sasb,20260513,1098,2.0,32.0,15.992714025500913,10.0,17560
realworld_completed,bio_grid_mouse,Structure-matched-candidate,structure_matched,20260513,1098,2.0,32.0,15.93351548269581,10.0,17495
realworld_completed,bio_grid_plant,Random-size-matched-candidate,random_size_matched,20260513,2726,2.0,32.0,21.80410858400587,32.0,59438
realworld_completed,bio_grid_plant,SASB-candidate,sasb,20260513,2726,2.0,32.0,20.49046221570066,30.0,55857
realworld_completed,bio_grid_plant,Structure-matched-candidate,structure_matched,20260513,2726,2.0,32.0,20.73991195891416,32.0,56537
realworld_completed,bio_sc_ts,Random-size-matched-candidate,random_size_matched,20260513,2211,2.0,32.0,31.379918588873814,32.0,69381
realworld_completed,bio_sc_ts,SASB-candidate,sasb,20260513,2211,2.0,32.0,29.03392130257802,32.0,64194
realworld_completed,bio_sc_ts,Structure-matched-candidate,structure_matched,20260513,2211,2.0,32.0,30.36544549977386,32.0,67138
realworld_completed,ca_csphd,Random-size-matched-candidate,random_size_matched,20260513,1043,2.0,32.0,8.633748801534036,5.0,9005
realworld_completed,ca_csphd,SASB-candidate,sasb,20260513,1043,2.0,32.0,8.612655800575263,5.0,8983
realworld_completed,ca_csphd,Structure-matched-candidate,structure_matched,20260513,1043,2.0,32.0,8.609779482262704,5.0,8980
realworld_completed,ca_netscience,Random-size-matched-candidate,random_size_matched,20260513,914,2.0,32.0,15.2582056892779,10.0,13946
realworld_completed,ca_netscience,SASB-candidate,sasb,20260513,914,2.0,32.0,14.807439824945297,9.0,13534
realworld_completed,ca_netscience,Structure-matched-candidate,structure_matched,20260513,914,2.0,32.0,14.971553610503282,9.0,13684
realworld_completed,football,Random-size-matched-candidate,random_size_matched,20260513,613,2.0,32.0,28.62969004893964,32.0,17550
realworld_completed,football,SASB-candidate,sasb,20260513,613,2.0,32.0,25.270799347471453,32.0,15491
realworld_completed,football,Structure-matched-candidate,structure_matched,20260513,613,2.0,32.0,27.295269168026103,32.0,16732
realworld_completed,ia_email_univ,Random-size-matched-candidate,random_size_matched,20260513,5451,2.0,32.0,28.65602641717116,32.0,156204
realworld_completed,ia_email_univ,SASB-candidate,sasb,20260513,5451,2.0,32.0,25.8020546688681,32.0,140647
realworld_completed,ia_email_univ,Structure-matched-candidate,structure_matched,20260513,5451,2.0,32.0,26.64190056870299,32.0,145225
realworld_completed,ia_enron_only,Random-size-matched-candidate,random_size_matched,20260513,623,2.0,32.0,29.223113964687,32.0,18206
realworld_completed,ia_enron_only,SASB-candidate,sasb,20260513,623,2.0,32.0,25.078651685393258,32.0,15624
realworld_completed,ia_enron_only,Structure-matched-candidate,structure_matched,20260513,623,2.0,32.0,27.754414125200643,32.0,17291
realworld_completed,ia_infect_dublin,Random-size-matched-candidate,random_size_matched,20260513,2765,2.0,32.0,30.858227848101265,32.0,85323
realworld_completed,ia_infect_dublin,SASB-candidate,sasb,20260513,2765,2.0,32.0,26.57106690777577,32.0,73469
realworld_completed,ia_infect_dublin,Structure-matched-candidate,structure_matched,20260513,2765,2.0,32.0,28.43544303797468,32.0,78624
realworld_completed,ia_infect_hyper,Random-size-matched-candidate,random_size_matched,20260513,2196,2.0,32.0,31.63296903460838,32.0,69466
realworld_completed,ia_infect_hyper,SASB-candidate,sasb,20260513,2196,2.0,32.0,30.76775956284153,32.0,67566
realworld_completed,ia_infect_hyper,Structure-matched-candidate,structure_matched,20260513,2196,2.0,32.0,31.15437158469945,32.0,68415
realworld_completed,ia_radoslaw_email,Random-size-matched-candidate,random_size_matched,20260513,3250,2.0,32.0,31.754153846153844,32.0,103201
realworld_completed,ia_radoslaw_email,SASB-candidate,sasb,20260513,3250,2.0,32.0,29.950769230769232,32.0,97340
realworld_completed,ia_radoslaw_email,Structure-matched-candidate,structure_matched,20260513,3250,2.0,32.0,29.719384615384616,32.0,96588
realworld_completed,inf_euroroad,Random-size-matched-candidate,random_size_matched,20260513,1305,2.0,32.0,9.845977011494252,4.0,12849
realworld_completed,inf_euroroad,SASB-candidate,sasb,20260513,1305,2.0,32.0,9.638314176245212,4.0,12578
realworld_completed,inf_euroroad,Structure-matched-candidate,structure_matched,20260513,1305,2.0,32.0,9.642911877394637,4.0,12584
realworld_completed,inf_power,Random-size-matched-candidate,random_size_matched,20260513,6594,2.0,32.0,10.397785865938731,5.0,68563
realworld_completed,inf_power,SASB-candidate,sasb,20260513,6594,2.0,32.0,10.149984834698213,5.0,66929
realworld_completed,inf_power,Structure-matched-candidate,structure_matched,20260513,6594,2.0,32.0,10.186078252957234,5.0,67167
realworld_completed,inf_usair97,Random-size-matched-candidate,random_size_matched,20260513,2126,2.0,32.0,30.598306679209784,32.0,65052
realworld_completed,inf_usair97,SASB-candidate,sasb,20260513,2126,2.0,32.0,26.67779868297272,32.0,56717
realworld_completed,inf_usair97,Structure-matched-candidate,structure_matched,20260513,2126,2.0,32.0,27.02728127939793,32.0,57460
realworld_completed,rt_retweet,Random-size-matched-candidate,random_size_matched,20260513,117,2.0,32.0,9.452991452991451,4.0,1106
realworld_completed,rt_retweet,SASB-candidate,sasb,20260513,117,2.0,32.0,9.547008547008549,4.0,1117
realworld_completed,rt_retweet,Structure-matched-candidate,structure_matched,20260513,117,2.0,32.0,9.606837606837606,4.0,1124
realworld_completed,rt_twitter_copen,Random-size-matched-candidate,random_size_matched,20260513,1029,2.0,32.0,20.21768707482993,32.0,20804
realworld_completed,rt_twitter_copen,SASB-candidate,sasb,20260513,1029,2.0,32.0,17.291545189504372,12.0,17793
realworld_completed,rt_twitter_copen,Structure-matched-candidate,structure_matched,20260513,1029,2.0,32.0,18.09426627793975,18.0,18619
realworld_completed,soc_dolphins,Random-size-matched-candidate,random_size_matched,20260513,159,2.0,32.0,17.67295597484277,19.0,2810
realworld_completed,soc_dolphins,SASB-candidate,sasb,20260513,159,2.0,32.0,18.22012578616352,19.0,2897
realworld_completed,soc_dolphins,Structure-matched-candidate,structure_matched,20260513,159,2.0,32.0,18.28930817610063,19.0,2908
realworld_completed,soc_wiki_vote,Random-size-matched-candidate,random_size_matched,20260513,2914,2.0,32.0,26.93719972546328,32.0,78495
realworld_completed,soc_wiki_vote,SASB-candidate,sasb,20260513,2914,2.0,32.0,23.93891557995882,32.0,69758
