network,community,community_size,total_degree,count
sbm_medium,0,60,4,1
sbm_medium,0,60,5,3
sbm_medium,0,60,6,2
sbm_medium,0,60,7,3
sbm_medium,0,60,8,3
sbm_medium,0,60,9,11
sbm_medium,0,60,10,16
sbm_medium,0,60,11,2
sbm_medium,0,60,12,7
sbm_medium,0,60,13,5
sbm_medium,0,60,14,3
sbm_medium,0,60,15,2
sbm_medium,0,60,16,1
sbm_medium,0,60,17,1
sbm_medium,1,45,4,2
sbm_medium,1,45,6,2
sbm_medium,1,45,7,7
sbm_medium,1,45,8,7
sbm_medium,1,45,9,5
sbm_medium,1,45,10,8
sbm_medium,1,45,11,5
sbm_medium,1,45,12,2
sbm_medium,1,45,13,2
sbm_medium,1,45,14,4
sbm_medium,1,45,16,1
sbm_medium,2,32,3,3
sbm_medium,2,32,4,3
sbm_medium,2,32,5,3
sbm_medium,2,32,6,4
sbm_medium,2,32,7,3
sbm_medium,2,32,8,4
sbm_medium,2,32,9,8
sbm_medium,2,32,10,3
sbm_medium,2,32,12,1
sbm_medium,3,24,1,1
sbm_medium,3,24,2,1
sbm_medium,3,24,3,4
sbm_medium,3,24,4,1
sbm_medium,3,24,5,2
sbm_medium,3,24,6,6
sbm_medium,3,24,7,3
sbm_medium,3,24,8,3
sbm_medium,3,24,9,3
sbm_medium,4,16,3,6
sbm_medium,4,16,4,3
sbm_medium,4,16,5,2
sbm_medium,4,16,6,3
sbm_medium,4,16,7,1
sbm_medium,4,16,8,1
sbm_medium,5,10,0,1
sbm_medium,5,10,3,1
sbm_medium,5,10,4,2
sbm_medium,5,10,5,5
sbm_medium,5,10,8,1
sbm_medium,6,8,1,1
sbm_medium,6,8,3,3
sbm_medium,6,8,4,1
sbm_medium,6,8,5,2
sbm_medium,6,8,7,1
sbm_medium,7,5,2,3
sbm_medium,7,5,3,1
sbm_medium,7,5,5,1
