network,community,community_size,total_degree,count
sbm_strong,0,60,5,1
sbm_strong,0,60,6,1
sbm_strong,0,60,7,1
sbm_strong,0,60,8,3
sbm_strong,0,60,9,5
sbm_strong,0,60,10,8
sbm_strong,0,60,11,7
sbm_strong,0,60,12,9
sbm_strong,0,60,13,6
sbm_strong,0,60,14,10
sbm_strong,0,60,15,5
sbm_strong,0,60,16,3
sbm_strong,0,60,17,1
sbm_strong,1,45,4,1
sbm_strong,1,45,5,2
sbm_strong,1,45,7,3
sbm_strong,1,45,8,10
sbm_strong,1,45,9,5
sbm_strong,1,45,10,6
sbm_strong,1,45,11,6
sbm_strong,1,45,12,6
sbm_strong,1,45,13,5
sbm_strong,1,45,14,1
sbm_strong,2,32,3,2
sbm_strong,2,32,4,1
sbm_strong,2,32,5,1
sbm_strong,2,32,6,5
sbm_strong,2,32,7,6
sbm_strong,2,32,8,8
sbm_strong,2,32,9,6
sbm_strong,2,32,10,1
sbm_strong,2,32,11,1
sbm_strong,2,32,12,1
sbm_strong,3,24,2,2
sbm_strong,3,24,3,1
sbm_strong,3,24,4,4
sbm_strong,3,24,5,4
sbm_strong,3,24,6,5
sbm_strong,3,24,7,3
sbm_strong,3,24,9,4
sbm_strong,3,24,12,1
sbm_strong,4,16,0,1
sbm_strong,4,16,1,1
sbm_strong,4,16,2,1
sbm_strong,4,16,3,6
sbm_strong,4,16,4,1
sbm_strong,4,16,5,2
sbm_strong,4,16,6,1
sbm_strong,4,16,7,3
sbm_strong,5,10,1,2
sbm_strong,5,10,2,3
sbm_strong,5,10,3,1
sbm_strong,5,10,4,3
sbm_strong,5,10,6,1
sbm_strong,6,8,2,3
sbm_strong,6,8,3,3
sbm_strong,6,8,4,2
sbm_strong,7,5,0,1
sbm_strong,7,5,2,2
sbm_strong,7,5,3,1
sbm_strong,7,5,4,1
