network,community,community_size,total_degree,count
sbm_weak,0,60,3,1
sbm_weak,0,60,5,2
sbm_weak,0,60,6,2
sbm_weak,0,60,7,2
sbm_weak,0,60,8,7
sbm_weak,0,60,9,9
sbm_weak,0,60,10,10
sbm_weak,0,60,11,13
sbm_weak,0,60,12,4
sbm_weak,0,60,13,5
sbm_weak,0,60,14,4
sbm_weak,0,60,18,1
sbm_weak,1,45,4,1
sbm_weak,1,45,5,1
sbm_weak,1,45,6,5
sbm_weak,1,45,7,4
sbm_weak,1,45,8,3
sbm_weak,1,45,9,5
sbm_weak,1,45,10,5
sbm_weak,1,45,11,4
sbm_weak,1,45,12,4
sbm_weak,1,45,13,3
sbm_weak,1,45,14,4
sbm_weak,1,45,15,5
sbm_weak,1,45,16,1
sbm_weak,2,32,5,3
sbm_weak,2,32,6,6
sbm_weak,2,32,7,4
sbm_weak,2,32,8,6
sbm_weak,2,32,9,3
sbm_weak,2,32,10,6
sbm_weak,2,32,11,2
sbm_weak,2,32,12,1
sbm_weak,2,32,15,1
sbm_weak,3,24,3,1
sbm_weak,3,24,5,3
sbm_weak,3,24,6,4
sbm_weak,3,24,7,3
sbm_weak,3,24,8,2
sbm_weak,3,24,9,3
sbm_weak,3,24,10,3
sbm_weak,3,24,11,3
sbm_weak,3,24,12,1
sbm_weak,3,24,13,1
sbm_weak,4,16,3,1
sbm_weak,4,16,5,2
sbm_weak,4,16,6,1
sbm_weak,4,16,7,3
sbm_weak,4,16,8,4
sbm_weak,4,16,10,1
sbm_weak,4,16,11,1
sbm_weak,4,16,12,1
sbm_weak,4,16,14,1
sbm_weak,4,16,16,1
sbm_weak,5,10,5,1
sbm_weak,5,10,6,1
sbm_weak,5,10,7,3
sbm_weak,5,10,8,1
sbm_weak,5,10,9,1
sbm_weak,5,10,12,2
sbm_weak,5,10,13,1
sbm_weak,6,8,7,1
sbm_weak,6,8,8,2
sbm_weak,6,8,9,2
sbm_weak,6,8,10,2
sbm_weak,6,8,11,1
sbm_weak,7,5,5,1
sbm_weak,7,5,7,1
sbm_weak,7,5,8,2
sbm_weak,7,5,12,1
