network,degree_k,ccdf,count_degree_ge_k,num_nodes,num_edges
sbm_strong,1,1.0,198,198,826
sbm_strong,2,0.9848484848484849,195,198,826
sbm_strong,3,0.9292929292929293,184,198,826
sbm_strong,4,0.8585858585858586,170,198,826
sbm_strong,5,0.7929292929292929,157,198,826
sbm_strong,6,0.7424242424242424,147,198,826
sbm_strong,7,0.6767676767676768,134,198,826
sbm_strong,8,0.5959595959595959,118,198,826
sbm_strong,9,0.4898989898989899,97,198,826
sbm_strong,10,0.3888888888888889,77,198,826
sbm_strong,11,0.31313131313131315,62,198,826
sbm_strong,12,0.24242424242424243,48,198,826
sbm_strong,13,0.15656565656565657,31,198,826
sbm_strong,14,0.10101010101010101,20,198,826
sbm_strong,15,0.045454545454545456,9,198,826
sbm_strong,16,0.020202020202020204,4,198,826
sbm_strong,17,0.005050505050505051,1,198,826
sbm_medium,1,1.0,199,199,782
sbm_medium,2,0.9899497487437185,197,199,782
sbm_medium,3,0.9698492462311558,193,199,782
sbm_medium,4,0.8793969849246231,175,199,782
sbm_medium,5,0.8140703517587939,162,199,782
sbm_medium,6,0.7236180904522613,144,199,782
sbm_medium,7,0.6381909547738693,127,199,782
sbm_medium,8,0.5477386934673367,109,199,782
sbm_medium,9,0.45226130653266333,90,199,782
sbm_medium,10,0.3165829145728643,63,199,782
sbm_medium,11,0.18090452261306533,36,199,782
sbm_medium,12,0.1457286432160804,29,199,782
sbm_medium,13,0.09547738693467336,19,199,782
sbm_medium,14,0.06030150753768844,12,199,782
sbm_medium,15,0.02512562814070352,5,199,782
sbm_medium,16,0.01507537688442211,3,199,782
sbm_medium,17,0.005025125628140704,1,199,782
sbm_weak,3,1.0,200,200,930
sbm_weak,4,0.985,197,200,930
sbm_weak,5,0.98,196,200,930
sbm_weak,6,0.915,183,200,930
sbm_weak,7,0.82,164,200,930
sbm_weak,8,0.715,143,200,930
sbm_weak,9,0.58,116,200,930
sbm_weak,10,0.465,93,200,930
sbm_weak,11,0.33,66,200,930
sbm_weak,12,0.21,42,200,930
sbm_weak,13,0.14,28,200,930
sbm_weak,14,0.09,18,200,930
sbm_weak,15,0.045,9,200,930
sbm_weak,16,0.015,3,200,930
sbm_weak,18,0.005,1,200,930
karate,1,1.0,34,34,78
karate,2,0.9705882352941176,33,34,78
karate,3,0.6470588235294118,22,34,78
karate,4,0.47058823529411764,16,34,78
karate,5,0.29411764705882354,10,34,78
karate,6,0.20588235294117646,7,34,78
karate,9,0.14705882352941177,5,34,78
karate,10,0.11764705882352941,4,34,78
karate,12,0.08823529411764706,3,34,78
karate,16,0.058823529411764705,2,34,78
karate,17,0.029411764705882353,1,34,78
football,7,1.0,115,115,613
football,8,0.991304347826087,114,115,613
football,9,0.9652173913043478,111,115,613
football,10,0.9217391304347826,106,115,613
football,11,0.6782608695652174,78,115,613
football,12,0.10434782608695652,12,115,613
ca_netscience,1,1.0,379,379,914
ca_netscience,2,0.9287598944591029,352,379,914
ca_netscience,3,0.7335092348284961,278,379,914
ca_netscience,4,0.5435356200527705,206,379,914
ca_netscience,5,0.37994722955145116,144,379,914
ca_netscience,6,0.2928759894459103,111,379,914
ca_netscience,7,0.19788918205804748,75,379,914
ca_netscience,8,0.14511873350923482,55,379,914
ca_netscience,9,0.11345646437994723,43,379,914
ca_netscience,10,0.08970976253298153,34,379,914
ca_netscience,11,0.07387862796833773,28,379,914
