gcc_ratio,graph_id,graph_type,method,remove_ratio,removed_edges,split
1.0,football,real,Expanded oracle top-5 h1,0.0,0,real_external_test
1.0,football,real,Expanded oracle top-5 h1,0.0016313213703099511,1,real_external_test
1.0,football,real,Expanded oracle top-5 h1,0.0032626427406199023,2,real_external_test
1.0,football,real,Expanded oracle top-5 h1,0.004893964110929853,3,real_external_test
1.0,football,real,Expanded oracle top-5 h1,0.0065252854812398045,4,real_external_test
1.0,football,real,Expanded oracle top-5 h1,0.008156606851549755,5,real_external_test
1.0,football,real,Expanded oracle top-5 h1,0.009787928221859706,6,real_external_test
1.0,football,real,Expanded oracle top-5 h1,0.011419249592169658,7,real_external_test
1.0,football,real,Expanded oracle top-5 h1,0.013050570962479609,8,real_external_test
1.0,football,real,Expanded oracle top-5 h1,0.01468189233278956,9,real_external_test
1.0,football,real,Expanded oracle top-5 h1,0.01631321370309951,10,real_external_test
1.0,football,real,Expanded oracle top-5 h1,0.01794453507340946,11,real_external_test
1.0,football,real,Expanded oracle top-5 h1,0.01957585644371941,12,real_external_test
1.0,football,real,Expanded oracle top-5 h1,0.021207177814029365,13,real_external_test
1.0,football,real,Expanded oracle top-5 h1,0.022838499184339316,14,real_external_test
1.0,football,real,Expanded oracle top-5 h1,0.024469820554649267,15,real_external_test
1.0,football,real,Expanded oracle top-5 h1,0.026101141924959218,16,real_external_test
1.0,football,real,Expanded oracle top-5 h1,0.02773246329526917,17,real_external_test
1.0,football,real,Expanded oracle top-5 h1,0.02936378466557912,18,real_external_test
1.0,football,real,Expanded oracle top-5 h1,0.03099510603588907,19,real_external_test
1.0,football,real,Expanded oracle top-5 h1,0.03262642740619902,20,real_external_test
1.0,football,real,Expanded oracle top-5 h1,0.03425774877650897,21,real_external_test
1.0,football,real,Expanded oracle top-5 h1,0.03588907014681892,22,real_external_test
1.0,football,real,Expanded oracle top-5 h1,0.037520391517128875,23,real_external_test
1.0,football,real,Expanded oracle top-5 h1,0.03915171288743882,24,real_external_test
1.0,football,real,Expanded oracle top-5 h1,0.040783034257748776,25,real_external_test
1.0,football,real,Expanded oracle top-5 h1,0.04241435562805873,26,real_external_test
1.0,football,real,Expanded oracle top-5 h1,0.04404567699836868,27,real_external_test
1.0,football,real,Expanded oracle top-5 h1,0.04567699836867863,28,real_external_test
1.0,football,real,Expanded oracle top-5 h1,0.04730831973898858,29,real_external_test
1.0,football,real,Expanded oracle top-5 h1,0.048939641109298535,30,real_external_test
1.0,football,real,Expanded oracle top-5 h1,0.05057096247960848,31,real_external_test
1.0,football,real,Expanded oracle top-5 h1,0.052202283849918436,32,real_external_test
1.0,football,real,Expanded oracle top-5 h1,0.053833605220228384,33,real_external_test
1.0,football,real,Expanded oracle top-5 h1,0.05546492659053834,34,real_external_test
1.0,football,real,Expanded oracle top-5 h1,0.057096247960848286,35,real_external_test
1.0,football,real,Expanded oracle top-5 h1,0.05872756933115824,36,real_external_test
1.0,football,real,Expanded oracle top-5 h1,0.06035889070146819,37,real_external_test
1.0,football,real,Expanded oracle top-5 h1,0.06199021207177814,38,real_external_test
1.0,football,real,Expanded oracle top-5 h1,0.0636215334420881,39,real_external_test
1.0,football,real,Expanded oracle top-5 h1,0.06525285481239804,40,real_external_test
1.0,football,real,Expanded oracle top-5 h1,0.06688417618270799,41,real_external_test
1.0,football,real,Expanded oracle top-5 h1,0.06851549755301795,42,real_external_test
1.0,football,real,Expanded oracle top-5 h1,0.0701468189233279,43,real_external_test
1.0,football,real,Expanded oracle top-5 h1,0.07177814029363784,44,real_external_test
1.0,football,real,Expanded oracle top-5 h1,0.0734094616639478,45,real_external_test
1.0,football,real,Expanded oracle top-5 h1,0.07504078303425775,46,real_external_test
1.0,football,real,Expanded oracle top-5 h1,0.0766721044045677,47,real_external_test
1.0,football,real,Expanded oracle top-5 h1,0.07830342577487764,48,real_external_test
1.0,football,real,Expanded oracle top-5 h1,0.0799347471451876,49,real_external_test
1.0,football,real,Expanded oracle top-5 h1,0.08156606851549755,50,real_external_test
1.0,football,real,Expanded oracle top-5 h1,0.08319738988580751,51,real_external_test
1.0,football,real,Expanded oracle top-5 h1,0.08482871125611746,52,real_external_test
1.0,football,real,Expanded oracle top-5 h1,0.0864600326264274,53,real_external_test
1.0,football,real,Expanded oracle top-5 h1,0.08809135399673736,54,real_external_test
1.0,football,real,Expanded oracle top-5 h1,0.08972267536704731,55,real_external_test
1.0,football,real,Expanded oracle top-5 h1,0.09135399673735727,56,real_external_test
1.0,football,real,Expanded oracle top-5 h1,0.0929853181076672,57,real_external_test
1.0,football,real,Expanded oracle top-5 h1,0.09461663947797716,58,real_external_test
1.0,football,real,Expanded oracle top-5 h1,0.09624796084828711,59,real_external_test
1.0,football,real,Expanded oracle top-5 h1,0.09787928221859707,60,real_external_test
1.0,football,real,Expanded oracle top-5 h1,0.09951060358890701,61,real_external_test
1.0,football,real,Expanded oracle top-5 h1,0.10114192495921696,62,real_external_test
1.0,football,real,Expanded oracle top-5 h1,0.10277324632952692,63,real_external_test
0.5043478260869565,football,real,Expanded oracle top-5 h1,0.10440456769983687,64,real_external_test
0.5043478260869565,football,real,Expanded oracle top-5 h1,0.10603588907014681,65,real_external_test
0.5043478260869565,football,real,Expanded oracle top-5 h1,0.10766721044045677,66,real_external_test
0.5043478260869565,football,real,Expanded oracle top-5 h1,0.10929853181076672,67,real_external_test
0.5043478260869565,football,real,Expanded oracle top-5 h1,0.11092985318107668,68,real_external_test
0.5043478260869565,football,real,Expanded oracle top-5 h1,0.11256117455138662,69,real_external_test
0.5043478260869565,football,real,Expanded oracle top-5 h1,0.11419249592169657,70,real_external_test
0.5043478260869565,football,real,Expanded oracle top-5 h1,0.11582381729200653,71,real_external_test
0.5043478260869565,football,real,Expanded oracle top-5 h1,0.11745513866231648,72,real_external_test
0.5043478260869565,football,real,Expanded oracle top-5 h1,0.11908646003262642,73,real_external_test
0.5043478260869565,football,real,Expanded oracle top-5 h1,0.12071778140293637,74,real_external_test
0.5043478260869565,football,real,Expanded oracle top-5 h1,0.12234910277324633,75,real_external_test
0.5043478260869565,football,real,Expanded oracle top-5 h1,0.12398042414355628,76,real_external_test
0.5043478260869565,football,real,Expanded oracle top-5 h1,0.12561174551386622,77,real_external_test
0.5043478260869565,football,real,Expanded oracle top-5 h1,0.1272430668841762,78,real_external_test
0.5043478260869565,football,real,Expanded oracle top-5 h1,0.12887438825448613,79,real_external_test
0.5043478260869565,football,real,Expanded oracle top-5 h1,0.13050570962479607,80,real_external_test
0.5043478260869565,football,real,Expanded oracle top-5 h1,0.13213703099510604,81,real_external_test
0.5043478260869565,football,real,Expanded oracle top-5 h1,0.13376835236541598,82,real_external_test
0.5043478260869565,football,real,Expanded oracle top-5 h1,0.13539967373572595,83,real_external_test
0.5043478260869565,football,real,Expanded oracle top-5 h1,0.1370309951060359,84,real_external_test
