gcc_after,gcc_before,gcc_delta,graph_id,graph_type,method,num_unique_candidates,remove_ratio,rollout_depth,rollout_edges,selected_source_method,selected_source_rank,split,step,u,v
1.0,1.0,0.0,football,real,Expanded oracle top-5 h1,14,0.0016313213703099511,1,20-21,M4 dynamic community internal / pair,1,real_external_test,1,20,21
1.0,1.0,0.0,football,real,Expanded oracle top-5 h1,13,0.0032626427406199023,1,51-101,M5 dynamic edge betweenness,1,real_external_test,2,51,101
1.0,1.0,0.0,football,real,Expanded oracle top-5 h1,12,0.004893964110929853,1,16-38,M4 dynamic community internal / pair,1,real_external_test,3,16,38
1.0,1.0,0.0,football,real,Expanded oracle top-5 h1,14,0.0065252854812398045,1,28-38,M4 dynamic community internal / pair,1,real_external_test,4,28,38
1.0,1.0,0.0,football,real,Expanded oracle top-5 h1,14,0.008156606851549755,1,89-99,M4 dynamic community internal / pair,1,real_external_test,5,89,99
1.0,1.0,0.0,football,real,Expanded oracle top-5 h1,13,0.009787928221859706,1,102-103,M4 dynamic community internal / pair,1,real_external_test,6,102,103
1.0,1.0,0.0,football,real,Expanded oracle top-5 h1,15,0.011419249592169658,1,3-26,M4 dynamic community internal / pair,1,real_external_test,7,3,26
1.0,1.0,0.0,football,real,Expanded oracle top-5 h1,17,0.013050570962479609,1,71-72,M4 dynamic community internal / pair,1,real_external_test,8,71,72
1.0,1.0,0.0,football,real,Expanded oracle top-5 h1,18,0.01468189233278956,1,30-50,M5 dynamic edge betweenness,1,real_external_test,9,30,50
1.0,1.0,0.0,football,real,Expanded oracle top-5 h1,18,0.01631321370309951,1,0-35,M5 dynamic edge betweenness,1,real_external_test,10,0,35
1.0,1.0,0.0,football,real,Expanded oracle top-5 h1,19,0.01794453507340946,1,15-68,M5 dynamic edge betweenness,1,real_external_test,11,15,68
1.0,1.0,0.0,football,real,Expanded oracle top-5 h1,18,0.01957585644371941,1,69-70,M5 dynamic edge betweenness,1,real_external_test,12,69,70
1.0,1.0,0.0,football,real,Expanded oracle top-5 h1,18,0.021207177814029365,1,47-61,M5 dynamic edge betweenness,1,real_external_test,13,47,61
1.0,1.0,0.0,football,real,Expanded oracle top-5 h1,18,0.022838499184339316,1,80-110,M4 dynamic community internal / pair,1,real_external_test,14,80,110
1.0,1.0,0.0,football,real,Expanded oracle top-5 h1,17,0.024469820554649267,1,0-1,M4 dynamic community internal / pair,1,real_external_test,15,0,1
1.0,1.0,0.0,football,real,Expanded oracle top-5 h1,15,0.026101141924959218,1,24-25,M4 dynamic community internal / pair,1,real_external_test,16,24,25
1.0,1.0,0.0,football,real,Expanded oracle top-5 h1,15,0.02773246329526917,1,0-33,M4 dynamic community internal / pair,1,real_external_test,17,0,33
1.0,1.0,0.0,football,real,Expanded oracle top-5 h1,16,0.02936378466557912,1,88-89,M5 dynamic edge betweenness,1,real_external_test,18,88,89
1.0,1.0,0.0,football,real,Expanded oracle top-5 h1,15,0.03099510603588907,1,25-53,M4 dynamic community internal / pair,1,real_external_test,19,25,53
1.0,1.0,0.0,football,real,Expanded oracle top-5 h1,16,0.03262642740619902,1,13-45,M5 dynamic edge betweenness,1,real_external_test,20,13,45
1.0,1.0,0.0,football,real,Expanded oracle top-5 h1,15,0.03425774877650897,1,25-106,M4 dynamic community internal / pair,1,real_external_test,21,25,106
1.0,1.0,0.0,football,real,Expanded oracle top-5 h1,16,0.03588907014681892,1,69-95,M5 dynamic edge betweenness,1,real_external_test,22,69,95
1.0,1.0,0.0,football,real,Expanded oracle top-5 h1,16,0.037520391517128875,1,63-64,M5 dynamic edge betweenness,1,real_external_test,23,63,64
1.0,1.0,0.0,football,real,Expanded oracle top-5 h1,16,0.03915171288743882,1,6-55,M5 dynamic edge betweenness,1,real_external_test,24,6,55
1.0,1.0,0.0,football,real,Expanded oracle top-5 h1,17,0.040783034257748776,1,31-32,M5 dynamic edge betweenness,1,real_external_test,25,31,32
1.0,1.0,0.0,football,real,Expanded oracle top-5 h1,16,0.04241435562805873,1,30-82,M5 dynamic edge betweenness,1,real_external_test,26,30,82
1.0,1.0,0.0,football,real,Expanded oracle top-5 h1,15,0.04404567699836868,1,80-82,M5 dynamic edge betweenness,1,real_external_test,27,80,82
1.0,1.0,0.0,football,real,Expanded oracle top-5 h1,16,0.04567699836867863,1,80-93,M5 dynamic edge betweenness,1,real_external_test,28,80,93
1.0,1.0,0.0,football,real,Expanded oracle top-5 h1,17,0.04730831973898858,1,82-94,M5 dynamic edge betweenness,1,real_external_test,29,82,94
1.0,1.0,0.0,football,real,Expanded oracle top-5 h1,15,0.048939641109298535,1,29-82,M4 dynamic community internal / pair,1,real_external_test,30,29,82
1.0,1.0,0.0,football,real,Expanded oracle top-5 h1,16,0.05057096247960848,1,58-101,M5 dynamic edge betweenness,1,real_external_test,31,58,101
1.0,1.0,0.0,football,real,Expanded oracle top-5 h1,15,0.052202283849918436,1,91-93,M5 dynamic edge betweenness,1,real_external_test,32,91,93
1.0,1.0,0.0,football,real,Expanded oracle top-5 h1,13,0.053833605220228384,1,24-66,M4 dynamic community internal / pair,1,real_external_test,33,24,66
1.0,1.0,0.0,football,real,Expanded oracle top-5 h1,12,0.05546492659053834,1,69-91,M4 dynamic community internal / pair,1,real_external_test,34,69,91
1.0,1.0,0.0,football,real,Expanded oracle top-5 h1,14,0.057096247960848286,1,58-88,M4 dynamic community internal / pair,1,real_external_test,35,58,88
1.0,1.0,0.0,football,real,Expanded oracle top-5 h1,14,0.05872756933115824,1,58-114,M4 dynamic community internal / pair,1,real_external_test,36,58,114
1.0,1.0,0.0,football,real,Expanded oracle top-5 h1,15,0.06035889070146819,1,87-104,M4 dynamic community internal / pair,1,real_external_test,37,87,104
1.0,1.0,0.0,football,real,Expanded oracle top-5 h1,13,0.06199021207177814,1,16-17,M4 dynamic community internal / pair,1,real_external_test,38,16,17
1.0,1.0,0.0,football,real,Expanded oracle top-5 h1,13,0.0636215334420881,1,0-65,M4 dynamic community internal / pair,1,real_external_test,39,0,65
1.0,1.0,0.0,football,real,Expanded oracle top-5 h1,15,0.06525285481239804,1,11-97,M4 dynamic community internal / pair,1,real_external_test,40,11,97
1.0,1.0,0.0,football,real,Expanded oracle top-5 h1,17,0.06688417618270799,1,24-87,M4 dynamic community internal / pair,1,real_external_test,41,24,87
1.0,1.0,0.0,football,real,Expanded oracle top-5 h1,18,0.06851549755301795,1,28-113,M4 dynamic community internal / pair,1,real_external_test,42,28,113
1.0,1.0,0.0,football,real,Expanded oracle top-5 h1,18,0.0701468189233279,1,53-86,M5 dynamic edge betweenness,1,real_external_test,43,53,86
1.0,1.0,0.0,football,real,Expanded oracle top-5 h1,14,0.07177814029363784,1,75-107,M5 dynamic edge betweenness,1,real_external_test,44,75,107
1.0,1.0,0.0,football,real,Expanded oracle top-5 h1,14,0.0734094616639478,1,48-49,M4 dynamic community internal / pair,1,real_external_test,45,48,49
1.0,1.0,0.0,football,real,Expanded oracle top-5 h1,13,0.07504078303425775,1,48-53,M4 dynamic community internal / pair,1,real_external_test,46,48,53
1.0,1.0,0.0,football,real,Expanded oracle top-5 h1,13,0.0766721044045677,1,52-112,M4 dynamic community internal / pair,1,real_external_test,47,52,112
1.0,1.0,0.0,football,real,Expanded oracle top-5 h1,12,0.07830342577487764,1,48-98,M4 dynamic community internal / pair,1,real_external_test,48,48,98
1.0,1.0,0.0,football,real,Expanded oracle top-5 h1,12,0.0799347471451876,1,5-97,M4 dynamic community internal / pair,1,real_external_test,49,5,97
1.0,1.0,0.0,football,real,Expanded oracle top-5 h1,11,0.08156606851549755,1,3-58,M4 dynamic community internal / pair,1,real_external_test,50,3,58
1.0,1.0,0.0,football,real,Expanded oracle top-5 h1,12,0.08319738988580751,1,97-98,M4 dynamic community internal / pair,1,real_external_test,51,97,98
1.0,1.0,0.0,football,real,Expanded oracle top-5 h1,12,0.08482871125611746,1,15-92,M4 dynamic community internal / pair,1,real_external_test,52,15,92
1.0,1.0,0.0,football,real,Expanded oracle top-5 h1,11,0.0864600326264274,1,56-106,M4 dynamic community internal / pair,1,real_external_test,53,56,106
1.0,1.0,0.0,football,real,Expanded oracle top-5 h1,11,0.08809135399673736,1,92-106,M4 dynamic community internal / pair,1,real_external_test,54,92,106
1.0,1.0,0.0,football,real,Expanded oracle top-5 h1,12,0.08972267536704731,1,59-60,M4 dynamic community internal / pair,1,real_external_test,55,59,60
1.0,1.0,0.0,football,real,Expanded oracle top-5 h1,14,0.09135399673735727,1,6-58,M4 dynamic community internal / pair,1,real_external_test,56,6,58
1.0,1.0,0.0,football,real,Expanded oracle top-5 h1,19,0.0929853181076672,1,12-13,M5 dynamic edge betweenness,1,real_external_test,57,12,13
1.0,1.0,0.0,football,real,Expanded oracle top-5 h1,14,0.09461663947797716,1,6-85,M5 dynamic edge betweenness,1,real_external_test,58,6,85
1.0,1.0,0.0,football,real,Expanded oracle top-5 h1,20,0.09624796084828711,1,2-14,M5 dynamic edge betweenness,1,real_external_test,59,2,14
1.0,1.0,0.0,football,real,Expanded oracle top-5 h1,15,0.09787928221859707,1,60-71,M5 dynamic edge betweenness,1,real_external_test,60,60,71
1.0,1.0,0.0,football,real,Expanded oracle top-5 h1,15,0.09951060358890701,1,99-100,M5 dynamic edge betweenness,1,real_external_test,61,99,100
1.0,1.0,0.0,football,real,Expanded oracle top-5 h1,12,0.10114192495921696,1,39-54,M4 dynamic community internal / pair,1,real_external_test,62,39,54
1.0,1.0,0.0,football,real,Expanded oracle top-5 h1,14,0.10277324632952692,1,14-15,M4 dynamic community internal / pair,1,real_external_test,63,14,15
0.5043478260869565,1.0,0.4956521739130435,football,real,Expanded oracle top-5 h1,16,0.10440456769983687,1,38-39,M4 dynamic community internal / pair,1,real_external_test,64,38,39
0.5043478260869565,0.5043478260869565,0.0,football,real,Expanded oracle top-5 h1,14,0.10603588907014681,1,61-92,M4 dynamic community internal / pair,1,real_external_test,65,61,92
0.5043478260869565,0.5043478260869565,0.0,football,real,Expanded oracle top-5 h1,14,0.10766721044045677,1,42-57,M4 dynamic community internal / pair,1,real_external_test,66,42,57
0.5043478260869565,0.5043478260869565,0.0,football,real,Expanded oracle top-5 h1,13,0.10929853181076672,1,43-70,M4 dynamic community internal / pair,1,real_external_test,67,43,70
0.5043478260869565,0.5043478260869565,0.0,football,real,Expanded oracle top-5 h1,12,0.11092985318107668,1,26-27,M4 dynamic community internal / pair,1,real_external_test,68,26,27
0.5043478260869565,0.5043478260869565,0.0,football,real,Expanded oracle top-5 h1,14,0.11256117455138662,1,61-62,M4 dynamic community internal / pair,1,real_external_test,69,61,62
0.5043478260869565,0.5043478260869565,0.0,football,real,Expanded oracle top-5 h1,16,0.11419249592169657,1,12-17,M4 dynamic community internal / pair,1,real_external_test,70,12,17
0.5043478260869565,0.5043478260869565,0.0,football,real,Expanded oracle top-5 h1,17,0.11582381729200653,1,20-36,M5 dynamic edge betweenness,1,real_external_test,71,20,36
0.5043478260869565,0.5043478260869565,0.0,football,real,Expanded oracle top-5 h1,17,0.11745513866231648,1,42-63,M5 dynamic edge betweenness,1,real_external_test,72,42,63
0.5043478260869565,0.5043478260869565,0.0,football,real,Expanded oracle top-5 h1,17,0.11908646003262642,1,36-59,M5 dynamic edge betweenness,1,real_external_test,73,36,59
0.5043478260869565,0.5043478260869565,0.0,football,real,Expanded oracle top-5 h1,13,0.12071778140293637,1,36-58,M4 dynamic community internal / pair,1,real_external_test,74,36,58
0.5043478260869565,0.5043478260869565,0.0,football,real,Expanded oracle top-5 h1,13,0.12234910277324633,1,80-85,M5 dynamic edge betweenness,1,real_external_test,75,80,85
0.5043478260869565,0.5043478260869565,0.0,football,real,Expanded oracle top-5 h1,13,0.12398042414355628,1,36-37,M4 dynamic community internal / pair,1,real_external_test,76,36,37
0.5043478260869565,0.5043478260869565,0.0,football,real,Expanded oracle top-5 h1,12,0.12561174551386622,1,79-109,M5 dynamic edge betweenness,1,real_external_test,77,79,109
0.5043478260869565,0.5043478260869565,0.0,football,real,Expanded oracle top-5 h1,12,0.1272430668841762,1,44-45,M4 dynamic community internal / pair,1,real_external_test,78,44,45
0.5043478260869565,0.5043478260869565,0.0,football,real,Expanded oracle top-5 h1,13,0.12887438825448613,1,19-44,M5 dynamic edge betweenness,1,real_external_test,79,19,44
0.5043478260869565,0.5043478260869565,0.0,football,real,Expanded oracle top-5 h1,14,0.13050570962479607,1,34-35,M5 dynamic edge betweenness,1,real_external_test,80,34,35
0.5043478260869565,0.5043478260869565,0.0,football,real,Expanded oracle top-5 h1,14,0.13213703099510604,1,55-89,M5 dynamic edge betweenness,1,real_external_test,81,55,89
