gcc_after,gcc_before,gcc_delta,graph_id,graph_type,method,num_unique_candidates,remove_ratio,rollout_depth,rollout_edges,selected_source_method,selected_source_rank,split,step,u,v
1.0,1.0,0.0,karate,real,Expanded oracle top-5 h1,13,0.01282051282051282,1,0-31,M5 dynamic edge betweenness,1,real_external_test,1,0,31
1.0,1.0,0.0,karate,real,Expanded oracle top-5 h1,10,0.02564102564102564,1,32-33,M2 dynamic degree product,1,real_external_test,2,32,33
1.0,1.0,0.0,karate,real,Expanded oracle top-5 h1,10,0.038461538461538464,1,0-2,M2 dynamic degree product,1,real_external_test,3,0,2
1.0,1.0,0.0,karate,real,Expanded oracle top-5 h1,12,0.05128205128205128,1,13-33,M4 dynamic community internal / pair,1,real_external_test,4,13,33
1.0,1.0,0.0,karate,real,Expanded oracle top-5 h1,10,0.0641025641025641,1,0-1,M2 dynamic degree product,1,real_external_test,5,0,1
1.0,1.0,0.0,karate,real,Expanded oracle top-5 h1,11,0.07692307692307693,1,2-27,M4 dynamic community internal / pair,1,real_external_test,6,2,27
1.0,1.0,0.0,karate,real,Expanded oracle top-5 h1,10,0.08974358974358974,1,2-28,M4 dynamic community internal / pair,1,real_external_test,7,2,28
1.0,1.0,0.0,karate,real,Expanded oracle top-5 h1,12,0.10256410256410256,1,0-3,M2 dynamic degree product,1,real_external_test,8,0,3
1.0,1.0,0.0,karate,real,Expanded oracle top-5 h1,10,0.11538461538461539,1,2-32,M2 dynamic degree product,1,real_external_test,9,2,32
1.0,1.0,0.0,karate,real,Expanded oracle top-5 h1,11,0.1282051282051282,1,8-33,M2 dynamic degree product,1,real_external_test,10,8,33
1.0,1.0,0.0,karate,real,Expanded oracle top-5 h1,13,0.14102564102564102,1,19-33,M4 dynamic community internal / pair,1,real_external_test,11,19,33
1.0,1.0,0.0,karate,real,Expanded oracle top-5 h1,12,0.15384615384615385,1,0-8,M5 dynamic edge betweenness,1,real_external_test,12,0,8
1.0,1.0,0.0,karate,real,Expanded oracle top-5 h1,12,0.16666666666666666,1,1-30,M4 dynamic community internal / pair,1,real_external_test,13,1,30
1.0,1.0,0.0,karate,real,Expanded oracle top-5 h1,13,0.1794871794871795,1,2-9,M5 dynamic edge betweenness,1,real_external_test,14,2,9
0.5294117647058824,1.0,0.47058823529411764,karate,real,Expanded oracle top-5 h1,14,0.19230769230769232,1,2-8,M4 dynamic community internal / pair,1,real_external_test,15,2,8
