dataset_group,source_budget,comparison,delta_definition,n_pairs,mean_delta,median_delta,wins,ties,losses,wilcoxon_p,bootstrap_ci95_low,bootstrap_ci95_high,cohen_d_paired
realworld_completed,16,SASB-N-structured vs M5,delta_m5,12,0.008940961437534473,0.0041197017266832985,2,1,9,0.00927734375,0.003120350303085633,0.01626360730873565,0.7219735479743257
realworld_completed,16,SASB-N-structured vs SASB-N-random-source,delta_policy_random_source,12,0.0066296348438043455,0.003132957778377023,3,0,9,0.04248046875,0.0015736115929939184,0.012984559450981379,0.6192827425343127
realworld_completed,16,SASB-N-structured vs SASB-N-frozen-source,delta_policy_frozen_source,12,-0.008344942367402417,-0.00512608184670145,11,0,1,0.0068359375,-0.01414012546052852,-0.003286764699534157,-0.8351958264842728
realworld_completed,16,SASB-N-structured vs SASB-N-degree-source,delta_policy_degree_source,12,-0.0005608376960298528,0.00014685115077217072,5,1,6,0.9658203125,-0.004367769059067189,0.0025864436561117998,-0.08641058958178557
realworld_completed,32,SASB-N-structured vs M5,delta_m5,12,0.004816466469972105,0.0028738941286443904,2,1,9,0.0068359375,0.0018931116894034875,0.008504753659426288,0.7747102201768816
realworld_completed,32,SASB-N-structured vs SASB-N-random-source,delta_policy_random_source,12,0.004475472051294743,0.0023668977817973176,1,1,10,0.0048828125,0.0017108454633823745,0.007843205320220115,0.786715695975878
realworld_completed,32,SASB-N-structured vs SASB-N-frozen-source,delta_policy_frozen_source,12,-0.010864580561825718,-0.0074120226783704335,12,0,0,0.00048828125,-0.017319429459103204,-0.005231381459519927,-0.9553307365016249
realworld_completed,32,SASB-N-structured vs SASB-N-degree-source,delta_policy_degree_source,12,-0.002434125915163813,-3.045806067819394e-06,6,1,5,0.46484375,-0.00693163348209485,0.00046851425619634095,-0.3300945538245314
realworld_completed,64,SASB-N-structured vs M5,delta_m5,12,0.002210106695116129,0.0016100896682075209,3,1,8,0.02685546875,0.0006111785417183586,0.004349030404163892,0.6254042541909379
realworld_completed,64,SASB-N-structured vs SASB-N-random-source,delta_policy_random_source,12,0.0024746503492243414,0.0015068665591619849,3,1,8,0.013671875,0.0007216601687975809,0.004731738935048663,0.6652556076065224
realworld_completed,64,SASB-N-structured vs SASB-N-frozen-source,delta_policy_frozen_source,12,-0.006938487366242379,-0.00321549629651946,11,1,0,0.0009765625,-0.012649865690776594,-0.0023370256932632558,-0.7189509043401361
realworld_completed,64,SASB-N-structured vs SASB-N-degree-source,delta_policy_degree_source,12,-0.00026731084821654885,-0.00015594851514529572,7,2,3,0.6953125,-0.0013839178281178878,0.0008809842505613568,-0.12590539672333734
realworld_completed,128,SASB-N-structured vs M5,delta_m5,12,0.0013653571830351877,2.7755575615628914e-17,4,3,5,0.3203125,9.260824176957401e-05,0.003049171466383836,0.4953849790095588
realworld_completed,128,SASB-N-structured vs SASB-N-random-source,delta_policy_random_source,12,0.0015067483639805057,0.0001903120117416942,3,2,7,0.0673828125,0.00014355380822169835,0.0032798238970555517,0.5141224877274586
realworld_completed,128,SASB-N-structured vs SASB-N-frozen-source,delta_policy_frozen_source,12,-0.0015741196677094024,-0.0003156127947588315,9,2,1,0.0048828125,-0.003818592202101183,-0.0002500953102335944,-0.4339627018270493
realworld_completed,128,SASB-N-structured vs SASB-N-degree-source,delta_policy_degree_source,12,0.0009779306921429253,0.0,1,6,5,0.15625,-2.5932113123917187e-05,0.002559183662950866,0.37876055023163047
synthetic45,16,SASB-N-structured vs M5,delta_m5,12,0.025512737136925968,0.03259956477596174,0,0,12,0.00048828125,0.016060381404556644,0.034758610559161754,1.457587335443872
synthetic45,16,SASB-N-structured vs SASB-N-random-source,delta_policy_random_source,12,0.0192224160595528,0.018675009353958605,1,0,11,0.0009765625,0.012359261170659684,0.025969265500815884,1.5088951652948999
synthetic45,16,SASB-N-structured vs SASB-N-frozen-source,delta_policy_frozen_source,12,-0.014255386641944949,-0.010183713328986571,11,0,1,0.0048828125,-0.022941529269796954,-0.006444499945877563,-0.9290848481288765
synthetic45,16,SASB-N-structured vs SASB-N-degree-source,delta_policy_degree_source,12,0.0017641816311475648,-0.0005782969129466686,7,0,5,0.791015625,-0.0018196949608216399,0.006190549026749541,0.23589573481485146
synthetic45,32,SASB-N-structured vs M5,delta_m5,12,0.01323615783697976,0.016961679378263816,1,0,11,0.0048828125,0.00617662019265929,0.019682929920209948,1.0667344599639048
synthetic45,32,SASB-N-structured vs SASB-N-random-source,delta_policy_random_source,12,0.009146337979710277,0.008635158127897224,2,0,10,0.01220703125,0.003991342470002539,0.014207900104012966,0.9711589911863403
synthetic45,32,SASB-N-structured vs SASB-N-frozen-source,delta_policy_frozen_source,12,-0.009027164990193721,-0.006384197828253502,12,0,0,0.00048828125,-0.014468838670895013,-0.004853241578966821,-1.002781695130047
synthetic45,32,SASB-N-structured vs SASB-N-degree-source,delta_policy_degree_source,12,0.0009166559493233584,0.0020545743938601008,5,0,7,0.67724609375,-0.003193663264977324,0.004943456408989324,0.12278493526611846
synthetic45,64,SASB-N-structured vs M5,delta_m5,12,0.00465480275190926,0.004894699990022566,3,0,9,0.0771484375,-0.00015229728572969223,0.0094018894396608,0.5235966343181834
synthetic45,64,SASB-N-structured vs SASB-N-random-source,delta_policy_random_source,12,0.003920513708583025,0.004933203278993534,4,0,8,0.06396484375,0.0005745179063148627,0.007235781812873272,0.6309427571198877
synthetic45,64,SASB-N-structured vs SASB-N-frozen-source,delta_policy_frozen_source,12,-0.0014781303268359056,-0.0012897559171597753,8,0,4,0.1513671875,-0.003264121788723483,0.0003024104498858322,-0.44926066522909264
synthetic45,64,SASB-N-structured vs SASB-N-degree-source,delta_policy_degree_source,12,-0.003555272778933189,-0.0035162409360033897,9,1,2,0.009765625,-0.005813027245603625,-0.0013165063771595068,-0.8531731355526629
synthetic45,128,SASB-N-structured vs M5,delta_m5,12,0.0012606878148021482,2.4451073402098622e-05,1,5,6,0.03125,0.0003262477569404186,0.002415504936289435,0.6403571229523876
synthetic45,128,SASB-N-structured vs SASB-N-random-source,delta_policy_random_source,12,0.0019114370334434468,0.0009870129689086293,1,4,7,0.0390625,0.0004104405807653251,0.003448702854478888,0.676496585429974
synthetic45,128,SASB-N-structured vs SASB-N-frozen-source,delta_policy_frozen_source,12,-0.0010194166997737342,0.0,4,4,4,0.640625,-0.0031228793399979463,0.0007774156753393945,-0.2778920014568932
synthetic45,128,SASB-N-structured vs SASB-N-degree-source,delta_policy_degree_source,12,0.0001670888760607984,0.0,4,6,2,1.0,-0.00099459909408998,0.0014268369772395446,0.07377113849640773
