method,network,removed_edges,remove_ratio,gcc_ratio,elapsed_seconds
M1 Random,karate,0,0,1.0,0.01719975471496582
M1 Random,karate,1,0.01282051282051282,1.0,0.01719975471496582
M1 Random,karate,2,0.02564102564102564,1.0,0.01719975471496582
M1 Random,karate,3,0.038461538461538464,1.0,0.01719975471496582
M1 Random,karate,4,0.05128205128205128,1.0,0.01719975471496582
M1 Random,karate,5,0.0641025641025641,1.0,0.01719975471496582
M1 Random,karate,6,0.07692307692307693,1.0,0.01719975471496582
M1 Random,karate,7,0.08974358974358974,1.0,0.01719975471496582
M1 Random,karate,8,0.10256410256410256,1.0,0.01719975471496582
M1 Random,karate,9,0.11538461538461539,1.0,0.01719975471496582
M1 Random,karate,10,0.1282051282051282,1.0,0.01719975471496582
M1 Random,karate,11,0.14102564102564102,1.0,0.01719975471496582
M1 Random,karate,12,0.15384615384615385,1.0,0.01719975471496582
M1 Random,karate,13,0.16666666666666666,1.0,0.01719975471496582
M1 Random,karate,14,0.1794871794871795,1.0,0.01719975471496582
M1 Random,karate,15,0.19230769230769232,1.0,0.01719975471496582
M1 Random,karate,16,0.20512820512820512,1.0,0.01719975471496582
M1 Random,karate,17,0.21794871794871795,1.0,0.01719975471496582
M1 Random,karate,18,0.23076923076923078,1.0,0.01719975471496582
M1 Random,karate,19,0.24358974358974358,1.0,0.01719975471496582
M1 Random,karate,20,0.2564102564102564,1.0,0.01719975471496582
M1 Random,karate,21,0.2692307692307692,1.0,0.01719975471496582
M1 Random,karate,22,0.28205128205128205,1.0,0.01719975471496582
M1 Random,karate,23,0.2948717948717949,0.9705882352941176,0.01719975471496582
M1 Random,karate,24,0.3076923076923077,0.9705882352941176,0.01719975471496582
M1 Random,karate,25,0.32051282051282054,0.9705882352941176,0.01719975471496582
M1 Random,karate,26,0.3333333333333333,0.9705882352941176,0.01719975471496582
M1 Random,karate,27,0.34615384615384615,0.9705882352941176,0.01719975471496582
M1 Random,karate,28,0.358974358974359,0.9705882352941176,0.01719975471496582
M1 Random,karate,29,0.3717948717948718,0.9705882352941176,0.01719975471496582
M1 Random,karate,30,0.38461538461538464,0.9705882352941176,0.01719975471496582
M1 Random,karate,31,0.3974358974358974,0.9705882352941176,0.01719975471496582
M1 Random,karate,32,0.41025641025641024,0.9705882352941176,0.01719975471496582
M1 Random,karate,33,0.4230769230769231,0.9705882352941176,0.01719975471496582
M1 Random,karate,34,0.4358974358974359,0.9705882352941176,0.01719975471496582
M1 Random,karate,35,0.44871794871794873,0.9705882352941176,0.01719975471496582
M1 Random,karate,36,0.46153846153846156,0.9411764705882353,0.01719975471496582
M1 Random,karate,37,0.47435897435897434,0.9411764705882353,0.01719975471496582
M1 Random,karate,38,0.48717948717948717,0.9411764705882353,0.01719975471496582
M1 Random,karate,39,0.5,0.9411764705882353,0.01719975471496582
M1 Random,karate,40,0.5128205128205128,0.8529411764705882,0.01719975471496582
M1 Random,karate,41,0.5256410256410257,0.8529411764705882,0.01719975471496582
