split,method,num_graphs,mean_auc,median_auc,std_auc,mean_remove_ratio_gcc_le_0_5,mean_remove_ratio_gcc_le_0_2,mean_remove_ratio_gcc_le_0_1
real_external_test,MLP teacher-rank,5,0.3998217708110826,0.4786013192424995,0.18712881009650417,0.3532841661949663,0.5998417787716448,0.7272847334554517
real_external_test,M2 dynamic degree product,5,0.5766137536670556,0.6091628959276018,0.2495700523353965,0.5779800932151259,0.6080314997692494,0.6406174550421005
real_external_test,M4 dynamic community internal / pair,5,0.2006982724290432,0.24352081707922546,0.1387474822868149,0.1360873204211262,0.2871695577250856,0.3899312011146369
real_external_test,M5 dynamic edge betweenness,5,0.1772520195900522,0.2177317540251082,0.12768427761207288,0.1096461857843926,0.2737843397571784,0.42777839289837266
real_external_test,M7 dynamic community size / pair,5,0.19898936684011465,0.24069792183842822,0.13991492911688994,0.13551423057240136,0.2961669280670721,0.39402307593240005
real_external_test,M8 dynamic community bridge-degree,5,0.2101269569119933,0.24193205191857578,0.13388519983839145,0.1512635441379569,0.2965462967964275,0.4029407935202215
synthetic_test,MLP teacher-rank,18,0.6786872588720796,0.7400352219504862,0.13314670724572247,0.6988941533968043,0.8040606725829403,0.8822123230483191
synthetic_test,M2 dynamic degree product,18,0.7219837201266888,0.7240394223580806,0.06972438616995759,0.7144408319177747,0.7275425068770303,0.7456815313414165
synthetic_test,M4 dynamic community internal / pair,18,0.4061719454761906,0.4425535209964042,0.10614594333631015,0.37201562909534264,0.48473240167651876,0.5727515397953711
synthetic_test,M5 dynamic edge betweenness,18,0.3970771927272854,0.41456010710945845,0.10740173934229556,0.40837668014153206,0.5356476238725085,0.6229215311824373
synthetic_test,M7 dynamic community size / pair,18,0.41237421951924674,0.4500608248442103,0.11151173726470791,0.3746716984118919,0.4848392803109331,0.5726967331907421
synthetic_test,M8 dynamic community bridge-degree,18,0.43331704917076946,0.46524462922937526,0.12041663436660208,0.3952639673356237,0.4971072248016358,0.5774794954110807
