graph_id,graph_type,kendall,mae,n_edges,rmse,spearman,split,top_10pct_overlap,top_1pct_overlap,top_5pct_overlap
bio_diseasome,real,0.5369578381201672,0.26420721875099296,1188,0.3199597389089734,0.7305978035157407,real_external_test,0.5294117647058824,0.08333333333333333,0.3898305084745763
ca_netscience,real,0.5565144655408636,0.24601567526629312,914,0.30019284064403035,0.7531536779970416,real_external_test,0.4065934065934066,0.0,0.2826086956521739
football,real,0.6464617385834159,0.14733647334988895,613,0.17514899543657286,0.8395910037580718,real_external_test,0.5081967213114754,0.16666666666666666,0.3870967741935484
inf_USAir97,real,0.43293100581625144,0.31778577781419354,2126,0.39252041795624704,0.5638656566173618,real_external_test,0.18309859154929578,0.0,0.09433962264150944
karate,real,0.5016838057636215,0.38826531191162517,78,0.4588273635768771,0.625790356897549,real_external_test,0.375,0.0,0.5
synthetic_test_000,sbm,0.5261134108085203,0.16193483798052993,1077,0.2026118184369434,0.7167915437877966,synthetic_test,0.5,0.2727272727272727,0.4074074074074074
synthetic_test_001,sbm,0.6724549152485333,0.11832011790033635,242,0.15053239965624268,0.8547647116228092,synthetic_test,0.5416666666666666,0.5,0.5833333333333334
synthetic_test_002,sbm,0.5999613144405559,0.14388380399751913,330,0.17695520545822407,0.7955833288671861,synthetic_test,0.6666666666666666,0.3333333333333333,0.5
synthetic_test_003,er,0.6393695275054875,0.12827601382415085,501,0.16240777720382463,0.8256582069935251,synthetic_test,0.72,0.6,0.64
synthetic_test_004,sbm,0.4891835433673413,0.1749011474073503,1598,0.21302735451620317,0.6744375090089804,synthetic_test,0.51875,0.375,0.575
synthetic_test_005,ba,0.6903074757874125,0.11166264647678763,603,0.14693914074801379,0.8740975867892138,synthetic_test,0.7166666666666667,0.5,0.7
synthetic_test_006,er,0.65131022097953,0.12695456645876152,567,0.15719512504654168,0.8453021055925295,synthetic_test,0.5263157894736842,0.3333333333333333,0.6428571428571429
synthetic_test_007,sbm,0.5911301287535132,0.14801609193875176,200,0.19726094298673152,0.7778669525009436,synthetic_test,0.45,0.0,0.4
synthetic_test_008,er,0.6220097694725977,0.1341653794113079,491,0.16965305880452838,0.8157209195647297,synthetic_test,0.6530612244897959,0.4,0.64
synthetic_test_009,sbm,0.5859186694303795,0.15085691975247245,815,0.18462428275315024,0.7810137802768277,synthetic_test,0.4878048780487805,0.25,0.4634146341463415
synthetic_test_010,ba,0.6480807884273692,0.12534055514144737,324,0.1618314169723104,0.8364904539407663,synthetic_test,0.625,0.0,0.625
synthetic_test_011,sbm,0.5203229277083772,0.1664180984520006,907,0.20389404030809943,0.7096610429786551,synthetic_test,0.5824175824175825,0.4444444444444444,0.4666666666666667
synthetic_test_012,ba,0.6480483897557688,0.126691608082881,573,0.16595555635775713,0.8397297141842537,synthetic_test,0.7017543859649122,0.3333333333333333,0.6896551724137931
synthetic_test_013,ws,0.5525770525770526,0.1496110526917647,352,0.190960997236282,0.7468023006266631,synthetic_test,0.5142857142857142,0.0,0.3333333333333333
synthetic_test_014,ws,0.644763970812342,0.13304141306457049,579,0.15841338541083544,0.8402108024998564,synthetic_test,0.5689655172413793,0.3333333333333333,0.5172413793103449
synthetic_test_015,ws,0.6756097892220773,0.11634818368240964,768,0.14706355918292743,0.8626197499080233,synthetic_test,0.6883116883116883,0.125,0.34210526315789475
synthetic_test_016,sbm,0.5982784152738687,0.13841424994751475,616,0.17726686198550093,0.7902190440023977,synthetic_test,0.6451612903225806,0.16666666666666666,0.4838709677419355
synthetic_test_017,sbm,0.6868746264988688,0.11234920920964286,743,0.14600430390159633,0.8672535194340256,synthetic_test,0.7702702702702703,0.14285714285714285,0.6216216216216216
val_000,sbm,0.5939085410341379,0.1442583491071764,240,0.17839472161401235,0.7899839385197711,val,0.5833333333333334,0.0,0.3333333333333333
val_001,ws,0.48783978679583245,0.18695106110076215,162,0.2242021563870181,0.664517919005768,val,0.75,0.5,0.75
val_002,ba,0.6549473672048484,0.11657340253012194,344,0.15065541151847295,0.8554455503927764,val,0.4117647058823529,0.3333333333333333,0.4117647058823529
val_003,sbm,0.6742571687969285,0.11702001550537255,390,0.14796506611852617,0.86285932913094,val,0.5384615384615384,0.25,0.6
val_004,ba,0.706525281602614,0.10485545807639482,1160,0.13312048183880504,0.8899258586780693,val,0.7241379310344828,0.25,0.5172413793103449
val_005,sbm,0.7504336715378721,0.10501539772165691,77,0.1396965278860986,0.9187126884386858,val,0.375,0.0,0.5
val_006,er,0.5485620322829625,0.15981449544163373,946,0.1979531231449779,0.7408830788954065,val,0.5052631578947369,0.1111111111111111,0.48936170212765956
val_007,sbm,0.5561159322611889,0.15344632147598694,442,0.1934441688571012,0.7458966882994901,val,0.5909090909090909,0.75,0.5454545454545454
val_008,sbm,0.5690645800592076,0.15587006558369995,785,0.19239786341326584,0.7662453597701342,val,0.6025641025641025,0.125,0.4358974358974359
val_009,sbm,0.5496608836813134,0.15767775972189585,594,0.19161516318980817,0.7430886439229636,val,0.576271186440678,0.5,0.4666666666666667
val_010,er,0.6282448172977592,0.13236623118443436,149,0.16552792422822346,0.820832169770015,val,0.6666666666666666,0.0,0.5714285714285714
val_011,sbm,0.5758221336506986,0.14953570154277449,912,0.18397889758416072,0.7705552317050509,val,0.5494505494505495,0.3333333333333333,0.4782608695652174
val_012,er,0.5855648776002759,0.14827521101643157,792,0.18119637922347917,0.7852329739026388,val,0.5443037974683544,0.75,0.45
val_013,sbm,0.5034332547304672,0.1741694184741246,1431,0.21090716567800175,0.6925782039614964,val,0.46853146853146854,0.14285714285714285,0.375
val_014,sbm,0.36362852793595873,0.2036488540289826,2452,0.24398054504281588,0.5191323826381705,val,0.4448979591836735,0.56,0.4634146341463415
val_015,ba,0.6633476154905097,0.11793118884361618,884,0.14955259638513713,0.8627968639948511,val,0.5227272727272727,0.0,0.3181818181818182
val_016,ws,0.6031279411655531,0.13859366321461425,582,0.17252009123981188,0.8059488760217819,val,0.5517241379310345,0.0,0.3448275862068966
val_017,ws,0.5507312577104273,0.16323347068587454,188,0.19267734430749361,0.7442812198922928,val,0.7894736842105263,0.0,0.3333333333333333
