dataset_group,graph_id,initial_source_jaccard,left_label,left_method,left_source_count,right_label,right_method,right_source_count,seed
realworld_completed,bio_celegans_dir,0.07563025210084033,structured,SASB-N-structured,64,random-source,SASB-N-random-source,64,20260513
realworld_completed,bio_celegans_dir,0.7066666666666667,structured,SASB-N-structured,64,degree-source,SASB-N-degree-source,64,20260513
realworld_completed,bio_celegans_dir,1.0,structured,SASB-N-structured,64,frozen-source,SASB-N-frozen-source,64,20260513
realworld_completed,bio_celegans_dir,0.07563025210084033,random-source,SASB-N-random-source,64,degree-source,SASB-N-degree-source,64,20260513
realworld_completed,bio_celegans_dir,0.07563025210084033,random-source,SASB-N-random-source,64,frozen-source,SASB-N-frozen-source,64,20260513
realworld_completed,bio_celegans_dir,0.7066666666666667,degree-source,SASB-N-degree-source,64,frozen-source,SASB-N-frozen-source,64,20260513
realworld_completed,bio_celegans_dir,0.06666666666666667,structured,SASB-N-structured,64,random-source,SASB-N-random-source,64,20260514
realworld_completed,bio_celegans_dir,0.6623376623376623,structured,SASB-N-structured,64,degree-source,SASB-N-degree-source,64,20260514
realworld_completed,bio_celegans_dir,1.0,structured,SASB-N-structured,64,frozen-source,SASB-N-frozen-source,64,20260514
realworld_completed,bio_celegans_dir,0.05785123966942149,random-source,SASB-N-random-source,64,degree-source,SASB-N-degree-source,64,20260514
realworld_completed,bio_celegans_dir,0.06666666666666667,random-source,SASB-N-random-source,64,frozen-source,SASB-N-frozen-source,64,20260514
realworld_completed,bio_celegans_dir,0.6623376623376623,degree-source,SASB-N-degree-source,64,frozen-source,SASB-N-frozen-source,64,20260514
realworld_completed,bio_celegans_dir,0.04065040650406504,structured,SASB-N-structured,64,random-source,SASB-N-random-source,64,20260515
realworld_completed,bio_celegans_dir,0.7777777777777778,structured,SASB-N-structured,64,degree-source,SASB-N-degree-source,64,20260515
realworld_completed,bio_celegans_dir,1.0,structured,SASB-N-structured,64,frozen-source,SASB-N-frozen-source,64,20260515
realworld_completed,bio_celegans_dir,0.04065040650406504,random-source,SASB-N-random-source,64,degree-source,SASB-N-degree-source,64,20260515
realworld_completed,bio_celegans_dir,0.04065040650406504,random-source,SASB-N-random-source,64,frozen-source,SASB-N-frozen-source,64,20260515
realworld_completed,bio_celegans_dir,0.7777777777777778,degree-source,SASB-N-degree-source,64,frozen-source,SASB-N-frozen-source,64,20260515
realworld_completed,bio_celegans_dir,0.05785123966942149,structured,SASB-N-structured,64,random-source,SASB-N-random-source,64,20260516
realworld_completed,bio_celegans_dir,0.6623376623376623,structured,SASB-N-structured,64,degree-source,SASB-N-degree-source,64,20260516
realworld_completed,bio_celegans_dir,1.0,structured,SASB-N-structured,64,frozen-source,SASB-N-frozen-source,64,20260516
realworld_completed,bio_celegans_dir,0.05785123966942149,random-source,SASB-N-random-source,64,degree-source,SASB-N-degree-source,64,20260516
realworld_completed,bio_celegans_dir,0.05785123966942149,random-source,SASB-N-random-source,64,frozen-source,SASB-N-frozen-source,64,20260516
realworld_completed,bio_celegans_dir,0.6623376623376623,degree-source,SASB-N-degree-source,64,frozen-source,SASB-N-frozen-source,64,20260516
realworld_completed,bio_celegans_dir,0.0847457627118644,structured,SASB-N-structured,64,random-source,SASB-N-random-source,64,20260517
realworld_completed,bio_celegans_dir,0.7066666666666667,structured,SASB-N-structured,64,degree-source,SASB-N-degree-source,64,20260517
realworld_completed,bio_celegans_dir,1.0,structured,SASB-N-structured,64,frozen-source,SASB-N-frozen-source,64,20260517
realworld_completed,bio_celegans_dir,0.07563025210084033,random-source,SASB-N-random-source,64,degree-source,SASB-N-degree-source,64,20260517
realworld_completed,bio_celegans_dir,0.0847457627118644,random-source,SASB-N-random-source,64,frozen-source,SASB-N-frozen-source,64,20260517
realworld_completed,bio_celegans_dir,0.7066666666666667,degree-source,SASB-N-degree-source,64,frozen-source,SASB-N-frozen-source,64,20260517
realworld_completed,bio_diseasome,0.04918032786885246,structured,SASB-N-structured,64,random-source,SASB-N-random-source,64,20260513
realworld_completed,bio_diseasome,0.4065934065934066,structured,SASB-N-structured,64,degree-source,SASB-N-degree-source,64,20260513
realworld_completed,bio_diseasome,1.0,structured,SASB-N-structured,64,frozen-source,SASB-N-frozen-source,64,20260513
realworld_completed,bio_diseasome,0.07563025210084033,random-source,SASB-N-random-source,64,degree-source,SASB-N-degree-source,64,20260513
realworld_completed,bio_diseasome,0.04918032786885246,random-source,SASB-N-random-source,64,frozen-source,SASB-N-frozen-source,64,20260513
realworld_completed,bio_diseasome,0.4065934065934066,degree-source,SASB-N-degree-source,64,frozen-source,SASB-N-frozen-source,64,20260513
realworld_completed,bio_diseasome,0.05785123966942149,structured,SASB-N-structured,64,random-source,SASB-N-random-source,64,20260514
realworld_completed,bio_diseasome,0.45454545454545453,structured,SASB-N-structured,64,degree-source,SASB-N-degree-source,64,20260514
realworld_completed,bio_diseasome,1.0,structured,SASB-N-structured,64,frozen-source,SASB-N-frozen-source,64,20260514
realworld_completed,bio_diseasome,0.05785123966942149,random-source,SASB-N-random-source,64,degree-source,SASB-N-degree-source,64,20260514
realworld_completed,bio_diseasome,0.05785123966942149,random-source,SASB-N-random-source,64,frozen-source,SASB-N-frozen-source,64,20260514
realworld_completed,bio_diseasome,0.45454545454545453,degree-source,SASB-N-degree-source,64,frozen-source,SASB-N-frozen-source,64,20260514
realworld_completed,bio_diseasome,0.06666666666666667,structured,SASB-N-structured,64,random-source,SASB-N-random-source,64,20260515
realworld_completed,bio_diseasome,0.47126436781609193,structured,SASB-N-structured,64,degree-source,SASB-N-degree-source,64,20260515
realworld_completed,bio_diseasome,1.0,structured,SASB-N-structured,64,frozen-source,SASB-N-frozen-source,64,20260515
realworld_completed,bio_diseasome,0.07563025210084033,random-source,SASB-N-random-source,64,degree-source,SASB-N-degree-source,64,20260515
realworld_completed,bio_diseasome,0.06666666666666667,random-source,SASB-N-random-source,64,frozen-source,SASB-N-frozen-source,64,20260515
realworld_completed,bio_diseasome,0.47126436781609193,degree-source,SASB-N-degree-source,64,frozen-source,SASB-N-frozen-source,64,20260515
realworld_completed,bio_diseasome,0.06666666666666667,structured,SASB-N-structured,64,random-source,SASB-N-random-source,64,20260516
realworld_completed,bio_diseasome,0.47126436781609193,structured,SASB-N-structured,64,degree-source,SASB-N-degree-source,64,20260516
realworld_completed,bio_diseasome,1.0,structured,SASB-N-structured,64,frozen-source,SASB-N-frozen-source,64,20260516
realworld_completed,bio_diseasome,0.04918032786885246,random-source,SASB-N-random-source,64,degree-source,SASB-N-degree-source,64,20260516
realworld_completed,bio_diseasome,0.06666666666666667,random-source,SASB-N-random-source,64,frozen-source,SASB-N-frozen-source,64,20260516
