dataset,graph_id,method,source_policy,seed,status,normalized_auc,gcc_at_5pct,gcc_at_10pct,gcc_at_20pct,gcc_at_40pct,first_positive_drop_step,positive_delta_gcc_rate,conditional_mean_delta_gcc,inter_community_ratio,mean_edge_embeddedness,mean_common_neighbors,true_source_traversal_count,runtime_seconds,candidate_generation_seconds,sampled_path_scoring_seconds,model_scoring_seconds,louvain_recomputes,candidate_set_backend,candidate_set_config,candidate_set_config_equal_to_structured,candidate_set_hashes_recorded,observed_remove_ratio,removed_edges,max_steps,dataset_label,is_finished
synthetic45,synthetic_test_000,SASB-structured,structured,20260513,finished,0.6779190945764231,1.0,1.0,1.0,1.0,198,0.134020618556701,0.0190914158305462,0.3865979381443299,0.0309707903780068,0.0747422680412371,9550,8.787486300017918,1.0071282999124378,2.267336100223474,0.0484778997488319,136,"theory.candidate_features(conservative, delta_mode=none)","{""delta_mode"": ""none"", ""k_max"": 512, ""k_min"": 64, ""variant"": ""conservative""}",1,388,1.0,388,388,synthetic45,True
synthetic45,synthetic_test_000,SASB-random,random,20260513,finished,0.6855389959659346,1.0,1.0,1.0,1.0,221,0.134020618556701,0.0190914158305462,0.3634020618556701,0.0323269513991163,0.0747422680412371,9565,8.892982799996389,0.9959929995820858,2.270317799935583,0.0478153000876773,137,"theory.candidate_features(conservative, delta_mode=none)","{""delta_mode"": ""none"", ""k_max"": 512, ""k_min"": 64, ""variant"": ""conservative""}",1,388,1.0,388,388,synthetic45,True
synthetic45,synthetic_test_000,SASB-matched,matched,20260513,finished,0.6760141192290453,1.0,1.0,1.0,1.0,200,0.1314432989690721,0.0194657573174197,0.3994845360824742,0.0327319587628865,0.0747422680412371,9502,9.858767500001704,1.0207159002602566,2.275263900257414,0.0482302997843362,137,"theory.candidate_features(conservative, delta_mode=none)","{""delta_mode"": ""none"", ""k_max"": 512, ""k_min"": 64, ""variant"": ""conservative""}",1,388,1.0,388,388,synthetic45,True
synthetic45,synthetic_test_001,SASB-structured,structured,20260513,finished,0.6892976178805998,1.0,1.0,1.0,1.0,516,0.0435643564356435,0.0226147614761476,0.2861386138613861,0.2973302687411598,1.204950495049505,25085,30.934040899999676,5.107243400067091,9.32096680023824,0.1897760001884307,253,"theory.candidate_features(conservative, delta_mode=none)","{""delta_mode"": ""none"", ""k_max"": 512, ""k_min"": 64, ""variant"": ""conservative""}",1,1010,1.0,1010,1010,synthetic45,True
synthetic45,synthetic_test_001,SASB-random,random,20260513,finished,0.662251249877463,1.0,1.0,1.0,1.0,553,0.0445544554455445,0.0221122112211221,0.296039603960396,0.3044130127298444,1.204950495049505,24711,20.73538080000435,3.413488599820994,6.225882899714634,0.130846299638506,247,"theory.candidate_features(conservative, delta_mode=none)","{""delta_mode"": ""none"", ""k_max"": 512, ""k_min"": 64, ""variant"": ""conservative""}",1,1010,1.0,1010,1010,synthetic45,True
synthetic45,synthetic_test_001,SASB-matched,matched,20260513,finished,0.6756862072345848,1.0,1.0,1.0,1.0,496,0.0405940594059405,0.0242695001207437,0.2871287128712871,0.300559091623448,1.204950495049505,24788,23.5481187000114,3.465995500038844,6.260386099107564,0.1354488003998994,254,"theory.candidate_features(conservative, delta_mode=none)","{""delta_mode"": ""none"", ""k_max"": 512, ""k_min"": 64, ""variant"": ""conservative""}",1,1010,1.0,1010,1010,synthetic45,True
synthetic45,synthetic_test_002,SASB-structured,structured,20260513,finished,0.4143099547511312,1.0,1.0,1.0,0.4823529411764706,65,0.0913461538461538,0.0520123839009287,0.4423076923076923,0.0546932234432234,0.0913461538461538,3662,1.174530299991602,0.1497639997978694,0.2729800002416596,0.0081947004073299,91,"theory.candidate_features(conservative, delta_mode=none)","{""delta_mode"": ""none"", ""k_max"": 512, ""k_min"": 64, ""variant"": ""conservative""}",1,208,1.0,208,208,synthetic45,True
synthetic45,synthetic_test_002,SASB-random,random,20260513,finished,0.467420814479638,1.0,1.0,1.0,0.6352941176470588,79,0.1009615384615384,0.0470588235294117,0.3942307692307692,0.0550480769230769,0.0913461538461538,3839,1.2445439999864902,0.1365104999858886,0.2961146997695323,0.0076938000274822,90,"theory.candidate_features(conservative, delta_mode=none)","{""delta_mode"": ""none"", ""k_max"": 512, ""k_min"": 64, ""variant"": ""conservative""}",1,208,1.0,208,208,synthetic45,True
synthetic45,synthetic_test_002,SASB-matched,matched,20260513,finished,0.4765837104072398,1.0,1.0,1.0,0.8352941176470589,68,0.0913461538461538,0.0520123839009287,0.4086538461538461,0.0516483516483516,0.0913461538461538,3849,1.4155004999774974,0.1356257001170888,0.3284686996194068,0.0080334002850577,91,"theory.candidate_features(conservative, delta_mode=none)","{""delta_mode"": ""none"", ""k_max"": 512, ""k_min"": 64, ""variant"": ""conservative""}",1,208,1.0,208,208,synthetic45,True
synthetic45,synthetic_test_003,SASB-structured,structured,20260513,finished,0.788564925391766,1.0,1.0,1.0,1.0,740,0.0721282279608192,0.0122879889235029,0.5556544968833482,0.0664000143519288,0.2110418521816562,31069,36.19481509999605,5.746973599190824,8.703388900787104,0.1871138001151848,241,"theory.candidate_features(conservative, delta_mode=none)","{""delta_mode"": ""none"", ""k_max"": 512, ""k_min"": 64, ""variant"": ""conservative""}",1,1123,1.0,1123,1123,synthetic45,True
synthetic45,synthetic_test_003,SASB-random,random,20260513,finished,0.8004697863699537,1.0,1.0,1.0,1.0,796,0.076580587711487,0.0115735709628341,0.5351736420302761,0.0649428067727266,0.2110418521816562,31359,36.79496780000045,5.803087700071046,8.791361999785295,0.2425975005317013,237,"theory.candidate_features(conservative, delta_mode=none)","{""delta_mode"": ""none"", ""k_max"": 512, ""k_min"": 64, ""variant"": ""conservative""}",1,1123,1.0,1123,1123,synthetic45,True
synthetic45,synthetic_test_003,SASB-matched,matched,20260513,finished,0.7949189004751958,1.0,1.0,1.0,1.0,749,0.0694568121104185,0.0127606038820992,0.5431878895814782,0.067854464225791,0.2110418521816562,31019,40.22586310000042,5.741851400292944,8.814022000384284,0.1933139995671808,246,"theory.candidate_features(conservative, delta_mode=none)","{""delta_mode"": ""none"", ""k_max"": 512, ""k_min"": 64, ""variant"": ""conservative""}",1,1123,1.0,1123,1123,synthetic45,True
synthetic45,synthetic_test_004,SASB-structured,structured,20260513,finished,0.4921521493212669,1.0,1.0,1.0,0.7692307692307693,73,0.196078431372549,0.0247596153846153,0.3627450980392157,0.0375914408363257,0.1078431372549019,4322,1.3192228999978397,0.1371788003307301,0.3536192002065945,0.0089633999741636,94,"theory.candidate_features(conservative, delta_mode=none)","{""delta_mode"": ""none"", ""k_max"": 512, ""k_min"": 64, ""variant"": ""conservative""}",1,204,1.0,204,204,synthetic45,True
synthetic45,synthetic_test_004,SASB-random,random,20260513,finished,0.4996936274509803,1.0,1.0,1.0,0.8173076923076923,69,0.2107843137254902,0.0230322003577817,0.3529411764705882,0.034126645827413,0.1078431372549019,4458,1.3608627999783494,0.141693700075848,0.3605894999636803,0.0092488997615873,91,"theory.candidate_features(conservative, delta_mode=none)","{""delta_mode"": ""none"", ""k_max"": 512, ""k_min"": 64, ""variant"": ""conservative""}",1,204,1.0,204,204,synthetic45,True
synthetic45,synthetic_test_004,SASB-matched,matched,20260513,finished,0.4997878959276017,1.0,1.0,1.0,0.7403846153846154,67,0.196078431372549,0.0247596153846153,0.3039215686274509,0.0320767349539728,0.1078431372549019,4394,1.5156316000211518,0.1423403001681435,0.3590830000175629,0.0095243002579081,94,"theory.candidate_features(conservative, delta_mode=none)","{""delta_mode"": ""none"", ""k_max"": 512, ""k_min"": 64, ""variant"": ""conservative""}",1,204,1.0,204,204,synthetic45,True
synthetic45,synthetic_test_005,SASB-structured,structured,20260513,finished,0.7143162933701764,1.0,1.0,1.0,1.0,455,0.1003911342894393,0.0129224009821024,0.3846153846153846,0.0742586509535662,0.195567144719687,19859,17.27209790001507,2.2118931995355524,4.523514999920735,0.097267500066664,197,"theory.candidate_features(conservative, delta_mode=none)","{""delta_mode"": ""none"", ""k_max"": 512, ""k_min"": 64, ""variant"": ""conservative""}",1,767,1.0,767,767,synthetic45,True
