dataset,graph_id,method,source_policy,seed,status,normalized_auc,gcc_at_5pct,gcc_at_10pct,gcc_at_20pct,gcc_at_40pct,first_positive_drop_step,positive_delta_gcc_rate,conditional_mean_delta_gcc,inter_community_ratio,mean_edge_embeddedness,mean_common_neighbors,true_source_traversal_count,runtime_seconds,candidate_generation_seconds,sampled_path_scoring_seconds,model_scoring_seconds,louvain_recomputes,candidate_set_backend,candidate_set_config,candidate_set_config_equal_to_structured,candidate_set_hashes_recorded,observed_remove_ratio,removed_edges,max_steps
synthetic45,synthetic_test_000,SASB-structured,structured,20260513,finished,0.6779190945764231,1.0,1.0,1.0,1.0,198,0.13402061855670103,0.019091415830546268,0.3865979381443299,0.03097079037800687,0.07474226804123711,9550,8.787486300017918,1.0071282999124378,2.267336100223474,0.04847789974883199,136,"theory.candidate_features(conservative, delta_mode=none)","{""delta_mode"": ""none"", ""k_max"": 512, ""k_min"": 64, ""variant"": ""conservative""}",1,388,1.0,388,388
synthetic45,synthetic_test_000,SASB-random,random,20260513,finished,0.6855389959659346,1.0,1.0,1.0,1.0,221,0.13402061855670103,0.019091415830546268,0.3634020618556701,0.032326951399116344,0.07474226804123711,9565,8.892982799996389,0.9959929995820858,2.270317799935583,0.047815300087677315,137,"theory.candidate_features(conservative, delta_mode=none)","{""delta_mode"": ""none"", ""k_max"": 512, ""k_min"": 64, ""variant"": ""conservative""}",1,388,1.0,388,388
synthetic45,synthetic_test_000,SASB-matched,matched,20260513,finished,0.6760141192290453,1.0,1.0,1.0,1.0,200,0.13144329896907217,0.019465757317419726,0.39948453608247425,0.03273195876288659,0.07474226804123711,9502,9.858767500001704,1.0207159002602566,2.275263900257414,0.04823029978433624,137,"theory.candidate_features(conservative, delta_mode=none)","{""delta_mode"": ""none"", ""k_max"": 512, ""k_min"": 64, ""variant"": ""conservative""}",1,388,1.0,388,388
synthetic45,synthetic_test_001,SASB-structured,structured,20260513,finished,0.6892976178805998,1.0,1.0,1.0,1.0,516,0.04356435643564356,0.022614761476147615,0.2861386138613861,0.2973302687411598,1.204950495049505,25085,30.934040899999673,5.107243400067091,9.320966800238239,0.18977600018843077,253,"theory.candidate_features(conservative, delta_mode=none)","{""delta_mode"": ""none"", ""k_max"": 512, ""k_min"": 64, ""variant"": ""conservative""}",1,1010,1.0,1010,1010
synthetic45,synthetic_test_001,SASB-random,random,20260513,finished,0.662251249877463,1.0,1.0,1.0,1.0,553,0.04455445544554455,0.022112211221122113,0.296039603960396,0.3044130127298444,1.204950495049505,24711,20.73538080000435,3.413488599820994,6.225882899714634,0.13084629963850603,247,"theory.candidate_features(conservative, delta_mode=none)","{""delta_mode"": ""none"", ""k_max"": 512, ""k_min"": 64, ""variant"": ""conservative""}",1,1010,1.0,1010,1010
synthetic45,synthetic_test_001,SASB-matched,matched,20260513,finished,0.6756862072345848,1.0,1.0,1.0,1.0,496,0.040594059405940595,0.024269500120743786,0.2871287128712871,0.300559091623448,1.204950495049505,24788,23.5481187000114,3.4659955000388436,6.2603860991075635,0.13544880039989948,254,"theory.candidate_features(conservative, delta_mode=none)","{""delta_mode"": ""none"", ""k_max"": 512, ""k_min"": 64, ""variant"": ""conservative""}",1,1010,1.0,1010,1010
synthetic45,synthetic_test_002,SASB-structured,structured,20260513,finished,0.41430995475113125,1.0,1.0,1.0,0.4823529411764706,65,0.09134615384615384,0.052012383900928785,0.4423076923076923,0.05469322344322344,0.09134615384615384,3662,1.174530299991602,0.14976399979786947,0.2729800002416596,0.008194700407329947,91,"theory.candidate_features(conservative, delta_mode=none)","{""delta_mode"": ""none"", ""k_max"": 512, ""k_min"": 64, ""variant"": ""conservative""}",1,208,1.0,208,208
synthetic45,synthetic_test_002,SASB-random,random,20260513,finished,0.467420814479638,1.0,1.0,1.0,0.6352941176470588,79,0.10096153846153846,0.04705882352941176,0.3942307692307692,0.05504807692307692,0.09134615384615384,3839,1.2445439999864902,0.1365104999858886,0.2961146997695323,0.007693800027482212,90,"theory.candidate_features(conservative, delta_mode=none)","{""delta_mode"": ""none"", ""k_max"": 512, ""k_min"": 64, ""variant"": ""conservative""}",1,208,1.0,208,208
synthetic45,synthetic_test_002,SASB-matched,matched,20260513,finished,0.4765837104072398,1.0,1.0,1.0,0.8352941176470589,68,0.09134615384615384,0.052012383900928785,0.40865384615384615,0.051648351648351645,0.09134615384615384,3849,1.4155004999774974,0.13562570011708885,0.32846869961940683,0.008033400285057724,91,"theory.candidate_features(conservative, delta_mode=none)","{""delta_mode"": ""none"", ""k_max"": 512, ""k_min"": 64, ""variant"": ""conservative""}",1,208,1.0,208,208
synthetic45,synthetic_test_003,SASB-structured,structured,20260513,finished,0.788564925391766,1.0,1.0,1.0,1.0,740,0.07212822796081923,0.012287988923502942,0.5556544968833482,0.06640001435192885,0.21104185218165628,31069,36.19481509999605,5.746973599190824,8.703388900787104,0.18711380011518486,241,"theory.candidate_features(conservative, delta_mode=none)","{""delta_mode"": ""none"", ""k_max"": 512, ""k_min"": 64, ""variant"": ""conservative""}",1,1123,1.0,1123,1123
synthetic45,synthetic_test_003,SASB-random,random,20260513,finished,0.8004697863699537,1.0,1.0,1.0,1.0,796,0.07658058771148708,0.011573570962834165,0.5351736420302761,0.06494280677272664,0.21104185218165628,31359,36.79496780000045,5.803087700071046,8.791361999785295,0.24259750053170137,237,"theory.candidate_features(conservative, delta_mode=none)","{""delta_mode"": ""none"", ""k_max"": 512, ""k_min"": 64, ""variant"": ""conservative""}",1,1123,1.0,1123,1123
