dataset,graph_id,method,source_policy,seed,step,attack_phase,selected_edge,candidate_set_size,candidate_set_hash,candidate_set_backend,source_budget,true_source_traversal_count,source_count,source_nodes,source_strata_counts,source_degree_bins,source_community_counts,gcc_before,gcc_after,delta_gcc,num_components_before,num_components_after,is_bridge_before_removal,is_inter_community_edge,degree_u,degree_v,degree_product,common_neighbors,edge_embeddedness,sampled_betweenness_score,remove_ratio_before,remove_ratio_after
realworld_completed,bio_celegans,SASB-random,random,20260513,0,early,69--96,276,11ac1ecfc9b0488c3a43741d799a7f0a422dbf0a1f4a2dbd2a938abe610bedb3,"theory.candidate_features(conservative, delta_mode=none)",32,32,32,"[""179"", ""49"", ""255"", ""342"", ""447"", ""17"", ""32"", ""91"", ""421"", ""395"", ""300"", ""425"", ""325"", ""66"", ""286"", ""198"", ""45"", ""181"", ""238"", ""382"", ""149"", ""248"", ""69"", ""312"", ""408"", ""171"", ""388"", ""147"", ""104"", ""309"", ""5"", ""44""]","{""uniform_random"": 32}","{""degree_2"": 1, ""degree_3_4"": 11, ""degree_5_8"": 11, ""degree_9_plus"": 9}","{""0"": 4, ""1"": 7, ""10"": 4, ""2"": 3, ""3"": 2, ""4"": 3, ""5"": 1, ""6"": 7, ""8"": 1}",1.0,1.0,0.0,1,1,0,1,5,237,1185,4,1.0,4530.939461301765,0.0,0.0004938271604938272
realworld_completed,bio_celegans,SASB-random,random,20260513,1,early,92--96,276,7e56d9ae1c0a83a696a6f506984ea4941e0168f0293404ab31e63470a2ebc4ad,"theory.candidate_features(conservative, delta_mode=none)",32,32,32,"[""341"", ""87"", ""329"", ""305"", ""346"", ""241"", ""134"", ""355"", ""175"", ""451"", ""37"", ""92"", ""447"", ""19"", ""387"", ""23"", ""263"", ""111"", ""142"", ""8"", ""250"", ""276"", ""181"", ""122"", ""255"", ""254"", ""215"", ""70"", ""126"", ""69"", ""168"", ""372""]","{""uniform_random"": 32}","{""degree_2"": 2, ""degree_3_4"": 8, ""degree_5_8"": 16, ""degree_9_plus"": 6}","{""0"": 4, ""1"": 8, ""10"": 4, ""2"": 1, ""3"": 2, ""4"": 4, ""6"": 7, ""7"": 1, ""8"": 1}",1.0,1.0,0.0,1,1,0,1,9,236,2124,2,0.25,6253.120821377722,0.0004938271604938272,0.0009876543209876543
realworld_completed,bio_celegans,SASB-random,random,20260513,2,early,53--96,276,5c589b1b986fdd58efad940b939022c68d61ff798ab9a856eef21b8ad2343237,"theory.candidate_features(conservative, delta_mode=none)",32,32,32,"[""41"", ""77"", ""150"", ""153"", ""366"", ""345"", ""449"", ""161"", ""186"", ""228"", ""418"", ""178"", ""46"", ""230"", ""434"", ""295"", ""396"", ""38"", ""201"", ""149"", ""441"", ""250"", ""316"", ""254"", ""272"", ""117"", ""336"", ""405"", ""263"", ""162"", ""367"", ""328""]","{""uniform_random"": 32}","{""degree_3_4"": 11, ""degree_5_8"": 14, ""degree_9_plus"": 7}","{""0"": 2, ""1"": 11, ""10"": 1, ""2"": 3, ""3"": 2, ""4"": 4, ""5"": 1, ""6"": 4, ""7"": 1, ""8"": 3}",1.0,1.0,0.0,1,1,0,1,123,235,28905,58,0.47540983606557374,4569.590630021087,0.0009876543209876543,0.0014814814814814814
realworld_completed,bio_celegans,SASB-random,random,20260513,3,early,74--96,276,e57d003612bcf127b32845e4b2d552a357dbf2f833cb08b613354dd9b45c0d9a,"theory.candidate_features(conservative, delta_mode=none)",32,32,32,"[""74"", ""392"", ""321"", ""345"", ""186"", ""205"", ""366"", ""350"", ""92"", ""261"", ""331"", ""225"", ""199"", ""372"", ""258"", ""39"", ""439"", ""150"", ""424"", ""120"", ""90"", ""147"", ""181"", ""363"", ""161"", ""151"", ""34"", ""149"", ""184"", ""201"", ""399"", ""162""]","{""uniform_random"": 32}","{""degree_0_1"": 1, ""degree_2"": 3, ""degree_3_4"": 10, ""degree_5_8"": 8, ""degree_9_plus"": 10}","{""0"": 5, ""1"": 4, ""10"": 2, ""2"": 5, ""3"": 3, ""4"": 4, ""6"": 4, ""7"": 2, ""8"": 3}",1.0,1.0,0.0,1,1,0,1,6,234,1404,3,0.6,5639.903838036639,0.0014814814814814814,0.0019753086419753087
realworld_completed,bio_celegans,SASB-random,random,20260513,4,early,88--96,275,c8bdcba764f80e8fbfcb602fe5808388939701e0104fc6749af1fe691d0e00c5,"theory.candidate_features(conservative, delta_mode=none)",32,32,32,"[""129"", ""339"", ""97"", ""425"", ""149"", ""16"", ""315"", ""25"", ""264"", ""157"", ""423"", ""1"", ""406"", ""395"", ""390"", ""333"", ""221"", ""278"", ""338"", ""316"", ""88"", ""41"", ""183"", ""152"", ""271"", ""13"", ""223"", ""130"", ""292"", ""4"", ""289"", ""393""]","{""uniform_random"": 32}","{""degree_0_1"": 1, ""degree_2"": 2, ""degree_3_4"": 10, ""degree_5_8"": 13, ""degree_9_plus"": 6}","{""0"": 2, ""1"": 5, ""10"": 8, ""2"": 1, ""3"": 4, ""4"": 2, ""5"": 3, ""6"": 1, ""7"": 2, ""8"": 4}",1.0,1.0,0.0,1,1,0,1,3,233,699,0,0.0,6602.14110100112,0.0019753086419753087,0.0024691358024691358
realworld_completed,bio_celegans,SASB-random,random,20260513,5,early,67--96,275,38298f7d565b575fded12b3b51ea1039607cad43337b803aca7364ec53b8d759,"theory.candidate_features(conservative, delta_mode=none)",32,32,32,"[""359"", ""194"", ""23"", ""326"", ""247"", ""195"", ""372"", ""150"", ""115"", ""327"", ""207"", ""67"", ""193"", ""445"", ""120"", ""356"", ""142"", ""13"", ""249"", ""286"", ""389"", ""25"", ""6"", ""169"", ""145"", ""268"", ""282"", ""274"", ""382"", ""426"", ""214"", ""294""]","{""uniform_random"": 32}","{""degree_2"": 1, ""degree_3_4"": 13, ""degree_5_8"": 12, ""degree_9_plus"": 6}","{""0"": 4, ""1"": 3, ""10"": 5, ""2"": 3, ""3"": 1, ""4"": 2, ""6"": 8, ""7"": 3, ""8"": 2, ""9"": 1}",1.0,1.0,0.0,1,1,0,1,5,232,1160,3,0.75,4990.7558091494375,0.0024691358024691358,0.002962962962962963
realworld_completed,bio_celegans,SASB-random,random,20260513,6,early,51--96,275,6dee905751d1c77bb07f5951743a382c5e7002833bc0fb301165fdafc765f34c,"theory.candidate_features(conservative, delta_mode=none)",32,32,32,"[""383"", ""336"", ""112"", ""113"", ""41"", ""76"", ""212"", ""64"", ""199"", ""133"", ""417"", ""67"", ""287"", ""179"", ""204"", ""300"", ""188"", ""255"", ""230"", ""243"", ""254"", ""94"", ""297"", ""233"", ""185"", ""72"", ""79"", ""102"", ""220"", ""162"", ""324"", ""164""]","{""uniform_random"": 32}","{""degree_0_1"": 1, ""degree_2"": 1, ""degree_3_4"": 9, ""degree_5_8"": 12, ""degree_9_plus"": 9}","{""0"": 3, ""1"": 9, ""10"": 4, ""2"": 1, ""3"": 3, ""4"": 3, ""5"": 1, ""6"": 6, ""7"": 2}",1.0,1.0,0.0,1,1,0,1,104,231,24024,44,0.42718446601941745,5737.371805202647,0.002962962962962963,0.0034567901234567903
realworld_completed,bio_celegans,SASB-random,random,20260513,7,early,34--96,275,07eec538eac5b160069070070bb3b5933fdaaad44c305a5cffd71db01f40727e,"theory.candidate_features(conservative, delta_mode=none)",32,32,32,"[""109"", ""314"", ""24"", ""34"", ""344"", ""397"", ""298"", ""335"", ""329"", ""391"", ""369"", ""232"", ""100"", ""308"", ""126"", ""265"", ""380"", ""152"", ""336"", ""159"", ""188"", ""43"", ""244"", ""162"", ""181"", ""108"", ""295"", ""9"", ""247"", ""325"", ""277"", ""213""]","{""uniform_random"": 32}","{""degree_0_1"": 3, ""degree_2"": 1, ""degree_3_4"": 6, ""degree_5_8"": 14, ""degree_9_plus"": 8}","{""0"": 3, ""1"": 9, ""10"": 6, ""2"": 1, ""3"": 2, ""4"": 5, ""6"": 5, ""8"": 1}",1.0,1.0,0.0,1,1,0,1,5,230,1150,4,1.0,5066.126956425087,0.0034567901234567903,0.003950617283950617
realworld_completed,bio_celegans,SASB-random,random,20260513,8,early,55--96,275,899f154ddf1bcb6c44d49d0029aa20a598255e219ddd41c03d3445d14425414f,"theory.candidate_features(conservative, delta_mode=none)",32,32,32,"[""346"", ""9"", ""220"", ""187"", ""287"", ""34"", ""440"", ""111"", ""184"", ""252"", ""47"", ""303"", ""251"", ""341"", ""299"", ""3"", ""48"", ""156"", ""232"", ""392"", ""135"", ""363"", ""165"", ""234"", ""50"", ""382"", ""23"", ""134"", ""143"", ""348"", ""281"", ""256""]","{""uniform_random"": 32}","{""degree_0_1"": 1, ""degree_2"": 2, ""degree_3_4"": 11, ""degree_5_8"": 11, ""degree_9_plus"": 7}","{""0"": 4, ""1"": 7, ""10"": 2, ""2"": 4, ""3"": 1, ""4"": 3, ""6"": 7, ""7"": 2, ""8"": 2}",1.0,1.0,0.0,1,1,0,1,10,229,2290,3,0.3333333333333333,6304.723259007653,0.003950617283950617,0.0044444444444444444
realworld_completed,bio_celegans,SASB-random,random,20260513,9,early,37--96,275,c79a3b11e20b63c3a9b7cf60f3ff90c9348dfa758c87790017d058f9f74716f2,"theory.candidate_features(conservative, delta_mode=none)",32,32,32,"[""159"", ""98"", ""43"", ""273"", ""137"", ""23"", ""78"", ""432"", ""370"", ""9"", ""131"", ""22"", ""108"", ""240"", ""62"", ""138"", ""439"", ""407"", ""271"", ""69"", ""341"", ""91"", ""231"", ""326"", ""413"", ""132"", ""283"", ""302"", ""376"", ""152"", ""143"", ""37""]","{""uniform_random"": 32}","{""degree_0_1"": 2, ""degree_3_4"": 8, ""degree_5_8"": 15, ""degree_9_plus"": 7}","{""0"": 5, ""1"": 6, ""10"": 2, ""3"": 1, ""4"": 3, ""5"": 1, ""6"": 10, ""7"": 1, ""8"": 3}",1.0,1.0,0.0,1,1,0,1,5,228,1140,2,0.5,5025.961717522506,0.0044444444444444444,0.0049382716049382715
