dataset,graph_id,method,source_policy,seed,step,attack_phase,selected_edge,candidate_set_size,candidate_set_hash,candidate_set_backend,source_budget,true_source_traversal_count,source_count,source_nodes,source_strata_counts,source_degree_bins,source_community_counts,gcc_before,gcc_after,delta_gcc,num_components_before,num_components_after,is_bridge_before_removal,is_inter_community_edge,degree_u,degree_v,degree_product,common_neighbors,edge_embeddedness,sampled_betweenness_score,remove_ratio_before,remove_ratio_after
realworld_completed,bio_celegans,SASB-structured,structured,20260513,0,early,83--96,276,11ac1ecfc9b0488c3a43741d799a7f0a422dbf0a1f4a2dbd2a938abe610bedb3,"theory.candidate_features(conservative, delta_mode=none)",32,32,32,"[""96"", ""343"", ""53"", ""51"", ""60"", ""118"", ""142"", ""143"", ""147"", ""62"", ""363"", ""220"", ""144"", ""145"", ""52"", ""364"", ""440"", ""82"", ""83"", ""149"", ""121"", ""109"", ""154"", ""85"", ""398"", ""404"", ""155"", ""18"", ""131"", ""301"", ""0"", ""269""]","{""boundary"": 12, ""community_rep"": 4, ""degree_core"": 10, ""random_fill"": 6}","{""degree_3_4"": 3, ""degree_5_8"": 3, ""degree_9_plus"": 26}","{""0"": 4, ""1"": 8, ""10"": 4, ""2"": 1, ""3"": 1, ""4"": 3, ""5"": 1, ""6"": 7, ""7"": 1, ""8"": 1, ""9"": 1}",1.0,1.0,0.0,1,1,0,1,30,237,7110,16,0.5517241379310345,3907.9027796056284,0.0,0.0004938271604938272
realworld_completed,bio_celegans,SASB-structured,structured,20260513,1,early,33--96,276,cda6e8d0a7fc2c5f6c135bc0f16ca0436fe4843377a14be600e7eb601c0052ce,"theory.candidate_features(conservative, delta_mode=none)",32,32,32,"[""96"", ""343"", ""53"", ""51"", ""60"", ""118"", ""142"", ""143"", ""147"", ""62"", ""363"", ""220"", ""144"", ""145"", ""52"", ""364"", ""440"", ""82"", ""83"", ""149"", ""121"", ""109"", ""154"", ""85"", ""398"", ""404"", ""33"", ""292"", ""105"", ""170"", ""214"", ""442""]","{""boundary"": 12, ""community_rep"": 4, ""degree_core"": 10, ""random_fill"": 6}","{""degree_3_4"": 3, ""degree_5_8"": 4, ""degree_9_plus"": 25}","{""0"": 3, ""1"": 8, ""10"": 5, ""2"": 1, ""3"": 2, ""4"": 3, ""5"": 1, ""6"": 6, ""7"": 1, ""8"": 1, ""9"": 1}",1.0,1.0,0.0,1,1,0,1,5,236,1180,3,0.75,5271.798924564261,0.0004938271604938272,0.0009876543209876543
realworld_completed,bio_celegans,SASB-structured,structured,20260513,2,early,51--96,276,36dbb90986d625d79de8f737d624b6e36aba0933eaee33aa7d1288927ab5d1f7,"theory.candidate_features(conservative, delta_mode=none)",32,32,32,"[""96"", ""343"", ""53"", ""51"", ""60"", ""118"", ""142"", ""143"", ""147"", ""62"", ""363"", ""220"", ""144"", ""145"", ""52"", ""364"", ""440"", ""82"", ""83"", ""149"", ""121"", ""109"", ""154"", ""85"", ""398"", ""404"", ""146"", ""241"", ""415"", ""223"", ""402"", ""406""]","{""boundary"": 12, ""community_rep"": 4, ""degree_core"": 10, ""random_fill"": 6}","{""degree_3_4"": 2, ""degree_5_8"": 4, ""degree_9_plus"": 26}","{""0"": 1, ""1"": 10, ""10"": 5, ""2"": 1, ""3"": 2, ""4"": 3, ""5"": 2, ""6"": 5, ""7"": 1, ""8"": 1, ""9"": 1}",1.0,1.0,0.0,1,1,0,1,104,235,24440,45,0.4368932038834951,3631.925285917754,0.0009876543209876543,0.0014814814814814814
realworld_completed,bio_celegans,SASB-structured,structured,20260513,3,early,66--96,276,ec4a5f0fcadf8c81139a943e4d79c0fd0a17ca7e1267f1e18938df81968f594e,"theory.candidate_features(conservative, delta_mode=none)",32,32,32,"[""96"", ""343"", ""53"", ""51"", ""60"", ""118"", ""142"", ""143"", ""147"", ""62"", ""363"", ""220"", ""144"", ""145"", ""52"", ""364"", ""440"", ""82"", ""83"", ""149"", ""121"", ""109"", ""154"", ""85"", ""398"", ""404"", ""87"", ""172"", ""362"", ""202"", ""276"", ""66""]","{""boundary"": 12, ""community_rep"": 4, ""degree_core"": 10, ""random_fill"": 6}","{""degree_3_4"": 3, ""degree_5_8"": 3, ""degree_9_plus"": 26}","{""0"": 2, ""1"": 9, ""10"": 4, ""2"": 1, ""3"": 2, ""4"": 2, ""5"": 2, ""6"": 6, ""7"": 1, ""8"": 2, ""9"": 1}",1.0,1.0,0.0,1,1,0,1,12,234,2808,5,0.45454545454545453,3439.3662213505067,0.0014814814814814814,0.0019753086419753087
realworld_completed,bio_celegans,SASB-structured,structured,20260513,4,early,60--96,275,137b02917d2e0618b51d083d99f98da35c8462b57bd763f803835c269f939027,"theory.candidate_features(conservative, delta_mode=none)",32,32,32,"[""96"", ""343"", ""53"", ""51"", ""60"", ""118"", ""142"", ""143"", ""147"", ""62"", ""363"", ""220"", ""144"", ""145"", ""52"", ""364"", ""440"", ""82"", ""83"", ""149"", ""121"", ""109"", ""154"", ""85"", ""398"", ""404"", ""27"", ""91"", ""61"", ""148"", ""295"", ""12""]","{""boundary"": 12, ""community_rep"": 4, ""degree_core"": 10, ""random_fill"": 6}","{""degree_2"": 1, ""degree_3_4"": 2, ""degree_5_8"": 2, ""degree_9_plus"": 27}","{""0"": 1, ""1"": 10, ""10"": 4, ""2"": 1, ""3"": 2, ""4"": 2, ""5"": 1, ""6"": 7, ""7"": 1, ""8"": 1, ""9"": 2}",1.0,1.0,0.0,1,1,0,1,64,233,14912,30,0.47619047619047616,3856.7318829813585,0.0019753086419753087,0.0024691358024691358
realworld_completed,bio_celegans,SASB-structured,structured,20260513,5,early,88--96,275,59f540e3ba87daf06bc30b4e74d934d778b938d30ddf4e9dd7558583fcb93b70,"theory.candidate_features(conservative, delta_mode=none)",32,32,32,"[""96"", ""343"", ""53"", ""51"", ""60"", ""118"", ""142"", ""143"", ""147"", ""62"", ""363"", ""220"", ""144"", ""145"", ""52"", ""364"", ""440"", ""82"", ""83"", ""149"", ""121"", ""109"", ""154"", ""85"", ""398"", ""404"", ""370"", ""38"", ""308"", ""88"", ""163"", ""126""]","{""boundary"": 12, ""community_rep"": 4, ""degree_core"": 10, ""random_fill"": 6}","{""degree_0_1"": 1, ""degree_3_4"": 2, ""degree_5_8"": 3, ""degree_9_plus"": 26}","{""0"": 1, ""1"": 10, ""10"": 4, ""2"": 2, ""3"": 1, ""4"": 3, ""5"": 1, ""6"": 6, ""7"": 2, ""8"": 1, ""9"": 1}",1.0,1.0,0.0,1,1,0,1,3,232,696,1,0.5,6454.700634567634,0.0024691358024691358,0.002962962962962963
realworld_completed,bio_celegans,SASB-structured,structured,20260513,6,early,85--96,275,9014f643b653e8c547603a27b2ad9de695f896ecf277b0eb34466e2c69292a51,"theory.candidate_features(conservative, delta_mode=none)",32,32,32,"[""96"", ""343"", ""53"", ""51"", ""60"", ""118"", ""142"", ""143"", ""147"", ""62"", ""363"", ""220"", ""144"", ""145"", ""52"", ""364"", ""440"", ""82"", ""83"", ""149"", ""121"", ""109"", ""154"", ""85"", ""398"", ""404"", ""186"", ""100"", ""342"", ""54"", ""13"", ""178""]","{""boundary"": 12, ""community_rep"": 4, ""degree_core"": 10, ""random_fill"": 6}","{""degree_2"": 1, ""degree_3_4"": 3, ""degree_5_8"": 3, ""degree_9_plus"": 25}","{""0"": 3, ""1"": 8, ""10"": 4, ""2"": 2, ""3"": 1, ""4"": 4, ""5"": 1, ""6"": 5, ""7"": 2, ""8"": 1, ""9"": 1}",1.0,1.0,0.0,1,1,0,1,24,231,5544,15,0.6521739130434783,4253.901277077651,0.002962962962962963,0.0034567901234567903
realworld_completed,bio_celegans,SASB-structured,structured,20260513,7,early,82--96,275,7531c284f9687d2452463b61b11d5181deed80614ce7935034fba1b5b7613028,"theory.candidate_features(conservative, delta_mode=none)",32,32,32,"[""96"", ""343"", ""53"", ""51"", ""60"", ""118"", ""142"", ""143"", ""147"", ""62"", ""363"", ""220"", ""144"", ""145"", ""52"", ""364"", ""440"", ""82"", ""83"", ""149"", ""121"", ""109"", ""154"", ""85"", ""398"", ""404"", ""310"", ""119"", ""123"", ""46"", ""25"", ""81""]","{""boundary"": 12, ""community_rep"": 4, ""degree_core"": 10, ""random_fill"": 6}","{""degree_3_4"": 3, ""degree_5_8"": 4, ""degree_9_plus"": 25}","{""0"": 1, ""1"": 8, ""10"": 5, ""2"": 2, ""3"": 2, ""4"": 2, ""5"": 1, ""6"": 7, ""7"": 2, ""8"": 1, ""9"": 1}",1.0,1.0,0.0,1,1,0,1,33,230,7590,16,0.5,3628.4726839794753,0.0034567901234567903,0.003950617283950617
realworld_completed,bio_celegans,SASB-structured,structured,20260513,8,early,53--96,275,541854ec4d082da21e04efb9eeeb30f32163ec4739ad78694d572f27c06c7075,"theory.candidate_features(conservative, delta_mode=none)",32,32,32,"[""96"", ""343"", ""53"", ""51"", ""60"", ""118"", ""142"", ""143"", ""147"", ""62"", ""363"", ""220"", ""144"", ""145"", ""52"", ""364"", ""440"", ""82"", ""83"", ""149"", ""121"", ""109"", ""154"", ""85"", ""398"", ""404"", ""300"", ""25"", ""99"", ""289"", ""98"", ""179""]","{""boundary"": 12, ""community_rep"": 4, ""degree_core"": 10, ""random_fill"": 6}","{""degree_3_4"": 3, ""degree_5_8"": 2, ""degree_9_plus"": 27}","{""0"": 1, ""1"": 9, ""10"": 5, ""2"": 1, ""3"": 1, ""4"": 3, ""5"": 2, ""6"": 7, ""7"": 1, ""8"": 1, ""9"": 1}",1.0,1.0,0.0,1,1,0,1,123,229,28167,53,0.4344262295081967,2734.799936988828,0.003950617283950617,0.0044444444444444444
realworld_completed,bio_celegans,SASB-structured,structured,20260513,9,early,55--96,275,219cff4806d0573ada4b0663bd85d5055b052578b89204c52a55078c64d4b6d9,"theory.candidate_features(conservative, delta_mode=none)",32,32,32,"[""96"", ""343"", ""53"", ""51"", ""60"", ""118"", ""142"", ""143"", ""147"", ""62"", ""363"", ""220"", ""144"", ""145"", ""52"", ""364"", ""440"", ""82"", ""83"", ""149"", ""121"", ""109"", ""154"", ""85"", ""398"", ""404"", ""34"", ""282"", ""391"", ""424"", ""285"", ""29""]","{""boundary"": 12, ""community_rep"": 4, ""degree_core"": 10, ""random_fill"": 6}","{""degree_3_4"": 1, ""degree_5_8"": 4, ""degree_9_plus"": 27}","{""0"": 1, ""1"": 9, ""10"": 4, ""2"": 1, ""3"": 3, ""4"": 2, ""5"": 1, ""6"": 6, ""7"": 3, ""8"": 1, ""9"": 1}",1.0,1.0,0.0,1,1,0,1,10,228,2280,3,0.3333333333333333,5347.839356522237,0.0044444444444444444,0.0049382716049382715
realworld_completed,bio_celegans,SASB-structured,structured,20260513,10,early,343--375,275,39bf6d592e57ab65f57dbaaa1d3576a1b90478e2fd485e5876ff9acc090bfb14,"theory.candidate_features(conservative, delta_mode=none)",32,32,32,"[""96"", ""343"", ""53"", ""51"", ""60"", ""363"", ""118"", ""147"", ""142"", ""143"", ""62"", ""364"", ""144"", ""145"", ""52"", ""220"", ""440"", ""82"", ""83"", ""149"", ""121"", ""109"", ""85"", ""404"", ""418"", ""383"", ""321"", ""301"", ""261"", ""375"", ""436"", ""75""]","{""boundary"": 12, ""community_rep"": 2, ""degree_core"": 10, ""random_fill"": 8}","{""degree_3_4"": 1, ""degree_5_8"": 5, ""degree_9_plus"": 26}","{""0"": 2, ""1"": 7, ""2"": 1, ""3"": 6, ""4"": 1, ""5"": 3, ""6"": 8, ""7"": 2, ""8"": 1, ""9"": 1}",1.0,1.0,0.0,1,1,0,1,109,8,872,4,0.5714285714285714,3079.1095296561475,0.0049382716049382715,0.005432098765432099
