dataset,graph_id,graph_name,graph_type,community_strength,method,source_policy,seed,step,removed_edges,remove_ratio,gcc_ratio,gcc_size
realworld_completed,bio_celegans_dir,bio-celegans-dir,biological,unknown,SASB-matched,matched,20260513,0,0,0.0,1.0,453
realworld_completed,bio_celegans_dir,bio-celegans-dir,biological,unknown,SASB-matched,matched,20260513,1,1,0.0004938271604938272,1.0,453
realworld_completed,bio_celegans_dir,bio-celegans-dir,biological,unknown,SASB-matched,matched,20260513,2,2,0.0009876543209876543,1.0,453
realworld_completed,bio_celegans_dir,bio-celegans-dir,biological,unknown,SASB-matched,matched,20260513,3,3,0.0014814814814814814,1.0,453
realworld_completed,bio_celegans_dir,bio-celegans-dir,biological,unknown,SASB-matched,matched,20260513,4,4,0.0019753086419753087,1.0,453
realworld_completed,bio_celegans_dir,bio-celegans-dir,biological,unknown,SASB-matched,matched,20260513,5,5,0.0024691358024691358,1.0,453
realworld_completed,bio_celegans_dir,bio-celegans-dir,biological,unknown,SASB-matched,matched,20260513,6,6,0.002962962962962963,1.0,453
realworld_completed,bio_celegans_dir,bio-celegans-dir,biological,unknown,SASB-matched,matched,20260513,7,7,0.0034567901234567903,1.0,453
realworld_completed,bio_celegans_dir,bio-celegans-dir,biological,unknown,SASB-matched,matched,20260513,8,8,0.003950617283950617,1.0,453
realworld_completed,bio_celegans_dir,bio-celegans-dir,biological,unknown,SASB-matched,matched,20260513,9,9,0.0044444444444444444,1.0,453
realworld_completed,bio_celegans_dir,bio-celegans-dir,biological,unknown,SASB-matched,matched,20260513,10,10,0.0049382716049382715,1.0,453
realworld_completed,bio_celegans_dir,bio-celegans-dir,biological,unknown,SASB-matched,matched,20260513,11,11,0.005432098765432099,1.0,453
realworld_completed,bio_celegans_dir,bio-celegans-dir,biological,unknown,SASB-matched,matched,20260513,12,12,0.005925925925925926,1.0,453
realworld_completed,bio_celegans_dir,bio-celegans-dir,biological,unknown,SASB-matched,matched,20260513,13,13,0.006419753086419753,1.0,453
realworld_completed,bio_celegans_dir,bio-celegans-dir,biological,unknown,SASB-matched,matched,20260513,14,14,0.006913580246913581,1.0,453
realworld_completed,bio_celegans_dir,bio-celegans-dir,biological,unknown,SASB-matched,matched,20260513,15,15,0.007407407407407408,1.0,453
realworld_completed,bio_celegans_dir,bio-celegans-dir,biological,unknown,SASB-matched,matched,20260513,16,16,0.007901234567901235,1.0,453
realworld_completed,bio_celegans_dir,bio-celegans-dir,biological,unknown,SASB-matched,matched,20260513,17,17,0.008395061728395062,1.0,453
realworld_completed,bio_celegans_dir,bio-celegans-dir,biological,unknown,SASB-matched,matched,20260513,18,18,0.008888888888888889,1.0,453
realworld_completed,bio_celegans_dir,bio-celegans-dir,biological,unknown,SASB-matched,matched,20260513,19,19,0.009382716049382716,1.0,453
realworld_completed,bio_celegans_dir,bio-celegans-dir,biological,unknown,SASB-matched,matched,20260513,20,20,0.009876543209876543,1.0,453
realworld_completed,bio_celegans_dir,bio-celegans-dir,biological,unknown,SASB-matched,matched,20260513,21,21,0.01037037037037037,1.0,453
realworld_completed,bio_celegans_dir,bio-celegans-dir,biological,unknown,SASB-matched,matched,20260513,22,22,0.010864197530864197,1.0,453
realworld_completed,bio_celegans_dir,bio-celegans-dir,biological,unknown,SASB-matched,matched,20260513,23,23,0.011358024691358024,1.0,453
realworld_completed,bio_celegans_dir,bio-celegans-dir,biological,unknown,SASB-matched,matched,20260513,24,24,0.011851851851851851,1.0,453
realworld_completed,bio_celegans_dir,bio-celegans-dir,biological,unknown,SASB-matched,matched,20260513,25,25,0.012345679012345678,1.0,453
